Date,FlexShares Quality Dividend_Open_average,FlexShares Quality Dividend_Open_max,FlexShares Quality Dividend_Open_min,FlexShares Quality Dividend_Open_volatility,FlexShares Quality Dividend_Open_change,FlexShares Quality Dividend_High_average,FlexShares Quality Dividend_High_max,FlexShares Quality Dividend_High_min,FlexShares Quality Dividend_High_volatility,FlexShares Quality Dividend_High_change,FlexShares Quality Dividend_Low_average,FlexShares Quality Dividend_Low_max,FlexShares Quality Dividend_Low_min,FlexShares Quality Dividend_Low_volatility,FlexShares Quality Dividend_Low_change,FlexShares Quality Dividend_Close_average,FlexShares Quality Dividend_Close_max,FlexShares Quality Dividend_Close_min,FlexShares Quality Dividend_Close_volatility,FlexShares Quality Dividend_Close_change
2018-07-15,46.28,46.28,46.28,0.0,0.0,46.41,46.41,46.41,0.0,0.0,46.24,46.24,46.24,0.0,0.0,46.38,46.38,46.38,0.0,0.0
2018-07-22,46.56,46.56,46.56,0.0,0.0,46.58,46.58,46.58,0.0,0.0,46.41,46.41,46.41,0.0,0.0,46.44,46.44,46.44,0.0,0.0
2018-07-29,46.73,46.73,46.73,0.0,0.0,46.92,46.92,46.92,0.0,0.0,46.73,46.73,46.73,0.0,0.0,46.88,46.88,46.88,0.0,0.0
2018-08-05,46.68,46.68,46.68,0.0,0.0,46.71,46.71,46.71,0.0,0.0,46.38,46.38,46.38,0.0,0.0,46.45,46.45,46.45,0.0,0.0
2018-08-12,47.27,47.27,47.27,0.0,0.0,47.48,47.48,47.48,0.0,0.0,47.27,47.27,47.27,0.0,0.0,47.39,47.39,47.39,0.0,0.0
2018-08-19,47.79,47.79,47.79,0.0,0.0,47.87,47.87,47.87,0.0,0.0,47.75,47.75,47.75,0.0,0.0,47.8,47.8,47.8,0.0,0.0
2018-08-26,47.63,47.63,47.63,0.0,0.0,47.63,47.63,47.63,0.0,0.0,47.4,47.4,47.4,0.0,0.0,47.62,47.62,47.62,0.0,0.0
2018-09-02,47.59,47.59,47.59,0.0,0.0,47.59,47.59,47.59,0.0,0.0,47.37,47.37,47.37,0.0,0.0,47.42,47.42,47.42,0.0,0.0
2018-09-09,47.75,47.75,47.75,0.0,0.0,47.75,47.75,47.75,0.0,0.0,47.5,47.5,47.5,0.0,0.0,47.55,47.55,47.55,0.0,0.0
2018-09-16,47.81,47.81,47.81,0.0,0.0,47.81,47.81,47.81,0.0,0.0,47.4,47.4,47.4,0.0,0.0,47.45,47.45,47.45,0.0,0.0
2018-09-23,47.5,47.5,47.5,0.0,0.0,47.62,47.62,47.62,0.0,0.0,47.36,47.36,47.36,0.0,0.0,47.46,47.46,47.46,0.0,0.0
2018-09-30,46.98,46.98,46.98,0.0,0.0,47.22,47.22,47.22,0.0,0.0,46.85,46.85,46.85,0.0,0.0,47.17,47.17,47.17,0.0,0.0
2018-10-07,45.12,45.12,45.12,0.0,0.0,45.41,45.41,45.41,0.0,0.0,45.01,45.01,45.01,0.0,0.0,45.01,45.01,45.01,0.0,0.0
2018-10-14,45.18,45.18,45.18,0.0,0.0,45.34,45.34,45.34,0.0,0.0,44.89,44.89,44.89,0.0,0.0,44.97,44.97,44.97,0.0,0.0
2018-10-21,44.03,44.03,44.03,0.0,0.0,44.37,44.37,44.37,0.0,0.0,43.05,43.05,43.05,0.0,0.0,43.58,43.58,43.58,0.0,0.0
2018-10-28,44.73,44.73,44.73,0.0,0.0,45.18,45.18,45.18,0.0,0.0,44.73,44.73,44.73,0.0,0.0,45.05,45.05,45.05,0.0,0.0
2018-11-04,45.47,45.47,45.47,0.0,0.0,45.62,45.62,45.62,0.0,0.0,44.81,44.81,44.81,0.0,0.0,44.84,44.84,44.84,0.0,0.0
2018-11-11,44.61,44.61,44.61,0.0,0.0,44.64,44.64,44.64,0.0,0.0,43.94,43.94,43.94,0.0,0.0,44.13,44.13,44.13,0.0,0.0
2018-11-18,43.34,43.34,43.34,0.0,0.0,43.59,43.59,43.59,0.0,0.0,43.27,43.27,43.27,0.0,0.0,43.58,43.58,43.58,0.0,0.0
2018-11-25,45.36,45.36,45.36,0.0,0.0,45.36,45.36,45.36,0.0,0.0,44.79,44.79,44.79,0.0,0.0,45.2,45.2,45.2,0.0,0.0
2018-12-02,42.91,42.91,42.91,0.0,0.0,42.97,42.97,42.97,0.0,0.0,42.05,42.05,42.05,0.0,0.0,42.8,42.8,42.8,0.0,0.0
2018-12-09,41.95,41.95,41.95,0.0,0.0,42.13,42.13,42.13,0.0,0.0,40.98,40.98,40.98,0.0,0.0,41.24,41.24,41.24,0.0,0.0
2018-12-16,38.19,38.19,38.19,0.0,0.0,38.27,38.27,38.27,0.0,0.0,37.35,37.35,37.35,0.0,0.0,37.39,37.39,37.39,0.0,0.0
2018-12-23,39.69,39.69,39.69,0.0,0.0,39.81,39.81,39.81,0.0,0.0,39.37,39.37,39.37,0.0,0.0,39.81,39.81,39.81,0.0,0.0
2018-12-30,40.19,40.19,40.19,0.0,0.0,40.78,40.78,40.78,0.0,0.0,40.03,40.03,40.03,0.0,0.0,40.44,40.44,40.44,0.0,0.0
2019-01-06,40.81,40.81,40.81,0.0,0.0,41.03,41.03,41.03,0.0,0.0,40.81,40.81,40.81,0.0,0.0,40.92,40.92,40.92,0.0,0.0
2019-01-13,41.95,41.95,41.95,0.0,0.0,42.33,42.33,42.33,0.0,0.0,41.88,41.88,41.88,0.0,0.0,42.28,42.28,42.28,0.0,0.0
2019-01-20,41.75,41.75,41.75,0.0,0.0,41.89,41.89,41.89,0.0,0.0,41.66,41.66,41.66,0.0,0.0,41.86,41.86,41.86,0.0,0.0
2019-01-27,42.77,42.77,42.77,0.0,0.0,43.04,43.04,43.04,0.0,0.0,42.64,42.64,42.64,0.0,0.0,43.02,43.02,43.02,0.0,0.0
2019-02-03,43.04,43.04,43.04,0.0,0.0,43.04,43.04,43.04,0.0,0.0,42.92,42.92,42.92,0.0,0.0,42.97,42.97,42.97,0.0,0.0
2019-02-10,43.92,43.92,43.92,0.0,0.0,44.16,44.16,44.16,0.0,0.0,43.92,43.92,43.92,0.0,0.0,44.16,44.16,44.16,0.0,0.0
2019-02-17,44.78,44.78,44.78,0.0,0.0,44.86,44.86,44.86,0.0,0.0,44.61,44.61,44.61,0.0,0.0,44.63,44.63,44.63,0.0,0.0
2019-02-24,44.71,44.71,44.71,0.0,0.0,44.73,44.73,44.73,0.0,0.0,44.02,44.02,44.02,0.0,0.0,44.42,44.42,44.42,0.0,0.0
2019-03-03,43.7,43.7,43.7,0.0,0.0,44.22,44.22,44.22,0.0,0.0,43.7,43.7,43.7,0.0,0.0,44.22,44.22,44.22,0.0,0.0
2019-03-10,44.65,44.65,44.65,0.0,0.0,44.81,44.81,44.81,0.0,0.0,44.58,44.58,44.58,0.0,0.0,44.77,44.77,44.77,0.0,0.0
2019-03-17,44.12,44.12,44.12,0.0,0.0,44.31,44.31,44.31,0.0,0.0,43.95,43.95,43.95,0.0,0.0,44.14,44.14,44.14,0.0,0.0
2019-03-24,45.1,45.1,45.1,0.0,0.0,45.39,45.39,45.39,0.0,0.0,45.01,45.01,45.01,0.0,0.0,45.35,45.35,45.35,0.0,0.0
2019-03-31,45.66,45.66,45.66,0.0,0.0,45.76,45.76,45.76,0.0,0.0,45.57,45.57,45.57,0.0,0.0,45.76,45.76,45.76,0.0,0.0
2019-04-07,45.84,45.84,45.84,0.0,0.0,45.86,45.86,45.86,0.0,0.0,45.71,45.71,45.71,0.0,0.0,45.79,45.79,45.79,0.0,0.0
2019-04-14,45.63,45.63,45.63,0.0,0.0,45.72,45.72,45.72,0.0,0.0,45.54,45.54,45.54,0.0,0.0,45.6,45.6,45.6,0.0,0.0
2019-04-21,45.67,45.67,45.67,0.0,0.0,45.8,45.8,45.8,0.0,0.0,45.66,45.66,45.66,0.0,0.0,45.66,45.66,45.66,0.0,0.0
2019-04-28,45.13,45.13,45.13,0.0,0.0,45.64,45.64,45.64,0.0,0.0,45.13,45.13,45.13,0.0,0.0,45.58,45.58,45.58,0.0,0.0
2019-05-05,44.12,44.12,44.12,0.0,0.0,44.12,44.12,44.12,0.0,0.0,43.56,43.56,43.56,0.0,0.0,43.7,43.7,43.7,0.0,0.0
2019-05-12,44.13,44.13,44.13,0.0,0.0,44.4,44.4,44.4,0.0,0.0,44.06,44.06,44.06,0.0,0.0,44.16,44.16,44.16,0.0,0.0
2019-05-19,43.98,43.98,43.98,0.0,0.0,43.99,43.99,43.99,0.0,0.0,43.73,43.73,43.73,0.0,0.0,43.86,43.86,43.86,0.0,0.0
2019-05-26,42.34,42.34,42.34,0.0,0.0,42.71,42.71,42.71,0.0,0.0,42.33,42.33,42.33,0.0,0.0,42.52,42.52,42.52,0.0,0.0
2019-06-02,44.44,44.44,44.44,0.0,0.0,44.6,44.6,44.6,0.0,0.0,44.35,44.35,44.35,0.0,0.0,44.35,44.35,44.35,0.0,0.0
2019-06-09,44.47,44.47,44.47,0.0,0.0,44.61,44.61,44.61,0.0,0.0,44.42,44.42,44.42,0.0,0.0,44.48,44.48,44.48,0.0,0.0
2019-06-16,45.06,45.06,45.06,0.0,0.0,45.12,45.12,45.12,0.0,0.0,44.9,44.9,44.9,0.0,0.0,44.95,44.95,44.95,0.0,0.0
2019-06-23,45.41,45.41,45.41,0.0,0.0,45.46,45.46,45.46,0.0,0.0,44.98,44.98,44.98,0.0,0.0,45.17,45.17,45.17,0.0,0.0
2019-06-30,45.34,45.34,45.34,0.0,0.0,45.45,45.45,45.45,0.0,0.0,45.21,45.21,45.21,0.0,0.0,45.27,45.27,45.27,0.0,0.0
2019-07-07,45.8,45.8,45.8,0.0,0.0,45.81,45.81,45.81,0.0,0.0,45.7,45.7,45.7,0.0,0.0,45.79,45.79,45.79,0.0,0.0
2019-07-14,45.42,45.42,45.42,0.0,0.0,45.42,45.42,45.42,0.0,0.0,45.22,45.22,45.22,0.0,0.0,45.31,45.31,45.31,0.0,0.0
2019-07-21,45.97,45.97,45.97,0.0,0.0,46.05,46.05,46.05,0.0,0.0,45.88,45.88,45.88,0.0,0.0,46.01,46.01,46.01,0.0,0.0
2019-07-28,43.97,43.97,43.97,0.0,0.0,43.97,43.97,43.97,0.0,0.0,42.98,42.98,42.98,0.0,0.0,43.25,43.25,43.25,0.0,0.0
2019-08-04,43.91,43.91,43.91,0.0,0.0,43.98,43.98,43.98,0.0,0.0,41.72,41.72,41.72,0.0,0.0,43.71,43.71,43.71,0.0,0.0
2019-08-11,44.0,44.0,44.0,0.0,0.0,44.23,44.23,44.23,0.0,0.0,44.0,44.0,44.0,0.0,0.0,44.15,44.15,44.15,0.0,0.0
2019-08-18,43.36,43.36,43.36,0.0,0.0,43.46,43.46,43.46,0.0,0.0,43.16,43.16,43.16,0.0,0.0,43.46,43.46,43.46,0.0,0.0
2019-08-25,44.13,44.13,44.13,0.0,0.0,44.14,44.14,44.14,0.0,0.0,43.86,43.86,43.86,0.0,0.0,44.0,44.0,44.0,0.0,0.0
2019-09-01,45.08,45.08,45.08,0.0,0.0,45.26,45.26,45.26,0.0,0.0,45.03,45.03,45.03,0.0,0.0,45.24,45.24,45.24,0.0,0.0
2019-09-08,45.69,45.69,45.69,0.0,0.0,45.83,45.83,45.83,0.0,0.0,45.68,45.68,45.68,0.0,0.0,45.78,45.78,45.78,0.0,0.0
2019-09-15,45.22,45.22,45.22,0.0,0.0,45.52,45.52,45.52,0.0,0.0,45.22,45.22,45.22,0.0,0.0,45.43,45.43,45.43,0.0,0.0
2019-09-22,45.29,45.29,45.29,0.0,0.0,45.54,45.54,45.54,0.0,0.0,45.29,45.29,45.29,0.0,0.0,45.44,45.44,45.44,0.0,0.0
2019-09-29,44.7,44.7,44.7,0.0,0.0,45.04,45.04,45.04,0.0,0.0,44.7,44.7,44.7,0.0,0.0,44.7,44.7,44.7,0.0,0.0
2019-10-06,45.15,45.15,45.15,0.0,0.0,45.23,45.23,45.23,0.0,0.0,45.09,45.09,45.09,0.0,0.0,45.15,45.15,45.15,0.0,0.0
2019-10-13,45.72,45.72,45.72,0.0,0.0,45.85,45.85,45.85,0.0,0.0,45.69,45.69,45.69,0.0,0.0,45.83,45.83,45.83,0.0,0.0
2019-10-20,46.42,46.42,46.42,0.0,0.0,46.57,46.57,46.57,0.0,0.0,46.41,46.41,46.41,0.0,0.0,46.43,46.43,46.43,0.0,0.0
2019-10-27,47.05,47.05,47.05,0.0,0.0,47.12,47.12,47.12,0.0,0.0,47.02,47.02,47.02,0.0,0.0,47.1,47.1,47.1,0.0,0.0
2019-11-03,47.26,47.26,47.26,0.0,0.0,47.41,47.41,47.41,0.0,0.0,47.25,47.25,47.25,0.0,0.0,47.37,47.37,47.37,0.0,0.0
2019-11-10,47.65,47.65,47.65,0.0,0.0,47.71,47.71,47.71,0.0,0.0,47.52,47.52,47.52,0.0,0.0,47.66,47.66,47.66,0.0,0.0
2019-11-17,47.44,47.44,47.44,0.0,0.0,47.6,47.6,47.6,0.0,0.0,47.44,47.44,47.44,0.0,0.0,47.58,47.58,47.58,0.0,0.0
2019-11-24,47.64,47.64,47.64,0.0,0.0,47.64,47.64,47.64,0.0,0.0,47.31,47.31,47.31,0.0,0.0,47.34,47.34,47.34,0.0,0.0
2019-12-01,47.73,47.73,47.73,0.0,0.0,47.83,47.83,47.83,0.0,0.0,47.68,47.68,47.68,0.0,0.0,47.68,47.68,47.68,0.0,0.0
2019-12-08,48.4,48.4,48.4,0.0,0.0,48.64,48.64,48.64,0.0,0.0,48.4,48.4,48.4,0.0,0.0,48.52,48.52,48.52,0.0,0.0
2019-12-15,48.48,48.48,48.48,0.0,0.0,48.48,48.48,48.48,0.0,0.0,48.4,48.4,48.4,0.0,0.0,48.42,48.42,48.42,0.0,0.0
2019-12-22,48.57,48.57,48.57,0.0,0.0,48.57,48.57,48.57,0.0,0.0,48.28,48.28,48.28,0.0,0.0,48.31,48.31,48.31,0.0,0.0
2019-12-29,48.2,48.2,48.2,0.0,0.0,48.41,48.41,48.41,0.0,0.0,48.2,48.2,48.2,0.0,0.0,48.23,48.23,48.23,0.0,0.0
