Date,PowerShares S&P SmallCap Quality Portfolio_etf_Open_average,PowerShares S&P SmallCap Quality Portfolio_etf_Open_max,PowerShares S&P SmallCap Quality Portfolio_etf_Open_min,PowerShares S&P SmallCap Quality Portfolio_etf_Open_volatility,PowerShares S&P SmallCap Quality Portfolio_etf_Open_change,PowerShares S&P SmallCap Quality Portfolio_etf_High_average,PowerShares S&P SmallCap Quality Portfolio_etf_High_max,PowerShares S&P SmallCap Quality Portfolio_etf_High_min,PowerShares S&P SmallCap Quality Portfolio_etf_High_volatility,PowerShares S&P SmallCap Quality Portfolio_etf_High_change,PowerShares S&P SmallCap Quality Portfolio_etf_Low_average,PowerShares S&P SmallCap Quality Portfolio_etf_Low_max,PowerShares S&P SmallCap Quality Portfolio_etf_Low_min,PowerShares S&P SmallCap Quality Portfolio_etf_Low_volatility,PowerShares S&P SmallCap Quality Portfolio_etf_Low_change,PowerShares S&P SmallCap Quality Portfolio_etf_Close_average,PowerShares S&P SmallCap Quality Portfolio_etf_Close_max,PowerShares S&P SmallCap Quality Portfolio_etf_Close_min,PowerShares S&P SmallCap Quality Portfolio_etf_Close_volatility,PowerShares S&P SmallCap Quality Portfolio_etf_Close_change
2018-05-27,28.7,28.7,28.7,0.0,0.0,28.7,28.7,28.7,0.0,0.0,28.7,28.7,28.7,0.0,0.0,28.7,28.7,28.7,0.0,0.0
2018-06-03,29.73,29.73,29.73,0.0,0.0,29.73,29.73,29.73,0.0,0.0,29.73,29.73,29.73,0.0,0.0,29.73,29.73,29.73,0.0,0.0
2018-06-10,29.7,29.7,29.7,0.0,0.0,29.7,29.7,29.7,0.0,0.0,29.7,29.7,29.7,0.0,0.0,29.7,29.7,29.7,0.0,0.0
2018-06-17,30.04,30.04,30.04,0.0,0.0,30.04,30.04,30.04,0.0,0.0,30.04,30.04,30.04,0.0,0.0,30.04,30.04,30.04,0.0,0.0
2018-06-24,29.2,29.2,29.2,0.0,0.0,29.2,29.2,29.2,0.0,0.0,29.2,29.2,29.2,0.0,0.0,29.2,29.2,29.2,0.0,0.0
2018-07-01,29.92,29.92,29.92,0.0,0.0,30.04,30.04,30.04,0.0,0.0,29.92,29.92,29.92,0.0,0.0,30.04,30.04,30.04,0.0,0.0
2018-07-08,29.93,29.93,29.93,0.0,0.0,30.11,30.11,30.11,0.0,0.0,29.88,29.88,29.88,0.0,0.0,29.88,29.88,29.88,0.0,0.0
2018-07-15,30.59,30.59,30.59,0.0,0.0,30.73,30.73,30.73,0.0,0.0,30.44,30.44,30.44,0.0,0.0,30.45,30.45,30.45,0.0,0.0
2018-07-22,30.01,30.01,30.01,0.0,0.0,30.2,30.2,30.2,0.0,0.0,29.9,29.9,29.9,0.0,0.0,29.92,29.92,29.92,0.0,0.0
2018-07-29,30.5,30.5,30.5,0.0,0.0,30.5,30.5,30.5,0.0,0.0,30.32,30.32,30.32,0.0,0.0,30.32,30.32,30.32,0.0,0.0
2018-08-05,30.62,30.62,30.62,0.0,0.0,30.62,30.62,30.62,0.0,0.0,30.49,30.49,30.49,0.0,0.0,30.5,30.5,30.5,0.0,0.0
2018-08-12,30.72,30.72,30.72,0.0,0.0,30.72,30.72,30.72,0.0,0.0,30.72,30.72,30.72,0.0,0.0,30.72,30.72,30.72,0.0,0.0
2018-08-19,31.4,31.4,31.4,0.0,0.0,31.46,31.46,31.46,0.0,0.0,31.37,31.37,31.37,0.0,0.0,31.37,31.37,31.37,0.0,0.0
2018-08-26,31.63,31.63,31.63,0.0,0.0,31.63,31.63,31.63,0.0,0.0,31.58,31.58,31.58,0.0,0.0,31.58,31.58,31.58,0.0,0.0
2018-09-02,31.39,31.39,31.39,0.0,0.0,31.39,31.39,31.39,0.0,0.0,31.11,31.11,31.11,0.0,0.0,31.11,31.11,31.11,0.0,0.0
2018-09-09,31.4,31.4,31.4,0.0,0.0,31.4,31.4,31.4,0.0,0.0,31.04,31.04,31.04,0.0,0.0,31.22,31.22,31.22,0.0,0.0
2018-09-16,30.86,30.86,30.86,0.0,0.0,30.86,30.86,30.86,0.0,0.0,30.61,30.61,30.61,0.0,0.0,30.61,30.61,30.61,0.0,0.0
2018-09-23,30.29,30.29,30.29,0.0,0.0,30.29,30.29,30.29,0.0,0.0,30.29,30.29,30.29,0.0,0.0,30.29,30.29,30.29,0.0,0.0
2018-09-30,29.73,29.73,29.73,0.0,0.0,29.73,29.73,29.73,0.0,0.0,29.04,29.04,29.04,0.0,0.0,29.23,29.23,29.23,0.0,0.0
2018-10-07,27.48,27.48,27.48,0.0,0.0,28.51,28.51,28.51,0.0,0.0,27.43,27.43,27.43,0.0,0.0,27.91,27.91,27.91,0.0,0.0
2018-10-14,28.21,28.21,28.21,0.0,0.0,28.21,28.21,28.21,0.0,0.0,27.86,27.86,27.86,0.0,0.0,27.88,27.88,27.88,0.0,0.0
2018-10-21,27.59,27.59,27.59,0.0,0.0,27.76,27.76,27.76,0.0,0.0,27.37,27.37,27.37,0.0,0.0,27.64,27.64,27.64,0.0,0.0
2018-10-28,28.62,28.62,28.62,0.0,0.0,28.7,28.7,28.7,0.0,0.0,28.61,28.61,28.61,0.0,0.0,28.7,28.7,28.7,0.0,0.0
2018-11-04,28.68,28.68,28.68,0.0,0.0,28.68,28.68,28.68,0.0,0.0,28.41,28.41,28.41,0.0,0.0,28.52,28.52,28.52,0.0,0.0
2018-11-11,28.17,28.17,28.17,0.0,0.0,28.21,28.21,28.21,0.0,0.0,28.17,28.17,28.17,0.0,0.0,28.17,28.17,28.17,0.0,0.0
2018-11-18,27.68,27.68,27.68,0.0,0.0,27.7,27.7,27.7,0.0,0.0,27.61,27.61,27.61,0.0,0.0,27.61,27.61,27.61,0.0,0.0
2018-11-25,28.23,28.23,28.23,0.0,0.0,28.26,28.26,28.26,0.0,0.0,28.16,28.16,28.16,0.0,0.0,28.24,28.24,28.24,0.0,0.0
2018-12-02,26.83,26.83,26.83,0.0,0.0,26.83,26.83,26.83,0.0,0.0,26.29,26.29,26.29,0.0,0.0,26.49,26.49,26.49,0.0,0.0
2018-12-09,26.17,26.17,26.17,0.0,0.0,26.17,26.17,26.17,0.0,0.0,25.69,25.69,25.69,0.0,0.0,25.69,25.69,25.69,0.0,0.0
2018-12-16,24.41,24.41,24.41,0.0,0.0,24.67,24.67,24.67,0.0,0.0,24.05,24.05,24.05,0.0,0.0,24.05,24.05,24.05,0.0,0.0
2018-12-23,25.23,25.23,25.23,0.0,0.0,25.23,25.23,25.23,0.0,0.0,24.87,24.87,24.87,0.0,0.0,24.97,24.97,24.97,0.0,0.0
2018-12-30,25.04,25.04,25.04,0.0,0.0,25.42,25.42,25.42,0.0,0.0,24.94,24.94,24.94,0.0,0.0,25.42,25.42,25.42,0.0,0.0
2019-01-06,26.09,26.09,26.09,0.0,0.0,26.16,26.16,26.16,0.0,0.0,26.09,26.09,26.09,0.0,0.0,26.16,26.16,26.16,0.0,0.0
2019-01-13,26.77,26.77,26.77,0.0,0.0,26.88,26.88,26.88,0.0,0.0,26.77,26.77,26.77,0.0,0.0,26.88,26.88,26.88,0.0,0.0
2019-01-20,26.83,26.83,26.83,0.0,0.0,26.83,26.83,26.83,0.0,0.0,26.83,26.83,26.83,0.0,0.0,26.83,26.83,26.83,0.0,0.0
2019-01-27,27.23,27.23,27.23,0.0,0.0,27.23,27.23,27.23,0.0,0.0,27.12,27.12,27.12,0.0,0.0,27.12,27.12,27.12,0.0,0.0
2019-02-03,27.0,27.0,27.0,0.0,0.0,27.12,27.12,27.12,0.0,0.0,27.0,27.0,27.0,0.0,0.0,27.06,27.06,27.06,0.0,0.0
2019-02-10,27.87,27.87,27.87,0.0,0.0,28.13,28.13,28.13,0.0,0.0,27.87,27.87,27.87,0.0,0.0,28.13,28.13,28.13,0.0,0.0
2019-02-17,28.09,28.09,28.09,0.0,0.0,28.11,28.11,28.11,0.0,0.0,27.85,27.85,27.85,0.0,0.0,27.98,27.98,27.98,0.0,0.0
2019-02-24,27.69,27.69,27.69,0.0,0.0,27.8,27.8,27.8,0.0,0.0,27.69,27.69,27.69,0.0,0.0,27.8,27.8,27.8,0.0,0.0
2019-03-03,26.57,26.57,26.57,0.0,0.0,26.61,26.61,26.61,0.0,0.0,26.57,26.57,26.57,0.0,0.0,26.61,26.61,26.61,0.0,0.0
2019-03-10,27.33,27.33,27.33,0.0,0.0,27.33,27.33,27.33,0.0,0.0,26.89,26.89,26.89,0.0,0.0,26.89,26.89,26.89,0.0,0.0
2019-03-17,26.81,26.81,26.81,0.0,0.0,26.81,26.81,26.81,0.0,0.0,25.95,25.95,25.95,0.0,0.0,26.03,26.03,26.03,0.0,0.0
2019-03-24,26.78,26.78,26.78,0.0,0.0,26.78,26.78,26.78,0.0,0.0,26.78,26.78,26.78,0.0,0.0,26.78,26.78,26.78,0.0,0.0
2019-03-31,27.21,27.21,27.21,0.0,0.0,27.32,27.32,27.32,0.0,0.0,27.21,27.21,27.21,0.0,0.0,27.31,27.31,27.31,0.0,0.0
2019-04-07,27.41,27.41,27.41,0.0,0.0,27.41,27.41,27.41,0.0,0.0,27.41,27.41,27.41,0.0,0.0,27.41,27.41,27.41,0.0,0.0
2019-04-14,27.56,27.56,27.56,0.0,0.0,27.56,27.56,27.56,0.0,0.0,27.56,27.56,27.56,0.0,0.0,27.56,27.56,27.56,0.0,0.0
2019-04-21,28.1,28.1,28.1,0.0,0.0,28.13,28.13,28.13,0.0,0.0,28.1,28.1,28.1,0.0,0.0,28.13,28.13,28.13,0.0,0.0
2019-04-28,28.8,28.8,28.8,0.0,0.0,28.8,28.8,28.8,0.0,0.0,28.79,28.79,28.79,0.0,0.0,28.79,28.79,28.79,0.0,0.0
2019-05-05,27.61,27.61,27.61,0.0,0.0,27.61,27.61,27.61,0.0,0.0,27.61,27.61,27.61,0.0,0.0,27.61,27.61,27.61,0.0,0.0
2019-05-12,27.11,27.11,27.11,0.0,0.0,27.11,27.11,27.11,0.0,0.0,26.9,26.9,26.9,0.0,0.0,26.9,26.9,26.9,0.0,0.0
2019-05-19,26.52,26.52,26.52,0.0,0.0,26.52,26.52,26.52,0.0,0.0,26.47,26.47,26.47,0.0,0.0,26.47,26.47,26.47,0.0,0.0
2019-05-26,25.33,25.33,25.33,0.0,0.0,25.6,25.6,25.6,0.0,0.0,25.33,25.33,25.33,0.0,0.0,25.6,25.6,25.6,0.0,0.0
2019-06-02,26.45,26.45,26.45,0.0,0.0,26.6,26.6,26.6,0.0,0.0,26.45,26.45,26.45,0.0,0.0,26.55,26.55,26.55,0.0,0.0
2019-06-09,26.61,26.61,26.61,0.0,0.0,26.61,26.61,26.61,0.0,0.0,26.61,26.61,26.61,0.0,0.0,26.61,26.61,26.61,0.0,0.0
2019-06-16,26.85,26.85,26.85,0.0,0.0,26.94,26.94,26.94,0.0,0.0,26.82,26.82,26.82,0.0,0.0,26.82,26.82,26.82,0.0,0.0
2019-06-23,26.92,26.92,26.92,0.0,0.0,27.28,27.28,27.28,0.0,0.0,26.92,26.92,26.92,0.0,0.0,27.28,27.28,27.28,0.0,0.0
2019-06-30,27.04,27.04,27.04,0.0,0.0,27.34,27.34,27.34,0.0,0.0,27.04,27.04,27.04,0.0,0.0,27.34,27.34,27.34,0.0,0.0
2019-07-07,27.07,27.07,27.07,0.0,0.0,27.32,27.32,27.32,0.0,0.0,27.07,27.07,27.07,0.0,0.0,27.32,27.32,27.32,0.0,0.0
2019-07-14,27.28,27.28,27.28,0.0,0.0,27.35,27.35,27.35,0.0,0.0,27.14,27.14,27.14,0.0,0.0,27.14,27.14,27.14,0.0,0.0
2019-07-21,27.67,27.67,27.67,0.0,0.0,27.83,27.83,27.83,0.0,0.0,27.67,27.67,27.67,0.0,0.0,27.78,27.78,27.78,0.0,0.0
2019-07-28,26.83,26.83,26.83,0.0,0.0,26.83,26.83,26.83,0.0,0.0,26.83,26.83,26.83,0.0,0.0,26.83,26.83,26.83,0.0,0.0
2019-08-04,26.53,26.53,26.53,0.0,0.0,26.61,26.61,26.61,0.0,0.0,26.53,26.53,26.53,0.0,0.0,26.61,26.61,26.61,0.0,0.0
2019-08-11,26.21,26.21,26.21,0.0,0.0,26.46,26.46,26.46,0.0,0.0,26.21,26.21,26.21,0.0,0.0,26.46,26.46,26.46,0.0,0.0
2019-08-18,26.22,26.22,26.22,0.0,0.0,26.22,26.22,26.22,0.0,0.0,25.57,25.57,25.57,0.0,0.0,25.57,25.57,25.57,0.0,0.0
2019-08-25,26.24,26.24,26.24,0.0,0.0,26.41,26.41,26.41,0.0,0.0,26.22,26.22,26.22,0.0,0.0,26.41,26.41,26.41,0.0,0.0
2019-09-01,26.85,26.85,26.85,0.0,0.0,26.85,26.85,26.85,0.0,0.0,26.81,26.81,26.81,0.0,0.0,26.81,26.81,26.81,0.0,0.0
2019-09-08,28.24,28.24,28.24,0.0,0.0,28.24,28.24,28.24,0.0,0.0,28.21,28.21,28.21,0.0,0.0,28.21,28.21,28.21,0.0,0.0
2019-09-15,27.75,27.75,27.75,0.0,0.0,27.76,27.76,27.76,0.0,0.0,27.52,27.52,27.52,0.0,0.0,27.65,27.65,27.65,0.0,0.0
2019-09-22,27.43,27.43,27.43,0.0,0.0,27.47,27.47,27.47,0.0,0.0,27.3,27.3,27.3,0.0,0.0,27.3,27.3,27.3,0.0,0.0
2019-09-29,26.86,26.86,26.86,0.0,0.0,26.98,26.98,26.98,0.0,0.0,26.86,26.86,26.86,0.0,0.0,26.98,26.98,26.98,0.0,0.0
2019-10-06,27.37,27.37,27.37,0.0,0.0,27.41,27.41,27.41,0.0,0.0,27.19,27.19,27.19,0.0,0.0,27.19,27.19,27.19,0.0,0.0
2019-10-13,27.47,27.47,27.47,0.0,0.0,27.69,27.69,27.69,0.0,0.0,27.47,27.47,27.47,0.0,0.0,27.69,27.69,27.69,0.0,0.0
2019-10-20,28.05,28.05,28.05,0.0,0.0,28.05,28.05,28.05,0.0,0.0,28.02,28.02,28.02,0.0,0.0,28.02,28.02,28.02,0.0,0.0
2019-10-27,28.5,28.5,28.5,0.0,0.0,28.53,28.53,28.53,0.0,0.0,28.5,28.5,28.5,0.0,0.0,28.53,28.53,28.53,0.0,0.0
2019-11-03,28.65,28.65,28.65,0.0,0.0,28.65,28.65,28.65,0.0,0.0,28.64,28.64,28.64,0.0,0.0,28.64,28.64,28.64,0.0,0.0
2019-11-10,28.38,28.38,28.38,0.0,0.0,28.4,28.4,28.4,0.0,0.0,28.38,28.38,28.38,0.0,0.0,28.38,28.38,28.38,0.0,0.0
2019-11-17,27.99,27.99,27.99,0.0,0.0,27.99,27.99,27.99,0.0,0.0,27.85,27.85,27.85,0.0,0.0,27.95,27.95,27.95,0.0,0.0
2019-11-24,28.46,28.46,28.46,0.0,0.0,28.61,28.61,28.61,0.0,0.0,28.42,28.42,28.42,0.0,0.0,28.42,28.42,28.42,0.0,0.0
2019-12-01,28.65,28.65,28.65,0.0,0.0,28.65,28.65,28.65,0.0,0.0,28.65,28.65,28.65,0.0,0.0,28.65,28.65,28.65,0.0,0.0
2019-12-08,28.7,28.7,28.7,0.0,0.0,28.7,28.7,28.7,0.0,0.0,28.7,28.7,28.7,0.0,0.0,28.7,28.7,28.7,0.0,0.0
2019-12-15,29.3,29.3,29.3,0.0,0.0,29.3,29.3,29.3,0.0,0.0,29.22,29.22,29.22,0.0,0.0,29.22,29.22,29.22,0.0,0.0
2019-12-22,28.99,28.99,28.99,0.0,0.0,28.99,28.99,28.99,0.0,0.0,28.99,28.99,28.99,0.0,0.0,28.99,28.99,28.99,0.0,0.0
2019-12-29,28.75,28.75,28.75,0.0,0.0,29.09,29.09,29.09,0.0,0.0,28.75,28.75,28.75,0.0,0.0,29.09,29.09,29.09,0.0,0.0
