Date,iShares MSCI India_Open_average,iShares MSCI India_Open_max,iShares MSCI India_Open_min,iShares MSCI India_Open_volatility,iShares MSCI India_Open_change,iShares MSCI India_High_average,iShares MSCI India_High_max,iShares MSCI India_High_min,iShares MSCI India_High_volatility,iShares MSCI India_High_change,iShares MSCI India_Low_average,iShares MSCI India_Low_max,iShares MSCI India_Low_min,iShares MSCI India_Low_volatility,iShares MSCI India_Low_change,iShares MSCI India_Close_average,iShares MSCI India_Close_max,iShares MSCI India_Close_min,iShares MSCI India_Close_volatility,iShares MSCI India_Close_change
2018-03-25,34.12,34.12,34.12,0.0,0.0,34.24,34.24,34.24,0.0,0.0,33.66,33.66,33.66,0.0,0.0,33.82,33.82,33.82,0.0,0.0
2018-04-01,34.63,34.63,34.63,0.0,0.0,34.78,34.78,34.78,0.0,0.0,34.46,34.46,34.46,0.0,0.0,34.55,34.55,34.55,0.0,0.0
2018-04-08,34.87,34.87,34.87,0.0,0.0,34.95,34.95,34.95,0.0,0.0,34.8,34.8,34.8,0.0,0.0,34.87,34.87,34.87,0.0,0.0
2018-04-15,34.65,34.65,34.65,0.0,0.0,34.68,34.68,34.68,0.0,0.0,34.33,34.33,34.33,0.0,0.0,34.41,34.41,34.41,0.0,0.0
2018-04-22,35.03,35.03,35.03,0.0,0.0,35.12,35.12,35.12,0.0,0.0,34.88,34.88,34.88,0.0,0.0,34.95,34.95,34.95,0.0,0.0
2018-04-29,34.22,34.22,34.22,0.0,0.0,34.38,34.38,34.38,0.0,0.0,34.16,34.16,34.16,0.0,0.0,34.25,34.25,34.25,0.0,0.0
2018-05-06,34.08,34.08,34.08,0.0,0.0,34.14,34.14,34.14,0.0,0.0,33.89,33.89,33.89,0.0,0.0,33.9,33.9,33.9,0.0,0.0
2018-05-13,32.77,32.77,32.77,0.0,0.0,32.8,32.8,32.8,0.0,0.0,32.67,32.67,32.67,0.0,0.0,32.73,32.73,32.73,0.0,0.0
2018-05-20,33.26,33.26,33.26,0.0,0.0,33.46,33.46,33.46,0.0,0.0,33.25,33.25,33.25,0.0,0.0,33.44,33.44,33.44,0.0,0.0
2018-05-27,33.51,33.51,33.51,0.0,0.0,33.57,33.57,33.57,0.0,0.0,33.34,33.34,33.34,0.0,0.0,33.35,33.35,33.35,0.0,0.0
2018-06-03,33.92,33.92,33.92,0.0,0.0,34.01,34.01,34.01,0.0,0.0,33.89,33.89,33.89,0.0,0.0,33.91,33.91,33.91,0.0,0.0
2018-06-10,33.59,33.59,33.59,0.0,0.0,33.7,33.7,33.7,0.0,0.0,33.45,33.45,33.45,0.0,0.0,33.52,33.52,33.52,0.0,0.0
2018-06-17,33.37,33.37,33.37,0.0,0.0,33.54,33.54,33.54,0.0,0.0,33.16,33.16,33.16,0.0,0.0,33.33,33.33,33.33,0.0,0.0
2018-06-24,32.87,32.87,32.87,0.0,0.0,33.06,33.06,33.06,0.0,0.0,32.82,32.82,32.82,0.0,0.0,33.02,33.02,33.02,0.0,0.0
2018-07-01,33.58,33.58,33.58,0.0,0.0,33.75,33.75,33.75,0.0,0.0,33.5,33.5,33.5,0.0,0.0,33.74,33.74,33.74,0.0,0.0
2018-07-08,33.8,33.8,33.8,0.0,0.0,33.82,33.82,33.82,0.0,0.0,33.65,33.65,33.65,0.0,0.0,33.76,33.76,33.76,0.0,0.0
2018-07-15,34.23,34.23,34.23,0.0,0.0,34.24,34.24,34.24,0.0,0.0,34.09,34.09,34.09,0.0,0.0,34.14,34.14,34.14,0.0,0.0
2018-07-22,35.27,35.27,35.27,0.0,0.0,35.38,35.38,35.38,0.0,0.0,35.21,35.21,35.21,0.0,0.0,35.34,35.34,35.34,0.0,0.0
2018-07-29,35.63,35.63,35.63,0.0,0.0,35.72,35.72,35.72,0.0,0.0,35.5,35.5,35.5,0.0,0.0,35.55,35.55,35.55,0.0,0.0
2018-08-05,34.93,34.93,34.93,0.0,0.0,35.0,35.0,35.0,0.0,0.0,34.65,34.65,34.65,0.0,0.0,34.66,34.66,34.66,0.0,0.0
2018-08-12,35.49,35.49,35.49,0.0,0.0,35.53,35.53,35.53,0.0,0.0,35.38,35.38,35.38,0.0,0.0,35.48,35.48,35.48,0.0,0.0
2018-08-19,36.02,36.02,36.02,0.0,0.0,36.25,36.25,36.25,0.0,0.0,35.99,35.99,35.99,0.0,0.0,36.14,36.14,36.14,0.0,0.0
2018-08-26,35.38,35.38,35.38,0.0,0.0,35.73,35.73,35.73,0.0,0.0,35.38,35.38,35.38,0.0,0.0,35.68,35.68,35.68,0.0,0.0
2018-09-02,34.14,34.14,34.14,0.0,0.0,34.23,34.23,34.23,0.0,0.0,33.94,33.94,33.94,0.0,0.0,33.98,33.98,33.98,0.0,0.0
2018-09-09,34.06,34.06,34.06,0.0,0.0,34.1,34.1,34.1,0.0,0.0,33.86,33.86,33.86,0.0,0.0,33.86,33.86,33.86,0.0,0.0
2018-09-16,32.69,32.69,32.69,0.0,0.0,32.78,32.78,32.78,0.0,0.0,32.54,32.54,32.54,0.0,0.0,32.62,32.62,32.62,0.0,0.0
2018-09-23,32.69,32.69,32.69,0.0,0.0,32.75,32.75,32.75,0.0,0.0,32.37,32.37,32.37,0.0,0.0,32.42,32.42,32.42,0.0,0.0
2018-09-30,29.76,29.76,29.76,0.0,0.0,30.15,30.15,30.15,0.0,0.0,29.75,29.75,29.75,0.0,0.0,30.15,30.15,30.15,0.0,0.0
2018-10-07,30.57,30.57,30.57,0.0,0.0,30.73,30.73,30.73,0.0,0.0,30.5,30.5,30.5,0.0,0.0,30.54,30.54,30.54,0.0,0.0
2018-10-14,29.68,29.68,29.68,0.0,0.0,29.75,29.75,29.75,0.0,0.0,29.45,29.45,29.45,0.0,0.0,29.49,29.49,29.49,0.0,0.0
2018-10-21,29.86,29.86,29.86,0.0,0.0,29.98,29.98,29.98,0.0,0.0,29.26,29.26,29.26,0.0,0.0,29.59,29.59,29.59,0.0,0.0
2018-10-28,31.27,31.27,31.27,0.0,0.0,31.56,31.56,31.56,0.0,0.0,31.25,31.25,31.25,0.0,0.0,31.54,31.54,31.54,0.0,0.0
2018-11-04,31.01,31.01,31.01,0.0,0.0,31.04,31.04,31.04,0.0,0.0,30.74,30.74,30.74,0.0,0.0,30.81,30.81,30.81,0.0,0.0
2018-11-11,32.44,32.44,32.44,0.0,0.0,32.55,32.55,32.55,0.0,0.0,32.32,32.32,32.32,0.0,0.0,32.4,32.4,32.4,0.0,0.0
2018-11-18,32.17,32.17,32.17,0.0,0.0,32.29,32.29,32.29,0.0,0.0,32.13,32.13,32.13,0.0,0.0,32.29,32.29,32.29,0.0,0.0
2018-11-25,33.23,33.23,33.23,0.0,0.0,33.28,33.28,33.28,0.0,0.0,33.03,33.03,33.03,0.0,0.0,33.24,33.24,33.24,0.0,0.0
2018-12-02,30.56,30.56,30.56,0.0,0.0,30.63,30.63,30.63,0.0,0.0,30.12,30.12,30.12,0.0,0.0,30.31,30.31,30.31,0.0,0.0
2018-12-09,32.64,32.64,32.64,0.0,0.0,32.78,32.78,32.78,0.0,0.0,32.38,32.38,32.38,0.0,0.0,32.47,32.47,32.47,0.0,0.0
2018-12-16,32.5,32.5,32.5,0.0,0.0,32.54,32.54,32.54,0.0,0.0,32.28,32.28,32.28,0.0,0.0,32.31,32.31,32.31,0.0,0.0
2018-12-23,33.44,33.44,33.44,0.0,0.0,33.5,33.5,33.5,0.0,0.0,33.16,33.16,33.16,0.0,0.0,33.34,33.34,33.34,0.0,0.0
2018-12-30,33.03,33.03,33.03,0.0,0.0,33.03,33.03,33.03,0.0,0.0,32.76,32.76,32.76,0.0,0.0,32.82,32.82,32.82,0.0,0.0
2019-01-06,32.34,32.34,32.34,0.0,0.0,32.48,32.48,32.48,0.0,0.0,32.22,32.22,32.22,0.0,0.0,32.28,32.28,32.28,0.0,0.0
2019-01-13,32.81,32.81,32.81,0.0,0.0,32.85,32.85,32.85,0.0,0.0,32.7,32.7,32.7,0.0,0.0,32.76,32.76,32.76,0.0,0.0
2019-01-20,31.91,31.91,31.91,0.0,0.0,32.13,32.13,32.13,0.0,0.0,31.86,31.86,31.86,0.0,0.0,32.07,32.07,32.07,0.0,0.0
2019-01-27,32.35,32.35,32.35,0.0,0.0,32.62,32.62,32.62,0.0,0.0,32.35,32.35,32.35,0.0,0.0,32.53,32.53,32.53,0.0,0.0
2019-02-03,32.57,32.57,32.57,0.0,0.0,32.66,32.66,32.66,0.0,0.0,32.43,32.43,32.43,0.0,0.0,32.44,32.44,32.44,0.0,0.0
2019-02-10,32.02,32.02,32.02,0.0,0.0,32.09,32.09,32.09,0.0,0.0,31.87,31.87,31.87,0.0,0.0,31.92,31.92,31.92,0.0,0.0
2019-02-17,32.76,32.76,32.76,0.0,0.0,32.92,32.92,32.92,0.0,0.0,32.62,32.62,32.62,0.0,0.0,32.85,32.85,32.85,0.0,0.0
2019-02-24,32.55,32.55,32.55,0.0,0.0,32.67,32.67,32.67,0.0,0.0,32.31,32.31,32.31,0.0,0.0,32.45,32.45,32.45,0.0,0.0
2019-03-03,34.16,34.16,34.16,0.0,0.0,34.42,34.42,34.42,0.0,0.0,34.11,34.11,34.11,0.0,0.0,34.39,34.39,34.39,0.0,0.0
2019-03-10,35.27,35.27,35.27,0.0,0.0,35.47,35.47,35.47,0.0,0.0,35.25,35.25,35.25,0.0,0.0,35.45,35.45,35.45,0.0,0.0
2019-03-17,34.66,34.66,34.66,0.0,0.0,34.75,34.75,34.75,0.0,0.0,34.56,34.56,34.56,0.0,0.0,34.6,34.6,34.6,0.0,0.0
2019-03-24,35.55,35.55,35.55,0.0,0.0,35.67,35.67,35.67,0.0,0.0,35.48,35.48,35.48,0.0,0.0,35.61,35.61,35.61,0.0,0.0
2019-03-31,35.26,35.26,35.26,0.0,0.0,35.36,35.36,35.36,0.0,0.0,35.23,35.23,35.23,0.0,0.0,35.31,35.31,35.31,0.0,0.0
2019-04-07,35.51,35.51,35.51,0.0,0.0,35.58,35.58,35.58,0.0,0.0,35.41,35.41,35.41,0.0,0.0,35.54,35.54,35.54,0.0,0.0
2019-04-14,35.06,35.06,35.06,0.0,0.0,35.09,35.09,35.09,0.0,0.0,34.94,34.94,34.94,0.0,0.0,35.02,35.02,35.02,0.0,0.0
2019-04-21,35.48,35.48,35.48,0.0,0.0,35.58,35.58,35.58,0.0,0.0,35.48,35.48,35.48,0.0,0.0,35.57,35.57,35.57,0.0,0.0
2019-04-28,34.98,34.98,34.98,0.0,0.0,35.13,35.13,35.13,0.0,0.0,34.89,34.89,34.89,0.0,0.0,35.06,35.06,35.06,0.0,0.0
2019-05-05,32.84,32.84,32.84,0.0,0.0,32.87,32.87,32.87,0.0,0.0,32.63,32.63,32.63,0.0,0.0,32.68,32.68,32.68,0.0,0.0
2019-05-12,35.2,35.2,35.2,0.0,0.0,35.33,35.33,35.33,0.0,0.0,35.11,35.11,35.11,0.0,0.0,35.21,35.21,35.21,0.0,0.0
2019-05-19,35.44,35.44,35.44,0.0,0.0,35.52,35.52,35.52,0.0,0.0,35.34,35.34,35.34,0.0,0.0,35.44,35.44,35.44,0.0,0.0
2019-05-26,36.35,36.35,36.35,0.0,0.0,36.46,36.46,36.46,0.0,0.0,36.3,36.3,36.3,0.0,0.0,36.38,36.38,36.38,0.0,0.0
2019-06-02,35.76,35.76,35.76,0.0,0.0,35.83,35.83,35.83,0.0,0.0,35.63,35.63,35.63,0.0,0.0,35.78,35.78,35.78,0.0,0.0
2019-06-09,34.46,34.46,34.46,0.0,0.0,34.64,34.64,34.64,0.0,0.0,34.44,34.44,34.44,0.0,0.0,34.64,34.64,34.64,0.0,0.0
2019-06-16,34.79,34.79,34.79,0.0,0.0,34.89,34.89,34.89,0.0,0.0,34.77,34.77,34.77,0.0,0.0,34.82,34.82,34.82,0.0,0.0
2019-06-23,35.6,35.6,35.6,0.0,0.0,35.62,35.62,35.62,0.0,0.0,35.47,35.47,35.47,0.0,0.0,35.6,35.6,35.6,0.0,0.0
2019-06-30,34.8,34.8,34.8,0.0,0.0,34.89,34.89,34.89,0.0,0.0,34.74,34.74,34.74,0.0,0.0,34.82,34.82,34.82,0.0,0.0
2019-07-07,34.91,34.91,34.91,0.0,0.0,34.92,34.92,34.92,0.0,0.0,34.84,34.84,34.84,0.0,0.0,34.89,34.89,34.89,0.0,0.0
2019-07-14,34.19,34.19,34.19,0.0,0.0,34.25,34.25,34.25,0.0,0.0,34.13,34.13,34.13,0.0,0.0,34.19,34.19,34.19,0.0,0.0
2019-07-21,33.68,33.68,33.68,0.0,0.0,33.72,33.72,33.72,0.0,0.0,33.61,33.61,33.61,0.0,0.0,33.66,33.66,33.66,0.0,0.0
2019-07-28,31.73,31.73,31.73,0.0,0.0,31.74,31.74,31.74,0.0,0.0,31.25,31.25,31.25,0.0,0.0,31.35,31.35,31.35,0.0,0.0
2019-08-04,32.2,32.2,32.2,0.0,0.0,32.31,32.31,32.31,0.0,0.0,32.14,32.14,32.14,0.0,0.0,32.17,32.17,32.17,0.0,0.0
2019-08-11,32.13,32.13,32.13,0.0,0.0,32.23,32.23,32.23,0.0,0.0,31.94,31.94,31.94,0.0,0.0,31.94,31.94,31.94,0.0,0.0
2019-08-18,31.97,31.97,31.97,0.0,0.0,32.18,32.18,32.18,0.0,0.0,31.87,31.87,31.87,0.0,0.0,32.16,32.16,32.16,0.0,0.0
2019-08-25,32.19,32.19,32.19,0.0,0.0,32.2,32.2,32.2,0.0,0.0,31.97,31.97,31.97,0.0,0.0,32.18,32.18,32.18,0.0,0.0
2019-09-01,32.07,32.07,32.07,0.0,0.0,32.19,32.19,32.19,0.0,0.0,32.02,32.02,32.02,0.0,0.0,32.12,32.12,32.12,0.0,0.0
2019-09-08,32.21,32.21,32.21,0.0,0.0,32.23,32.23,32.23,0.0,0.0,31.89,31.89,31.89,0.0,0.0,31.94,31.94,31.94,0.0,0.0
2019-09-15,33.64,33.64,33.64,0.0,0.0,33.99,33.99,33.99,0.0,0.0,33.56,33.56,33.56,0.0,0.0,33.97,33.97,33.97,0.0,0.0
2019-09-22,33.48,33.48,33.48,0.0,0.0,33.6,33.6,33.6,0.0,0.0,33.45,33.45,33.45,0.0,0.0,33.57,33.57,33.57,0.0,0.0
2019-09-29,32.5,32.5,32.5,0.0,0.0,32.56,32.56,32.56,0.0,0.0,32.37,32.37,32.37,0.0,0.0,32.39,32.39,32.39,0.0,0.0
2019-10-06,32.83,32.83,32.83,0.0,0.0,32.88,32.88,32.88,0.0,0.0,32.78,32.78,32.78,0.0,0.0,32.79,32.79,32.79,0.0,0.0
2019-10-13,33.9,33.9,33.9,0.0,0.0,34.0,34.0,34.0,0.0,0.0,33.8,33.8,33.8,0.0,0.0,33.97,33.97,33.97,0.0,0.0
2019-10-20,34.15,34.15,34.15,0.0,0.0,34.23,34.23,34.23,0.0,0.0,34.08,34.08,34.08,0.0,0.0,34.15,34.15,34.15,0.0,0.0
2019-10-27,35.08,35.08,35.08,0.0,0.0,35.14,35.14,35.14,0.0,0.0,34.95,34.95,34.95,0.0,0.0,34.97,34.97,34.97,0.0,0.0
2019-11-03,34.24,34.24,34.24,0.0,0.0,34.38,34.38,34.38,0.0,0.0,34.24,34.24,34.24,0.0,0.0,34.34,34.34,34.34,0.0,0.0
2019-11-10,34.09,34.09,34.09,0.0,0.0,34.13,34.13,34.13,0.0,0.0,34.02,34.02,34.02,0.0,0.0,34.06,34.06,34.06,0.0,0.0
2019-11-17,34.77,34.77,34.77,0.0,0.0,34.92,34.92,34.92,0.0,0.0,34.71,34.71,34.71,0.0,0.0,34.91,34.91,34.91,0.0,0.0
2019-11-24,34.61,34.61,34.61,0.0,0.0,34.71,34.71,34.71,0.0,0.0,34.58,34.58,34.58,0.0,0.0,34.71,34.71,34.71,0.0,0.0
2019-12-01,34.53,34.53,34.53,0.0,0.0,34.65,34.65,34.65,0.0,0.0,34.53,34.53,34.53,0.0,0.0,34.65,34.65,34.65,0.0,0.0
2019-12-08,34.94,34.94,34.94,0.0,0.0,35.06,35.06,35.06,0.0,0.0,34.91,34.91,34.91,0.0,0.0,34.94,34.94,34.94,0.0,0.0
2019-12-15,35.4,35.4,35.4,0.0,0.0,35.4,35.4,35.4,0.0,0.0,35.32,35.32,35.32,0.0,0.0,35.36,35.36,35.36,0.0,0.0
2019-12-22,35.37,35.37,35.37,0.0,0.0,35.41,35.41,35.41,0.0,0.0,35.18,35.18,35.18,0.0,0.0,35.18,35.18,35.18,0.0,0.0
2019-12-29,35.13,35.13,35.13,0.0,0.0,35.16,35.16,35.16,0.0,0.0,34.97,34.97,34.97,0.0,0.0,34.98,34.98,34.98,0.0,0.0
