Date,iShares MSCI USA Equal Weighted_Open_average,iShares MSCI USA Equal Weighted_Open_max,iShares MSCI USA Equal Weighted_Open_min,iShares MSCI USA Equal Weighted_Open_volatility,iShares MSCI USA Equal Weighted_Open_change,iShares MSCI USA Equal Weighted_High_average,iShares MSCI USA Equal Weighted_High_max,iShares MSCI USA Equal Weighted_High_min,iShares MSCI USA Equal Weighted_High_volatility,iShares MSCI USA Equal Weighted_High_change,iShares MSCI USA Equal Weighted_Low_average,iShares MSCI USA Equal Weighted_Low_max,iShares MSCI USA Equal Weighted_Low_min,iShares MSCI USA Equal Weighted_Low_volatility,iShares MSCI USA Equal Weighted_Low_change,iShares MSCI USA Equal Weighted_Close_average,iShares MSCI USA Equal Weighted_Close_max,iShares MSCI USA Equal Weighted_Close_min,iShares MSCI USA Equal Weighted_Close_volatility,iShares MSCI USA Equal Weighted_Close_change
2018-07-29,58.16,58.16,58.16,0.0,0.0,58.38,58.38,58.38,0.0,0.0,58.14,58.14,58.14,0.0,0.0,58.33,58.33,58.33,0.0,0.0
2018-08-05,57.96,57.96,57.96,0.0,0.0,58.07,58.07,58.07,0.0,0.0,57.65,57.65,57.65,0.0,0.0,57.71,57.71,57.71,0.0,0.0
2018-08-12,58.67,58.67,58.67,0.0,0.0,58.76,58.76,58.76,0.0,0.0,58.6,58.6,58.6,0.0,0.0,58.73,58.73,58.73,0.0,0.0
2018-08-19,59.27,59.27,59.27,0.0,0.0,59.44,59.44,59.44,0.0,0.0,59.27,59.27,59.27,0.0,0.0,59.36,59.36,59.36,0.0,0.0
2018-08-26,59.22,59.22,59.22,0.0,0.0,59.36,59.36,59.36,0.0,0.0,59.18,59.18,59.18,0.0,0.0,59.33,59.33,59.33,0.0,0.0
2018-09-02,58.97,58.97,58.97,0.0,0.0,59.11,59.11,59.11,0.0,0.0,58.97,58.97,58.97,0.0,0.0,59.08,59.08,59.08,0.0,0.0
2018-09-09,59.47,59.47,59.47,0.0,0.0,59.51,59.51,59.51,0.0,0.0,59.24,59.24,59.24,0.0,0.0,59.26,59.26,59.26,0.0,0.0
2018-09-16,59.5,59.5,59.5,0.0,0.0,59.59,59.59,59.59,0.0,0.0,59.44,59.44,59.44,0.0,0.0,59.57,59.57,59.57,0.0,0.0
2018-09-23,59.23,59.23,59.23,0.0,0.0,59.28,59.28,59.28,0.0,0.0,58.81,58.81,58.81,0.0,0.0,58.87,58.87,58.87,0.0,0.0
2018-09-30,57.89,57.89,57.89,0.0,0.0,58.14,58.14,58.14,0.0,0.0,57.77,57.77,57.77,0.0,0.0,58.13,58.13,58.13,0.0,0.0
2018-10-07,55.21,55.21,55.21,0.0,0.0,55.76,55.76,55.76,0.0,0.0,55.21,55.21,55.21,0.0,0.0,55.55,55.55,55.55,0.0,0.0
2018-10-14,55.48,55.48,55.48,0.0,0.0,55.78,55.78,55.78,0.0,0.0,55.0,55.0,55.0,0.0,0.0,55.13,55.13,55.13,0.0,0.0
2018-10-21,53.8,53.8,53.8,0.0,0.0,54.15,54.15,54.15,0.0,0.0,52.43,52.43,52.43,0.0,0.0,53.05,53.05,53.05,0.0,0.0
2018-10-28,55.38,55.38,55.38,0.0,0.0,55.52,55.52,55.52,0.0,0.0,54.93,54.93,54.93,0.0,0.0,55.48,55.48,55.48,0.0,0.0
2018-11-04,55.71,55.71,55.71,0.0,0.0,55.75,55.75,55.75,0.0,0.0,55.18,55.18,55.18,0.0,0.0,55.18,55.18,55.18,0.0,0.0
2018-11-11,55.01,55.01,55.01,0.0,0.0,55.05,55.05,55.05,0.0,0.0,54.35,54.35,54.35,0.0,0.0,54.58,54.58,54.58,0.0,0.0
2018-11-18,54.35,54.35,54.35,0.0,0.0,54.65,54.65,54.65,0.0,0.0,54.31,54.31,54.31,0.0,0.0,54.65,54.65,54.65,0.0,0.0
2018-11-25,56.47,56.47,56.47,0.0,0.0,56.55,56.55,56.55,0.0,0.0,56.13,56.13,56.13,0.0,0.0,56.47,56.47,56.47,0.0,0.0
2018-12-02,53.31,53.31,53.31,0.0,0.0,53.32,53.32,53.32,0.0,0.0,52.48,52.48,52.48,0.0,0.0,53.24,53.24,53.24,0.0,0.0
2018-12-09,51.88,51.88,51.88,0.0,0.0,52.07,52.07,52.07,0.0,0.0,50.84,50.84,50.84,0.0,0.0,50.93,50.93,50.93,0.0,0.0
2018-12-16,48.12,48.12,48.12,0.0,0.0,48.18,48.18,48.18,0.0,0.0,47.02,47.02,47.02,0.0,0.0,47.02,47.02,47.02,0.0,0.0
2018-12-23,49.93,49.93,49.93,0.0,0.0,49.98,49.98,49.98,0.0,0.0,49.51,49.51,49.51,0.0,0.0,49.79,49.79,49.79,0.0,0.0
2018-12-30,50.86,50.86,50.86,0.0,0.0,51.65,51.65,51.65,0.0,0.0,50.77,50.77,50.77,0.0,0.0,51.26,51.26,51.26,0.0,0.0
2019-01-06,52.45,52.45,52.45,0.0,0.0,52.45,52.45,52.45,0.0,0.0,52.14,52.14,52.14,0.0,0.0,52.29,52.29,52.29,0.0,0.0
2019-01-13,53.85,53.85,53.85,0.0,0.0,54.22,54.22,54.22,0.0,0.0,53.75,53.75,53.75,0.0,0.0,54.07,54.07,54.07,0.0,0.0
2019-01-20,53.63,53.63,53.63,0.0,0.0,53.96,53.96,53.96,0.0,0.0,53.59,53.59,53.59,0.0,0.0,53.91,53.91,53.91,0.0,0.0
2019-01-27,55.43,55.43,55.43,0.0,0.0,55.49,55.49,55.49,0.0,0.0,55.07,55.07,55.07,0.0,0.0,55.49,55.49,55.49,0.0,0.0
2019-02-03,55.49,55.49,55.49,0.0,0.0,55.61,55.61,55.61,0.0,0.0,55.48,55.48,55.48,0.0,0.0,55.56,55.56,55.56,0.0,0.0
2019-02-10,56.72,56.72,56.72,0.0,0.0,56.97,56.97,56.97,0.0,0.0,56.72,56.72,56.72,0.0,0.0,56.96,56.96,56.96,0.0,0.0
2019-02-17,57.65,57.65,57.65,0.0,0.0,57.75,57.75,57.75,0.0,0.0,57.37,57.37,57.37,0.0,0.0,57.37,57.37,57.37,0.0,0.0
2019-02-24,57.98,57.98,57.98,0.0,0.0,57.98,57.98,57.98,0.0,0.0,56.94,56.94,56.94,0.0,0.0,57.29,57.29,57.29,0.0,0.0
2019-03-03,56.16,56.16,56.16,0.0,0.0,56.72,56.72,56.72,0.0,0.0,56.16,56.16,56.16,0.0,0.0,56.72,56.72,56.72,0.0,0.0
2019-03-10,57.73,57.73,57.73,0.0,0.0,57.73,57.73,57.73,0.0,0.0,57.44,57.44,57.44,0.0,0.0,57.62,57.62,57.62,0.0,0.0
2019-03-17,56.31,56.31,56.31,0.0,0.0,56.69,56.69,56.69,0.0,0.0,56.14,56.14,56.14,0.0,0.0,56.44,56.44,56.44,0.0,0.0
2019-03-24,57.83,57.83,57.83,0.0,0.0,58.12,58.12,58.12,0.0,0.0,57.81,57.81,57.81,0.0,0.0,58.12,58.12,58.12,0.0,0.0
2019-03-31,58.65,58.65,58.65,0.0,0.0,58.83,58.83,58.83,0.0,0.0,58.59,58.59,58.59,0.0,0.0,58.83,58.83,58.83,0.0,0.0
2019-04-07,59.57,59.57,59.57,0.0,0.0,59.57,59.57,59.57,0.0,0.0,59.1,59.1,59.1,0.0,0.0,59.17,59.17,59.17,0.0,0.0
2019-04-14,58.78,58.78,58.78,0.0,0.0,58.88,58.88,58.88,0.0,0.0,58.76,58.76,58.76,0.0,0.0,58.85,58.85,58.85,0.0,0.0
2019-04-21,59.41,59.41,59.41,0.0,0.0,59.5,59.5,59.5,0.0,0.0,59.38,59.38,59.38,0.0,0.0,59.38,59.38,59.38,0.0,0.0
2019-04-28,58.46,58.46,58.46,0.0,0.0,59.25,59.25,59.25,0.0,0.0,58.46,58.46,58.46,0.0,0.0,59.2,59.2,59.2,0.0,0.0
2019-05-05,57.3,57.3,57.3,0.0,0.0,57.3,57.3,57.3,0.0,0.0,56.61,56.61,56.61,0.0,0.0,56.86,56.86,56.86,0.0,0.0
2019-05-12,57.39,57.39,57.39,0.0,0.0,57.52,57.52,57.52,0.0,0.0,57.17,57.17,57.17,0.0,0.0,57.31,57.31,57.31,0.0,0.0
2019-05-19,57.16,57.16,57.16,0.0,0.0,57.16,57.16,57.16,0.0,0.0,56.84,56.84,56.84,0.0,0.0,56.98,56.98,56.98,0.0,0.0
2019-05-26,55.48,55.48,55.48,0.0,0.0,55.89,55.89,55.89,0.0,0.0,55.48,55.48,55.48,0.0,0.0,55.71,55.71,55.71,0.0,0.0
2019-06-02,58.46,58.46,58.46,0.0,0.0,58.72,58.72,58.72,0.0,0.0,58.32,58.32,58.32,0.0,0.0,58.39,58.39,58.39,0.0,0.0
2019-06-09,58.08,58.08,58.08,0.0,0.0,58.25,58.25,58.25,0.0,0.0,58.03,58.03,58.03,0.0,0.0,58.05,58.05,58.05,0.0,0.0
2019-06-16,59.18,59.18,59.18,0.0,0.0,59.25,59.25,59.25,0.0,0.0,58.96,58.96,58.96,0.0,0.0,58.96,58.96,58.96,0.0,0.0
2019-06-23,60.0,60.0,60.0,0.0,0.0,60.12,60.12,60.12,0.0,0.0,59.5,59.5,59.5,0.0,0.0,59.73,59.73,59.73,0.0,0.0
2019-06-30,60.1,60.1,60.1,0.0,0.0,60.11,60.11,60.11,0.0,0.0,59.79,59.79,59.79,0.0,0.0,59.86,59.86,59.86,0.0,0.0
2019-07-07,60.51,60.51,60.51,0.0,0.0,60.51,60.51,60.51,0.0,0.0,60.38,60.38,60.38,0.0,0.0,60.44,60.44,60.44,0.0,0.0
2019-07-14,59.86,59.86,59.86,0.0,0.0,60.03,60.03,60.03,0.0,0.0,59.83,59.83,59.83,0.0,0.0,59.89,59.89,59.89,0.0,0.0
2019-07-21,60.82,60.82,60.82,0.0,0.0,60.82,60.82,60.82,0.0,0.0,60.52,60.52,60.52,0.0,0.0,60.61,60.61,60.61,0.0,0.0
2019-07-28,58.0,58.0,58.0,0.0,0.0,58.0,58.0,58.0,0.0,0.0,56.6,56.6,56.6,0.0,0.0,56.99,56.99,56.99,0.0,0.0
2019-08-04,58.1,58.1,58.1,0.0,0.0,58.1,58.1,58.1,0.0,0.0,57.38,57.38,57.38,0.0,0.0,57.56,57.56,57.56,0.0,0.0
2019-08-11,58.34,58.34,58.34,0.0,0.0,58.34,58.34,58.34,0.0,0.0,58.0,58.0,58.0,0.0,0.0,58.05,58.05,58.05,0.0,0.0
2019-08-18,57.05,57.05,57.05,0.0,0.0,57.05,57.05,57.05,0.0,0.0,56.84,56.84,56.84,0.0,0.0,57.05,57.05,57.05,0.0,0.0
2019-08-25,58.44,58.44,58.44,0.0,0.0,58.44,58.44,58.44,0.0,0.0,57.96,57.96,57.96,0.0,0.0,58.15,58.15,58.15,0.0,0.0
2019-09-01,59.62,59.62,59.62,0.0,0.0,59.69,59.69,59.69,0.0,0.0,59.5,59.5,59.5,0.0,0.0,59.69,59.69,59.69,0.0,0.0
2019-09-08,60.46,60.46,60.46,0.0,0.0,60.74,60.74,60.74,0.0,0.0,60.46,60.46,60.46,0.0,0.0,60.74,60.74,60.74,0.0,0.0
2019-09-15,59.85,59.85,59.85,0.0,0.0,60.31,60.31,60.31,0.0,0.0,59.85,59.85,59.85,0.0,0.0,60.17,60.17,60.17,0.0,0.0
2019-09-22,59.5,59.5,59.5,0.0,0.0,59.74,59.74,59.74,0.0,0.0,59.48,59.48,59.48,0.0,0.0,59.64,59.64,59.64,0.0,0.0
2019-09-29,58.58,58.58,58.58,0.0,0.0,58.78,58.78,58.78,0.0,0.0,58.45,58.45,58.45,0.0,0.0,58.45,58.45,58.45,0.0,0.0
2019-10-06,58.89,58.89,58.89,0.0,0.0,59.0,59.0,59.0,0.0,0.0,58.79,58.79,58.79,0.0,0.0,58.95,58.95,58.95,0.0,0.0
2019-10-13,59.84,59.84,59.84,0.0,0.0,59.96,59.96,59.96,0.0,0.0,59.84,59.84,59.84,0.0,0.0,59.9,59.9,59.9,0.0,0.0
2019-10-20,60.71,60.71,60.71,0.0,0.0,60.86,60.86,60.86,0.0,0.0,60.71,60.71,60.71,0.0,0.0,60.72,60.72,60.72,0.0,0.0
2019-10-27,61.41,61.41,61.41,0.0,0.0,61.57,61.57,61.57,0.0,0.0,61.41,61.41,61.41,0.0,0.0,61.55,61.55,61.55,0.0,0.0
2019-11-03,61.5,61.5,61.5,0.0,0.0,61.73,61.73,61.73,0.0,0.0,61.45,61.45,61.45,0.0,0.0,61.68,61.68,61.68,0.0,0.0
2019-11-10,62.17,62.17,62.17,0.0,0.0,62.18,62.18,62.18,0.0,0.0,62.0,62.0,62.0,0.0,0.0,62.13,62.13,62.13,0.0,0.0
2019-11-17,62.17,62.17,62.17,0.0,0.0,62.7,62.7,62.7,0.0,0.0,62.17,62.17,62.17,0.0,0.0,62.7,62.7,62.7,0.0,0.0
2019-11-24,62.54,62.54,62.54,0.0,0.0,62.55,62.55,62.55,0.0,0.0,62.14,62.14,62.14,0.0,0.0,62.14,62.14,62.14,0.0,0.0
2019-12-01,62.73,62.73,62.73,0.0,0.0,62.74,62.74,62.74,0.0,0.0,62.53,62.53,62.53,0.0,0.0,62.53,62.53,62.53,0.0,0.0
2019-12-08,63.1,63.1,63.1,0.0,0.0,63.29,63.29,63.29,0.0,0.0,63.1,63.1,63.1,0.0,0.0,63.13,63.13,63.13,0.0,0.0
2019-12-15,64.04,64.04,64.04,0.0,0.0,64.04,64.04,64.04,0.0,0.0,63.77,63.77,63.77,0.0,0.0,63.78,63.78,63.78,0.0,0.0
2019-12-22,64.03,64.03,64.03,0.0,0.0,64.03,64.03,64.03,0.0,0.0,63.61,63.61,63.61,0.0,0.0,63.64,63.64,63.64,0.0,0.0
2019-12-29,63.52,63.52,63.52,0.0,0.0,63.93,63.93,63.93,0.0,0.0,63.52,63.52,63.52,0.0,0.0,63.85,63.85,63.85,0.0,0.0
