Date,ProShares Ultra Yen_Open_average,ProShares Ultra Yen_Open_max,ProShares Ultra Yen_Open_min,ProShares Ultra Yen_Open_volatility,ProShares Ultra Yen_Open_change,ProShares Ultra Yen_High_average,ProShares Ultra Yen_High_max,ProShares Ultra Yen_High_min,ProShares Ultra Yen_High_volatility,ProShares Ultra Yen_High_change,ProShares Ultra Yen_Low_average,ProShares Ultra Yen_Low_max,ProShares Ultra Yen_Low_min,ProShares Ultra Yen_Low_volatility,ProShares Ultra Yen_Low_change,ProShares Ultra Yen_Close_average,ProShares Ultra Yen_Close_max,ProShares Ultra Yen_Close_min,ProShares Ultra Yen_Close_volatility,ProShares Ultra Yen_Close_change
2018-03-25,63.56,63.56,63.56,0.0,0.0,64.38,64.38,64.38,0.0,0.0,63.56,63.56,63.56,0.0,0.0,64.38,64.38,64.38,0.0,0.0
2018-04-01,62.72,62.72,62.72,0.0,0.0,62.72,62.72,62.72,0.0,0.0,62.58,62.58,62.58,0.0,0.0,62.58,62.58,62.58,0.0,0.0
2018-04-08,62.5,62.5,62.5,0.0,0.0,62.57,62.57,62.57,0.0,0.0,62.5,62.5,62.5,0.0,0.0,62.57,62.57,62.57,0.0,0.0
2018-04-15,61.14,61.14,61.14,0.0,0.0,61.14,61.14,61.14,0.0,0.0,60.62,60.62,60.62,0.0,0.0,60.68,60.68,60.68,0.0,0.0
2018-04-22,59.86,59.86,59.86,0.0,0.0,59.89,59.89,59.89,0.0,0.0,59.86,59.86,59.86,0.0,0.0,59.89,59.89,59.89,0.0,0.0
2018-04-29,59.86,59.86,59.86,0.0,0.0,59.86,59.86,59.86,0.0,0.0,59.86,59.86,59.86,0.0,0.0,59.86,59.86,59.86,0.0,0.0
2018-05-06,59.5,59.5,59.5,0.0,0.0,59.5,59.5,59.5,0.0,0.0,59.43,59.43,59.43,0.0,0.0,59.43,59.43,59.43,0.0,0.0
2018-05-13,57.76,57.76,57.76,0.0,0.0,57.76,57.76,57.76,0.0,0.0,57.68,57.68,57.68,0.0,0.0,57.75,57.75,57.75,0.0,0.0
2018-05-20,59.52,59.52,59.52,0.0,0.0,59.52,59.52,59.52,0.0,0.0,59.52,59.52,59.52,0.0,0.0,59.52,59.52,59.52,0.0,0.0
2018-05-27,59.22,59.22,59.22,0.0,0.0,59.22,59.22,59.22,0.0,0.0,59.05,59.05,59.05,0.0,0.0,59.12,59.12,59.12,0.0,0.0
2018-06-03,58.6,58.6,58.6,0.0,0.0,58.6,58.6,58.6,0.0,0.0,58.6,58.6,58.6,0.0,0.0,58.6,58.6,58.6,0.0,0.0
2018-06-10,58.21,58.21,58.21,0.0,0.0,58.34,58.34,58.34,0.0,0.0,58.15,58.15,58.15,0.0,0.0,58.15,58.15,58.15,0.0,0.0
2018-06-17,59.18,59.18,59.18,0.0,0.0,59.22,59.22,59.22,0.0,0.0,59.18,59.18,59.18,0.0,0.0,59.22,59.22,59.22,0.0,0.0
2018-06-24,57.73,57.73,57.73,0.0,0.0,57.73,57.73,57.73,0.0,0.0,57.67,57.67,57.67,0.0,0.0,57.72,57.72,57.72,0.0,0.0
2018-07-01,57.69,57.69,57.69,0.0,0.0,57.69,57.69,57.69,0.0,0.0,57.69,57.69,57.69,0.0,0.0,57.69,57.69,57.69,0.0,0.0
2018-07-08,56.06,56.06,56.06,0.0,0.0,56.08,56.08,56.08,0.0,0.0,56.03,56.03,56.03,0.0,0.0,56.03,56.03,56.03,0.0,0.0
2018-07-15,57.08,57.08,57.08,0.0,0.0,57.08,57.08,57.08,0.0,0.0,57.06,57.06,57.06,0.0,0.0,57.07,57.07,57.07,0.0,0.0
2018-07-22,57.41,57.41,57.41,0.0,0.0,57.43,57.43,57.43,0.0,0.0,57.39,57.39,57.39,0.0,0.0,57.39,57.39,57.39,0.0,0.0
2018-07-29,56.9,56.9,56.9,0.0,0.0,56.9,56.9,56.9,0.0,0.0,56.9,56.9,56.9,0.0,0.0,56.9,56.9,56.9,0.0,0.0
2018-08-05,57.5,57.5,57.5,0.0,0.0,57.5,57.5,57.5,0.0,0.0,57.37,57.37,57.37,0.0,0.0,57.37,57.37,57.37,0.0,0.0
2018-08-12,57.95,57.95,57.95,0.0,0.0,58.05,58.05,58.05,0.0,0.0,57.93,57.93,57.93,0.0,0.0,58.05,58.05,58.05,0.0,0.0
2018-08-19,57.04,57.04,57.04,0.0,0.0,57.04,57.04,57.04,0.0,0.0,57.04,57.04,57.04,0.0,0.0,57.04,57.04,57.04,0.0,0.0
2018-08-26,57.14,57.14,57.14,0.0,0.0,57.14,57.14,57.14,0.0,0.0,57.14,57.14,57.14,0.0,0.0,57.14,57.14,57.14,0.0,0.0
2018-09-02,56.85,56.85,56.85,0.0,0.0,56.85,56.85,56.85,0.0,0.0,56.85,56.85,56.85,0.0,0.0,56.85,56.85,56.85,0.0,0.0
2018-09-09,56.16,56.16,56.16,0.0,0.0,56.16,56.16,56.16,0.0,0.0,56.16,56.16,56.16,0.0,0.0,56.16,56.16,56.16,0.0,0.0
2018-09-16,55.7,55.7,55.7,0.0,0.0,55.7,55.7,55.7,0.0,0.0,55.18,55.18,55.18,0.0,0.0,55.18,55.18,55.18,0.0,0.0
2018-09-23,53.91,53.91,53.91,0.0,0.0,53.99,53.99,53.99,0.0,0.0,53.91,53.91,53.91,0.0,0.0,53.95,53.95,53.95,0.0,0.0
2018-09-30,54.13,54.13,54.13,0.0,0.0,54.13,54.13,54.13,0.0,0.0,54.13,54.13,54.13,0.0,0.0,54.13,54.13,54.13,0.0,0.0
2018-10-07,55.54,55.54,55.54,0.0,0.0,55.7,55.7,55.7,0.0,0.0,55.54,55.54,55.54,0.0,0.0,55.7,55.7,55.7,0.0,0.0
2018-10-14,55.03,55.03,55.03,0.0,0.0,55.03,55.03,55.03,0.0,0.0,55.03,55.03,55.03,0.0,0.0,55.03,55.03,55.03,0.0,0.0
2018-10-21,55.22,55.22,55.22,0.0,0.0,55.46,55.46,55.46,0.0,0.0,55.22,55.22,55.22,0.0,0.0,55.46,55.46,55.46,0.0,0.0
2018-10-28,54.6,54.6,54.6,0.0,0.0,54.6,54.6,54.6,0.0,0.0,54.52,54.52,54.52,0.0,0.0,54.52,54.52,54.52,0.0,0.0
2018-11-04,53.95,53.95,53.95,0.0,0.0,53.95,53.95,53.95,0.0,0.0,53.87,53.87,53.87,0.0,0.0,53.87,53.87,53.87,0.0,0.0
2018-11-11,55.1,55.1,55.1,0.0,0.0,55.1,55.1,55.1,0.0,0.0,55.1,55.1,55.1,0.0,0.0,55.1,55.1,55.1,0.0,0.0
2018-11-18,54.01,54.01,54.01,0.0,0.0,54.01,54.01,54.01,0.0,0.0,54.01,54.01,54.01,0.0,0.0,54.01,54.01,54.01,0.0,0.0
2018-11-25,53.98,53.98,53.98,0.0,0.0,54.09,54.09,54.09,0.0,0.0,53.98,53.98,53.98,0.0,0.0,54.09,54.09,54.09,0.0,0.0
2018-12-02,54.46,54.46,54.46,0.0,0.0,54.56,54.56,54.56,0.0,0.0,54.29,54.29,54.29,0.0,0.0,54.29,54.29,54.29,0.0,0.0
2018-12-09,54.37,54.37,54.37,0.0,0.0,54.65,54.65,54.65,0.0,0.0,54.37,54.37,54.37,0.0,0.0,54.65,54.65,54.65,0.0,0.0
2018-12-16,56.81,56.81,56.81,0.0,0.0,56.91,56.91,56.91,0.0,0.0,56.69,56.69,56.69,0.0,0.0,56.91,56.91,56.91,0.0,0.0
2018-12-23,57.2,57.2,57.2,0.0,0.0,57.6,57.6,57.6,0.0,0.0,57.2,57.2,57.2,0.0,0.0,57.55,57.55,57.55,0.0,0.0
2018-12-30,58.91,58.91,58.91,0.0,0.0,58.92,58.92,58.92,0.0,0.0,58.44,58.44,58.44,0.0,0.0,58.44,58.44,58.44,0.0,0.0
2019-01-06,58.98,58.98,58.98,0.0,0.0,58.98,58.98,58.98,0.0,0.0,58.98,58.98,58.98,0.0,0.0,58.98,58.98,58.98,0.0,0.0
2019-01-13,57.44,57.44,57.44,0.0,0.0,57.56,57.56,57.56,0.0,0.0,57.18,57.18,57.18,0.0,0.0,57.24,57.24,57.24,0.0,0.0
2019-01-20,57.68,57.68,57.68,0.0,0.0,57.74,57.74,57.74,0.0,0.0,57.57,57.57,57.57,0.0,0.0,57.57,57.57,57.57,0.0,0.0
2019-01-27,56.75,56.75,56.75,0.0,0.0,56.95,56.95,56.95,0.0,0.0,56.75,56.75,56.75,0.0,0.0,56.93,56.93,56.93,0.0,0.0
2019-02-03,56.41,56.41,56.41,0.0,0.0,56.47,56.47,56.47,0.0,0.0,56.36,56.36,56.36,0.0,0.0,56.42,56.42,56.42,0.0,0.0
2019-02-10,56.37,56.37,56.37,0.0,0.0,56.37,56.37,56.37,0.0,0.0,56.27,56.27,56.27,0.0,0.0,56.34,56.34,56.34,0.0,0.0
2019-02-17,55.89,55.89,55.89,0.0,0.0,55.89,55.89,55.89,0.0,0.0,55.67,55.67,55.67,0.0,0.0,55.67,55.67,55.67,0.0,0.0
2019-02-24,54.96,54.96,54.96,0.0,0.0,54.96,54.96,54.96,0.0,0.0,54.96,54.96,54.96,0.0,0.0,54.96,54.96,54.96,0.0,0.0
2019-03-03,55.37,55.37,55.37,0.0,0.0,55.4,55.4,55.4,0.0,0.0,55.37,55.37,55.37,0.0,0.0,55.4,55.4,55.4,0.0,0.0
2019-03-10,55.2,55.2,55.2,0.0,0.0,55.2,55.2,55.2,0.0,0.0,55.2,55.2,55.2,0.0,0.0,55.2,55.2,55.2,0.0,0.0
2019-03-17,56.58,56.58,56.58,0.0,0.0,56.58,56.58,56.58,0.0,0.0,56.58,56.58,56.58,0.0,0.0,56.58,56.58,56.58,0.0,0.0
2019-03-24,55.3,55.3,55.3,0.0,0.0,55.31,55.31,55.31,0.0,0.0,55.06,55.06,55.06,0.0,0.0,55.11,55.11,55.11,0.0,0.0
2019-03-31,55.08,55.08,55.08,0.0,0.0,55.1,55.1,55.1,0.0,0.0,54.9,54.9,54.9,0.0,0.0,54.91,54.91,54.91,0.0,0.0
2019-04-07,54.35,54.35,54.35,0.0,0.0,54.35,54.35,54.35,0.0,0.0,54.35,54.35,54.35,0.0,0.0,54.35,54.35,54.35,0.0,0.0
2019-04-14,54.34,54.34,54.34,0.0,0.0,54.36,54.36,54.36,0.0,0.0,54.34,54.34,54.34,0.0,0.0,54.36,54.36,54.36,0.0,0.0
2019-04-21,54.33,54.33,54.33,0.0,0.0,54.5,54.5,54.5,0.0,0.0,54.33,54.33,54.33,0.0,0.0,54.5,54.5,54.5,0.0,0.0
2019-04-28,55.37,55.37,55.37,0.0,0.0,55.37,55.37,55.37,0.0,0.0,55.29,55.29,55.29,0.0,0.0,55.31,55.31,55.31,0.0,0.0
2019-05-05,57.08,57.08,57.08,0.0,0.0,57.08,57.08,57.08,0.0,0.0,56.85,56.85,56.85,0.0,0.0,56.85,56.85,56.85,0.0,0.0
2019-05-12,56.07,56.07,56.07,0.0,0.0,56.07,56.07,56.07,0.0,0.0,56.07,56.07,56.07,0.0,0.0,56.07,56.07,56.07,0.0,0.0
2019-05-19,56.48,56.48,56.48,0.0,0.0,56.77,56.77,56.77,0.0,0.0,56.42,56.42,56.42,0.0,0.0,56.77,56.77,56.77,0.0,0.0
2019-05-26,57.7,57.7,57.7,0.0,0.0,58.15,58.15,58.15,0.0,0.0,57.66,57.66,57.66,0.0,0.0,58.08,58.08,58.08,0.0,0.0
2019-06-02,56.58,56.58,56.58,0.0,0.0,57.6,57.6,57.6,0.0,0.0,56.58,56.58,56.58,0.0,0.0,57.57,57.57,57.57,0.0,0.0
2019-06-09,57.4,57.4,57.4,0.0,0.0,57.4,57.4,57.4,0.0,0.0,57.4,57.4,57.4,0.0,0.0,57.4,57.4,57.4,0.0,0.0
2019-06-16,58.56,58.56,58.56,0.0,0.0,58.67,58.67,58.67,0.0,0.0,58.49,58.49,58.49,0.0,0.0,58.67,58.67,58.67,0.0,0.0
2019-06-23,57.54,57.54,57.54,0.0,0.0,57.54,57.54,57.54,0.0,0.0,57.42,57.42,57.42,0.0,0.0,57.42,57.42,57.42,0.0,0.0
2019-06-30,57.09,57.09,57.09,0.0,0.0,57.11,57.11,57.11,0.0,0.0,56.98,56.98,56.98,0.0,0.0,56.98,56.98,56.98,0.0,0.0
2019-07-07,57.92,57.92,57.92,0.0,0.0,57.92,57.92,57.92,0.0,0.0,57.88,57.88,57.88,0.0,0.0,57.88,57.88,57.88,0.0,0.0
2019-07-14,57.87,57.87,57.87,0.0,0.0,57.87,57.87,57.87,0.0,0.0,57.82,57.82,57.82,0.0,0.0,57.82,57.82,57.82,0.0,0.0
2019-07-21,56.92,56.92,56.92,0.0,0.0,56.92,56.92,56.92,0.0,0.0,56.82,56.82,56.82,0.0,0.0,56.82,56.82,56.82,0.0,0.0
2019-07-28,59.56,59.56,59.56,0.0,0.0,59.83,59.83,59.83,0.0,0.0,59.56,59.56,59.56,0.0,0.0,59.58,59.58,59.58,0.0,0.0
2019-08-04,60.46,60.46,60.46,0.0,0.0,60.52,60.52,60.52,0.0,0.0,60.42,60.42,60.42,0.0,0.0,60.52,60.52,60.52,0.0,0.0
2019-08-11,59.03,59.03,59.03,0.0,0.0,59.14,59.14,59.14,0.0,0.0,58.95,58.95,58.95,0.0,0.0,58.95,58.95,58.95,0.0,0.0
2019-08-18,59.55,59.55,59.55,0.0,0.0,59.64,59.64,59.64,0.0,0.0,59.47,59.47,59.47,0.0,0.0,59.47,59.47,59.47,0.0,0.0
2019-08-25,59.27,59.27,59.27,0.0,0.0,59.27,59.27,59.27,0.0,0.0,59.26,59.26,59.26,0.0,0.0,59.26,59.26,59.26,0.0,0.0
2019-09-01,58.47,58.47,58.47,0.0,0.0,58.47,58.47,58.47,0.0,0.0,58.2,58.2,58.2,0.0,0.0,58.2,58.2,58.2,0.0,0.0
2019-09-08,57.41,57.41,57.41,0.0,0.0,57.41,57.41,57.41,0.0,0.0,57.25,57.25,57.25,0.0,0.0,57.25,57.25,57.25,0.0,0.0
2019-09-15,57.88,57.88,57.88,0.0,0.0,57.88,57.88,57.88,0.0,0.0,57.88,57.88,57.88,0.0,0.0,57.88,57.88,57.88,0.0,0.0
2019-09-22,57.08,57.08,57.08,0.0,0.0,57.08,57.08,57.08,0.0,0.0,57.08,57.08,57.08,0.0,0.0,57.08,57.08,57.08,0.0,0.0
2019-09-29,57.92,57.92,57.92,0.0,0.0,57.92,57.92,57.92,0.0,0.0,57.92,57.92,57.92,0.0,0.0,57.92,57.92,57.92,0.0,0.0
2019-10-06,56.72,56.72,56.72,0.0,0.0,56.83,56.83,56.83,0.0,0.0,56.72,56.72,56.72,0.0,0.0,56.75,56.75,56.75,0.0,0.0
2019-10-13,56.4,56.4,56.4,0.0,0.0,56.4,56.4,56.4,0.0,0.0,56.4,56.4,56.4,0.0,0.0,56.4,56.4,56.4,0.0,0.0
2019-10-20,56.68,56.68,56.68,0.0,0.0,56.68,56.68,56.68,0.0,0.0,56.06,56.06,56.06,0.0,0.0,56.06,56.06,56.06,0.0,0.0
2019-10-27,56.46,56.46,56.46,0.0,0.0,56.47,56.47,56.47,0.0,0.0,56.32,56.32,56.32,0.0,0.0,56.32,56.32,56.32,0.0,0.0
2019-11-03,55.83,55.83,55.83,0.0,0.0,55.83,55.83,55.83,0.0,0.0,55.83,55.83,55.83,0.0,0.0,55.83,55.83,55.83,0.0,0.0
2019-11-10,56.22,56.22,56.22,0.0,0.0,56.23,56.23,56.23,0.0,0.0,56.18,56.18,56.18,0.0,0.0,56.18,56.18,56.18,0.0,0.0
2019-11-17,55.84,55.84,55.84,0.0,0.0,55.92,55.92,55.92,0.0,0.0,55.84,55.84,55.84,0.0,0.0,55.84,55.84,55.84,0.0,0.0
2019-11-24,55.77,55.77,55.77,0.0,0.0,55.77,55.77,55.77,0.0,0.0,55.77,55.77,55.77,0.0,0.0,55.77,55.77,55.77,0.0,0.0
2019-12-01,56.12,56.12,56.12,0.0,0.0,56.12,56.12,56.12,0.0,0.0,56.12,56.12,56.12,0.0,0.0,56.12,56.12,56.12,0.0,0.0
2019-12-08,55.07,55.07,55.07,0.0,0.0,55.11,55.11,55.11,0.0,0.0,55.07,55.07,55.07,0.0,0.0,55.11,55.11,55.11,0.0,0.0
2019-12-15,55.16,55.16,55.16,0.0,0.0,55.26,55.26,55.26,0.0,0.0,55.16,55.16,55.16,0.0,0.0,55.21,55.21,55.21,0.0,0.0
2019-12-22,55.46,55.46,55.46,0.0,0.0,55.7,55.7,55.7,0.0,0.0,55.46,55.46,55.46,0.0,0.0,55.66,55.66,55.66,0.0,0.0
2019-12-29,56.43,56.43,56.43,0.0,0.0,56.43,56.43,56.43,0.0,0.0,56.4,56.4,56.4,0.0,0.0,56.4,56.4,56.4,0.0,0.0
