Date,Reality Shares Divcon Dividend Defender_Open_average,Reality Shares Divcon Dividend Defender_Open_max,Reality Shares Divcon Dividend Defender_Open_min,Reality Shares Divcon Dividend Defender_Open_volatility,Reality Shares Divcon Dividend Defender_Open_change,Reality Shares Divcon Dividend Defender_High_average,Reality Shares Divcon Dividend Defender_High_max,Reality Shares Divcon Dividend Defender_High_min,Reality Shares Divcon Dividend Defender_High_volatility,Reality Shares Divcon Dividend Defender_High_change,Reality Shares Divcon Dividend Defender_Low_average,Reality Shares Divcon Dividend Defender_Low_max,Reality Shares Divcon Dividend Defender_Low_min,Reality Shares Divcon Dividend Defender_Low_volatility,Reality Shares Divcon Dividend Defender_Low_change,Reality Shares Divcon Dividend Defender_Close_average,Reality Shares Divcon Dividend Defender_Close_max,Reality Shares Divcon Dividend Defender_Close_min,Reality Shares Divcon Dividend Defender_Close_volatility,Reality Shares Divcon Dividend Defender_Close_change
2018-04-22,26.73,26.73,26.73,0.0,0.0,26.75,26.75,26.75,0.0,0.0,26.73,26.73,26.73,0.0,0.0,26.75,26.75,26.75,0.0,0.0
2018-04-29,25.99,25.99,25.99,0.0,0.0,25.99,25.99,25.99,0.0,0.0,25.99,25.99,25.99,0.0,0.0,25.99,25.99,25.99,0.0,0.0
2018-05-06,26.97,26.97,26.97,0.0,0.0,26.97,26.97,26.97,0.0,0.0,26.97,26.97,26.97,0.0,0.0,26.97,26.97,26.97,0.0,0.0
2018-05-13,27.12,27.12,27.12,0.0,0.0,27.16,27.16,27.16,0.0,0.0,27.1,27.1,27.1,0.0,0.0,27.16,27.16,27.16,0.0,0.0
2018-05-20,27.15,27.15,27.15,0.0,0.0,27.15,27.15,27.15,0.0,0.0,27.15,27.15,27.15,0.0,0.0,27.15,27.15,27.15,0.0,0.0
2018-05-27,27.16,27.16,27.16,0.0,0.0,27.16,27.16,27.16,0.0,0.0,27.16,27.16,27.16,0.0,0.0,27.16,27.16,27.16,0.0,0.0
2018-06-03,27.59,27.59,27.59,0.0,0.0,27.59,27.59,27.59,0.0,0.0,27.59,27.59,27.59,0.0,0.0,27.59,27.59,27.59,0.0,0.0
2018-06-10,27.92,27.92,27.92,0.0,0.0,27.92,27.92,27.92,0.0,0.0,27.92,27.92,27.92,0.0,0.0,27.92,27.92,27.92,0.0,0.0
2018-06-17,27.95,27.95,27.95,0.0,0.0,27.95,27.95,27.95,0.0,0.0,27.95,27.95,27.95,0.0,0.0,27.95,27.95,27.95,0.0,0.0
2018-06-24,27.28,27.28,27.28,0.0,0.0,27.28,27.28,27.28,0.0,0.0,27.28,27.28,27.28,0.0,0.0,27.28,27.28,27.28,0.0,0.0
2018-07-01,27.26,27.26,27.26,0.0,0.0,27.26,27.26,27.26,0.0,0.0,27.26,27.26,27.26,0.0,0.0,27.26,27.26,27.26,0.0,0.0
2018-07-08,27.53,27.53,27.53,0.0,0.0,27.58,27.58,27.58,0.0,0.0,27.5,27.5,27.5,0.0,0.0,27.5,27.5,27.5,0.0,0.0
2018-07-15,27.65,27.65,27.65,0.0,0.0,27.65,27.65,27.65,0.0,0.0,27.65,27.65,27.65,0.0,0.0,27.65,27.65,27.65,0.0,0.0
2018-07-22,27.86,27.86,27.86,0.0,0.0,27.86,27.86,27.86,0.0,0.0,27.86,27.86,27.86,0.0,0.0,27.86,27.86,27.86,0.0,0.0
2018-07-29,27.72,27.72,27.72,0.0,0.0,27.72,27.72,27.72,0.0,0.0,27.72,27.72,27.72,0.0,0.0,27.72,27.72,27.72,0.0,0.0
2018-08-05,27.56,27.56,27.56,0.0,0.0,27.56,27.56,27.56,0.0,0.0,27.56,27.56,27.56,0.0,0.0,27.56,27.56,27.56,0.0,0.0
2018-08-12,27.76,27.76,27.76,0.0,0.0,27.8,27.8,27.8,0.0,0.0,27.76,27.76,27.76,0.0,0.0,27.8,27.8,27.8,0.0,0.0
2018-08-19,28.06,28.06,28.06,0.0,0.0,28.06,28.06,28.06,0.0,0.0,26.36,26.36,26.36,0.0,0.0,27.75,27.75,27.75,0.0,0.0
2018-08-26,28.17,28.17,28.17,0.0,0.0,28.17,28.17,28.17,0.0,0.0,28.17,28.17,28.17,0.0,0.0,28.17,28.17,28.17,0.0,0.0
2018-09-02,28.26,28.26,28.26,0.0,0.0,28.26,28.26,28.26,0.0,0.0,28.26,28.26,28.26,0.0,0.0,28.26,28.26,28.26,0.0,0.0
2018-09-09,28.52,28.52,28.52,0.0,0.0,28.58,28.58,28.58,0.0,0.0,28.49,28.49,28.49,0.0,0.0,28.54,28.54,28.54,0.0,0.0
2018-09-16,28.6,28.6,28.6,0.0,0.0,28.6,28.6,28.6,0.0,0.0,28.6,28.6,28.6,0.0,0.0,28.6,28.6,28.6,0.0,0.0
2018-09-23,28.49,28.49,28.49,0.0,0.0,28.49,28.49,28.49,0.0,0.0,28.45,28.45,28.45,0.0,0.0,28.47,28.47,28.47,0.0,0.0
2018-09-30,27.95,27.95,27.95,0.0,0.0,27.96,27.96,27.96,0.0,0.0,27.95,27.95,27.95,0.0,0.0,27.96,27.96,27.96,0.0,0.0
2018-10-07,27.06,27.06,27.06,0.0,0.0,27.24,27.24,27.24,0.0,0.0,27.06,27.06,27.06,0.0,0.0,27.24,27.24,27.24,0.0,0.0
2018-10-14,27.24,27.24,27.24,0.0,0.0,27.24,27.24,27.24,0.0,0.0,27.24,27.24,27.24,0.0,0.0,27.24,27.24,27.24,0.0,0.0
2018-10-21,26.54,26.54,26.54,0.0,0.0,26.54,26.54,26.54,0.0,0.0,26.54,26.54,26.54,0.0,0.0,26.54,26.54,26.54,0.0,0.0
2018-10-28,27.79,27.79,27.79,0.0,0.0,27.79,27.79,27.79,0.0,0.0,27.52,27.52,27.52,0.0,0.0,27.55,27.55,27.55,0.0,0.0
2018-11-04,27.77,27.77,27.77,0.0,0.0,27.77,27.77,27.77,0.0,0.0,27.77,27.77,27.77,0.0,0.0,27.77,27.77,27.77,0.0,0.0
2018-11-11,27.6,27.6,27.6,0.0,0.0,27.6,27.6,27.6,0.0,0.0,27.55,27.55,27.55,0.0,0.0,27.55,27.55,27.55,0.0,0.0
2018-11-18,27.15,27.15,27.15,0.0,0.0,27.15,27.15,27.15,0.0,0.0,27.15,27.15,27.15,0.0,0.0,27.15,27.15,27.15,0.0,0.0
2018-11-25,27.7,27.7,27.7,0.0,0.0,27.7,27.7,27.7,0.0,0.0,27.7,27.7,27.7,0.0,0.0,27.7,27.7,27.7,0.0,0.0
2018-12-02,26.88,26.88,26.88,0.0,0.0,26.88,26.88,26.88,0.0,0.0,26.78,26.78,26.78,0.0,0.0,26.78,26.78,26.78,0.0,0.0
2018-12-09,26.67,26.67,26.67,0.0,0.0,26.67,26.67,26.67,0.0,0.0,26.67,26.67,26.67,0.0,0.0,26.67,26.67,26.67,0.0,0.0
2018-12-16,26.12,26.12,26.12,0.0,0.0,26.12,26.12,26.12,0.0,0.0,26.12,26.12,26.12,0.0,0.0,26.12,26.12,26.12,0.0,0.0
2018-12-23,26.61,26.61,26.61,0.0,0.0,26.61,26.61,26.61,0.0,0.0,26.53,26.53,26.53,0.0,0.0,26.53,26.53,26.53,0.0,0.0
2018-12-30,26.51,26.51,26.51,0.0,0.0,26.51,26.51,26.51,0.0,0.0,26.46,26.46,26.46,0.0,0.0,26.51,26.51,26.51,0.0,0.0
2019-01-06,26.91,26.91,26.91,0.0,0.0,26.91,26.91,26.91,0.0,0.0,26.91,26.91,26.91,0.0,0.0,26.91,26.91,26.91,0.0,0.0
2019-01-13,27.36,27.36,27.36,0.0,0.0,27.39,27.39,27.39,0.0,0.0,27.3,27.3,27.3,0.0,0.0,27.39,27.39,27.39,0.0,0.0
2019-01-20,27.52,27.52,27.52,0.0,0.0,27.57,27.57,27.57,0.0,0.0,27.5,27.5,27.5,0.0,0.0,27.57,27.57,27.57,0.0,0.0
2019-01-27,27.56,27.56,27.56,0.0,0.0,27.62,27.62,27.62,0.0,0.0,27.56,27.56,27.56,0.0,0.0,27.62,27.62,27.62,0.0,0.0
2019-02-03,27.96,27.96,27.96,0.0,0.0,27.96,27.96,27.96,0.0,0.0,27.96,27.96,27.96,0.0,0.0,27.96,27.96,27.96,0.0,0.0
2019-02-10,28.46,28.46,28.46,0.0,0.0,28.46,28.46,28.46,0.0,0.0,28.46,28.46,28.46,0.0,0.0,28.46,28.46,28.46,0.0,0.0
2019-02-17,28.58,28.58,28.58,0.0,0.0,28.58,28.58,28.58,0.0,0.0,28.58,28.58,28.58,0.0,0.0,28.58,28.58,28.58,0.0,0.0
2019-02-24,28.42,28.42,28.42,0.0,0.0,28.53,28.53,28.53,0.0,0.0,28.37,28.37,28.37,0.0,0.0,28.53,28.53,28.53,0.0,0.0
2019-03-03,28.16,28.16,28.16,0.0,0.0,28.16,28.16,28.16,0.0,0.0,28.16,28.16,28.16,0.0,0.0,28.16,28.16,28.16,0.0,0.0
2019-03-10,28.56,28.56,28.56,0.0,0.0,28.56,28.56,28.56,0.0,0.0,28.56,28.56,28.56,0.0,0.0,28.56,28.56,28.56,0.0,0.0
2019-03-17,28.2,28.2,28.2,0.0,0.0,28.2,28.2,28.2,0.0,0.0,28.2,28.2,28.2,0.0,0.0,28.2,28.2,28.2,0.0,0.0
2019-03-24,28.51,28.51,28.51,0.0,0.0,28.51,28.51,28.51,0.0,0.0,28.51,28.51,28.51,0.0,0.0,28.51,28.51,28.51,0.0,0.0
2019-03-31,29.03,29.03,29.03,0.0,0.0,29.03,29.03,29.03,0.0,0.0,29.03,29.03,29.03,0.0,0.0,29.03,29.03,29.03,0.0,0.0
2019-04-07,29.2,29.2,29.2,0.0,0.0,29.2,29.2,29.2,0.0,0.0,28.61,28.61,28.61,0.0,0.0,29.2,29.2,29.2,0.0,0.0
2019-04-14,29.41,29.41,29.41,0.0,0.0,29.41,29.41,29.41,0.0,0.0,29.41,29.41,29.41,0.0,0.0,29.41,29.41,29.41,0.0,0.0
2019-04-21,29.43,29.43,29.43,0.0,0.0,29.43,29.43,29.43,0.0,0.0,29.43,29.43,29.43,0.0,0.0,29.43,29.43,29.43,0.0,0.0
2019-04-28,29.49,29.49,29.49,0.0,0.0,29.5,29.5,29.5,0.0,0.0,29.49,29.49,29.49,0.0,0.0,29.5,29.5,29.5,0.0,0.0
2019-05-05,29.03,29.03,29.03,0.0,0.0,29.14,29.14,29.14,0.0,0.0,28.98,28.98,28.98,0.0,0.0,29.14,29.14,29.14,0.0,0.0
2019-05-12,29.08,29.08,29.08,0.0,0.0,29.11,29.11,29.11,0.0,0.0,29.08,29.08,29.08,0.0,0.0,29.09,29.09,29.09,0.0,0.0
2019-05-19,28.93,28.93,28.93,0.0,0.0,28.93,28.93,28.93,0.0,0.0,28.9,28.9,28.9,0.0,0.0,28.9,28.9,28.9,0.0,0.0
2019-05-26,28.41,28.41,28.41,0.0,0.0,28.59,28.59,28.59,0.0,0.0,28.41,28.41,28.41,0.0,0.0,28.57,28.57,28.57,0.0,0.0
2019-06-02,29.37,29.37,29.37,0.0,0.0,29.51,29.51,29.51,0.0,0.0,29.37,29.37,29.37,0.0,0.0,29.48,29.48,29.48,0.0,0.0
2019-06-09,29.3,29.3,29.3,0.0,0.0,29.47,29.47,29.47,0.0,0.0,29.3,29.3,29.3,0.0,0.0,29.47,29.47,29.47,0.0,0.0
2019-06-16,29.49,29.49,29.49,0.0,0.0,29.49,29.49,29.49,0.0,0.0,29.49,29.49,29.49,0.0,0.0,29.49,29.49,29.49,0.0,0.0
2019-06-23,29.55,29.55,29.55,0.0,0.0,29.55,29.55,29.55,0.0,0.0,29.45,29.45,29.45,0.0,0.0,29.45,29.45,29.45,0.0,0.0
2019-06-30,29.7,29.7,29.7,0.0,0.0,29.7,29.7,29.7,0.0,0.0,29.7,29.7,29.7,0.0,0.0,29.7,29.7,29.7,0.0,0.0
2019-07-07,30.0,30.0,30.0,0.0,0.0,30.01,30.01,30.01,0.0,0.0,30.0,30.0,30.0,0.0,0.0,30.01,30.01,30.01,0.0,0.0
2019-07-14,30.13,30.13,30.13,0.0,0.0,30.22,30.22,30.22,0.0,0.0,29.97,29.97,29.97,0.0,0.0,29.97,29.97,29.97,0.0,0.0
2019-07-21,30.46,30.46,30.46,0.0,0.0,30.46,30.46,30.46,0.0,0.0,30.4,30.4,30.4,0.0,0.0,30.4,30.4,30.4,0.0,0.0
2019-07-28,29.73,29.73,29.73,0.0,0.0,29.77,29.77,29.77,0.0,0.0,29.62,29.62,29.62,0.0,0.0,29.69,29.69,29.69,0.0,0.0
2019-08-04,29.58,29.58,29.58,0.0,0.0,29.58,29.58,29.58,0.0,0.0,29.58,29.58,29.58,0.0,0.0,29.58,29.58,29.58,0.0,0.0
2019-08-11,29.35,29.35,29.35,0.0,0.0,29.61,29.61,29.61,0.0,0.0,29.35,29.35,29.35,0.0,0.0,29.61,29.61,29.61,0.0,0.0
2019-08-18,29.78,29.78,29.78,0.0,0.0,29.99,29.99,29.99,0.0,0.0,29.5,29.5,29.5,0.0,0.0,29.5,29.5,29.5,0.0,0.0
2019-08-25,29.94,29.94,29.94,0.0,0.0,29.94,29.94,29.94,0.0,0.0,29.94,29.94,29.94,0.0,0.0,29.94,29.94,29.94,0.0,0.0
2019-09-01,30.29,30.29,30.29,0.0,0.0,30.29,30.29,30.29,0.0,0.0,30.29,30.29,30.29,0.0,0.0,30.29,30.29,30.29,0.0,0.0
2019-09-08,30.37,30.37,30.37,0.0,0.0,30.37,30.37,30.37,0.0,0.0,30.33,30.33,30.33,0.0,0.0,30.33,30.33,30.33,0.0,0.0
2019-09-15,30.33,30.33,30.33,0.0,0.0,30.33,30.33,30.33,0.0,0.0,30.18,30.18,30.18,0.0,0.0,30.18,30.18,30.18,0.0,0.0
2019-09-22,30.22,30.22,30.22,0.0,0.0,30.22,30.22,30.22,0.0,0.0,30.07,30.07,30.07,0.0,0.0,30.11,30.11,30.11,0.0,0.0
2019-09-29,29.99,29.99,29.99,0.0,0.0,30.14,30.14,30.14,0.0,0.0,29.99,29.99,29.99,0.0,0.0,30.14,30.14,30.14,0.0,0.0
2019-10-06,30.48,30.48,30.48,0.0,0.0,30.5,30.5,30.5,0.0,0.0,30.42,30.42,30.42,0.0,0.0,30.42,30.42,30.42,0.0,0.0
2019-10-13,30.56,30.56,30.56,0.0,0.0,30.56,30.56,30.56,0.0,0.0,30.56,30.56,30.56,0.0,0.0,30.56,30.56,30.56,0.0,0.0
2019-10-20,30.81,30.81,30.81,0.0,0.0,30.81,30.81,30.81,0.0,0.0,30.81,30.81,30.81,0.0,0.0,30.81,30.81,30.81,0.0,0.0
2019-10-27,30.87,30.87,30.87,0.0,0.0,30.87,30.87,30.87,0.0,0.0,30.87,30.87,30.87,0.0,0.0,30.87,30.87,30.87,0.0,0.0
2019-11-03,31.06,31.06,31.06,0.0,0.0,31.06,31.06,31.06,0.0,0.0,30.91,30.91,30.91,0.0,0.0,30.91,30.91,30.91,0.0,0.0
2019-11-10,31.17,31.17,31.17,0.0,0.0,31.18,31.18,31.18,0.0,0.0,31.15,31.15,31.15,0.0,0.0,31.16,31.16,31.16,0.0,0.0
2019-11-17,31.29,31.29,31.29,0.0,0.0,36.09,36.09,36.09,0.0,0.0,31.16,31.16,31.16,0.0,0.0,36.09,36.09,36.09,0.0,0.0
2019-11-24,31.48,31.48,31.48,0.0,0.0,31.49,31.49,31.49,0.0,0.0,31.45,31.45,31.45,0.0,0.0,31.45,31.45,31.45,0.0,0.0
2019-12-01,31.5,31.5,31.5,0.0,0.0,31.53,31.53,31.53,0.0,0.0,31.5,31.5,31.5,0.0,0.0,31.52,31.52,31.52,0.0,0.0
2019-12-08,31.5,31.5,31.5,0.0,0.0,31.6,31.6,31.6,0.0,0.0,31.5,31.5,31.5,0.0,0.0,31.55,31.55,31.55,0.0,0.0
2019-12-15,31.59,31.59,31.59,0.0,0.0,31.59,31.59,31.59,0.0,0.0,31.59,31.59,31.59,0.0,0.0,31.59,31.59,31.59,0.0,0.0
2019-12-22,31.6,31.6,31.6,0.0,0.0,31.6,31.6,31.6,0.0,0.0,31.6,31.6,31.6,0.0,0.0,31.6,31.6,31.6,0.0,0.0
2019-12-29,32.49,32.49,32.49,0.0,0.0,32.49,32.49,32.49,0.0,0.0,31.53,31.53,31.53,0.0,0.0,31.69,31.69,31.69,0.0,0.0
