Date,ProShares UltraPro Short Financial Select Sector_etf_Open_average,ProShares UltraPro Short Financial Select Sector_etf_Open_max,ProShares UltraPro Short Financial Select Sector_etf_Open_min,ProShares UltraPro Short Financial Select Sector_etf_Open_volatility,ProShares UltraPro Short Financial Select Sector_etf_Open_change,ProShares UltraPro Short Financial Select Sector_etf_High_average,ProShares UltraPro Short Financial Select Sector_etf_High_max,ProShares UltraPro Short Financial Select Sector_etf_High_min,ProShares UltraPro Short Financial Select Sector_etf_High_volatility,ProShares UltraPro Short Financial Select Sector_etf_High_change,ProShares UltraPro Short Financial Select Sector_etf_Low_average,ProShares UltraPro Short Financial Select Sector_etf_Low_max,ProShares UltraPro Short Financial Select Sector_etf_Low_min,ProShares UltraPro Short Financial Select Sector_etf_Low_volatility,ProShares UltraPro Short Financial Select Sector_etf_Low_change,ProShares UltraPro Short Financial Select Sector_etf_Close_average,ProShares UltraPro Short Financial Select Sector_etf_Close_max,ProShares UltraPro Short Financial Select Sector_etf_Close_min,ProShares UltraPro Short Financial Select Sector_etf_Close_volatility,ProShares UltraPro Short Financial Select Sector_etf_Close_change
2018-12-16,12.0,12.0,12.0,0.0,0.0,12.33,12.33,12.33,0.0,0.0,11.13,11.13,11.13,0.0,0.0,12.3,12.3,12.3,0.0,0.0
2018-12-23,10.68,10.68,10.68,0.0,0.0,10.91,10.91,10.91,0.0,0.0,10.51,10.51,10.51,0.0,0.0,10.87,10.87,10.87,0.0,0.0
2018-12-30,10.65,10.65,10.65,0.0,0.0,10.65,10.65,10.65,0.0,0.0,9.77,9.77,9.77,0.0,0.0,9.81,9.81,9.81,0.0,0.0
2019-01-06,9.89,9.89,9.89,0.0,0.0,9.9,9.9,9.9,0.0,0.0,9.54,9.54,9.54,0.0,0.0,9.59,9.59,9.59,0.0,0.0
2019-01-13,8.41,8.41,8.41,0.0,0.0,8.41,8.41,8.41,0.0,0.0,7.95,7.95,7.95,0.0,0.0,7.95,7.95,7.95,0.0,0.0
2019-01-20,8.04,8.04,8.04,0.0,0.0,8.07,8.07,8.07,0.0,0.0,7.84,7.84,7.84,0.0,0.0,8.02,8.02,8.02,0.0,0.0
2019-01-27,8.11,8.11,8.11,0.0,0.0,8.11,8.11,8.11,0.0,0.0,7.81,7.81,7.81,0.0,0.0,7.94,7.94,7.94,0.0,0.0
2019-02-03,8.44,8.44,8.44,0.0,0.0,8.56,8.56,8.56,0.0,0.0,8.25,8.25,8.25,0.0,0.0,8.27,8.27,8.27,0.0,0.0
2019-02-10,7.99,7.99,7.99,0.0,0.0,7.99,7.99,7.99,0.0,0.0,7.57,7.57,7.57,0.0,0.0,7.63,7.63,7.63,0.0,0.0
2019-02-17,7.61,7.61,7.61,0.0,0.0,7.64,7.64,7.64,0.0,0.0,7.55,7.55,7.55,0.0,0.0,7.57,7.57,7.57,0.0,0.0
2019-02-24,7.42,7.42,7.42,0.0,0.0,7.46,7.46,7.46,0.0,0.0,7.21,7.21,7.21,0.0,0.0,7.42,7.42,7.42,0.0,0.0
2019-03-03,8.2,8.2,8.2,0.0,0.0,8.2,8.2,8.2,0.0,0.0,7.96,7.96,7.96,0.0,0.0,7.96,7.96,7.96,0.0,0.0
2019-03-10,7.42,7.42,7.42,0.0,0.0,7.42,7.42,7.42,0.0,0.0,7.3,7.3,7.3,0.0,0.0,7.37,7.37,7.37,0.0,0.0
2019-03-17,8.29,8.29,8.29,0.0,0.0,8.5,8.5,8.5,0.0,0.0,8.22,8.22,8.22,0.0,0.0,8.44,8.44,8.44,0.0,0.0
2019-03-24,7.89,7.89,7.89,0.0,0.0,8.08,8.08,8.08,0.0,0.0,7.87,7.87,7.87,0.0,0.0,8.06,8.06,8.06,0.0,0.0
2019-03-31,7.29,7.29,7.29,0.0,0.0,7.34,7.34,7.34,0.0,0.0,7.29,7.29,7.29,0.0,0.0,7.29,7.29,7.29,0.0,0.0
2019-04-07,6.98,6.98,6.98,0.0,0.0,6.99,6.99,6.99,0.0,0.0,6.68,6.68,6.68,0.0,0.0,6.82,6.82,6.82,0.0,0.0
2019-04-14,6.62,6.62,6.62,0.0,0.0,6.68,6.68,6.68,0.0,0.0,6.62,6.62,6.62,0.0,0.0,6.68,6.68,6.68,0.0,0.0
2019-04-21,6.55,6.55,6.55,0.0,0.0,6.57,6.57,6.57,0.0,0.0,6.45,6.45,6.45,0.0,0.0,6.45,6.45,6.45,0.0,0.0
2019-04-28,6.37,6.37,6.37,0.0,0.0,6.37,6.37,6.37,0.0,0.0,6.22,6.22,6.22,0.0,0.0,6.22,6.22,6.22,0.0,0.0
2019-05-05,6.73,6.73,6.73,0.0,0.0,6.94,6.94,6.94,0.0,0.0,6.54,6.54,6.54,0.0,0.0,6.61,6.61,6.61,0.0,0.0
2019-05-12,6.99,6.99,6.99,0.0,0.0,7.06,7.06,7.06,0.0,0.0,6.85,6.85,6.85,0.0,0.0,7.02,7.02,7.02,0.0,0.0
2019-05-19,7.1,7.1,7.1,0.0,0.0,7.1,7.1,7.1,0.0,0.0,7.0,7.0,7.0,0.0,0.0,7.0,7.0,7.0,0.0,0.0
2019-05-26,7.79,7.79,7.79,0.0,0.0,7.79,7.79,7.79,0.0,0.0,7.55,7.55,7.55,0.0,0.0,7.69,7.69,7.69,0.0,0.0
2019-06-02,6.8,6.8,6.8,0.0,0.0,6.85,6.85,6.85,0.0,0.0,6.68,6.68,6.68,0.0,0.0,6.81,6.81,6.81,0.0,0.0
2019-06-09,6.68,6.68,6.68,0.0,0.0,6.68,6.68,6.68,0.0,0.0,6.68,6.68,6.68,0.0,0.0,6.68,6.68,6.68,0.0,0.0
2019-06-16,6.47,6.47,6.47,0.0,0.0,6.59,6.59,6.59,0.0,0.0,6.43,6.43,6.43,0.0,0.0,6.59,6.59,6.59,0.0,0.0
2019-06-23,6.42,6.42,6.42,0.0,0.0,6.42,6.42,6.42,0.0,0.0,6.28,6.28,6.28,0.0,0.0,6.31,6.31,6.31,0.0,0.0
2019-06-30,6.0,6.0,6.0,0.0,0.0,6.0,6.0,6.0,0.0,0.0,5.93,5.93,5.93,0.0,0.0,5.95,5.95,5.95,0.0,0.0
2019-07-07,6.01,6.01,6.01,0.0,0.0,6.01,6.01,6.01,0.0,0.0,5.91,5.91,5.91,0.0,0.0,5.91,5.91,5.91,0.0,0.0
2019-07-14,6.03,6.03,6.03,0.0,0.0,6.07,6.07,6.07,0.0,0.0,5.92,5.92,5.92,0.0,0.0,6.07,6.07,6.07,0.0,0.0
2019-07-21,5.81,5.81,5.81,0.0,0.0,5.81,5.81,5.81,0.0,0.0,5.59,5.59,5.59,0.0,0.0,5.59,5.59,5.59,0.0,0.0
2019-07-28,6.19,6.19,6.19,0.0,0.0,6.49,6.49,6.49,0.0,0.0,6.19,6.19,6.19,0.0,0.0,6.27,6.27,6.27,0.0,0.0
2019-08-04,6.63,6.63,6.63,0.0,0.0,6.65,6.65,6.65,0.0,0.0,6.44,6.44,6.44,0.0,0.0,6.52,6.52,6.52,0.0,0.0
2019-08-11,7.28,7.28,7.28,0.0,0.0,7.28,7.28,7.28,0.0,0.0,6.88,6.88,6.88,0.0,0.0,6.96,6.96,6.96,0.0,0.0
2019-08-18,7.01,7.01,7.01,0.0,0.0,7.35,7.35,7.35,0.0,0.0,6.77,6.77,6.77,0.0,0.0,7.35,7.35,7.35,0.0,0.0
2019-08-25,6.7,6.7,6.7,0.0,0.0,6.87,6.87,6.87,0.0,0.0,6.64,6.64,6.64,0.0,0.0,6.76,6.76,6.76,0.0,0.0
2019-09-01,6.13,6.13,6.13,0.0,0.0,6.25,6.25,6.25,0.0,0.0,6.13,6.13,6.13,0.0,0.0,6.2,6.2,6.2,0.0,0.0
2019-09-08,5.55,5.55,5.55,0.0,0.0,5.6,5.6,5.6,0.0,0.0,5.44,5.44,5.44,0.0,0.0,5.5,5.5,5.5,0.0,0.0
2019-09-15,5.54,5.54,5.54,0.0,0.0,5.69,5.69,5.69,0.0,0.0,5.54,5.54,5.54,0.0,0.0,5.67,5.67,5.67,0.0,0.0
2019-09-22,5.61,5.61,5.61,0.0,0.0,5.75,5.75,5.75,0.0,0.0,5.61,5.61,5.61,0.0,0.0,5.72,5.72,5.72,0.0,0.0
2019-09-29,6.35,6.35,6.35,0.0,0.0,6.35,6.35,6.35,0.0,0.0,6.05,6.05,6.05,0.0,0.0,6.05,6.05,6.05,0.0,0.0
2019-10-06,5.92,5.92,5.92,0.0,0.0,6.0,6.0,6.0,0.0,0.0,5.72,5.72,5.72,0.0,0.0,5.92,5.92,5.92,0.0,0.0
2019-10-13,5.64,5.64,5.64,0.0,0.0,5.65,5.65,5.65,0.0,0.0,5.6,5.6,5.6,0.0,0.0,5.6,5.6,5.6,0.0,0.0
2019-10-20,5.35,5.35,5.35,0.0,0.0,5.35,5.35,5.35,0.0,0.0,5.25,5.25,5.25,0.0,0.0,5.25,5.25,5.25,0.0,0.0
2019-10-27,5.12,5.12,5.12,0.0,0.0,5.2,5.2,5.2,0.0,0.0,5.02,5.02,5.02,0.0,0.0,5.03,5.03,5.03,0.0,0.0
2019-11-03,4.71,4.71,4.71,0.0,0.0,4.75,4.75,4.75,0.0,0.0,4.68,4.68,4.68,0.0,0.0,4.68,4.68,4.68,0.0,0.0
2019-11-10,4.72,4.72,4.72,0.0,0.0,4.74,4.74,4.74,0.0,0.0,4.71,4.71,4.71,0.0,0.0,4.73,4.73,4.73,0.0,0.0
2019-11-17,4.62,4.62,4.62,0.0,0.0,4.7,4.7,4.7,0.0,0.0,4.62,4.62,4.62,0.0,0.0,4.66,4.66,4.66,0.0,0.0
2019-11-24,4.53,4.53,4.53,0.0,0.0,4.55,4.55,4.55,0.0,0.0,4.51,4.51,4.51,0.0,0.0,4.55,4.55,4.55,0.0,0.0
2019-12-01,4.52,4.52,4.52,0.0,0.0,4.52,4.52,4.52,0.0,0.0,4.38,4.38,4.38,0.0,0.0,4.41,4.41,4.41,0.0,0.0
2019-12-08,4.26,4.26,4.26,0.0,0.0,4.32,4.32,4.32,0.0,0.0,4.17,4.17,4.17,0.0,0.0,4.27,4.27,4.27,0.0,0.0
2019-12-15,4.19,4.19,4.19,0.0,0.0,4.22,4.22,4.22,0.0,0.0,4.16,4.16,4.16,0.0,0.0,4.21,4.21,4.21,0.0,0.0
2019-12-22,4.1,4.1,4.1,0.0,0.0,4.18,4.18,4.18,0.0,0.0,4.1,4.1,4.1,0.0,0.0,4.17,4.17,4.17,0.0,0.0
2019-12-29,4.23,4.23,4.23,0.0,0.0,4.27,4.27,4.27,0.0,0.0,4.15,4.15,4.15,0.0,0.0,4.18,4.18,4.18,0.0,0.0
