Date,ProShares Short Euro_Open_average,ProShares Short Euro_Open_max,ProShares Short Euro_Open_min,ProShares Short Euro_Open_volatility,ProShares Short Euro_Open_change,ProShares Short Euro_High_average,ProShares Short Euro_High_max,ProShares Short Euro_High_min,ProShares Short Euro_High_volatility,ProShares Short Euro_High_change,ProShares Short Euro_Low_average,ProShares Short Euro_Low_max,ProShares Short Euro_Low_min,ProShares Short Euro_Low_volatility,ProShares Short Euro_Low_change,ProShares Short Euro_Close_average,ProShares Short Euro_Close_max,ProShares Short Euro_Close_min,ProShares Short Euro_Close_volatility,ProShares Short Euro_Close_change
2018-03-25,39.04,39.04,39.04,0.0,0.0,39.04,39.04,39.04,0.0,0.0,39.04,39.04,39.04,0.0,0.0,39.04,39.04,39.04,0.0,0.0
2018-04-01,40.08,40.08,40.08,0.0,0.0,40.08,40.08,40.08,0.0,0.0,39.16,39.16,39.16,0.0,0.0,39.17,39.17,39.17,0.0,0.0
2018-04-08,39.02,39.02,39.02,0.0,0.0,39.02,39.02,39.02,0.0,0.0,38.99,38.99,38.99,0.0,0.0,38.99,38.99,38.99,0.0,0.0
2018-04-15,39.39,39.39,39.39,0.0,0.0,39.39,39.39,39.39,0.0,0.0,39.39,39.39,39.39,0.0,0.0,39.39,39.39,39.39,0.0,0.0
2018-04-22,39.98,39.98,39.98,0.0,0.0,39.98,39.98,39.98,0.0,0.0,39.98,39.98,39.98,0.0,0.0,39.98,39.98,39.98,0.0,0.0
2018-04-29,41.42,41.42,41.42,0.0,0.0,41.42,41.42,41.42,0.0,0.0,40.52,40.52,40.52,0.0,0.0,40.52,40.52,40.52,0.0,0.0
2018-05-06,40.34,40.34,40.34,0.0,0.0,40.5,40.5,40.5,0.0,0.0,40.34,40.34,40.34,0.0,0.0,40.5,40.5,40.5,0.0,0.0
2018-05-13,41.94,41.94,41.94,0.0,0.0,41.94,41.94,41.94,0.0,0.0,41.1,41.1,41.1,0.0,0.0,41.13,41.13,41.13,0.0,0.0
2018-05-20,41.5,41.5,41.5,0.0,0.0,41.5,41.5,41.5,0.0,0.0,41.5,41.5,41.5,0.0,0.0,41.5,41.5,41.5,0.0,0.0
2018-05-27,41.33,41.33,41.33,0.0,0.0,41.39,41.39,41.39,0.0,0.0,41.29,41.29,41.29,0.0,0.0,41.39,41.39,41.39,0.0,0.0
2018-06-03,41.05,41.05,41.05,0.0,0.0,41.15,41.15,41.15,0.0,0.0,41.05,41.05,41.05,0.0,0.0,41.11,41.11,41.11,0.0,0.0
2018-06-10,41.75,41.75,41.75,0.0,0.0,41.75,41.75,41.75,0.0,0.0,41.75,41.75,41.75,0.0,0.0,41.75,41.75,41.75,0.0,0.0
2018-06-17,41.52,41.52,41.52,0.0,0.0,41.52,41.52,41.52,0.0,0.0,41.44,41.44,41.44,0.0,0.0,41.44,41.44,41.44,0.0,0.0
2018-06-24,41.53,41.53,41.53,0.0,0.0,41.59,41.59,41.59,0.0,0.0,41.53,41.53,41.53,0.0,0.0,41.53,41.53,41.53,0.0,0.0
2018-07-01,41.22,41.22,41.22,0.0,0.0,41.24,41.24,41.24,0.0,0.0,41.22,41.22,41.22,0.0,0.0,41.24,41.24,41.24,0.0,0.0
2018-07-08,41.62,41.62,41.62,0.0,0.0,41.62,41.62,41.62,0.0,0.0,41.62,41.62,41.62,0.0,0.0,41.62,41.62,41.62,0.0,0.0
2018-07-15,41.37,41.37,41.37,0.0,0.0,41.37,41.37,41.37,0.0,0.0,41.37,41.37,41.37,0.0,0.0,41.37,41.37,41.37,0.0,0.0
2018-07-22,41.69,41.69,41.69,0.0,0.0,41.69,41.69,41.69,0.0,0.0,41.69,41.69,41.69,0.0,0.0,41.69,41.69,41.69,0.0,0.0
2018-07-29,42.08,42.08,42.08,0.0,0.0,42.08,42.08,42.08,0.0,0.0,42.08,42.08,42.08,0.0,0.0,42.08,42.08,42.08,0.0,0.0
2018-08-05,42.82,42.82,42.82,0.0,0.0,42.82,42.82,42.82,0.0,0.0,42.65,42.65,42.65,0.0,0.0,42.75,42.75,42.75,0.0,0.0
2018-08-12,42.57,42.57,42.57,0.0,0.0,42.57,42.57,42.57,0.0,0.0,42.57,42.57,42.57,0.0,0.0,42.57,42.57,42.57,0.0,0.0
2018-08-19,41.81,41.81,41.81,0.0,0.0,41.81,41.81,41.81,0.0,0.0,41.81,41.81,41.81,0.0,0.0,41.81,41.81,41.81,0.0,0.0
2018-08-26,42.06,42.06,42.06,0.0,0.0,42.07,42.07,42.07,0.0,0.0,42.05,42.05,42.05,0.0,0.0,42.05,42.05,42.05,0.0,0.0
2018-09-02,42.08,42.08,42.08,0.0,0.0,42.08,42.08,42.08,0.0,0.0,42.08,42.08,42.08,0.0,0.0,42.08,42.08,42.08,0.0,0.0
2018-09-09,41.78,41.78,41.78,0.0,0.0,41.8,41.8,41.8,0.0,0.0,41.78,41.78,41.78,0.0,0.0,41.8,41.8,41.8,0.0,0.0
2018-09-16,41.5,41.5,41.5,0.0,0.0,41.57,41.57,41.57,0.0,0.0,41.5,41.5,41.5,0.0,0.0,41.56,41.56,41.56,0.0,0.0
2018-09-23,42.12,42.12,42.12,0.0,0.0,42.12,42.12,42.12,0.0,0.0,42.12,42.12,42.12,0.0,0.0,42.12,42.12,42.12,0.0,0.0
2018-09-30,42.6,42.6,42.6,0.0,0.0,42.6,42.6,42.6,0.0,0.0,42.6,42.6,42.6,0.0,0.0,42.6,42.6,42.6,0.0,0.0
2018-10-07,42.3,42.3,42.3,0.0,0.0,42.3,42.3,42.3,0.0,0.0,42.3,42.3,42.3,0.0,0.0,42.3,42.3,42.3,0.0,0.0
2018-10-14,42.71,42.71,42.71,0.0,0.0,42.71,42.71,42.71,0.0,0.0,42.71,42.71,42.71,0.0,0.0,42.71,42.71,42.71,0.0,0.0
2018-10-21,43.02,43.02,43.02,0.0,0.0,43.02,43.02,43.02,0.0,0.0,43.02,43.02,43.02,0.0,0.0,43.02,43.02,43.02,0.0,0.0
2018-10-28,42.97,42.97,42.97,0.0,0.0,42.97,42.97,42.97,0.0,0.0,42.97,42.97,42.97,0.0,0.0,42.97,42.97,42.97,0.0,0.0
2018-11-04,43.4,43.4,43.4,0.0,0.0,43.55,43.55,43.55,0.0,0.0,43.4,43.4,43.4,0.0,0.0,43.55,43.55,43.55,0.0,0.0
2018-11-11,42.87,42.87,42.87,0.0,0.0,42.87,42.87,42.87,0.0,0.0,42.87,42.87,42.87,0.0,0.0,42.87,42.87,42.87,0.0,0.0
2018-11-18,43.28,43.28,43.28,0.0,0.0,43.37,43.37,43.37,0.0,0.0,43.28,43.28,43.28,0.0,0.0,43.37,43.37,43.37,0.0,0.0
2018-11-25,43.37,43.37,43.37,0.0,0.0,43.37,43.37,43.37,0.0,0.0,43.33,43.33,43.33,0.0,0.0,43.33,43.33,43.33,0.0,0.0
2018-12-02,43.35,43.35,43.35,0.0,0.0,43.35,43.35,43.35,0.0,0.0,43.35,43.35,43.35,0.0,0.0,43.35,43.35,43.35,0.0,0.0
2018-12-09,43.45,43.45,43.45,0.0,0.0,43.45,43.45,43.45,0.0,0.0,43.41,43.41,43.41,0.0,0.0,43.41,43.41,43.41,0.0,0.0
2018-12-16,43.19,43.19,43.19,0.0,0.0,43.19,43.19,43.19,0.0,0.0,43.19,43.19,43.19,0.0,0.0,43.19,43.19,43.19,0.0,0.0
2018-12-23,43.17,43.17,43.17,0.0,0.0,43.17,43.17,43.17,0.0,0.0,43.08,43.08,43.08,0.0,0.0,43.08,43.08,43.08,0.0,0.0
2018-12-30,43.11,43.11,43.11,0.0,0.0,43.11,43.11,43.11,0.0,0.0,43.01,43.01,43.01,0.0,0.0,43.02,43.02,43.02,0.0,0.0
2019-01-06,43.08,43.08,43.08,0.0,0.0,43.09,43.09,43.09,0.0,0.0,43.07,43.07,43.07,0.0,0.0,43.09,43.09,43.09,0.0,0.0
2019-01-13,43.32,43.32,43.32,0.0,0.0,43.5,43.5,43.5,0.0,0.0,43.32,43.32,43.32,0.0,0.0,43.5,43.5,43.5,0.0,0.0
2019-01-20,43.28,43.28,43.28,0.0,0.0,43.3,43.3,43.3,0.0,0.0,43.28,43.28,43.28,0.0,0.0,43.3,43.3,43.3,0.0,0.0
2019-01-27,43.32,43.32,43.32,0.0,0.0,43.32,43.32,43.32,0.0,0.0,43.32,43.32,43.32,0.0,0.0,43.32,43.32,43.32,0.0,0.0
2019-02-03,43.96,43.96,43.96,0.0,0.0,43.97,43.97,43.97,0.0,0.0,43.95,43.95,43.95,0.0,0.0,43.95,43.95,43.95,0.0,0.0
2019-02-10,44.02,44.02,44.02,0.0,0.0,44.02,44.02,44.02,0.0,0.0,43.88,43.88,43.88,0.0,0.0,43.9,43.9,43.9,0.0,0.0
2019-02-17,43.75,43.75,43.75,0.0,0.0,43.76,43.76,43.76,0.0,0.0,43.69,43.69,43.69,0.0,0.0,43.69,43.69,43.69,0.0,0.0
2019-02-24,43.85,43.85,43.85,0.0,0.0,43.9,43.9,43.9,0.0,0.0,43.81,43.81,43.81,0.0,0.0,43.83,43.83,43.83,0.0,0.0
2019-03-03,44.28,44.28,44.28,0.0,0.0,44.28,44.28,44.28,0.0,0.0,44.22,44.22,44.22,0.0,0.0,44.22,44.22,44.22,0.0,0.0
2019-03-10,43.86,43.86,43.86,0.0,0.0,43.94,43.94,43.94,0.0,0.0,43.86,43.86,43.86,0.0,0.0,43.88,43.88,43.88,0.0,0.0
2019-03-17,43.97,43.97,43.97,0.0,0.0,44.01,44.01,44.01,0.0,0.0,43.93,43.93,43.93,0.0,0.0,44.01,44.01,44.01,0.0,0.0
2019-03-24,44.4,44.4,44.4,0.0,0.0,44.47,44.47,44.47,0.0,0.0,44.4,44.4,44.4,0.0,0.0,44.45,44.45,44.45,0.0,0.0
2019-03-31,44.11,44.11,44.11,0.0,0.0,44.3,44.3,44.3,0.0,0.0,44.11,44.11,44.11,0.0,0.0,44.25,44.25,44.25,0.0,0.0
2019-04-07,44.06,44.06,44.06,0.0,0.0,44.16,44.16,44.16,0.0,0.0,44.06,44.06,44.06,0.0,0.0,44.14,44.14,44.14,0.0,0.0
2019-04-14,44.51,44.51,44.51,0.0,0.0,44.52,44.52,44.52,0.0,0.0,44.37,44.37,44.37,0.0,0.0,44.37,44.37,44.37,0.0,0.0
2019-04-21,44.78,44.78,44.78,0.0,0.0,44.78,44.78,44.78,0.0,0.0,44.7,44.7,44.7,0.0,0.0,44.7,44.7,44.7,0.0,0.0
2019-04-28,44.66,44.66,44.66,0.0,0.0,44.66,44.66,44.66,0.0,0.0,44.66,44.66,44.66,0.0,0.0,44.66,44.66,44.66,0.0,0.0
2019-05-05,44.55,44.55,44.55,0.0,0.0,44.59,44.59,44.59,0.0,0.0,44.55,44.55,44.55,0.0,0.0,44.59,44.59,44.59,0.0,0.0
2019-05-12,44.88,44.88,44.88,0.0,0.0,44.88,44.88,44.88,0.0,0.0,44.88,44.88,44.88,0.0,0.0,44.88,44.88,44.88,0.0,0.0
2019-05-19,44.76,44.76,44.76,0.0,0.0,44.79,44.79,44.79,0.0,0.0,44.74,44.74,44.74,0.0,0.0,44.74,44.74,44.74,0.0,0.0
2019-05-26,44.81,44.81,44.81,0.0,0.0,44.82,44.82,44.82,0.0,0.0,44.62,44.62,44.62,0.0,0.0,44.62,44.62,44.62,0.0,0.0
2019-06-02,44.46,44.46,44.46,0.0,0.0,44.46,44.46,44.46,0.0,0.0,44.38,44.38,44.38,0.0,0.0,44.38,44.38,44.38,0.0,0.0
2019-06-09,44.76,44.76,44.76,0.0,0.0,44.81,44.81,44.81,0.0,0.0,44.76,44.76,44.76,0.0,0.0,44.81,44.81,44.81,0.0,0.0
2019-06-16,44.13,44.13,44.13,0.0,0.0,44.14,44.14,44.14,0.0,0.0,44.13,44.13,44.13,0.0,0.0,44.14,44.14,44.14,0.0,0.0
2019-06-23,44.26,44.26,44.26,0.0,0.0,44.59,44.59,44.59,0.0,0.0,44.26,44.26,44.26,0.0,0.0,44.59,44.59,44.59,0.0,0.0
2019-06-30,44.93,44.93,44.93,0.0,0.0,44.94,44.94,44.94,0.0,0.0,44.92,44.92,44.92,0.0,0.0,44.93,44.93,44.93,0.0,0.0
2019-07-07,44.77,44.77,44.77,0.0,0.0,44.82,44.82,44.82,0.0,0.0,44.77,44.77,44.77,0.0,0.0,44.79,44.79,44.79,0.0,0.0
2019-07-14,44.89,44.89,44.89,0.0,0.0,44.94,44.94,44.94,0.0,0.0,44.85,44.85,44.85,0.0,0.0,44.9,44.9,44.9,0.0,0.0
2019-07-21,45.23,45.23,45.23,0.0,0.0,45.23,45.23,45.23,0.0,0.0,45.22,45.22,45.22,0.0,0.0,45.22,45.22,45.22,0.0,0.0
2019-07-28,45.34,45.34,45.34,0.0,0.0,45.34,45.34,45.34,0.0,0.0,45.01,45.01,45.01,0.0,0.0,45.04,45.04,45.04,0.0,0.0
2019-08-04,45.07,45.07,45.07,0.0,0.0,45.17,45.17,45.17,0.0,0.0,45.07,45.07,45.07,0.0,0.0,45.08,45.08,45.08,0.0,0.0
2019-08-11,45.69,45.69,45.69,0.0,0.0,45.7,45.7,45.7,0.0,0.0,45.55,45.55,45.55,0.0,0.0,45.61,45.61,45.61,0.0,0.0
2019-08-18,45.57,45.57,45.57,0.0,0.0,45.57,45.57,45.57,0.0,0.0,45.57,45.57,45.57,0.0,0.0,45.57,45.57,45.57,0.0,0.0
2019-08-25,46.06,46.06,46.06,0.0,0.0,46.1,46.1,46.1,0.0,0.0,46.06,46.06,46.06,0.0,0.0,46.06,46.06,46.06,0.0,0.0
2019-09-01,45.78,45.78,45.78,0.0,0.0,45.84,45.84,45.84,0.0,0.0,45.72,45.72,45.72,0.0,0.0,45.8,45.8,45.8,0.0,0.0
2019-09-08,46.06,46.06,46.06,0.0,0.0,46.12,46.12,46.12,0.0,0.0,46.06,46.06,46.06,0.0,0.0,46.09,46.09,46.09,0.0,0.0
2019-09-15,46.36,46.36,46.36,0.0,0.0,46.36,46.36,46.36,0.0,0.0,46.29,46.29,46.29,0.0,0.0,46.29,46.29,46.29,0.0,0.0
2019-09-22,46.77,46.77,46.77,0.0,0.0,46.77,46.77,46.77,0.0,0.0,46.73,46.73,46.73,0.0,0.0,46.73,46.73,46.73,0.0,0.0
2019-09-29,46.46,46.46,46.46,0.0,0.0,46.46,46.46,46.46,0.0,0.0,46.46,46.46,46.46,0.0,0.0,46.46,46.46,46.46,0.0,0.0
2019-10-06,46.35,46.35,46.35,0.0,0.0,46.35,46.35,46.35,0.0,0.0,46.23,46.23,46.23,0.0,0.0,46.3,46.3,46.3,0.0,0.0
2019-10-13,45.76,45.76,45.76,0.0,0.0,45.81,45.81,45.81,0.0,0.0,45.76,45.76,45.76,0.0,0.0,45.81,45.81,45.81,0.0,0.0
2019-10-20,46.11,46.11,46.11,0.0,0.0,46.11,46.11,46.11,0.0,0.0,46.01,46.01,46.01,0.0,0.0,46.01,46.01,46.01,0.0,0.0
2019-10-27,45.93,45.93,45.93,0.0,0.0,45.93,45.93,45.93,0.0,0.0,45.91,45.91,45.91,0.0,0.0,45.91,45.91,45.91,0.0,0.0
2019-11-03,46.31,46.31,46.31,0.0,0.0,46.31,46.31,46.31,0.0,0.0,46.31,46.31,46.31,0.0,0.0,46.31,46.31,46.31,0.0,0.0
2019-11-10,46.12,46.12,46.12,0.0,0.0,46.12,46.12,46.12,0.0,0.0,46.12,46.12,46.12,0.0,0.0,46.12,46.12,46.12,0.0,0.0
2019-11-17,46.4,46.4,46.4,0.0,0.0,46.4,46.4,46.4,0.0,0.0,46.37,46.37,46.37,0.0,0.0,46.37,46.37,46.37,0.0,0.0
2019-11-24,46.19,46.19,46.19,0.0,0.0,46.19,46.19,46.19,0.0,0.0,46.19,46.19,46.19,0.0,0.0,46.19,46.19,46.19,0.0,0.0
2019-12-01,46.25,46.25,46.25,0.0,0.0,46.25,46.25,46.25,0.0,0.0,46.25,46.25,46.25,0.0,0.0,46.25,46.25,46.25,0.0,0.0
2019-12-08,45.91,45.91,45.91,0.0,0.0,45.91,45.91,45.91,0.0,0.0,45.91,45.91,45.91,0.0,0.0,45.91,45.91,45.91,0.0,0.0
2019-12-15,46.36,46.36,46.36,0.0,0.0,46.36,46.36,46.36,0.0,0.0,45.72,45.72,45.72,0.0,0.0,45.72,45.72,45.72,0.0,0.0
2019-12-22,45.78,45.78,45.78,0.0,0.0,45.78,45.78,45.78,0.0,0.0,44.71,44.71,44.71,0.0,0.0,44.71,44.71,44.71,0.0,0.0
2019-12-29,45.91,45.91,45.91,0.0,0.0,45.91,45.91,45.91,0.0,0.0,45.91,45.91,45.91,0.0,0.0,45.91,45.91,45.91,0.0,0.0
