Date,ProShares Ultra VIX Short-Term Futures_Open_average,ProShares Ultra VIX Short-Term Futures_Open_max,ProShares Ultra VIX Short-Term Futures_Open_min,ProShares Ultra VIX Short-Term Futures_Open_volatility,ProShares Ultra VIX Short-Term Futures_Open_change,ProShares Ultra VIX Short-Term Futures_High_average,ProShares Ultra VIX Short-Term Futures_High_max,ProShares Ultra VIX Short-Term Futures_High_min,ProShares Ultra VIX Short-Term Futures_High_volatility,ProShares Ultra VIX Short-Term Futures_High_change,ProShares Ultra VIX Short-Term Futures_Low_average,ProShares Ultra VIX Short-Term Futures_Low_max,ProShares Ultra VIX Short-Term Futures_Low_min,ProShares Ultra VIX Short-Term Futures_Low_volatility,ProShares Ultra VIX Short-Term Futures_Low_change,ProShares Ultra VIX Short-Term Futures_Close_average,ProShares Ultra VIX Short-Term Futures_Close_max,ProShares Ultra VIX Short-Term Futures_Close_min,ProShares Ultra VIX Short-Term Futures_Close_volatility,ProShares Ultra VIX Short-Term Futures_Close_change
2018-04-22,74.0,74.0,74.0,0.0,0.0,75.97,75.97,75.97,0.0,0.0,72.0,72.0,72.0,0.0,0.0,75.4,75.4,75.4,0.0,0.0
2018-04-29,71.0,71.0,71.0,0.0,0.0,72.1,72.1,72.1,0.0,0.0,69.8,69.8,69.8,0.0,0.0,70.95,70.95,70.95,0.0,0.0
2018-05-06,59.15,59.15,59.15,0.0,0.0,59.3,59.3,59.3,0.0,0.0,56.83,56.83,56.83,0.0,0.0,57.2,57.2,57.2,0.0,0.0
2018-05-13,55.5,55.5,55.5,0.0,0.0,56.9,56.9,56.9,0.0,0.0,54.1,54.1,54.1,0.0,0.0,55.95,55.95,55.95,0.0,0.0
2018-05-20,56.2,56.2,56.2,0.0,0.0,56.75,56.75,56.75,0.0,0.0,54.35,54.35,54.35,0.0,0.0,55.9,55.9,55.9,0.0,0.0
2018-05-27,56.6,56.6,56.6,0.0,0.0,56.95,56.95,56.95,0.0,0.0,54.75,54.75,54.75,0.0,0.0,54.95,54.95,54.95,0.0,0.0
2018-06-03,51.65,51.65,51.65,0.0,0.0,51.95,51.95,51.95,0.0,0.0,49.9,49.9,49.9,0.0,0.0,50.25,50.25,50.25,0.0,0.0
2018-06-10,51.45,51.45,51.45,0.0,0.0,52.4,52.4,52.4,0.0,0.0,48.15,48.15,48.15,0.0,0.0,48.3,48.3,48.3,0.0,0.0
2018-06-17,55.25,55.25,55.25,0.0,0.0,68.25,68.25,68.25,0.0,0.0,55.15,55.15,55.15,0.0,0.0,64.2,64.2,64.2,0.0,0.0
2018-06-24,66.05,66.05,66.05,0.0,0.0,67.15,67.15,67.15,0.0,0.0,61.65,61.65,61.65,0.0,0.0,61.85,61.85,61.85,0.0,0.0
2018-07-01,52.5,52.5,52.5,0.0,0.0,52.6,52.6,52.6,0.0,0.0,49.9,49.9,49.9,0.0,0.0,50.35,50.35,50.35,0.0,0.0
2018-07-08,47.55,47.55,47.55,0.0,0.0,48.75,48.75,48.75,0.0,0.0,47.0,47.0,47.0,0.0,0.0,47.55,47.55,47.55,0.0,0.0
2018-07-15,47.7,47.7,47.7,0.0,0.0,48.8,48.8,48.8,0.0,0.0,46.72,46.72,46.72,0.0,0.0,47.25,47.25,47.25,0.0,0.0
2018-07-22,47.25,47.25,47.25,0.0,0.0,50.75,50.75,50.75,0.0,0.0,47.1,47.1,47.1,0.0,0.0,49.9,49.9,49.9,0.0,0.0
2018-07-29,44.65,44.65,44.65,0.0,0.0,45.1,45.1,45.1,0.0,0.0,42.6,42.6,42.6,0.0,0.0,42.8,42.8,42.8,0.0,0.0
2018-08-05,45.0,45.0,45.0,0.0,0.0,48.4,48.4,48.4,0.0,0.0,42.8,42.8,42.8,0.0,0.0,48.25,48.25,48.25,0.0,0.0
2018-08-12,41.75,41.75,41.75,0.0,0.0,42.4,42.4,42.4,0.0,0.0,41.35,41.35,41.35,0.0,0.0,41.85,41.85,41.85,0.0,0.0
2018-08-19,40.75,40.75,40.75,0.0,0.0,41.85,41.85,41.85,0.0,0.0,40.55,40.55,40.55,0.0,0.0,41.8,41.8,41.8,0.0,0.0
2018-08-26,43.65,43.65,43.65,0.0,0.0,43.9,43.9,43.9,0.0,0.0,41.65,41.65,41.65,0.0,0.0,42.05,42.05,42.05,0.0,0.0
2018-09-02,44.65,44.65,44.65,0.0,0.0,44.9,44.9,44.9,0.0,0.0,43.6,43.6,43.6,0.0,0.0,44.1,44.1,44.1,0.0,0.0
2018-09-09,38.25,38.25,38.25,0.0,0.0,40.15,40.15,40.15,0.0,0.0,37.99,37.99,37.99,0.0,0.0,39.95,39.95,39.95,0.0,0.0
2018-09-16,37.12,37.12,37.12,0.0,0.0,38.24,38.24,38.24,0.0,0.0,36.65,36.65,36.65,0.0,0.0,36.82,36.82,36.82,0.0,0.0
2018-09-23,35.32,35.32,35.32,0.0,0.0,36.87,36.87,36.87,0.0,0.0,35.04,35.04,35.04,0.0,0.0,36.12,36.12,36.12,0.0,0.0
2018-09-30,41.88,41.88,41.88,0.0,0.0,44.88,44.88,44.88,0.0,0.0,40.5,40.5,40.5,0.0,0.0,40.85,40.85,40.85,0.0,0.0
2018-10-07,54.3,54.3,54.3,0.0,0.0,56.15,56.15,56.15,0.0,0.0,51.47,51.47,51.47,0.0,0.0,53.44,53.44,53.44,0.0,0.0
2018-10-14,52.13,52.13,52.13,0.0,0.0,56.73,56.73,56.73,0.0,0.0,51.97,51.97,51.97,0.0,0.0,53.38,53.38,53.38,0.0,0.0
2018-10-21,62.9,62.9,62.9,0.0,0.0,71.59,71.59,71.59,0.0,0.0,61.23,61.23,61.23,0.0,0.0,66.8,66.8,66.8,0.0,0.0
2018-10-28,58.17,58.17,58.17,0.0,0.0,58.79,58.79,58.79,0.0,0.0,56.16,56.16,56.16,0.0,0.0,57.15,57.15,57.15,0.0,0.0
2018-11-04,50.18,50.18,50.18,0.0,0.0,56.74,56.74,56.74,0.0,0.0,49.9,49.9,49.9,0.0,0.0,56.1,56.1,56.1,0.0,0.0
2018-11-11,54.14,54.14,54.14,0.0,0.0,59.38,59.38,59.38,0.0,0.0,53.46,53.46,53.46,0.0,0.0,58.93,58.93,58.93,0.0,0.0
2018-11-18,60.19,60.19,60.19,0.0,0.0,60.28,60.28,60.28,0.0,0.0,56.93,56.93,56.93,0.0,0.0,57.02,57.02,57.02,0.0,0.0
2018-11-25,46.51,46.51,46.51,0.0,0.0,48.82,48.82,48.82,0.0,0.0,46.17,46.17,46.17,0.0,0.0,47.8,47.8,47.8,0.0,0.0
2018-12-02,65.64,65.64,65.64,0.0,0.0,70.5,70.5,70.5,0.0,0.0,63.76,63.76,63.76,0.0,0.0,65.16,65.16,65.16,0.0,0.0
2018-12-09,66.85,66.85,66.85,0.0,0.0,72.94,72.94,72.94,0.0,0.0,65.42,65.42,65.42,0.0,0.0,71.07,71.07,71.07,0.0,0.0
2018-12-16,83.73,83.73,83.73,0.0,0.0,88.43,88.43,88.43,0.0,0.0,83.11,83.11,83.11,0.0,0.0,88.08,88.08,88.08,0.0,0.0
2018-12-23,83.08,83.08,83.08,0.0,0.0,84.68,84.68,84.68,0.0,0.0,81.5,81.5,81.5,0.0,0.0,81.73,81.73,81.73,0.0,0.0
2018-12-30,72.4,72.4,72.4,0.0,0.0,74.1,74.1,74.1,0.0,0.0,69.59,69.59,69.59,0.0,0.0,70.95,70.95,70.95,0.0,0.0
2019-01-06,64.7,64.7,64.7,0.0,0.0,64.82,64.82,64.82,0.0,0.0,60.97,60.97,60.97,0.0,0.0,62.36,62.36,62.36,0.0,0.0
2019-01-13,56.5,56.5,56.5,0.0,0.0,57.85,57.85,57.85,0.0,0.0,55.16,55.16,55.16,0.0,0.0,56.85,56.85,56.85,0.0,0.0
2019-01-20,60.12,60.12,60.12,0.0,0.0,63.28,63.28,63.28,0.0,0.0,59.98,59.98,59.98,0.0,0.0,60.61,60.61,60.61,0.0,0.0
2019-01-27,51.67,51.67,51.67,0.0,0.0,52.22,52.22,52.22,0.0,0.0,49.2,49.2,49.2,0.0,0.0,49.54,49.54,49.54,0.0,0.0
2019-02-03,49.04,49.04,49.04,0.0,0.0,50.37,50.37,50.37,0.0,0.0,48.5,48.5,48.5,0.0,0.0,49.27,49.27,49.27,0.0,0.0
2019-02-10,47.55,47.55,47.55,0.0,0.0,48.1,48.1,48.1,0.0,0.0,46.35,46.35,46.35,0.0,0.0,46.49,46.49,46.49,0.0,0.0
2019-02-17,40.56,40.56,40.56,0.0,0.0,43.32,43.32,43.32,0.0,0.0,40.0,40.0,40.0,0.0,0.0,43.24,43.24,43.24,0.0,0.0
2019-02-24,40.1,40.1,40.1,0.0,0.0,45.58,45.58,45.58,0.0,0.0,39.38,39.38,39.38,0.0,0.0,42.38,42.38,42.38,0.0,0.0
2019-03-03,46.2,46.2,46.2,0.0,0.0,46.22,46.22,46.22,0.0,0.0,42.2,42.2,42.2,0.0,0.0,42.4,42.4,42.4,0.0,0.0
2019-03-10,38.31,38.31,38.31,0.0,0.0,39.19,39.19,39.19,0.0,0.0,37.53,37.53,37.53,0.0,0.0,37.98,37.98,37.98,0.0,0.0
2019-03-17,44.7,44.7,44.7,0.0,0.0,46.71,46.71,46.71,0.0,0.0,43.47,43.47,43.47,0.0,0.0,44.87,44.87,44.87,0.0,0.0
2019-03-24,38.36,38.36,38.36,0.0,0.0,38.78,38.78,38.78,0.0,0.0,37.71,37.71,37.71,0.0,0.0,37.85,37.85,37.85,0.0,0.0
2019-03-31,36.62,36.62,36.62,0.0,0.0,36.97,36.97,36.97,0.0,0.0,36.05,36.05,36.05,0.0,0.0,36.17,36.17,36.17,0.0,0.0
2019-04-07,32.2,32.2,32.2,0.0,0.0,34.3,34.3,34.3,0.0,0.0,32.15,32.15,32.15,0.0,0.0,32.33,32.33,32.33,0.0,0.0
2019-04-14,32.1,32.1,32.1,0.0,0.0,32.44,32.44,32.44,0.0,0.0,31.05,31.05,31.05,0.0,0.0,31.08,31.08,31.08,0.0,0.0
2019-04-21,31.45,31.45,31.45,0.0,0.0,31.88,31.88,31.88,0.0,0.0,31.01,31.01,31.01,0.0,0.0,31.82,31.82,31.82,0.0,0.0
2019-04-28,36.0,36.0,36.0,0.0,0.0,36.47,36.47,36.47,0.0,0.0,33.58,33.58,33.58,0.0,0.0,33.88,33.88,33.88,0.0,0.0
2019-05-05,43.18,43.18,43.18,0.0,0.0,44.8,44.8,44.8,0.0,0.0,41.36,41.36,41.36,0.0,0.0,44.25,44.25,44.25,0.0,0.0
2019-05-12,38.02,38.02,38.02,0.0,0.0,39.03,39.03,39.03,0.0,0.0,36.33,36.33,36.33,0.0,0.0,37.37,37.37,37.37,0.0,0.0
2019-05-19,35.8,35.8,35.8,0.0,0.0,36.98,36.98,36.98,0.0,0.0,35.24,35.24,35.24,0.0,0.0,36.24,36.24,36.24,0.0,0.0
2019-05-26,39.94,39.94,39.94,0.0,0.0,42.02,42.02,42.02,0.0,0.0,38.88,38.88,38.88,0.0,0.0,40.56,40.56,40.56,0.0,0.0
2019-06-02,34.75,34.75,34.75,0.0,0.0,35.75,35.75,35.75,0.0,0.0,34.59,34.59,34.59,0.0,0.0,34.98,34.98,34.98,0.0,0.0
2019-06-09,33.98,33.98,33.98,0.0,0.0,34.11,34.11,34.11,0.0,0.0,33.23,33.23,33.23,0.0,0.0,33.5,33.5,33.5,0.0,0.0
2019-06-16,32.21,32.21,32.21,0.0,0.0,32.5,32.5,32.5,0.0,0.0,31.82,31.82,31.82,0.0,0.0,32.13,32.13,32.13,0.0,0.0
2019-06-23,28.92,28.92,28.92,0.0,0.0,29.83,29.83,29.83,0.0,0.0,28.7,28.7,28.7,0.0,0.0,28.91,28.91,28.91,0.0,0.0
2019-06-30,28.16,28.16,28.16,0.0,0.0,28.69,28.69,28.69,0.0,0.0,27.72,27.72,27.72,0.0,0.0,28.33,28.33,28.33,0.0,0.0
2019-07-07,25.6,25.6,25.6,0.0,0.0,26.03,26.03,26.03,0.0,0.0,25.44,25.44,25.44,0.0,0.0,25.67,25.67,25.67,0.0,0.0
2019-07-14,26.67,26.67,26.67,0.0,0.0,26.91,26.91,26.91,0.0,0.0,25.66,25.66,25.66,0.0,0.0,26.0,26.0,26.0,0.0,0.0
2019-07-21,23.77,23.77,23.77,0.0,0.0,24.37,24.37,24.37,0.0,0.0,23.7,23.7,23.7,0.0,0.0,24.03,24.03,24.03,0.0,0.0
2019-07-28,33.95,33.95,33.95,0.0,0.0,37.63,37.63,37.63,0.0,0.0,33.5,33.5,33.5,0.0,0.0,37.01,37.01,37.01,0.0,0.0
2019-08-04,33.34,33.34,33.34,0.0,0.0,36.18,36.18,36.18,0.0,0.0,33.06,33.06,33.06,0.0,0.0,35.99,35.99,35.99,0.0,0.0
2019-08-11,31.98,31.98,31.98,0.0,0.0,32.17,32.17,32.17,0.0,0.0,30.18,30.18,30.18,0.0,0.0,30.38,30.38,30.38,0.0,0.0
2019-08-18,32.89,32.89,32.89,0.0,0.0,35.5,35.5,35.5,0.0,0.0,32.83,32.83,32.83,0.0,0.0,34.0,34.0,34.0,0.0,0.0
2019-08-25,30.7,30.7,30.7,0.0,0.0,32.99,32.99,32.99,0.0,0.0,30.68,30.68,30.68,0.0,0.0,31.75,31.75,31.75,0.0,0.0
2019-09-01,27.09,27.09,27.09,0.0,0.0,28.53,28.53,28.53,0.0,0.0,27.0,27.0,27.0,0.0,0.0,27.43,27.43,27.43,0.0,0.0
2019-09-08,25.82,25.82,25.82,0.0,0.0,26.07,26.07,26.07,0.0,0.0,25.0,25.0,25.0,0.0,0.0,25.65,25.65,25.65,0.0,0.0
2019-09-15,25.43,25.43,25.43,0.0,0.0,25.62,25.62,25.62,0.0,0.0,24.43,24.43,24.43,0.0,0.0,25.04,25.04,25.04,0.0,0.0
2019-09-22,26.85,26.85,26.85,0.0,0.0,26.86,26.86,26.86,0.0,0.0,25.62,25.62,25.62,0.0,0.0,26.04,26.04,26.04,0.0,0.0
2019-09-29,27.09,27.09,27.09,0.0,0.0,27.44,27.44,27.44,0.0,0.0,25.94,25.94,25.94,0.0,0.0,26.85,26.85,26.85,0.0,0.0
2019-10-06,24.77,24.77,24.77,0.0,0.0,24.77,24.77,24.77,0.0,0.0,23.4,23.4,23.4,0.0,0.0,23.44,23.44,23.44,0.0,0.0
2019-10-13,21.41,21.41,21.41,0.0,0.0,21.52,21.52,21.52,0.0,0.0,20.9,20.9,20.9,0.0,0.0,20.92,20.92,20.92,0.0,0.0
2019-10-20,19.42,19.42,19.42,0.0,0.0,19.95,19.95,19.95,0.0,0.0,19.36,19.36,19.36,0.0,0.0,19.85,19.85,19.85,0.0,0.0
2019-10-27,17.79,17.79,17.79,0.0,0.0,18.46,18.46,18.46,0.0,0.0,17.73,17.73,17.73,0.0,0.0,18.27,18.27,18.27,0.0,0.0
2019-11-03,18.42,18.42,18.42,0.0,0.0,18.48,18.48,18.48,0.0,0.0,17.5,17.5,17.5,0.0,0.0,17.78,17.78,17.78,0.0,0.0
2019-11-10,16.1,16.1,16.1,0.0,0.0,16.34,16.34,16.34,0.0,0.0,15.9,15.9,15.9,0.0,0.0,16.08,16.08,16.08,0.0,0.0
2019-11-17,15.35,15.35,15.35,0.0,0.0,15.36,15.36,15.36,0.0,0.0,14.77,14.77,14.77,0.0,0.0,14.85,14.85,14.85,0.0,0.0
2019-11-24,14.77,14.77,14.77,0.0,0.0,16.33,16.33,16.33,0.0,0.0,14.76,14.76,14.76,0.0,0.0,15.87,15.87,15.87,0.0,0.0
2019-12-01,15.22,15.22,15.22,0.0,0.0,16.27,16.27,16.27,0.0,0.0,15.07,15.07,15.07,0.0,0.0,16.24,16.24,16.24,0.0,0.0
2019-12-08,12.83,12.83,12.83,0.0,0.0,13.03,13.03,13.03,0.0,0.0,12.61,12.61,12.61,0.0,0.0,13.02,13.02,13.02,0.0,0.0
2019-12-15,12.72,12.72,12.72,0.0,0.0,12.91,12.91,12.91,0.0,0.0,12.71,12.71,12.71,0.0,0.0,12.88,12.88,12.88,0.0,0.0
2019-12-22,13.19,13.19,13.19,0.0,0.0,13.98,13.98,13.98,0.0,0.0,13.17,13.17,13.17,0.0,0.0,13.74,13.74,13.74,0.0,0.0
2019-12-29,13.55,13.55,13.55,0.0,0.0,13.61,13.61,13.61,0.0,0.0,12.65,12.65,12.65,0.0,0.0,13.01,13.01,13.01,0.0,0.0
