Date,NuShares ESG Mid-Cap Growth_etf_Open_average,NuShares ESG Mid-Cap Growth_etf_Open_max,NuShares ESG Mid-Cap Growth_etf_Open_min,NuShares ESG Mid-Cap Growth_etf_Open_volatility,NuShares ESG Mid-Cap Growth_etf_Open_change,NuShares ESG Mid-Cap Growth_etf_High_average,NuShares ESG Mid-Cap Growth_etf_High_max,NuShares ESG Mid-Cap Growth_etf_High_min,NuShares ESG Mid-Cap Growth_etf_High_volatility,NuShares ESG Mid-Cap Growth_etf_High_change,NuShares ESG Mid-Cap Growth_etf_Low_average,NuShares ESG Mid-Cap Growth_etf_Low_max,NuShares ESG Mid-Cap Growth_etf_Low_min,NuShares ESG Mid-Cap Growth_etf_Low_volatility,NuShares ESG Mid-Cap Growth_etf_Low_change,NuShares ESG Mid-Cap Growth_etf_Close_average,NuShares ESG Mid-Cap Growth_etf_Close_max,NuShares ESG Mid-Cap Growth_etf_Close_min,NuShares ESG Mid-Cap Growth_etf_Close_volatility,NuShares ESG Mid-Cap Growth_etf_Close_change
2018-03-25,29.28,29.28,29.28,0.0,0.0,29.58,29.58,29.58,0.0,0.0,29.26,29.26,29.26,0.0,0.0,29.58,29.58,29.58,0.0,0.0
2018-04-01,29.55,29.55,29.55,0.0,0.0,29.55,29.55,29.55,0.0,0.0,29.08,29.08,29.08,0.0,0.0,29.08,29.08,29.08,0.0,0.0
2018-04-08,29.73,29.73,29.73,0.0,0.0,29.73,29.73,29.73,0.0,0.0,29.58,29.58,29.58,0.0,0.0,29.58,29.58,29.58,0.0,0.0
2018-04-15,29.8,29.8,29.8,0.0,0.0,29.86,29.86,29.86,0.0,0.0,29.7,29.7,29.7,0.0,0.0,29.7,29.7,29.7,0.0,0.0
2018-04-22,29.84,29.84,29.84,0.0,0.0,29.95,29.95,29.95,0.0,0.0,29.83,29.83,29.83,0.0,0.0,29.93,29.93,29.93,0.0,0.0
2018-04-29,29.5,29.5,29.5,0.0,0.0,29.98,29.98,29.98,0.0,0.0,29.45,29.45,29.45,0.0,0.0,29.98,29.98,29.98,0.0,0.0
2018-05-06,30.78,30.78,30.78,0.0,0.0,30.85,30.85,30.85,0.0,0.0,30.72,30.72,30.72,0.0,0.0,30.78,30.78,30.78,0.0,0.0
2018-05-13,30.6,30.6,30.6,0.0,0.0,30.78,30.78,30.78,0.0,0.0,30.6,30.6,30.6,0.0,0.0,30.77,30.77,30.77,0.0,0.0
2018-05-20,30.96,30.96,30.96,0.0,0.0,30.97,30.97,30.97,0.0,0.0,30.94,30.94,30.94,0.0,0.0,30.94,30.94,30.94,0.0,0.0
2018-05-27,31.16,31.16,31.16,0.0,0.0,31.26,31.26,31.26,0.0,0.0,31.16,31.16,31.16,0.0,0.0,31.18,31.18,31.18,0.0,0.0
2018-06-03,32.11,32.11,32.11,0.0,0.0,32.11,32.11,32.11,0.0,0.0,31.81,31.81,31.81,0.0,0.0,32.06,32.06,32.06,0.0,0.0
2018-06-10,32.23,32.23,32.23,0.0,0.0,32.24,32.24,32.24,0.0,0.0,32.22,32.22,32.22,0.0,0.0,32.22,32.22,32.22,0.0,0.0
2018-06-17,32.01,32.01,32.01,0.0,0.0,32.01,32.01,32.01,0.0,0.0,31.91,31.91,31.91,0.0,0.0,31.94,31.94,31.94,0.0,0.0
2018-06-24,31.27,31.27,31.27,0.0,0.0,31.28,31.28,31.28,0.0,0.0,31.25,31.25,31.25,0.0,0.0,31.27,31.27,31.27,0.0,0.0
2018-07-01,31.76,31.76,31.76,0.0,0.0,31.78,31.78,31.78,0.0,0.0,31.76,31.76,31.76,0.0,0.0,31.78,31.78,31.78,0.0,0.0
2018-07-08,32.18,32.18,32.18,0.0,0.0,32.18,32.18,32.18,0.0,0.0,32.18,32.18,32.18,0.0,0.0,32.18,32.18,32.18,0.0,0.0
2018-07-15,32.57,32.57,32.57,0.0,0.0,32.57,32.57,32.57,0.0,0.0,32.48,32.48,32.48,0.0,0.0,32.51,32.51,32.51,0.0,0.0
2018-07-22,32.68,32.68,32.68,0.0,0.0,32.68,32.68,32.68,0.0,0.0,32.4,32.4,32.4,0.0,0.0,32.4,32.4,32.4,0.0,0.0
2018-07-29,32.59,32.59,32.59,0.0,0.0,32.61,32.61,32.61,0.0,0.0,32.59,32.59,32.59,0.0,0.0,32.61,32.61,32.61,0.0,0.0
2018-08-05,32.86,32.86,32.86,0.0,0.0,32.89,32.89,32.89,0.0,0.0,32.8,32.8,32.8,0.0,0.0,32.89,32.89,32.89,0.0,0.0
2018-08-12,32.67,32.67,32.67,0.0,0.0,32.89,32.89,32.89,0.0,0.0,32.67,32.67,32.67,0.0,0.0,32.89,32.89,32.89,0.0,0.0
2018-08-19,33.65,33.65,33.65,0.0,0.0,33.73,33.73,33.73,0.0,0.0,33.64,33.64,33.64,0.0,0.0,33.73,33.73,33.73,0.0,0.0
2018-08-26,33.91,33.91,33.91,0.0,0.0,33.99,33.99,33.99,0.0,0.0,33.91,33.91,33.91,0.0,0.0,33.99,33.99,33.99,0.0,0.0
2018-09-02,33.74,33.74,33.74,0.0,0.0,33.96,33.96,33.96,0.0,0.0,33.74,33.74,33.74,0.0,0.0,33.79,33.79,33.79,0.0,0.0
2018-09-09,34.54,34.54,34.54,0.0,0.0,34.55,34.55,34.55,0.0,0.0,34.43,34.43,34.43,0.0,0.0,34.48,34.48,34.48,0.0,0.0
2018-09-16,34.21,34.21,34.21,0.0,0.0,34.37,34.37,34.37,0.0,0.0,34.21,34.21,34.21,0.0,0.0,34.31,34.31,34.31,0.0,0.0
2018-09-23,34.26,34.26,34.26,0.0,0.0,34.26,34.26,34.26,0.0,0.0,34.24,34.24,34.24,0.0,0.0,34.26,34.26,34.26,0.0,0.0
2018-09-30,33.16,33.16,33.16,0.0,0.0,33.16,33.16,33.16,0.0,0.0,32.63,32.63,32.63,0.0,0.0,32.94,32.94,32.94,0.0,0.0
2018-10-07,30.9,30.9,30.9,0.0,0.0,30.9,30.9,30.9,0.0,0.0,30.49,30.49,30.49,0.0,0.0,30.75,30.75,30.75,0.0,0.0
2018-10-14,30.9,30.9,30.9,0.0,0.0,30.9,30.9,30.9,0.0,0.0,30.39,30.39,30.39,0.0,0.0,30.44,30.44,30.44,0.0,0.0
2018-10-21,28.88,28.88,28.88,0.0,0.0,29.26,29.26,29.26,0.0,0.0,28.84,28.84,28.84,0.0,0.0,28.96,28.96,28.96,0.0,0.0
2018-10-28,31.11,31.11,31.11,0.0,0.0,31.11,31.11,31.11,0.0,0.0,31.11,31.11,31.11,0.0,0.0,31.11,31.11,31.11,0.0,0.0
2018-11-04,30.5,30.5,30.5,0.0,0.0,30.75,30.75,30.75,0.0,0.0,30.5,30.5,30.5,0.0,0.0,30.75,30.75,30.75,0.0,0.0
2018-11-11,30.41,30.41,30.41,0.0,0.0,30.41,30.41,30.41,0.0,0.0,30.41,30.41,30.41,0.0,0.0,30.41,30.41,30.41,0.0,0.0
2018-11-18,29.53,29.53,29.53,0.0,0.0,29.53,29.53,29.53,0.0,0.0,29.53,29.53,29.53,0.0,0.0,29.53,29.53,29.53,0.0,0.0
2018-11-25,30.8,30.8,30.8,0.0,0.0,30.84,30.84,30.84,0.0,0.0,30.74,30.74,30.74,0.0,0.0,30.84,30.84,30.84,0.0,0.0
2018-12-02,29.91,29.91,29.91,0.0,0.0,29.91,29.91,29.91,0.0,0.0,29.07,29.07,29.07,0.0,0.0,29.07,29.07,29.07,0.0,0.0
2018-12-09,29.01,29.01,29.01,0.0,0.0,29.01,29.01,29.01,0.0,0.0,28.67,28.67,28.67,0.0,0.0,28.67,28.67,28.67,0.0,0.0
2018-12-16,27.02,27.02,27.02,0.0,0.0,27.02,27.02,27.02,0.0,0.0,26.49,26.49,26.49,0.0,0.0,26.49,26.49,26.49,0.0,0.0
2018-12-23,26.21,26.21,26.21,0.0,0.0,26.25,26.25,26.25,0.0,0.0,25.93,25.93,25.93,0.0,0.0,26.06,26.06,26.06,0.0,0.0
2018-12-30,25.92,25.92,25.92,0.0,0.0,26.36,26.36,26.36,0.0,0.0,25.92,25.92,25.92,0.0,0.0,26.33,26.33,26.33,0.0,0.0
2019-01-06,27.42,27.42,27.42,0.0,0.0,27.53,27.53,27.53,0.0,0.0,27.42,27.42,27.42,0.0,0.0,27.53,27.53,27.53,0.0,0.0
2019-01-13,28.11,28.11,28.11,0.0,0.0,28.35,28.35,28.35,0.0,0.0,28.11,28.11,28.11,0.0,0.0,28.34,28.34,28.34,0.0,0.0
2019-01-20,28.34,28.34,28.34,0.0,0.0,28.34,28.34,28.34,0.0,0.0,28.3,28.3,28.3,0.0,0.0,28.31,28.31,28.31,0.0,0.0
2019-01-27,28.77,28.77,28.77,0.0,0.0,28.98,28.98,28.98,0.0,0.0,28.77,28.77,28.77,0.0,0.0,28.98,28.98,28.98,0.0,0.0
2019-02-03,29.02,29.02,29.02,0.0,0.0,29.17,29.17,29.17,0.0,0.0,28.99,28.99,28.99,0.0,0.0,29.17,29.17,29.17,0.0,0.0
2019-02-10,30.08,30.08,30.08,0.0,0.0,30.08,30.08,30.08,0.0,0.0,30.02,30.02,30.02,0.0,0.0,30.07,30.07,30.07,0.0,0.0
2019-02-17,30.47,30.47,30.47,0.0,0.0,30.54,30.54,30.54,0.0,0.0,30.4,30.4,30.4,0.0,0.0,30.53,30.53,30.53,0.0,0.0
2019-02-24,30.97,30.97,30.97,0.0,0.0,31.06,31.06,31.06,0.0,0.0,30.85,30.85,30.85,0.0,0.0,30.97,30.97,30.97,0.0,0.0
2019-03-03,30.06,30.06,30.06,0.0,0.0,30.15,30.15,30.15,0.0,0.0,29.91,29.91,29.91,0.0,0.0,30.14,30.14,30.14,0.0,0.0
2019-03-10,30.9,30.9,30.9,0.0,0.0,31.05,31.05,31.05,0.0,0.0,30.9,30.9,30.9,0.0,0.0,30.92,30.92,30.92,0.0,0.0
2019-03-17,31.21,31.21,31.21,0.0,0.0,31.21,31.21,31.21,0.0,0.0,30.78,30.78,30.78,0.0,0.0,30.78,30.78,30.78,0.0,0.0
2019-03-24,31.25,31.25,31.25,0.0,0.0,31.31,31.31,31.31,0.0,0.0,31.23,31.23,31.23,0.0,0.0,31.31,31.31,31.31,0.0,0.0
2019-03-31,32.17,32.17,32.17,0.0,0.0,32.17,32.17,32.17,0.0,0.0,32.04,32.04,32.04,0.0,0.0,32.08,32.08,32.08,0.0,0.0
2019-04-07,32.4,32.4,32.4,0.0,0.0,32.42,32.42,32.42,0.0,0.0,32.31,32.31,32.31,0.0,0.0,32.4,32.4,32.4,0.0,0.0
2019-04-14,31.99,31.99,31.99,0.0,0.0,32.12,32.12,32.12,0.0,0.0,31.97,31.97,31.97,0.0,0.0,32.11,32.11,32.11,0.0,0.0
2019-04-21,32.14,32.14,32.14,0.0,0.0,32.44,32.44,32.44,0.0,0.0,32.14,32.14,32.14,0.0,0.0,32.44,32.44,32.44,0.0,0.0
2019-04-28,32.68,32.68,32.68,0.0,0.0,32.86,32.86,32.86,0.0,0.0,32.67,32.67,32.67,0.0,0.0,32.86,32.86,32.86,0.0,0.0
2019-05-05,32.14,32.14,32.14,0.0,0.0,32.35,32.35,32.35,0.0,0.0,31.67,31.67,31.67,0.0,0.0,32.21,32.21,32.21,0.0,0.0
2019-05-12,32.01,32.01,32.01,0.0,0.0,32.2,32.2,32.2,0.0,0.0,31.93,31.93,31.93,0.0,0.0,31.93,31.93,31.93,0.0,0.0
2019-05-19,31.67,31.67,31.67,0.0,0.0,31.67,31.67,31.67,0.0,0.0,31.52,31.52,31.52,0.0,0.0,31.54,31.54,31.54,0.0,0.0
2019-05-26,31.09,31.09,31.09,0.0,0.0,31.09,31.09,31.09,0.0,0.0,31.03,31.03,31.03,0.0,0.0,31.03,31.03,31.03,0.0,0.0
2019-06-02,32.49,32.49,32.49,0.0,0.0,32.77,32.77,32.77,0.0,0.0,32.49,32.49,32.49,0.0,0.0,32.69,32.69,32.69,0.0,0.0
2019-06-09,32.86,32.86,32.86,0.0,0.0,32.88,32.88,32.88,0.0,0.0,32.8,32.8,32.8,0.0,0.0,32.87,32.87,32.87,0.0,0.0
2019-06-16,33.62,33.62,33.62,0.0,0.0,33.64,33.64,33.64,0.0,0.0,33.51,33.51,33.51,0.0,0.0,33.53,33.53,33.53,0.0,0.0
2019-06-23,33.43,33.43,33.43,0.0,0.0,33.62,33.62,33.62,0.0,0.0,33.3,33.3,33.3,0.0,0.0,33.62,33.62,33.62,0.0,0.0
2019-06-30,34.2,34.2,34.2,0.0,0.0,34.25,34.25,34.25,0.0,0.0,33.91,33.91,33.91,0.0,0.0,34.25,34.25,34.25,0.0,0.0
2019-07-07,34.14,34.14,34.14,0.0,0.0,34.32,34.32,34.32,0.0,0.0,34.14,34.14,34.14,0.0,0.0,34.32,34.32,34.32,0.0,0.0
2019-07-14,34.28,34.28,34.28,0.0,0.0,34.28,34.28,34.28,0.0,0.0,33.94,33.94,33.94,0.0,0.0,33.94,33.94,33.94,0.0,0.0
2019-07-21,34.23,34.23,34.23,0.0,0.0,34.3,34.3,34.3,0.0,0.0,34.23,34.23,34.23,0.0,0.0,34.29,34.29,34.29,0.0,0.0
2019-07-28,33.15,33.15,33.15,0.0,0.0,33.15,33.15,33.15,0.0,0.0,32.68,32.68,32.68,0.0,0.0,32.83,32.83,32.83,0.0,0.0
2019-08-04,32.96,32.96,32.96,0.0,0.0,32.96,32.96,32.96,0.0,0.0,32.58,32.58,32.58,0.0,0.0,32.76,32.76,32.76,0.0,0.0
2019-08-11,31.85,31.85,31.85,0.0,0.0,32.24,32.24,32.24,0.0,0.0,31.85,31.85,31.85,0.0,0.0,32.2,32.2,32.2,0.0,0.0
2019-08-18,32.32,32.32,32.32,0.0,0.0,32.54,32.54,32.54,0.0,0.0,31.62,31.62,31.62,0.0,0.0,31.73,31.73,31.73,0.0,0.0
2019-08-25,32.6,32.6,32.6,0.0,0.0,32.66,32.66,32.66,0.0,0.0,32.46,32.46,32.46,0.0,0.0,32.58,32.58,32.58,0.0,0.0
2019-09-01,33.3,33.3,33.3,0.0,0.0,33.31,33.31,33.31,0.0,0.0,33.2,33.2,33.2,0.0,0.0,33.2,33.2,33.2,0.0,0.0
2019-09-08,33.43,33.43,33.43,0.0,0.0,33.43,33.43,33.43,0.0,0.0,33.22,33.22,33.22,0.0,0.0,33.27,33.27,33.27,0.0,0.0
2019-09-15,33.39,33.39,33.39,0.0,0.0,33.39,33.39,33.39,0.0,0.0,33.17,33.17,33.17,0.0,0.0,33.17,33.17,33.17,0.0,0.0
2019-09-22,33.07,33.07,33.07,0.0,0.0,33.07,33.07,33.07,0.0,0.0,32.34,32.34,32.34,0.0,0.0,32.43,32.43,32.43,0.0,0.0
2019-09-29,32.2,32.2,32.2,0.0,0.0,32.37,32.37,32.37,0.0,0.0,32.04,32.04,32.04,0.0,0.0,32.37,32.37,32.37,0.0,0.0
2019-10-06,32.81,32.81,32.81,0.0,0.0,32.86,32.86,32.86,0.0,0.0,32.66,32.66,32.66,0.0,0.0,32.66,32.66,32.66,0.0,0.0
2019-10-13,33.06,33.06,33.06,0.0,0.0,33.08,33.08,33.08,0.0,0.0,32.89,32.89,32.89,0.0,0.0,32.9,32.9,32.9,0.0,0.0
2019-10-20,33.3,33.3,33.3,0.0,0.0,33.64,33.64,33.64,0.0,0.0,33.3,33.3,33.3,0.0,0.0,33.49,33.49,33.49,0.0,0.0
2019-10-27,33.55,33.55,33.55,0.0,0.0,33.64,33.64,33.64,0.0,0.0,33.49,33.49,33.49,0.0,0.0,33.61,33.61,33.61,0.0,0.0
2019-11-03,33.58,33.58,33.58,0.0,0.0,33.63,33.63,33.63,0.0,0.0,33.53,33.53,33.53,0.0,0.0,33.63,33.63,33.63,0.0,0.0
2019-11-10,34.0,34.0,34.0,0.0,0.0,34.23,34.23,34.23,0.0,0.0,34.0,34.0,34.0,0.0,0.0,34.23,34.23,34.23,0.0,0.0
2019-11-17,34.31,34.31,34.31,0.0,0.0,34.4,34.4,34.4,0.0,0.0,34.2,34.2,34.2,0.0,0.0,34.39,34.39,34.39,0.0,0.0
2019-11-24,35.0,35.0,35.0,0.0,0.0,35.05,35.05,35.05,0.0,0.0,34.84,34.84,34.84,0.0,0.0,34.84,34.84,34.84,0.0,0.0
2019-12-01,34.78,34.78,34.78,0.0,0.0,34.89,34.89,34.89,0.0,0.0,34.77,34.77,34.77,0.0,0.0,34.77,34.77,34.77,0.0,0.0
2019-12-08,34.72,34.72,34.72,0.0,0.0,34.82,34.82,34.82,0.0,0.0,34.72,34.72,34.72,0.0,0.0,34.81,34.81,34.81,0.0,0.0
2019-12-15,35.39,35.39,35.39,0.0,0.0,35.39,35.39,35.39,0.0,0.0,35.22,35.22,35.22,0.0,0.0,35.26,35.26,35.26,0.0,0.0
2019-12-22,35.5,35.5,35.5,0.0,0.0,35.5,35.5,35.5,0.0,0.0,35.34,35.34,35.34,0.0,0.0,35.4,35.4,35.4,0.0,0.0
2019-12-29,35.17,35.17,35.17,0.0,0.0,35.55,35.55,35.55,0.0,0.0,35.17,35.17,35.17,0.0,0.0,35.54,35.54,35.54,0.0,0.0
