Date,iShares Morningstar Large-Cap Value_etf_Open_average,iShares Morningstar Large-Cap Value_etf_Open_max,iShares Morningstar Large-Cap Value_etf_Open_min,iShares Morningstar Large-Cap Value_etf_Open_volatility,iShares Morningstar Large-Cap Value_etf_Open_change,iShares Morningstar Large-Cap Value_etf_High_average,iShares Morningstar Large-Cap Value_etf_High_max,iShares Morningstar Large-Cap Value_etf_High_min,iShares Morningstar Large-Cap Value_etf_High_volatility,iShares Morningstar Large-Cap Value_etf_High_change,iShares Morningstar Large-Cap Value_etf_Low_average,iShares Morningstar Large-Cap Value_etf_Low_max,iShares Morningstar Large-Cap Value_etf_Low_min,iShares Morningstar Large-Cap Value_etf_Low_volatility,iShares Morningstar Large-Cap Value_etf_Low_change,iShares Morningstar Large-Cap Value_etf_Close_average,iShares Morningstar Large-Cap Value_etf_Close_max,iShares Morningstar Large-Cap Value_etf_Close_min,iShares Morningstar Large-Cap Value_etf_Close_volatility,iShares Morningstar Large-Cap Value_etf_Close_change
2019-01-06,98.81,98.81,98.81,0.0,0.0,99.49,99.49,99.49,0.0,0.0,98.57,98.57,98.57,0.0,0.0,99.45,99.45,99.45,0.0,0.0
2019-01-13,101.41,101.41,101.41,0.0,0.0,102.02,102.02,102.02,0.0,0.0,101.15,101.15,101.15,0.0,0.0,101.91,101.91,101.91,0.0,0.0
2019-01-20,101.61,101.61,101.61,0.0,0.0,101.9,101.9,101.9,0.0,0.0,101.31,101.31,101.31,0.0,0.0,101.38,101.38,101.38,0.0,0.0
2019-01-27,102.81,102.81,102.81,0.0,0.0,103.19,103.19,103.19,0.0,0.0,102.58,102.58,102.58,0.0,0.0,102.96,102.96,102.96,0.0,0.0
2019-02-03,101.88,101.88,101.88,0.0,0.0,102.24,102.24,102.24,0.0,0.0,101.18,101.18,101.18,0.0,0.0,102.24,102.24,102.24,0.0,0.0
2019-02-10,104.15,104.15,104.15,0.0,0.0,105.07,105.07,105.07,0.0,0.0,104.15,104.15,104.15,0.0,0.0,105.07,105.07,105.07,0.0,0.0
2019-02-17,105.5,105.5,105.5,0.0,0.0,105.87,105.87,105.87,0.0,0.0,105.5,105.5,105.5,0.0,0.0,105.75,105.75,105.75,0.0,0.0
2019-02-24,106.18,106.18,106.18,0.0,0.0,106.34,106.34,106.34,0.0,0.0,105.41,105.41,105.41,0.0,0.0,105.73,105.73,105.73,0.0,0.0
2019-03-03,103.38,103.38,103.38,0.0,0.0,103.8,103.8,103.8,0.0,0.0,103.15,103.15,103.15,0.0,0.0,103.8,103.8,103.8,0.0,0.0
2019-03-10,106.22,106.22,106.22,0.0,0.0,106.79,106.79,106.79,0.0,0.0,106.13,106.13,106.13,0.0,0.0,106.61,106.61,106.61,0.0,0.0
2019-03-17,105.68,105.68,105.68,0.0,0.0,105.87,105.87,105.87,0.0,0.0,104.5,104.5,104.5,0.0,0.0,104.58,104.58,104.58,0.0,0.0
2019-03-24,105.23,105.23,105.23,0.0,0.0,105.41,105.41,105.41,0.0,0.0,104.9,104.9,104.9,0.0,0.0,105.41,105.41,105.41,0.0,0.0
2019-03-31,107.0,107.0,107.0,0.0,0.0,107.14,107.14,107.14,0.0,0.0,106.96,106.96,106.96,0.0,0.0,107.14,107.14,107.14,0.0,0.0
2019-04-07,107.77,107.77,107.77,0.0,0.0,108.19,108.19,108.19,0.0,0.0,107.59,107.59,107.59,0.0,0.0,107.73,107.73,107.73,0.0,0.0
2019-04-14,107.94,107.94,107.94,0.0,0.0,107.94,107.94,107.94,0.0,0.0,107.33,107.33,107.33,0.0,0.0,107.5,107.5,107.5,0.0,0.0
2019-04-21,106.82,106.82,106.82,0.0,0.0,107.34,107.34,107.34,0.0,0.0,106.82,106.82,106.82,0.0,0.0,107.34,107.34,107.34,0.0,0.0
2019-04-28,108.01,108.01,108.01,0.0,0.0,108.22,108.22,108.22,0.0,0.0,107.69,107.69,107.69,0.0,0.0,108.16,108.16,108.16,0.0,0.0
2019-05-05,104.73,104.73,104.73,0.0,0.0,105.75,105.75,105.75,0.0,0.0,104.0,104.0,104.0,0.0,0.0,105.68,105.68,105.68,0.0,0.0
2019-05-12,104.77,104.77,104.77,0.0,0.0,105.84,105.84,105.84,0.0,0.0,104.77,104.77,104.77,0.0,0.0,105.39,105.39,105.39,0.0,0.0
2019-05-19,105.15,105.15,105.15,0.0,0.0,105.22,105.22,105.22,0.0,0.0,105.01,105.01,105.01,0.0,0.0,105.12,105.12,105.12,0.0,0.0
2019-05-26,101.93,101.93,101.93,0.0,0.0,102.12,102.12,102.12,0.0,0.0,101.48,101.48,101.48,0.0,0.0,101.49,101.49,101.49,0.0,0.0
2019-06-02,106.0,106.0,106.0,0.0,0.0,106.59,106.59,106.59,0.0,0.0,106.0,106.0,106.0,0.0,0.0,106.21,106.21,106.21,0.0,0.0
2019-06-09,106.9,106.9,106.9,0.0,0.0,107.16,107.16,107.16,0.0,0.0,106.65,106.65,106.65,0.0,0.0,106.94,106.94,106.94,0.0,0.0
2019-06-16,107.92,107.92,107.92,0.0,0.0,108.22,108.22,108.22,0.0,0.0,107.88,107.88,107.88,0.0,0.0,107.94,107.94,107.94,0.0,0.0
2019-06-23,107.89,107.89,107.89,0.0,0.0,108.0,108.0,108.0,0.0,0.0,107.6,107.6,107.6,0.0,0.0,107.93,107.93,107.93,0.0,0.0
2019-06-30,109.6,109.6,109.6,0.0,0.0,109.64,109.64,109.64,0.0,0.0,109.08,109.08,109.08,0.0,0.0,109.6,109.6,109.6,0.0,0.0
2019-07-07,109.64,109.64,109.64,0.0,0.0,110.19,110.19,110.19,0.0,0.0,109.64,109.64,109.64,0.0,0.0,110.19,110.19,110.19,0.0,0.0
2019-07-14,110.33,110.33,110.33,0.0,0.0,110.33,110.33,110.33,0.0,0.0,109.63,109.63,109.63,0.0,0.0,109.64,109.64,109.64,0.0,0.0
2019-07-21,110.67,110.67,110.67,0.0,0.0,111.04,111.04,111.04,0.0,0.0,110.61,110.61,110.61,0.0,0.0,111.04,111.04,111.04,0.0,0.0
2019-07-28,108.1,108.1,108.1,0.0,0.0,108.1,108.1,108.1,0.0,0.0,107.19,107.19,107.19,0.0,0.0,107.51,107.51,107.51,0.0,0.0
2019-08-04,106.44,106.44,106.44,0.0,0.0,106.62,106.62,106.62,0.0,0.0,105.61,105.61,105.61,0.0,0.0,106.4,106.4,106.4,0.0,0.0
2019-08-11,104.52,104.52,104.52,0.0,0.0,105.36,105.36,105.36,0.0,0.0,104.46,104.46,104.46,0.0,0.0,105.36,105.36,105.36,0.0,0.0
2019-08-18,105.74,105.74,105.74,0.0,0.0,106.17,106.17,106.17,0.0,0.0,103.79,103.79,103.79,0.0,0.0,103.79,103.79,103.79,0.0,0.0
2019-08-25,106.54,106.54,106.54,0.0,0.0,106.77,106.77,106.77,0.0,0.0,106.18,106.18,106.18,0.0,0.0,106.4,106.4,106.4,0.0,0.0
2019-09-01,108.65,108.65,108.65,0.0,0.0,109.06,109.06,109.06,0.0,0.0,108.61,108.61,108.61,0.0,0.0,108.86,108.86,108.86,0.0,0.0
2019-09-08,111.44,111.44,111.44,0.0,0.0,111.81,111.81,111.81,0.0,0.0,111.44,111.44,111.44,0.0,0.0,111.53,111.53,111.53,0.0,0.0
2019-09-15,111.43,111.43,111.43,0.0,0.0,111.69,111.69,111.69,0.0,0.0,111.21,111.21,111.21,0.0,0.0,111.25,111.25,111.25,0.0,0.0
2019-09-22,110.28,110.28,110.28,0.0,0.0,110.45,110.45,110.45,0.0,0.0,109.67,109.67,109.67,0.0,0.0,110.09,110.09,110.09,0.0,0.0
2019-09-29,107.96,107.96,107.96,0.0,0.0,109.07,109.07,109.07,0.0,0.0,107.96,107.96,107.96,0.0,0.0,109.07,109.07,109.07,0.0,0.0
2019-10-06,109.74,109.74,109.74,0.0,0.0,110.37,110.37,110.37,0.0,0.0,109.54,109.54,109.54,0.0,0.0,109.54,109.54,109.54,0.0,0.0
2019-10-13,109.63,109.63,109.63,0.0,0.0,110.33,110.33,110.33,0.0,0.0,109.63,109.63,109.63,0.0,0.0,110.21,110.21,110.21,0.0,0.0
2019-10-20,111.35,111.35,111.35,0.0,0.0,112.12,112.12,112.12,0.0,0.0,111.35,111.35,111.35,0.0,0.0,112.05,112.05,112.05,0.0,0.0
2019-10-27,112.38,112.38,112.38,0.0,0.0,113.8,113.8,113.8,0.0,0.0,112.38,112.38,112.38,0.0,0.0,113.8,113.8,113.8,0.0,0.0
2019-11-03,114.68,114.68,114.68,0.0,0.0,115.11,115.11,115.11,0.0,0.0,114.58,114.58,114.58,0.0,0.0,115.11,115.11,115.11,0.0,0.0
2019-11-10,114.73,114.73,114.73,0.0,0.0,114.93,114.93,114.93,0.0,0.0,114.7,114.7,114.7,0.0,0.0,114.88,114.88,114.88,0.0,0.0
2019-11-17,115.08,115.08,115.08,0.0,0.0,115.14,115.14,115.14,0.0,0.0,114.85,114.85,114.85,0.0,0.0,115.05,115.05,115.05,0.0,0.0
2019-11-24,115.6,115.6,115.6,0.0,0.0,115.73,115.73,115.73,0.0,0.0,115.54,115.54,115.54,0.0,0.0,115.54,115.54,115.54,0.0,0.0
2019-12-01,115.83,115.83,115.83,0.0,0.0,116.21,116.21,116.21,0.0,0.0,115.83,115.83,115.83,0.0,0.0,115.91,115.91,115.91,0.0,0.0
2019-12-08,116.87,116.87,116.87,0.0,0.0,116.91,116.91,116.91,0.0,0.0,116.36,116.36,116.36,0.0,0.0,116.64,116.64,116.64,0.0,0.0
2019-12-15,117.2,117.2,117.2,0.0,0.0,117.54,117.54,117.54,0.0,0.0,117.2,117.2,117.2,0.0,0.0,117.31,117.31,117.31,0.0,0.0
2019-12-22,117.73,117.73,117.73,0.0,0.0,117.73,117.73,117.73,0.0,0.0,117.45,117.45,117.45,0.0,0.0,117.53,117.53,117.53,0.0,0.0
2019-12-29,116.75,116.75,116.75,0.0,0.0,117.11,117.11,117.11,0.0,0.0,116.71,116.71,116.71,0.0,0.0,116.91,116.91,116.91,0.0,0.0
