Date,EMKR_stock_Open_average,EMKR_stock_Open_max,EMKR_stock_Open_min,EMKR_stock_Open_volatility,EMKR_stock_Open_change,EMKR_stock_High_average,EMKR_stock_High_max,EMKR_stock_High_min,EMKR_stock_High_volatility,EMKR_stock_High_change,EMKR_stock_Low_average,EMKR_stock_Low_max,EMKR_stock_Low_min,EMKR_stock_Low_volatility,EMKR_stock_Low_change,EMKR_stock_Close_average,EMKR_stock_Close_max,EMKR_stock_Close_min,EMKR_stock_Close_volatility,EMKR_stock_Close_change,EMKR_stock_Volume_average,EMKR_stock_Volume_max,EMKR_stock_Volume_min,EMKR_stock_Volume_volatility,EMKR_stock_Volume_change
2018-06-03,5.27,5.35,5.2,0.14999999999999947,0.04999999999999982,5.386,5.45,5.35,0.10000000000000053,-0.07000000000000028,5.180000000000001,5.2,5.15,0.04999999999999982,0.0,5.266,5.3,5.2,0.09999999999999964,-0.04999999999999982,186696,328117,112710,215407,-165875
2018-06-10,5.41,5.55,5.25,0.2999999999999998,0.20000000000000018,5.5360000000000005,5.65,5.4,0.25,0.14999999999999947,5.3500000000000005,5.4,5.25,0.15000000000000036,0.15000000000000036,5.46,5.5,5.35,0.15000000000000036,0.15000000000000036,151397,210755,87629,123126,102596
2018-06-17,5.51,5.6,5.4,0.1999999999999993,-0.09999999999999964,5.59,5.65,5.55,0.10000000000000053,-0.04999999999999982,5.392,5.45,5.28,0.16999999999999993,-0.14999999999999947,5.4799999999999995,5.6,5.35,0.25,-0.25,732375,2976907,139650,2837257,2837257
2018-06-24,5.16,5.25,5.05,0.20000000000000018,-0.15000000000000036,5.26,5.35,5.15,0.1999999999999993,-0.14999999999999947,5.036,5.1,5.0,0.09999999999999964,-0.03000000000000025,5.12,5.25,5.05,0.20000000000000018,-0.04999999999999982,173738,235748,145275,90473,-90473
2018-07-01,5.0625,5.15,5.0,0.15000000000000036,0.04999999999999982,5.135,5.15,5.1,0.05000000000000071,-0.05000000000000071,4.975,5.0,4.9,0.09999999999999964,0.09999999999999964,5.05,5.1,5.0,0.09999999999999964,-0.04999999999999982,100707,166151,45816,120335,-120335
2018-07-08,5.1899999999999995,5.25,5.1,0.15000000000000036,0.15000000000000036,5.32,5.4,5.25,0.15000000000000036,0.0,5.14,5.25,5.05,0.20000000000000018,-0.04999999999999982,5.2,5.3,5.1,0.20000000000000018,0.0,82268,113915,62353,51562,-7565
2018-07-15,5.25,5.4,5.1,0.3000000000000007,0.10000000000000053,5.38,5.5,5.25,0.25,0.04999999999999982,5.17,5.3,5.1,0.20000000000000018,0.05000000000000071,5.29,5.4,5.2,0.20000000000000018,0.09999999999999964,134409,316048,36538,279510,-279510
2018-07-22,5.16,5.25,5.1,0.15000000000000036,-0.09999999999999964,5.2540000000000004,5.34,5.2,0.13999999999999968,0.08999999999999986,5.026,5.15,4.85,0.3000000000000007,-0.10000000000000053,5.13,5.2,5.1,0.10000000000000053,-0.05000000000000071,119205,362485,28018,334467,62241
2018-07-29,5.06,5.2,4.8,0.40000000000000036,-0.2999999999999998,5.186,5.3,5.05,0.25,-0.25,4.93,5.1,4.65,0.4499999999999993,-0.2999999999999998,5.09,5.2,5.0,0.20000000000000018,-0.20000000000000018,184171,473755,83558,390197,25109
2018-08-05,4.94,5.0,4.9,0.09999999999999964,-0.04999999999999982,5.0,5.1,4.95,0.14999999999999947,0.09999999999999964,4.83,4.9,4.8,0.10000000000000053,-0.04999999999999982,4.91,4.95,4.85,0.10000000000000053,-0.10000000000000053,87797,166177,27120,139057,9684
