Date,iShares Global 100_Open_average,iShares Global 100_Open_max,iShares Global 100_Open_volatility,iShares Global 100_Open_change,iShares Global 100_High_average,iShares Global 100_High_max,iShares Global 100_High_volatility,iShares Global 100_High_change,iShares Global 100_Low_average,iShares Global 100_Low_max,iShares Global 100_Low_volatility,iShares Global 100_Low_change,iShares Global 100_Close_average,iShares Global 100_Close_max,iShares Global 100_Close_volatility,iShares Global 100_Close_change
2017-02-19,40.09,40.09,0.0,0.0,40.21,40.21,0.0,0.0,40.06,40.06,0.0,0.0,40.18,40.18,0.0,0.0
2017-02-26,40.51,40.51,0.0,0.0,40.54,40.54,0.0,0.0,40.4,40.4,0.0,0.0,40.48,40.48,0.0,0.0
2017-03-05,40.72,40.72,0.0,0.0,40.72,40.72,0.0,0.0,40.63,40.63,0.0,0.0,40.69,40.69,0.0,0.0
2017-03-12,41.02,41.02,0.0,0.0,41.05,41.05,0.0,0.0,40.93,40.93,0.0,0.0,40.98,40.98,0.0,0.0
2017-03-19,40.35,40.35,0.0,0.0,40.74,40.74,0.0,0.0,40.35,40.35,0.0,0.0,40.73,40.73,0.0,0.0
2017-03-26,40.83,40.83,0.0,0.0,40.83,40.83,0.0,0.0,40.55,40.55,0.0,0.0,40.82,40.82,0.0,0.0
2017-04-02,40.71,40.71,0.0,0.0,40.74,40.74,0.0,0.0,40.62,40.62,0.0,0.0,40.65,40.65,0.0,0.0
2017-04-09,40.49,40.49,0.0,0.0,40.61,40.61,0.0,0.0,40.4,40.4,0.0,0.0,40.58,40.58,0.0,0.0
2017-04-16,41.13,41.13,0.0,0.0,41.31,41.31,0.0,0.0,41.13,41.13,0.0,0.0,41.26,41.26,0.0,0.0
2017-04-23,41.58,41.58,0.0,0.0,41.75,41.75,0.0,0.0,41.58,41.58,0.0,0.0,41.62,41.62,0.0,0.0
2017-04-30,42.15,42.15,0.0,0.0,42.25,42.25,0.0,0.0,42.09,42.09,0.0,0.0,42.2,42.2,0.0,0.0
2017-05-07,42.37,42.37,0.0,0.0,42.55,42.55,0.0,0.0,42.37,42.37,0.0,0.0,42.55,42.55,0.0,0.0
2017-05-14,42.61,42.61,0.0,0.0,42.7,42.7,0.0,0.0,42.57,42.57,0.0,0.0,42.63,42.63,0.0,0.0
2017-05-21,42.78,42.78,0.0,0.0,42.84,42.84,0.0,0.0,42.73,42.73,0.0,0.0,42.84,42.84,0.0,0.0
2017-05-28,43.14,43.14,0.0,0.0,43.23,43.23,0.0,0.0,43.14,43.14,0.0,0.0,43.22,43.22,0.0,0.0
2017-06-04,42.88,42.88,0.0,0.0,42.88,42.88,0.0,0.0,42.66,42.66,0.0,0.0,42.78,42.78,0.0,0.0
2017-06-11,43.02,43.02,0.0,0.0,43.21,43.21,0.0,0.0,43.02,43.02,0.0,0.0,43.2,43.2,0.0,0.0
2017-06-18,42.59,42.59,0.0,0.0,42.66,42.66,0.0,0.0,42.37,42.37,0.0,0.0,42.37,42.37,0.0,0.0
2017-06-25,42.17,42.17,0.0,0.0,42.38,42.38,0.0,0.0,42.17,42.17,0.0,0.0,42.22,42.22,0.0,0.0
2017-07-02,42.15,42.15,0.0,0.0,42.31,42.31,0.0,0.0,42.15,42.15,0.0,0.0,42.23,42.23,0.0,0.0
2017-07-09,42.91,42.91,0.0,0.0,42.94,42.94,0.0,0.0,42.79,42.79,0.0,0.0,42.81,42.81,0.0,0.0
2017-07-16,42.87,42.87,0.0,0.0,42.91,42.91,0.0,0.0,42.77,42.77,0.0,0.0,42.9,42.9,0.0,0.0
2017-07-23,43.0,43.0,0.0,0.0,43.01,43.01,0.0,0.0,42.86,42.86,0.0,0.0,42.97,42.97,0.0,0.0
2017-07-30,43.34,43.34,0.0,0.0,43.39,43.39,0.0,0.0,43.3,43.3,0.0,0.0,43.39,43.39,0.0,0.0
2017-08-06,42.96,42.96,0.0,0.0,43.08,43.08,0.0,0.0,42.96,42.96,0.0,0.0,42.99,42.99,0.0,0.0
2017-08-13,42.55,42.55,0.0,0.0,42.57,42.57,0.0,0.0,42.38,42.38,0.0,0.0,42.52,42.52,0.0,0.0
2017-08-20,43.0,43.0,0.0,0.0,43.05,43.05,0.0,0.0,42.88,42.88,0.0,0.0,42.94,42.94,0.0,0.0
2017-08-27,43.38,43.38,0.0,0.0,43.39,43.39,0.0,0.0,43.3,43.3,0.0,0.0,43.33,43.33,0.0,0.0
2017-09-03,43.48,43.48,0.0,0.0,43.73,43.73,0.0,0.0,43.48,43.48,0.0,0.0,43.7,43.7,0.0,0.0
2017-09-10,43.98,43.98,0.0,0.0,44.08,44.08,0.0,0.0,43.93,43.93,0.0,0.0,44.01,44.01,0.0,0.0
2017-09-17,43.85,43.85,0.0,0.0,43.88,43.88,0.0,0.0,43.69,43.69,0.0,0.0,43.82,43.82,0.0,0.0
2017-09-24,44.13,44.13,0.0,0.0,44.24,44.24,0.0,0.0,44.12,44.12,0.0,0.0,44.17,44.17,0.0,0.0
2017-10-01,44.59,44.59,0.0,0.0,44.69,44.69,0.0,0.0,44.49,44.49,0.0,0.0,44.54,44.54,0.0,0.0
2017-10-08,44.97,44.97,0.0,0.0,45.1,45.1,0.0,0.0,44.97,44.97,0.0,0.0,45.1,45.1,0.0,0.0
2017-10-15,45.09,45.09,0.0,0.0,45.1,45.1,0.0,0.0,44.88,44.88,0.0,0.0,44.88,44.88,0.0,0.0
2017-10-22,45.29,45.29,0.0,0.0,45.48,45.48,0.0,0.0,45.29,45.29,0.0,0.0,45.38,45.38,0.0,0.0
2017-10-29,45.79,45.79,0.0,0.0,45.97,45.97,0.0,0.0,45.79,45.79,0.0,0.0,45.95,45.95,0.0,0.0
2017-11-05,45.38,45.38,0.0,0.0,45.6,45.6,0.0,0.0,45.38,45.38,0.0,0.0,45.51,45.51,0.0,0.0
2017-11-12,45.41,45.41,0.0,0.0,45.46,45.46,0.0,0.0,45.36,45.36,0.0,0.0,45.37,45.37,0.0,0.0
2017-11-19,46.03,46.03,0.0,0.0,46.11,46.11,0.0,0.0,45.91,45.91,0.0,0.0,45.93,45.93,0.0,0.0
2017-11-26,46.38,46.38,0.0,0.0,46.38,46.38,0.0,0.0,46.02,46.02,0.0,0.0,46.02,46.02,0.0,0.0
2017-12-03,46.2,46.2,0.0,0.0,46.41,46.41,0.0,0.0,46.2,46.2,0.0,0.0,46.35,46.35,0.0,0.0
2017-12-10,46.99,46.99,0.0,0.0,47.14,47.14,0.0,0.0,46.88,46.88,0.0,0.0,46.96,46.96,0.0,0.0
2017-12-17,46.45,46.45,0.0,0.0,46.51,46.51,0.0,0.0,46.35,46.35,0.0,0.0,46.41,46.41,0.0,0.0
2017-12-24,46.54,46.54,0.0,0.0,46.55,46.55,0.0,0.0,46.3,46.3,0.0,0.0,46.3,46.3,0.0,0.0
2017-12-31,47.54,47.54,0.0,0.0,47.59,47.59,0.0,0.0,47.5,47.5,0.0,0.0,47.59,47.59,0.0,0.0
2018-01-07,47.98,47.98,0.0,0.0,48.25,48.25,0.0,0.0,47.98,47.98,0.0,0.0,48.23,48.23,0.0,0.0
2018-01-14,48.52,48.52,0.0,0.0,48.94,48.94,0.0,0.0,48.52,48.52,0.0,0.0,48.92,48.92,0.0,0.0
2018-01-21,49.33,49.33,0.0,0.0,49.34,49.34,0.0,0.0,49.12,49.12,0.0,0.0,49.19,49.19,0.0,0.0
2018-01-28,47.02,47.02,0.0,0.0,47.31,47.31,0.0,0.0,45.17,45.17,0.0,0.0,45.61,45.61,0.0,0.0
2018-02-04,45.42,45.42,0.0,0.0,45.96,45.96,0.0,0.0,45.31,45.31,0.0,0.0,45.76,45.76,0.0,0.0
2018-02-11,46.92,46.92,0.0,0.0,47.42,47.42,0.0,0.0,46.92,46.92,0.0,0.0,47.02,47.02,0.0,0.0
2018-02-18,47.4,47.4,0.0,0.0,47.83,47.83,0.0,0.0,47.36,47.36,0.0,0.0,47.74,47.74,0.0,0.0
2018-02-25,45.82,45.82,0.0,0.0,46.58,46.58,0.0,0.0,45.81,45.81,0.0,0.0,46.49,46.49,0.0,0.0
2018-03-04,47.62,47.62,0.0,0.0,47.79,47.79,0.0,0.0,47.51,47.51,0.0,0.0,47.63,47.63,0.0,0.0
2018-03-11,46.9,46.9,0.0,0.0,46.9,46.9,0.0,0.0,46.19,46.19,0.0,0.0,46.44,46.44,0.0,0.0
2018-03-18,45.32,45.32,0.0,0.0,45.81,45.81,0.0,0.0,45.01,45.01,0.0,0.0,45.8,45.8,0.0,0.0
2018-03-25,45.41,45.41,0.0,0.0,45.5,45.5,0.0,0.0,44.28,44.28,0.0,0.0,44.66,44.66,0.0,0.0
2018-04-01,45.65,45.65,0.0,0.0,46.15,46.15,0.0,0.0,45.56,45.56,0.0,0.0,45.56,45.56,0.0,0.0
2018-04-08,46.61,46.61,0.0,0.0,46.69,46.69,0.0,0.0,46.54,46.54,0.0,0.0,46.69,46.69,0.0,0.0
2018-04-15,46.55,46.55,0.0,0.0,46.55,46.55,0.0,0.0,46.29,46.29,0.0,0.0,46.43,46.43,0.0,0.0
2018-04-22,46.33,46.33,0.0,0.0,46.51,46.51,0.0,0.0,46.09,46.09,0.0,0.0,46.1,46.1,0.0,0.0
2018-04-29,46.57,46.57,0.0,0.0,46.8,46.8,0.0,0.0,46.51,46.51,0.0,0.0,46.59,46.59,0.0,0.0
2018-05-06,47.59,47.59,0.0,0.0,47.74,47.74,0.0,0.0,47.47,47.47,0.0,0.0,47.5,47.5,0.0,0.0
2018-05-13,47.36,47.36,0.0,0.0,47.5,47.5,0.0,0.0,47.32,47.32,0.0,0.0,47.36,47.36,0.0,0.0
2018-05-20,46.79,46.79,0.0,0.0,46.89,46.89,0.0,0.0,46.72,46.72,0.0,0.0,46.8,46.8,0.0,0.0
2018-05-27,47.25,47.25,0.0,0.0,47.38,47.38,0.0,0.0,47.17,47.17,0.0,0.0,47.2,47.2,0.0,0.0
2018-06-03,47.62,47.62,0.0,0.0,47.84,47.84,0.0,0.0,47.57,47.57,0.0,0.0,47.74,47.74,0.0,0.0
2018-06-10,46.87,46.87,0.0,0.0,47.06,47.06,0.0,0.0,46.8,46.8,0.0,0.0,47.06,47.06,0.0,0.0
2018-06-17,45.88,45.88,0.0,0.0,45.98,45.98,0.0,0.0,45.25,45.25,0.0,0.0,45.49,45.49,0.0,0.0
2018-06-24,45.4,45.4,0.0,0.0,45.83,45.83,0.0,0.0,45.4,45.4,0.0,0.0,45.83,45.83,0.0,0.0
2018-07-01,46.66,46.66,0.0,0.0,46.87,46.87,0.0,0.0,46.66,46.66,0.0,0.0,46.82,46.82,0.0,0.0
2018-07-08,47.06,47.06,0.0,0.0,47.08,47.08,0.0,0.0,46.93,46.93,0.0,0.0,47.02,47.02,0.0,0.0
2018-07-15,47.14,47.14,0.0,0.0,47.26,47.26,0.0,0.0,47.08,47.08,0.0,0.0,47.19,47.19,0.0,0.0
2018-07-22,47.86,47.86,0.0,0.0,47.86,47.86,0.0,0.0,47.55,47.55,0.0,0.0,47.66,47.66,0.0,0.0
2018-07-29,47.86,47.86,0.0,0.0,48.11,48.11,0.0,0.0,47.84,47.84,0.0,0.0,48.07,48.07,0.0,0.0
2018-08-05,47.65,47.65,0.0,0.0,47.79,47.79,0.0,0.0,47.36,47.36,0.0,0.0,47.45,47.45,0.0,0.0
2018-08-12,47.79,47.79,0.0,0.0,47.86,47.86,0.0,0.0,47.7,47.7,0.0,0.0,47.74,47.74,0.0,0.0
2018-08-19,48.4,48.4,0.0,0.0,48.65,48.65,0.0,0.0,48.34,48.34,0.0,0.0,48.65,48.65,0.0,0.0
2018-08-26,48.63,48.63,0.0,0.0,48.79,48.79,0.0,0.0,48.38,48.38,0.0,0.0,48.6,48.6,0.0,0.0
2018-09-02,47.83,47.83,0.0,0.0,47.93,47.93,0.0,0.0,47.62,47.62,0.0,0.0,47.68,47.68,0.0,0.0
2018-09-09,48.31,48.31,0.0,0.0,48.31,48.31,0.0,0.0,48.04,48.04,0.0,0.0,48.11,48.11,0.0,0.0
2018-09-16,48.97,48.97,0.0,0.0,48.99,48.99,0.0,0.0,48.78,48.78,0.0,0.0,48.92,48.92,0.0,0.0
2018-09-23,49.18,49.18,0.0,0.0,49.28,49.28,0.0,0.0,48.98,48.98,0.0,0.0,49.12,49.12,0.0,0.0
2018-09-30,48.03,48.03,0.0,0.0,48.31,48.31,0.0,0.0,47.8,47.8,0.0,0.0,48.2,48.2,0.0,0.0
2018-10-07,46.58,46.58,0.0,0.0,46.71,46.71,0.0,0.0,46.21,46.21,0.0,0.0,46.28,46.28,0.0,0.0
2018-10-14,46.84,46.84,0.0,0.0,46.84,46.84,0.0,0.0,46.45,46.45,0.0,0.0,46.66,46.66,0.0,0.0
2018-10-21,45.68,45.68,0.0,0.0,45.93,45.93,0.0,0.0,44.18,44.18,0.0,0.0,44.76,44.76,0.0,0.0
2018-10-28,46.15,46.15,0.0,0.0,46.33,46.33,0.0,0.0,45.95,45.95,0.0,0.0,46.18,46.18,0.0,0.0
2018-11-04,46.63,46.63,0.0,0.0,46.63,46.63,0.0,0.0,45.83,45.83,0.0,0.0,45.86,45.86,0.0,0.0
2018-11-11,46.16,46.16,0.0,0.0,46.16,46.16,0.0,0.0,45.55,45.55,0.0,0.0,45.63,45.63,0.0,0.0
2018-11-18,44.99,44.99,0.0,0.0,45.25,45.25,0.0,0.0,44.86,44.86,0.0,0.0,45.21,45.21,0.0,0.0
2018-11-25,47.05,47.05,0.0,0.0,47.05,47.05,0.0,0.0,46.67,46.67,0.0,0.0,46.93,46.93,0.0,0.0
2018-12-02,44.36,44.36,0.0,0.0,44.61,44.61,0.0,0.0,43.64,43.64,0.0,0.0,44.53,44.53,0.0,0.0
2018-12-09,43.93,43.93,0.0,0.0,44.14,44.14,0.0,0.0,43.14,43.14,0.0,0.0,43.31,43.31,0.0,0.0
2018-12-16,41.08,41.08,0.0,0.0,41.17,41.17,0.0,0.0,40.35,40.35,0.0,0.0,40.41,40.41,0.0,0.0
2018-12-23,42.68,42.68,0.0,0.0,42.83,42.83,0.0,0.0,42.23,42.23,0.0,0.0,42.4,42.4,0.0,0.0
2018-12-30,43.03,43.03,0.0,0.0,43.33,43.33,0.0,0.0,42.86,42.86,0.0,0.0,43.18,43.18,0.0,0.0
2019-01-06,43.24,43.24,0.0,0.0,43.44,43.44,0.0,0.0,43.12,43.12,0.0,0.0,43.3,43.3,0.0,0.0
2019-01-13,44.45,44.45,0.0,0.0,44.64,44.64,0.0,0.0,44.3,44.3,0.0,0.0,44.52,44.52,0.0,0.0
2019-01-20,43.96,43.96,0.0,0.0,44.01,44.01,0.0,0.0,43.71,43.71,0.0,0.0,44.01,44.01,0.0,0.0
2019-01-27,44.89,44.89,0.0,0.0,45.23,45.23,0.0,0.0,44.84,44.84,0.0,0.0,45.23,45.23,0.0,0.0
2019-02-03,44.9,44.9,0.0,0.0,44.96,44.96,0.0,0.0,44.7,44.7,0.0,0.0,44.81,44.81,0.0,0.0
2019-02-10,45.74,45.74,0.0,0.0,45.88,45.88,0.0,0.0,45.67,45.67,0.0,0.0,45.85,45.85,0.0,0.0
2019-02-17,46.66,46.66,0.0,0.0,46.68,46.68,0.0,0.0,46.47,46.47,0.0,0.0,46.51,46.51,0.0,0.0
2019-02-24,46.82,46.82,0.0,0.0,46.92,46.92,0.0,0.0,46.36,46.36,0.0,0.0,46.73,46.73,0.0,0.0
2019-03-03,46.14,46.14,0.0,0.0,46.69,46.69,0.0,0.0,46.03,46.03,0.0,0.0,46.68,46.68,0.0,0.0
2019-03-10,47.61,47.61,0.0,0.0,47.82,47.82,0.0,0.0,47.61,47.61,0.0,0.0,47.79,47.79,0.0,0.0
2019-03-17,47.22,47.22,0.0,0.0,47.41,47.41,0.0,0.0,47.03,47.03,0.0,0.0,47.19,47.19,0.0,0.0
2019-03-24,47.94,47.94,0.0,0.0,48.15,48.15,0.0,0.0,47.89,47.89,0.0,0.0,48.13,48.13,0.0,0.0
2019-03-31,48.55,48.55,0.0,0.0,48.76,48.76,0.0,0.0,48.49,48.49,0.0,0.0,48.76,48.76,0.0,0.0
2019-04-07,48.8,48.8,0.0,0.0,48.8,48.8,0.0,0.0,48.63,48.63,0.0,0.0,48.8,48.8,0.0,0.0
2019-04-14,48.96,48.96,0.0,0.0,49.15,49.15,0.0,0.0,48.96,48.96,0.0,0.0,49.12,49.12,0.0,0.0
2019-04-21,49.29,49.29,0.0,0.0,49.42,49.42,0.0,0.0,49.23,49.23,0.0,0.0,49.39,49.39,0.0,0.0
2019-04-28,48.68,48.68,0.0,0.0,49.3,49.3,0.0,0.0,48.52,48.52,0.0,0.0,49.25,49.25,0.0,0.0
2019-05-05,47.28,47.28,0.0,0.0,47.42,47.42,0.0,0.0,46.98,46.98,0.0,0.0,47.09,47.09,0.0,0.0
2019-05-12,47.66,47.66,0.0,0.0,47.86,47.86,0.0,0.0,47.52,47.52,0.0,0.0,47.71,47.71,0.0,0.0
2019-05-19,47.61,47.61,0.0,0.0,47.71,47.71,0.0,0.0,47.43,47.43,0.0,0.0,47.52,47.52,0.0,0.0
2019-05-26,46.47,46.47,0.0,0.0,46.55,46.55,0.0,0.0,46.13,46.13,0.0,0.0,46.31,46.31,0.0,0.0
2019-06-02,48.6,48.6,0.0,0.0,48.83,48.83,0.0,0.0,48.49,48.49,0.0,0.0,48.64,48.64,0.0,0.0
2019-06-09,47.85,47.85,0.0,0.0,48.04,48.04,0.0,0.0,47.85,47.85,0.0,0.0,47.92,47.92,0.0,0.0
2019-06-16,49.14,49.14,0.0,0.0,49.21,49.21,0.0,0.0,49.09,49.09,0.0,0.0,49.11,49.11,0.0,0.0
2019-06-23,49.44,49.44,0.0,0.0,49.47,49.47,0.0,0.0,49.07,49.07,0.0,0.0,49.23,49.23,0.0,0.0
2019-06-30,49.23,49.23,0.0,0.0,49.29,49.29,0.0,0.0,49.17,49.17,0.0,0.0,49.26,49.26,0.0,0.0
2019-07-07,49.64,49.64,0.0,0.0,49.65,49.65,0.0,0.0,49.51,49.51,0.0,0.0,49.57,49.57,0.0,0.0
2019-07-14,49.28,49.28,0.0,0.0,49.46,49.46,0.0,0.0,49.24,49.24,0.0,0.0,49.46,49.46,0.0,0.0
2019-07-21,49.89,49.89,0.0,0.0,49.92,49.92,0.0,0.0,49.73,49.73,0.0,0.0,49.89,49.89,0.0,0.0
2019-07-28,47.45,47.45,0.0,0.0,47.45,47.45,0.0,0.0,46.59,46.59,0.0,0.0,46.84,46.84,0.0,0.0
