Date,PowerShares S&P SmallCap Industrials_Open_average,PowerShares S&P SmallCap Industrials_Open_max,PowerShares S&P SmallCap Industrials_Open_min,PowerShares S&P SmallCap Industrials_Open_volatility,PowerShares S&P SmallCap Industrials_Open_change,PowerShares S&P SmallCap Industrials_High_average,PowerShares S&P SmallCap Industrials_High_max,PowerShares S&P SmallCap Industrials_High_min,PowerShares S&P SmallCap Industrials_High_volatility,PowerShares S&P SmallCap Industrials_High_change,PowerShares S&P SmallCap Industrials_Low_average,PowerShares S&P SmallCap Industrials_Low_max,PowerShares S&P SmallCap Industrials_Low_min,PowerShares S&P SmallCap Industrials_Low_volatility,PowerShares S&P SmallCap Industrials_Low_change,PowerShares S&P SmallCap Industrials_Close_average,PowerShares S&P SmallCap Industrials_Close_max,PowerShares S&P SmallCap Industrials_Close_min,PowerShares S&P SmallCap Industrials_Close_volatility,PowerShares S&P SmallCap Industrials_Close_change
2018-03-25,63.4,63.4,63.4,0.0,0.0,63.4,63.4,63.4,0.0,0.0,62.44,62.44,62.44,0.0,0.0,62.83,62.83,62.83,0.0,0.0
2018-04-01,64.22,64.22,64.22,0.0,0.0,64.22,64.22,64.22,0.0,0.0,63.27,63.27,63.27,0.0,0.0,63.27,63.27,63.27,0.0,0.0
2018-04-08,65.12,65.12,65.12,0.0,0.0,65.79,65.79,65.79,0.0,0.0,65.1,65.1,65.1,0.0,0.0,65.69,65.69,65.69,0.0,0.0
2018-04-15,65.69,65.69,65.69,0.0,0.0,65.69,65.69,65.69,0.0,0.0,65.34,65.34,65.34,0.0,0.0,65.41,65.41,65.41,0.0,0.0
2018-04-22,63.7,63.7,63.7,0.0,0.0,64.09,64.09,64.09,0.0,0.0,63.05,63.05,63.05,0.0,0.0,63.05,63.05,63.05,0.0,0.0
2018-04-29,63.12,63.12,63.12,0.0,0.0,63.62,63.62,63.62,0.0,0.0,63.12,63.12,63.12,0.0,0.0,63.61,63.61,63.61,0.0,0.0
2018-05-06,66.03,66.03,66.03,0.0,0.0,66.03,66.03,66.03,0.0,0.0,65.39,65.39,65.39,0.0,0.0,65.57,65.57,65.57,0.0,0.0
2018-05-13,67.95,67.95,67.95,0.0,0.0,68.45,68.45,68.45,0.0,0.0,67.9,67.9,67.9,0.0,0.0,68.45,68.45,68.45,0.0,0.0
2018-05-20,68.0,68.0,68.0,0.0,0.0,68.0,68.0,68.0,0.0,0.0,67.38,67.38,67.38,0.0,0.0,67.5,67.5,67.5,0.0,0.0
2018-05-27,68.23,68.23,68.23,0.0,0.0,72.52,72.52,72.52,0.0,0.0,68.14,68.14,68.14,0.0,0.0,68.33,68.33,68.33,0.0,0.0
2018-06-03,70.08,70.08,70.08,0.0,0.0,70.3,70.3,70.3,0.0,0.0,69.72,69.72,69.72,0.0,0.0,70.3,70.3,70.3,0.0,0.0
2018-06-10,70.08,70.08,70.08,0.0,0.0,70.15,70.15,70.15,0.0,0.0,69.3,69.3,69.3,0.0,0.0,70.15,70.15,70.15,0.0,0.0
2018-06-17,69.81,69.81,69.81,0.0,0.0,69.81,69.81,69.81,0.0,0.0,67.34,67.34,67.34,0.0,0.0,67.68,67.68,67.68,0.0,0.0
2018-06-24,67.2,67.2,67.2,0.0,0.0,67.94,67.94,67.94,0.0,0.0,67.1,67.1,67.1,0.0,0.0,67.94,67.94,67.94,0.0,0.0
2018-07-01,70.0,70.0,70.0,0.0,0.0,70.25,70.25,70.25,0.0,0.0,69.91,69.91,69.91,0.0,0.0,70.2,70.2,70.2,0.0,0.0
2018-07-08,70.54,70.54,70.54,0.0,0.0,70.54,70.54,70.54,0.0,0.0,68.77,68.77,68.77,0.0,0.0,68.89,68.89,68.89,0.0,0.0
2018-07-15,70.74,70.74,70.74,0.0,0.0,70.74,70.74,70.74,0.0,0.0,70.16,70.16,70.16,0.0,0.0,70.39,70.39,70.39,0.0,0.0
2018-07-22,70.37,70.37,70.37,0.0,0.0,70.5,70.5,70.5,0.0,0.0,69.64,69.64,69.64,0.0,0.0,69.64,69.64,69.64,0.0,0.0
2018-07-29,72.69,72.69,72.69,0.0,0.0,72.8,72.8,72.8,0.0,0.0,72.02,72.02,72.02,0.0,0.0,72.8,72.8,72.8,0.0,0.0
2018-08-05,73.78,73.78,73.78,0.0,0.0,73.78,73.78,73.78,0.0,0.0,72.36,72.36,72.36,0.0,0.0,72.62,72.62,72.62,0.0,0.0
2018-08-12,74.0,74.0,74.0,0.0,0.0,74.51,74.51,74.51,0.0,0.0,73.77,73.77,73.77,0.0,0.0,74.25,74.25,74.25,0.0,0.0
2018-08-19,75.07,75.07,75.07,0.0,0.0,75.65,75.65,75.65,0.0,0.0,74.94,74.94,74.94,0.0,0.0,75.22,75.22,75.22,0.0,0.0
2018-08-26,74.62,74.62,74.62,0.0,0.0,75.09,75.09,75.09,0.0,0.0,74.59,74.59,74.59,0.0,0.0,75.09,75.09,75.09,0.0,0.0
2018-09-02,75.18,75.18,75.18,0.0,0.0,75.33,75.33,75.33,0.0,0.0,74.95,74.95,74.95,0.0,0.0,75.28,75.28,75.28,0.0,0.0
2018-09-09,76.19,76.19,76.19,0.0,0.0,76.19,76.19,76.19,0.0,0.0,74.43,74.43,74.43,0.0,0.0,74.5,74.5,74.5,0.0,0.0
2018-09-16,73.35,73.35,73.35,0.0,0.0,73.36,73.36,73.36,0.0,0.0,72.6,72.6,72.6,0.0,0.0,73.15,73.15,73.15,0.0,0.0
2018-09-23,74.42,74.42,74.42,0.0,0.0,74.42,74.42,74.42,0.0,0.0,71.78,71.78,71.78,0.0,0.0,71.96,71.96,71.96,0.0,0.0
2018-09-30,69.89,69.89,69.89,0.0,0.0,70.2,70.2,70.2,0.0,0.0,69.57,69.57,69.57,0.0,0.0,70.17,70.17,70.17,0.0,0.0
2018-10-07,64.94,64.94,64.94,0.0,0.0,65.69,65.69,65.69,0.0,0.0,64.91,64.91,64.91,0.0,0.0,65.64,65.64,65.64,0.0,0.0
2018-10-14,64.33,64.33,64.33,0.0,0.0,65.18,65.18,65.18,0.0,0.0,64.33,64.33,64.33,0.0,0.0,64.84,64.84,64.84,0.0,0.0
2018-10-21,62.87,62.87,62.87,0.0,0.0,63.34,63.34,63.34,0.0,0.0,60.92,60.92,60.92,0.0,0.0,61.16,61.16,61.16,0.0,0.0
2018-10-28,65.08,65.08,65.08,0.0,0.0,65.36,65.36,65.36,0.0,0.0,64.59,64.59,64.59,0.0,0.0,65.36,65.36,65.36,0.0,0.0
2018-11-04,65.52,65.52,65.52,0.0,0.0,65.52,65.52,65.52,0.0,0.0,64.19,64.19,64.19,0.0,0.0,64.19,64.19,64.19,0.0,0.0
2018-11-11,63.82,63.82,63.82,0.0,0.0,63.82,63.82,63.82,0.0,0.0,63.02,63.02,63.02,0.0,0.0,63.41,63.41,63.41,0.0,0.0
2018-11-18,62.41,62.41,62.41,0.0,0.0,62.83,62.83,62.83,0.0,0.0,62.2,62.2,62.2,0.0,0.0,62.54,62.54,62.54,0.0,0.0
2018-11-25,64.46,64.46,64.46,0.0,0.0,64.47,64.47,64.47,0.0,0.0,63.36,63.36,63.36,0.0,0.0,63.77,63.77,63.77,0.0,0.0
2018-12-02,58.52,58.52,58.52,0.0,0.0,58.52,58.52,58.52,0.0,0.0,57.82,57.82,57.82,0.0,0.0,57.95,57.95,57.95,0.0,0.0
2018-12-09,56.57,56.57,56.57,0.0,0.0,57.57,57.57,57.57,0.0,0.0,55.84,55.84,55.84,0.0,0.0,55.84,55.84,55.84,0.0,0.0
2018-12-16,52.95,52.95,52.95,0.0,0.0,53.16,53.16,53.16,0.0,0.0,52.49,52.49,52.49,0.0,0.0,52.49,52.49,52.49,0.0,0.0
2018-12-23,55.57,55.57,55.57,0.0,0.0,55.85,55.85,55.85,0.0,0.0,55.18,55.18,55.18,0.0,0.0,55.67,55.67,55.67,0.0,0.0
2018-12-30,56.82,56.82,56.82,0.0,0.0,57.88,57.88,57.88,0.0,0.0,56.68,56.68,56.68,0.0,0.0,57.69,57.69,57.69,0.0,0.0
2019-01-06,59.49,59.49,59.49,0.0,0.0,59.92,59.92,59.92,0.0,0.0,59.39,59.39,59.39,0.0,0.0,59.77,59.77,59.77,0.0,0.0
2019-01-13,61.55,61.55,61.55,0.0,0.0,62.03,62.03,62.03,0.0,0.0,61.55,61.55,61.55,0.0,0.0,61.63,61.63,61.63,0.0,0.0
2019-01-20,60.17,60.17,60.17,0.0,0.0,60.46,60.46,60.46,0.0,0.0,59.98,59.98,59.98,0.0,0.0,60.24,60.24,60.24,0.0,0.0
2019-01-27,61.7,61.7,61.7,0.0,0.0,62.75,62.75,62.75,0.0,0.0,61.69,61.69,61.69,0.0,0.0,62.75,62.75,62.75,0.0,0.0
2019-02-03,62.6,62.6,62.6,0.0,0.0,62.96,62.96,62.96,0.0,0.0,62.6,62.6,62.6,0.0,0.0,62.96,62.96,62.96,0.0,0.0
2019-02-10,65.13,65.13,65.13,0.0,0.0,65.7,65.7,65.7,0.0,0.0,65.04,65.04,65.04,0.0,0.0,65.68,65.68,65.68,0.0,0.0
2019-02-17,67.44,67.44,67.44,0.0,0.0,67.45,67.45,67.45,0.0,0.0,67.08,67.08,67.08,0.0,0.0,67.08,67.08,67.08,0.0,0.0
2019-02-24,65.77,65.77,65.77,0.0,0.0,65.77,65.77,65.77,0.0,0.0,64.71,64.71,64.71,0.0,0.0,64.79,64.79,64.79,0.0,0.0
2019-03-03,62.45,62.45,62.45,0.0,0.0,63.37,63.37,63.37,0.0,0.0,62.45,62.45,62.45,0.0,0.0,63.3,63.3,63.3,0.0,0.0
2019-03-10,63.02,63.02,63.02,0.0,0.0,63.98,63.98,63.98,0.0,0.0,63.02,63.02,63.02,0.0,0.0,63.98,63.98,63.98,0.0,0.0
2019-03-17,60.96,60.96,60.96,0.0,0.0,61.22,61.22,61.22,0.0,0.0,60.96,60.96,60.96,0.0,0.0,61.1,61.1,61.1,0.0,0.0
2019-03-24,62.83,62.83,62.83,0.0,0.0,63.77,63.77,63.77,0.0,0.0,62.83,62.83,62.83,0.0,0.0,63.77,63.77,63.77,0.0,0.0
2019-03-31,64.6,64.6,64.6,0.0,0.0,65.0,65.0,65.0,0.0,0.0,64.6,64.6,64.6,0.0,0.0,64.87,64.87,64.87,0.0,0.0
2019-04-07,65.8,65.8,65.8,0.0,0.0,66.29,66.29,66.29,0.0,0.0,65.54,65.54,65.54,0.0,0.0,65.54,65.54,65.54,0.0,0.0
2019-04-14,65.88,65.88,65.88,0.0,0.0,65.88,65.88,65.88,0.0,0.0,65.73,65.73,65.73,0.0,0.0,65.73,65.73,65.73,0.0,0.0
2019-04-21,66.5,66.5,66.5,0.0,0.0,67.14,67.14,67.14,0.0,0.0,66.5,66.5,66.5,0.0,0.0,67.14,67.14,67.14,0.0,0.0
2019-04-28,66.38,66.38,66.38,0.0,0.0,67.42,67.42,67.42,0.0,0.0,66.38,66.38,66.38,0.0,0.0,67.42,67.42,67.42,0.0,0.0
2019-05-05,64.12,64.12,64.12,0.0,0.0,64.25,64.25,64.25,0.0,0.0,63.93,63.93,63.93,0.0,0.0,64.25,64.25,64.25,0.0,0.0
2019-05-12,63.4,63.4,63.4,0.0,0.0,64.08,64.08,64.08,0.0,0.0,63.4,63.4,63.4,0.0,0.0,64.08,64.08,64.08,0.0,0.0
2019-05-19,63.05,63.05,63.05,0.0,0.0,63.05,63.05,63.05,0.0,0.0,62.83,62.83,62.83,0.0,0.0,63.02,63.02,63.02,0.0,0.0
2019-05-26,61.73,61.73,61.73,0.0,0.0,62.03,62.03,62.03,0.0,0.0,61.66,61.66,61.66,0.0,0.0,62.03,62.03,62.03,0.0,0.0
2019-06-02,64.77,64.77,64.77,0.0,0.0,65.12,65.12,65.12,0.0,0.0,64.77,64.77,64.77,0.0,0.0,64.9,64.9,64.9,0.0,0.0
2019-06-09,64.38,64.38,64.38,0.0,0.0,64.63,64.63,64.63,0.0,0.0,64.38,64.38,64.38,0.0,0.0,64.42,64.42,64.42,0.0,0.0
2019-06-16,65.0,65.0,65.0,0.0,0.0,65.0,65.0,65.0,0.0,0.0,64.71,64.71,64.71,0.0,0.0,64.71,64.71,64.71,0.0,0.0
2019-06-23,67.41,67.41,67.41,0.0,0.0,68.09,68.09,68.09,0.0,0.0,66.41,66.41,66.41,0.0,0.0,66.53,66.53,66.53,0.0,0.0
2019-06-30,66.69,66.69,66.69,0.0,0.0,66.69,66.69,66.69,0.0,0.0,66.28,66.28,66.28,0.0,0.0,66.32,66.32,66.32,0.0,0.0
2019-07-07,66.26,66.26,66.26,0.0,0.0,66.26,66.26,66.26,0.0,0.0,66.25,66.25,66.25,0.0,0.0,66.25,66.25,66.25,0.0,0.0
2019-07-14,66.13,66.13,66.13,0.0,0.0,66.68,66.68,66.68,0.0,0.0,66.12,66.12,66.12,0.0,0.0,66.12,66.12,66.12,0.0,0.0
2019-07-21,67.04,67.04,67.04,0.0,0.0,67.04,67.04,67.04,0.0,0.0,66.73,66.73,66.73,0.0,0.0,66.83,66.83,66.83,0.0,0.0
2019-07-28,63.99,63.99,63.99,0.0,0.0,64.11,64.11,64.11,0.0,0.0,63.63,63.63,63.63,0.0,0.0,63.63,63.63,63.63,0.0,0.0
2019-08-04,63.92,63.92,63.92,0.0,0.0,64.14,64.14,64.14,0.0,0.0,63.68,63.68,63.68,0.0,0.0,63.69,63.69,63.69,0.0,0.0
2019-08-11,64.3,64.3,64.3,0.0,0.0,64.91,64.91,64.91,0.0,0.0,64.3,64.3,64.3,0.0,0.0,64.58,64.58,64.58,0.0,0.0
2019-08-18,62.05,62.05,62.05,0.0,0.0,62.43,62.43,62.43,0.0,0.0,62.05,62.05,62.05,0.0,0.0,62.18,62.18,62.18,0.0,0.0
2019-08-25,63.96,63.96,63.96,0.0,0.0,64.26,64.26,64.26,0.0,0.0,63.96,63.96,63.96,0.0,0.0,64.26,64.26,64.26,0.0,0.0
2019-09-01,64.8,64.8,64.8,0.0,0.0,66.12,66.12,66.12,0.0,0.0,64.8,64.8,64.8,0.0,0.0,66.12,66.12,66.12,0.0,0.0
2019-09-08,69.57,69.57,69.57,0.0,0.0,69.98,69.98,69.98,0.0,0.0,69.48,69.48,69.48,0.0,0.0,69.61,69.61,69.61,0.0,0.0
2019-09-15,67.46,67.46,67.46,0.0,0.0,67.74,67.74,67.74,0.0,0.0,67.46,67.46,67.46,0.0,0.0,67.73,67.73,67.73,0.0,0.0
2019-09-22,67.4,67.4,67.4,0.0,0.0,67.57,67.57,67.57,0.0,0.0,67.14,67.14,67.14,0.0,0.0,67.16,67.16,67.16,0.0,0.0
2019-09-29,64.56,64.56,64.56,0.0,0.0,65.2,65.2,65.2,0.0,0.0,64.56,64.56,64.56,0.0,0.0,64.95,64.95,64.95,0.0,0.0
2019-10-06,65.71,65.71,65.71,0.0,0.0,65.93,65.93,65.93,0.0,0.0,65.71,65.71,65.71,0.0,0.0,65.93,65.93,65.93,0.0,0.0
2019-10-13,67.64,67.64,67.64,0.0,0.0,68.16,68.16,68.16,0.0,0.0,67.64,67.64,67.64,0.0,0.0,67.78,67.78,67.78,0.0,0.0
2019-10-20,69.14,69.14,69.14,0.0,0.0,70.03,70.03,70.03,0.0,0.0,69.14,69.14,69.14,0.0,0.0,70.03,70.03,70.03,0.0,0.0
2019-10-27,70.71,70.71,70.71,0.0,0.0,70.92,70.92,70.92,0.0,0.0,70.57,70.57,70.57,0.0,0.0,70.92,70.92,70.92,0.0,0.0
2019-11-03,71.06,71.06,71.06,0.0,0.0,71.06,71.06,71.06,0.0,0.0,70.79,70.79,70.79,0.0,0.0,70.79,70.79,70.79,0.0,0.0
2019-11-10,69.65,69.65,69.65,0.0,0.0,69.87,69.87,69.87,0.0,0.0,69.65,69.65,69.65,0.0,0.0,69.87,69.87,69.87,0.0,0.0
2019-11-17,70.06,70.06,70.06,0.0,0.0,71.25,71.25,71.25,0.0,0.0,69.85,69.85,69.85,0.0,0.0,71.25,71.25,71.25,0.0,0.0
2019-11-24,70.22,70.22,70.22,0.0,0.0,70.52,70.52,70.52,0.0,0.0,69.64,69.64,69.64,0.0,0.0,69.64,69.64,69.64,0.0,0.0
2019-12-01,71.0,71.0,71.0,0.0,0.0,71.29,71.29,71.29,0.0,0.0,70.86,70.86,70.86,0.0,0.0,70.86,70.86,70.86,0.0,0.0
2019-12-08,72.4,72.4,72.4,0.0,0.0,72.52,72.52,72.52,0.0,0.0,71.94,71.94,71.94,0.0,0.0,71.94,71.94,71.94,0.0,0.0
2019-12-15,71.88,71.88,71.88,0.0,0.0,72.35,72.35,72.35,0.0,0.0,71.88,71.88,71.88,0.0,0.0,72.35,72.35,72.35,0.0,0.0
2019-12-22,71.89,71.89,71.89,0.0,0.0,71.89,71.89,71.89,0.0,0.0,71.89,71.89,71.89,0.0,0.0,71.89,71.89,71.89,0.0,0.0
2019-12-29,71.35,71.35,71.35,0.0,0.0,72.05,72.05,72.05,0.0,0.0,71.14,71.14,71.14,0.0,0.0,72.05,72.05,72.05,0.0,0.0
