Date,iShares Morningstar Mid-CapEtf_Open_average,iShares Morningstar Mid-CapEtf_Open_max,iShares Morningstar Mid-CapEtf_Open_min,iShares Morningstar Mid-CapEtf_Open_volatility,iShares Morningstar Mid-CapEtf_Open_change,iShares Morningstar Mid-CapEtf_High_average,iShares Morningstar Mid-CapEtf_High_max,iShares Morningstar Mid-CapEtf_High_min,iShares Morningstar Mid-CapEtf_High_volatility,iShares Morningstar Mid-CapEtf_High_change,iShares Morningstar Mid-CapEtf_Low_average,iShares Morningstar Mid-CapEtf_Low_max,iShares Morningstar Mid-CapEtf_Low_min,iShares Morningstar Mid-CapEtf_Low_volatility,iShares Morningstar Mid-CapEtf_Low_change,iShares Morningstar Mid-CapEtf_Close_average,iShares Morningstar Mid-CapEtf_Close_max,iShares Morningstar Mid-CapEtf_Close_min,iShares Morningstar Mid-CapEtf_Close_volatility,iShares Morningstar Mid-CapEtf_Close_change
2018-03-25,179.9,179.9,179.9,0.0,0.0,181.91,181.91,181.91,0.0,0.0,179.9,179.9,179.9,0.0,0.0,181.36,181.36,181.36,0.0,0.0
2018-04-01,180.76,180.76,180.76,0.0,0.0,181.4,181.4,181.4,0.0,0.0,177.35,177.35,177.35,0.0,0.0,178.47,178.47,178.47,0.0,0.0
2018-04-08,182.0,182.0,182.0,0.0,0.0,182.0,182.0,182.0,0.0,0.0,179.96,179.96,179.96,0.0,0.0,180.44,180.44,180.44,0.0,0.0
2018-04-15,182.5,182.5,182.5,0.0,0.0,182.68,182.68,182.68,0.0,0.0,180.58,180.58,180.58,0.0,0.0,181.01,181.01,181.01,0.0,0.0
2018-04-22,181.63,181.63,181.63,0.0,0.0,182.5,182.5,182.5,0.0,0.0,181.63,181.63,181.63,0.0,0.0,182.25,182.25,182.25,0.0,0.0
2018-04-29,178.14,178.14,178.14,0.0,0.0,181.62,181.62,181.62,0.0,0.0,178.14,178.14,178.14,0.0,0.0,180.87,180.87,180.87,0.0,0.0
2018-05-06,183.82,183.82,183.82,0.0,0.0,184.31,184.31,184.31,0.0,0.0,183.57,183.57,183.57,0.0,0.0,183.71,183.71,183.71,0.0,0.0
2018-05-13,183.22,183.22,183.22,0.0,0.0,183.66,183.66,183.66,0.0,0.0,183.22,183.22,183.22,0.0,0.0,183.43,183.43,183.43,0.0,0.0
2018-05-20,184.49,184.49,184.49,0.0,0.0,184.93,184.93,184.93,0.0,0.0,184.25,184.25,184.25,0.0,0.0,184.62,184.62,184.62,0.0,0.0
2018-05-27,183.69,183.69,183.69,0.0,0.0,184.7,184.7,184.7,0.0,0.0,183.69,183.69,183.69,0.0,0.0,184.43,184.43,184.43,0.0,0.0
2018-06-03,186.21,186.21,186.21,0.0,0.0,187.59,187.59,187.59,0.0,0.0,186.21,186.21,186.21,0.0,0.0,187.59,187.59,187.59,0.0,0.0
2018-06-10,186.78,186.78,186.78,0.0,0.0,187.92,187.92,187.92,0.0,0.0,186.78,186.78,186.78,0.0,0.0,187.85,187.85,187.85,0.0,0.0
2018-06-17,186.98,186.98,186.98,0.0,0.0,187.38,187.38,187.38,0.0,0.0,186.98,186.98,186.98,0.0,0.0,187.1,187.1,187.1,0.0,0.0
2018-06-24,184.01,184.01,184.01,0.0,0.0,184.76,184.76,184.76,0.0,0.0,183.5,183.5,183.5,0.0,0.0,183.6,183.6,183.6,0.0,0.0
2018-07-01,184.49,184.49,184.49,0.0,0.0,186.39,186.39,186.39,0.0,0.0,184.49,184.49,184.49,0.0,0.0,186.13,186.13,186.13,0.0,0.0
2018-07-08,188.0,188.0,188.0,0.0,0.0,188.38,188.38,188.38,0.0,0.0,187.73,187.73,187.73,0.0,0.0,187.88,187.88,187.88,0.0,0.0
2018-07-15,188.54,188.54,188.54,0.0,0.0,188.66,188.66,188.66,0.0,0.0,188.13,188.13,188.13,0.0,0.0,188.29,188.29,188.29,0.0,0.0
2018-07-22,189.69,189.69,189.69,0.0,0.0,189.69,189.69,189.69,0.0,0.0,187.92,187.92,187.92,0.0,0.0,188.31,188.31,188.31,0.0,0.0
2018-07-29,189.08,189.08,189.08,0.0,0.0,189.84,189.84,189.84,0.0,0.0,189.08,189.08,189.08,0.0,0.0,189.84,189.84,189.84,0.0,0.0
2018-08-05,189.0,189.0,189.0,0.0,0.0,189.36,189.36,189.36,0.0,0.0,187.17,187.17,187.17,0.0,0.0,188.67,188.67,188.67,0.0,0.0
2018-08-12,189.13,189.13,189.13,0.0,0.0,190.68,190.68,190.68,0.0,0.0,189.13,189.13,189.13,0.0,0.0,190.62,190.62,190.62,0.0,0.0
2018-08-19,191.12,191.12,191.12,0.0,0.0,191.82,191.82,191.82,0.0,0.0,191.12,191.12,191.12,0.0,0.0,191.72,191.72,191.72,0.0,0.0
2018-08-26,190.96,190.96,190.96,0.0,0.0,191.79,191.79,191.79,0.0,0.0,190.96,190.96,190.96,0.0,0.0,191.48,191.48,191.48,0.0,0.0
2018-09-02,191.11,191.11,191.11,0.0,0.0,191.12,191.12,191.12,0.0,0.0,190.04,190.04,190.04,0.0,0.0,190.39,190.39,190.39,0.0,0.0
2018-09-09,192.04,192.04,192.04,0.0,0.0,192.53,192.53,192.53,0.0,0.0,191.92,191.92,191.92,0.0,0.0,192.53,192.53,192.53,0.0,0.0
2018-09-16,193.78,193.78,193.78,0.0,0.0,193.78,193.78,193.78,0.0,0.0,193.36,193.36,193.36,0.0,0.0,193.46,193.46,193.46,0.0,0.0
2018-09-23,188.65,188.65,188.65,0.0,0.0,189.78,189.78,189.78,0.0,0.0,188.65,188.65,188.65,0.0,0.0,189.5,189.5,189.5,0.0,0.0
2018-09-30,187.97,187.97,187.97,0.0,0.0,187.97,187.97,187.97,0.0,0.0,185.12,185.12,185.12,0.0,0.0,186.12,186.12,186.12,0.0,0.0
2018-10-07,178.47,178.47,178.47,0.0,0.0,178.47,178.47,178.47,0.0,0.0,175.37,175.37,175.37,0.0,0.0,176.96,176.96,176.96,0.0,0.0
2018-10-14,178.65,178.65,178.65,0.0,0.0,179.19,179.19,179.19,0.0,0.0,177.16,177.16,177.16,0.0,0.0,177.37,177.37,177.37,0.0,0.0
2018-10-21,170.54,170.54,170.54,0.0,0.0,172.2,172.2,172.2,0.0,0.0,170.0,170.0,170.0,0.0,0.0,170.22,170.22,170.22,0.0,0.0
2018-10-28,179.28,179.28,179.28,0.0,0.0,179.28,179.28,179.28,0.0,0.0,176.73,176.73,176.73,0.0,0.0,177.47,177.47,177.47,0.0,0.0
2018-11-04,180.99,180.99,180.99,0.0,0.0,181.04,181.04,181.04,0.0,0.0,179.51,179.51,179.51,0.0,0.0,181.04,181.04,181.04,0.0,0.0
2018-11-11,178.05,178.05,178.05,0.0,0.0,179.99,179.99,179.99,0.0,0.0,178.05,178.05,178.05,0.0,0.0,179.58,179.58,179.58,0.0,0.0
2018-11-18,175.32,175.32,175.32,0.0,0.0,177.19,177.19,177.19,0.0,0.0,175.32,175.32,175.32,0.0,0.0,177.19,177.19,177.19,0.0,0.0
2018-11-25,180.46,180.46,180.46,0.0,0.0,181.1,181.1,181.1,0.0,0.0,180.1,180.1,180.1,0.0,0.0,181.09,181.09,181.09,0.0,0.0
2018-12-02,176.98,176.98,176.98,0.0,0.0,177.34,177.34,177.34,0.0,0.0,172.54,172.54,172.54,0.0,0.0,173.05,173.05,173.05,0.0,0.0
2018-12-09,171.14,171.14,171.14,0.0,0.0,171.51,171.51,171.51,0.0,0.0,169.22,169.22,169.22,0.0,0.0,169.58,169.58,169.58,0.0,0.0
2018-12-16,160.68,160.68,160.68,0.0,0.0,161.7,161.7,161.7,0.0,0.0,157.38,157.38,157.38,0.0,0.0,157.46,157.46,157.46,0.0,0.0
2018-12-23,161.23,161.23,161.23,0.0,0.0,162.16,162.16,162.16,0.0,0.0,159.76,159.76,159.76,0.0,0.0,160.18,160.18,160.18,0.0,0.0
2018-12-30,161.52,161.52,161.52,0.0,0.0,163.24,163.24,163.24,0.0,0.0,161.52,161.52,161.52,0.0,0.0,163.15,163.15,163.15,0.0,0.0
2019-01-06,169.39,169.39,169.39,0.0,0.0,170.59,170.59,170.59,0.0,0.0,169.08,169.08,169.08,0.0,0.0,170.46,170.46,170.46,0.0,0.0
2019-01-13,173.56,173.56,173.56,0.0,0.0,175.32,175.32,175.32,0.0,0.0,173.56,173.56,173.56,0.0,0.0,174.96,174.96,174.96,0.0,0.0
2019-01-20,175.69,175.69,175.69,0.0,0.0,176.84,176.84,176.84,0.0,0.0,175.69,175.69,175.69,0.0,0.0,176.65,176.65,176.65,0.0,0.0
2019-01-27,179.89,179.89,179.89,0.0,0.0,180.7,180.7,180.7,0.0,0.0,179.71,179.71,179.71,0.0,0.0,180.55,180.55,180.55,0.0,0.0
2019-02-03,180.84,180.84,180.84,0.0,0.0,182.02,182.02,182.02,0.0,0.0,180.53,180.53,180.53,0.0,0.0,181.74,181.74,181.74,0.0,0.0
2019-02-10,186.26,186.26,186.26,0.0,0.0,186.73,186.73,186.73,0.0,0.0,186.24,186.24,186.24,0.0,0.0,186.73,186.73,186.73,0.0,0.0
2019-02-17,188.2,188.2,188.2,0.0,0.0,188.87,188.87,188.87,0.0,0.0,188.16,188.16,188.16,0.0,0.0,188.65,188.65,188.65,0.0,0.0
2019-02-24,188.28,188.28,188.28,0.0,0.0,189.07,189.07,189.07,0.0,0.0,187.07,187.07,187.07,0.0,0.0,188.44,188.44,188.44,0.0,0.0
2019-03-03,182.76,182.76,182.76,0.0,0.0,183.91,183.91,183.91,0.0,0.0,182.76,182.76,182.76,0.0,0.0,183.91,183.91,183.91,0.0,0.0
2019-03-10,187.03,187.03,187.03,0.0,0.0,188.32,188.32,188.32,0.0,0.0,187.03,187.03,187.03,0.0,0.0,187.65,187.65,187.65,0.0,0.0
2019-03-17,187.47,187.47,187.47,0.0,0.0,187.47,187.47,187.47,0.0,0.0,184.54,184.54,184.54,0.0,0.0,184.67,184.67,184.67,0.0,0.0
2019-03-24,187.72,187.72,187.72,0.0,0.0,188.08,188.08,188.08,0.0,0.0,187.53,187.53,187.53,0.0,0.0,188.0,188.0,188.0,0.0,0.0
2019-03-31,192.73,192.73,192.73,0.0,0.0,193.66,193.66,193.66,0.0,0.0,192.73,192.73,192.73,0.0,0.0,193.66,193.66,193.66,0.0,0.0
2019-04-07,195.06,195.06,195.06,0.0,0.0,195.57,195.57,195.57,0.0,0.0,194.69,194.69,194.69,0.0,0.0,195.57,195.57,195.57,0.0,0.0
2019-04-14,194.01,194.01,194.01,0.0,0.0,194.81,194.81,194.81,0.0,0.0,193.53,193.53,193.53,0.0,0.0,194.66,194.66,194.66,0.0,0.0
2019-04-21,194.6,194.6,194.6,0.0,0.0,195.59,195.59,195.59,0.0,0.0,194.28,194.28,194.28,0.0,0.0,195.59,195.59,195.59,0.0,0.0
2019-04-28,195.83,195.83,195.83,0.0,0.0,196.87,196.87,196.87,0.0,0.0,195.83,195.83,195.83,0.0,0.0,196.87,196.87,196.87,0.0,0.0
2019-05-05,190.38,190.38,190.38,0.0,0.0,191.82,191.82,191.82,0.0,0.0,188.96,188.96,188.96,0.0,0.0,191.82,191.82,191.82,0.0,0.0
2019-05-12,188.48,188.48,188.48,0.0,0.0,189.75,189.75,189.75,0.0,0.0,188.48,188.48,188.48,0.0,0.0,188.67,188.67,188.67,0.0,0.0
2019-05-19,187.81,187.81,187.81,0.0,0.0,187.81,187.81,187.81,0.0,0.0,186.33,186.33,186.33,0.0,0.0,186.68,186.68,186.68,0.0,0.0
2019-05-26,182.15,182.15,182.15,0.0,0.0,183.11,183.11,183.11,0.0,0.0,182.0,182.0,182.0,0.0,0.0,182.27,182.27,182.27,0.0,0.0
2019-06-02,189.76,189.76,189.76,0.0,0.0,190.8,190.8,190.8,0.0,0.0,189.76,189.76,189.76,0.0,0.0,190.46,190.46,190.46,0.0,0.0
2019-06-09,191.92,191.92,191.92,0.0,0.0,191.92,191.92,191.92,0.0,0.0,191.07,191.07,191.07,0.0,0.0,191.54,191.54,191.54,0.0,0.0
2019-06-16,194.99,194.99,194.99,0.0,0.0,194.99,194.99,194.99,0.0,0.0,193.56,193.56,193.56,0.0,0.0,193.75,193.75,193.75,0.0,0.0
2019-06-23,192.82,192.82,192.82,0.0,0.0,193.99,193.99,193.99,0.0,0.0,192.82,192.82,192.82,0.0,0.0,193.99,193.99,193.99,0.0,0.0
2019-06-30,195.47,195.47,195.47,0.0,0.0,196.32,196.32,196.32,0.0,0.0,194.75,194.75,194.75,0.0,0.0,196.12,196.12,196.12,0.0,0.0
2019-07-07,195.33,195.33,195.33,0.0,0.0,197.29,197.29,197.29,0.0,0.0,195.33,195.33,195.33,0.0,0.0,197.26,197.26,197.26,0.0,0.0
2019-07-14,195.85,195.85,195.85,0.0,0.0,196.14,196.14,196.14,0.0,0.0,195.01,195.01,195.01,0.0,0.0,195.01,195.01,195.01,0.0,0.0
2019-07-21,198.4,198.4,198.4,0.0,0.0,198.85,198.85,198.85,0.0,0.0,198.4,198.4,198.4,0.0,0.0,198.81,198.81,198.81,0.0,0.0
2019-07-28,193.31,193.31,193.31,0.0,0.0,193.31,193.31,193.31,0.0,0.0,192.26,192.26,192.26,0.0,0.0,192.78,192.78,192.78,0.0,0.0
2019-08-04,193.47,193.47,193.47,0.0,0.0,193.47,193.47,193.47,0.0,0.0,191.89,191.89,191.89,0.0,0.0,192.75,192.75,192.75,0.0,0.0
2019-08-11,189.91,189.91,189.91,0.0,0.0,190.7,190.7,190.7,0.0,0.0,189.91,189.91,189.91,0.0,0.0,190.7,190.7,190.7,0.0,0.0
2019-08-18,191.85,191.85,191.85,0.0,0.0,191.85,191.85,191.85,0.0,0.0,187.01,187.01,187.01,0.0,0.0,187.01,187.01,187.01,0.0,0.0
2019-08-25,193.0,193.0,193.0,0.0,0.0,193.24,193.24,193.24,0.0,0.0,192.42,192.42,192.42,0.0,0.0,192.8,192.8,192.8,0.0,0.0
2019-09-01,195.83,195.83,195.83,0.0,0.0,197.27,197.27,197.27,0.0,0.0,195.83,195.83,195.83,0.0,0.0,196.67,196.67,196.67,0.0,0.0
2019-09-08,200.68,200.68,200.68,0.0,0.0,200.75,200.75,200.75,0.0,0.0,199.92,199.92,199.92,0.0,0.0,199.94,199.94,199.94,0.0,0.0
2019-09-15,199.77,199.77,199.77,0.0,0.0,200.15,200.15,200.15,0.0,0.0,198.85,198.85,198.85,0.0,0.0,198.9,198.9,198.9,0.0,0.0
2019-09-22,198.03,198.03,198.03,0.0,0.0,198.11,198.11,198.11,0.0,0.0,196.02,196.02,196.02,0.0,0.0,196.71,196.71,196.71,0.0,0.0
2019-09-29,193.07,193.07,193.07,0.0,0.0,195.28,195.28,195.28,0.0,0.0,193.07,193.07,193.07,0.0,0.0,195.28,195.28,195.28,0.0,0.0
2019-10-06,197.03,197.03,197.03,0.0,0.0,197.84,197.84,197.84,0.0,0.0,196.59,196.59,196.59,0.0,0.0,196.59,196.59,196.59,0.0,0.0
2019-10-13,197.56,197.56,197.56,0.0,0.0,198.71,198.71,198.71,0.0,0.0,197.56,197.56,197.56,0.0,0.0,198.71,198.71,198.71,0.0,0.0
2019-10-20,200.85,200.85,200.85,0.0,0.0,200.85,200.85,200.85,0.0,0.0,200.4,200.4,200.4,0.0,0.0,200.4,200.4,200.4,0.0,0.0
2019-10-27,202.56,202.56,202.56,0.0,0.0,203.42,203.42,203.42,0.0,0.0,202.56,202.56,202.56,0.0,0.0,203.42,203.42,203.42,0.0,0.0
2019-11-03,203.92,203.92,203.92,0.0,0.0,204.09,204.09,204.09,0.0,0.0,203.47,203.47,203.47,0.0,0.0,204.07,204.07,204.07,0.0,0.0
2019-11-10,204.93,204.93,204.93,0.0,0.0,205.57,205.57,205.57,0.0,0.0,204.9,204.9,204.9,0.0,0.0,205.5,205.5,205.5,0.0,0.0
2019-11-17,204.95,204.95,204.95,0.0,0.0,204.95,204.95,204.95,0.0,0.0,203.99,203.99,203.99,0.0,0.0,204.61,204.61,204.61,0.0,0.0
2019-11-24,207.36,207.36,207.36,0.0,0.0,207.43,207.43,207.43,0.0,0.0,206.51,206.51,206.51,0.0,0.0,206.51,206.51,206.51,0.0,0.0
2019-12-01,205.9,205.9,205.9,0.0,0.0,207.04,207.04,207.04,0.0,0.0,205.9,205.9,205.9,0.0,0.0,206.34,206.34,206.34,0.0,0.0
2019-12-08,207.58,207.58,207.58,0.0,0.0,208.08,208.08,208.08,0.0,0.0,206.73,206.73,206.73,0.0,0.0,207.26,207.26,207.26,0.0,0.0
2019-12-15,209.04,209.04,209.04,0.0,0.0,209.39,209.39,209.39,0.0,0.0,208.83,208.83,208.83,0.0,0.0,209.39,209.39,209.39,0.0,0.0
2019-12-22,209.35,209.35,209.35,0.0,0.0,209.76,209.76,209.76,0.0,0.0,209.35,209.35,209.35,0.0,0.0,209.54,209.54,209.54,0.0,0.0
2019-12-29,208.04,208.04,208.04,0.0,0.0,209.78,209.78,209.78,0.0,0.0,208.04,208.04,208.04,0.0,0.0,209.54,209.54,209.54,0.0,0.0
