Date,iShares US Healthcare Providers_etf_Open_average,iShares US Healthcare Providers_etf_Open_max,iShares US Healthcare Providers_etf_Open_min,iShares US Healthcare Providers_etf_Open_volatility,iShares US Healthcare Providers_etf_Open_change,iShares US Healthcare Providers_etf_High_average,iShares US Healthcare Providers_etf_High_max,iShares US Healthcare Providers_etf_High_min,iShares US Healthcare Providers_etf_High_volatility,iShares US Healthcare Providers_etf_High_change,iShares US Healthcare Providers_etf_Low_average,iShares US Healthcare Providers_etf_Low_max,iShares US Healthcare Providers_etf_Low_min,iShares US Healthcare Providers_etf_Low_volatility,iShares US Healthcare Providers_etf_Low_change,iShares US Healthcare Providers_etf_Close_average,iShares US Healthcare Providers_etf_Close_max,iShares US Healthcare Providers_etf_Close_min,iShares US Healthcare Providers_etf_Close_volatility,iShares US Healthcare Providers_etf_Close_change
2018-03-25,157.76,157.76,157.76,0.0,0.0,158.5,158.5,158.5,0.0,0.0,156.7,156.7,156.7,0.0,0.0,157.9,157.9,157.9,0.0,0.0
2018-04-01,160.76,160.76,160.76,0.0,0.0,161.11,161.11,161.11,0.0,0.0,157.98,157.98,157.98,0.0,0.0,158.79,158.79,158.79,0.0,0.0
2018-04-08,160.94,160.94,160.94,0.0,0.0,160.94,160.94,160.94,0.0,0.0,159.9,159.9,159.9,0.0,0.0,160.23,160.23,160.23,0.0,0.0
2018-04-15,164.92,164.92,164.92,0.0,0.0,164.92,164.92,164.92,0.0,0.0,163.74,163.74,163.74,0.0,0.0,164.22,164.22,164.22,0.0,0.0
2018-04-22,164.16,164.16,164.16,0.0,0.0,166.15,166.15,166.15,0.0,0.0,164.16,164.16,164.16,0.0,0.0,166.02,166.02,166.02,0.0,0.0
2018-04-29,164.26,164.26,164.26,0.0,0.0,166.24,166.24,166.24,0.0,0.0,163.48,163.48,163.48,0.0,0.0,165.57,165.57,165.57,0.0,0.0
2018-05-06,167.43,167.43,167.43,0.0,0.0,168.87,168.87,168.87,0.0,0.0,165.54,165.54,165.54,0.0,0.0,168.71,168.71,168.71,0.0,0.0
2018-05-13,171.53,171.53,171.53,0.0,0.0,172.2,172.2,172.2,0.0,0.0,171.26,171.26,171.26,0.0,0.0,171.83,171.83,171.83,0.0,0.0
2018-05-20,171.36,171.36,171.36,0.0,0.0,173.16,173.16,173.16,0.0,0.0,171.36,171.36,171.36,0.0,0.0,172.92,172.92,172.92,0.0,0.0
2018-05-27,171.48,171.48,171.48,0.0,0.0,171.84,171.84,171.84,0.0,0.0,170.89,170.89,170.89,0.0,0.0,171.84,171.84,171.84,0.0,0.0
2018-06-03,175.08,175.08,175.08,0.0,0.0,176.51,176.51,176.51,0.0,0.0,175.08,175.08,175.08,0.0,0.0,176.49,176.49,176.49,0.0,0.0
2018-06-10,180.82,180.82,180.82,0.0,0.0,181.65,181.65,181.65,0.0,0.0,180.15,180.15,180.15,0.0,0.0,181.65,181.65,181.65,0.0,0.0
2018-06-17,182.42,182.42,182.42,0.0,0.0,182.56,182.56,182.56,0.0,0.0,181.86,181.86,181.86,0.0,0.0,182.3,182.3,182.3,0.0,0.0
2018-06-24,176.62,176.62,176.62,0.0,0.0,177.02,177.02,177.02,0.0,0.0,175.52,175.52,175.52,0.0,0.0,175.64,175.64,175.64,0.0,0.0
2018-07-01,179.39,179.39,179.39,0.0,0.0,180.29,180.29,180.29,0.0,0.0,179.21,179.21,179.21,0.0,0.0,180.22,180.22,180.22,0.0,0.0
2018-07-08,183.03,183.03,183.03,0.0,0.0,184.21,184.21,184.21,0.0,0.0,183.03,183.03,183.03,0.0,0.0,183.89,183.89,183.89,0.0,0.0
2018-07-15,181.59,181.59,181.59,0.0,0.0,182.42,182.42,182.42,0.0,0.0,181.59,181.59,181.59,0.0,0.0,181.86,181.86,181.86,0.0,0.0
2018-07-22,185.12,185.12,185.12,0.0,0.0,185.12,185.12,185.12,0.0,0.0,183.11,183.11,183.11,0.0,0.0,183.33,183.33,183.33,0.0,0.0
2018-07-29,186.68,186.68,186.68,0.0,0.0,187.41,187.41,187.41,0.0,0.0,186.51,186.51,186.51,0.0,0.0,187.22,187.22,187.22,0.0,0.0
2018-08-05,188.38,188.38,188.38,0.0,0.0,189.45,189.45,189.45,0.0,0.0,188.34,188.34,188.34,0.0,0.0,189.0,189.0,189.0,0.0,0.0
2018-08-12,192.41,192.41,192.41,0.0,0.0,193.85,193.85,193.85,0.0,0.0,192.26,192.26,192.26,0.0,0.0,193.22,193.22,193.22,0.0,0.0
2018-08-19,194.41,194.41,194.41,0.0,0.0,195.01,195.01,195.01,0.0,0.0,194.25,194.25,194.25,0.0,0.0,194.92,194.92,194.92,0.0,0.0
2018-08-26,195.5,195.5,195.5,0.0,0.0,197.11,197.11,197.11,0.0,0.0,195.5,195.5,195.5,0.0,0.0,196.96,196.96,196.96,0.0,0.0
2018-09-02,196.32,196.32,196.32,0.0,0.0,198.19,198.19,198.19,0.0,0.0,196.32,196.32,196.32,0.0,0.0,196.96,196.96,196.96,0.0,0.0
2018-09-09,197.74,197.74,197.74,0.0,0.0,198.09,198.09,198.09,0.0,0.0,196.97,196.97,196.97,0.0,0.0,197.16,197.16,197.16,0.0,0.0
2018-09-16,198.04,198.04,198.04,0.0,0.0,198.56,198.56,198.56,0.0,0.0,197.7,197.7,197.7,0.0,0.0,197.87,197.87,197.87,0.0,0.0
2018-09-23,198.11,198.11,198.11,0.0,0.0,199.85,199.85,199.85,0.0,0.0,197.84,197.84,197.84,0.0,0.0,199.85,199.85,199.85,0.0,0.0
2018-09-30,197.93,197.93,197.93,0.0,0.0,198.86,198.86,198.86,0.0,0.0,196.4,196.4,196.4,0.0,0.0,197.68,197.68,197.68,0.0,0.0
2018-10-07,192.19,192.19,192.19,0.0,0.0,192.95,192.95,192.95,0.0,0.0,189.1,189.1,189.1,0.0,0.0,190.95,190.95,190.95,0.0,0.0
2018-10-14,196.0,196.0,196.0,0.0,0.0,196.69,196.69,196.69,0.0,0.0,192.89,192.89,192.89,0.0,0.0,193.41,193.41,193.41,0.0,0.0
2018-10-21,186.9,186.9,186.9,0.0,0.0,187.54,187.54,187.54,0.0,0.0,183.96,183.96,183.96,0.0,0.0,185.89,185.89,185.89,0.0,0.0
2018-10-28,192.7,192.7,192.7,0.0,0.0,194.72,194.72,194.72,0.0,0.0,191.31,191.31,191.31,0.0,0.0,192.07,192.07,192.07,0.0,0.0
2018-11-04,200.96,200.96,200.96,0.0,0.0,201.23,201.23,201.23,0.0,0.0,198.9,198.9,198.9,0.0,0.0,200.26,200.26,200.26,0.0,0.0
2018-11-11,193.22,193.22,193.22,0.0,0.0,195.12,195.12,195.12,0.0,0.0,193.19,193.19,193.19,0.0,0.0,194.52,194.52,194.52,0.0,0.0
2018-11-18,187.34,187.34,187.34,0.0,0.0,190.49,190.49,190.49,0.0,0.0,187.34,187.34,187.34,0.0,0.0,189.84,189.84,189.84,0.0,0.0
2018-11-25,200.29,200.29,200.29,0.0,0.0,200.29,200.29,200.29,0.0,0.0,198.65,198.65,198.65,0.0,0.0,200.01,200.01,200.01,0.0,0.0
2018-12-02,193.22,193.22,193.22,0.0,0.0,193.55,193.55,193.55,0.0,0.0,187.58,187.58,187.58,0.0,0.0,188.64,188.64,188.64,0.0,0.0
2018-12-09,188.09,188.09,188.09,0.0,0.0,188.96,188.96,188.96,0.0,0.0,182.21,182.21,182.21,0.0,0.0,183.0,183.0,183.0,0.0,0.0
2018-12-16,166.72,166.72,166.72,0.0,0.0,170.32,170.32,170.32,0.0,0.0,164.47,164.47,164.47,0.0,0.0,164.91,164.91,164.91,0.0,0.0
2018-12-23,165.01,165.01,165.01,0.0,0.0,165.94,165.94,165.94,0.0,0.0,162.72,162.72,162.72,0.0,0.0,163.57,163.57,163.57,0.0,0.0
2018-12-30,161.22,161.22,161.22,0.0,0.0,164.88,164.88,164.88,0.0,0.0,160.67,160.67,160.67,0.0,0.0,163.54,163.54,163.54,0.0,0.0
2019-01-06,167.76,167.76,167.76,0.0,0.0,170.11,170.11,170.11,0.0,0.0,167.76,167.76,167.76,0.0,0.0,170.11,170.11,170.11,0.0,0.0
2019-01-13,175.94,175.94,175.94,0.0,0.0,176.44,176.44,176.44,0.0,0.0,174.98,174.98,174.98,0.0,0.0,176.2,176.2,176.2,0.0,0.0
2019-01-20,177.09,177.09,177.09,0.0,0.0,178.29,178.29,178.29,0.0,0.0,176.85,176.85,176.85,0.0,0.0,177.56,177.56,177.56,0.0,0.0
2019-01-27,180.11,180.11,180.11,0.0,0.0,180.29,180.29,180.29,0.0,0.0,177.88,177.88,177.88,0.0,0.0,180.09,180.09,180.09,0.0,0.0
2019-02-03,179.89,179.89,179.89,0.0,0.0,179.94,179.94,179.94,0.0,0.0,176.4,176.4,176.4,0.0,0.0,177.72,177.72,177.72,0.0,0.0
2019-02-10,182.95,182.95,182.95,0.0,0.0,185.57,185.57,185.57,0.0,0.0,182.95,182.95,182.95,0.0,0.0,185.5,185.5,185.5,0.0,0.0
2019-02-17,182.68,182.68,182.68,0.0,0.0,183.34,183.34,183.34,0.0,0.0,182.18,182.18,182.18,0.0,0.0,183.34,183.34,183.34,0.0,0.0
2019-02-24,175.76,175.76,175.76,0.0,0.0,177.45,177.45,177.45,0.0,0.0,175.76,175.76,175.76,0.0,0.0,177.22,177.22,177.22,0.0,0.0
2019-03-03,164.14,164.14,164.14,0.0,0.0,165.94,165.94,165.94,0.0,0.0,163.72,163.72,163.72,0.0,0.0,165.83,165.83,165.83,0.0,0.0
2019-03-10,173.85,173.85,173.85,0.0,0.0,174.03,174.03,174.03,0.0,0.0,171.82,171.82,171.82,0.0,0.0,172.35,172.35,172.35,0.0,0.0
2019-03-17,173.8,173.8,173.8,0.0,0.0,173.99,173.99,173.99,0.0,0.0,170.54,170.54,170.54,0.0,0.0,170.58,170.58,170.58,0.0,0.0
2019-03-24,166.46,166.46,166.46,0.0,0.0,168.14,168.14,168.14,0.0,0.0,165.98,165.98,165.98,0.0,0.0,167.89,167.89,167.89,0.0,0.0
2019-03-31,170.02,170.02,170.02,0.0,0.0,171.87,171.87,171.87,0.0,0.0,170.02,170.02,170.02,0.0,0.0,171.74,171.74,171.74,0.0,0.0
2019-04-07,166.94,166.94,166.94,0.0,0.0,166.94,166.94,166.94,0.0,0.0,160.29,160.29,160.29,0.0,0.0,161.03,161.03,161.03,0.0,0.0
2019-04-14,151.8,151.8,151.8,0.0,0.0,154.24,154.24,154.24,0.0,0.0,149.76,149.76,149.76,0.0,0.0,154.0,154.0,154.0,0.0,0.0
2019-04-21,161.66,161.66,161.66,0.0,0.0,164.99,164.99,164.99,0.0,0.0,161.4,161.4,161.4,0.0,0.0,164.99,164.99,164.99,0.0,0.0
2019-04-28,164.75,164.75,164.75,0.0,0.0,165.08,165.08,165.08,0.0,0.0,162.5,162.5,162.5,0.0,0.0,164.73,164.73,164.73,0.0,0.0
2019-05-05,165.95,165.95,165.95,0.0,0.0,167.64,167.64,167.64,0.0,0.0,163.39,163.39,163.39,0.0,0.0,166.98,166.98,166.98,0.0,0.0
2019-05-12,163.26,163.26,163.26,0.0,0.0,166.27,166.27,166.27,0.0,0.0,163.26,163.26,163.26,0.0,0.0,165.21,165.21,165.21,0.0,0.0
2019-05-19,166.99,166.99,166.99,0.0,0.0,167.65,167.65,167.65,0.0,0.0,165.79,165.79,165.79,0.0,0.0,167.39,167.39,167.39,0.0,0.0
2019-05-26,163.82,163.82,163.82,0.0,0.0,165.29,165.29,165.29,0.0,0.0,162.63,162.63,162.63,0.0,0.0,164.57,164.57,164.57,0.0,0.0
2019-06-02,167.47,167.47,167.47,0.0,0.0,169.27,169.27,169.27,0.0,0.0,167.34,167.34,167.34,0.0,0.0,168.71,168.71,168.71,0.0,0.0
2019-06-09,169.98,169.98,169.98,0.0,0.0,170.17,170.17,170.17,0.0,0.0,168.78,168.78,168.78,0.0,0.0,169.28,169.28,169.28,0.0,0.0
2019-06-16,171.52,171.52,171.52,0.0,0.0,173.61,173.61,173.61,0.0,0.0,170.37,170.37,170.37,0.0,0.0,173.38,173.38,173.38,0.0,0.0
2019-06-23,170.85,170.85,170.85,0.0,0.0,171.4,171.4,171.4,0.0,0.0,169.09,169.09,169.09,0.0,0.0,171.39,171.39,171.39,0.0,0.0
2019-06-30,171.78,171.78,171.78,0.0,0.0,174.03,174.03,174.03,0.0,0.0,171.78,171.78,171.78,0.0,0.0,173.42,173.42,173.42,0.0,0.0
2019-07-07,179.69,179.69,179.69,0.0,0.0,181.79,181.79,181.79,0.0,0.0,178.9,178.9,178.9,0.0,0.0,181.69,181.69,181.69,0.0,0.0
2019-07-14,179.6,179.6,179.6,0.0,0.0,179.6,179.6,179.6,0.0,0.0,177.52,177.52,177.52,0.0,0.0,177.52,177.52,177.52,0.0,0.0
2019-07-21,176.29,176.29,176.29,0.0,0.0,178.65,178.65,178.65,0.0,0.0,176.29,176.29,176.29,0.0,0.0,178.59,178.59,178.59,0.0,0.0
2019-07-28,175.99,175.99,175.99,0.0,0.0,176.1,176.1,176.1,0.0,0.0,173.6,173.6,173.6,0.0,0.0,175.27,175.27,175.27,0.0,0.0
2019-08-04,176.3,176.3,176.3,0.0,0.0,176.9,176.9,176.9,0.0,0.0,175.4,175.4,175.4,0.0,0.0,175.98,175.98,175.98,0.0,0.0
2019-08-11,172.01,172.01,172.01,0.0,0.0,174.31,174.31,174.31,0.0,0.0,172.01,172.01,172.01,0.0,0.0,173.41,173.41,173.41,0.0,0.0
2019-08-18,168.82,168.82,168.82,0.0,0.0,170.16,170.16,170.16,0.0,0.0,166.0,166.0,166.0,0.0,0.0,166.58,166.58,166.58,0.0,0.0
2019-08-25,168.15,168.15,168.15,0.0,0.0,168.93,168.93,168.93,0.0,0.0,167.78,167.78,167.78,0.0,0.0,168.19,168.19,168.19,0.0,0.0
2019-09-01,167.27,167.27,167.27,0.0,0.0,168.25,168.25,168.25,0.0,0.0,167.03,167.03,167.03,0.0,0.0,167.11,167.11,167.11,0.0,0.0
2019-09-08,169.18,169.18,169.18,0.0,0.0,171.94,171.94,171.94,0.0,0.0,169.18,169.18,169.18,0.0,0.0,170.13,170.13,170.13,0.0,0.0
2019-09-15,170.83,170.83,170.83,0.0,0.0,171.25,171.25,171.25,0.0,0.0,169.75,169.75,169.75,0.0,0.0,170.4,170.4,170.4,0.0,0.0
2019-09-22,161.37,161.37,161.37,0.0,0.0,161.99,161.99,161.99,0.0,0.0,159.36,159.36,159.36,0.0,0.0,160.04,160.04,160.04,0.0,0.0
2019-09-29,159.31,159.31,159.31,0.0,0.0,161.07,161.07,161.07,0.0,0.0,158.94,158.94,158.94,0.0,0.0,161.07,161.07,161.07,0.0,0.0
2019-10-06,162.89,162.89,162.89,0.0,0.0,164.85,164.85,164.85,0.0,0.0,161.91,161.91,161.91,0.0,0.0,161.91,161.91,161.91,0.0,0.0
2019-10-13,171.19,171.19,171.19,0.0,0.0,171.95,171.95,171.95,0.0,0.0,169.92,169.92,169.92,0.0,0.0,171.58,171.58,171.58,0.0,0.0
2019-10-20,171.05,171.05,171.05,0.0,0.0,172.75,172.75,172.75,0.0,0.0,170.38,170.38,170.38,0.0,0.0,172.01,172.01,172.01,0.0,0.0
2019-10-27,177.63,177.63,177.63,0.0,0.0,180.0,180.0,180.0,0.0,0.0,176.79,176.79,176.79,0.0,0.0,177.8,177.8,177.8,0.0,0.0
2019-11-03,183.29,183.29,183.29,0.0,0.0,184.68,184.68,184.68,0.0,0.0,183.25,183.25,183.25,0.0,0.0,184.66,184.66,184.66,0.0,0.0
2019-11-10,185.07,185.07,185.07,0.0,0.0,192.14,192.14,192.14,0.0,0.0,184.47,184.47,184.47,0.0,0.0,190.84,190.84,190.84,0.0,0.0
2019-11-17,193.94,193.94,193.94,0.0,0.0,194.23,194.23,194.23,0.0,0.0,192.96,192.96,192.96,0.0,0.0,193.69,193.69,193.69,0.0,0.0
2019-11-24,195.05,195.05,195.05,0.0,0.0,195.31,195.31,195.31,0.0,0.0,194.56,194.56,194.56,0.0,0.0,194.87,194.87,194.87,0.0,0.0
2019-12-01,195.72,195.72,195.72,0.0,0.0,196.75,196.75,196.75,0.0,0.0,195.63,195.63,195.63,0.0,0.0,196.28,196.28,196.28,0.0,0.0
2019-12-08,195.3,195.3,195.3,0.0,0.0,196.62,196.62,196.62,0.0,0.0,194.29,194.29,194.29,0.0,0.0,194.36,194.36,194.36,0.0,0.0
2019-12-15,200.4,200.4,200.4,0.0,0.0,200.8,200.8,200.8,0.0,0.0,200.22,200.22,200.22,0.0,0.0,200.22,200.22,200.22,0.0,0.0
2019-12-22,201.58,201.58,201.58,0.0,0.0,201.68,201.68,201.68,0.0,0.0,200.88,200.88,200.88,0.0,0.0,201.6,201.6,201.6,0.0,0.0
2019-12-29,197.43,197.43,197.43,0.0,0.0,199.43,199.43,199.43,0.0,0.0,196.88,196.88,196.88,0.0,0.0,198.67,198.67,198.67,0.0,0.0
