Date,iShares US Insurance_Open_average,iShares US Insurance_Open_max,iShares US Insurance_Open_min,iShares US Insurance_Open_volatility,iShares US Insurance_Open_change,iShares US Insurance_High_average,iShares US Insurance_High_max,iShares US Insurance_High_min,iShares US Insurance_High_volatility,iShares US Insurance_High_change,iShares US Insurance_Low_average,iShares US Insurance_Low_max,iShares US Insurance_Low_min,iShares US Insurance_Low_volatility,iShares US Insurance_Low_change,iShares US Insurance_Close_average,iShares US Insurance_Close_max,iShares US Insurance_Close_min,iShares US Insurance_Close_volatility,iShares US Insurance_Close_change
2018-04-22,65.68,65.68,65.68,0.0,0.0,65.98,65.98,65.98,0.0,0.0,65.28,65.28,65.28,0.0,0.0,65.28,65.28,65.28,0.0,0.0
2018-04-29,63.14,63.14,63.14,0.0,0.0,63.66,63.66,63.66,0.0,0.0,63.12,63.12,63.12,0.0,0.0,63.66,63.66,63.66,0.0,0.0
2018-05-06,64.31,64.31,64.31,0.0,0.0,64.31,64.31,64.31,0.0,0.0,63.82,63.82,63.82,0.0,0.0,63.82,63.82,63.82,0.0,0.0
2018-05-13,64.54,64.54,64.54,0.0,0.0,64.89,64.89,64.89,0.0,0.0,64.54,64.54,64.54,0.0,0.0,64.78,64.78,64.78,0.0,0.0
2018-05-20,64.35,64.35,64.35,0.0,0.0,64.46,64.46,64.46,0.0,0.0,64.15,64.15,64.15,0.0,0.0,64.15,64.15,64.15,0.0,0.0
2018-05-27,64.0,64.0,64.0,0.0,0.0,64.17,64.17,64.17,0.0,0.0,63.94,63.94,63.94,0.0,0.0,64.0,64.0,64.0,0.0,0.0
2018-06-03,65.13,65.13,65.13,0.0,0.0,65.25,65.25,65.25,0.0,0.0,64.96,64.96,64.96,0.0,0.0,65.09,65.09,65.09,0.0,0.0
2018-06-10,63.87,63.87,63.87,0.0,0.0,63.97,63.97,63.97,0.0,0.0,63.62,63.62,63.62,0.0,0.0,63.97,63.97,63.97,0.0,0.0
2018-06-17,62.89,62.89,62.89,0.0,0.0,63.1,63.1,63.1,0.0,0.0,62.46,62.46,62.46,0.0,0.0,62.72,62.72,62.72,0.0,0.0
2018-06-24,61.25,61.25,61.25,0.0,0.0,61.62,61.62,61.62,0.0,0.0,61.25,61.25,61.25,0.0,0.0,61.61,61.61,61.61,0.0,0.0
2018-07-01,62.45,62.45,62.45,0.0,0.0,63.52,63.52,63.52,0.0,0.0,62.45,62.45,62.45,0.0,0.0,63.5,63.5,63.5,0.0,0.0
2018-07-08,62.78,62.78,62.78,0.0,0.0,63.26,63.26,63.26,0.0,0.0,62.78,62.78,62.78,0.0,0.0,63.26,63.26,63.26,0.0,0.0
2018-07-15,63.07,63.07,63.07,0.0,0.0,63.67,63.67,63.67,0.0,0.0,63.07,63.07,63.07,0.0,0.0,63.57,63.57,63.57,0.0,0.0
2018-07-22,65.17,65.17,65.17,0.0,0.0,65.58,65.58,65.58,0.0,0.0,65.17,65.17,65.17,0.0,0.0,65.34,65.34,65.34,0.0,0.0
2018-07-29,65.46,65.46,65.46,0.0,0.0,65.53,65.53,65.53,0.0,0.0,65.29,65.29,65.29,0.0,0.0,65.53,65.53,65.53,0.0,0.0
2018-08-05,64.77,64.77,64.77,0.0,0.0,64.91,64.91,64.91,0.0,0.0,64.43,64.43,64.43,0.0,0.0,64.57,64.57,64.57,0.0,0.0
2018-08-12,65.9,65.9,65.9,0.0,0.0,66.06,66.06,66.06,0.0,0.0,65.9,65.9,65.9,0.0,0.0,66.03,66.03,66.03,0.0,0.0
2018-08-19,66.6,66.6,66.6,0.0,0.0,66.62,66.62,66.62,0.0,0.0,66.55,66.55,66.55,0.0,0.0,66.56,66.56,66.56,0.0,0.0
2018-08-26,65.85,65.85,65.85,0.0,0.0,66.0,66.0,66.0,0.0,0.0,65.67,65.67,65.67,0.0,0.0,66.0,66.0,66.0,0.0,0.0
2018-09-02,66.19,66.19,66.19,0.0,0.0,66.19,66.19,66.19,0.0,0.0,65.56,65.56,65.56,0.0,0.0,65.62,65.62,65.62,0.0,0.0
2018-09-09,66.77,66.77,66.77,0.0,0.0,66.77,66.77,66.77,0.0,0.0,66.33,66.33,66.33,0.0,0.0,66.33,66.33,66.33,0.0,0.0
2018-09-16,68.35,68.35,68.35,0.0,0.0,68.35,68.35,68.35,0.0,0.0,67.38,67.38,67.38,0.0,0.0,67.4,67.4,67.4,0.0,0.0
2018-09-23,66.53,66.53,66.53,0.0,0.0,66.62,66.62,66.62,0.0,0.0,65.9,65.9,65.9,0.0,0.0,65.96,65.96,65.96,0.0,0.0
2018-09-30,66.24,66.24,66.24,0.0,0.0,67.05,67.05,67.05,0.0,0.0,66.1,66.1,66.1,0.0,0.0,66.95,66.95,66.95,0.0,0.0
2018-10-07,62.32,62.32,62.32,0.0,0.0,62.67,62.67,62.67,0.0,0.0,62.2,62.2,62.2,0.0,0.0,62.34,62.34,62.34,0.0,0.0
2018-10-14,62.98,62.98,62.98,0.0,0.0,62.98,62.98,62.98,0.0,0.0,62.17,62.17,62.17,0.0,0.0,62.17,62.17,62.17,0.0,0.0
2018-10-21,60.34,60.34,60.34,0.0,0.0,60.89,60.89,60.89,0.0,0.0,59.56,59.56,59.56,0.0,0.0,59.56,59.56,59.56,0.0,0.0
2018-10-28,62.39,62.39,62.39,0.0,0.0,62.67,62.67,62.67,0.0,0.0,62.34,62.34,62.34,0.0,0.0,62.55,62.55,62.55,0.0,0.0
2018-11-04,63.89,63.89,63.89,0.0,0.0,63.89,63.89,63.89,0.0,0.0,62.83,62.83,62.83,0.0,0.0,62.83,62.83,62.83,0.0,0.0
2018-11-11,62.49,62.49,62.49,0.0,0.0,62.49,62.49,62.49,0.0,0.0,61.83,61.83,61.83,0.0,0.0,62.14,62.14,62.14,0.0,0.0
2018-11-18,62.36,62.36,62.36,0.0,0.0,62.44,62.44,62.44,0.0,0.0,61.96,61.96,61.96,0.0,0.0,62.19,62.19,62.19,0.0,0.0
2018-11-25,63.95,63.95,63.95,0.0,0.0,63.95,63.95,63.95,0.0,0.0,62.64,62.64,62.64,0.0,0.0,62.64,62.64,62.64,0.0,0.0
2018-12-02,59.24,59.24,59.24,0.0,0.0,59.24,59.24,59.24,0.0,0.0,57.81,57.81,57.81,0.0,0.0,58.73,58.73,58.73,0.0,0.0
2018-12-09,57.44,57.44,57.44,0.0,0.0,58.05,58.05,58.05,0.0,0.0,56.94,56.94,56.94,0.0,0.0,57.08,57.08,57.08,0.0,0.0
2018-12-16,55.27,55.27,55.27,0.0,0.0,55.54,55.54,55.54,0.0,0.0,54.51,54.51,54.51,0.0,0.0,54.51,54.51,54.51,0.0,0.0
2018-12-23,57.27,57.27,57.27,0.0,0.0,57.79,57.79,57.79,0.0,0.0,57.27,57.27,57.27,0.0,0.0,57.72,57.72,57.72,0.0,0.0
2018-12-30,58.17,58.17,58.17,0.0,0.0,58.96,58.96,58.96,0.0,0.0,58.17,58.17,58.17,0.0,0.0,58.36,58.36,58.36,0.0,0.0
2019-01-06,59.07,59.07,59.07,0.0,0.0,59.83,59.83,59.83,0.0,0.0,59.07,59.07,59.07,0.0,0.0,59.7,59.7,59.7,0.0,0.0
2019-01-13,61.49,61.49,61.49,0.0,0.0,61.93,61.93,61.93,0.0,0.0,61.39,61.39,61.39,0.0,0.0,61.83,61.83,61.83,0.0,0.0
2019-01-20,61.52,61.52,61.52,0.0,0.0,61.52,61.52,61.52,0.0,0.0,61.07,61.07,61.07,0.0,0.0,61.46,61.46,61.46,0.0,0.0
2019-01-27,62.57,62.57,62.57,0.0,0.0,62.74,62.74,62.74,0.0,0.0,62.33,62.33,62.33,0.0,0.0,62.74,62.74,62.74,0.0,0.0
2019-02-03,62.43,62.43,62.43,0.0,0.0,62.62,62.62,62.62,0.0,0.0,62.11,62.11,62.11,0.0,0.0,62.62,62.62,62.62,0.0,0.0
2019-02-10,63.38,63.38,63.38,0.0,0.0,64.03,64.03,64.03,0.0,0.0,63.38,63.38,63.38,0.0,0.0,64.03,64.03,64.03,0.0,0.0
2019-02-17,64.92,64.92,64.92,0.0,0.0,65.26,65.26,65.26,0.0,0.0,64.86,64.86,64.86,0.0,0.0,64.88,64.88,64.88,0.0,0.0
2019-02-24,65.1,65.1,65.1,0.0,0.0,65.47,65.47,65.47,0.0,0.0,64.49,64.49,64.49,0.0,0.0,64.81,64.81,64.81,0.0,0.0
2019-03-03,63.69,63.69,63.69,0.0,0.0,63.92,63.92,63.92,0.0,0.0,63.55,63.55,63.55,0.0,0.0,63.91,63.91,63.91,0.0,0.0
2019-03-10,64.87,64.87,64.87,0.0,0.0,65.45,65.45,65.45,0.0,0.0,64.87,64.87,64.87,0.0,0.0,65.23,65.23,65.23,0.0,0.0
2019-03-17,62.85,62.85,62.85,0.0,0.0,63.04,63.04,63.04,0.0,0.0,62.73,62.73,62.73,0.0,0.0,62.83,62.83,62.83,0.0,0.0
2019-03-24,64.28,64.28,64.28,0.0,0.0,64.69,64.69,64.69,0.0,0.0,64.28,64.28,64.28,0.0,0.0,64.68,64.68,64.68,0.0,0.0
2019-03-31,64.68,64.68,64.68,0.0,0.0,64.81,64.81,64.81,0.0,0.0,64.54,64.54,64.54,0.0,0.0,64.7,64.7,64.7,0.0,0.0
2019-04-07,65.77,65.77,65.77,0.0,0.0,65.83,65.83,65.83,0.0,0.0,65.57,65.57,65.57,0.0,0.0,65.62,65.62,65.62,0.0,0.0
2019-04-14,65.98,65.98,65.98,0.0,0.0,65.98,65.98,65.98,0.0,0.0,65.75,65.75,65.75,0.0,0.0,65.88,65.88,65.88,0.0,0.0
2019-04-21,67.67,67.67,67.67,0.0,0.0,67.89,67.89,67.89,0.0,0.0,67.58,67.58,67.58,0.0,0.0,67.8,67.8,67.8,0.0,0.0
2019-04-28,67.41,67.41,67.41,0.0,0.0,68.37,68.37,68.37,0.0,0.0,67.41,67.41,67.41,0.0,0.0,68.22,68.22,68.22,0.0,0.0
2019-05-05,67.33,67.33,67.33,0.0,0.0,67.33,67.33,67.33,0.0,0.0,66.58,66.58,66.58,0.0,0.0,66.94,66.94,66.94,0.0,0.0
2019-05-12,68.91,68.91,68.91,0.0,0.0,68.91,68.91,68.91,0.0,0.0,68.47,68.47,68.47,0.0,0.0,68.66,68.66,68.66,0.0,0.0
2019-05-19,68.67,68.67,68.67,0.0,0.0,69.06,69.06,69.06,0.0,0.0,68.67,68.67,68.67,0.0,0.0,69.06,69.06,69.06,0.0,0.0
2019-05-26,67.51,67.51,67.51,0.0,0.0,68.62,68.62,68.62,0.0,0.0,67.51,67.51,67.51,0.0,0.0,68.62,68.62,68.62,0.0,0.0
2019-06-02,70.82,70.82,70.82,0.0,0.0,70.88,70.88,70.88,0.0,0.0,70.36,70.36,70.36,0.0,0.0,70.39,70.39,70.39,0.0,0.0
2019-06-09,70.65,70.65,70.65,0.0,0.0,70.67,70.67,70.67,0.0,0.0,69.98,69.98,69.98,0.0,0.0,69.98,69.98,69.98,0.0,0.0
2019-06-16,70.75,70.75,70.75,0.0,0.0,71.15,71.15,71.15,0.0,0.0,70.59,70.59,70.59,0.0,0.0,70.6,70.6,70.6,0.0,0.0
2019-06-23,71.82,71.82,71.82,0.0,0.0,71.82,71.82,71.82,0.0,0.0,71.08,71.08,71.08,0.0,0.0,71.67,71.67,71.67,0.0,0.0
2019-06-30,72.49,72.49,72.49,0.0,0.0,72.61,72.61,72.61,0.0,0.0,72.24,72.24,72.24,0.0,0.0,72.49,72.49,72.49,0.0,0.0
2019-07-07,72.98,72.98,72.98,0.0,0.0,72.98,72.98,72.98,0.0,0.0,72.65,72.65,72.65,0.0,0.0,72.83,72.83,72.83,0.0,0.0
2019-07-14,71.58,71.58,71.58,0.0,0.0,71.73,71.73,71.73,0.0,0.0,71.41,71.41,71.41,0.0,0.0,71.45,71.45,71.45,0.0,0.0
2019-07-21,72.66,72.66,72.66,0.0,0.0,72.82,72.82,72.82,0.0,0.0,71.96,71.96,71.96,0.0,0.0,72.12,72.12,72.12,0.0,0.0
2019-07-28,69.15,69.15,69.15,0.0,0.0,69.21,69.21,69.21,0.0,0.0,67.78,67.78,67.78,0.0,0.0,68.28,68.28,68.28,0.0,0.0
2019-08-04,70.51,70.51,70.51,0.0,0.0,70.8,70.8,70.8,0.0,0.0,69.52,69.52,69.52,0.0,0.0,69.7,69.7,69.7,0.0,0.0
2019-08-11,70.31,70.31,70.31,0.0,0.0,70.31,70.31,70.31,0.0,0.0,70.09,70.09,70.09,0.0,0.0,70.16,70.16,70.16,0.0,0.0
2019-08-18,68.06,68.06,68.06,0.0,0.0,68.57,68.57,68.57,0.0,0.0,68.06,68.06,68.06,0.0,0.0,68.57,68.57,68.57,0.0,0.0
2019-08-25,68.98,68.98,68.98,0.0,0.0,68.98,68.98,68.98,0.0,0.0,68.75,68.75,68.75,0.0,0.0,68.93,68.93,68.93,0.0,0.0
2019-09-01,70.62,70.62,70.62,0.0,0.0,71.11,71.11,71.11,0.0,0.0,70.62,70.62,70.62,0.0,0.0,71.02,71.02,71.02,0.0,0.0
2019-09-08,70.95,70.95,70.95,0.0,0.0,71.43,71.43,71.43,0.0,0.0,70.95,70.95,70.95,0.0,0.0,71.42,71.42,71.42,0.0,0.0
2019-09-15,71.95,71.95,71.95,0.0,0.0,72.39,72.39,72.39,0.0,0.0,71.79,71.79,71.79,0.0,0.0,72.17,72.17,72.17,0.0,0.0
2019-09-22,72.06,72.06,72.06,0.0,0.0,72.15,72.15,72.15,0.0,0.0,71.92,71.92,71.92,0.0,0.0,72.04,72.04,72.04,0.0,0.0
2019-09-29,70.85,70.85,70.85,0.0,0.0,70.85,70.85,70.85,0.0,0.0,70.26,70.26,70.26,0.0,0.0,70.36,70.36,70.36,0.0,0.0
2019-10-06,70.24,70.24,70.24,0.0,0.0,70.36,70.36,70.36,0.0,0.0,70.21,70.21,70.21,0.0,0.0,70.27,70.27,70.27,0.0,0.0
2019-10-13,70.57,70.57,70.57,0.0,0.0,70.72,70.72,70.72,0.0,0.0,70.57,70.57,70.57,0.0,0.0,70.66,70.66,70.66,0.0,0.0
2019-10-20,69.57,69.57,69.57,0.0,0.0,69.57,69.57,69.57,0.0,0.0,69.15,69.15,69.15,0.0,0.0,69.15,69.15,69.15,0.0,0.0
2019-10-27,70.03,70.03,70.03,0.0,0.0,70.06,70.06,70.06,0.0,0.0,69.53,69.53,69.53,0.0,0.0,69.64,69.64,69.64,0.0,0.0
2019-11-03,70.5,70.5,70.5,0.0,0.0,71.01,71.01,71.01,0.0,0.0,70.5,70.5,70.5,0.0,0.0,70.97,70.97,70.97,0.0,0.0
2019-11-10,70.76,70.76,70.76,0.0,0.0,70.82,70.82,70.82,0.0,0.0,70.54,70.54,70.54,0.0,0.0,70.82,70.82,70.82,0.0,0.0
2019-11-17,70.84,70.84,70.84,0.0,0.0,70.99,70.99,70.99,0.0,0.0,70.83,70.83,70.83,0.0,0.0,70.91,70.91,70.91,0.0,0.0
2019-11-24,71.41,71.41,71.41,0.0,0.0,71.41,71.41,71.41,0.0,0.0,70.51,70.51,70.51,0.0,0.0,70.51,70.51,70.51,0.0,0.0
2019-12-01,70.7,70.7,70.7,0.0,0.0,71.14,71.14,71.14,0.0,0.0,70.7,70.7,70.7,0.0,0.0,71.09,71.09,71.09,0.0,0.0
2019-12-08,71.65,71.65,71.65,0.0,0.0,71.65,71.65,71.65,0.0,0.0,71.26,71.26,71.26,0.0,0.0,71.34,71.34,71.34,0.0,0.0
2019-12-15,71.67,71.67,71.67,0.0,0.0,71.67,71.67,71.67,0.0,0.0,70.84,70.84,70.84,0.0,0.0,70.93,70.93,70.93,0.0,0.0
2019-12-22,71.07,71.07,71.07,0.0,0.0,71.17,71.17,71.17,0.0,0.0,71.07,71.07,71.07,0.0,0.0,71.08,71.08,71.08,0.0,0.0
2019-12-29,71.3,71.3,71.3,0.0,0.0,71.62,71.62,71.62,0.0,0.0,71.17,71.17,71.17,0.0,0.0,71.62,71.62,71.62,0.0,0.0
