Date,ProShares Investment Grade-Interest Rate Hedged_Open_average,ProShares Investment Grade-Interest Rate Hedged_Open_max,ProShares Investment Grade-Interest Rate Hedged_Open_min,ProShares Investment Grade-Interest Rate Hedged_Open_volatility,ProShares Investment Grade-Interest Rate Hedged_Open_change,ProShares Investment Grade-Interest Rate Hedged_High_average,ProShares Investment Grade-Interest Rate Hedged_High_max,ProShares Investment Grade-Interest Rate Hedged_High_min,ProShares Investment Grade-Interest Rate Hedged_High_volatility,ProShares Investment Grade-Interest Rate Hedged_High_change,ProShares Investment Grade-Interest Rate Hedged_Low_average,ProShares Investment Grade-Interest Rate Hedged_Low_max,ProShares Investment Grade-Interest Rate Hedged_Low_min,ProShares Investment Grade-Interest Rate Hedged_Low_volatility,ProShares Investment Grade-Interest Rate Hedged_Low_change,ProShares Investment Grade-Interest Rate Hedged_Close_average,ProShares Investment Grade-Interest Rate Hedged_Close_max,ProShares Investment Grade-Interest Rate Hedged_Close_min,ProShares Investment Grade-Interest Rate Hedged_Close_volatility,ProShares Investment Grade-Interest Rate Hedged_Close_change
2018-03-25,76.36,76.36,76.36,0.0,0.0,76.36,76.36,76.36,0.0,0.0,75.73,75.73,75.73,0.0,0.0,75.74,75.74,75.74,0.0,0.0
2018-04-01,76.18,76.18,76.18,0.0,0.0,76.6,76.6,76.6,0.0,0.0,76.0,76.0,76.0,0.0,0.0,76.38,76.38,76.38,0.0,0.0
2018-04-08,76.43,76.43,76.43,0.0,0.0,77.47,77.47,77.47,0.0,0.0,76.24,76.24,76.24,0.0,0.0,76.37,76.37,76.37,0.0,0.0
2018-04-15,76.42,76.42,76.42,0.0,0.0,76.65,76.65,76.65,0.0,0.0,76.42,76.42,76.42,0.0,0.0,76.62,76.62,76.62,0.0,0.0
2018-04-22,76.06,76.06,76.06,0.0,0.0,76.21,76.21,76.21,0.0,0.0,76.0,76.0,76.0,0.0,0.0,76.02,76.02,76.02,0.0,0.0
2018-04-29,75.53,75.53,75.53,0.0,0.0,75.57,75.57,75.57,0.0,0.0,75.35,75.35,75.35,0.0,0.0,75.44,75.44,75.44,0.0,0.0
2018-05-06,76.1,76.1,76.1,0.0,0.0,76.1,76.1,76.1,0.0,0.0,75.79,75.79,75.79,0.0,0.0,75.84,75.84,75.84,0.0,0.0
2018-05-13,76.0,76.0,76.0,0.0,0.0,76.21,76.21,76.21,0.0,0.0,75.97,75.97,75.97,0.0,0.0,76.1,76.1,76.1,0.0,0.0
2018-05-20,75.71,75.71,75.71,0.0,0.0,76.0,76.0,76.0,0.0,0.0,75.69,75.69,75.69,0.0,0.0,75.69,75.69,75.69,0.0,0.0
2018-05-27,74.8,74.8,74.8,0.0,0.0,74.99,74.99,74.99,0.0,0.0,74.77,74.77,74.77,0.0,0.0,74.89,74.89,74.89,0.0,0.0
2018-06-03,74.95,74.95,74.95,0.0,0.0,74.99,74.99,74.99,0.0,0.0,74.63,74.63,74.63,0.0,0.0,74.89,74.89,74.89,0.0,0.0
2018-06-10,74.52,74.52,74.52,0.0,0.0,74.68,74.68,74.68,0.0,0.0,74.44,74.44,74.44,0.0,0.0,74.58,74.58,74.58,0.0,0.0
2018-06-17,73.74,73.74,73.74,0.0,0.0,73.94,73.94,73.94,0.0,0.0,73.53,73.53,73.53,0.0,0.0,73.53,73.53,73.53,0.0,0.0
2018-06-24,73.33,73.33,73.33,0.0,0.0,73.73,73.73,73.73,0.0,0.0,73.32,73.32,73.32,0.0,0.0,73.6,73.6,73.6,0.0,0.0
2018-07-01,73.98,73.98,73.98,0.0,0.0,74.25,74.25,74.25,0.0,0.0,73.76,73.76,73.76,0.0,0.0,74.2,74.2,74.2,0.0,0.0
2018-07-08,74.33,74.33,74.33,0.0,0.0,74.75,74.75,74.75,0.0,0.0,74.25,74.25,74.25,0.0,0.0,74.63,74.63,74.63,0.0,0.0
2018-07-15,74.75,74.75,74.75,0.0,0.0,74.85,74.85,74.85,0.0,0.0,74.55,74.55,74.55,0.0,0.0,74.72,74.72,74.72,0.0,0.0
2018-07-22,75.3,75.3,75.3,0.0,0.0,75.5,75.5,75.5,0.0,0.0,75.17,75.17,75.17,0.0,0.0,75.46,75.46,75.46,0.0,0.0
2018-07-29,75.32,75.32,75.32,0.0,0.0,75.59,75.59,75.59,0.0,0.0,75.04,75.04,75.04,0.0,0.0,75.35,75.35,75.35,0.0,0.0
2018-08-05,74.89,74.89,74.89,0.0,0.0,75.12,75.12,75.12,0.0,0.0,74.52,74.52,74.52,0.0,0.0,74.83,74.83,74.83,0.0,0.0
2018-08-12,74.9,74.9,74.9,0.0,0.0,75.2,75.2,75.2,0.0,0.0,74.83,74.83,74.83,0.0,0.0,74.91,74.91,74.91,0.0,0.0
2018-08-19,74.81,74.81,74.81,0.0,0.0,74.97,74.97,74.97,0.0,0.0,74.8,74.8,74.8,0.0,0.0,74.86,74.86,74.86,0.0,0.0
2018-08-26,74.85,74.85,74.85,0.0,0.0,74.93,74.93,74.93,0.0,0.0,74.58,74.58,74.58,0.0,0.0,74.66,74.66,74.66,0.0,0.0
2018-09-02,74.43,74.43,74.43,0.0,0.0,74.6,74.6,74.6,0.0,0.0,74.23,74.23,74.23,0.0,0.0,74.51,74.51,74.51,0.0,0.0
2018-09-09,75.08,75.08,75.08,0.0,0.0,75.25,75.25,75.25,0.0,0.0,74.92,74.92,74.92,0.0,0.0,74.98,74.98,74.98,0.0,0.0
2018-09-16,75.38,75.38,75.38,0.0,0.0,75.5,75.5,75.5,0.0,0.0,75.25,75.25,75.25,0.0,0.0,75.37,75.37,75.37,0.0,0.0
2018-09-23,75.45,75.45,75.45,0.0,0.0,75.77,75.77,75.77,0.0,0.0,75.35,75.35,75.35,0.0,0.0,75.74,75.74,75.74,0.0,0.0
2018-09-30,75.41,75.41,75.41,0.0,0.0,75.74,75.74,75.74,0.0,0.0,75.35,75.35,75.35,0.0,0.0,75.43,75.43,75.43,0.0,0.0
2018-10-07,75.19,75.19,75.19,0.0,0.0,75.53,75.53,75.53,0.0,0.0,74.87,74.87,74.87,0.0,0.0,74.9,74.9,74.9,0.0,0.0
2018-10-14,74.98,74.98,74.98,0.0,0.0,75.35,75.35,75.35,0.0,0.0,74.97,74.97,74.97,0.0,0.0,75.05,75.05,75.05,0.0,0.0
2018-10-21,74.35,74.35,74.35,0.0,0.0,74.5,74.5,74.5,0.0,0.0,74.1,74.1,74.1,0.0,0.0,74.16,74.16,74.16,0.0,0.0
2018-10-28,74.14,74.14,74.14,0.0,0.0,74.46,74.46,74.46,0.0,0.0,74.14,74.14,74.14,0.0,0.0,74.4,74.4,74.4,0.0,0.0
2018-11-04,75.66,75.66,75.66,0.0,0.0,75.66,75.66,75.66,0.0,0.0,74.15,74.15,74.15,0.0,0.0,74.38,74.38,74.38,0.0,0.0
2018-11-11,73.12,73.12,73.12,0.0,0.0,73.72,73.72,73.72,0.0,0.0,73.0,73.0,73.0,0.0,0.0,73.22,73.22,73.22,0.0,0.0
2018-11-18,73.31,73.31,73.31,0.0,0.0,73.41,73.41,73.41,0.0,0.0,73.16,73.16,73.16,0.0,0.0,73.23,73.23,73.23,0.0,0.0
2018-11-25,72.7,72.7,72.7,0.0,0.0,73.0,73.0,73.0,0.0,0.0,71.51,71.51,71.51,0.0,0.0,72.47,72.47,72.47,0.0,0.0
2018-12-02,71.85,71.85,71.85,0.0,0.0,71.98,71.98,71.98,0.0,0.0,71.45,71.45,71.45,0.0,0.0,71.98,71.98,71.98,0.0,0.0
2018-12-09,72.15,72.15,72.15,0.0,0.0,72.48,72.48,72.48,0.0,0.0,72.1,72.1,72.1,0.0,0.0,72.33,72.33,72.33,0.0,0.0
2018-12-16,71.51,71.51,71.51,0.0,0.0,71.72,71.72,71.72,0.0,0.0,71.11,71.11,71.11,0.0,0.0,71.2,71.2,71.2,0.0,0.0
2018-12-23,71.03,71.03,71.03,0.0,0.0,71.3,71.3,71.3,0.0,0.0,70.86,70.86,70.86,0.0,0.0,71.13,71.13,71.13,0.0,0.0
2018-12-30,70.79,70.79,70.79,0.0,0.0,71.37,71.37,71.37,0.0,0.0,70.79,70.79,70.79,0.0,0.0,71.37,71.37,71.37,0.0,0.0
2019-01-06,71.95,71.95,71.95,0.0,0.0,71.95,71.95,71.95,0.0,0.0,71.48,71.48,71.48,0.0,0.0,71.81,71.81,71.81,0.0,0.0
2019-01-13,72.31,72.31,72.31,0.0,0.0,73.17,73.17,73.17,0.0,0.0,72.31,72.31,72.31,0.0,0.0,73.17,73.17,73.17,0.0,0.0
2019-01-20,73.1,73.1,73.1,0.0,0.0,73.45,73.45,73.45,0.0,0.0,72.83,72.83,72.83,0.0,0.0,73.11,73.11,73.11,0.0,0.0
2019-01-27,73.52,73.52,73.52,0.0,0.0,73.76,73.76,73.76,0.0,0.0,73.52,73.52,73.52,0.0,0.0,73.76,73.76,73.76,0.0,0.0
2019-02-03,73.48,73.48,73.48,0.0,0.0,73.56,73.56,73.56,0.0,0.0,73.3,73.3,73.3,0.0,0.0,73.55,73.55,73.55,0.0,0.0
2019-02-10,73.42,73.42,73.42,0.0,0.0,73.7,73.7,73.7,0.0,0.0,73.42,73.42,73.42,0.0,0.0,73.56,73.56,73.56,0.0,0.0
2019-02-17,73.5,73.5,73.5,0.0,0.0,73.86,73.86,73.86,0.0,0.0,73.19,73.19,73.19,0.0,0.0,73.81,73.81,73.81,0.0,0.0
2019-02-24,74.01,74.01,74.01,0.0,0.0,74.23,74.23,74.23,0.0,0.0,73.9,73.9,73.9,0.0,0.0,74.05,74.05,74.05,0.0,0.0
2019-03-03,73.69,73.69,73.69,0.0,0.0,73.79,73.79,73.79,0.0,0.0,73.62,73.62,73.62,0.0,0.0,73.73,73.73,73.73,0.0,0.0
2019-03-10,73.97,73.97,73.97,0.0,0.0,73.97,73.97,73.97,0.0,0.0,73.8,73.8,73.8,0.0,0.0,73.92,73.92,73.92,0.0,0.0
2019-03-17,73.88,73.88,73.88,0.0,0.0,74.1,74.1,74.1,0.0,0.0,73.75,73.75,73.75,0.0,0.0,73.88,73.88,73.88,0.0,0.0
2019-03-24,73.97,73.97,73.97,0.0,0.0,74.12,74.12,74.12,0.0,0.0,73.89,73.89,73.89,0.0,0.0,74.05,74.05,74.05,0.0,0.0
2019-03-31,74.25,74.25,74.25,0.0,0.0,74.57,74.57,74.57,0.0,0.0,74.25,74.25,74.25,0.0,0.0,74.55,74.55,74.55,0.0,0.0
2019-04-07,75.1,75.1,75.1,0.0,0.0,75.14,75.14,75.14,0.0,0.0,75.03,75.03,75.03,0.0,0.0,75.05,75.05,75.05,0.0,0.0
2019-04-14,75.05,75.05,75.05,0.0,0.0,75.27,75.27,75.27,0.0,0.0,75.0,75.0,75.0,0.0,0.0,75.27,75.27,75.27,0.0,0.0
2019-04-21,75.24,75.24,75.24,0.0,0.0,75.35,75.35,75.35,0.0,0.0,75.21,75.21,75.21,0.0,0.0,75.21,75.21,75.21,0.0,0.0
2019-04-28,74.61,74.61,74.61,0.0,0.0,74.95,74.95,74.95,0.0,0.0,74.61,74.61,74.61,0.0,0.0,74.95,74.95,74.95,0.0,0.0
2019-05-05,74.17,74.17,74.17,0.0,0.0,74.2,74.2,74.2,0.0,0.0,73.87,73.87,73.87,0.0,0.0,74.01,74.01,74.01,0.0,0.0
2019-05-12,74.36,74.36,74.36,0.0,0.0,74.42,74.42,74.42,0.0,0.0,74.11,74.11,74.11,0.0,0.0,74.33,74.33,74.33,0.0,0.0
2019-05-19,73.84,73.84,73.84,0.0,0.0,74.1,74.1,74.1,0.0,0.0,73.84,73.84,73.84,0.0,0.0,73.94,73.94,73.94,0.0,0.0
2019-05-26,73.05,73.05,73.05,0.0,0.0,73.22,73.22,73.22,0.0,0.0,73.01,73.01,73.01,0.0,0.0,73.01,73.01,73.01,0.0,0.0
2019-06-02,73.73,73.73,73.73,0.0,0.0,73.78,73.78,73.78,0.0,0.0,73.5,73.5,73.5,0.0,0.0,73.78,73.78,73.78,0.0,0.0
2019-06-09,73.65,73.65,73.65,0.0,0.0,73.8,73.8,73.8,0.0,0.0,73.55,73.55,73.55,0.0,0.0,73.68,73.68,73.68,0.0,0.0
2019-06-16,74.89,74.89,74.89,0.0,0.0,74.97,74.97,74.97,0.0,0.0,74.7,74.7,74.7,0.0,0.0,74.9,74.9,74.9,0.0,0.0
2019-06-23,75.06,75.06,75.06,0.0,0.0,75.19,75.19,75.19,0.0,0.0,74.9,74.9,74.9,0.0,0.0,75.11,75.11,75.11,0.0,0.0
2019-06-30,75.03,75.03,75.03,0.0,0.0,75.33,75.33,75.33,0.0,0.0,75.03,75.03,75.03,0.0,0.0,75.22,75.22,75.22,0.0,0.0
2019-07-07,75.28,75.28,75.28,0.0,0.0,75.28,75.28,75.28,0.0,0.0,75.08,75.08,75.08,0.0,0.0,75.1,75.1,75.1,0.0,0.0
2019-07-14,75.12,75.12,75.12,0.0,0.0,75.38,75.38,75.38,0.0,0.0,75.1,75.1,75.1,0.0,0.0,75.38,75.38,75.38,0.0,0.0
2019-07-21,75.62,75.62,75.62,0.0,0.0,75.94,75.94,75.94,0.0,0.0,75.62,75.62,75.62,0.0,0.0,75.78,75.78,75.78,0.0,0.0
2019-07-28,74.4,74.4,74.4,0.0,0.0,74.62,74.62,74.62,0.0,0.0,74.18,74.18,74.18,0.0,0.0,74.19,74.19,74.19,0.0,0.0
2019-08-04,74.3,74.3,74.3,0.0,0.0,74.45,74.45,74.45,0.0,0.0,73.88,73.88,73.88,0.0,0.0,73.89,73.89,73.89,0.0,0.0
2019-08-11,73.75,73.75,73.75,0.0,0.0,74.08,74.08,74.08,0.0,0.0,73.72,73.72,73.72,0.0,0.0,73.99,73.99,73.99,0.0,0.0
2019-08-18,74.28,74.28,74.28,0.0,0.0,74.53,74.53,74.53,0.0,0.0,74.2,74.2,74.2,0.0,0.0,74.39,74.39,74.39,0.0,0.0
2019-08-25,74.23,74.23,74.23,0.0,0.0,74.41,74.41,74.41,0.0,0.0,74.09,74.09,74.09,0.0,0.0,74.37,74.37,74.37,0.0,0.0
2019-09-01,73.94,73.94,73.94,0.0,0.0,74.14,74.14,74.14,0.0,0.0,73.92,73.92,73.92,0.0,0.0,74.08,74.08,74.08,0.0,0.0
2019-09-08,74.5,74.5,74.5,0.0,0.0,74.77,74.77,74.77,0.0,0.0,74.07,74.07,74.07,0.0,0.0,74.07,74.07,74.07,0.0,0.0
2019-09-15,74.47,74.47,74.47,0.0,0.0,74.87,74.87,74.87,0.0,0.0,74.47,74.47,74.47,0.0,0.0,74.72,74.72,74.72,0.0,0.0
2019-09-22,74.35,74.35,74.35,0.0,0.0,74.61,74.61,74.61,0.0,0.0,74.29,74.29,74.29,0.0,0.0,74.55,74.55,74.55,0.0,0.0
2019-09-29,73.91,73.91,73.91,0.0,0.0,74.0,74.0,74.0,0.0,0.0,73.62,73.62,73.62,0.0,0.0,74.0,74.0,74.0,0.0,0.0
2019-10-06,74.39,74.39,74.39,0.0,0.0,74.62,74.62,74.62,0.0,0.0,74.18,74.18,74.18,0.0,0.0,74.62,74.62,74.62,0.0,0.0
2019-10-13,75.09,75.09,75.09,0.0,0.0,75.23,75.23,75.23,0.0,0.0,74.86,74.86,74.86,0.0,0.0,75.16,75.16,75.16,0.0,0.0
2019-10-20,75.3,75.3,75.3,0.0,0.0,75.58,75.58,75.58,0.0,0.0,75.17,75.17,75.17,0.0,0.0,75.48,75.48,75.48,0.0,0.0
2019-10-27,75.17,75.17,75.17,0.0,0.0,75.41,75.41,75.41,0.0,0.0,75.03,75.03,75.03,0.0,0.0,75.39,75.39,75.39,0.0,0.0
2019-11-03,75.61,75.61,75.61,0.0,0.0,75.84,75.84,75.84,0.0,0.0,75.58,75.58,75.58,0.0,0.0,75.71,75.71,75.71,0.0,0.0
2019-11-10,75.68,75.68,75.68,0.0,0.0,75.74,75.74,75.74,0.0,0.0,75.56,75.56,75.56,0.0,0.0,75.7,75.7,75.7,0.0,0.0
2019-11-17,75.79,75.79,75.79,0.0,0.0,75.92,75.92,75.92,0.0,0.0,75.53,75.53,75.53,0.0,0.0,75.88,75.88,75.88,0.0,0.0
2019-11-24,76.24,76.24,76.24,0.0,0.0,76.24,76.24,76.24,0.0,0.0,75.81,75.81,75.81,0.0,0.0,75.92,75.92,75.92,0.0,0.0
2019-12-01,76.47,76.47,76.47,0.0,0.0,76.54,76.54,76.54,0.0,0.0,76.17,76.17,76.17,0.0,0.0,76.37,76.37,76.37,0.0,0.0
2019-12-08,76.76,76.76,76.76,0.0,0.0,77.1,77.1,77.1,0.0,0.0,76.7,76.7,76.7,0.0,0.0,77.1,77.1,77.1,0.0,0.0
2019-12-15,77.43,77.43,77.43,0.0,0.0,77.51,77.51,77.51,0.0,0.0,77.13,77.13,77.13,0.0,0.0,77.34,77.34,77.34,0.0,0.0
2019-12-22,77.4,77.4,77.4,0.0,0.0,77.51,77.51,77.51,0.0,0.0,77.24,77.24,77.24,0.0,0.0,77.42,77.42,77.42,0.0,0.0
2019-12-29,77.3,77.3,77.3,0.0,0.0,77.3,77.3,77.3,0.0,0.0,76.56,76.56,76.56,0.0,0.0,76.56,76.56,76.56,0.0,0.0
