Date,iShares MSCI USA ESG Select_Open_average,iShares MSCI USA ESG Select_Open_max,iShares MSCI USA ESG Select_Open_min,iShares MSCI USA ESG Select_Open_volatility,iShares MSCI USA ESG Select_Open_change,iShares MSCI USA ESG Select_High_average,iShares MSCI USA ESG Select_High_max,iShares MSCI USA ESG Select_High_min,iShares MSCI USA ESG Select_High_volatility,iShares MSCI USA ESG Select_High_change,iShares MSCI USA ESG Select_Low_average,iShares MSCI USA ESG Select_Low_max,iShares MSCI USA ESG Select_Low_min,iShares MSCI USA ESG Select_Low_volatility,iShares MSCI USA ESG Select_Low_change,iShares MSCI USA ESG Select_Close_average,iShares MSCI USA ESG Select_Close_max,iShares MSCI USA ESG Select_Close_min,iShares MSCI USA ESG Select_Close_volatility,iShares MSCI USA ESG Select_Close_change
2018-03-25,111.07,111.07,111.07,0.0,0.0,111.07,111.07,111.07,0.0,0.0,106.76,106.76,106.76,0.0,0.0,107.35,107.35,107.35,0.0,0.0
2018-04-01,109.82,109.82,109.82,0.0,0.0,110.95,110.95,110.95,0.0,0.0,109.54,109.54,109.54,0.0,0.0,109.54,109.54,109.54,0.0,0.0
2018-04-08,112.07,112.07,112.07,0.0,0.0,112.81,112.81,112.81,0.0,0.0,111.75,111.75,111.75,0.0,0.0,112.53,112.53,112.53,0.0,0.0
2018-04-15,112.21,112.21,112.21,0.0,0.0,112.69,112.69,112.69,0.0,0.0,111.77,111.77,111.77,0.0,0.0,112.07,112.07,112.07,0.0,0.0
2018-04-22,112.22,112.22,112.22,0.0,0.0,112.45,112.45,112.45,0.0,0.0,110.98,110.98,110.98,0.0,0.0,111.23,111.23,111.23,0.0,0.0
2018-04-29,111.59,111.59,111.59,0.0,0.0,112.12,112.12,112.12,0.0,0.0,111.53,111.53,111.53,0.0,0.0,111.76,111.76,111.76,0.0,0.0
2018-05-06,113.73,113.73,113.73,0.0,0.0,114.01,114.01,114.01,0.0,0.0,113.34,113.34,113.34,0.0,0.0,113.45,113.45,113.45,0.0,0.0
2018-05-13,113.37,113.37,113.37,0.0,0.0,113.58,113.58,113.58,0.0,0.0,113.02,113.02,113.02,0.0,0.0,113.14,113.14,113.14,0.0,0.0
2018-05-20,112.65,112.65,112.65,0.0,0.0,113.0,113.0,113.0,0.0,0.0,112.49,112.49,112.49,0.0,0.0,112.88,112.88,112.88,0.0,0.0
2018-05-27,114.18,114.18,114.18,0.0,0.0,114.18,114.18,114.18,0.0,0.0,113.72,113.72,113.72,0.0,0.0,113.84,113.84,113.84,0.0,0.0
2018-06-03,115.4,115.4,115.4,0.0,0.0,115.98,115.98,115.98,0.0,0.0,115.4,115.4,115.4,0.0,0.0,115.71,115.71,115.71,0.0,0.0
2018-06-10,114.91,114.91,114.91,0.0,0.0,115.55,115.55,115.55,0.0,0.0,114.72,114.72,114.72,0.0,0.0,115.53,115.53,115.53,0.0,0.0
2018-06-17,114.12,114.12,114.12,0.0,0.0,114.12,114.12,114.12,0.0,0.0,112.2,112.2,112.2,0.0,0.0,112.92,112.92,112.92,0.0,0.0
2018-06-24,112.29,112.29,112.29,0.0,0.0,112.78,112.78,112.78,0.0,0.0,111.84,111.84,111.84,0.0,0.0,112.78,112.78,112.78,0.0,0.0
2018-07-01,114.54,114.54,114.54,0.0,0.0,114.9,114.9,114.9,0.0,0.0,114.43,114.43,114.43,0.0,0.0,114.9,114.9,114.9,0.0,0.0
2018-07-08,115.78,115.78,115.78,0.0,0.0,115.78,115.78,115.78,0.0,0.0,115.15,115.15,115.15,0.0,0.0,115.23,115.23,115.23,0.0,0.0
2018-07-15,115.02,115.02,115.02,0.0,0.0,115.52,115.52,115.52,0.0,0.0,115.02,115.02,115.02,0.0,0.0,115.45,115.45,115.45,0.0,0.0
2018-07-22,116.13,116.13,116.13,0.0,0.0,116.13,116.13,116.13,0.0,0.0,115.27,115.27,115.27,0.0,0.0,115.45,115.45,115.45,0.0,0.0
2018-07-29,117.68,117.68,117.68,0.0,0.0,118.16,118.16,118.16,0.0,0.0,117.48,117.48,117.48,0.0,0.0,117.78,117.78,117.78,0.0,0.0
2018-08-05,116.99,116.99,116.99,0.0,0.0,117.05,117.05,117.05,0.0,0.0,116.14,116.14,116.14,0.0,0.0,116.28,116.28,116.28,0.0,0.0
2018-08-12,117.56,117.56,117.56,0.0,0.0,118.03,118.03,118.03,0.0,0.0,117.48,117.48,117.48,0.0,0.0,117.86,117.86,117.86,0.0,0.0
2018-08-19,118.92,118.92,118.92,0.0,0.0,119.17,119.17,119.17,0.0,0.0,118.67,118.67,118.67,0.0,0.0,119.09,119.09,119.09,0.0,0.0
2018-08-26,118.79,118.79,118.79,0.0,0.0,119.31,119.31,119.31,0.0,0.0,118.59,118.59,118.59,0.0,0.0,119.02,119.02,119.02,0.0,0.0
2018-09-02,118.26,118.26,118.26,0.0,0.0,118.67,118.67,118.67,0.0,0.0,118.26,118.26,118.26,0.0,0.0,118.32,118.32,118.32,0.0,0.0
2018-09-09,119.46,119.46,119.46,0.0,0.0,119.7,119.7,119.7,0.0,0.0,118.95,118.95,118.95,0.0,0.0,119.05,119.05,119.05,0.0,0.0
2018-09-16,120.94,120.94,120.94,0.0,0.0,120.94,120.94,120.94,0.0,0.0,120.02,120.02,120.02,0.0,0.0,120.46,120.46,120.46,0.0,0.0
2018-09-23,120.24,120.24,120.24,0.0,0.0,120.54,120.54,120.54,0.0,0.0,119.79,119.79,119.79,0.0,0.0,120.24,120.24,120.24,0.0,0.0
2018-09-30,118.05,118.05,118.05,0.0,0.0,118.4,118.4,118.4,0.0,0.0,117.38,117.38,117.38,0.0,0.0,118.29,118.29,118.29,0.0,0.0
2018-10-07,112.71,112.71,112.71,0.0,0.0,113.13,113.13,113.13,0.0,0.0,112.29,112.29,112.29,0.0,0.0,112.68,112.68,112.68,0.0,0.0
2018-10-14,113.15,113.15,113.15,0.0,0.0,113.15,113.15,113.15,0.0,0.0,111.32,111.32,111.32,0.0,0.0,111.84,111.84,111.84,0.0,0.0
2018-10-21,109.74,109.74,109.74,0.0,0.0,110.64,110.64,110.64,0.0,0.0,107.7,107.7,107.7,0.0,0.0,107.71,107.71,107.71,0.0,0.0
2018-10-28,111.41,111.41,111.41,0.0,0.0,112.36,112.36,112.36,0.0,0.0,111.3,111.3,111.3,0.0,0.0,112.15,112.15,112.15,0.0,0.0
2018-11-04,113.82,113.82,113.82,0.0,0.0,113.82,113.82,113.82,0.0,0.0,111.9,111.9,111.9,0.0,0.0,111.9,111.9,111.9,0.0,0.0
2018-11-11,112.96,112.96,112.96,0.0,0.0,112.96,112.96,112.96,0.0,0.0,110.95,110.95,110.95,0.0,0.0,110.96,110.96,110.96,0.0,0.0
2018-11-18,111.08,111.08,111.08,0.0,0.0,111.31,111.31,111.31,0.0,0.0,110.3,110.3,110.3,0.0,0.0,111.31,111.31,111.31,0.0,0.0
2018-11-25,115.62,115.62,115.62,0.0,0.0,115.99,115.99,115.99,0.0,0.0,114.78,114.78,114.78,0.0,0.0,115.61,115.61,115.61,0.0,0.0
2018-12-02,109.2,109.2,109.2,0.0,0.0,109.47,109.47,109.47,0.0,0.0,107.26,107.26,107.26,0.0,0.0,109.26,109.26,109.26,0.0,0.0
2018-12-09,107.16,107.16,107.16,0.0,0.0,107.3,107.3,107.3,0.0,0.0,104.19,104.19,104.19,0.0,0.0,104.65,104.65,104.65,0.0,0.0
2018-12-16,99.2,99.2,99.2,0.0,0.0,99.2,99.2,99.2,0.0,0.0,96.92,96.92,96.92,0.0,0.0,96.94,96.94,96.94,0.0,0.0
2018-12-23,102.97,102.97,102.97,0.0,0.0,103.27,103.27,103.27,0.0,0.0,102.15,102.15,102.15,0.0,0.0,103.14,103.14,103.14,0.0,0.0
2018-12-30,103.86,103.86,103.86,0.0,0.0,105.34,105.34,105.34,0.0,0.0,103.52,103.52,103.52,0.0,0.0,104.74,104.74,104.74,0.0,0.0
2019-01-06,105.99,105.99,105.99,0.0,0.0,106.36,106.36,106.36,0.0,0.0,105.9,105.9,105.9,0.0,0.0,106.08,106.08,106.08,0.0,0.0
2019-01-13,108.93,108.93,108.93,0.0,0.0,110.05,110.05,110.05,0.0,0.0,108.76,108.76,108.76,0.0,0.0,109.85,109.85,109.85,0.0,0.0
2019-01-20,109.06,109.06,109.06,0.0,0.0,109.06,109.06,109.06,0.0,0.0,108.31,108.31,108.31,0.0,0.0,108.82,108.82,108.82,0.0,0.0
2019-01-27,111.36,111.36,111.36,0.0,0.0,112.4,112.4,112.4,0.0,0.0,111.29,111.29,111.29,0.0,0.0,112.4,112.4,112.4,0.0,0.0
2019-02-03,112.4,112.4,112.4,0.0,0.0,112.55,112.55,112.55,0.0,0.0,112.09,112.09,112.09,0.0,0.0,112.35,112.35,112.35,0.0,0.0
2019-02-10,114.71,114.71,114.71,0.0,0.0,114.98,114.98,114.98,0.0,0.0,114.62,114.62,114.62,0.0,0.0,114.95,114.95,114.95,0.0,0.0
2019-02-17,116.75,116.75,116.75,0.0,0.0,116.88,116.88,116.88,0.0,0.0,116.22,116.22,116.22,0.0,0.0,116.24,116.24,116.24,0.0,0.0
2019-02-24,117.43,117.43,117.43,0.0,0.0,117.62,117.62,117.62,0.0,0.0,115.38,115.38,115.38,0.0,0.0,116.32,116.32,116.32,0.0,0.0
2019-03-03,114.81,114.81,114.81,0.0,0.0,116.12,116.12,116.12,0.0,0.0,114.81,114.81,114.81,0.0,0.0,116.08,116.08,116.08,0.0,0.0
2019-03-10,118.44,118.44,118.44,0.0,0.0,118.63,118.63,118.63,0.0,0.0,118.07,118.07,118.07,0.0,0.0,118.51,118.51,118.51,0.0,0.0
2019-03-17,116.78,116.78,116.78,0.0,0.0,116.96,116.96,116.96,0.0,0.0,116.12,116.12,116.12,0.0,0.0,116.65,116.65,116.65,0.0,0.0
2019-03-24,118.98,118.98,118.98,0.0,0.0,119.85,119.85,119.85,0.0,0.0,118.98,118.98,118.98,0.0,0.0,119.78,119.78,119.78,0.0,0.0
2019-03-31,120.83,120.83,120.83,0.0,0.0,120.98,120.98,120.98,0.0,0.0,120.42,120.42,120.42,0.0,0.0,120.97,120.97,120.97,0.0,0.0
2019-04-07,122.02,122.02,122.02,0.0,0.0,122.02,122.02,122.02,0.0,0.0,121.28,121.28,121.28,0.0,0.0,121.56,121.56,121.56,0.0,0.0
2019-04-14,120.92,120.92,120.92,0.0,0.0,121.44,121.44,121.44,0.0,0.0,120.92,120.92,120.92,0.0,0.0,121.36,121.36,121.36,0.0,0.0
2019-04-21,121.98,121.98,121.98,0.0,0.0,122.28,122.28,122.28,0.0,0.0,121.96,121.96,121.96,0.0,0.0,122.05,122.05,122.05,0.0,0.0
2019-04-28,120.13,120.13,120.13,0.0,0.0,121.79,121.79,121.79,0.0,0.0,120.13,120.13,120.13,0.0,0.0,121.65,121.65,121.65,0.0,0.0
2019-05-05,117.28,117.28,117.28,0.0,0.0,117.56,117.56,117.56,0.0,0.0,116.24,116.24,116.24,0.0,0.0,116.64,116.64,116.64,0.0,0.0
2019-05-12,117.64,117.64,117.64,0.0,0.0,117.8,117.8,117.8,0.0,0.0,117.02,117.02,117.02,0.0,0.0,117.4,117.4,117.4,0.0,0.0
2019-05-19,117.39,117.39,117.39,0.0,0.0,117.64,117.64,117.64,0.0,0.0,116.75,116.75,116.75,0.0,0.0,116.78,116.78,116.78,0.0,0.0
2019-05-26,113.54,113.54,113.54,0.0,0.0,114.28,114.28,114.28,0.0,0.0,112.99,112.99,112.99,0.0,0.0,113.48,113.48,113.48,0.0,0.0
2019-06-02,119.94,119.94,119.94,0.0,0.0,120.33,120.33,120.33,0.0,0.0,119.64,119.64,119.64,0.0,0.0,119.79,119.79,119.79,0.0,0.0
2019-06-09,119.53,119.53,119.53,0.0,0.0,119.65,119.65,119.65,0.0,0.0,119.05,119.05,119.05,0.0,0.0,119.06,119.06,119.06,0.0,0.0
2019-06-16,122.27,122.27,122.27,0.0,0.0,122.27,122.27,122.27,0.0,0.0,121.81,121.81,121.81,0.0,0.0,121.85,121.85,121.85,0.0,0.0
2019-06-23,123.61,123.61,123.61,0.0,0.0,123.61,123.61,123.61,0.0,0.0,122.42,122.42,122.42,0.0,0.0,122.93,122.93,122.93,0.0,0.0
2019-06-30,123.44,123.44,123.44,0.0,0.0,123.71,123.71,123.71,0.0,0.0,122.83,122.83,122.83,0.0,0.0,123.07,123.07,123.07,0.0,0.0
2019-07-07,124.39,124.39,124.39,0.0,0.0,124.4,124.4,124.4,0.0,0.0,124.19,124.19,124.19,0.0,0.0,124.4,124.4,124.4,0.0,0.0
2019-07-14,123.51,123.51,123.51,0.0,0.0,123.65,123.65,123.65,0.0,0.0,123.08,123.08,123.08,0.0,0.0,123.43,123.43,123.43,0.0,0.0
2019-07-21,125.54,125.54,125.54,0.0,0.0,125.57,125.57,125.57,0.0,0.0,125.13,125.13,125.13,0.0,0.0,125.48,125.48,125.48,0.0,0.0
2019-07-28,120.02,120.02,120.02,0.0,0.0,120.02,120.02,120.02,0.0,0.0,117.03,117.03,117.03,0.0,0.0,117.85,117.85,117.85,0.0,0.0
2019-08-04,120.27,120.27,120.27,0.0,0.0,120.27,120.27,120.27,0.0,0.0,118.92,118.92,118.92,0.0,0.0,119.29,119.29,119.29,0.0,0.0
2019-08-11,120.71,120.71,120.71,0.0,0.0,121.26,121.26,121.26,0.0,0.0,120.64,120.64,120.64,0.0,0.0,121.01,121.01,121.01,0.0,0.0
2019-08-18,118.76,118.76,118.76,0.0,0.0,118.84,118.84,118.84,0.0,0.0,117.9,117.9,117.9,0.0,0.0,118.84,118.84,118.84,0.0,0.0
2019-08-25,121.57,121.57,121.57,0.0,0.0,121.78,121.78,121.78,0.0,0.0,120.73,120.73,120.73,0.0,0.0,121.17,121.17,121.17,0.0,0.0
2019-09-01,123.86,123.86,123.86,0.0,0.0,123.86,123.86,123.86,0.0,0.0,123.08,123.08,123.08,0.0,0.0,123.47,123.47,123.47,0.0,0.0
2019-09-08,124.69,124.69,124.69,0.0,0.0,124.69,124.69,124.69,0.0,0.0,124.31,124.31,124.31,0.0,0.0,124.59,124.59,124.59,0.0,0.0
2019-09-15,123.97,123.97,123.97,0.0,0.0,124.37,124.37,124.37,0.0,0.0,123.68,123.68,123.68,0.0,0.0,124.11,124.11,124.11,0.0,0.0
2019-09-22,123.23,123.23,123.23,0.0,0.0,123.89,123.89,123.89,0.0,0.0,123.2,123.2,123.2,0.0,0.0,123.61,123.61,123.61,0.0,0.0
2019-09-29,121.43,121.43,121.43,0.0,0.0,122.15,122.15,122.15,0.0,0.0,121.28,121.28,121.28,0.0,0.0,121.28,121.28,121.28,0.0,0.0
2019-10-06,122.91,122.91,122.91,0.0,0.0,123.17,123.17,123.17,0.0,0.0,122.42,122.42,122.42,0.0,0.0,122.7,122.7,122.7,0.0,0.0
2019-10-13,124.03,124.03,124.03,0.0,0.0,124.3,124.3,124.3,0.0,0.0,123.78,123.78,123.78,0.0,0.0,124.3,124.3,124.3,0.0,0.0
2019-10-20,126.0,126.0,126.0,0.0,0.0,126.48,126.48,126.48,0.0,0.0,126.0,126.0,126.0,0.0,0.0,126.35,126.35,126.35,0.0,0.0
2019-10-27,128.2,128.2,128.2,0.0,0.0,128.2,128.2,128.2,0.0,0.0,127.69,127.69,127.69,0.0,0.0,127.85,127.85,127.85,0.0,0.0
2019-11-03,128.32,128.32,128.32,0.0,0.0,128.32,128.32,128.32,0.0,0.0,127.97,127.97,127.97,0.0,0.0,128.18,128.18,128.18,0.0,0.0
2019-11-10,129.58,129.58,129.58,0.0,0.0,129.85,129.85,129.85,0.0,0.0,129.41,129.41,129.41,0.0,0.0,129.82,129.82,129.82,0.0,0.0
2019-11-17,129.71,129.71,129.71,0.0,0.0,130.18,130.18,130.18,0.0,0.0,129.71,129.71,129.71,0.0,0.0,130.17,130.17,130.17,0.0,0.0
2019-11-24,130.87,130.87,130.87,0.0,0.0,130.87,130.87,130.87,0.0,0.0,129.39,129.39,129.39,0.0,0.0,129.5,129.5,129.5,0.0,0.0
2019-12-01,130.93,130.93,130.93,0.0,0.0,131.04,131.04,131.04,0.0,0.0,130.64,130.64,130.64,0.0,0.0,130.64,130.64,130.64,0.0,0.0
2019-12-08,132.2,132.2,132.2,0.0,0.0,132.59,132.59,132.59,0.0,0.0,132.2,132.2,132.2,0.0,0.0,132.3,132.3,132.3,0.0,0.0
2019-12-15,134.23,134.23,134.23,0.0,0.0,134.23,134.23,134.23,0.0,0.0,133.78,133.78,133.78,0.0,0.0,133.82,133.82,133.82,0.0,0.0
2019-12-22,134.61,134.61,134.61,0.0,0.0,134.61,134.61,134.61,0.0,0.0,133.54,133.54,133.54,0.0,0.0,133.67,133.67,133.67,0.0,0.0
2019-12-29,133.81,133.81,133.81,0.0,0.0,134.45,134.45,134.45,0.0,0.0,133.81,133.81,133.81,0.0,0.0,134.13,134.13,134.13,0.0,0.0
