Date,iShares Core US Aggregate Bond_Open_average,iShares Core US Aggregate Bond_Open_max,iShares Core US Aggregate Bond_Open_min,iShares Core US Aggregate Bond_Open_volatility,iShares Core US Aggregate Bond_Open_change,iShares Core US Aggregate Bond_High_average,iShares Core US Aggregate Bond_High_max,iShares Core US Aggregate Bond_High_min,iShares Core US Aggregate Bond_High_volatility,iShares Core US Aggregate Bond_High_change,iShares Core US Aggregate Bond_Low_average,iShares Core US Aggregate Bond_Low_max,iShares Core US Aggregate Bond_Low_min,iShares Core US Aggregate Bond_Low_volatility,iShares Core US Aggregate Bond_Low_change,iShares Core US Aggregate Bond_Close_average,iShares Core US Aggregate Bond_Close_max,iShares Core US Aggregate Bond_Close_min,iShares Core US Aggregate Bond_Close_volatility,iShares Core US Aggregate Bond_Close_change
2018-05-13,105.28,105.28,105.28,0.0,0.0,105.37,105.37,105.37,0.0,0.0,105.24,105.24,105.24,0.0,0.0,105.31,105.31,105.31,0.0,0.0
2018-05-20,106.1,106.1,106.1,0.0,0.0,106.18,106.18,106.18,0.0,0.0,106.03,106.03,106.03,0.0,0.0,106.12,106.12,106.12,0.0,0.0
2018-05-27,106.0,106.0,106.0,0.0,0.0,106.01,106.01,106.01,0.0,0.0,105.79,105.79,105.79,0.0,0.0,105.83,105.83,105.83,0.0,0.0
2018-06-03,105.65,105.65,105.65,0.0,0.0,105.74,105.74,105.74,0.0,0.0,105.57,105.57,105.57,0.0,0.0,105.64,105.64,105.64,0.0,0.0
2018-06-10,105.93,105.93,105.93,0.0,0.0,105.93,105.93,105.93,0.0,0.0,105.8,105.8,105.8,0.0,0.0,105.9,105.9,105.9,0.0,0.0
2018-06-17,105.95,105.95,105.95,0.0,0.0,106.04,106.04,106.04,0.0,0.0,105.86,105.86,105.86,0.0,0.0,105.88,105.88,105.88,0.0,0.0
2018-06-24,106.1,106.1,106.1,0.0,0.0,106.12,106.12,106.12,0.0,0.0,105.99,105.99,105.99,0.0,0.0,105.99,105.99,105.99,0.0,0.0
2018-07-01,106.29,106.29,106.29,0.0,0.0,106.34,106.34,106.34,0.0,0.0,106.25,106.25,106.25,0.0,0.0,106.32,106.32,106.32,0.0,0.0
2018-07-08,106.35,106.35,106.35,0.0,0.0,106.4,106.4,106.4,0.0,0.0,106.24,106.24,106.24,0.0,0.0,106.39,106.39,106.39,0.0,0.0
2018-07-15,106.17,106.17,106.17,0.0,0.0,106.19,106.19,106.19,0.0,0.0,105.89,105.89,105.89,0.0,0.0,105.9,105.9,105.9,0.0,0.0
2018-07-22,105.94,105.94,105.94,0.0,0.0,106.05,106.05,106.05,0.0,0.0,105.91,105.91,105.91,0.0,0.0,105.97,105.97,105.97,0.0,0.0
2018-07-29,106.03,106.03,106.03,0.0,0.0,106.11,106.11,106.11,0.0,0.0,106.0,106.0,106.0,0.0,0.0,106.04,106.04,106.04,0.0,0.0
2018-08-05,106.16,106.16,106.16,0.0,0.0,106.3,106.3,106.3,0.0,0.0,106.15,106.15,106.15,0.0,0.0,106.29,106.29,106.29,0.0,0.0
2018-08-12,106.59,106.59,106.59,0.0,0.0,106.68,106.68,106.68,0.0,0.0,106.53,106.53,106.53,0.0,0.0,106.67,106.67,106.67,0.0,0.0
2018-08-19,106.59,106.59,106.59,0.0,0.0,106.66,106.66,106.66,0.0,0.0,106.56,106.56,106.56,0.0,0.0,106.59,106.59,106.59,0.0,0.0
2018-08-26,106.58,106.58,106.58,0.0,0.0,106.6,106.6,106.6,0.0,0.0,106.41,106.41,106.41,0.0,0.0,106.41,106.41,106.41,0.0,0.0
2018-09-02,105.85,105.85,105.85,0.0,0.0,105.95,105.95,105.95,0.0,0.0,105.85,105.85,105.85,0.0,0.0,105.91,105.91,105.91,0.0,0.0
2018-09-09,105.65,105.65,105.65,0.0,0.0,105.78,105.78,105.78,0.0,0.0,105.6,105.6,105.6,0.0,0.0,105.67,105.67,105.67,0.0,0.0
2018-09-16,105.33,105.33,105.33,0.0,0.0,105.46,105.46,105.46,0.0,0.0,105.31,105.31,105.31,0.0,0.0,105.36,105.36,105.36,0.0,0.0
2018-09-23,105.35,105.35,105.35,0.0,0.0,105.35,105.35,105.35,0.0,0.0,105.2,105.2,105.2,0.0,0.0,105.24,105.24,105.24,0.0,0.0
2018-09-30,104.38,104.38,104.38,0.0,0.0,104.4,104.4,104.4,0.0,0.0,104.29,104.29,104.29,0.0,0.0,104.29,104.29,104.29,0.0,0.0
2018-10-07,104.73,104.73,104.73,0.0,0.0,104.78,104.78,104.78,0.0,0.0,104.62,104.62,104.62,0.0,0.0,104.68,104.68,104.68,0.0,0.0
2018-10-14,104.47,104.47,104.47,0.0,0.0,104.52,104.52,104.52,0.0,0.0,104.34,104.34,104.34,0.0,0.0,104.35,104.35,104.35,0.0,0.0
2018-10-21,104.86,104.86,104.86,0.0,0.0,104.89,104.89,104.89,0.0,0.0,104.72,104.72,104.72,0.0,0.0,104.79,104.79,104.79,0.0,0.0
2018-10-28,104.14,104.14,104.14,0.0,0.0,104.17,104.17,104.17,0.0,0.0,104.07,104.07,104.07,0.0,0.0,104.1,104.1,104.1,0.0,0.0
2018-11-04,104.31,104.31,104.31,0.0,0.0,104.35,104.35,104.35,0.0,0.0,104.25,104.25,104.25,0.0,0.0,104.31,104.31,104.31,0.0,0.0
2018-11-11,104.61,104.61,104.61,0.0,0.0,104.73,104.73,104.73,0.0,0.0,104.61,104.61,104.61,0.0,0.0,104.65,104.65,104.65,0.0,0.0
2018-11-18,104.67,104.67,104.67,0.0,0.0,104.67,104.67,104.67,0.0,0.0,104.59,104.59,104.59,0.0,0.0,104.63,104.63,104.63,0.0,0.0
2018-11-25,104.69,104.69,104.69,0.0,0.0,104.86,104.86,104.86,0.0,0.0,104.63,104.63,104.63,0.0,0.0,104.8,104.8,104.8,0.0,0.0
2018-12-02,105.55,105.55,105.55,0.0,0.0,105.63,105.63,105.63,0.0,0.0,105.43,105.43,105.43,0.0,0.0,105.55,105.55,105.55,0.0,0.0
2018-12-09,105.66,105.66,105.66,0.0,0.0,105.78,105.78,105.78,0.0,0.0,105.61,105.61,105.61,0.0,0.0,105.74,105.74,105.74,0.0,0.0
2018-12-16,105.95,105.95,105.95,0.0,0.0,106.0,106.0,106.0,0.0,0.0,105.81,105.81,105.81,0.0,0.0,105.86,105.86,105.86,0.0,0.0
2018-12-23,106.12,106.12,106.12,0.0,0.0,106.51,106.51,106.51,0.0,0.0,106.11,106.11,106.11,0.0,0.0,106.49,106.49,106.49,0.0,0.0
2018-12-30,106.72,106.72,106.72,0.0,0.0,106.79,106.79,106.79,0.0,0.0,106.46,106.46,106.46,0.0,0.0,106.51,106.51,106.51,0.0,0.0
2019-01-06,106.57,106.57,106.57,0.0,0.0,106.61,106.61,106.61,0.0,0.0,106.4,106.4,106.4,0.0,0.0,106.4,106.4,106.4,0.0,0.0
2019-01-13,106.37,106.37,106.37,0.0,0.0,106.48,106.48,106.48,0.0,0.0,106.28,106.28,106.28,0.0,0.0,106.35,106.35,106.35,0.0,0.0
2019-01-20,106.62,106.62,106.62,0.0,0.0,106.75,106.75,106.75,0.0,0.0,106.58,106.58,106.58,0.0,0.0,106.62,106.62,106.62,0.0,0.0
2019-01-27,106.83,106.83,106.83,0.0,0.0,106.9,106.9,106.9,0.0,0.0,106.77,106.77,106.77,0.0,0.0,106.88,106.88,106.88,0.0,0.0
2019-02-03,107.23,107.23,107.23,0.0,0.0,107.28,107.28,107.28,0.0,0.0,107.15,107.15,107.15,0.0,0.0,107.23,107.23,107.23,0.0,0.0
2019-02-10,107.25,107.25,107.25,0.0,0.0,107.31,107.31,107.31,0.0,0.0,107.19,107.19,107.19,0.0,0.0,107.3,107.3,107.3,0.0,0.0
2019-02-17,107.35,107.35,107.35,0.0,0.0,107.4,107.4,107.4,0.0,0.0,107.3,107.3,107.3,0.0,0.0,107.37,107.37,107.37,0.0,0.0
2019-02-24,106.74,106.74,106.74,0.0,0.0,106.84,106.84,106.84,0.0,0.0,106.69,106.69,106.69,0.0,0.0,106.76,106.76,106.76,0.0,0.0
2019-03-03,107.44,107.44,107.44,0.0,0.0,107.47,107.47,107.47,0.0,0.0,107.35,107.35,107.35,0.0,0.0,107.44,107.44,107.44,0.0,0.0
2019-03-10,107.67,107.67,107.67,0.0,0.0,107.7,107.7,107.7,0.0,0.0,107.63,107.63,107.63,0.0,0.0,107.68,107.68,107.68,0.0,0.0
2019-03-17,108.63,108.63,108.63,0.0,0.0,108.99,108.99,108.99,0.0,0.0,108.6,108.6,108.6,0.0,0.0,108.82,108.82,108.82,0.0,0.0
2019-03-24,108.62,108.62,108.62,0.0,0.0,108.62,108.62,108.62,0.0,0.0,108.28,108.28,108.28,0.0,0.0,108.31,108.31,108.31,0.0,0.0
2019-03-31,108.39,108.39,108.39,0.0,0.0,108.4,108.4,108.4,0.0,0.0,108.3,108.3,108.3,0.0,0.0,108.34,108.34,108.34,0.0,0.0
2019-04-07,108.21,108.21,108.21,0.0,0.0,108.3,108.3,108.3,0.0,0.0,108.21,108.21,108.21,0.0,0.0,108.25,108.25,108.25,0.0,0.0
2019-04-14,108.13,108.13,108.13,0.0,0.0,108.16,108.16,108.16,0.0,0.0,108.05,108.05,108.05,0.0,0.0,108.06,108.06,108.06,0.0,0.0
2019-04-21,108.56,108.56,108.56,0.0,0.0,108.62,108.62,108.62,0.0,0.0,108.49,108.49,108.49,0.0,0.0,108.52,108.52,108.52,0.0,0.0
2019-04-28,108.56,108.56,108.56,0.0,0.0,108.57,108.57,108.57,0.0,0.0,108.44,108.44,108.44,0.0,0.0,108.48,108.48,108.48,0.0,0.0
2019-05-05,108.83,108.83,108.83,0.0,0.0,108.98,108.98,108.98,0.0,0.0,108.81,108.81,108.81,0.0,0.0,108.85,108.85,108.85,0.0,0.0
2019-05-12,108.98,108.98,108.98,0.0,0.0,109.06,109.06,109.06,0.0,0.0,108.86,108.86,108.86,0.0,0.0,108.88,108.88,108.88,0.0,0.0
2019-05-19,109.37,109.37,109.37,0.0,0.0,109.45,109.45,109.45,0.0,0.0,109.33,109.33,109.33,0.0,0.0,109.41,109.41,109.41,0.0,0.0
2019-05-26,110.26,110.26,110.26,0.0,0.0,110.52,110.52,110.52,0.0,0.0,110.17,110.17,110.17,0.0,0.0,110.4,110.4,110.4,0.0,0.0
2019-06-02,110.36,110.36,110.36,0.0,0.0,110.36,110.36,110.36,0.0,0.0,110.22,110.22,110.22,0.0,0.0,110.24,110.24,110.24,0.0,0.0
2019-06-09,110.52,110.52,110.52,0.0,0.0,110.59,110.59,110.59,0.0,0.0,110.46,110.46,110.46,0.0,0.0,110.54,110.54,110.54,0.0,0.0
2019-06-16,111.23,111.23,111.23,0.0,0.0,111.38,111.38,111.38,0.0,0.0,111.22,111.22,111.22,0.0,0.0,111.32,111.32,111.32,0.0,0.0
2019-06-23,111.25,111.25,111.25,0.0,0.0,111.27,111.27,111.27,0.0,0.0,111.01,111.01,111.01,0.0,0.0,111.18,111.18,111.18,0.0,0.0
2019-06-30,111.23,111.23,111.23,0.0,0.0,111.26,111.26,111.26,0.0,0.0,111.03,111.03,111.03,0.0,0.0,111.03,111.03,111.03,0.0,0.0
2019-07-07,110.87,110.87,110.87,0.0,0.0,110.96,110.96,110.96,0.0,0.0,110.85,110.85,110.85,0.0,0.0,110.95,110.95,110.95,0.0,0.0
2019-07-14,111.41,111.41,111.41,0.0,0.0,111.41,111.41,111.41,0.0,0.0,111.3,111.3,111.3,0.0,0.0,111.31,111.31,111.31,0.0,0.0
2019-07-21,111.3,111.3,111.3,0.0,0.0,111.35,111.35,111.35,0.0,0.0,111.22,111.22,111.22,0.0,0.0,111.26,111.26,111.26,0.0,0.0
2019-07-28,112.28,112.28,112.28,0.0,0.0,112.58,112.58,112.58,0.0,0.0,112.25,112.25,112.25,0.0,0.0,112.44,112.44,112.44,0.0,0.0
2019-08-04,112.93,112.93,112.93,0.0,0.0,113.19,113.19,113.19,0.0,0.0,112.87,112.87,112.87,0.0,0.0,113.05,113.05,113.05,0.0,0.0
2019-08-11,113.34,113.34,113.34,0.0,0.0,113.46,113.46,113.46,0.0,0.0,113.27,113.27,113.27,0.0,0.0,113.37,113.37,113.37,0.0,0.0
2019-08-18,113.84,113.84,113.84,0.0,0.0,113.95,113.95,113.95,0.0,0.0,113.67,113.67,113.67,0.0,0.0,113.73,113.73,113.73,0.0,0.0
2019-08-25,113.9,113.9,113.9,0.0,0.0,114.15,114.15,114.15,0.0,0.0,113.89,113.89,113.89,0.0,0.0,114.13,114.13,114.13,0.0,0.0
2019-09-01,113.39,113.39,113.39,0.0,0.0,113.39,113.39,113.39,0.0,0.0,113.18,113.18,113.18,0.0,0.0,113.19,113.19,113.19,0.0,0.0
2019-09-08,112.05,112.05,112.05,0.0,0.0,112.15,112.15,112.15,0.0,0.0,111.89,111.89,111.89,0.0,0.0,112.05,112.05,112.05,0.0,0.0
2019-09-15,113.02,113.02,113.02,0.0,0.0,113.24,113.24,113.24,0.0,0.0,112.94,112.94,112.94,0.0,0.0,112.97,112.97,112.97,0.0,0.0
2019-09-22,112.93,112.93,112.93,0.0,0.0,113.27,113.27,113.27,0.0,0.0,112.92,112.92,112.92,0.0,0.0,113.17,113.17,113.17,0.0,0.0
2019-09-29,113.64,113.64,113.64,0.0,0.0,113.7,113.7,113.7,0.0,0.0,113.51,113.51,113.51,0.0,0.0,113.51,113.51,113.51,0.0,0.0
2019-10-06,112.93,112.93,112.93,0.0,0.0,112.93,112.93,112.93,0.0,0.0,112.82,112.82,112.82,0.0,0.0,112.92,112.92,112.92,0.0,0.0
2019-10-13,112.62,112.62,112.62,0.0,0.0,112.71,112.71,112.71,0.0,0.0,112.49,112.49,112.49,0.0,0.0,112.49,112.49,112.49,0.0,0.0
2019-10-20,112.42,112.42,112.42,0.0,0.0,112.44,112.44,112.44,0.0,0.0,112.31,112.31,112.31,0.0,0.0,112.38,112.38,112.38,0.0,0.0
2019-10-27,112.71,112.71,112.71,0.0,0.0,112.72,112.72,112.72,0.0,0.0,112.59,112.59,112.59,0.0,0.0,112.65,112.65,112.65,0.0,0.0
2019-11-03,111.96,111.96,111.96,0.0,0.0,111.96,111.96,111.96,0.0,0.0,111.78,111.78,111.78,0.0,0.0,111.83,111.83,111.83,0.0,0.0
2019-11-10,112.56,112.56,112.56,0.0,0.0,112.65,112.65,112.65,0.0,0.0,112.52,112.52,112.52,0.0,0.0,112.62,112.62,112.62,0.0,0.0
2019-11-17,112.91,112.91,112.91,0.0,0.0,113.01,113.01,113.01,0.0,0.0,112.89,112.89,112.89,0.0,0.0,112.98,112.98,112.98,0.0,0.0
2019-11-24,112.31,112.31,112.31,0.0,0.0,112.51,112.51,112.51,0.0,0.0,112.29,112.29,112.29,0.0,0.0,112.49,112.49,112.49,0.0,0.0
2019-12-01,112.69,112.69,112.69,0.0,0.0,112.72,112.72,112.72,0.0,0.0,112.56,112.56,112.56,0.0,0.0,112.58,112.58,112.58,0.0,0.0
2019-12-08,112.68,112.68,112.68,0.0,0.0,112.69,112.69,112.69,0.0,0.0,112.5,112.5,112.5,0.0,0.0,112.58,112.58,112.58,0.0,0.0
2019-12-15,112.38,112.38,112.38,0.0,0.0,112.39,112.39,112.39,0.0,0.0,112.18,112.18,112.18,0.0,0.0,112.24,112.24,112.24,0.0,0.0
2019-12-22,112.42,112.42,112.42,0.0,0.0,112.64,112.64,112.64,0.0,0.0,112.34,112.34,112.34,0.0,0.0,112.63,112.63,112.63,0.0,0.0
2019-12-29,112.89,112.89,112.89,0.0,0.0,113.05,113.05,113.05,0.0,0.0,112.78,112.78,112.78,0.0,0.0,113.01,113.01,113.01,0.0,0.0
