Date,iShares MSCI EAFE Growth_Open_average,iShares MSCI EAFE Growth_Open_max,iShares MSCI EAFE Growth_Open_min,iShares MSCI EAFE Growth_Open_volatility,iShares MSCI EAFE Growth_Open_change,iShares MSCI EAFE Growth_High_average,iShares MSCI EAFE Growth_High_max,iShares MSCI EAFE Growth_High_min,iShares MSCI EAFE Growth_High_volatility,iShares MSCI EAFE Growth_High_change,iShares MSCI EAFE Growth_Low_average,iShares MSCI EAFE Growth_Low_max,iShares MSCI EAFE Growth_Low_min,iShares MSCI EAFE Growth_Low_volatility,iShares MSCI EAFE Growth_Low_change,iShares MSCI EAFE Growth_Close_average,iShares MSCI EAFE Growth_Close_max,iShares MSCI EAFE Growth_Close_min,iShares MSCI EAFE Growth_Close_volatility,iShares MSCI EAFE Growth_Close_change
2018-07-08,80.19,80.19,80.19,0.0,0.0,80.22,80.22,80.22,0.0,0.0,79.94,79.94,79.94,0.0,0.0,80.1,80.1,80.1,0.0,0.0
2018-07-15,80.42,80.42,80.42,0.0,0.0,80.42,80.42,80.42,0.0,0.0,80.11,80.11,80.11,0.0,0.0,80.27,80.27,80.27,0.0,0.0
2018-07-22,81.17,81.17,81.17,0.0,0.0,81.17,81.17,81.17,0.0,0.0,80.64,80.64,80.64,0.0,0.0,80.74,80.74,80.74,0.0,0.0
2018-07-29,79.69,79.69,79.69,0.0,0.0,79.96,79.96,79.96,0.0,0.0,79.53,79.53,79.53,0.0,0.0,79.79,79.79,79.79,0.0,0.0
2018-08-05,78.67,78.67,78.67,0.0,0.0,78.71,78.71,78.71,0.0,0.0,78.21,78.21,78.21,0.0,0.0,78.39,78.39,78.39,0.0,0.0
2018-08-12,78.83,78.83,78.83,0.0,0.0,79.1,79.1,79.1,0.0,0.0,78.8,78.8,78.8,0.0,0.0,78.98,78.98,78.98,0.0,0.0
2018-08-19,80.72,80.72,80.72,0.0,0.0,81.11,81.11,81.11,0.0,0.0,80.6,80.6,80.6,0.0,0.0,81.06,81.06,81.06,0.0,0.0
2018-08-26,80.29,80.29,80.29,0.0,0.0,80.6,80.6,80.6,0.0,0.0,79.94,79.94,79.94,0.0,0.0,80.22,80.22,80.22,0.0,0.0
2018-09-02,78.25,78.25,78.25,0.0,0.0,78.32,78.32,78.32,0.0,0.0,78.07,78.07,78.07,0.0,0.0,78.22,78.22,78.22,0.0,0.0
2018-09-09,79.5,79.5,79.5,0.0,0.0,79.64,79.64,79.64,0.0,0.0,79.14,79.14,79.14,0.0,0.0,79.16,79.16,79.16,0.0,0.0
2018-09-16,80.73,80.73,80.73,0.0,0.0,80.76,80.76,80.76,0.0,0.0,80.41,80.41,80.41,0.0,0.0,80.41,80.41,80.41,0.0,0.0
2018-09-23,80.53,80.53,80.53,0.0,0.0,80.66,80.66,80.66,0.0,0.0,80.31,80.31,80.31,0.0,0.0,80.32,80.32,80.32,0.0,0.0
2018-09-30,76.78,76.78,76.78,0.0,0.0,77.35,77.35,77.35,0.0,0.0,76.67,76.67,76.67,0.0,0.0,77.32,77.32,77.32,0.0,0.0
2018-10-07,73.87,73.87,73.87,0.0,0.0,74.38,74.38,74.38,0.0,0.0,73.75,73.75,73.75,0.0,0.0,74.08,74.08,74.08,0.0,0.0
2018-10-14,74.17,74.17,74.17,0.0,0.0,74.25,74.25,74.25,0.0,0.0,73.6,73.6,73.6,0.0,0.0,73.8,73.8,73.8,0.0,0.0
2018-10-21,72.05,72.05,72.05,0.0,0.0,72.14,72.14,72.14,0.0,0.0,70.47,70.47,70.47,0.0,0.0,71.01,71.01,71.01,0.0,0.0
2018-10-28,73.81,73.81,73.81,0.0,0.0,74.01,74.01,74.01,0.0,0.0,73.55,73.55,73.55,0.0,0.0,73.72,73.72,73.72,0.0,0.0
2018-11-04,73.21,73.21,73.21,0.0,0.0,73.21,73.21,73.21,0.0,0.0,72.37,72.37,72.37,0.0,0.0,72.47,72.47,72.47,0.0,0.0
2018-11-11,73.14,73.14,73.14,0.0,0.0,73.22,73.22,73.22,0.0,0.0,72.35,72.35,72.35,0.0,0.0,72.52,72.52,72.52,0.0,0.0
2018-11-18,72.65,72.65,72.65,0.0,0.0,72.87,72.87,72.87,0.0,0.0,72.5,72.5,72.5,0.0,0.0,72.86,72.86,72.86,0.0,0.0
2018-11-25,74.36,74.36,74.36,0.0,0.0,74.36,74.36,74.36,0.0,0.0,73.9,73.9,73.9,0.0,0.0,74.25,74.25,74.25,0.0,0.0
2018-12-02,70.7,70.7,70.7,0.0,0.0,70.82,70.82,70.82,0.0,0.0,69.76,69.76,69.76,0.0,0.0,70.53,70.53,70.53,0.0,0.0
2018-12-09,70.59,70.59,70.59,0.0,0.0,70.72,70.72,70.72,0.0,0.0,69.85,69.85,69.85,0.0,0.0,70.05,70.05,70.05,0.0,0.0
2018-12-16,67.43,67.43,67.43,0.0,0.0,67.64,67.64,67.64,0.0,0.0,66.69,66.69,66.69,0.0,0.0,66.77,66.77,66.77,0.0,0.0
2018-12-23,69.42,69.42,69.42,0.0,0.0,69.53,69.53,69.53,0.0,0.0,68.72,68.72,68.72,0.0,0.0,69.07,69.07,69.07,0.0,0.0
2018-12-30,69.97,69.97,69.97,0.0,0.0,70.47,70.47,70.47,0.0,0.0,69.86,69.86,69.86,0.0,0.0,70.08,70.08,70.08,0.0,0.0
2019-01-06,70.74,70.74,70.74,0.0,0.0,70.95,70.95,70.95,0.0,0.0,70.59,70.59,70.59,0.0,0.0,70.7,70.7,70.7,0.0,0.0
2019-01-13,72.22,72.22,72.22,0.0,0.0,72.41,72.41,72.41,0.0,0.0,72.03,72.03,72.03,0.0,0.0,72.34,72.34,72.34,0.0,0.0
2019-01-20,71.9,71.9,71.9,0.0,0.0,72.21,72.21,72.21,0.0,0.0,71.88,71.88,71.88,0.0,0.0,72.14,72.14,72.14,0.0,0.0
2019-01-27,73.47,73.47,73.47,0.0,0.0,73.76,73.76,73.76,0.0,0.0,73.33,73.33,73.33,0.0,0.0,73.76,73.76,73.76,0.0,0.0
2019-02-03,72.96,72.96,72.96,0.0,0.0,73.07,73.07,73.07,0.0,0.0,72.73,72.73,72.73,0.0,0.0,72.91,72.91,72.91,0.0,0.0
2019-02-10,74.75,74.75,74.75,0.0,0.0,75.04,75.04,75.04,0.0,0.0,74.61,74.61,74.61,0.0,0.0,75.01,75.01,75.01,0.0,0.0
2019-02-17,76.3,76.3,76.3,0.0,0.0,76.47,76.47,76.47,0.0,0.0,76.05,76.05,76.05,0.0,0.0,76.08,76.08,76.08,0.0,0.0
2019-02-24,76.55,76.55,76.55,0.0,0.0,76.62,76.62,76.62,0.0,0.0,76.0,76.0,76.0,0.0,0.0,76.27,76.27,76.27,0.0,0.0
2019-03-03,75.15,75.15,75.15,0.0,0.0,75.89,75.89,75.89,0.0,0.0,75.15,75.15,75.15,0.0,0.0,75.89,75.89,75.89,0.0,0.0
2019-03-10,77.32,77.32,77.32,0.0,0.0,77.51,77.51,77.51,0.0,0.0,77.19,77.19,77.19,0.0,0.0,77.51,77.51,77.51,0.0,0.0
2019-03-17,76.28,76.28,76.28,0.0,0.0,76.45,76.45,76.45,0.0,0.0,76.04,76.04,76.04,0.0,0.0,76.42,76.42,76.42,0.0,0.0
2019-03-24,78.12,78.12,78.12,0.0,0.0,78.27,78.27,78.27,0.0,0.0,77.91,77.91,77.91,0.0,0.0,78.2,78.2,78.2,0.0,0.0
2019-03-31,78.91,78.91,78.91,0.0,0.0,78.91,78.91,78.91,0.0,0.0,78.65,78.65,78.65,0.0,0.0,78.83,78.83,78.83,0.0,0.0
2019-04-07,79.08,79.08,79.08,0.0,0.0,79.13,79.13,79.13,0.0,0.0,78.95,78.95,78.95,0.0,0.0,79.03,79.03,79.03,0.0,0.0
2019-04-14,79.09,79.09,79.09,0.0,0.0,79.35,79.35,79.35,0.0,0.0,78.78,78.78,78.78,0.0,0.0,79.2,79.2,79.2,0.0,0.0
2019-04-21,79.73,79.73,79.73,0.0,0.0,80.02,80.02,80.02,0.0,0.0,79.63,79.63,79.63,0.0,0.0,79.99,79.99,79.99,0.0,0.0
2019-04-28,78.85,78.85,78.85,0.0,0.0,79.64,79.64,79.64,0.0,0.0,78.41,78.41,78.41,0.0,0.0,79.61,79.61,79.61,0.0,0.0
2019-05-05,77.23,77.23,77.23,0.0,0.0,77.29,77.29,77.29,0.0,0.0,76.73,76.73,76.73,0.0,0.0,76.91,76.91,76.91,0.0,0.0
2019-05-12,77.86,77.86,77.86,0.0,0.0,78.1,78.1,78.1,0.0,0.0,77.71,77.71,77.71,0.0,0.0,77.9,77.9,77.9,0.0,0.0
2019-05-19,78.42,78.42,78.42,0.0,0.0,78.64,78.64,78.64,0.0,0.0,78.19,78.19,78.19,0.0,0.0,78.41,78.41,78.41,0.0,0.0
2019-05-26,76.96,76.96,76.96,0.0,0.0,77.4,77.4,77.4,0.0,0.0,76.87,76.87,76.87,0.0,0.0,77.35,77.35,77.35,0.0,0.0
2019-06-02,79.74,79.74,79.74,0.0,0.0,79.94,79.94,79.94,0.0,0.0,79.64,79.64,79.64,0.0,0.0,79.77,79.77,79.77,0.0,0.0
2019-06-09,78.29,78.29,78.29,0.0,0.0,78.57,78.57,78.57,0.0,0.0,78.22,78.22,78.22,0.0,0.0,78.32,78.32,78.32,0.0,0.0
2019-06-16,80.73,80.73,80.73,0.0,0.0,80.84,80.84,80.84,0.0,0.0,80.54,80.54,80.54,0.0,0.0,80.61,80.61,80.61,0.0,0.0
2019-06-23,81.4,81.4,81.4,0.0,0.0,81.51,81.51,81.51,0.0,0.0,80.9,80.9,80.9,0.0,0.0,81.15,81.15,81.15,0.0,0.0
2019-06-30,80.84,80.84,80.84,0.0,0.0,80.94,80.94,80.94,0.0,0.0,80.7,80.7,80.7,0.0,0.0,80.85,80.85,80.85,0.0,0.0
2019-07-07,80.67,80.67,80.67,0.0,0.0,80.87,80.87,80.87,0.0,0.0,80.67,80.67,80.67,0.0,0.0,80.8,80.8,80.8,0.0,0.0
2019-07-14,80.85,80.85,80.85,0.0,0.0,80.85,80.85,80.85,0.0,0.0,80.64,80.64,80.64,0.0,0.0,80.78,80.78,80.78,0.0,0.0
2019-07-21,81.14,81.14,81.14,0.0,0.0,81.19,81.19,81.19,0.0,0.0,80.96,80.96,80.96,0.0,0.0,81.12,81.12,81.12,0.0,0.0
2019-07-28,78.0,78.0,78.0,0.0,0.0,78.14,78.14,78.14,0.0,0.0,76.85,76.85,76.85,0.0,0.0,77.06,77.06,77.06,0.0,0.0
2019-08-04,78.5,78.5,78.5,0.0,0.0,78.74,78.74,78.74,0.0,0.0,78.09,78.09,78.09,0.0,0.0,78.17,78.17,78.17,0.0,0.0
2019-08-11,78.77,78.77,78.77,0.0,0.0,78.77,78.77,78.77,0.0,0.0,78.47,78.47,78.47,0.0,0.0,78.47,78.47,78.47,0.0,0.0
2019-08-18,78.6,78.6,78.6,0.0,0.0,78.66,78.66,78.66,0.0,0.0,78.21,78.21,78.21,0.0,0.0,78.48,78.48,78.48,0.0,0.0
2019-08-25,79.72,79.72,79.72,0.0,0.0,79.75,79.75,79.75,0.0,0.0,79.08,79.08,79.08,0.0,0.0,79.41,79.41,79.41,0.0,0.0
2019-09-01,81.12,81.12,81.12,0.0,0.0,81.12,81.12,81.12,0.0,0.0,80.78,80.78,80.78,0.0,0.0,80.89,80.89,80.89,0.0,0.0
2019-09-08,80.65,80.65,80.65,0.0,0.0,80.74,80.74,80.74,0.0,0.0,80.42,80.42,80.42,0.0,0.0,80.49,80.49,80.49,0.0,0.0
2019-09-15,80.32,80.32,80.32,0.0,0.0,80.83,80.83,80.83,0.0,0.0,80.32,80.32,80.32,0.0,0.0,80.79,80.79,80.79,0.0,0.0
2019-09-22,80.2,80.2,80.2,0.0,0.0,80.65,80.65,80.65,0.0,0.0,80.2,80.2,80.2,0.0,0.0,80.51,80.51,80.51,0.0,0.0
2019-09-29,79.55,79.55,79.55,0.0,0.0,79.94,79.94,79.94,0.0,0.0,79.55,79.55,79.55,0.0,0.0,79.64,79.64,79.64,0.0,0.0
2019-10-06,80.34,80.34,80.34,0.0,0.0,80.61,80.61,80.61,0.0,0.0,80.34,80.34,80.34,0.0,0.0,80.46,80.46,80.46,0.0,0.0
2019-10-13,81.62,81.62,81.62,0.0,0.0,81.79,81.79,81.79,0.0,0.0,81.52,81.52,81.52,0.0,0.0,81.67,81.67,81.67,0.0,0.0
2019-10-20,82.17,82.17,82.17,0.0,0.0,82.58,82.58,82.58,0.0,0.0,82.17,82.17,82.17,0.0,0.0,82.54,82.54,82.54,0.0,0.0
2019-10-27,84.43,84.43,84.43,0.0,0.0,84.48,84.48,84.48,0.0,0.0,84.09,84.09,84.09,0.0,0.0,84.21,84.21,84.21,0.0,0.0
2019-11-03,83.77,83.77,83.77,0.0,0.0,84.06,84.06,84.06,0.0,0.0,83.68,83.68,83.68,0.0,0.0,83.97,83.97,83.97,0.0,0.0
2019-11-10,84.3,84.3,84.3,0.0,0.0,84.66,84.66,84.66,0.0,0.0,84.2,84.2,84.2,0.0,0.0,84.53,84.53,84.53,0.0,0.0
2019-11-17,84.42,84.42,84.42,0.0,0.0,84.74,84.74,84.74,0.0,0.0,84.41,84.41,84.41,0.0,0.0,84.63,84.63,84.63,0.0,0.0
2019-11-24,84.58,84.58,84.58,0.0,0.0,84.58,84.58,84.58,0.0,0.0,83.73,83.73,83.73,0.0,0.0,84.1,84.1,84.1,0.0,0.0
2019-12-01,84.91,84.91,84.91,0.0,0.0,85.07,85.07,85.07,0.0,0.0,84.7,84.7,84.7,0.0,0.0,84.77,84.77,84.77,0.0,0.0
2019-12-08,86.22,86.22,86.22,0.0,0.0,86.48,86.48,86.48,0.0,0.0,86.16,86.16,86.16,0.0,0.0,86.3,86.3,86.3,0.0,0.0
2019-12-15,86.24,86.24,86.24,0.0,0.0,86.34,86.34,86.34,0.0,0.0,86.1,86.1,86.1,0.0,0.0,86.25,86.25,86.25,0.0,0.0
2019-12-22,86.76,86.76,86.76,0.0,0.0,86.9,86.9,86.9,0.0,0.0,86.04,86.04,86.04,0.0,0.0,86.08,86.08,86.08,0.0,0.0
2019-12-29,86.14,86.14,86.14,0.0,0.0,86.72,86.72,86.72,0.0,0.0,86.14,86.14,86.14,0.0,0.0,86.23,86.23,86.23,0.0,0.0
