Date,iShares MSCI Argentina and Global Exposure_Open_average,iShares MSCI Argentina and Global Exposure_Open_max,iShares MSCI Argentina and Global Exposure_Open_min,iShares MSCI Argentina and Global Exposure_Open_volatility,iShares MSCI Argentina and Global Exposure_Open_change,iShares MSCI Argentina and Global Exposure_High_average,iShares MSCI Argentina and Global Exposure_High_max,iShares MSCI Argentina and Global Exposure_High_min,iShares MSCI Argentina and Global Exposure_High_volatility,iShares MSCI Argentina and Global Exposure_High_change,iShares MSCI Argentina and Global Exposure_Low_average,iShares MSCI Argentina and Global Exposure_Low_max,iShares MSCI Argentina and Global Exposure_Low_min,iShares MSCI Argentina and Global Exposure_Low_volatility,iShares MSCI Argentina and Global Exposure_Low_change,iShares MSCI Argentina and Global Exposure_Close_average,iShares MSCI Argentina and Global Exposure_Close_max,iShares MSCI Argentina and Global Exposure_Close_min,iShares MSCI Argentina and Global Exposure_Close_volatility,iShares MSCI Argentina and Global Exposure_Close_change
2018-12-09,20.82,20.82,20.82,0.0,0.0,20.94,20.94,20.94,0.0,0.0,20.8,20.8,20.8,0.0,0.0,20.83,20.83,20.83,0.0,0.0
2018-12-16,19.36,19.36,19.36,0.0,0.0,19.36,19.36,19.36,0.0,0.0,19.08,19.08,19.08,0.0,0.0,19.08,19.08,19.08,0.0,0.0
2018-12-23,19.87,19.87,19.87,0.0,0.0,20.04,20.04,20.04,0.0,0.0,19.59,19.59,19.59,0.0,0.0,19.84,19.84,19.84,0.0,0.0
2018-12-30,20.78,20.78,20.78,0.0,0.0,21.17,21.17,21.17,0.0,0.0,20.78,20.78,20.78,0.0,0.0,21.16,21.16,21.16,0.0,0.0
2019-01-06,22.39,22.39,22.39,0.0,0.0,22.5,22.5,22.5,0.0,0.0,22.39,22.39,22.39,0.0,0.0,22.48,22.48,22.48,0.0,0.0
2019-01-13,22.52,22.52,22.52,0.0,0.0,22.86,22.86,22.86,0.0,0.0,22.52,22.52,22.52,0.0,0.0,22.86,22.86,22.86,0.0,0.0
2019-01-20,23.0,23.0,23.0,0.0,0.0,23.07,23.07,23.07,0.0,0.0,22.99,22.99,22.99,0.0,0.0,23.02,23.02,23.02,0.0,0.0
2019-01-27,23.84,23.84,23.84,0.0,0.0,24.0,24.0,24.0,0.0,0.0,23.84,23.84,23.84,0.0,0.0,23.99,23.99,23.99,0.0,0.0
2019-02-03,23.34,23.34,23.34,0.0,0.0,23.4,23.4,23.4,0.0,0.0,23.05,23.05,23.05,0.0,0.0,23.4,23.4,23.4,0.0,0.0
2019-02-10,23.76,23.76,23.76,0.0,0.0,23.82,23.82,23.82,0.0,0.0,23.76,23.76,23.76,0.0,0.0,23.82,23.82,23.82,0.0,0.0
2019-02-17,23.42,23.42,23.42,0.0,0.0,23.7,23.7,23.7,0.0,0.0,23.34,23.34,23.34,0.0,0.0,23.7,23.7,23.7,0.0,0.0
2019-02-24,24.31,24.31,24.31,0.0,0.0,24.31,24.31,24.31,0.0,0.0,23.7,23.7,23.7,0.0,0.0,23.7,23.7,23.7,0.0,0.0
2019-03-03,22.6,22.6,22.6,0.0,0.0,23.09,23.09,23.09,0.0,0.0,22.6,22.6,22.6,0.0,0.0,23.09,23.09,23.09,0.0,0.0
2019-03-10,24.19,24.19,24.19,0.0,0.0,24.47,24.47,24.47,0.0,0.0,24.19,24.19,24.19,0.0,0.0,24.45,24.45,24.45,0.0,0.0
2019-03-17,24.54,24.54,24.54,0.0,0.0,24.54,24.54,24.54,0.0,0.0,23.92,23.92,23.92,0.0,0.0,23.92,23.92,23.92,0.0,0.0
2019-03-24,23.54,23.54,23.54,0.0,0.0,23.7,23.7,23.7,0.0,0.0,23.54,23.54,23.54,0.0,0.0,23.69,23.69,23.69,0.0,0.0
2019-03-31,23.51,23.51,23.51,0.0,0.0,23.51,23.51,23.51,0.0,0.0,23.51,23.51,23.51,0.0,0.0,23.51,23.51,23.51,0.0,0.0
2019-04-07,23.57,23.57,23.57,0.0,0.0,23.68,23.68,23.68,0.0,0.0,23.53,23.53,23.53,0.0,0.0,23.66,23.66,23.66,0.0,0.0
2019-04-14,23.85,23.85,23.85,0.0,0.0,23.85,23.85,23.85,0.0,0.0,23.34,23.34,23.34,0.0,0.0,23.34,23.34,23.34,0.0,0.0
2019-04-21,22.25,22.25,22.25,0.0,0.0,22.35,22.35,22.35,0.0,0.0,22.25,22.25,22.25,0.0,0.0,22.31,22.31,22.31,0.0,0.0
2019-04-28,23.92,23.92,23.92,0.0,0.0,24.25,24.25,24.25,0.0,0.0,23.92,23.92,23.92,0.0,0.0,24.19,24.19,24.19,0.0,0.0
2019-05-05,23.77,23.77,23.77,0.0,0.0,23.84,23.84,23.84,0.0,0.0,23.71,23.71,23.71,0.0,0.0,23.84,23.84,23.84,0.0,0.0
2019-05-12,24.06,24.06,24.06,0.0,0.0,24.09,24.09,24.09,0.0,0.0,23.98,23.98,23.98,0.0,0.0,23.98,23.98,23.98,0.0,0.0
2019-05-19,24.37,24.37,24.37,0.0,0.0,24.61,24.61,24.61,0.0,0.0,24.3,24.3,24.3,0.0,0.0,24.61,24.61,24.61,0.0,0.0
2019-05-26,24.09,24.09,24.09,0.0,0.0,24.13,24.13,24.13,0.0,0.0,24.09,24.09,24.09,0.0,0.0,24.13,24.13,24.13,0.0,0.0
2019-06-02,25.1,25.1,25.1,0.0,0.0,25.1,25.1,25.1,0.0,0.0,25.07,25.07,25.07,0.0,0.0,25.07,25.07,25.07,0.0,0.0
2019-06-09,26.99,26.99,26.99,0.0,0.0,26.99,26.99,26.99,0.0,0.0,26.83,26.83,26.83,0.0,0.0,26.83,26.83,26.83,0.0,0.0
2019-06-16,27.42,27.42,27.42,0.0,0.0,27.5,27.5,27.5,0.0,0.0,27.37,27.37,27.37,0.0,0.0,27.49,27.49,27.49,0.0,0.0
2019-06-23,27.66,27.66,27.66,0.0,0.0,27.66,27.66,27.66,0.0,0.0,27.66,27.66,27.66,0.0,0.0,27.66,27.66,27.66,0.0,0.0
2019-06-30,27.9,27.9,27.9,0.0,0.0,28.21,28.21,28.21,0.0,0.0,27.9,27.9,27.9,0.0,0.0,28.18,28.18,28.18,0.0,0.0
2019-07-07,28.74,28.74,28.74,0.0,0.0,29.0,29.0,29.0,0.0,0.0,28.74,28.74,28.74,0.0,0.0,28.99,28.99,28.99,0.0,0.0
2019-07-14,28.26,28.26,28.26,0.0,0.0,28.26,28.26,28.26,0.0,0.0,27.77,27.77,27.77,0.0,0.0,27.77,27.77,27.77,0.0,0.0
2019-07-21,27.72,27.72,27.72,0.0,0.0,28.37,28.37,28.37,0.0,0.0,27.72,27.72,27.72,0.0,0.0,28.37,28.37,28.37,0.0,0.0
2019-07-28,27.13,27.13,27.13,0.0,0.0,27.25,27.25,27.25,0.0,0.0,26.83,26.83,26.83,0.0,0.0,27.2,27.2,27.2,0.0,0.0
2019-08-04,27.38,27.38,27.38,0.0,0.0,28.45,28.45,28.45,0.0,0.0,27.38,27.38,27.38,0.0,0.0,28.45,28.45,28.45,0.0,0.0
2019-08-11,21.58,21.58,21.58,0.0,0.0,21.73,21.73,21.73,0.0,0.0,21.46,21.46,21.46,0.0,0.0,21.55,21.55,21.55,0.0,0.0
2019-08-18,21.02,21.02,21.02,0.0,0.0,21.04,21.04,21.04,0.0,0.0,20.53,20.53,20.53,0.0,0.0,20.53,20.53,20.53,0.0,0.0
2019-08-25,19.74,19.74,19.74,0.0,0.0,19.74,19.74,19.74,0.0,0.0,19.34,19.34,19.34,0.0,0.0,19.34,19.34,19.34,0.0,0.0
2019-09-01,20.24,20.24,20.24,0.0,0.0,20.34,20.34,20.34,0.0,0.0,19.91,19.91,19.91,0.0,0.0,19.91,19.91,19.91,0.0,0.0
2019-09-08,19.75,19.75,19.75,0.0,0.0,19.75,19.75,19.75,0.0,0.0,19.38,19.38,19.38,0.0,0.0,19.38,19.38,19.38,0.0,0.0
2019-09-15,19.77,19.77,19.77,0.0,0.0,19.77,19.77,19.77,0.0,0.0,19.59,19.59,19.59,0.0,0.0,19.67,19.67,19.67,0.0,0.0
2019-09-22,19.72,19.72,19.72,0.0,0.0,19.72,19.72,19.72,0.0,0.0,19.58,19.58,19.58,0.0,0.0,19.58,19.58,19.58,0.0,0.0
2019-09-29,19.61,19.61,19.61,0.0,0.0,19.89,19.89,19.89,0.0,0.0,19.61,19.61,19.61,0.0,0.0,19.89,19.89,19.89,0.0,0.0
2019-10-06,20.01,20.01,20.01,0.0,0.0,20.01,20.01,20.01,0.0,0.0,19.87,19.87,19.87,0.0,0.0,19.87,19.87,19.87,0.0,0.0
2019-10-13,19.59,19.59,19.59,0.0,0.0,19.59,19.59,19.59,0.0,0.0,19.25,19.25,19.25,0.0,0.0,19.31,19.31,19.31,0.0,0.0
2019-10-20,19.42,19.42,19.42,0.0,0.0,19.48,19.48,19.48,0.0,0.0,19.24,19.24,19.24,0.0,0.0,19.28,19.28,19.28,0.0,0.0
2019-10-27,19.11,19.11,19.11,0.0,0.0,19.11,19.11,19.11,0.0,0.0,18.65,18.65,18.65,0.0,0.0,18.74,18.74,18.74,0.0,0.0
2019-11-03,18.83,18.83,18.83,0.0,0.0,18.83,18.83,18.83,0.0,0.0,18.71,18.71,18.71,0.0,0.0,18.78,18.78,18.78,0.0,0.0
2019-11-10,19.04,19.04,19.04,0.0,0.0,19.12,19.12,19.12,0.0,0.0,19.02,19.02,19.02,0.0,0.0,19.02,19.02,19.02,0.0,0.0
2019-11-17,19.53,19.53,19.53,0.0,0.0,19.65,19.65,19.65,0.0,0.0,19.5,19.5,19.5,0.0,0.0,19.63,19.63,19.63,0.0,0.0
2019-11-24,20.37,20.37,20.37,0.0,0.0,20.52,20.52,20.52,0.0,0.0,20.3,20.3,20.3,0.0,0.0,20.3,20.3,20.3,0.0,0.0
2019-12-01,20.5,20.5,20.5,0.0,0.0,20.66,20.66,20.66,0.0,0.0,20.43,20.43,20.43,0.0,0.0,20.63,20.63,20.63,0.0,0.0
2019-12-08,21.34,21.34,21.34,0.0,0.0,21.65,21.65,21.65,0.0,0.0,21.34,21.34,21.34,0.0,0.0,21.42,21.42,21.42,0.0,0.0
2019-12-15,21.91,21.91,21.91,0.0,0.0,22.28,22.28,22.28,0.0,0.0,21.91,21.91,21.91,0.0,0.0,22.24,22.24,22.24,0.0,0.0
2019-12-22,23.85,23.85,23.85,0.0,0.0,23.85,23.85,23.85,0.0,0.0,23.25,23.25,23.25,0.0,0.0,23.25,23.25,23.25,0.0,0.0
2019-12-29,22.64,22.64,22.64,0.0,0.0,22.67,22.67,22.67,0.0,0.0,22.4,22.4,22.4,0.0,0.0,22.62,22.62,22.62,0.0,0.0
