Date,PowerShares CleantechEtf_Open_average,PowerShares CleantechEtf_Open_max,PowerShares CleantechEtf_Open_min,PowerShares CleantechEtf_Open_volatility,PowerShares CleantechEtf_Open_change,PowerShares CleantechEtf_High_average,PowerShares CleantechEtf_High_max,PowerShares CleantechEtf_High_min,PowerShares CleantechEtf_High_volatility,PowerShares CleantechEtf_High_change,PowerShares CleantechEtf_Low_average,PowerShares CleantechEtf_Low_max,PowerShares CleantechEtf_Low_min,PowerShares CleantechEtf_Low_volatility,PowerShares CleantechEtf_Low_change,PowerShares CleantechEtf_Close_average,PowerShares CleantechEtf_Close_max,PowerShares CleantechEtf_Close_min,PowerShares CleantechEtf_Close_volatility,PowerShares CleantechEtf_Close_change
2018-03-25,42.58,42.58,42.58,0.0,0.0,43.07,43.07,43.07,0.0,0.0,42.58,42.58,42.58,0.0,0.0,42.95,42.95,42.95,0.0,0.0
2018-04-01,42.52,42.52,42.52,0.0,0.0,42.62,42.62,42.62,0.0,0.0,41.94,41.94,41.94,0.0,0.0,42.08,42.08,42.08,0.0,0.0
2018-04-08,43.28,43.28,43.28,0.0,0.0,43.28,43.28,43.28,0.0,0.0,42.84,42.84,42.84,0.0,0.0,42.9,42.9,42.9,0.0,0.0
2018-04-15,43.67,43.67,43.67,0.0,0.0,43.84,43.84,43.84,0.0,0.0,43.34,43.34,43.34,0.0,0.0,43.4,43.4,43.4,0.0,0.0
2018-04-22,42.76,42.76,42.76,0.0,0.0,42.76,42.76,42.76,0.0,0.0,42.49,42.49,42.49,0.0,0.0,42.69,42.69,42.69,0.0,0.0
2018-04-29,42.27,42.27,42.27,0.0,0.0,43.0,43.0,43.0,0.0,0.0,42.27,42.27,42.27,0.0,0.0,43.0,43.0,43.0,0.0,0.0
2018-05-06,44.34,44.34,44.34,0.0,0.0,44.47,44.47,44.47,0.0,0.0,44.06,44.06,44.06,0.0,0.0,44.3,44.3,44.3,0.0,0.0
2018-05-13,44.4,44.4,44.4,0.0,0.0,44.58,44.58,44.58,0.0,0.0,44.4,44.4,44.4,0.0,0.0,44.44,44.44,44.44,0.0,0.0
2018-05-20,43.83,43.83,43.83,0.0,0.0,44.08,44.08,44.08,0.0,0.0,43.83,43.83,43.83,0.0,0.0,43.98,43.98,43.98,0.0,0.0
2018-05-27,43.83,43.83,43.83,0.0,0.0,44.05,44.05,44.05,0.0,0.0,43.8,43.8,43.8,0.0,0.0,44.02,44.02,44.02,0.0,0.0
2018-06-03,44.18,44.18,44.18,0.0,0.0,44.31,44.31,44.31,0.0,0.0,43.98,43.98,43.98,0.0,0.0,44.16,44.16,44.16,0.0,0.0
2018-06-10,44.05,44.05,44.05,0.0,0.0,44.05,44.05,44.05,0.0,0.0,43.67,43.67,43.67,0.0,0.0,44.02,44.02,44.02,0.0,0.0
2018-06-17,42.92,42.92,42.92,0.0,0.0,42.98,42.98,42.98,0.0,0.0,42.77,42.77,42.77,0.0,0.0,42.77,42.77,42.77,0.0,0.0
2018-06-24,42.09,42.09,42.09,0.0,0.0,42.36,42.36,42.36,0.0,0.0,42.08,42.08,42.08,0.0,0.0,42.12,42.12,42.12,0.0,0.0
2018-07-01,42.3,42.3,42.3,0.0,0.0,42.78,42.78,42.78,0.0,0.0,42.3,42.3,42.3,0.0,0.0,42.73,42.73,42.73,0.0,0.0
2018-07-08,42.5,42.5,42.5,0.0,0.0,43.09,43.09,43.09,0.0,0.0,42.5,42.5,42.5,0.0,0.0,43.08,43.08,43.08,0.0,0.0
2018-07-15,42.92,42.92,42.92,0.0,0.0,43.26,43.26,43.26,0.0,0.0,42.92,42.92,42.92,0.0,0.0,43.15,43.15,43.15,0.0,0.0
2018-07-22,43.59,43.59,43.59,0.0,0.0,43.65,43.65,43.65,0.0,0.0,43.17,43.17,43.17,0.0,0.0,43.37,43.37,43.37,0.0,0.0
2018-07-29,43.22,43.22,43.22,0.0,0.0,43.29,43.29,43.29,0.0,0.0,43.03,43.03,43.03,0.0,0.0,43.27,43.27,43.27,0.0,0.0
2018-08-05,42.7,42.7,42.7,0.0,0.0,42.85,42.85,42.85,0.0,0.0,42.5,42.5,42.5,0.0,0.0,42.69,42.69,42.69,0.0,0.0
2018-08-12,42.11,42.11,42.11,0.0,0.0,42.53,42.53,42.53,0.0,0.0,42.11,42.11,42.11,0.0,0.0,42.48,42.48,42.48,0.0,0.0
2018-08-19,43.7,43.7,43.7,0.0,0.0,44.0,44.0,44.0,0.0,0.0,43.7,43.7,43.7,0.0,0.0,43.99,43.99,43.99,0.0,0.0
2018-08-26,44.12,44.12,44.12,0.0,0.0,44.36,44.36,44.36,0.0,0.0,44.12,44.12,44.12,0.0,0.0,44.36,44.36,44.36,0.0,0.0
2018-09-02,43.28,43.28,43.28,0.0,0.0,43.54,43.54,43.54,0.0,0.0,43.26,43.26,43.26,0.0,0.0,43.26,43.26,43.26,0.0,0.0
2018-09-09,43.92,43.92,43.92,0.0,0.0,44.27,44.27,44.27,0.0,0.0,43.71,43.71,43.71,0.0,0.0,44.22,44.22,44.22,0.0,0.0
2018-09-16,44.3,44.3,44.3,0.0,0.0,44.5,44.5,44.5,0.0,0.0,44.12,44.12,44.12,0.0,0.0,44.27,44.27,44.27,0.0,0.0
2018-09-23,43.05,43.05,43.05,0.0,0.0,43.54,43.54,43.54,0.0,0.0,43.05,43.05,43.05,0.0,0.0,43.54,43.54,43.54,0.0,0.0
2018-09-30,41.97,41.97,41.97,0.0,0.0,41.97,41.97,41.97,0.0,0.0,41.55,41.55,41.55,0.0,0.0,41.71,41.71,41.71,0.0,0.0
2018-10-07,39.14,39.14,39.14,0.0,0.0,39.32,39.32,39.32,0.0,0.0,38.71,38.71,38.71,0.0,0.0,38.85,38.85,38.85,0.0,0.0
2018-10-14,39.19,39.19,39.19,0.0,0.0,39.26,39.26,39.26,0.0,0.0,38.93,38.93,38.93,0.0,0.0,38.99,38.99,38.99,0.0,0.0
2018-10-21,37.4,37.4,37.4,0.0,0.0,38.12,38.12,38.12,0.0,0.0,37.27,37.27,37.27,0.0,0.0,37.64,37.64,37.64,0.0,0.0
2018-10-28,40.19,40.19,40.19,0.0,0.0,40.19,40.19,40.19,0.0,0.0,39.86,39.86,39.86,0.0,0.0,39.91,39.91,39.91,0.0,0.0
2018-11-04,41.01,41.01,41.01,0.0,0.0,41.01,41.01,41.01,0.0,0.0,40.42,40.42,40.42,0.0,0.0,40.5,40.5,40.5,0.0,0.0
2018-11-11,40.01,40.01,40.01,0.0,0.0,40.32,40.32,40.32,0.0,0.0,39.88,39.88,39.88,0.0,0.0,40.22,40.22,40.22,0.0,0.0
2018-11-18,39.07,39.07,39.07,0.0,0.0,39.41,39.41,39.41,0.0,0.0,39.07,39.07,39.07,0.0,0.0,39.35,39.35,39.35,0.0,0.0
2018-11-25,40.4,40.4,40.4,0.0,0.0,40.68,40.68,40.68,0.0,0.0,40.4,40.4,40.4,0.0,0.0,40.68,40.68,40.68,0.0,0.0
2018-12-02,39.0,39.0,39.0,0.0,0.0,39.17,39.17,39.17,0.0,0.0,38.27,38.27,38.27,0.0,0.0,38.4,38.4,38.4,0.0,0.0
2018-12-09,38.11,38.11,38.11,0.0,0.0,38.35,38.35,38.35,0.0,0.0,37.8,37.8,37.8,0.0,0.0,37.82,37.82,37.82,0.0,0.0
2018-12-16,36.25,36.25,36.25,0.0,0.0,36.43,36.43,36.43,0.0,0.0,35.7,35.7,35.7,0.0,0.0,35.74,35.74,35.74,0.0,0.0
2018-12-23,36.84,36.84,36.84,0.0,0.0,36.84,36.84,36.84,0.0,0.0,36.46,36.46,36.46,0.0,0.0,36.66,36.66,36.66,0.0,0.0
2018-12-30,36.63,36.63,36.63,0.0,0.0,37.26,37.26,37.26,0.0,0.0,36.63,36.63,36.63,0.0,0.0,37.22,37.22,37.22,0.0,0.0
2019-01-06,38.59,38.59,38.59,0.0,0.0,38.88,38.88,38.88,0.0,0.0,38.59,38.59,38.59,0.0,0.0,38.83,38.83,38.83,0.0,0.0
2019-01-13,39.57,39.57,39.57,0.0,0.0,39.8,39.8,39.8,0.0,0.0,39.57,39.57,39.57,0.0,0.0,39.78,39.78,39.78,0.0,0.0
2019-01-20,39.81,39.81,39.81,0.0,0.0,40.26,40.26,40.26,0.0,0.0,39.81,39.81,39.81,0.0,0.0,40.14,40.14,40.14,0.0,0.0
2019-01-27,40.68,40.68,40.68,0.0,0.0,40.95,40.95,40.95,0.0,0.0,40.63,40.63,40.63,0.0,0.0,40.81,40.81,40.81,0.0,0.0
2019-02-03,40.28,40.28,40.28,0.0,0.0,40.42,40.42,40.42,0.0,0.0,40.23,40.23,40.23,0.0,0.0,40.4,40.4,40.4,0.0,0.0
2019-02-10,41.95,41.95,41.95,0.0,0.0,42.14,42.14,42.14,0.0,0.0,41.91,41.91,41.91,0.0,0.0,42.14,42.14,42.14,0.0,0.0
2019-02-17,42.6,42.6,42.6,0.0,0.0,42.77,42.77,42.77,0.0,0.0,42.6,42.6,42.6,0.0,0.0,42.72,42.72,42.72,0.0,0.0
2019-02-24,42.87,42.87,42.87,0.0,0.0,43.09,43.09,43.09,0.0,0.0,42.7,42.7,42.7,0.0,0.0,42.71,42.71,42.71,0.0,0.0
2019-03-03,41.2,41.2,41.2,0.0,0.0,41.46,41.46,41.46,0.0,0.0,41.08,41.08,41.08,0.0,0.0,41.35,41.35,41.35,0.0,0.0
2019-03-10,42.14,42.14,42.14,0.0,0.0,42.49,42.49,42.49,0.0,0.0,42.14,42.14,42.14,0.0,0.0,42.26,42.26,42.26,0.0,0.0
2019-03-17,42.29,42.29,42.29,0.0,0.0,42.29,42.29,42.29,0.0,0.0,41.5,41.5,41.5,0.0,0.0,41.51,41.51,41.51,0.0,0.0
2019-03-24,42.13,42.13,42.13,0.0,0.0,42.33,42.33,42.33,0.0,0.0,42.01,42.01,42.01,0.0,0.0,42.15,42.15,42.15,0.0,0.0
2019-03-31,43.61,43.61,43.61,0.0,0.0,43.91,43.91,43.91,0.0,0.0,43.61,43.61,43.61,0.0,0.0,43.85,43.85,43.85,0.0,0.0
2019-04-07,44.1,44.1,44.1,0.0,0.0,44.21,44.21,44.21,0.0,0.0,44.1,44.1,44.1,0.0,0.0,44.21,44.21,44.21,0.0,0.0
2019-04-14,44.92,44.92,44.92,0.0,0.0,45.11,45.11,45.11,0.0,0.0,44.92,44.92,44.92,0.0,0.0,45.05,45.05,45.05,0.0,0.0
2019-04-21,44.57,44.57,44.57,0.0,0.0,44.78,44.78,44.78,0.0,0.0,44.4,44.4,44.4,0.0,0.0,44.77,44.77,44.77,0.0,0.0
2019-04-28,45.04,45.04,45.04,0.0,0.0,45.5,45.5,45.5,0.0,0.0,44.88,44.88,44.88,0.0,0.0,45.33,45.33,45.33,0.0,0.0
2019-05-05,43.9,43.9,43.9,0.0,0.0,44.29,44.29,44.29,0.0,0.0,43.44,43.44,43.44,0.0,0.0,44.11,44.11,44.11,0.0,0.0
2019-05-12,43.28,43.28,43.28,0.0,0.0,43.48,43.48,43.48,0.0,0.0,43.07,43.07,43.07,0.0,0.0,43.07,43.07,43.07,0.0,0.0
2019-05-19,42.84,42.84,42.84,0.0,0.0,42.89,42.89,42.89,0.0,0.0,42.6,42.6,42.6,0.0,0.0,42.71,42.71,42.71,0.0,0.0
2019-05-26,42.1,42.1,42.1,0.0,0.0,42.29,42.29,42.29,0.0,0.0,41.94,41.94,41.94,0.0,0.0,41.99,41.99,41.99,0.0,0.0
2019-06-02,43.49,43.49,43.49,0.0,0.0,44.0,44.0,44.0,0.0,0.0,43.49,43.49,43.49,0.0,0.0,43.76,43.76,43.76,0.0,0.0
2019-06-09,44.19,44.19,44.19,0.0,0.0,44.19,44.19,44.19,0.0,0.0,43.66,43.66,43.66,0.0,0.0,43.75,43.75,43.75,0.0,0.0
2019-06-16,45.21,45.21,45.21,0.0,0.0,45.46,45.46,45.46,0.0,0.0,45.12,45.12,45.12,0.0,0.0,45.28,45.28,45.28,0.0,0.0
2019-06-23,45.28,45.28,45.28,0.0,0.0,45.74,45.74,45.74,0.0,0.0,45.28,45.28,45.28,0.0,0.0,45.59,45.59,45.59,0.0,0.0
2019-06-30,45.36,45.36,45.36,0.0,0.0,45.81,45.81,45.81,0.0,0.0,45.1,45.1,45.1,0.0,0.0,45.6,45.6,45.6,0.0,0.0
2019-07-07,44.73,44.73,44.73,0.0,0.0,45.36,45.36,45.36,0.0,0.0,44.73,44.73,44.73,0.0,0.0,45.19,45.19,45.19,0.0,0.0
2019-07-14,44.82,44.82,44.82,0.0,0.0,45.05,45.05,45.05,0.0,0.0,44.79,44.79,44.79,0.0,0.0,44.85,44.85,44.85,0.0,0.0
2019-07-21,45.5,45.5,45.5,0.0,0.0,45.65,45.65,45.65,0.0,0.0,45.38,45.38,45.38,0.0,0.0,45.39,45.39,45.39,0.0,0.0
2019-07-28,43.44,43.44,43.44,0.0,0.0,43.6,43.6,43.6,0.0,0.0,43.24,43.24,43.24,0.0,0.0,43.45,43.45,43.45,0.0,0.0
2019-08-04,43.72,43.72,43.72,0.0,0.0,43.72,43.72,43.72,0.0,0.0,43.23,43.23,43.23,0.0,0.0,43.26,43.26,43.26,0.0,0.0
2019-08-11,41.82,41.82,41.82,0.0,0.0,42.46,42.46,42.46,0.0,0.0,41.82,41.82,41.82,0.0,0.0,42.41,42.41,42.41,0.0,0.0
2019-08-18,42.24,42.24,42.24,0.0,0.0,42.24,42.24,42.24,0.0,0.0,41.35,41.35,41.35,0.0,0.0,41.37,41.37,41.37,0.0,0.0
2019-08-25,42.57,42.57,42.57,0.0,0.0,42.57,42.57,42.57,0.0,0.0,42.45,42.45,42.45,0.0,0.0,42.48,42.48,42.48,0.0,0.0
2019-09-01,43.49,43.49,43.49,0.0,0.0,43.64,43.64,43.64,0.0,0.0,43.48,43.48,43.48,0.0,0.0,43.52,43.52,43.52,0.0,0.0
2019-09-08,45.13,45.13,45.13,0.0,0.0,45.65,45.65,45.65,0.0,0.0,45.13,45.13,45.13,0.0,0.0,45.22,45.22,45.22,0.0,0.0
2019-09-15,45.5,45.5,45.5,0.0,0.0,45.5,45.5,45.5,0.0,0.0,45.03,45.03,45.03,0.0,0.0,45.17,45.17,45.17,0.0,0.0
2019-09-22,44.92,44.92,44.92,0.0,0.0,44.92,44.92,44.92,0.0,0.0,44.32,44.32,44.32,0.0,0.0,44.41,44.41,44.41,0.0,0.0
2019-09-29,43.51,43.51,43.51,0.0,0.0,43.97,43.97,43.97,0.0,0.0,43.51,43.51,43.51,0.0,0.0,43.85,43.85,43.85,0.0,0.0
2019-10-06,44.0,44.0,44.0,0.0,0.0,44.96,44.96,44.96,0.0,0.0,44.0,44.0,44.0,0.0,0.0,44.48,44.48,44.48,0.0,0.0
2019-10-13,44.54,44.54,44.54,0.0,0.0,44.87,44.87,44.87,0.0,0.0,44.5,44.5,44.5,0.0,0.0,44.6,44.6,44.6,0.0,0.0
2019-10-20,45.48,45.48,45.48,0.0,0.0,45.83,45.83,45.83,0.0,0.0,45.48,45.48,45.48,0.0,0.0,45.73,45.73,45.73,0.0,0.0
2019-10-27,46.14,46.14,46.14,0.0,0.0,46.72,46.72,46.72,0.0,0.0,46.14,46.14,46.14,0.0,0.0,46.56,46.56,46.56,0.0,0.0
2019-11-03,46.56,46.56,46.56,0.0,0.0,47.01,47.01,47.01,0.0,0.0,46.56,46.56,46.56,0.0,0.0,46.78,46.78,46.78,0.0,0.0
2019-11-10,47.22,47.22,47.22,0.0,0.0,47.38,47.38,47.38,0.0,0.0,46.99,46.99,46.99,0.0,0.0,47.2,47.2,47.2,0.0,0.0
2019-11-17,47.25,47.25,47.25,0.0,0.0,47.25,47.25,47.25,0.0,0.0,46.5,46.5,46.5,0.0,0.0,46.72,46.72,46.72,0.0,0.0
2019-11-24,47.81,47.81,47.81,0.0,0.0,48.01,48.01,48.01,0.0,0.0,47.68,47.68,47.68,0.0,0.0,47.68,47.68,47.68,0.0,0.0
2019-12-01,48.2,48.2,48.2,0.0,0.0,48.77,48.77,48.77,0.0,0.0,48.2,48.2,48.2,0.0,0.0,48.3,48.3,48.3,0.0,0.0
2019-12-08,49.22,49.22,49.22,0.0,0.0,49.58,49.58,49.58,0.0,0.0,49.1,49.1,49.1,0.0,0.0,49.24,49.24,49.24,0.0,0.0
2019-12-15,49.76,49.76,49.76,0.0,0.0,50.15,50.15,50.15,0.0,0.0,49.71,49.71,49.71,0.0,0.0,49.9,49.9,49.9,0.0,0.0
2019-12-22,50.16,50.16,50.16,0.0,0.0,50.5,50.5,50.5,0.0,0.0,49.98,49.98,49.98,0.0,0.0,50.13,50.13,50.13,0.0,0.0
2019-12-29,49.64,49.64,49.64,0.0,0.0,50.03,50.03,50.03,0.0,0.0,49.64,49.64,49.64,0.0,0.0,49.91,49.91,49.91,0.0,0.0
