Date,iShares US Consumer ServicesEtf_Open_average,iShares US Consumer ServicesEtf_Open_max,iShares US Consumer ServicesEtf_Open_min,iShares US Consumer ServicesEtf_Open_volatility,iShares US Consumer ServicesEtf_Open_change,iShares US Consumer ServicesEtf_High_average,iShares US Consumer ServicesEtf_High_max,iShares US Consumer ServicesEtf_High_min,iShares US Consumer ServicesEtf_High_volatility,iShares US Consumer ServicesEtf_High_change,iShares US Consumer ServicesEtf_Low_average,iShares US Consumer ServicesEtf_Low_max,iShares US Consumer ServicesEtf_Low_min,iShares US Consumer ServicesEtf_Low_volatility,iShares US Consumer ServicesEtf_Low_change,iShares US Consumer ServicesEtf_Close_average,iShares US Consumer ServicesEtf_Close_max,iShares US Consumer ServicesEtf_Close_min,iShares US Consumer ServicesEtf_Close_volatility,iShares US Consumer ServicesEtf_Close_change
2018-07-08,199.57,199.57,199.57,0.0,0.0,200.5,200.5,200.5,0.0,0.0,199.53,199.53,199.53,0.0,0.0,200.35,200.35,200.35,0.0,0.0
2018-07-15,200.27,200.27,200.27,0.0,0.0,200.47,200.47,200.47,0.0,0.0,199.55,199.55,199.55,0.0,0.0,199.55,199.55,199.55,0.0,0.0
2018-07-22,202.28,202.28,202.28,0.0,0.0,202.8,202.8,202.8,0.0,0.0,198.62,198.62,198.62,0.0,0.0,199.9,199.9,199.9,0.0,0.0
2018-07-29,199.33,199.33,199.33,0.0,0.0,199.76,199.76,199.76,0.0,0.0,199.05,199.05,199.05,0.0,0.0,199.55,199.55,199.55,0.0,0.0
2018-08-05,201.53,201.53,201.53,0.0,0.0,202.18,202.18,202.18,0.0,0.0,201.0,201.0,201.0,0.0,0.0,201.35,201.35,201.35,0.0,0.0
2018-08-12,201.93,201.93,201.93,0.0,0.0,202.9,202.9,202.9,0.0,0.0,201.39,201.39,201.39,0.0,0.0,202.61,202.61,202.61,0.0,0.0
2018-08-19,205.58,205.58,205.58,0.0,0.0,206.64,206.64,206.64,0.0,0.0,205.58,205.58,205.58,0.0,0.0,206.28,206.28,206.28,0.0,0.0
2018-08-26,209.05,209.05,209.05,0.0,0.0,210.15,210.15,210.15,0.0,0.0,209.05,209.05,209.05,0.0,0.0,210.08,210.08,210.08,0.0,0.0
2018-09-02,206.86,206.86,206.86,0.0,0.0,209.42,209.42,209.42,0.0,0.0,206.86,206.86,206.86,0.0,0.0,208.27,208.27,208.27,0.0,0.0
2018-09-09,210.99,210.99,210.99,0.0,0.0,210.99,210.99,210.99,0.0,0.0,209.3,209.3,209.3,0.0,0.0,209.86,209.86,209.86,0.0,0.0
2018-09-16,212.06,212.06,212.06,0.0,0.0,212.06,212.06,212.06,0.0,0.0,210.45,210.45,210.45,0.0,0.0,210.63,210.63,210.63,0.0,0.0
2018-09-23,211.59,211.59,211.59,0.0,0.0,212.52,212.52,212.52,0.0,0.0,211.54,211.54,211.54,0.0,0.0,211.74,211.74,211.74,0.0,0.0
2018-09-30,205.82,205.82,205.82,0.0,0.0,206.3,206.3,206.3,0.0,0.0,202.05,202.05,202.05,0.0,0.0,203.46,203.46,203.46,0.0,0.0
2018-10-07,198.29,198.29,198.29,0.0,0.0,198.71,198.71,198.71,0.0,0.0,195.54,195.54,195.54,0.0,0.0,198.69,198.69,198.69,0.0,0.0
2018-10-14,200.05,200.05,200.05,0.0,0.0,201.39,201.39,201.39,0.0,0.0,198.31,198.31,198.31,0.0,0.0,198.78,198.78,198.78,0.0,0.0
2018-10-21,192.43,192.43,192.43,0.0,0.0,193.97,193.97,193.97,0.0,0.0,189.33,189.33,189.33,0.0,0.0,190.96,190.96,190.96,0.0,0.0
2018-10-28,199.85,199.85,199.85,0.0,0.0,200.87,200.87,200.87,0.0,0.0,196.94,196.94,196.94,0.0,0.0,198.47,198.47,198.47,0.0,0.0
2018-11-04,204.28,204.28,204.28,0.0,0.0,204.67,204.67,204.67,0.0,0.0,201.86,201.86,201.86,0.0,0.0,203.1,203.1,203.1,0.0,0.0
2018-11-11,196.08,196.08,196.08,0.0,0.0,197.32,197.32,197.32,0.0,0.0,195.33,195.33,195.33,0.0,0.0,196.61,196.61,196.61,0.0,0.0
2018-11-18,188.05,188.05,188.05,0.0,0.0,189.54,189.54,189.54,0.0,0.0,188.05,188.05,188.05,0.0,0.0,188.74,188.74,188.74,0.0,0.0
2018-11-25,199.01,199.01,199.01,0.0,0.0,199.72,199.72,199.72,0.0,0.0,198.5,198.5,198.5,0.0,0.0,199.42,199.42,199.42,0.0,0.0
2018-12-02,196.26,196.26,196.26,0.0,0.0,197.3,197.3,197.3,0.0,0.0,190.54,190.54,190.54,0.0,0.0,190.95,190.95,190.95,0.0,0.0
2018-12-09,189.85,189.85,189.85,0.0,0.0,191.38,191.38,191.38,0.0,0.0,187.63,187.63,187.63,0.0,0.0,188.15,188.15,188.15,0.0,0.0
2018-12-16,176.94,176.94,176.94,0.0,0.0,178.7,178.7,178.7,0.0,0.0,171.14,171.14,171.14,0.0,0.0,171.66,171.66,171.66,0.0,0.0
2018-12-23,179.34,179.34,179.34,0.0,0.0,181.38,181.38,181.38,0.0,0.0,177.23,177.23,177.23,0.0,0.0,178.68,178.68,178.68,0.0,0.0
2018-12-30,181.77,181.77,181.77,0.0,0.0,186.23,186.23,186.23,0.0,0.0,181.7,181.7,181.7,0.0,0.0,185.15,185.15,185.15,0.0,0.0
2019-01-06,190.28,190.28,190.28,0.0,0.0,191.15,191.15,191.15,0.0,0.0,190.04,190.04,190.04,0.0,0.0,190.96,190.96,190.96,0.0,0.0
2019-01-13,194.35,194.35,194.35,0.0,0.0,195.1,195.1,195.1,0.0,0.0,193.36,193.36,193.36,0.0,0.0,194.34,194.34,194.34,0.0,0.0
2019-01-20,194.17,194.17,194.17,0.0,0.0,194.37,194.37,194.37,0.0,0.0,193.45,193.45,193.45,0.0,0.0,193.79,193.79,193.79,0.0,0.0
2019-01-27,195.37,195.37,195.37,0.0,0.0,196.17,196.17,196.17,0.0,0.0,194.4,194.4,194.4,0.0,0.0,194.7,194.7,194.7,0.0,0.0
2019-02-03,194.6,194.6,194.6,0.0,0.0,195.08,195.08,195.08,0.0,0.0,193.66,193.66,193.66,0.0,0.0,195.08,195.08,195.08,0.0,0.0
2019-02-10,199.32,199.32,199.32,0.0,0.0,200.04,200.04,200.04,0.0,0.0,199.11,199.11,199.11,0.0,0.0,199.66,199.66,199.66,0.0,0.0
2019-02-17,200.69,200.69,200.69,0.0,0.0,201.39,201.39,201.39,0.0,0.0,200.69,200.69,200.69,0.0,0.0,201.31,201.31,201.31,0.0,0.0
2019-02-24,201.42,201.42,201.42,0.0,0.0,201.61,201.61,201.61,0.0,0.0,200.36,200.36,200.36,0.0,0.0,201.11,201.11,201.11,0.0,0.0
2019-03-03,195.79,195.79,195.79,0.0,0.0,196.46,196.46,196.46,0.0,0.0,195.0,195.0,195.0,0.0,0.0,196.46,196.46,196.46,0.0,0.0
2019-03-10,201.21,201.21,201.21,0.0,0.0,201.84,201.84,201.84,0.0,0.0,200.53,200.53,200.53,0.0,0.0,201.58,201.58,201.58,0.0,0.0
2019-03-17,204.69,204.69,204.69,0.0,0.0,204.69,204.69,204.69,0.0,0.0,201.79,201.79,201.79,0.0,0.0,201.79,201.79,201.79,0.0,0.0
2019-03-24,204.38,204.38,204.38,0.0,0.0,204.69,204.69,204.69,0.0,0.0,203.84,203.84,203.84,0.0,0.0,204.31,204.31,204.31,0.0,0.0
2019-03-31,209.16,209.16,209.16,0.0,0.0,210.13,210.13,210.13,0.0,0.0,209.16,209.16,209.16,0.0,0.0,209.98,209.98,209.98,0.0,0.0
2019-04-07,212.32,212.32,212.32,0.0,0.0,212.62,212.62,212.62,0.0,0.0,212.08,212.08,212.08,0.0,0.0,212.48,212.48,212.48,0.0,0.0
2019-04-14,214.89,214.89,214.89,0.0,0.0,214.89,214.89,214.89,0.0,0.0,213.75,213.75,213.75,0.0,0.0,214.59,214.59,214.59,0.0,0.0
2019-04-21,216.71,216.71,216.71,0.0,0.0,217.78,217.78,217.78,0.0,0.0,216.06,216.06,216.06,0.0,0.0,217.78,217.78,217.78,0.0,0.0
2019-04-28,216.98,216.98,216.98,0.0,0.0,218.21,218.21,218.21,0.0,0.0,216.69,216.69,216.69,0.0,0.0,217.92,217.92,217.92,0.0,0.0
2019-05-05,212.74,212.74,212.74,0.0,0.0,214.5,214.5,214.5,0.0,0.0,209.81,209.81,209.81,0.0,0.0,213.79,213.79,213.79,0.0,0.0
2019-05-12,211.17,211.17,211.17,0.0,0.0,213.96,213.96,213.96,0.0,0.0,211.17,211.17,211.17,0.0,0.0,211.87,211.87,211.87,0.0,0.0
2019-05-19,209.1,209.1,209.1,0.0,0.0,209.1,209.1,209.1,0.0,0.0,208.04,208.04,208.04,0.0,0.0,208.18,208.18,208.18,0.0,0.0
2019-05-26,204.24,204.24,204.24,0.0,0.0,205.02,205.02,205.02,0.0,0.0,203.76,203.76,203.76,0.0,0.0,204.11,204.11,204.11,0.0,0.0
2019-06-02,209.8,209.8,209.8,0.0,0.0,212.24,212.24,212.24,0.0,0.0,209.8,209.8,209.8,0.0,0.0,211.71,211.71,211.71,0.0,0.0
2019-06-09,215.48,215.48,215.48,0.0,0.0,216.03,216.03,216.03,0.0,0.0,215.13,215.13,215.13,0.0,0.0,215.67,215.67,215.67,0.0,0.0
2019-06-16,218.64,218.64,218.64,0.0,0.0,219.51,219.51,219.51,0.0,0.0,218.19,218.19,218.19,0.0,0.0,218.19,218.19,218.19,0.0,0.0
2019-06-23,217.19,217.19,217.19,0.0,0.0,217.88,217.88,217.88,0.0,0.0,217.08,217.08,217.08,0.0,0.0,217.72,217.72,217.72,0.0,0.0
2019-06-30,221.63,221.63,221.63,0.0,0.0,223.05,223.05,223.05,0.0,0.0,221.17,221.17,221.17,0.0,0.0,222.82,222.82,222.82,0.0,0.0
2019-07-07,225.07,225.07,225.07,0.0,0.0,226.59,226.59,226.59,0.0,0.0,225.07,225.07,225.07,0.0,0.0,226.56,226.56,226.56,0.0,0.0
2019-07-14,224.7,224.7,224.7,0.0,0.0,224.7,224.7,224.7,0.0,0.0,221.7,221.7,221.7,0.0,0.0,221.81,221.81,221.81,0.0,0.0
2019-07-21,223.59,223.59,223.59,0.0,0.0,225.14,225.14,225.14,0.0,0.0,223.54,223.54,223.54,0.0,0.0,225.07,225.07,225.07,0.0,0.0
2019-07-28,217.13,217.13,217.13,0.0,0.0,217.37,217.37,217.37,0.0,0.0,215.33,215.33,215.33,0.0,0.0,216.42,216.42,216.42,0.0,0.0
2019-08-04,216.59,216.59,216.59,0.0,0.0,217.05,217.05,217.05,0.0,0.0,214.67,214.67,214.67,0.0,0.0,215.91,215.91,215.91,0.0,0.0
2019-08-11,211.48,211.48,211.48,0.0,0.0,213.17,213.17,213.17,0.0,0.0,211.48,211.48,211.48,0.0,0.0,212.92,212.92,212.92,0.0,0.0
2019-08-18,216.31,216.31,216.31,0.0,0.0,217.18,217.18,217.18,0.0,0.0,211.46,211.46,211.46,0.0,0.0,212.29,212.29,212.29,0.0,0.0
2019-08-25,220.03,220.03,220.03,0.0,0.0,220.5,220.5,220.5,0.0,0.0,218.0,218.0,218.0,0.0,0.0,218.58,218.58,218.58,0.0,0.0
2019-09-01,223.05,223.05,223.05,0.0,0.0,223.6,223.6,223.6,0.0,0.0,222.68,222.68,222.68,0.0,0.0,223.06,223.06,223.06,0.0,0.0
2019-09-08,224.86,224.86,224.86,0.0,0.0,225.47,225.47,225.47,0.0,0.0,224.42,224.42,224.42,0.0,0.0,224.45,224.45,224.45,0.0,0.0
2019-09-15,221.73,221.73,221.73,0.0,0.0,221.88,221.88,221.88,0.0,0.0,219.28,219.28,219.28,0.0,0.0,219.28,219.28,219.28,0.0,0.0
2019-09-22,217.53,217.53,217.53,0.0,0.0,217.53,217.53,217.53,0.0,0.0,215.13,215.13,215.13,0.0,0.0,215.78,215.78,215.78,0.0,0.0
2019-09-29,213.62,213.62,213.62,0.0,0.0,215.68,215.68,215.68,0.0,0.0,213.62,213.62,213.62,0.0,0.0,215.6,215.6,215.6,0.0,0.0
2019-10-06,218.12,218.12,218.12,0.0,0.0,219.82,219.82,219.82,0.0,0.0,217.96,217.96,217.96,0.0,0.0,218.13,218.13,218.13,0.0,0.0
2019-10-13,220.94,220.94,220.94,0.0,0.0,221.25,221.25,221.25,0.0,0.0,219.52,219.52,219.52,0.0,0.0,220.11,220.11,220.11,0.0,0.0
2019-10-20,218.02,218.02,218.02,0.0,0.0,220.79,220.79,220.79,0.0,0.0,218.02,218.02,218.02,0.0,0.0,220.33,220.33,220.33,0.0,0.0
2019-10-27,220.86,220.86,220.86,0.0,0.0,221.07,221.07,221.07,0.0,0.0,220.3,220.3,220.3,0.0,0.0,220.89,220.89,220.89,0.0,0.0
2019-11-03,222.12,222.12,222.12,0.0,0.0,222.12,222.12,222.12,0.0,0.0,221.12,221.12,221.12,0.0,0.0,221.7,221.7,221.7,0.0,0.0
2019-11-10,224.5,224.5,224.5,0.0,0.0,224.5,224.5,224.5,0.0,0.0,222.95,222.95,222.95,0.0,0.0,223.11,223.11,223.11,0.0,0.0
2019-11-17,222.32,222.32,222.32,0.0,0.0,222.8,222.8,222.8,0.0,0.0,221.68,221.68,221.68,0.0,0.0,222.8,222.8,222.8,0.0,0.0
2019-11-24,226.79,226.79,226.79,0.0,0.0,226.79,226.79,226.79,0.0,0.0,225.47,225.47,225.47,0.0,0.0,225.56,225.56,225.56,0.0,0.0
2019-12-01,223.34,223.34,223.34,0.0,0.0,224.1,224.1,224.1,0.0,0.0,223.34,223.34,223.34,0.0,0.0,223.74,223.74,223.74,0.0,0.0
2019-12-08,224.75,224.75,224.75,0.0,0.0,225.17,225.17,225.17,0.0,0.0,224.03,224.03,224.03,0.0,0.0,224.86,224.86,224.86,0.0,0.0
2019-12-15,228.05,228.05,228.05,0.0,0.0,228.55,228.55,228.55,0.0,0.0,228.05,228.05,228.05,0.0,0.0,228.34,228.34,228.34,0.0,0.0
2019-12-22,230.19,230.19,230.19,0.0,0.0,230.25,230.25,230.25,0.0,0.0,229.22,229.22,229.22,0.0,0.0,229.65,229.65,229.65,0.0,0.0
2019-12-29,228.29,228.29,228.29,0.0,0.0,229.57,229.57,229.57,0.0,0.0,228.06,228.06,228.06,0.0,0.0,229.15,229.15,229.15,0.0,0.0
