Date,ProShares Short VIX Short-Term Futures_Open_average,ProShares Short VIX Short-Term Futures_Open_max,ProShares Short VIX Short-Term Futures_Open_min,ProShares Short VIX Short-Term Futures_Open_volatility,ProShares Short VIX Short-Term Futures_Open_change,ProShares Short VIX Short-Term Futures_High_average,ProShares Short VIX Short-Term Futures_High_max,ProShares Short VIX Short-Term Futures_High_min,ProShares Short VIX Short-Term Futures_High_volatility,ProShares Short VIX Short-Term Futures_High_change,ProShares Short VIX Short-Term Futures_Low_average,ProShares Short VIX Short-Term Futures_Low_max,ProShares Short VIX Short-Term Futures_Low_min,ProShares Short VIX Short-Term Futures_Low_volatility,ProShares Short VIX Short-Term Futures_Low_change,ProShares Short VIX Short-Term Futures_Close_average,ProShares Short VIX Short-Term Futures_Close_max,ProShares Short VIX Short-Term Futures_Close_min,ProShares Short VIX Short-Term Futures_Close_volatility,ProShares Short VIX Short-Term Futures_Close_change
2018-03-25,46.04,46.04,46.04,0.0,0.0,46.32,46.32,46.32,0.0,0.0,43.6,43.6,43.6,0.0,0.0,44.6,44.6,44.6,0.0,0.0
2018-04-01,45.68,45.68,45.68,0.0,0.0,46.08,46.08,46.08,0.0,0.0,45.16,45.16,45.16,0.0,0.0,45.24,45.24,45.24,0.0,0.0
2018-04-08,48.04,48.04,48.04,0.0,0.0,48.8,48.8,48.8,0.0,0.0,48.0,48.0,48.0,0.0,0.0,48.64,48.64,48.64,0.0,0.0
2018-04-15,49.16,49.16,49.16,0.0,0.0,49.8,49.8,49.8,0.0,0.0,48.68,48.68,48.68,0.0,0.0,49.2,49.2,49.2,0.0,0.0
2018-04-22,49.64,49.64,49.64,0.0,0.0,50.12,50.12,50.12,0.0,0.0,49.21,49.21,49.21,0.0,0.0,49.32,49.32,49.32,0.0,0.0
2018-04-29,50.36,50.36,50.36,0.0,0.0,50.59,50.59,50.59,0.0,0.0,50.04,50.04,50.04,0.0,0.0,50.28,50.28,50.28,0.0,0.0
2018-05-06,53.32,53.32,53.32,0.0,0.0,54.02,54.02,54.02,0.0,0.0,53.28,53.28,53.28,0.0,0.0,53.92,53.92,53.92,0.0,0.0
2018-05-13,54.2,54.2,54.2,0.0,0.0,54.68,54.68,54.68,0.0,0.0,53.8,53.8,53.8,0.0,0.0,54.04,54.04,54.04,0.0,0.0
2018-05-20,54.0,54.0,54.0,0.0,0.0,54.6,54.6,54.6,0.0,0.0,53.76,53.76,53.76,0.0,0.0,54.0,54.0,54.0,0.0,0.0
2018-05-27,53.32,53.32,53.32,0.0,0.0,53.96,53.96,53.96,0.0,0.0,53.24,53.24,53.24,0.0,0.0,53.96,53.96,53.96,0.0,0.0
2018-06-03,54.88,54.88,54.88,0.0,0.0,55.56,55.56,55.56,0.0,0.0,54.8,54.8,54.8,0.0,0.0,55.44,55.44,55.44,0.0,0.0
2018-06-10,54.92,54.92,54.92,0.0,0.0,56.16,56.16,56.16,0.0,0.0,54.48,54.48,54.48,0.0,0.0,56.16,56.16,56.16,0.0,0.0
2018-06-17,53.4,53.4,53.4,0.0,0.0,53.4,53.4,53.4,0.0,0.0,48.89,48.89,48.89,0.0,0.0,50.32,50.32,50.32,0.0,0.0
2018-06-24,49.76,49.76,49.76,0.0,0.0,50.96,50.96,50.96,0.0,0.0,49.44,49.44,49.44,0.0,0.0,50.88,50.88,50.88,0.0,0.0
2018-07-01,53.68,53.68,53.68,0.0,0.0,54.48,54.48,54.48,0.0,0.0,53.6,53.6,53.6,0.0,0.0,54.28,54.28,54.28,0.0,0.0
2018-07-08,55.28,55.28,55.28,0.0,0.0,55.48,55.48,55.48,0.0,0.0,54.76,54.76,54.76,0.0,0.0,55.24,55.24,55.24,0.0,0.0
2018-07-15,55.12,55.12,55.12,0.0,0.0,55.55,55.55,55.55,0.0,0.0,54.74,54.74,54.74,0.0,0.0,55.24,55.24,55.24,0.0,0.0
2018-07-22,55.28,55.28,55.28,0.0,0.0,55.32,55.32,55.32,0.0,0.0,53.92,53.92,53.92,0.0,0.0,54.2,54.2,54.2,0.0,0.0
2018-07-29,56.16,56.16,56.16,0.0,0.0,57.08,57.08,57.08,0.0,0.0,56.04,56.04,56.04,0.0,0.0,56.96,56.96,56.96,0.0,0.0
2018-08-05,55.88,55.88,55.88,0.0,0.0,56.84,56.84,56.84,0.0,0.0,54.48,54.48,54.48,0.0,0.0,54.52,54.52,54.52,0.0,0.0
2018-08-12,57.04,57.04,57.04,0.0,0.0,57.2,57.2,57.2,0.0,0.0,56.76,56.76,56.76,0.0,0.0,56.96,56.96,56.96,0.0,0.0
2018-08-19,57.48,57.48,57.48,0.0,0.0,57.48,57.48,57.48,0.0,0.0,56.92,56.92,56.92,0.0,0.0,56.96,56.96,56.96,0.0,0.0
2018-08-26,56.04,56.04,56.04,0.0,0.0,56.89,56.89,56.89,0.0,0.0,55.92,55.92,55.92,0.0,0.0,56.68,56.68,56.68,0.0,0.0
2018-09-02,55.56,55.56,55.56,0.0,0.0,55.96,55.96,55.96,0.0,0.0,55.4,55.4,55.4,0.0,0.0,55.72,55.72,55.72,0.0,0.0
2018-09-09,58.4,58.4,58.4,0.0,0.0,58.48,58.48,58.48,0.0,0.0,57.4,57.4,57.4,0.0,0.0,57.48,57.48,57.48,0.0,0.0
2018-09-16,58.84,58.84,58.84,0.0,0.0,59.08,59.08,59.08,0.0,0.0,58.25,58.25,58.25,0.0,0.0,59.02,59.02,59.02,0.0,0.0
2018-09-23,59.8,59.8,59.8,0.0,0.0,59.89,59.89,59.89,0.0,0.0,58.9,58.9,58.9,0.0,0.0,59.3,59.3,59.3,0.0,0.0
2018-09-30,56.35,56.35,56.35,0.0,0.0,57.0,57.0,57.0,0.0,0.0,54.9,54.9,54.9,0.0,0.0,56.76,56.76,56.76,0.0,0.0
2018-10-07,50.92,50.92,50.92,0.0,0.0,51.77,51.77,51.77,0.0,0.0,50.21,50.21,50.21,0.0,0.0,51.09,51.09,51.09,0.0,0.0
2018-10-14,51.21,51.21,51.21,0.0,0.0,51.29,51.29,51.29,0.0,0.0,49.73,49.73,49.73,0.0,0.0,50.84,50.84,50.84,0.0,0.0
2018-10-21,48.0,48.0,48.0,0.0,0.0,48.37,48.37,48.37,0.0,0.0,45.8,45.8,45.8,0.0,0.0,46.99,46.99,46.99,0.0,0.0
2018-10-28,49.12,49.12,49.12,0.0,0.0,49.68,49.68,49.68,0.0,0.0,48.94,48.94,48.94,0.0,0.0,49.4,49.4,49.4,0.0,0.0
2018-11-04,51.4,51.4,51.4,0.0,0.0,51.5,51.5,51.5,0.0,0.0,49.19,49.19,49.19,0.0,0.0,49.39,49.39,49.39,0.0,0.0
2018-11-11,49.95,49.95,49.95,0.0,0.0,50.1,50.1,50.1,0.0,0.0,48.26,48.26,48.26,0.0,0.0,48.7,48.7,48.7,0.0,0.0
2018-11-18,47.96,47.96,47.96,0.0,0.0,48.79,48.79,48.79,0.0,0.0,47.95,47.95,47.95,0.0,0.0,48.75,48.75,48.75,0.0,0.0
2018-11-25,52.0,52.0,52.0,0.0,0.0,52.11,52.11,52.11,0.0,0.0,51.24,51.24,51.24,0.0,0.0,51.56,51.56,51.56,0.0,0.0
2018-12-02,45.9,45.9,45.9,0.0,0.0,46.35,46.35,46.35,0.0,0.0,44.74,44.74,44.74,0.0,0.0,46.06,46.06,46.06,0.0,0.0
2018-12-09,45.58,45.58,45.58,0.0,0.0,45.9,45.9,45.9,0.0,0.0,44.15,44.15,44.15,0.0,0.0,44.6,44.6,44.6,0.0,0.0
2018-12-16,42.15,42.15,42.15,0.0,0.0,42.23,42.23,42.23,0.0,0.0,41.3,41.3,41.3,0.0,0.0,41.3,41.3,41.3,0.0,0.0
2018-12-23,42.11,42.11,42.11,0.0,0.0,42.37,42.37,42.37,0.0,0.0,41.85,41.85,41.85,0.0,0.0,42.3,42.3,42.3,0.0,0.0
2018-12-30,43.83,43.83,43.83,0.0,0.0,44.4,44.4,44.4,0.0,0.0,43.5,43.5,43.5,0.0,0.0,44.11,44.11,44.11,0.0,0.0
2019-01-06,45.49,45.49,45.49,0.0,0.0,46.35,46.35,46.35,0.0,0.0,45.4,45.4,45.4,0.0,0.0,45.99,45.99,45.99,0.0,0.0
2019-01-13,47.51,47.51,47.51,0.0,0.0,47.84,47.84,47.84,0.0,0.0,47.13,47.13,47.13,0.0,0.0,47.57,47.57,47.57,0.0,0.0
2019-01-20,46.26,46.26,46.26,0.0,0.0,46.26,46.26,46.26,0.0,0.0,45.34,45.34,45.34,0.0,0.0,46.09,46.09,46.09,0.0,0.0
2019-01-27,48.55,48.55,48.55,0.0,0.0,49.32,49.32,49.32,0.0,0.0,48.4,48.4,48.4,0.0,0.0,49.23,49.23,49.23,0.0,0.0
2019-02-03,49.36,49.36,49.36,0.0,0.0,49.52,49.52,49.52,0.0,0.0,48.91,48.91,48.91,0.0,0.0,49.29,49.29,49.29,0.0,0.0
2019-02-10,49.81,49.81,49.81,0.0,0.0,50.22,50.22,50.22,0.0,0.0,49.62,49.62,49.62,0.0,0.0,50.17,50.17,50.17,0.0,0.0
2019-02-17,52.4,52.4,52.4,0.0,0.0,52.6,52.6,52.6,0.0,0.0,51.23,51.23,51.23,0.0,0.0,51.26,51.26,51.26,0.0,0.0
2019-02-24,52.52,52.52,52.52,0.0,0.0,52.82,52.82,52.82,0.0,0.0,50.17,50.17,50.17,0.0,0.0,51.54,51.54,51.54,0.0,0.0
2019-03-03,50.04,50.04,50.04,0.0,0.0,51.48,51.48,51.48,0.0,0.0,50.04,50.04,50.04,0.0,0.0,51.4,51.4,51.4,0.0,0.0
2019-03-10,53.12,53.12,53.12,0.0,0.0,53.46,53.46,53.46,0.0,0.0,52.67,52.67,52.67,0.0,0.0,53.24,53.24,53.24,0.0,0.0
2019-03-17,50.09,50.09,50.09,0.0,0.0,50.57,50.57,50.57,0.0,0.0,49.33,49.33,49.33,0.0,0.0,50.02,50.02,50.02,0.0,0.0
2019-03-24,52.64,52.64,52.64,0.0,0.0,52.89,52.89,52.89,0.0,0.0,52.42,52.42,52.42,0.0,0.0,52.81,52.81,52.81,0.0,0.0
2019-03-31,53.44,53.44,53.44,0.0,0.0,53.7,53.7,53.7,0.0,0.0,53.23,53.23,53.23,0.0,0.0,53.64,53.64,53.64,0.0,0.0
2019-04-07,55.58,55.58,55.58,0.0,0.0,55.61,55.61,55.61,0.0,0.0,54.39,54.39,54.39,0.0,0.0,55.5,55.5,55.5,0.0,0.0
2019-04-14,55.64,55.64,55.64,0.0,0.0,56.23,56.23,56.23,0.0,0.0,55.42,55.42,55.42,0.0,0.0,56.2,56.2,56.2,0.0,0.0
2019-04-21,55.93,55.93,55.93,0.0,0.0,56.17,56.17,56.17,0.0,0.0,55.66,55.66,55.66,0.0,0.0,55.68,55.68,55.68,0.0,0.0
2019-04-28,53.06,53.06,53.06,0.0,0.0,54.5,54.5,54.5,0.0,0.0,52.78,52.78,52.78,0.0,0.0,54.27,54.27,54.27,0.0,0.0
2019-05-05,49.3,49.3,49.3,0.0,0.0,50.17,50.17,50.17,0.0,0.0,48.5,48.5,48.5,0.0,0.0,48.72,48.72,48.72,0.0,0.0
2019-05-12,51.12,51.12,51.12,0.0,0.0,51.87,51.87,51.87,0.0,0.0,50.62,50.62,50.62,0.0,0.0,51.42,51.42,51.42,0.0,0.0
2019-05-19,51.94,51.94,51.94,0.0,0.0,52.18,52.18,52.18,0.0,0.0,51.36,51.36,51.36,0.0,0.0,51.72,51.72,51.72,0.0,0.0
2019-05-26,49.91,49.91,49.91,0.0,0.0,50.38,50.38,50.38,0.0,0.0,49.08,49.08,49.08,0.0,0.0,49.65,49.65,49.65,0.0,0.0
2019-06-02,52.25,52.25,52.25,0.0,0.0,52.33,52.33,52.33,0.0,0.0,51.79,51.79,51.79,0.0,0.0,52.17,52.17,52.17,0.0,0.0
2019-06-09,52.65,52.65,52.65,0.0,0.0,53.01,53.01,53.01,0.0,0.0,52.55,52.55,52.55,0.0,0.0,52.9,52.9,52.9,0.0,0.0
2019-06-16,53.45,53.45,53.45,0.0,0.0,53.71,53.71,53.71,0.0,0.0,53.33,53.33,53.33,0.0,0.0,53.55,53.55,53.55,0.0,0.0
2019-06-23,55.46,55.46,55.46,0.0,0.0,55.49,55.49,55.49,0.0,0.0,54.82,54.82,54.82,0.0,0.0,55.36,55.36,55.36,0.0,0.0
2019-06-30,55.78,55.78,55.78,0.0,0.0,56.09,56.09,56.09,0.0,0.0,55.43,55.43,55.43,0.0,0.0,55.62,55.62,55.62,0.0,0.0
2019-07-07,57.55,57.55,57.55,0.0,0.0,57.64,57.64,57.64,0.0,0.0,57.24,57.24,57.24,0.0,0.0,57.42,57.42,57.42,0.0,0.0
2019-07-14,56.63,56.63,56.63,0.0,0.0,57.33,57.33,57.33,0.0,0.0,56.47,56.47,56.47,0.0,0.0,57.07,57.07,57.07,0.0,0.0
2019-07-21,58.79,58.79,58.79,0.0,0.0,58.83,58.83,58.83,0.0,0.0,58.28,58.28,58.28,0.0,0.0,58.49,58.49,58.49,0.0,0.0
2019-07-28,51.73,51.73,51.73,0.0,0.0,52.03,52.03,52.03,0.0,0.0,49.58,49.58,49.58,0.0,0.0,49.95,49.95,49.95,0.0,0.0
2019-08-04,51.32,51.32,51.32,0.0,0.0,51.39,51.39,51.39,0.0,0.0,49.71,49.71,49.71,0.0,0.0,49.82,49.82,49.82,0.0,0.0
2019-08-11,51.13,51.13,51.13,0.0,0.0,51.95,51.95,51.95,0.0,0.0,50.98,50.98,50.98,0.0,0.0,51.9,51.9,51.9,0.0,0.0
2019-08-18,50.15,50.15,50.15,0.0,0.0,50.16,50.16,50.16,0.0,0.0,48.89,48.89,48.89,0.0,0.0,49.55,49.55,49.55,0.0,0.0
2019-08-25,51.19,51.19,51.19,0.0,0.0,51.21,51.21,51.21,0.0,0.0,49.96,49.96,49.96,0.0,0.0,50.61,50.61,50.61,0.0,0.0
2019-09-01,53.22,53.22,53.22,0.0,0.0,53.26,53.26,53.26,0.0,0.0,52.29,52.29,52.29,0.0,0.0,52.91,52.91,52.91,0.0,0.0
2019-09-08,54.02,54.02,54.02,0.0,0.0,54.61,54.61,54.61,0.0,0.0,53.86,53.86,53.86,0.0,0.0,54.09,54.09,54.09,0.0,0.0
2019-09-15,54.1,54.1,54.1,0.0,0.0,54.81,54.81,54.81,0.0,0.0,53.97,53.97,53.97,0.0,0.0,54.31,54.31,54.31,0.0,0.0
2019-09-22,52.98,52.98,52.98,0.0,0.0,53.76,53.76,53.76,0.0,0.0,52.97,52.97,52.97,0.0,0.0,53.41,53.41,53.41,0.0,0.0
2019-09-29,52.36,52.36,52.36,0.0,0.0,53.15,53.15,53.15,0.0,0.0,52.16,52.16,52.16,0.0,0.0,52.51,52.51,52.51,0.0,0.0
2019-10-06,53.67,53.67,53.67,0.0,0.0,54.7,54.7,54.7,0.0,0.0,53.67,53.67,53.67,0.0,0.0,54.68,54.68,54.68,0.0,0.0
2019-10-13,56.14,56.14,56.14,0.0,0.0,56.66,56.66,56.66,0.0,0.0,56.14,56.14,56.14,0.0,0.0,56.66,56.66,56.66,0.0,0.0
2019-10-20,57.98,57.98,57.98,0.0,0.0,58.04,58.04,58.04,0.0,0.0,57.47,57.47,57.47,0.0,0.0,57.57,57.57,57.57,0.0,0.0
2019-10-27,59.63,59.63,59.63,0.0,0.0,59.69,59.69,59.69,0.0,0.0,58.88,58.88,58.88,0.0,0.0,59.09,59.09,59.09,0.0,0.0
2019-11-03,58.88,58.88,58.88,0.0,0.0,59.9,59.9,59.9,0.0,0.0,58.83,58.83,58.83,0.0,0.0,59.56,59.56,59.56,0.0,0.0
2019-11-10,61.56,61.56,61.56,0.0,0.0,61.81,61.81,61.81,0.0,0.0,61.28,61.28,61.28,0.0,0.0,61.56,61.56,61.56,0.0,0.0
2019-11-17,62.73,62.73,62.73,0.0,0.0,63.23,63.23,63.23,0.0,0.0,62.47,62.47,62.47,0.0,0.0,63.1,63.1,63.1,0.0,0.0
2019-11-24,63.15,63.15,63.15,0.0,0.0,63.18,63.18,63.18,0.0,0.0,60.95,60.95,60.95,0.0,0.0,61.55,61.55,61.55,0.0,0.0
2019-12-01,62.34,62.34,62.34,0.0,0.0,62.46,62.46,62.46,0.0,0.0,60.81,60.81,60.81,0.0,0.0,60.85,60.85,60.85,0.0,0.0
2019-12-08,65.62,65.62,65.62,0.0,0.0,65.96,65.96,65.96,0.0,0.0,65.27,65.27,65.27,0.0,0.0,65.33,65.33,65.33,0.0,0.0
2019-12-15,65.66,65.66,65.66,0.0,0.0,65.74,65.74,65.74,0.0,0.0,65.4,65.4,65.4,0.0,0.0,65.43,65.43,65.43,0.0,0.0
2019-12-22,64.87,64.87,64.87,0.0,0.0,64.89,64.89,64.89,0.0,0.0,63.58,63.58,63.58,0.0,0.0,63.93,63.93,63.93,0.0,0.0
2019-12-29,63.91,63.91,63.91,0.0,0.0,65.61,65.61,65.61,0.0,0.0,63.81,63.81,63.81,0.0,0.0,64.94,64.94,64.94,0.0,0.0
