Date,iShares Short-Term Corporate Bond_Open_average,iShares Short-Term Corporate Bond_Open_max,iShares Short-Term Corporate Bond_Open_min,iShares Short-Term Corporate Bond_Open_volatility,iShares Short-Term Corporate Bond_Open_change,iShares Short-Term Corporate Bond_High_average,iShares Short-Term Corporate Bond_High_max,iShares Short-Term Corporate Bond_High_min,iShares Short-Term Corporate Bond_High_volatility,iShares Short-Term Corporate Bond_High_change,iShares Short-Term Corporate Bond_Low_average,iShares Short-Term Corporate Bond_Low_max,iShares Short-Term Corporate Bond_Low_min,iShares Short-Term Corporate Bond_Low_volatility,iShares Short-Term Corporate Bond_Low_change,iShares Short-Term Corporate Bond_Close_average,iShares Short-Term Corporate Bond_Close_max,iShares Short-Term Corporate Bond_Close_min,iShares Short-Term Corporate Bond_Close_volatility,iShares Short-Term Corporate Bond_Close_change
2018-05-20,51.91,51.91,51.91,0.0,0.0,51.95,51.95,51.95,0.0,0.0,51.9,51.9,51.9,0.0,0.0,51.95,51.95,51.95,0.0,0.0
2018-05-27,51.8,51.8,51.8,0.0,0.0,51.84,51.84,51.84,0.0,0.0,51.8,51.8,51.8,0.0,0.0,51.84,51.84,51.84,0.0,0.0
2018-06-03,51.78,51.78,51.78,0.0,0.0,51.8,51.8,51.8,0.0,0.0,51.78,51.78,51.78,0.0,0.0,51.8,51.8,51.8,0.0,0.0
2018-06-10,51.8,51.8,51.8,0.0,0.0,51.8,51.8,51.8,0.0,0.0,51.77,51.77,51.77,0.0,0.0,51.8,51.8,51.8,0.0,0.0
2018-06-17,51.8,51.8,51.8,0.0,0.0,51.84,51.84,51.84,0.0,0.0,51.8,51.8,51.8,0.0,0.0,51.81,51.81,51.81,0.0,0.0
2018-06-24,51.85,51.85,51.85,0.0,0.0,51.88,51.88,51.88,0.0,0.0,51.85,51.85,51.85,0.0,0.0,51.85,51.85,51.85,0.0,0.0
2018-07-01,51.8,51.8,51.8,0.0,0.0,51.82,51.82,51.82,0.0,0.0,51.8,51.8,51.8,0.0,0.0,51.81,51.81,51.81,0.0,0.0
2018-07-08,51.83,51.83,51.83,0.0,0.0,51.84,51.84,51.84,0.0,0.0,51.81,51.81,51.81,0.0,0.0,51.84,51.84,51.84,0.0,0.0
2018-07-15,51.84,51.84,51.84,0.0,0.0,51.87,51.87,51.87,0.0,0.0,51.84,51.84,51.84,0.0,0.0,51.84,51.84,51.84,0.0,0.0
2018-07-22,51.88,51.88,51.88,0.0,0.0,51.88,51.88,51.88,0.0,0.0,51.84,51.84,51.84,0.0,0.0,51.84,51.84,51.84,0.0,0.0
2018-07-29,51.8,51.8,51.8,0.0,0.0,51.82,51.82,51.82,0.0,0.0,51.78,51.78,51.78,0.0,0.0,51.81,51.81,51.81,0.0,0.0
2018-08-05,51.84,51.84,51.84,0.0,0.0,51.98,51.98,51.98,0.0,0.0,51.82,51.82,51.82,0.0,0.0,51.97,51.97,51.97,0.0,0.0
2018-08-12,51.98,51.98,51.98,0.0,0.0,52.0,52.0,52.0,0.0,0.0,51.95,51.95,51.95,0.0,0.0,51.95,51.95,51.95,0.0,0.0
2018-08-19,51.95,51.95,51.95,0.0,0.0,52.01,52.01,52.01,0.0,0.0,51.95,51.95,51.95,0.0,0.0,52.0,52.0,52.0,0.0,0.0
2018-08-26,51.97,51.97,51.97,0.0,0.0,52.0,52.0,52.0,0.0,0.0,51.97,51.97,51.97,0.0,0.0,51.99,51.99,51.99,0.0,0.0
2018-09-02,51.84,51.84,51.84,0.0,0.0,51.85,51.85,51.85,0.0,0.0,51.8,51.8,51.8,0.0,0.0,51.8,51.8,51.8,0.0,0.0
2018-09-09,51.8,51.8,51.8,0.0,0.0,51.85,51.85,51.85,0.0,0.0,51.79,51.79,51.79,0.0,0.0,51.83,51.83,51.83,0.0,0.0
2018-09-16,51.8,51.8,51.8,0.0,0.0,51.81,51.81,51.81,0.0,0.0,51.77,51.77,51.77,0.0,0.0,51.78,51.78,51.78,0.0,0.0
2018-09-23,51.85,51.85,51.85,0.0,0.0,51.88,51.88,51.88,0.0,0.0,51.83,51.83,51.83,0.0,0.0,51.83,51.83,51.83,0.0,0.0
2018-09-30,51.59,51.59,51.59,0.0,0.0,51.62,51.62,51.62,0.0,0.0,51.55,51.55,51.55,0.0,0.0,51.59,51.59,51.59,0.0,0.0
2018-10-07,51.64,51.64,51.64,0.0,0.0,51.71,51.71,51.71,0.0,0.0,51.62,51.62,51.62,0.0,0.0,51.62,51.62,51.62,0.0,0.0
2018-10-14,51.61,51.61,51.61,0.0,0.0,51.63,51.63,51.63,0.0,0.0,51.57,51.57,51.57,0.0,0.0,51.58,51.58,51.58,0.0,0.0
2018-10-21,51.74,51.74,51.74,0.0,0.0,51.76,51.76,51.76,0.0,0.0,51.7,51.7,51.7,0.0,0.0,51.72,51.72,51.72,0.0,0.0
2018-10-28,51.52,51.52,51.52,0.0,0.0,51.54,51.54,51.54,0.0,0.0,51.48,51.48,51.48,0.0,0.0,51.51,51.51,51.51,0.0,0.0
2018-11-04,51.5,51.5,51.5,0.0,0.0,51.54,51.54,51.54,0.0,0.0,51.49,51.49,51.49,0.0,0.0,51.49,51.49,51.49,0.0,0.0
2018-11-11,51.56,51.56,51.56,0.0,0.0,51.6,51.6,51.6,0.0,0.0,51.53,51.53,51.53,0.0,0.0,51.58,51.58,51.58,0.0,0.0
2018-11-18,51.6,51.6,51.6,0.0,0.0,51.6,51.6,51.6,0.0,0.0,51.56,51.56,51.56,0.0,0.0,51.56,51.56,51.56,0.0,0.0
2018-11-25,51.54,51.54,51.54,0.0,0.0,51.56,51.56,51.56,0.0,0.0,51.5,51.5,51.5,0.0,0.0,51.51,51.51,51.51,0.0,0.0
2018-12-02,51.39,51.39,51.39,0.0,0.0,51.53,51.53,51.53,0.0,0.0,51.39,51.39,51.39,0.0,0.0,51.48,51.48,51.48,0.0,0.0
2018-12-09,51.56,51.56,51.56,0.0,0.0,51.56,51.56,51.56,0.0,0.0,51.51,51.51,51.51,0.0,0.0,51.55,51.55,51.55,0.0,0.0
2018-12-16,51.45,51.45,51.45,0.0,0.0,51.49,51.49,51.49,0.0,0.0,51.45,51.45,51.45,0.0,0.0,51.47,51.47,51.47,0.0,0.0
2018-12-23,51.54,51.54,51.54,0.0,0.0,51.67,51.67,51.67,0.0,0.0,51.53,51.53,51.53,0.0,0.0,51.63,51.63,51.63,0.0,0.0
2018-12-30,51.71,51.71,51.71,0.0,0.0,51.72,51.72,51.72,0.0,0.0,51.67,51.67,51.67,0.0,0.0,51.7,51.7,51.7,0.0,0.0
2019-01-06,51.77,51.77,51.77,0.0,0.0,51.81,51.81,51.81,0.0,0.0,51.77,51.77,51.77,0.0,0.0,51.8,51.8,51.8,0.0,0.0
2019-01-13,51.87,51.87,51.87,0.0,0.0,51.92,51.92,51.92,0.0,0.0,51.86,51.86,51.86,0.0,0.0,51.89,51.89,51.89,0.0,0.0
2019-01-20,52.01,52.01,52.01,0.0,0.0,52.03,52.03,52.03,0.0,0.0,51.99,51.99,51.99,0.0,0.0,52.0,52.0,52.0,0.0,0.0
2019-01-27,52.12,52.12,52.12,0.0,0.0,52.13,52.13,52.13,0.0,0.0,52.07,52.07,52.07,0.0,0.0,52.12,52.12,52.12,0.0,0.0
2019-02-03,52.16,52.16,52.16,0.0,0.0,52.2,52.2,52.2,0.0,0.0,52.14,52.14,52.14,0.0,0.0,52.19,52.19,52.19,0.0,0.0
2019-02-10,52.19,52.19,52.19,0.0,0.0,52.2,52.2,52.2,0.0,0.0,52.18,52.18,52.18,0.0,0.0,52.19,52.19,52.19,0.0,0.0
2019-02-17,52.26,52.26,52.26,0.0,0.0,52.3,52.3,52.3,0.0,0.0,52.24,52.24,52.24,0.0,0.0,52.3,52.3,52.3,0.0,0.0
2019-02-24,52.23,52.23,52.23,0.0,0.0,52.24,52.24,52.24,0.0,0.0,52.15,52.15,52.15,0.0,0.0,52.17,52.17,52.17,0.0,0.0
2019-03-03,52.3,52.3,52.3,0.0,0.0,52.35,52.35,52.35,0.0,0.0,52.3,52.3,52.3,0.0,0.0,52.33,52.33,52.33,0.0,0.0
2019-03-10,52.49,52.49,52.49,0.0,0.0,52.51,52.51,52.51,0.0,0.0,52.46,52.46,52.46,0.0,0.0,52.5,52.5,52.5,0.0,0.0
2019-03-17,52.67,52.67,52.67,0.0,0.0,52.77,52.77,52.77,0.0,0.0,52.67,52.67,52.67,0.0,0.0,52.73,52.73,52.73,0.0,0.0
2019-03-24,52.79,52.79,52.79,0.0,0.0,52.84,52.84,52.84,0.0,0.0,52.79,52.79,52.79,0.0,0.0,52.82,52.82,52.82,0.0,0.0
2019-03-31,52.61,52.61,52.61,0.0,0.0,52.64,52.64,52.64,0.0,0.0,52.6,52.6,52.6,0.0,0.0,52.62,52.62,52.62,0.0,0.0
2019-04-07,52.65,52.65,52.65,0.0,0.0,52.66,52.66,52.66,0.0,0.0,52.62,52.62,52.62,0.0,0.0,52.64,52.64,52.64,0.0,0.0
2019-04-14,52.63,52.63,52.63,0.0,0.0,52.65,52.65,52.65,0.0,0.0,52.61,52.61,52.61,0.0,0.0,52.62,52.62,52.62,0.0,0.0
2019-04-21,52.8,52.8,52.8,0.0,0.0,52.82,52.82,52.82,0.0,0.0,52.79,52.79,52.79,0.0,0.0,52.81,52.81,52.81,0.0,0.0
2019-04-28,52.64,52.64,52.64,0.0,0.0,52.72,52.72,52.72,0.0,0.0,52.62,52.62,52.62,0.0,0.0,52.67,52.67,52.67,0.0,0.0
2019-05-05,52.71,52.71,52.71,0.0,0.0,52.71,52.71,52.71,0.0,0.0,52.63,52.63,52.63,0.0,0.0,52.68,52.68,52.68,0.0,0.0
2019-05-12,52.82,52.82,52.82,0.0,0.0,52.82,52.82,52.82,0.0,0.0,52.75,52.75,52.75,0.0,0.0,52.78,52.78,52.78,0.0,0.0
2019-05-19,52.79,52.79,52.79,0.0,0.0,52.83,52.83,52.83,0.0,0.0,52.78,52.78,52.78,0.0,0.0,52.83,52.83,52.83,0.0,0.0
2019-05-26,53.04,53.04,53.04,0.0,0.0,53.08,53.08,53.08,0.0,0.0,53.01,53.01,53.01,0.0,0.0,53.06,53.06,53.06,0.0,0.0
2019-06-02,53.17,53.17,53.17,0.0,0.0,53.17,53.17,53.17,0.0,0.0,53.1,53.1,53.1,0.0,0.0,53.1,53.1,53.1,0.0,0.0
2019-06-09,53.12,53.12,53.12,0.0,0.0,53.16,53.16,53.16,0.0,0.0,53.12,53.12,53.12,0.0,0.0,53.14,53.14,53.14,0.0,0.0
2019-06-16,53.37,53.37,53.37,0.0,0.0,53.37,53.37,53.37,0.0,0.0,53.32,53.32,53.32,0.0,0.0,53.35,53.35,53.35,0.0,0.0
2019-06-23,53.43,53.43,53.43,0.0,0.0,53.46,53.46,53.46,0.0,0.0,53.4,53.4,53.4,0.0,0.0,53.44,53.44,53.44,0.0,0.0
2019-06-30,53.27,53.27,53.27,0.0,0.0,53.29,53.29,53.29,0.0,0.0,53.19,53.19,53.19,0.0,0.0,53.23,53.23,53.23,0.0,0.0
2019-07-07,53.22,53.22,53.22,0.0,0.0,53.28,53.28,53.28,0.0,0.0,53.22,53.22,53.22,0.0,0.0,53.25,53.25,53.25,0.0,0.0
2019-07-14,53.36,53.36,53.36,0.0,0.0,53.38,53.38,53.38,0.0,0.0,53.33,53.33,53.33,0.0,0.0,53.35,53.35,53.35,0.0,0.0
2019-07-21,53.37,53.37,53.37,0.0,0.0,53.39,53.39,53.39,0.0,0.0,53.34,53.34,53.34,0.0,0.0,53.37,53.37,53.37,0.0,0.0
2019-07-28,53.42,53.42,53.42,0.0,0.0,53.44,53.44,53.44,0.0,0.0,53.37,53.37,53.37,0.0,0.0,53.38,53.38,53.38,0.0,0.0
2019-08-04,53.55,53.55,53.55,0.0,0.0,53.56,53.56,53.56,0.0,0.0,53.5,53.5,53.5,0.0,0.0,53.5,53.5,53.5,0.0,0.0
2019-08-11,53.63,53.63,53.63,0.0,0.0,53.66,53.66,53.66,0.0,0.0,53.57,53.57,53.57,0.0,0.0,53.63,53.63,53.63,0.0,0.0
2019-08-18,53.68,53.68,53.68,0.0,0.0,53.79,53.79,53.79,0.0,0.0,53.66,53.66,53.66,0.0,0.0,53.74,53.74,53.74,0.0,0.0
2019-08-25,53.79,53.79,53.79,0.0,0.0,53.82,53.82,53.82,0.0,0.0,53.77,53.77,53.77,0.0,0.0,53.78,53.78,53.78,0.0,0.0
2019-09-01,53.64,53.64,53.64,0.0,0.0,53.7,53.7,53.7,0.0,0.0,53.63,53.63,53.63,0.0,0.0,53.66,53.66,53.66,0.0,0.0
2019-09-08,53.4,53.4,53.4,0.0,0.0,53.41,53.41,53.41,0.0,0.0,53.32,53.32,53.32,0.0,0.0,53.32,53.32,53.32,0.0,0.0
2019-09-15,53.52,53.52,53.52,0.0,0.0,53.59,53.59,53.59,0.0,0.0,53.5,53.5,53.5,0.0,0.0,53.58,53.58,53.58,0.0,0.0
2019-09-22,53.62,53.62,53.62,0.0,0.0,53.66,53.66,53.66,0.0,0.0,53.59,53.59,53.59,0.0,0.0,53.64,53.64,53.64,0.0,0.0
2019-09-29,53.8,53.8,53.8,0.0,0.0,53.84,53.84,53.84,0.0,0.0,53.77,53.77,53.77,0.0,0.0,53.81,53.81,53.81,0.0,0.0
2019-10-06,53.64,53.64,53.64,0.0,0.0,53.64,53.64,53.64,0.0,0.0,53.57,53.57,53.57,0.0,0.0,53.59,53.59,53.59,0.0,0.0
2019-10-13,53.68,53.68,53.68,0.0,0.0,53.71,53.71,53.71,0.0,0.0,53.66,53.66,53.66,0.0,0.0,53.67,53.67,53.67,0.0,0.0
2019-10-20,53.74,53.74,53.74,0.0,0.0,53.75,53.75,53.75,0.0,0.0,53.65,53.65,53.65,0.0,0.0,53.68,53.68,53.68,0.0,0.0
2019-10-27,53.63,53.63,53.63,0.0,0.0,53.69,53.69,53.69,0.0,0.0,53.61,53.61,53.61,0.0,0.0,53.62,53.62,53.62,0.0,0.0
2019-11-03,53.51,53.51,53.51,0.0,0.0,53.54,53.54,53.54,0.0,0.0,53.5,53.5,53.5,0.0,0.0,53.5,53.5,53.5,0.0,0.0
2019-11-10,53.63,53.63,53.63,0.0,0.0,53.63,53.63,53.63,0.0,0.0,53.6,53.6,53.6,0.0,0.0,53.61,53.61,53.61,0.0,0.0
2019-11-17,53.67,53.67,53.67,0.0,0.0,53.67,53.67,53.67,0.0,0.0,53.64,53.64,53.64,0.0,0.0,53.66,53.66,53.66,0.0,0.0
2019-11-24,53.69,53.69,53.69,0.0,0.0,53.69,53.69,53.69,0.0,0.0,53.67,53.67,53.67,0.0,0.0,53.69,53.69,53.69,0.0,0.0
2019-12-01,53.56,53.56,53.56,0.0,0.0,53.58,53.58,53.58,0.0,0.0,53.54,53.54,53.54,0.0,0.0,53.57,53.57,53.57,0.0,0.0
2019-12-08,53.63,53.63,53.63,0.0,0.0,53.64,53.64,53.64,0.0,0.0,53.57,53.57,53.57,0.0,0.0,53.64,53.64,53.64,0.0,0.0
2019-12-15,53.5,53.5,53.5,0.0,0.0,53.52,53.52,53.52,0.0,0.0,53.47,53.47,53.47,0.0,0.0,53.52,53.52,53.52,0.0,0.0
2019-12-22,53.6,53.6,53.6,0.0,0.0,53.65,53.65,53.65,0.0,0.0,53.57,53.57,53.57,0.0,0.0,53.65,53.65,53.65,0.0,0.0
2019-12-29,53.7,53.7,53.7,0.0,0.0,53.74,53.74,53.74,0.0,0.0,53.66,53.66,53.66,0.0,0.0,53.73,53.73,53.73,0.0,0.0
