Date,Invesco S and P SmallCap Momentum_Open_average,Invesco S and P SmallCap Momentum_Open_max,Invesco S and P SmallCap Momentum_Open_min,Invesco S and P SmallCap Momentum_Open_volatility,Invesco S and P SmallCap Momentum_Open_change,Invesco S and P SmallCap Momentum_High_average,Invesco S and P SmallCap Momentum_High_max,Invesco S and P SmallCap Momentum_High_min,Invesco S and P SmallCap Momentum_High_volatility,Invesco S and P SmallCap Momentum_High_change,Invesco S and P SmallCap Momentum_Low_average,Invesco S and P SmallCap Momentum_Low_max,Invesco S and P SmallCap Momentum_Low_min,Invesco S and P SmallCap Momentum_Low_volatility,Invesco S and P SmallCap Momentum_Low_change,Invesco S and P SmallCap Momentum_Close_average,Invesco S and P SmallCap Momentum_Close_max,Invesco S and P SmallCap Momentum_Close_min,Invesco S and P SmallCap Momentum_Close_volatility,Invesco S and P SmallCap Momentum_Close_change
2018-11-04,35.31,35.31,35.31,0.0,0.0,35.31,35.31,35.31,0.0,0.0,34.36,34.36,34.36,0.0,0.0,34.43,34.43,34.43,0.0,0.0
2018-11-11,34.37,34.37,34.37,0.0,0.0,34.37,34.37,34.37,0.0,0.0,33.28,33.28,33.28,0.0,0.0,33.36,33.36,33.36,0.0,0.0
2018-11-18,33.77,33.77,33.77,0.0,0.0,33.8,33.8,33.8,0.0,0.0,33.47,33.47,33.47,0.0,0.0,33.8,33.8,33.8,0.0,0.0
2018-11-25,34.94,34.94,34.94,0.0,0.0,35.38,35.38,35.38,0.0,0.0,34.87,34.87,34.87,0.0,0.0,35.33,35.33,35.33,0.0,0.0
2018-12-02,32.92,32.92,32.92,0.0,0.0,33.0,33.0,33.0,0.0,0.0,32.31,32.31,32.31,0.0,0.0,32.78,32.78,32.78,0.0,0.0
2018-12-09,31.84,31.84,31.84,0.0,0.0,32.12,32.12,32.12,0.0,0.0,31.12,31.12,31.12,0.0,0.0,31.21,31.21,31.21,0.0,0.0
2018-12-16,28.6,28.6,28.6,0.0,0.0,29.03,29.03,29.03,0.0,0.0,28.48,28.48,28.48,0.0,0.0,28.65,28.65,28.65,0.0,0.0
2018-12-23,30.78,30.78,30.78,0.0,0.0,30.9,30.9,30.9,0.0,0.0,30.46,30.46,30.46,0.0,0.0,30.85,30.85,30.85,0.0,0.0
2018-12-30,31.61,31.61,31.61,0.0,0.0,32.35,32.35,32.35,0.0,0.0,31.54,31.54,31.54,0.0,0.0,32.21,32.21,32.21,0.0,0.0
2019-01-06,32.98,32.98,32.98,0.0,0.0,33.0,33.0,33.0,0.0,0.0,32.75,32.75,32.75,0.0,0.0,32.75,32.75,32.75,0.0,0.0
2019-01-13,33.89,33.89,33.89,0.0,0.0,34.25,34.25,34.25,0.0,0.0,33.77,33.77,33.77,0.0,0.0,34.12,34.12,34.12,0.0,0.0
2019-01-20,33.74,33.74,33.74,0.0,0.0,33.8,33.8,33.8,0.0,0.0,33.63,33.63,33.63,0.0,0.0,33.77,33.77,33.77,0.0,0.0
2019-01-27,34.48,34.48,34.48,0.0,0.0,34.93,34.93,34.93,0.0,0.0,34.48,34.48,34.48,0.0,0.0,34.85,34.85,34.85,0.0,0.0
2019-02-03,35.01,35.01,35.01,0.0,0.0,35.16,35.16,35.16,0.0,0.0,34.82,34.82,34.82,0.0,0.0,35.16,35.16,35.16,0.0,0.0
2019-02-10,36.27,36.27,36.27,0.0,0.0,36.74,36.74,36.74,0.0,0.0,36.13,36.13,36.13,0.0,0.0,36.74,36.74,36.74,0.0,0.0
2019-02-17,37.56,37.56,37.56,0.0,0.0,37.56,37.56,37.56,0.0,0.0,37.19,37.19,37.19,0.0,0.0,37.19,37.19,37.19,0.0,0.0
2019-02-24,37.55,37.55,37.55,0.0,0.0,37.55,37.55,37.55,0.0,0.0,36.58,36.58,36.58,0.0,0.0,36.9,36.9,36.9,0.0,0.0
2019-03-03,36.13,36.13,36.13,0.0,0.0,36.5,36.5,36.5,0.0,0.0,36.13,36.13,36.13,0.0,0.0,36.47,36.47,36.47,0.0,0.0
2019-03-10,36.86,36.86,36.86,0.0,0.0,37.12,37.12,37.12,0.0,0.0,36.62,36.62,36.62,0.0,0.0,36.96,36.96,36.96,0.0,0.0
2019-03-17,35.81,35.81,35.81,0.0,0.0,36.13,36.13,36.13,0.0,0.0,35.59,35.59,35.59,0.0,0.0,36.07,36.07,36.07,0.0,0.0
2019-03-24,36.69,36.69,36.69,0.0,0.0,36.69,36.69,36.69,0.0,0.0,36.39,36.39,36.39,0.0,0.0,36.46,36.46,36.46,0.0,0.0
2019-03-31,37.01,37.01,37.01,0.0,0.0,37.05,37.05,37.05,0.0,0.0,36.73,36.73,36.73,0.0,0.0,37.05,37.05,37.05,0.0,0.0
2019-04-07,37.46,37.46,37.46,0.0,0.0,37.46,37.46,37.46,0.0,0.0,37.09,37.09,37.09,0.0,0.0,37.25,37.25,37.25,0.0,0.0
2019-04-14,36.24,36.24,36.24,0.0,0.0,36.52,36.52,36.52,0.0,0.0,36.22,36.22,36.22,0.0,0.0,36.52,36.52,36.52,0.0,0.0
2019-04-21,37.42,37.42,37.42,0.0,0.0,37.67,37.67,37.67,0.0,0.0,37.36,37.36,37.36,0.0,0.0,37.56,37.56,37.56,0.0,0.0
2019-04-28,37.61,37.61,37.61,0.0,0.0,38.43,38.43,38.43,0.0,0.0,37.61,37.61,37.61,0.0,0.0,38.43,38.43,38.43,0.0,0.0
2019-05-05,36.45,36.45,36.45,0.0,0.0,36.45,36.45,36.45,0.0,0.0,35.85,35.85,35.85,0.0,0.0,35.98,35.98,35.98,0.0,0.0
2019-05-12,36.31,36.31,36.31,0.0,0.0,36.45,36.45,36.45,0.0,0.0,36.01,36.01,36.01,0.0,0.0,36.3,36.3,36.3,0.0,0.0
2019-05-19,36.25,36.25,36.25,0.0,0.0,36.25,36.25,36.25,0.0,0.0,35.98,35.98,35.98,0.0,0.0,36.18,36.18,36.18,0.0,0.0
2019-05-26,35.36,35.36,35.36,0.0,0.0,35.36,35.36,35.36,0.0,0.0,34.78,34.78,34.78,0.0,0.0,34.92,34.92,34.92,0.0,0.0
2019-06-02,36.7,36.7,36.7,0.0,0.0,36.8,36.8,36.8,0.0,0.0,36.43,36.43,36.43,0.0,0.0,36.44,36.44,36.44,0.0,0.0
2019-06-09,36.68,36.68,36.68,0.0,0.0,37.09,37.09,37.09,0.0,0.0,36.68,36.68,36.68,0.0,0.0,36.93,36.93,36.93,0.0,0.0
2019-06-16,37.27,37.27,37.27,0.0,0.0,37.39,37.39,37.39,0.0,0.0,37.11,37.11,37.11,0.0,0.0,37.15,37.15,37.15,0.0,0.0
2019-06-23,37.63,37.63,37.63,0.0,0.0,37.63,37.63,37.63,0.0,0.0,37.38,37.38,37.38,0.0,0.0,37.56,37.56,37.56,0.0,0.0
2019-06-30,37.64,37.64,37.64,0.0,0.0,37.83,37.83,37.83,0.0,0.0,37.56,37.56,37.56,0.0,0.0,37.56,37.56,37.56,0.0,0.0
2019-07-07,37.74,37.74,37.74,0.0,0.0,37.91,37.91,37.91,0.0,0.0,37.74,37.74,37.74,0.0,0.0,37.85,37.85,37.85,0.0,0.0
2019-07-14,37.86,37.86,37.86,0.0,0.0,37.86,37.86,37.86,0.0,0.0,37.55,37.55,37.55,0.0,0.0,37.55,37.55,37.55,0.0,0.0
2019-07-21,38.61,38.61,38.61,0.0,0.0,38.61,38.61,38.61,0.0,0.0,38.32,38.32,38.32,0.0,0.0,38.42,38.42,38.42,0.0,0.0
2019-07-28,37.23,37.23,37.23,0.0,0.0,37.28,37.28,37.28,0.0,0.0,36.53,36.53,36.53,0.0,0.0,37.07,37.07,37.07,0.0,0.0
2019-08-04,38.1,38.1,38.1,0.0,0.0,38.1,38.1,38.1,0.0,0.0,37.64,37.64,37.64,0.0,0.0,37.72,37.72,37.72,0.0,0.0
2019-08-11,38.19,38.19,38.19,0.0,0.0,38.37,38.37,38.37,0.0,0.0,38.19,38.19,38.19,0.0,0.0,38.24,38.24,38.24,0.0,0.0
2019-08-18,37.51,37.51,37.51,0.0,0.0,37.53,37.53,37.53,0.0,0.0,37.26,37.26,37.26,0.0,0.0,37.52,37.52,37.52,0.0,0.0
2019-08-25,37.9,37.9,37.9,0.0,0.0,37.93,37.93,37.93,0.0,0.0,37.46,37.46,37.46,0.0,0.0,37.58,37.58,37.58,0.0,0.0
2019-09-01,37.75,37.75,37.75,0.0,0.0,37.75,37.75,37.75,0.0,0.0,37.47,37.47,37.47,0.0,0.0,37.53,37.53,37.53,0.0,0.0
2019-09-08,38.15,38.15,38.15,0.0,0.0,38.29,38.29,38.29,0.0,0.0,38.15,38.15,38.15,0.0,0.0,38.16,38.16,38.16,0.0,0.0
2019-09-15,37.83,37.83,37.83,0.0,0.0,37.9,37.9,37.9,0.0,0.0,37.79,37.79,37.79,0.0,0.0,37.8,37.8,37.8,0.0,0.0
2019-09-22,37.28,37.28,37.28,0.0,0.0,37.46,37.46,37.46,0.0,0.0,37.08,37.08,37.08,0.0,0.0,37.27,37.27,37.27,0.0,0.0
2019-09-29,36.74,36.74,36.74,0.0,0.0,36.97,36.97,36.97,0.0,0.0,36.74,36.74,36.74,0.0,0.0,36.9,36.9,36.9,0.0,0.0
2019-10-06,37.0,37.0,37.0,0.0,0.0,37.04,37.04,37.04,0.0,0.0,37.0,37.0,37.0,0.0,0.0,37.02,37.02,37.02,0.0,0.0
2019-10-13,38.07,38.07,38.07,0.0,0.0,38.07,38.07,38.07,0.0,0.0,37.95,37.95,37.95,0.0,0.0,37.95,37.95,37.95,0.0,0.0
2019-10-20,37.8,37.8,37.8,0.0,0.0,38.18,38.18,38.18,0.0,0.0,37.8,37.8,37.8,0.0,0.0,38.09,38.09,38.09,0.0,0.0
2019-10-27,38.41,38.41,38.41,0.0,0.0,38.41,38.41,38.41,0.0,0.0,38.06,38.06,38.06,0.0,0.0,38.14,38.14,38.14,0.0,0.0
2019-11-03,37.52,37.52,37.52,0.0,0.0,37.74,37.74,37.74,0.0,0.0,37.52,37.52,37.52,0.0,0.0,37.73,37.73,37.73,0.0,0.0
2019-11-10,38.0,38.0,38.0,0.0,0.0,38.15,38.15,38.15,0.0,0.0,37.97,37.97,37.97,0.0,0.0,38.07,38.07,38.07,0.0,0.0
2019-11-17,37.94,37.94,37.94,0.0,0.0,38.86,38.86,38.86,0.0,0.0,37.94,37.94,37.94,0.0,0.0,38.8,38.8,38.8,0.0,0.0
2019-11-24,39.03,39.03,39.03,0.0,0.0,39.03,39.03,39.03,0.0,0.0,38.44,38.44,38.44,0.0,0.0,38.44,38.44,38.44,0.0,0.0
2019-12-01,39.09,39.09,39.09,0.0,0.0,39.13,39.13,39.13,0.0,0.0,39.01,39.01,39.01,0.0,0.0,39.02,39.02,39.02,0.0,0.0
2019-12-08,39.13,39.13,39.13,0.0,0.0,39.25,39.25,39.25,0.0,0.0,39.09,39.09,39.09,0.0,0.0,39.13,39.13,39.13,0.0,0.0
2019-12-15,39.49,39.49,39.49,0.0,0.0,39.49,39.49,39.49,0.0,0.0,39.31,39.31,39.31,0.0,0.0,39.32,39.32,39.32,0.0,0.0
2019-12-22,39.41,39.41,39.41,0.0,0.0,39.42,39.42,39.42,0.0,0.0,39.3,39.3,39.3,0.0,0.0,39.3,39.3,39.3,0.0,0.0
2019-12-29,38.6,38.6,38.6,0.0,0.0,39.62,39.62,39.62,0.0,0.0,38.6,38.6,38.6,0.0,0.0,39.55,39.55,39.55,0.0,0.0
