Date,iShares Short Treasury Bond_Open_average,iShares Short Treasury Bond_Open_max,iShares Short Treasury Bond_Open_min,iShares Short Treasury Bond_Open_volatility,iShares Short Treasury Bond_Open_change,iShares Short Treasury Bond_High_average,iShares Short Treasury Bond_High_max,iShares Short Treasury Bond_High_min,iShares Short Treasury Bond_High_volatility,iShares Short Treasury Bond_High_change,iShares Short Treasury Bond_Low_average,iShares Short Treasury Bond_Low_max,iShares Short Treasury Bond_Low_min,iShares Short Treasury Bond_Low_volatility,iShares Short Treasury Bond_Low_change,iShares Short Treasury Bond_Close_average,iShares Short Treasury Bond_Close_max,iShares Short Treasury Bond_Close_min,iShares Short Treasury Bond_Close_volatility,iShares Short Treasury Bond_Close_change
2018-09-30,110.31,110.31,110.31,0.0,0.0,110.31,110.31,110.31,0.0,0.0,110.28,110.28,110.28,0.0,0.0,110.31,110.31,110.31,0.0,0.0
2018-10-07,110.35,110.35,110.35,0.0,0.0,110.35,110.35,110.35,0.0,0.0,110.33,110.33,110.33,0.0,0.0,110.34,110.34,110.34,0.0,0.0
2018-10-14,110.38,110.38,110.38,0.0,0.0,110.39,110.39,110.39,0.0,0.0,110.36,110.36,110.36,0.0,0.0,110.38,110.38,110.38,0.0,0.0
2018-10-21,110.44,110.44,110.44,0.0,0.0,110.44,110.44,110.44,0.0,0.0,110.41,110.41,110.41,0.0,0.0,110.43,110.43,110.43,0.0,0.0
2018-10-28,110.29,110.29,110.29,0.0,0.0,110.29,110.29,110.29,0.0,0.0,110.27,110.27,110.27,0.0,0.0,110.28,110.28,110.28,0.0,0.0
2018-11-04,110.34,110.34,110.34,0.0,0.0,110.35,110.35,110.35,0.0,0.0,110.32,110.32,110.32,0.0,0.0,110.35,110.35,110.35,0.0,0.0
2018-11-11,110.39,110.39,110.39,0.0,0.0,110.39,110.39,110.39,0.0,0.0,110.37,110.37,110.37,0.0,0.0,110.39,110.39,110.39,0.0,0.0
2018-11-18,110.43,110.43,110.43,0.0,0.0,110.43,110.43,110.43,0.0,0.0,110.42,110.42,110.42,0.0,0.0,110.43,110.43,110.43,0.0,0.0
2018-11-25,110.27,110.27,110.27,0.0,0.0,110.29,110.29,110.29,0.0,0.0,110.26,110.26,110.26,0.0,0.0,110.29,110.29,110.29,0.0,0.0
2018-12-02,110.34,110.34,110.34,0.0,0.0,110.35,110.35,110.35,0.0,0.0,110.32,110.32,110.32,0.0,0.0,110.34,110.34,110.34,0.0,0.0
2018-12-09,110.38,110.38,110.38,0.0,0.0,110.4,110.4,110.4,0.0,0.0,110.37,110.37,110.37,0.0,0.0,110.4,110.4,110.4,0.0,0.0
2018-12-16,110.26,110.26,110.26,0.0,0.0,110.27,110.27,110.27,0.0,0.0,110.25,110.25,110.25,0.0,0.0,110.25,110.25,110.25,0.0,0.0
2018-12-23,110.31,110.31,110.31,0.0,0.0,110.32,110.32,110.32,0.0,0.0,110.29,110.29,110.29,0.0,0.0,110.3,110.3,110.3,0.0,0.0
2018-12-30,110.38,110.38,110.38,0.0,0.0,110.39,110.39,110.39,0.0,0.0,110.36,110.36,110.36,0.0,0.0,110.38,110.38,110.38,0.0,0.0
2019-01-06,110.42,110.42,110.42,0.0,0.0,110.43,110.43,110.43,0.0,0.0,110.41,110.41,110.41,0.0,0.0,110.43,110.43,110.43,0.0,0.0
2019-01-13,110.48,110.48,110.48,0.0,0.0,110.48,110.48,110.48,0.0,0.0,110.45,110.45,110.45,0.0,0.0,110.48,110.48,110.48,0.0,0.0
2019-01-20,110.52,110.52,110.52,0.0,0.0,110.53,110.53,110.53,0.0,0.0,110.51,110.51,110.51,0.0,0.0,110.51,110.51,110.51,0.0,0.0
2019-01-27,110.36,110.36,110.36,0.0,0.0,110.37,110.37,110.37,0.0,0.0,110.36,110.36,110.36,0.0,0.0,110.37,110.37,110.37,0.0,0.0
2019-02-03,110.42,110.42,110.42,0.0,0.0,110.44,110.44,110.44,0.0,0.0,110.42,110.42,110.42,0.0,0.0,110.42,110.42,110.42,0.0,0.0
2019-02-10,110.46,110.46,110.46,0.0,0.0,110.47,110.47,110.47,0.0,0.0,110.46,110.46,110.46,0.0,0.0,110.47,110.47,110.47,0.0,0.0
2019-02-17,110.51,110.51,110.51,0.0,0.0,110.52,110.52,110.52,0.0,0.0,110.5,110.5,110.5,0.0,0.0,110.51,110.51,110.51,0.0,0.0
2019-02-24,110.34,110.34,110.34,0.0,0.0,110.36,110.36,110.36,0.0,0.0,110.34,110.34,110.34,0.0,0.0,110.36,110.36,110.36,0.0,0.0
2019-03-03,110.41,110.41,110.41,0.0,0.0,110.41,110.41,110.41,0.0,0.0,110.39,110.39,110.39,0.0,0.0,110.39,110.39,110.39,0.0,0.0
2019-03-10,110.46,110.46,110.46,0.0,0.0,110.46,110.46,110.46,0.0,0.0,110.44,110.44,110.44,0.0,0.0,110.44,110.44,110.44,0.0,0.0
2019-03-17,110.53,110.53,110.53,0.0,0.0,110.53,110.53,110.53,0.0,0.0,110.52,110.52,110.52,0.0,0.0,110.52,110.52,110.52,0.0,0.0
2019-03-24,110.37,110.37,110.37,0.0,0.0,110.37,110.37,110.37,0.0,0.0,110.35,110.35,110.35,0.0,0.0,110.35,110.35,110.35,0.0,0.0
2019-03-31,110.41,110.41,110.41,0.0,0.0,110.42,110.42,110.42,0.0,0.0,110.4,110.4,110.4,0.0,0.0,110.42,110.42,110.42,0.0,0.0
2019-04-07,110.45,110.45,110.45,0.0,0.0,110.46,110.46,110.46,0.0,0.0,110.45,110.45,110.45,0.0,0.0,110.45,110.45,110.45,0.0,0.0
2019-04-14,110.49,110.49,110.49,0.0,0.0,110.5,110.5,110.5,0.0,0.0,110.49,110.49,110.49,0.0,0.0,110.49,110.49,110.49,0.0,0.0
2019-04-21,110.56,110.56,110.56,0.0,0.0,110.56,110.56,110.56,0.0,0.0,110.15,110.15,110.15,0.0,0.0,110.56,110.56,110.56,0.0,0.0
2019-04-28,110.39,110.39,110.39,0.0,0.0,110.39,110.39,110.39,0.0,0.0,110.37,110.37,110.37,0.0,0.0,110.39,110.39,110.39,0.0,0.0
2019-05-05,110.43,110.43,110.43,0.0,0.0,110.45,110.45,110.45,0.0,0.0,110.43,110.43,110.43,0.0,0.0,110.45,110.45,110.45,0.0,0.0
2019-05-12,110.49,110.49,110.49,0.0,0.0,110.5,110.5,110.5,0.0,0.0,110.48,110.48,110.48,0.0,0.0,110.48,110.48,110.48,0.0,0.0
2019-05-19,110.55,110.55,110.55,0.0,0.0,110.56,110.56,110.56,0.0,0.0,110.53,110.53,110.53,0.0,0.0,110.55,110.55,110.55,0.0,0.0
2019-05-26,110.41,110.41,110.41,0.0,0.0,110.43,110.43,110.43,0.0,0.0,110.07,110.07,110.07,0.0,0.0,110.43,110.43,110.43,0.0,0.0
2019-06-02,110.5,110.5,110.5,0.0,0.0,110.51,110.51,110.51,0.0,0.0,110.49,110.49,110.49,0.0,0.0,110.51,110.51,110.51,0.0,0.0
2019-06-09,110.56,110.56,110.56,0.0,0.0,110.57,110.57,110.57,0.0,0.0,110.55,110.55,110.55,0.0,0.0,110.57,110.57,110.57,0.0,0.0
2019-06-16,110.62,110.62,110.62,0.0,0.0,110.63,110.63,110.63,0.0,0.0,110.62,110.62,110.62,0.0,0.0,110.62,110.62,110.62,0.0,0.0
2019-06-23,110.45,110.45,110.45,0.0,0.0,110.46,110.46,110.46,0.0,0.0,110.44,110.44,110.44,0.0,0.0,110.45,110.45,110.45,0.0,0.0
2019-06-30,110.48,110.48,110.48,0.0,0.0,110.49,110.49,110.49,0.0,0.0,110.47,110.47,110.47,0.0,0.0,110.49,110.49,110.49,0.0,0.0
2019-07-07,110.53,110.53,110.53,0.0,0.0,110.54,110.54,110.54,0.0,0.0,110.52,110.52,110.52,0.0,0.0,110.54,110.54,110.54,0.0,0.0
2019-07-14,110.59,110.59,110.59,0.0,0.0,110.6,110.6,110.6,0.0,0.0,110.27,110.27,110.27,0.0,0.0,110.6,110.6,110.6,0.0,0.0
2019-07-21,110.61,110.61,110.61,0.0,0.0,110.62,110.62,110.62,0.0,0.0,110.6,110.6,110.6,0.0,0.0,110.61,110.61,110.61,0.0,0.0
2019-07-28,110.5,110.5,110.5,0.0,0.0,110.51,110.51,110.51,0.0,0.0,110.49,110.49,110.49,0.0,0.0,110.5,110.5,110.5,0.0,0.0
2019-08-04,110.56,110.56,110.56,0.0,0.0,110.57,110.57,110.57,0.0,0.0,110.34,110.34,110.34,0.0,0.0,110.56,110.56,110.56,0.0,0.0
2019-08-11,110.63,110.63,110.63,0.0,0.0,110.63,110.63,110.63,0.0,0.0,110.6,110.6,110.6,0.0,0.0,110.61,110.61,110.61,0.0,0.0
2019-08-18,110.65,110.65,110.65,0.0,0.0,110.67,110.67,110.67,0.0,0.0,110.35,110.35,110.35,0.0,0.0,110.64,110.64,110.64,0.0,0.0
2019-08-25,110.67,110.67,110.67,0.0,0.0,110.67,110.67,110.67,0.0,0.0,110.66,110.66,110.66,0.0,0.0,110.66,110.66,110.66,0.0,0.0
2019-09-01,110.52,110.52,110.52,0.0,0.0,110.52,110.52,110.52,0.0,0.0,110.5,110.5,110.5,0.0,0.0,110.51,110.51,110.51,0.0,0.0
2019-09-08,110.52,110.52,110.52,0.0,0.0,110.53,110.53,110.53,0.0,0.0,110.51,110.51,110.51,0.0,0.0,110.52,110.52,110.52,0.0,0.0
2019-09-15,110.55,110.55,110.55,0.0,0.0,110.57,110.57,110.57,0.0,0.0,110.25,110.25,110.25,0.0,0.0,110.55,110.55,110.55,0.0,0.0
2019-09-22,110.62,110.62,110.62,0.0,0.0,110.62,110.62,110.62,0.0,0.0,110.61,110.61,110.61,0.0,0.0,110.62,110.62,110.62,0.0,0.0
2019-09-29,110.55,110.55,110.55,0.0,0.0,110.56,110.56,110.56,0.0,0.0,110.54,110.54,110.54,0.0,0.0,110.55,110.55,110.55,0.0,0.0
2019-10-06,110.58,110.58,110.58,0.0,0.0,110.58,110.58,110.58,0.0,0.0,110.52,110.52,110.52,0.0,0.0,110.58,110.58,110.58,0.0,0.0
2019-10-13,110.64,110.64,110.64,0.0,0.0,110.64,110.64,110.64,0.0,0.0,110.62,110.62,110.62,0.0,0.0,110.63,110.63,110.63,0.0,0.0
2019-10-20,110.66,110.66,110.66,0.0,0.0,110.66,110.66,110.66,0.0,0.0,110.65,110.65,110.65,0.0,0.0,110.66,110.66,110.66,0.0,0.0
2019-10-27,110.54,110.54,110.54,0.0,0.0,110.54,110.54,110.54,0.0,0.0,110.34,110.34,110.34,0.0,0.0,110.54,110.54,110.54,0.0,0.0
2019-11-03,110.55,110.55,110.55,0.0,0.0,110.56,110.56,110.56,0.0,0.0,110.54,110.54,110.54,0.0,0.0,110.54,110.54,110.54,0.0,0.0
2019-11-10,110.59,110.59,110.59,0.0,0.0,110.59,110.59,110.59,0.0,0.0,110.58,110.58,110.58,0.0,0.0,110.59,110.59,110.59,0.0,0.0
2019-11-17,110.61,110.61,110.61,0.0,0.0,110.62,110.62,110.62,0.0,0.0,110.6,110.6,110.6,0.0,0.0,110.61,110.61,110.61,0.0,0.0
2019-11-24,110.45,110.45,110.45,0.0,0.0,110.46,110.46,110.46,0.0,0.0,110.45,110.45,110.45,0.0,0.0,110.45,110.45,110.45,0.0,0.0
2019-12-01,110.5,110.5,110.5,0.0,0.0,110.52,110.52,110.52,0.0,0.0,110.5,110.5,110.5,0.0,0.0,110.5,110.5,110.5,0.0,0.0
2019-12-08,110.54,110.54,110.54,0.0,0.0,110.55,110.55,110.55,0.0,0.0,110.53,110.53,110.53,0.0,0.0,110.54,110.54,110.54,0.0,0.0
2019-12-15,110.4,110.4,110.4,0.0,0.0,110.41,110.41,110.41,0.0,0.0,110.39,110.39,110.39,0.0,0.0,110.39,110.39,110.39,0.0,0.0
2019-12-22,110.44,110.44,110.44,0.0,0.0,110.45,110.45,110.45,0.0,0.0,110.43,110.43,110.43,0.0,0.0,110.44,110.44,110.44,0.0,0.0
2019-12-29,110.48,110.48,110.48,0.0,0.0,110.49,110.49,110.49,0.0,0.0,110.47,110.47,110.47,0.0,0.0,110.48,110.48,110.48,0.0,0.0
