Date,PowerShares S&P SmallCap Low Volatility Portfolio_Open_average,PowerShares S&P SmallCap Low Volatility Portfolio_Open_max,PowerShares S&P SmallCap Low Volatility Portfolio_Open_min,PowerShares S&P SmallCap Low Volatility Portfolio_Open_volatility,PowerShares S&P SmallCap Low Volatility Portfolio_Open_change,PowerShares S&P SmallCap Low Volatility Portfolio_High_average,PowerShares S&P SmallCap Low Volatility Portfolio_High_max,PowerShares S&P SmallCap Low Volatility Portfolio_High_min,PowerShares S&P SmallCap Low Volatility Portfolio_High_volatility,PowerShares S&P SmallCap Low Volatility Portfolio_High_change,PowerShares S&P SmallCap Low Volatility Portfolio_Low_average,PowerShares S&P SmallCap Low Volatility Portfolio_Low_max,PowerShares S&P SmallCap Low Volatility Portfolio_Low_min,PowerShares S&P SmallCap Low Volatility Portfolio_Low_volatility,PowerShares S&P SmallCap Low Volatility Portfolio_Low_change,PowerShares S&P SmallCap Low Volatility Portfolio_Close_average,PowerShares S&P SmallCap Low Volatility Portfolio_Close_max,PowerShares S&P SmallCap Low Volatility Portfolio_Close_min,PowerShares S&P SmallCap Low Volatility Portfolio_Close_volatility,PowerShares S&P SmallCap Low Volatility Portfolio_Close_change
2018-11-25,48.07,48.07,48.07,0.0,0.0,48.07,48.07,48.07,0.0,0.0,47.12,47.12,47.12,0.0,0.0,47.68,47.68,47.68,0.0,0.0
2018-12-02,45.91,45.91,45.91,0.0,0.0,45.91,45.91,45.91,0.0,0.0,45.08,45.08,45.08,0.0,0.0,45.54,45.54,45.54,0.0,0.0
2018-12-09,45.08,45.08,45.08,0.0,0.0,45.27,45.27,45.27,0.0,0.0,43.92,43.92,43.92,0.0,0.0,44.07,44.07,44.07,0.0,0.0
2018-12-16,41.63,41.63,41.63,0.0,0.0,41.66,41.66,41.66,0.0,0.0,40.73,40.73,40.73,0.0,0.0,40.81,40.81,40.81,0.0,0.0
2018-12-23,42.77,42.77,42.77,0.0,0.0,42.77,42.77,42.77,0.0,0.0,42.07,42.07,42.07,0.0,0.0,42.64,42.64,42.64,0.0,0.0
2018-12-30,43.33,43.33,43.33,0.0,0.0,43.8,43.8,43.8,0.0,0.0,43.12,43.12,43.12,0.0,0.0,43.57,43.57,43.57,0.0,0.0
2019-01-06,44.39,44.39,44.39,0.0,0.0,44.63,44.63,44.63,0.0,0.0,44.32,44.32,44.32,0.0,0.0,44.38,44.38,44.38,0.0,0.0
2019-01-13,45.61,45.61,45.61,0.0,0.0,45.89,45.89,45.89,0.0,0.0,45.54,45.54,45.54,0.0,0.0,45.71,45.71,45.71,0.0,0.0
2019-01-20,45.37,45.37,45.37,0.0,0.0,45.74,45.74,45.74,0.0,0.0,45.34,45.34,45.34,0.0,0.0,45.7,45.7,45.7,0.0,0.0
2019-01-27,46.32,46.32,46.32,0.0,0.0,46.75,46.75,46.75,0.0,0.0,46.15,46.15,46.15,0.0,0.0,46.75,46.75,46.75,0.0,0.0
2019-02-03,47.1,47.1,47.1,0.0,0.0,47.34,47.34,47.34,0.0,0.0,46.95,46.95,46.95,0.0,0.0,47.34,47.34,47.34,0.0,0.0
2019-02-10,47.6,47.6,47.6,0.0,0.0,48.1,48.1,48.1,0.0,0.0,47.58,47.58,47.58,0.0,0.0,47.96,47.96,47.96,0.0,0.0
2019-02-17,48.89,48.89,48.89,0.0,0.0,49.01,49.01,49.01,0.0,0.0,48.32,48.32,48.32,0.0,0.0,48.34,48.34,48.34,0.0,0.0
2019-02-24,48.1,48.1,48.1,0.0,0.0,48.2,48.2,48.2,0.0,0.0,47.54,47.54,47.54,0.0,0.0,47.78,47.78,47.78,0.0,0.0
2019-03-03,46.8,46.8,46.8,0.0,0.0,47.34,47.34,47.34,0.0,0.0,46.77,46.77,46.77,0.0,0.0,47.31,47.31,47.31,0.0,0.0
2019-03-10,47.3,47.3,47.3,0.0,0.0,47.62,47.62,47.62,0.0,0.0,47.13,47.13,47.13,0.0,0.0,47.43,47.43,47.43,0.0,0.0
2019-03-17,45.68,45.68,45.68,0.0,0.0,46.2,46.2,46.2,0.0,0.0,45.45,45.45,45.45,0.0,0.0,45.96,45.96,45.96,0.0,0.0
2019-03-24,47.22,47.22,47.22,0.0,0.0,47.46,47.46,47.46,0.0,0.0,47.04,47.04,47.04,0.0,0.0,47.43,47.43,47.43,0.0,0.0
2019-03-31,47.82,47.82,47.82,0.0,0.0,47.88,47.88,47.88,0.0,0.0,47.63,47.63,47.63,0.0,0.0,47.79,47.79,47.79,0.0,0.0
2019-04-07,48.24,48.24,48.24,0.0,0.0,48.25,48.25,48.25,0.0,0.0,47.78,47.78,47.78,0.0,0.0,47.9,47.9,47.9,0.0,0.0
2019-04-14,47.76,47.76,47.76,0.0,0.0,47.76,47.76,47.76,0.0,0.0,46.97,46.97,46.97,0.0,0.0,47.28,47.28,47.28,0.0,0.0
2019-04-21,48.31,48.31,48.31,0.0,0.0,48.52,48.52,48.52,0.0,0.0,48.29,48.29,48.29,0.0,0.0,48.29,48.29,48.29,0.0,0.0
2019-04-28,48.52,48.52,48.52,0.0,0.0,49.29,49.29,49.29,0.0,0.0,48.52,48.52,48.52,0.0,0.0,49.19,49.19,49.19,0.0,0.0
2019-05-05,47.77,47.77,47.77,0.0,0.0,47.95,47.95,47.95,0.0,0.0,47.27,47.27,47.27,0.0,0.0,47.41,47.41,47.41,0.0,0.0
2019-05-12,47.43,47.43,47.43,0.0,0.0,47.73,47.73,47.73,0.0,0.0,47.35,47.35,47.35,0.0,0.0,47.53,47.53,47.53,0.0,0.0
2019-05-19,47.17,47.17,47.17,0.0,0.0,47.36,47.36,47.36,0.0,0.0,47.05,47.05,47.05,0.0,0.0,47.29,47.29,47.29,0.0,0.0
2019-05-26,46.23,46.23,46.23,0.0,0.0,46.61,46.61,46.61,0.0,0.0,46.08,46.08,46.08,0.0,0.0,46.49,46.49,46.49,0.0,0.0
2019-06-02,47.42,47.42,47.42,0.0,0.0,47.62,47.62,47.62,0.0,0.0,47.38,47.38,47.38,0.0,0.0,47.46,47.46,47.46,0.0,0.0
2019-06-09,47.72,47.72,47.72,0.0,0.0,47.88,47.88,47.88,0.0,0.0,47.62,47.62,47.62,0.0,0.0,47.66,47.66,47.66,0.0,0.0
2019-06-16,47.61,47.61,47.61,0.0,0.0,47.66,47.66,47.66,0.0,0.0,47.16,47.16,47.16,0.0,0.0,47.18,47.18,47.18,0.0,0.0
2019-06-23,48.4,48.4,48.4,0.0,0.0,48.42,48.42,48.42,0.0,0.0,47.79,47.79,47.79,0.0,0.0,48.06,48.06,48.06,0.0,0.0
2019-06-30,48.5,48.5,48.5,0.0,0.0,48.52,48.52,48.52,0.0,0.0,48.23,48.23,48.23,0.0,0.0,48.32,48.32,48.32,0.0,0.0
2019-07-07,48.51,48.51,48.51,0.0,0.0,48.77,48.77,48.77,0.0,0.0,47.99,47.99,47.99,0.0,0.0,48.03,48.03,48.03,0.0,0.0
2019-07-14,47.84,47.84,47.84,0.0,0.0,47.84,47.84,47.84,0.0,0.0,47.52,47.52,47.52,0.0,0.0,47.69,47.69,47.69,0.0,0.0
2019-07-21,48.79,48.79,48.79,0.0,0.0,48.91,48.91,48.91,0.0,0.0,48.5,48.5,48.5,0.0,0.0,48.57,48.57,48.57,0.0,0.0
2019-07-28,47.44,47.44,47.44,0.0,0.0,47.63,47.63,47.63,0.0,0.0,46.31,46.31,46.31,0.0,0.0,46.86,46.86,46.86,0.0,0.0
2019-08-04,47.75,47.75,47.75,0.0,0.0,48.0,48.0,48.0,0.0,0.0,47.55,47.55,47.55,0.0,0.0,47.63,47.63,47.63,0.0,0.0
2019-08-11,48.28,48.28,48.28,0.0,0.0,48.4,48.4,48.4,0.0,0.0,48.13,48.13,48.13,0.0,0.0,48.18,48.18,48.18,0.0,0.0
2019-08-18,47.1,47.1,47.1,0.0,0.0,47.27,47.27,47.27,0.0,0.0,46.88,46.88,46.88,0.0,0.0,47.27,47.27,47.27,0.0,0.0
2019-08-25,47.79,47.79,47.79,0.0,0.0,47.91,47.91,47.91,0.0,0.0,47.41,47.41,47.41,0.0,0.0,47.54,47.54,47.54,0.0,0.0
2019-09-01,48.03,48.03,48.03,0.0,0.0,48.6,48.6,48.6,0.0,0.0,47.92,47.92,47.92,0.0,0.0,48.52,48.52,48.52,0.0,0.0
2019-09-08,49.6,49.6,49.6,0.0,0.0,49.86,49.86,49.86,0.0,0.0,49.5,49.5,49.5,0.0,0.0,49.63,49.63,49.63,0.0,0.0
2019-09-15,48.95,48.95,48.95,0.0,0.0,49.23,49.23,49.23,0.0,0.0,48.87,48.87,48.87,0.0,0.0,48.98,48.98,48.98,0.0,0.0
2019-09-22,49.08,49.08,49.08,0.0,0.0,49.21,49.21,49.21,0.0,0.0,48.89,48.89,48.89,0.0,0.0,48.89,48.89,48.89,0.0,0.0
2019-09-29,48.47,48.47,48.47,0.0,0.0,48.78,48.78,48.78,0.0,0.0,48.31,48.31,48.31,0.0,0.0,48.55,48.55,48.55,0.0,0.0
2019-10-06,48.5,48.5,48.5,0.0,0.0,48.54,48.54,48.54,0.0,0.0,48.34,48.34,48.34,0.0,0.0,48.51,48.51,48.51,0.0,0.0
2019-10-13,49.7,49.7,49.7,0.0,0.0,49.98,49.98,49.98,0.0,0.0,49.67,49.67,49.67,0.0,0.0,49.83,49.83,49.83,0.0,0.0
2019-10-20,49.84,49.84,49.84,0.0,0.0,50.22,50.22,50.22,0.0,0.0,49.8,49.8,49.8,0.0,0.0,50.0,50.0,50.0,0.0,0.0
2019-10-27,50.77,50.77,50.77,0.0,0.0,50.83,50.83,50.83,0.0,0.0,50.46,50.46,50.46,0.0,0.0,50.55,50.55,50.55,0.0,0.0
2019-11-03,50.1,50.1,50.1,0.0,0.0,50.34,50.34,50.34,0.0,0.0,50.1,50.1,50.1,0.0,0.0,50.34,50.34,50.34,0.0,0.0
2019-11-10,50.25,50.25,50.25,0.0,0.0,50.36,50.36,50.36,0.0,0.0,50.15,50.15,50.15,0.0,0.0,50.3,50.3,50.3,0.0,0.0
2019-11-17,49.95,49.95,49.95,0.0,0.0,50.68,50.68,50.68,0.0,0.0,49.9,49.9,49.9,0.0,0.0,50.52,50.52,50.52,0.0,0.0
2019-11-24,50.67,50.67,50.67,0.0,0.0,50.67,50.67,50.67,0.0,0.0,50.1,50.1,50.1,0.0,0.0,50.15,50.15,50.15,0.0,0.0
2019-12-01,50.76,50.76,50.76,0.0,0.0,50.86,50.86,50.86,0.0,0.0,50.7,50.7,50.7,0.0,0.0,50.78,50.78,50.78,0.0,0.0
2019-12-08,50.87,50.87,50.87,0.0,0.0,51.08,51.08,51.08,0.0,0.0,50.56,50.56,50.56,0.0,0.0,50.92,50.92,50.92,0.0,0.0
2019-12-15,51.19,51.19,51.19,0.0,0.0,51.19,51.19,51.19,0.0,0.0,50.66,50.66,50.66,0.0,0.0,50.69,50.69,50.69,0.0,0.0
2019-12-22,50.85,50.85,50.85,0.0,0.0,50.87,50.87,50.87,0.0,0.0,50.6,50.6,50.6,0.0,0.0,50.81,50.81,50.81,0.0,0.0
2019-12-29,50.39,50.39,50.39,0.0,0.0,50.87,50.87,50.87,0.0,0.0,50.35,50.35,50.35,0.0,0.0,50.86,50.86,50.86,0.0,0.0
