Date,iShares International Developed Property_Open_average,iShares International Developed Property_Open_max,iShares International Developed Property_Open_min,iShares International Developed Property_Open_volatility,iShares International Developed Property_Open_change,iShares International Developed Property_High_average,iShares International Developed Property_High_max,iShares International Developed Property_High_min,iShares International Developed Property_High_volatility,iShares International Developed Property_High_change,iShares International Developed Property_Low_average,iShares International Developed Property_Low_max,iShares International Developed Property_Low_min,iShares International Developed Property_Low_volatility,iShares International Developed Property_Low_change,iShares International Developed Property_Close_average,iShares International Developed Property_Close_max,iShares International Developed Property_Close_min,iShares International Developed Property_Close_volatility,iShares International Developed Property_Close_change
2019-09-01,38.31,38.31,38.31,0.0,0.0,38.31,38.31,38.31,0.0,0.0,38.16,38.16,38.16,0.0,0.0,38.16,38.16,38.16,0.0,0.0
2019-09-08,38.21,38.21,38.21,0.0,0.0,38.21,38.21,38.21,0.0,0.0,38.06,38.06,38.06,0.0,0.0,38.09,38.09,38.09,0.0,0.0
2019-09-15,38.38,38.38,38.38,0.0,0.0,38.55,38.55,38.55,0.0,0.0,38.38,38.38,38.38,0.0,0.0,38.52,38.52,38.52,0.0,0.0
2019-09-22,38.51,38.51,38.51,0.0,0.0,38.59,38.59,38.59,0.0,0.0,38.49,38.49,38.49,0.0,0.0,38.5,38.5,38.5,0.0,0.0
2019-09-29,38.74,38.74,38.74,0.0,0.0,38.76,38.76,38.76,0.0,0.0,38.59,38.59,38.59,0.0,0.0,38.63,38.63,38.63,0.0,0.0
2019-10-06,38.92,38.92,38.92,0.0,0.0,38.92,38.92,38.92,0.0,0.0,38.85,38.85,38.85,0.0,0.0,38.92,38.92,38.92,0.0,0.0
2019-10-13,39.76,39.76,39.76,0.0,0.0,39.79,39.79,39.79,0.0,0.0,39.7,39.7,39.7,0.0,0.0,39.75,39.75,39.75,0.0,0.0
2019-10-20,39.5,39.5,39.5,0.0,0.0,39.58,39.58,39.58,0.0,0.0,39.48,39.48,39.48,0.0,0.0,39.58,39.58,39.58,0.0,0.0
2019-10-27,40.11,40.11,40.11,0.0,0.0,40.22,40.22,40.22,0.0,0.0,40.08,40.08,40.08,0.0,0.0,40.1,40.1,40.1,0.0,0.0
2019-11-03,39.09,39.09,39.09,0.0,0.0,39.1,39.1,39.1,0.0,0.0,39.08,39.08,39.08,0.0,0.0,39.09,39.09,39.09,0.0,0.0
2019-11-10,39.41,39.41,39.41,0.0,0.0,39.41,39.41,39.41,0.0,0.0,39.31,39.31,39.31,0.0,0.0,39.4,39.4,39.4,0.0,0.0
2019-11-17,39.37,39.37,39.37,0.0,0.0,39.45,39.45,39.45,0.0,0.0,39.37,39.37,39.37,0.0,0.0,39.43,39.43,39.43,0.0,0.0
2019-11-24,39.38,39.38,39.38,0.0,0.0,39.38,39.38,39.38,0.0,0.0,39.29,39.29,39.29,0.0,0.0,39.35,39.35,39.35,0.0,0.0
2019-12-01,39.76,39.76,39.76,0.0,0.0,39.76,39.76,39.76,0.0,0.0,39.64,39.64,39.64,0.0,0.0,39.64,39.64,39.64,0.0,0.0
2019-12-08,38.14,38.14,38.14,0.0,0.0,38.24,38.24,38.24,0.0,0.0,38.14,38.14,38.14,0.0,0.0,38.19,38.19,38.19,0.0,0.0
2019-12-15,38.18,38.18,38.18,0.0,0.0,38.28,38.28,38.28,0.0,0.0,38.17,38.17,38.17,0.0,0.0,38.23,38.23,38.23,0.0,0.0
2019-12-22,38.8,38.8,38.8,0.0,0.0,38.8,38.8,38.8,0.0,0.0,38.69,38.69,38.69,0.0,0.0,38.72,38.72,38.72,0.0,0.0
2019-12-29,38.69,38.69,38.69,0.0,0.0,38.93,38.93,38.93,0.0,0.0,38.69,38.69,38.69,0.0,0.0,38.81,38.81,38.81,0.0,0.0
