Date,ProShares UltraShort Consumer Services_etf_Open_average,ProShares UltraShort Consumer Services_etf_Open_max,ProShares UltraShort Consumer Services_etf_Open_min,ProShares UltraShort Consumer Services_etf_Open_volatility,ProShares UltraShort Consumer Services_etf_Open_change,ProShares UltraShort Consumer Services_etf_High_average,ProShares UltraShort Consumer Services_etf_High_max,ProShares UltraShort Consumer Services_etf_High_min,ProShares UltraShort Consumer Services_etf_High_volatility,ProShares UltraShort Consumer Services_etf_High_change,ProShares UltraShort Consumer Services_etf_Low_average,ProShares UltraShort Consumer Services_etf_Low_max,ProShares UltraShort Consumer Services_etf_Low_min,ProShares UltraShort Consumer Services_etf_Low_volatility,ProShares UltraShort Consumer Services_etf_Low_change,ProShares UltraShort Consumer Services_etf_Close_average,ProShares UltraShort Consumer Services_etf_Close_max,ProShares UltraShort Consumer Services_etf_Close_min,ProShares UltraShort Consumer Services_etf_Close_volatility,ProShares UltraShort Consumer Services_etf_Close_change
2018-04-08,23.15,23.15,23.15,0.0,0.0,23.15,23.15,23.15,0.0,0.0,23.04,23.04,23.04,0.0,0.0,23.04,23.04,23.04,0.0,0.0
2018-04-15,22.33,22.33,22.33,0.0,0.0,22.33,22.33,22.33,0.0,0.0,22.33,22.33,22.33,0.0,0.0,22.33,22.33,22.33,0.0,0.0
2018-04-22,22.95,22.95,22.95,0.0,0.0,22.95,22.95,22.95,0.0,0.0,22.95,22.95,22.95,0.0,0.0,22.95,22.95,22.95,0.0,0.0
2018-04-29,21.75,21.75,21.75,0.0,0.0,21.75,21.75,21.75,0.0,0.0,21.75,21.75,21.75,0.0,0.0,21.75,21.75,21.75,0.0,0.0
2018-05-06,21.28,21.28,21.28,0.0,0.0,21.28,21.28,21.28,0.0,0.0,21.28,21.28,21.28,0.0,0.0,21.28,21.28,21.28,0.0,0.0
2018-05-13,21.37,21.37,21.37,0.0,0.0,21.37,21.37,21.37,0.0,0.0,21.37,21.37,21.37,0.0,0.0,21.37,21.37,21.37,0.0,0.0
2018-05-20,21.51,21.51,21.51,0.0,0.0,21.51,21.51,21.51,0.0,0.0,21.51,21.51,21.51,0.0,0.0,21.51,21.51,21.51,0.0,0.0
2018-05-27,21.2,21.2,21.2,0.0,0.0,21.2,21.2,21.2,0.0,0.0,21.2,21.2,21.2,0.0,0.0,21.2,21.2,21.2,0.0,0.0
2018-06-03,20.7,20.7,20.7,0.0,0.0,20.7,20.7,20.7,0.0,0.0,20.7,20.7,20.7,0.0,0.0,20.7,20.7,20.7,0.0,0.0
2018-06-10,19.24,19.24,19.24,0.0,0.0,19.24,19.24,19.24,0.0,0.0,19.24,19.24,19.24,0.0,0.0,19.24,19.24,19.24,0.0,0.0
2018-06-17,19.05,19.05,19.05,0.0,0.0,19.05,19.05,19.05,0.0,0.0,19.05,19.05,19.05,0.0,0.0,19.05,19.05,19.05,0.0,0.0
2018-06-24,19.75,19.75,19.75,0.0,0.0,19.87,19.87,19.87,0.0,0.0,19.75,19.75,19.75,0.0,0.0,19.87,19.87,19.87,0.0,0.0
2018-07-01,19.81,19.81,19.81,0.0,0.0,19.81,19.81,19.81,0.0,0.0,19.81,19.81,19.81,0.0,0.0,19.81,19.81,19.81,0.0,0.0
2018-07-08,19.2,19.2,19.2,0.0,0.0,19.2,19.2,19.2,0.0,0.0,19.2,19.2,19.2,0.0,0.0,19.2,19.2,19.2,0.0,0.0
2018-07-15,18.62,18.62,18.62,0.0,0.0,18.64,18.64,18.64,0.0,0.0,18.62,18.62,18.62,0.0,0.0,18.64,18.64,18.64,0.0,0.0
2018-07-22,18.6,18.6,18.6,0.0,0.0,18.6,18.6,18.6,0.0,0.0,18.6,18.6,18.6,0.0,0.0,18.6,18.6,18.6,0.0,0.0
2018-07-29,18.96,18.96,18.96,0.0,0.0,18.98,18.98,18.98,0.0,0.0,18.96,18.96,18.96,0.0,0.0,18.98,18.98,18.98,0.0,0.0
2018-08-05,18.4,18.4,18.4,0.0,0.0,18.4,18.4,18.4,0.0,0.0,18.4,18.4,18.4,0.0,0.0,18.4,18.4,18.4,0.0,0.0
2018-08-12,17.71,17.71,17.71,0.0,0.0,17.71,17.71,17.71,0.0,0.0,17.71,17.71,17.71,0.0,0.0,17.71,17.71,17.71,0.0,0.0
2018-08-19,17.4,17.4,17.4,0.0,0.0,17.45,17.45,17.45,0.0,0.0,17.37,17.37,17.37,0.0,0.0,17.45,17.45,17.45,0.0,0.0
2018-08-26,17.17,17.17,17.17,0.0,0.0,17.17,17.17,17.17,0.0,0.0,17.0,17.0,17.0,0.0,0.0,17.0,17.0,17.0,0.0,0.0
2018-09-02,17.56,17.56,17.56,0.0,0.0,17.56,17.56,17.56,0.0,0.0,17.2,17.2,17.2,0.0,0.0,17.24,17.24,17.24,0.0,0.0
2018-09-09,17.02,17.02,17.02,0.0,0.0,17.02,17.02,17.02,0.0,0.0,17.02,17.02,17.02,0.0,0.0,17.02,17.02,17.02,0.0,0.0
2018-09-16,17.21,17.21,17.21,0.0,0.0,17.21,17.21,17.21,0.0,0.0,17.21,17.21,17.21,0.0,0.0,17.21,17.21,17.21,0.0,0.0
2018-09-23,16.76,16.76,16.76,0.0,0.0,16.76,16.76,16.76,0.0,0.0,16.76,16.76,16.76,0.0,0.0,16.76,16.76,16.76,0.0,0.0
2018-09-30,18.26,18.26,18.26,0.0,0.0,18.26,18.26,18.26,0.0,0.0,18.0,18.0,18.0,0.0,0.0,18.04,18.04,18.04,0.0,0.0
2018-10-07,18.69,18.69,18.69,0.0,0.0,19.07,19.07,19.07,0.0,0.0,18.69,18.69,18.69,0.0,0.0,19.07,19.07,19.07,0.0,0.0
2018-10-14,18.77,18.77,18.77,0.0,0.0,18.77,18.77,18.77,0.0,0.0,18.57,18.57,18.57,0.0,0.0,18.57,18.57,18.57,0.0,0.0
2018-10-21,20.22,20.22,20.22,0.0,0.0,20.22,20.22,20.22,0.0,0.0,20.22,20.22,20.22,0.0,0.0,20.22,20.22,20.22,0.0,0.0
2018-10-28,19.4,19.4,19.4,0.0,0.0,19.4,19.4,19.4,0.0,0.0,19.39,19.39,19.39,0.0,0.0,19.4,19.4,19.4,0.0,0.0
2018-11-04,17.65,17.65,17.65,0.0,0.0,17.65,17.65,17.65,0.0,0.0,17.65,17.65,17.65,0.0,0.0,17.65,17.65,17.65,0.0,0.0
2018-11-11,18.67,18.67,18.67,0.0,0.0,18.7,18.7,18.7,0.0,0.0,18.61,18.61,18.61,0.0,0.0,18.61,18.61,18.61,0.0,0.0
2018-11-18,20.61,20.61,20.61,0.0,0.0,20.61,20.61,20.61,0.0,0.0,20.61,20.61,20.61,0.0,0.0,20.61,20.61,20.61,0.0,0.0
2018-11-25,18.46,18.46,18.46,0.0,0.0,18.53,18.53,18.53,0.0,0.0,18.36,18.36,18.36,0.0,0.0,18.52,18.52,18.52,0.0,0.0
2018-12-02,19.52,19.52,19.52,0.0,0.0,19.85,19.85,19.85,0.0,0.0,19.52,19.52,19.52,0.0,0.0,19.85,19.85,19.85,0.0,0.0
2018-12-09,19.92,19.92,19.92,0.0,0.0,20.44,20.44,20.44,0.0,0.0,19.92,19.92,19.92,0.0,0.0,20.44,20.44,20.44,0.0,0.0
2018-12-16,22.99,22.99,22.99,0.0,0.0,24.36,24.36,24.36,0.0,0.0,22.6,22.6,22.6,0.0,0.0,24.36,24.36,24.36,0.0,0.0
2018-12-23,22.53,22.53,22.53,0.0,0.0,22.53,22.53,22.53,0.0,0.0,21.63,21.63,21.63,0.0,0.0,22.21,22.21,22.21,0.0,0.0
2018-12-30,21.32,21.32,21.32,0.0,0.0,21.32,21.32,21.32,0.0,0.0,20.47,20.47,20.47,0.0,0.0,20.59,20.59,20.59,0.0,0.0
2019-01-06,19.39,19.39,19.39,0.0,0.0,19.4,19.4,19.4,0.0,0.0,19.34,19.34,19.34,0.0,0.0,19.36,19.36,19.36,0.0,0.0
2019-01-13,18.85,18.85,18.85,0.0,0.0,18.86,18.86,18.86,0.0,0.0,18.78,18.78,18.78,0.0,0.0,18.78,18.78,18.78,0.0,0.0
2019-01-20,18.8,18.8,18.8,0.0,0.0,18.8,18.8,18.8,0.0,0.0,18.8,18.8,18.8,0.0,0.0,18.8,18.8,18.8,0.0,0.0
2019-01-27,18.42,18.42,18.42,0.0,0.0,18.59,18.59,18.59,0.0,0.0,18.42,18.42,18.42,0.0,0.0,18.59,18.59,18.59,0.0,0.0
2019-02-03,18.78,18.78,18.78,0.0,0.0,18.78,18.78,18.78,0.0,0.0,18.6,18.6,18.6,0.0,0.0,18.6,18.6,18.6,0.0,0.0
2019-02-10,17.65,17.65,17.65,0.0,0.0,17.7,17.7,17.7,0.0,0.0,17.62,17.62,17.62,0.0,0.0,17.62,17.62,17.62,0.0,0.0
2019-02-17,17.4,17.4,17.4,0.0,0.0,17.44,17.44,17.44,0.0,0.0,17.35,17.35,17.35,0.0,0.0,17.35,17.35,17.35,0.0,0.0
2019-02-24,17.54,17.54,17.54,0.0,0.0,17.54,17.54,17.54,0.0,0.0,17.48,17.48,17.48,0.0,0.0,17.49,17.49,17.49,0.0,0.0
2019-03-03,18.41,18.41,18.41,0.0,0.0,18.55,18.55,18.55,0.0,0.0,18.36,18.36,18.36,0.0,0.0,18.36,18.36,18.36,0.0,0.0
2019-03-10,17.55,17.55,17.55,0.0,0.0,17.55,17.55,17.55,0.0,0.0,17.39,17.39,17.39,0.0,0.0,17.39,17.39,17.39,0.0,0.0
2019-03-17,16.78,16.78,16.78,0.0,0.0,17.1,17.1,17.1,0.0,0.0,16.78,16.78,16.78,0.0,0.0,17.1,17.1,17.1,0.0,0.0
2019-03-24,16.71,16.71,16.71,0.0,0.0,16.71,16.71,16.71,0.0,0.0,16.68,16.68,16.68,0.0,0.0,16.68,16.68,16.68,0.0,0.0
2019-03-31,15.83,15.83,15.83,0.0,0.0,15.91,15.91,15.91,0.0,0.0,15.83,15.83,15.83,0.0,0.0,15.87,15.87,15.87,0.0,0.0
2019-04-07,15.46,15.46,15.46,0.0,0.0,15.46,15.46,15.46,0.0,0.0,15.43,15.43,15.43,0.0,0.0,15.43,15.43,15.43,0.0,0.0
2019-04-14,15.22,15.22,15.22,0.0,0.0,15.22,15.22,15.22,0.0,0.0,15.1,15.1,15.1,0.0,0.0,15.13,15.13,15.13,0.0,0.0
2019-04-21,14.9,14.9,14.9,0.0,0.0,14.9,14.9,14.9,0.0,0.0,14.66,14.66,14.66,0.0,0.0,14.66,14.66,14.66,0.0,0.0
2019-04-28,14.7,14.7,14.7,0.0,0.0,14.7,14.7,14.7,0.0,0.0,14.66,14.66,14.66,0.0,0.0,14.69,14.69,14.69,0.0,0.0
2019-05-05,15.41,15.41,15.41,0.0,0.0,15.42,15.42,15.42,0.0,0.0,15.27,15.27,15.27,0.0,0.0,15.27,15.27,15.27,0.0,0.0
2019-05-12,15.24,15.24,15.24,0.0,0.0,15.52,15.52,15.52,0.0,0.0,15.24,15.24,15.24,0.0,0.0,15.52,15.52,15.52,0.0,0.0
2019-05-19,16.02,16.02,16.02,0.0,0.0,16.02,16.02,16.02,0.0,0.0,16.02,16.02,16.02,0.0,0.0,16.02,16.02,16.02,0.0,0.0
2019-05-26,16.71,16.71,16.71,0.0,0.0,16.71,16.71,16.71,0.0,0.0,16.71,16.71,16.71,0.0,0.0,16.71,16.71,16.71,0.0,0.0
2019-06-02,15.5,15.5,15.5,0.0,0.0,15.51,15.51,15.51,0.0,0.0,15.46,15.46,15.46,0.0,0.0,15.48,15.48,15.48,0.0,0.0
2019-06-09,14.88,14.88,14.88,0.0,0.0,14.88,14.88,14.88,0.0,0.0,14.88,14.88,14.88,0.0,0.0,14.88,14.88,14.88,0.0,0.0
2019-06-16,14.42,14.42,14.42,0.0,0.0,14.5,14.5,14.5,0.0,0.0,14.42,14.42,14.42,0.0,0.0,14.5,14.5,14.5,0.0,0.0
2019-06-23,14.46,14.46,14.46,0.0,0.0,14.46,14.46,14.46,0.0,0.0,14.46,14.46,14.46,0.0,0.0,14.46,14.46,14.46,0.0,0.0
2019-06-30,13.84,13.84,13.84,0.0,0.0,13.84,13.84,13.84,0.0,0.0,13.84,13.84,13.84,0.0,0.0,13.84,13.84,13.84,0.0,0.0
2019-07-07,13.36,13.36,13.36,0.0,0.0,13.36,13.36,13.36,0.0,0.0,13.33,13.33,13.33,0.0,0.0,13.33,13.33,13.33,0.0,0.0
2019-07-14,13.86,13.86,13.86,0.0,0.0,13.86,13.86,13.86,0.0,0.0,13.86,13.86,13.86,0.0,0.0,13.86,13.86,13.86,0.0,0.0
2019-07-21,13.72,13.72,13.72,0.0,0.0,13.72,13.72,13.72,0.0,0.0,13.55,13.55,13.55,0.0,0.0,13.55,13.55,13.55,0.0,0.0
2019-07-28,14.66,14.66,14.66,0.0,0.0,14.97,14.97,14.97,0.0,0.0,14.64,14.64,14.64,0.0,0.0,14.79,14.79,14.79,0.0,0.0
2019-08-04,14.86,14.86,14.86,0.0,0.0,14.86,14.86,14.86,0.0,0.0,14.74,14.74,14.74,0.0,0.0,14.81,14.81,14.81,0.0,0.0
2019-08-11,15.16,15.16,15.16,0.0,0.0,15.16,15.16,15.16,0.0,0.0,15.16,15.16,15.16,0.0,0.0,15.16,15.16,15.16,0.0,0.0
2019-08-18,14.69,14.69,14.69,0.0,0.0,15.34,15.34,15.34,0.0,0.0,14.69,14.69,14.69,0.0,0.0,15.34,15.34,15.34,0.0,0.0
2019-08-25,14.18,14.18,14.18,0.0,0.0,14.47,14.47,14.47,0.0,0.0,14.13,14.13,14.13,0.0,0.0,14.36,14.36,14.36,0.0,0.0
2019-09-01,13.77,13.77,13.77,0.0,0.0,13.77,13.77,13.77,0.0,0.0,13.77,13.77,13.77,0.0,0.0,13.77,13.77,13.77,0.0,0.0
2019-09-08,13.51,13.51,13.51,0.0,0.0,13.6,13.6,13.6,0.0,0.0,13.51,13.51,13.51,0.0,0.0,13.6,13.6,13.6,0.0,0.0
2019-09-15,13.99,13.99,13.99,0.0,0.0,14.24,14.24,14.24,0.0,0.0,13.99,13.99,13.99,0.0,0.0,14.24,14.24,14.24,0.0,0.0
2019-09-22,14.81,14.81,14.81,0.0,0.0,14.81,14.81,14.81,0.0,0.0,14.68,14.68,14.68,0.0,0.0,14.68,14.68,14.68,0.0,0.0
2019-09-29,14.84,14.84,14.84,0.0,0.0,14.84,14.84,14.84,0.0,0.0,14.64,14.64,14.64,0.0,0.0,14.64,14.64,14.64,0.0,0.0
2019-10-06,14.25,14.25,14.25,0.0,0.0,14.31,14.31,14.31,0.0,0.0,14.25,14.25,14.25,0.0,0.0,14.31,14.31,14.31,0.0,0.0
2019-10-13,14.16,14.16,14.16,0.0,0.0,14.16,14.16,14.16,0.0,0.0,14.06,14.06,14.06,0.0,0.0,14.06,14.06,14.06,0.0,0.0
2019-10-20,14.33,14.33,14.33,0.0,0.0,14.33,14.33,14.33,0.0,0.0,14.09,14.09,14.09,0.0,0.0,14.09,14.09,14.09,0.0,0.0
2019-10-27,13.97,13.97,13.97,0.0,0.0,13.97,13.97,13.97,0.0,0.0,13.97,13.97,13.97,0.0,0.0,13.97,13.97,13.97,0.0,0.0
2019-11-03,13.9,13.9,13.9,0.0,0.0,13.92,13.92,13.92,0.0,0.0,13.9,13.9,13.9,0.0,0.0,13.92,13.92,13.92,0.0,0.0
2019-11-10,13.8,13.8,13.8,0.0,0.0,13.8,13.8,13.8,0.0,0.0,13.8,13.8,13.8,0.0,0.0,13.8,13.8,13.8,0.0,0.0
2019-11-17,13.81,13.81,13.81,0.0,0.0,13.81,13.81,13.81,0.0,0.0,13.81,13.81,13.81,0.0,0.0,13.81,13.81,13.81,0.0,0.0
2019-11-24,13.44,13.44,13.44,0.0,0.0,13.44,13.44,13.44,0.0,0.0,13.44,13.44,13.44,0.0,0.0,13.44,13.44,13.44,0.0,0.0
2019-12-01,13.84,13.84,13.84,0.0,0.0,13.84,13.84,13.84,0.0,0.0,13.7,13.7,13.7,0.0,0.0,13.73,13.73,13.73,0.0,0.0
2019-12-08,13.61,13.61,13.61,0.0,0.0,13.61,13.61,13.61,0.0,0.0,13.61,13.61,13.61,0.0,0.0,13.61,13.61,13.61,0.0,0.0
2019-12-15,13.17,13.17,13.17,0.0,0.0,13.17,13.17,13.17,0.0,0.0,13.17,13.17,13.17,0.0,0.0,13.17,13.17,13.17,0.0,0.0
2019-12-22,12.88,12.88,12.88,0.0,0.0,12.88,12.88,12.88,0.0,0.0,12.88,12.88,12.88,0.0,0.0,12.88,12.88,12.88,0.0,0.0
2019-12-29,12.85,12.85,12.85,0.0,0.0,12.94,12.94,12.94,0.0,0.0,12.85,12.85,12.85,0.0,0.0,12.94,12.94,12.94,0.0,0.0
