Date,iShares US Technology_Open_average,iShares US Technology_Open_max,iShares US Technology_Open_min,iShares US Technology_Open_volatility,iShares US Technology_Open_change,iShares US Technology_High_average,iShares US Technology_High_max,iShares US Technology_High_min,iShares US Technology_High_volatility,iShares US Technology_High_change,iShares US Technology_Low_average,iShares US Technology_Low_max,iShares US Technology_Low_min,iShares US Technology_Low_volatility,iShares US Technology_Low_change,iShares US Technology_Close_average,iShares US Technology_Close_max,iShares US Technology_Close_min,iShares US Technology_Close_volatility,iShares US Technology_Close_change
2018-03-25,167.18,167.18,167.18,0.0,0.0,168.11,168.11,168.11,0.0,0.0,162.13,162.13,162.13,0.0,0.0,163.92,163.92,163.92,0.0,0.0
2018-04-01,166.06,166.06,166.06,0.0,0.0,169.19,169.19,169.19,0.0,0.0,165.65,165.65,165.65,0.0,0.0,165.77,165.77,165.77,0.0,0.0
2018-04-08,171.97,171.97,171.97,0.0,0.0,172.76,172.76,172.76,0.0,0.0,170.92,170.92,170.92,0.0,0.0,172.11,172.11,172.11,0.0,0.0
2018-04-15,171.05,171.05,171.05,0.0,0.0,171.53,171.53,171.53,0.0,0.0,168.7,168.7,168.7,0.0,0.0,169.51,169.51,169.51,0.0,0.0
2018-04-22,169.34,169.34,169.34,0.0,0.0,170.67,170.67,170.67,0.0,0.0,167.63,167.63,167.63,0.0,0.0,168.01,168.01,168.01,0.0,0.0
2018-04-29,174.9,174.9,174.9,0.0,0.0,176.5,176.5,176.5,0.0,0.0,174.71,174.71,174.71,0.0,0.0,175.68,175.68,175.68,0.0,0.0
2018-05-06,181.25,181.25,181.25,0.0,0.0,181.86,181.86,181.86,0.0,0.0,180.12,180.12,180.12,0.0,0.0,180.4,180.4,180.4,0.0,0.0
2018-05-13,179.09,179.09,179.09,0.0,0.0,180.14,180.14,180.14,0.0,0.0,178.23,178.23,178.23,0.0,0.0,179.01,179.01,179.01,0.0,0.0
2018-05-20,180.01,180.01,180.01,0.0,0.0,180.79,180.79,180.79,0.0,0.0,179.67,179.67,179.67,0.0,0.0,180.18,180.18,180.18,0.0,0.0
2018-05-27,184.56,184.56,184.56,0.0,0.0,185.67,185.67,185.67,0.0,0.0,184.43,184.43,184.43,0.0,0.0,185.5,185.5,185.5,0.0,0.0
2018-06-03,184.63,184.63,184.63,0.0,0.0,185.61,185.61,185.61,0.0,0.0,184.34,184.34,184.34,0.0,0.0,184.99,184.99,184.99,0.0,0.0
2018-06-10,184.75,184.75,184.75,0.0,0.0,186.57,186.57,186.57,0.0,0.0,184.01,184.01,184.01,0.0,0.0,186.4,186.4,186.4,0.0,0.0
2018-06-17,181.45,181.45,181.45,0.0,0.0,181.45,181.45,181.45,0.0,0.0,177.29,177.29,177.29,0.0,0.0,178.92,178.92,178.92,0.0,0.0
2018-06-24,177.02,177.02,177.02,0.0,0.0,180.51,180.51,180.51,0.0,0.0,176.5,176.5,176.5,0.0,0.0,180.5,180.5,180.5,0.0,0.0
2018-07-01,184.15,184.15,184.15,0.0,0.0,184.69,184.69,184.69,0.0,0.0,183.11,183.11,183.11,0.0,0.0,184.67,184.67,184.67,0.0,0.0
2018-07-08,187.18,187.18,187.18,0.0,0.0,187.59,187.59,187.59,0.0,0.0,186.27,186.27,186.27,0.0,0.0,186.57,186.57,186.57,0.0,0.0
2018-07-15,186.88,186.88,186.88,0.0,0.0,188.44,188.44,188.44,0.0,0.0,186.1,186.1,186.1,0.0,0.0,188.32,188.32,188.32,0.0,0.0
2018-07-22,184.82,184.82,184.82,0.0,0.0,184.87,184.87,184.87,0.0,0.0,180.6,180.6,180.6,0.0,0.0,181.8,181.8,181.8,0.0,0.0
2018-07-29,187.68,187.68,187.68,0.0,0.0,189.21,189.21,189.21,0.0,0.0,187.27,187.27,187.27,0.0,0.0,189.21,189.21,189.21,0.0,0.0
2018-08-05,188.94,188.94,188.94,0.0,0.0,190.38,190.38,190.38,0.0,0.0,188.31,188.31,188.31,0.0,0.0,188.31,188.31,188.31,0.0,0.0
2018-08-12,188.52,188.52,188.52,0.0,0.0,188.54,188.54,188.54,0.0,0.0,187.06,187.06,187.06,0.0,0.0,187.91,187.91,187.91,0.0,0.0
2018-08-19,192.62,192.62,192.62,0.0,0.0,193.7,193.7,193.7,0.0,0.0,192.36,192.36,192.36,0.0,0.0,193.62,193.62,193.62,0.0,0.0
2018-08-26,195.34,195.34,195.34,0.0,0.0,196.39,196.39,196.39,0.0,0.0,195.22,195.22,195.22,0.0,0.0,195.84,195.84,195.84,0.0,0.0
2018-09-02,190.49,190.49,190.49,0.0,0.0,190.49,190.49,190.49,0.0,0.0,189.02,189.02,189.02,0.0,0.0,190.28,190.28,190.28,0.0,0.0
2018-09-09,192.52,192.52,192.52,0.0,0.0,192.56,192.56,192.56,0.0,0.0,189.73,189.73,189.73,0.0,0.0,189.95,189.95,189.95,0.0,0.0
2018-09-16,190.54,190.54,190.54,0.0,0.0,193.14,193.14,193.14,0.0,0.0,190.03,190.03,190.03,0.0,0.0,193.02,193.02,193.02,0.0,0.0
2018-09-23,194.87,194.87,194.87,0.0,0.0,195.66,195.66,195.66,0.0,0.0,193.72,193.72,193.72,0.0,0.0,194.31,194.31,194.31,0.0,0.0
2018-09-30,187.92,187.92,187.92,0.0,0.0,188.83,188.83,188.83,0.0,0.0,184.82,184.82,184.82,0.0,0.0,186.9,186.9,186.9,0.0,0.0
2018-10-07,181.28,181.28,181.28,0.0,0.0,181.53,181.53,181.53,0.0,0.0,179.04,179.04,179.04,0.0,0.0,179.45,179.45,179.45,0.0,0.0
2018-10-14,180.41,180.41,180.41,0.0,0.0,182.0,182.0,182.0,0.0,0.0,179.45,179.45,179.45,0.0,0.0,180.93,180.93,180.93,0.0,0.0
2018-10-21,176.57,176.57,176.57,0.0,0.0,177.45,177.45,177.45,0.0,0.0,166.87,166.87,166.87,0.0,0.0,170.41,170.41,170.41,0.0,0.0
2018-10-28,175.89,175.89,175.89,0.0,0.0,175.89,175.89,175.89,0.0,0.0,172.87,172.87,172.87,0.0,0.0,175.15,175.15,175.15,0.0,0.0
2018-11-04,175.6,175.6,175.6,0.0,0.0,175.6,175.6,175.6,0.0,0.0,170.46,170.46,170.46,0.0,0.0,171.07,171.07,171.07,0.0,0.0
2018-11-11,172.21,172.21,172.21,0.0,0.0,172.21,172.21,172.21,0.0,0.0,165.73,165.73,165.73,0.0,0.0,166.17,166.17,166.17,0.0,0.0
2018-11-18,165.96,165.96,165.96,0.0,0.0,167.58,167.58,167.58,0.0,0.0,165.16,165.16,165.16,0.0,0.0,167.57,167.57,167.57,0.0,0.0
2018-11-25,178.26,178.26,178.26,0.0,0.0,178.27,178.27,178.27,0.0,0.0,175.8,175.8,175.8,0.0,0.0,177.15,177.15,177.15,0.0,0.0
2018-12-02,164.84,164.84,164.84,0.0,0.0,168.44,168.44,168.44,0.0,0.0,163.98,163.98,163.98,0.0,0.0,167.75,167.75,167.75,0.0,0.0
2018-12-09,165.26,165.26,165.26,0.0,0.0,166.48,166.48,166.48,0.0,0.0,160.64,160.64,160.64,0.0,0.0,161.98,161.98,161.98,0.0,0.0
2018-12-16,150.88,150.88,150.88,0.0,0.0,152.82,152.82,152.82,0.0,0.0,148.42,148.42,148.42,0.0,0.0,148.42,148.42,148.42,0.0,0.0
2018-12-23,160.28,160.28,160.28,0.0,0.0,160.78,160.78,160.78,0.0,0.0,158.54,158.54,158.54,0.0,0.0,159.93,159.93,159.93,0.0,0.0
2018-12-30,159.93,159.93,159.93,0.0,0.0,162.07,162.07,162.07,0.0,0.0,159.58,159.58,159.58,0.0,0.0,161.16,161.16,161.16,0.0,0.0
2019-01-06,163.08,163.08,163.08,0.0,0.0,163.66,163.66,163.66,0.0,0.0,162.35,162.35,162.35,0.0,0.0,163.14,163.14,163.14,0.0,0.0
2019-01-13,169.02,169.02,169.02,0.0,0.0,170.63,170.63,170.63,0.0,0.0,168.24,168.24,168.24,0.0,0.0,169.92,169.92,169.92,0.0,0.0
2019-01-20,168.7,168.7,168.7,0.0,0.0,168.95,168.95,168.95,0.0,0.0,167.67,167.67,167.67,0.0,0.0,168.86,168.86,168.86,0.0,0.0
2019-01-27,174.74,174.74,174.74,0.0,0.0,177.73,177.73,177.73,0.0,0.0,174.6,174.6,174.6,0.0,0.0,177.73,177.73,177.73,0.0,0.0
2019-02-03,177.95,177.95,177.95,0.0,0.0,178.54,178.54,178.54,0.0,0.0,177.03,177.03,177.03,0.0,0.0,177.36,177.36,177.36,0.0,0.0
2019-02-10,181.62,181.62,181.62,0.0,0.0,181.68,181.68,181.68,0.0,0.0,180.11,180.11,180.11,0.0,0.0,180.85,180.85,180.85,0.0,0.0
2019-02-17,184.6,184.6,184.6,0.0,0.0,185.37,185.37,185.37,0.0,0.0,184.04,184.04,184.04,0.0,0.0,184.14,184.14,184.14,0.0,0.0
2019-02-24,185.77,185.77,185.77,0.0,0.0,186.2,186.2,186.2,0.0,0.0,182.37,182.37,182.37,0.0,0.0,184.59,184.59,184.59,0.0,0.0
2019-03-03,182.82,182.82,182.82,0.0,0.0,186.05,186.05,186.05,0.0,0.0,182.82,182.82,182.82,0.0,0.0,185.9,185.9,185.9,0.0,0.0
2019-03-10,189.36,189.36,189.36,0.0,0.0,190.5,190.5,190.5,0.0,0.0,188.7,188.7,188.7,0.0,0.0,189.82,189.82,189.82,0.0,0.0
2019-03-17,189.48,189.48,189.48,0.0,0.0,189.95,189.95,189.95,0.0,0.0,188.05,188.05,188.05,0.0,0.0,189.39,189.39,189.39,0.0,0.0
2019-03-24,192.47,192.47,192.47,0.0,0.0,193.42,193.42,193.42,0.0,0.0,191.4,191.4,191.4,0.0,0.0,193.31,193.31,193.31,0.0,0.0
2019-03-31,195.64,195.64,195.64,0.0,0.0,196.72,196.72,196.72,0.0,0.0,194.92,194.92,194.92,0.0,0.0,196.64,196.64,196.64,0.0,0.0
2019-04-07,198.68,198.68,198.68,0.0,0.0,199.03,199.03,199.03,0.0,0.0,197.64,197.64,197.64,0.0,0.0,198.73,198.73,198.73,0.0,0.0
2019-04-14,200.09,200.09,200.09,0.0,0.0,202.07,202.07,202.07,0.0,0.0,200.09,200.09,200.09,0.0,0.0,202.07,202.07,202.07,0.0,0.0
2019-04-21,204.77,204.77,204.77,0.0,0.0,205.8,205.8,205.8,0.0,0.0,204.68,204.68,204.68,0.0,0.0,205.41,205.41,205.41,0.0,0.0
2019-04-28,199.28,199.28,199.28,0.0,0.0,203.02,203.02,203.02,0.0,0.0,198.78,198.78,198.78,0.0,0.0,202.73,202.73,202.73,0.0,0.0
2019-05-05,191.37,191.37,191.37,0.0,0.0,192.46,192.46,192.46,0.0,0.0,188.52,188.52,188.52,0.0,0.0,189.08,189.08,189.08,0.0,0.0
2019-05-12,190.74,190.74,190.74,0.0,0.0,191.71,191.71,191.71,0.0,0.0,189.52,189.52,189.52,0.0,0.0,190.19,190.19,190.19,0.0,0.0
2019-05-19,189.34,189.34,189.34,0.0,0.0,190.09,190.09,190.09,0.0,0.0,188.07,188.07,188.07,0.0,0.0,188.19,188.19,188.19,0.0,0.0
2019-05-26,183.32,183.32,183.32,0.0,0.0,183.43,183.43,183.43,0.0,0.0,177.77,177.77,177.77,0.0,0.0,178.89,178.89,178.89,0.0,0.0
2019-06-02,193.01,193.01,193.01,0.0,0.0,195.97,195.97,195.97,0.0,0.0,193.01,193.01,193.01,0.0,0.0,193.91,193.91,193.91,0.0,0.0
2019-06-09,192.35,192.35,192.35,0.0,0.0,193.74,193.74,193.74,0.0,0.0,192.35,192.35,192.35,0.0,0.0,193.03,193.03,193.03,0.0,0.0
2019-06-16,199.36,199.36,199.36,0.0,0.0,199.7,199.7,199.7,0.0,0.0,198.92,198.92,198.92,0.0,0.0,199.03,199.03,199.03,0.0,0.0
2019-06-23,202.15,202.15,202.15,0.0,0.0,202.5,202.5,202.5,0.0,0.0,200.01,200.01,200.01,0.0,0.0,200.96,200.96,200.96,0.0,0.0
2019-06-30,201.39,201.39,201.39,0.0,0.0,201.39,201.39,201.39,0.0,0.0,200.39,200.39,200.39,0.0,0.0,201.33,201.33,201.33,0.0,0.0
2019-07-07,206.83,206.83,206.83,0.0,0.0,207.04,207.04,207.04,0.0,0.0,206.32,206.32,206.32,0.0,0.0,206.94,206.94,206.94,0.0,0.0
2019-07-14,205.25,205.25,205.25,0.0,0.0,207.44,207.44,207.44,0.0,0.0,205.25,205.25,205.25,0.0,0.0,207.05,207.05,207.05,0.0,0.0
2019-07-21,211.56,211.56,211.56,0.0,0.0,211.56,211.56,211.56,0.0,0.0,209.46,209.46,209.46,0.0,0.0,211.15,211.15,211.15,0.0,0.0
2019-07-28,196.67,196.67,196.67,0.0,0.0,196.67,196.67,196.67,0.0,0.0,192.05,192.05,192.05,0.0,0.0,193.7,193.7,193.7,0.0,0.0
2019-08-04,198.47,198.47,198.47,0.0,0.0,198.92,198.92,198.92,0.0,0.0,196.34,196.34,196.34,0.0,0.0,197.31,197.31,197.31,0.0,0.0
2019-08-11,201.13,201.13,201.13,0.0,0.0,202.04,202.04,202.04,0.0,0.0,200.56,200.56,200.56,0.0,0.0,201.32,201.32,201.32,0.0,0.0
2019-08-18,197.59,197.59,197.59,0.0,0.0,198.0,198.0,198.0,0.0,0.0,196.22,196.22,196.22,0.0,0.0,197.82,197.82,197.82,0.0,0.0
2019-08-25,202.34,202.34,202.34,0.0,0.0,202.34,202.34,202.34,0.0,0.0,199.62,199.62,199.62,0.0,0.0,200.91,200.91,200.91,0.0,0.0
2019-09-01,205.73,205.73,205.73,0.0,0.0,205.85,205.85,205.85,0.0,0.0,203.44,203.44,203.44,0.0,0.0,204.53,204.53,204.53,0.0,0.0
2019-09-08,204.64,204.64,204.64,0.0,0.0,206.27,206.27,206.27,0.0,0.0,204.12,204.12,204.12,0.0,0.0,205.98,205.98,205.98,0.0,0.0
2019-09-15,205.48,205.48,205.48,0.0,0.0,206.79,206.79,206.79,0.0,0.0,205.14,205.14,205.14,0.0,0.0,206.08,206.08,206.08,0.0,0.0
2019-09-22,203.14,203.14,203.14,0.0,0.0,204.6,204.6,204.6,0.0,0.0,202.74,202.74,202.74,0.0,0.0,204.21,204.21,204.21,0.0,0.0
2019-09-29,203.95,203.95,203.95,0.0,0.0,205.55,205.55,205.55,0.0,0.0,203.79,203.79,203.79,0.0,0.0,203.93,203.93,203.93,0.0,0.0
2019-10-06,207.0,207.0,207.0,0.0,0.0,207.78,207.78,207.78,0.0,0.0,206.8,206.8,206.8,0.0,0.0,207.02,207.02,207.02,0.0,0.0
2019-10-13,206.59,206.59,206.59,0.0,0.0,207.8,207.8,207.8,0.0,0.0,206.25,206.25,206.25,0.0,0.0,207.7,207.7,207.7,0.0,0.0
2019-10-20,212.11,212.11,212.11,0.0,0.0,213.71,213.71,213.71,0.0,0.0,212.11,212.11,212.11,0.0,0.0,213.46,213.46,213.46,0.0,0.0
2019-10-27,216.31,216.31,216.31,0.0,0.0,216.73,216.73,216.73,0.0,0.0,215.92,215.92,215.92,0.0,0.0,216.53,216.53,216.53,0.0,0.0
2019-11-03,217.84,217.84,217.84,0.0,0.0,219.15,219.15,219.15,0.0,0.0,217.72,217.72,217.72,0.0,0.0,219.02,219.02,219.02,0.0,0.0
2019-11-10,222.13,222.13,222.13,0.0,0.0,223.1,223.1,223.1,0.0,0.0,221.2,221.2,221.2,0.0,0.0,222.66,222.66,222.66,0.0,0.0
2019-11-17,221.74,221.74,221.74,0.0,0.0,223.82,223.82,223.82,0.0,0.0,221.74,221.74,221.74,0.0,0.0,223.82,223.82,223.82,0.0,0.0
2019-11-24,223.97,223.97,223.97,0.0,0.0,223.97,223.97,223.97,0.0,0.0,219.62,219.62,219.62,0.0,0.0,220.54,220.54,220.54,0.0,0.0
2019-12-01,222.74,222.74,222.74,0.0,0.0,223.96,223.96,223.96,0.0,0.0,222.36,222.36,222.36,0.0,0.0,222.37,222.37,222.37,0.0,0.0
2019-12-08,227.9,227.9,227.9,0.0,0.0,229.39,229.39,229.39,0.0,0.0,227.87,227.87,227.87,0.0,0.0,228.65,228.65,228.65,0.0,0.0
2019-12-15,232.02,232.02,232.02,0.0,0.0,232.43,232.43,232.43,0.0,0.0,231.73,231.73,231.73,0.0,0.0,232.07,232.07,232.07,0.0,0.0
2019-12-22,233.5,233.5,233.5,0.0,0.0,233.5,233.5,233.5,0.0,0.0,230.41,230.41,230.41,0.0,0.0,232.06,232.06,232.06,0.0,0.0
2019-12-29,234.2,234.2,234.2,0.0,0.0,236.53,236.53,236.53,0.0,0.0,234.2,234.2,234.2,0.0,0.0,235.05,235.05,235.05,0.0,0.0
