Date,ProShares UltraShort Basic Materials_Open_average,ProShares UltraShort Basic Materials_Open_max,ProShares UltraShort Basic Materials_Open_min,ProShares UltraShort Basic Materials_Open_volatility,ProShares UltraShort Basic Materials_Open_change,ProShares UltraShort Basic Materials_High_average,ProShares UltraShort Basic Materials_High_max,ProShares UltraShort Basic Materials_High_min,ProShares UltraShort Basic Materials_High_volatility,ProShares UltraShort Basic Materials_High_change,ProShares UltraShort Basic Materials_Low_average,ProShares UltraShort Basic Materials_Low_max,ProShares UltraShort Basic Materials_Low_min,ProShares UltraShort Basic Materials_Low_volatility,ProShares UltraShort Basic Materials_Low_change,ProShares UltraShort Basic Materials_Close_average,ProShares UltraShort Basic Materials_Close_max,ProShares UltraShort Basic Materials_Close_min,ProShares UltraShort Basic Materials_Close_volatility,ProShares UltraShort Basic Materials_Close_change
2018-04-08,26.68,26.68,26.68,0.0,0.0,26.72,26.72,26.72,0.0,0.0,26.18,26.18,26.18,0.0,0.0,26.22,26.22,26.22,0.0,0.0
2018-04-15,26.24,26.24,26.24,0.0,0.0,26.35,26.35,26.35,0.0,0.0,26.14,26.14,26.14,0.0,0.0,26.35,26.35,26.35,0.0,0.0
2018-04-22,27.1,27.1,27.1,0.0,0.0,27.48,27.48,27.48,0.0,0.0,27.1,27.1,27.1,0.0,0.0,27.48,27.48,27.48,0.0,0.0
2018-04-29,26.94,26.94,26.94,0.0,0.0,26.94,26.94,26.94,0.0,0.0,26.7,26.7,26.7,0.0,0.0,26.83,26.83,26.83,0.0,0.0
2018-05-06,25.7,25.7,25.7,0.0,0.0,26.06,26.06,26.06,0.0,0.0,25.7,25.7,25.7,0.0,0.0,25.84,25.84,25.84,0.0,0.0
2018-05-13,24.82,24.82,24.82,0.0,0.0,24.84,24.84,24.84,0.0,0.0,24.78,24.78,24.78,0.0,0.0,24.84,24.84,24.84,0.0,0.0
2018-05-20,25.62,25.62,25.62,0.0,0.0,26.15,26.15,26.15,0.0,0.0,25.62,25.62,25.62,0.0,0.0,26.07,26.07,26.07,0.0,0.0
2018-05-27,25.57,25.57,25.57,0.0,0.0,25.57,25.57,25.57,0.0,0.0,25.42,25.42,25.42,0.0,0.0,25.54,25.54,25.54,0.0,0.0
2018-06-03,24.75,24.75,24.75,0.0,0.0,24.75,24.75,24.75,0.0,0.0,24.19,24.19,24.19,0.0,0.0,24.37,24.37,24.37,0.0,0.0
2018-06-10,25.59,25.59,25.59,0.0,0.0,25.59,25.59,25.59,0.0,0.0,25.27,25.27,25.27,0.0,0.0,25.38,25.38,25.38,0.0,0.0
2018-06-17,26.6,26.6,26.6,0.0,0.0,27.44,27.44,27.44,0.0,0.0,26.6,26.6,26.6,0.0,0.0,27.14,27.14,27.14,0.0,0.0
2018-06-24,26.94,26.94,26.94,0.0,0.0,27.05,27.05,27.05,0.0,0.0,26.79,26.79,26.79,0.0,0.0,26.79,26.79,26.79,0.0,0.0
2018-07-01,25.8,25.8,25.8,0.0,0.0,25.8,25.8,25.8,0.0,0.0,25.69,25.69,25.69,0.0,0.0,25.72,25.72,25.72,0.0,0.0
2018-07-08,26.01,26.01,26.01,0.0,0.0,26.43,26.43,26.43,0.0,0.0,26.01,26.01,26.01,0.0,0.0,26.43,26.43,26.43,0.0,0.0
2018-07-15,26.31,26.31,26.31,0.0,0.0,26.4,26.4,26.4,0.0,0.0,26.28,26.28,26.28,0.0,0.0,26.28,26.28,26.28,0.0,0.0
2018-07-22,25.02,25.02,25.02,0.0,0.0,25.38,25.38,25.38,0.0,0.0,24.99,24.99,24.99,0.0,0.0,25.35,25.35,25.35,0.0,0.0
2018-07-29,25.57,25.57,25.57,0.0,0.0,25.57,25.57,25.57,0.0,0.0,25.16,25.16,25.16,0.0,0.0,25.34,25.34,25.34,0.0,0.0
2018-08-05,25.88,25.88,25.88,0.0,0.0,26.3,26.3,26.3,0.0,0.0,25.62,25.62,25.62,0.0,0.0,26.3,26.3,26.3,0.0,0.0
2018-08-12,25.87,25.87,25.87,0.0,0.0,25.87,25.87,25.87,0.0,0.0,25.47,25.47,25.47,0.0,0.0,25.61,25.61,25.61,0.0,0.0
2018-08-19,25.12,25.12,25.12,0.0,0.0,25.12,25.12,25.12,0.0,0.0,24.47,24.47,24.47,0.0,0.0,24.57,24.57,24.57,0.0,0.0
2018-08-26,25.42,25.42,25.42,0.0,0.0,25.42,25.42,25.42,0.0,0.0,24.82,24.82,24.82,0.0,0.0,25.19,25.19,25.19,0.0,0.0
2018-09-02,25.68,25.68,25.68,0.0,0.0,25.68,25.68,25.68,0.0,0.0,25.48,25.48,25.48,0.0,0.0,25.6,25.6,25.6,0.0,0.0
2018-09-09,25.4,25.4,25.4,0.0,0.0,25.4,25.4,25.4,0.0,0.0,25.4,25.4,25.4,0.0,0.0,25.4,25.4,25.4,0.0,0.0
2018-09-16,24.65,24.65,24.65,0.0,0.0,25.04,25.04,25.04,0.0,0.0,24.65,24.65,24.65,0.0,0.0,25.04,25.04,25.04,0.0,0.0
2018-09-23,26.17,26.17,26.17,0.0,0.0,26.44,26.44,26.44,0.0,0.0,26.1,26.1,26.1,0.0,0.0,26.41,26.41,26.41,0.0,0.0
2018-09-30,26.8,26.8,26.8,0.0,0.0,27.09,27.09,27.09,0.0,0.0,26.65,26.65,26.65,0.0,0.0,26.65,26.65,26.65,0.0,0.0
2018-10-07,30.49,30.49,30.49,0.0,0.0,30.49,30.49,30.49,0.0,0.0,30.16,30.16,30.16,0.0,0.0,30.17,30.17,30.17,0.0,0.0
2018-10-14,30.79,30.79,30.79,0.0,0.0,31.58,31.58,31.58,0.0,0.0,30.79,30.79,30.79,0.0,0.0,31.2,31.2,31.2,0.0,0.0
2018-10-21,33.46,33.46,33.46,0.0,0.0,34.57,34.57,34.57,0.0,0.0,32.63,32.63,32.63,0.0,0.0,34.15,34.15,34.15,0.0,0.0
2018-10-28,30.76,30.76,30.76,0.0,0.0,30.76,30.76,30.76,0.0,0.0,30.02,30.02,30.02,0.0,0.0,30.02,30.02,30.02,0.0,0.0
2018-11-04,29.78,29.78,29.78,0.0,0.0,30.58,30.58,30.58,0.0,0.0,29.72,29.72,29.72,0.0,0.0,30.41,30.41,30.41,0.0,0.0
2018-11-11,29.25,29.25,29.25,0.0,0.0,30.56,30.56,30.56,0.0,0.0,29.25,29.25,29.25,0.0,0.0,30.43,30.43,30.43,0.0,0.0
2018-11-18,31.3,31.3,31.3,0.0,0.0,31.5,31.5,31.5,0.0,0.0,30.93,30.93,30.93,0.0,0.0,31.28,31.28,31.28,0.0,0.0
2018-11-25,29.32,29.32,29.32,0.0,0.0,30.0,30.0,30.0,0.0,0.0,28.72,28.72,28.72,0.0,0.0,29.4,29.4,29.4,0.0,0.0
2018-12-02,33.9,33.9,33.9,0.0,0.0,34.55,34.55,34.55,0.0,0.0,33.54,33.54,33.54,0.0,0.0,33.67,33.67,33.67,0.0,0.0
2018-12-09,34.65,34.65,34.65,0.0,0.0,35.84,35.84,35.84,0.0,0.0,34.36,34.36,34.36,0.0,0.0,35.74,35.74,35.74,0.0,0.0
2018-12-16,37.88,37.88,37.88,0.0,0.0,39.53,39.53,39.53,0.0,0.0,37.58,37.58,37.58,0.0,0.0,39.32,39.32,39.32,0.0,0.0
2018-12-23,34.89,34.89,34.89,0.0,0.0,35.47,35.47,35.47,0.0,0.0,34.62,34.62,34.62,0.0,0.0,35.02,35.02,35.02,0.0,0.0
2018-12-30,33.2,33.2,33.2,0.0,0.0,33.81,33.81,33.81,0.0,0.0,32.47,32.47,32.47,0.0,0.0,33.11,33.11,33.11,0.0,0.0
2019-01-06,32.51,32.51,32.51,0.0,0.0,32.55,32.55,32.55,0.0,0.0,32.22,32.22,32.22,0.0,0.0,32.53,32.53,32.53,0.0,0.0
2019-01-13,31.11,31.11,31.11,0.0,0.0,31.11,31.11,31.11,0.0,0.0,30.08,30.08,30.08,0.0,0.0,30.44,30.44,30.44,0.0,0.0
2019-01-20,31.12,31.12,31.12,0.0,0.0,31.3,31.3,31.3,0.0,0.0,30.82,30.82,30.82,0.0,0.0,30.82,30.82,30.82,0.0,0.0
2019-01-27,30.52,30.52,30.52,0.0,0.0,30.52,30.52,30.52,0.0,0.0,30.16,30.16,30.16,0.0,0.0,30.16,30.16,30.16,0.0,0.0
2019-02-03,31.28,31.28,31.28,0.0,0.0,31.45,31.45,31.45,0.0,0.0,31.26,31.26,31.26,0.0,0.0,31.26,31.26,31.26,0.0,0.0
2019-02-10,29.2,29.2,29.2,0.0,0.0,29.37,29.37,29.37,0.0,0.0,29.2,29.2,29.2,0.0,0.0,29.37,29.37,29.37,0.0,0.0
2019-02-17,27.43,27.43,27.43,0.0,0.0,27.43,27.43,27.43,0.0,0.0,27.3,27.3,27.3,0.0,0.0,27.34,27.34,27.34,0.0,0.0
2019-02-24,28.58,28.58,28.58,0.0,0.0,29.22,29.22,29.22,0.0,0.0,28.33,28.33,28.33,0.0,0.0,28.57,28.57,28.57,0.0,0.0
2019-03-03,29.23,29.23,29.23,0.0,0.0,29.23,29.23,29.23,0.0,0.0,28.53,28.53,28.53,0.0,0.0,28.54,28.54,28.54,0.0,0.0
2019-03-10,28.73,28.73,28.73,0.0,0.0,28.73,28.73,28.73,0.0,0.0,28.27,28.27,28.27,0.0,0.0,28.27,28.27,28.27,0.0,0.0
2019-03-17,29.5,29.5,29.5,0.0,0.0,29.87,29.87,29.87,0.0,0.0,29.16,29.16,29.16,0.0,0.0,29.73,29.73,29.73,0.0,0.0
2019-03-24,28.0,28.0,28.0,0.0,0.0,28.09,28.09,28.09,0.0,0.0,27.6,27.6,27.6,0.0,0.0,27.64,27.64,27.64,0.0,0.0
2019-03-31,26.15,26.15,26.15,0.0,0.0,26.15,26.15,26.15,0.0,0.0,26.01,26.01,26.01,0.0,0.0,26.04,26.04,26.04,0.0,0.0
2019-04-07,26.07,26.07,26.07,0.0,0.0,26.07,26.07,26.07,0.0,0.0,26.07,26.07,26.07,0.0,0.0,26.07,26.07,26.07,0.0,0.0
2019-04-14,26.3,26.3,26.3,0.0,0.0,26.47,26.47,26.47,0.0,0.0,26.3,26.3,26.3,0.0,0.0,26.47,26.47,26.47,0.0,0.0
2019-04-21,27.21,27.21,27.21,0.0,0.0,27.29,27.29,27.29,0.0,0.0,27.06,27.06,27.06,0.0,0.0,27.08,27.08,27.08,0.0,0.0
2019-04-28,28.8,28.8,28.8,0.0,0.0,28.91,28.91,28.91,0.0,0.0,28.47,28.47,28.47,0.0,0.0,28.6,28.6,28.6,0.0,0.0
2019-05-05,31.2,31.2,31.2,0.0,0.0,31.49,31.49,31.49,0.0,0.0,30.68,30.68,30.68,0.0,0.0,31.22,31.22,31.22,0.0,0.0
2019-05-12,31.01,31.01,31.01,0.0,0.0,31.09,31.09,31.09,0.0,0.0,30.66,30.66,30.66,0.0,0.0,31.09,31.09,31.09,0.0,0.0
2019-05-19,31.35,31.35,31.35,0.0,0.0,31.7,31.7,31.7,0.0,0.0,30.94,30.94,30.94,0.0,0.0,31.31,31.31,31.31,0.0,0.0
2019-05-26,32.46,32.46,32.46,0.0,0.0,32.46,32.46,32.46,0.0,0.0,30.65,30.65,30.65,0.0,0.0,30.69,30.69,30.69,0.0,0.0
2019-06-02,27.22,27.22,27.22,0.0,0.0,27.61,27.61,27.61,0.0,0.0,27.22,27.22,27.22,0.0,0.0,27.61,27.61,27.61,0.0,0.0
2019-06-09,27.32,27.32,27.32,0.0,0.0,27.57,27.57,27.57,0.0,0.0,27.15,27.15,27.15,0.0,0.0,27.57,27.57,27.57,0.0,0.0
2019-06-16,26.76,26.76,26.76,0.0,0.0,26.76,26.76,26.76,0.0,0.0,26.32,26.32,26.32,0.0,0.0,26.43,26.43,26.43,0.0,0.0
2019-06-23,25.59,25.59,25.59,0.0,0.0,25.79,25.79,25.79,0.0,0.0,25.38,25.38,25.38,0.0,0.0,25.51,25.51,25.51,0.0,0.0
2019-06-30,25.96,25.96,25.96,0.0,0.0,26.52,26.52,26.52,0.0,0.0,25.96,25.96,25.96,0.0,0.0,26.33,26.33,26.33,0.0,0.0
2019-07-07,25.96,25.96,25.96,0.0,0.0,26.12,26.12,26.12,0.0,0.0,25.91,25.91,25.91,0.0,0.0,25.91,25.91,25.91,0.0,0.0
2019-07-14,25.74,25.74,25.74,0.0,0.0,25.99,25.99,25.99,0.0,0.0,25.74,25.74,25.74,0.0,0.0,25.87,25.87,25.87,0.0,0.0
2019-07-21,25.73,25.73,25.73,0.0,0.0,25.99,25.99,25.99,0.0,0.0,25.73,25.73,25.73,0.0,0.0,25.85,25.85,25.85,0.0,0.0
2019-07-28,29.0,29.0,29.0,0.0,0.0,29.35,29.35,29.35,0.0,0.0,28.43,28.43,28.43,0.0,0.0,28.76,28.76,28.76,0.0,0.0
2019-08-04,27.8,27.8,27.8,0.0,0.0,28.58,28.58,28.58,0.0,0.0,27.78,27.78,27.78,0.0,0.0,28.48,28.48,28.48,0.0,0.0
2019-08-11,28.4,28.4,28.4,0.0,0.0,28.45,28.45,28.45,0.0,0.0,28.26,28.26,28.26,0.0,0.0,28.37,28.37,28.37,0.0,0.0
2019-08-18,30.65,30.65,30.65,0.0,0.0,30.75,30.75,30.75,0.0,0.0,30.36,30.36,30.36,0.0,0.0,30.61,30.61,30.61,0.0,0.0
2019-08-25,28.42,28.42,28.42,0.0,0.0,28.81,28.81,28.81,0.0,0.0,28.35,28.35,28.35,0.0,0.0,28.64,28.64,28.64,0.0,0.0
2019-09-01,27.51,27.51,27.51,0.0,0.0,27.88,27.88,27.88,0.0,0.0,27.51,27.51,27.51,0.0,0.0,27.76,27.76,27.76,0.0,0.0
2019-09-08,26.02,26.02,26.02,0.0,0.0,26.37,26.37,26.37,0.0,0.0,26.02,26.02,26.02,0.0,0.0,26.31,26.31,26.31,0.0,0.0
2019-09-15,26.42,26.42,26.42,0.0,0.0,26.47,26.47,26.47,0.0,0.0,26.23,26.23,26.23,0.0,0.0,26.32,26.32,26.32,0.0,0.0
2019-09-22,26.53,26.53,26.53,0.0,0.0,26.61,26.61,26.61,0.0,0.0,26.53,26.53,26.53,0.0,0.0,26.56,26.56,26.56,0.0,0.0
2019-09-29,28.29,28.29,28.29,0.0,0.0,28.44,28.44,28.44,0.0,0.0,28.26,28.26,28.26,0.0,0.0,28.44,28.44,28.44,0.0,0.0
2019-10-06,27.5,27.5,27.5,0.0,0.0,27.69,27.69,27.69,0.0,0.0,27.38,27.38,27.38,0.0,0.0,27.66,27.66,27.66,0.0,0.0
2019-10-13,27.18,27.18,27.18,0.0,0.0,27.41,27.41,27.41,0.0,0.0,27.18,27.18,27.18,0.0,0.0,27.41,27.41,27.41,0.0,0.0
2019-10-20,26.04,26.04,26.04,0.0,0.0,26.4,26.4,26.4,0.0,0.0,26.04,26.04,26.04,0.0,0.0,26.2,26.2,26.2,0.0,0.0
2019-10-27,25.05,25.05,25.05,0.0,0.0,25.24,25.24,25.24,0.0,0.0,24.9,24.9,24.9,0.0,0.0,24.9,24.9,24.9,0.0,0.0
2019-11-03,24.29,24.29,24.29,0.0,0.0,24.33,24.33,24.33,0.0,0.0,24.18,24.18,24.18,0.0,0.0,24.18,24.18,24.18,0.0,0.0
2019-11-10,24.44,24.44,24.44,0.0,0.0,24.45,24.45,24.45,0.0,0.0,24.31,24.31,24.31,0.0,0.0,24.41,24.41,24.41,0.0,0.0
2019-11-17,24.77,24.77,24.77,0.0,0.0,24.82,24.82,24.82,0.0,0.0,24.77,24.77,24.77,0.0,0.0,24.78,24.78,24.78,0.0,0.0
2019-11-24,24.62,24.62,24.62,0.0,0.0,25.09,25.09,25.09,0.0,0.0,24.62,24.62,24.62,0.0,0.0,25.09,25.09,25.09,0.0,0.0
2019-12-01,24.57,24.57,24.57,0.0,0.0,24.58,24.58,24.58,0.0,0.0,24.57,24.57,24.57,0.0,0.0,24.57,24.57,24.57,0.0,0.0
2019-12-08,23.7,23.7,23.7,0.0,0.0,23.97,23.97,23.97,0.0,0.0,23.7,23.7,23.7,0.0,0.0,23.97,23.97,23.97,0.0,0.0
2019-12-15,23.37,23.37,23.37,0.0,0.0,23.37,23.37,23.37,0.0,0.0,23.37,23.37,23.37,0.0,0.0,23.37,23.37,23.37,0.0,0.0
2019-12-22,23.32,23.32,23.32,0.0,0.0,23.46,23.46,23.46,0.0,0.0,23.24,23.24,23.24,0.0,0.0,23.46,23.46,23.46,0.0,0.0
2019-12-29,23.96,23.96,23.96,0.0,0.0,24.39,24.39,24.39,0.0,0.0,23.96,23.96,23.96,0.0,0.0,24.37,24.37,24.37,0.0,0.0
