Date,VelocityShares 1x Daily Inverse VSTOXX Futures_Open_average,VelocityShares 1x Daily Inverse VSTOXX Futures_Open_max,VelocityShares 1x Daily Inverse VSTOXX Futures_Open_min,VelocityShares 1x Daily Inverse VSTOXX Futures_Open_volatility,VelocityShares 1x Daily Inverse VSTOXX Futures_Open_change,VelocityShares 1x Daily Inverse VSTOXX Futures_High_average,VelocityShares 1x Daily Inverse VSTOXX Futures_High_max,VelocityShares 1x Daily Inverse VSTOXX Futures_High_min,VelocityShares 1x Daily Inverse VSTOXX Futures_High_volatility,VelocityShares 1x Daily Inverse VSTOXX Futures_High_change,VelocityShares 1x Daily Inverse VSTOXX Futures_Low_average,VelocityShares 1x Daily Inverse VSTOXX Futures_Low_max,VelocityShares 1x Daily Inverse VSTOXX Futures_Low_min,VelocityShares 1x Daily Inverse VSTOXX Futures_Low_volatility,VelocityShares 1x Daily Inverse VSTOXX Futures_Low_change,VelocityShares 1x Daily Inverse VSTOXX Futures_Close_average,VelocityShares 1x Daily Inverse VSTOXX Futures_Close_max,VelocityShares 1x Daily Inverse VSTOXX Futures_Close_min,VelocityShares 1x Daily Inverse VSTOXX Futures_Close_volatility,VelocityShares 1x Daily Inverse VSTOXX Futures_Close_change
2019-08-04,32.37,32.37,32.37,0.0,0.0,32.37,32.37,32.37,0.0,0.0,31.32,31.32,31.32,0.0,0.0,31.59,31.59,31.59,0.0,0.0
2019-08-11,28.61,28.61,28.61,0.0,0.0,29.5,29.5,29.5,0.0,0.0,28.6,28.6,28.6,0.0,0.0,29.32,29.32,29.32,0.0,0.0
2019-08-18,30.5,30.5,30.5,0.0,0.0,30.5,30.5,30.5,0.0,0.0,28.1,28.1,28.1,0.0,0.0,28.73,28.73,28.73,0.0,0.0
2019-08-25,30.48,30.48,30.48,0.0,0.0,30.6,30.6,30.6,0.0,0.0,30.0,30.0,30.0,0.0,0.0,30.24,30.24,30.24,0.0,0.0
2019-09-01,32.57,32.57,32.57,0.0,0.0,34.44,34.44,34.44,0.0,0.0,32.57,32.57,32.57,0.0,0.0,33.5,33.5,33.5,0.0,0.0
2019-09-08,35.98,35.98,35.98,0.0,0.0,36.2,36.2,36.2,0.0,0.0,35.71,35.71,35.71,0.0,0.0,35.71,35.71,35.71,0.0,0.0
2019-09-15,36.3,36.3,36.3,0.0,0.0,36.48,36.48,36.48,0.0,0.0,34.87,34.87,34.87,0.0,0.0,35.06,35.06,35.06,0.0,0.0
2019-09-22,33.46,33.46,33.46,0.0,0.0,33.6,33.6,33.6,0.0,0.0,31.92,31.92,31.92,0.0,0.0,32.0,32.0,32.0,0.0,0.0
2019-09-29,30.36,30.36,30.36,0.0,0.0,31.65,31.65,31.65,0.0,0.0,30.35,30.35,30.35,0.0,0.0,31.65,31.65,31.65,0.0,0.0
2019-10-06,33.04,33.04,33.04,0.0,0.0,33.8,33.8,33.8,0.0,0.0,32.96,32.96,32.96,0.0,0.0,33.59,33.59,33.59,0.0,0.0
2019-10-13,35.55,35.55,35.55,0.0,0.0,35.76,35.76,35.76,0.0,0.0,35.02,35.02,35.02,0.0,0.0,35.53,35.53,35.53,0.0,0.0
2019-10-20,37.0,37.0,37.0,0.0,0.0,37.9,37.9,37.9,0.0,0.0,37.0,37.0,37.0,0.0,0.0,37.61,37.61,37.61,0.0,0.0
2019-10-27,38.08,38.08,38.08,0.0,0.0,38.98,38.98,38.98,0.0,0.0,38.08,38.08,38.08,0.0,0.0,38.83,38.83,38.83,0.0,0.0
2019-11-03,38.9,38.9,38.9,0.0,0.0,39.78,39.78,39.78,0.0,0.0,38.9,38.9,38.9,0.0,0.0,39.6,39.6,39.6,0.0,0.0
2019-11-10,42.0,42.0,42.0,0.0,0.0,42.5,42.5,42.5,0.0,0.0,42.0,42.0,42.0,0.0,0.0,42.5,42.5,42.5,0.0,0.0
2019-11-17,42.11,42.11,42.11,0.0,0.0,42.11,42.11,42.11,0.0,0.0,42.11,42.11,42.11,0.0,0.0,42.11,42.11,42.11,0.0,0.0
2019-11-24,43.54,43.54,43.54,0.0,0.0,43.54,43.54,43.54,0.0,0.0,43.13,43.13,43.13,0.0,0.0,43.13,43.13,43.13,0.0,0.0
2019-12-01,41.71,41.71,41.71,0.0,0.0,42.14,42.14,42.14,0.0,0.0,41.71,41.71,41.71,0.0,0.0,42.0,42.0,42.0,0.0,0.0
2019-12-08,43.54,43.54,43.54,0.0,0.0,45.03,45.03,45.03,0.0,0.0,43.54,43.54,43.54,0.0,0.0,45.03,45.03,45.03,0.0,0.0
2019-12-15,46.65,46.65,46.65,0.0,0.0,46.89,46.89,46.89,0.0,0.0,46.29,46.29,46.29,0.0,0.0,46.29,46.29,46.29,0.0,0.0
2019-12-22,45.76,45.76,45.76,0.0,0.0,46.06,46.06,46.06,0.0,0.0,45.45,45.45,45.45,0.0,0.0,45.45,45.45,45.45,0.0,0.0
2019-12-29,44.84,44.84,44.84,0.0,0.0,44.96,44.96,44.96,0.0,0.0,43.84,43.84,43.84,0.0,0.0,44.57,44.57,44.57,0.0,0.0
