Date,PowerShares Dynamic Market_Open_average,PowerShares Dynamic Market_Open_max,PowerShares Dynamic Market_Open_min,PowerShares Dynamic Market_Open_volatility,PowerShares Dynamic Market_Open_change,PowerShares Dynamic Market_High_average,PowerShares Dynamic Market_High_max,PowerShares Dynamic Market_High_min,PowerShares Dynamic Market_High_volatility,PowerShares Dynamic Market_High_change,PowerShares Dynamic Market_Low_average,PowerShares Dynamic Market_Low_max,PowerShares Dynamic Market_Low_min,PowerShares Dynamic Market_Low_volatility,PowerShares Dynamic Market_Low_change,PowerShares Dynamic Market_Close_average,PowerShares Dynamic Market_Close_max,PowerShares Dynamic Market_Close_min,PowerShares Dynamic Market_Close_volatility,PowerShares Dynamic Market_Close_change
2018-04-15,98.37,98.37,98.37,0.0,0.0,98.43,98.43,98.43,0.0,0.0,98.0,98.0,98.0,0.0,0.0,98.0,98.0,98.0,0.0,0.0
2018-04-22,97.68,97.68,97.68,0.0,0.0,97.74,97.74,97.74,0.0,0.0,97.53,97.53,97.53,0.0,0.0,97.67,97.67,97.67,0.0,0.0
2018-04-29,97.49,97.49,97.49,0.0,0.0,97.95,97.95,97.95,0.0,0.0,97.49,97.49,97.49,0.0,0.0,97.95,97.95,97.95,0.0,0.0
2018-05-06,100.29,100.29,100.29,0.0,0.0,100.29,100.29,100.29,0.0,0.0,100.11,100.11,100.11,0.0,0.0,100.11,100.11,100.11,0.0,0.0
2018-05-13,100.83,100.83,100.83,0.0,0.0,101.0,101.0,101.0,0.0,0.0,100.83,100.83,100.83,0.0,0.0,100.92,100.92,100.92,0.0,0.0
2018-05-20,101.51,101.51,101.51,0.0,0.0,101.51,101.51,101.51,0.0,0.0,101.39,101.39,101.39,0.0,0.0,101.39,101.39,101.39,0.0,0.0
2018-05-27,101.49,101.49,101.49,0.0,0.0,101.61,101.61,101.61,0.0,0.0,101.46,101.46,101.46,0.0,0.0,101.61,101.61,101.61,0.0,0.0
2018-06-03,103.28,103.28,103.28,0.0,0.0,103.7,103.7,103.7,0.0,0.0,103.28,103.28,103.28,0.0,0.0,103.68,103.68,103.68,0.0,0.0
2018-06-10,103.77,103.77,103.77,0.0,0.0,103.77,103.77,103.77,0.0,0.0,103.77,103.77,103.77,0.0,0.0,103.77,103.77,103.77,0.0,0.0
2018-06-17,102.49,102.49,102.49,0.0,0.0,102.53,102.53,102.53,0.0,0.0,102.49,102.49,102.49,0.0,0.0,102.52,102.52,102.52,0.0,0.0
2018-06-24,101.03,101.03,101.03,0.0,0.0,101.47,101.47,101.47,0.0,0.0,100.68,100.68,100.68,0.0,0.0,100.79,100.79,100.79,0.0,0.0
2018-07-01,101.42,101.42,101.42,0.0,0.0,102.2,102.2,102.2,0.0,0.0,100.28,100.28,100.28,0.0,0.0,102.2,102.2,102.2,0.0,0.0
2018-07-08,103.22,103.22,103.22,0.0,0.0,103.41,103.41,103.41,0.0,0.0,102.9,102.9,102.9,0.0,0.0,103.27,103.27,103.27,0.0,0.0
2018-07-15,103.95,103.95,103.95,0.0,0.0,103.95,103.95,103.95,0.0,0.0,103.48,103.48,103.48,0.0,0.0,103.48,103.48,103.48,0.0,0.0
2018-07-22,104.19,104.19,104.19,0.0,0.0,104.19,104.19,104.19,0.0,0.0,102.06,102.06,102.06,0.0,0.0,102.49,102.49,102.49,0.0,0.0
2018-07-29,102.28,102.28,102.28,0.0,0.0,102.42,102.42,102.42,0.0,0.0,102.0,102.0,102.0,0.0,0.0,102.3,102.3,102.3,0.0,0.0
2018-08-05,103.19,103.19,103.19,0.0,0.0,103.23,103.23,103.23,0.0,0.0,103.04,103.04,103.04,0.0,0.0,103.13,103.13,103.13,0.0,0.0
2018-08-12,103.21,103.21,103.21,0.0,0.0,103.52,103.52,103.52,0.0,0.0,103.04,103.04,103.04,0.0,0.0,103.52,103.52,103.52,0.0,0.0
2018-08-19,104.78,104.78,104.78,0.0,0.0,105.78,105.78,105.78,0.0,0.0,104.78,104.78,104.78,0.0,0.0,105.78,105.78,105.78,0.0,0.0
2018-08-26,106.32,106.32,106.32,0.0,0.0,106.43,106.43,106.43,0.0,0.0,106.26,106.26,106.26,0.0,0.0,106.31,106.31,106.31,0.0,0.0
2018-09-02,104.81,104.81,104.81,0.0,0.0,105.38,105.38,105.38,0.0,0.0,104.81,104.81,104.81,0.0,0.0,105.08,105.08,105.08,0.0,0.0
2018-09-09,106.58,106.58,106.58,0.0,0.0,106.59,106.59,106.59,0.0,0.0,106.27,106.27,106.27,0.0,0.0,106.58,106.58,106.58,0.0,0.0
2018-09-16,106.8,106.8,106.8,0.0,0.0,106.87,106.87,106.87,0.0,0.0,106.66,106.66,106.66,0.0,0.0,106.71,106.71,106.71,0.0,0.0
2018-09-23,105.99,105.99,105.99,0.0,0.0,106.33,106.33,106.33,0.0,0.0,105.9,105.9,105.9,0.0,0.0,106.18,106.18,106.18,0.0,0.0
2018-09-30,104.8,104.8,104.8,0.0,0.0,104.8,104.8,104.8,0.0,0.0,103.62,103.62,103.62,0.0,0.0,103.88,103.88,103.88,0.0,0.0
2018-10-07,99.84,99.84,99.84,0.0,0.0,99.84,99.84,99.84,0.0,0.0,98.42,98.42,98.42,0.0,0.0,99.25,99.25,99.25,0.0,0.0
2018-10-14,100.02,100.02,100.02,0.0,0.0,100.02,100.02,100.02,0.0,0.0,98.63,98.63,98.63,0.0,0.0,99.15,99.15,99.15,0.0,0.0
2018-10-21,97.08,97.08,97.08,0.0,0.0,97.08,97.08,97.08,0.0,0.0,94.15,94.15,94.15,0.0,0.0,95.49,95.49,95.49,0.0,0.0
2018-10-28,99.39,99.39,99.39,0.0,0.0,99.39,99.39,99.39,0.0,0.0,97.79,97.79,97.79,0.0,0.0,97.9,97.9,97.9,0.0,0.0
2018-11-04,99.75,99.75,99.75,0.0,0.0,99.75,99.75,99.75,0.0,0.0,98.98,98.98,98.98,0.0,0.0,98.98,98.98,98.98,0.0,0.0
2018-11-11,96.66,96.66,96.66,0.0,0.0,96.66,96.66,96.66,0.0,0.0,95.92,95.92,95.92,0.0,0.0,96.44,96.44,96.44,0.0,0.0
2018-11-18,92.71,92.71,92.71,0.0,0.0,92.71,92.71,92.71,0.0,0.0,92.38,92.38,92.38,0.0,0.0,92.38,92.38,92.38,0.0,0.0
2018-11-25,96.99,96.99,96.99,0.0,0.0,96.99,96.99,96.99,0.0,0.0,96.6,96.6,96.6,0.0,0.0,96.81,96.81,96.81,0.0,0.0
2018-12-02,93.54,93.54,93.54,0.0,0.0,93.54,93.54,93.54,0.0,0.0,91.78,91.78,91.78,0.0,0.0,91.78,91.78,91.78,0.0,0.0
2018-12-09,91.21,91.21,91.21,0.0,0.0,92.07,92.07,92.07,0.0,0.0,90.69,90.69,90.69,0.0,0.0,90.86,90.86,90.86,0.0,0.0
2018-12-16,86.54,86.54,86.54,0.0,0.0,86.96,86.96,86.96,0.0,0.0,84.26,84.26,84.26,0.0,0.0,84.71,84.71,84.71,0.0,0.0
2018-12-23,87.9,87.9,87.9,0.0,0.0,87.9,87.9,87.9,0.0,0.0,86.96,86.96,86.96,0.0,0.0,87.08,87.08,87.08,0.0,0.0
2018-12-30,88.3,88.3,88.3,0.0,0.0,89.15,89.15,89.15,0.0,0.0,88.29,88.29,88.29,0.0,0.0,89.15,89.15,89.15,0.0,0.0
2019-01-06,90.78,90.78,90.78,0.0,0.0,92.0,92.0,92.0,0.0,0.0,90.78,90.78,90.78,0.0,0.0,91.68,91.68,91.68,0.0,0.0
2019-01-13,93.41,93.41,93.41,0.0,0.0,93.59,93.59,93.59,0.0,0.0,93.41,93.41,93.41,0.0,0.0,93.58,93.58,93.58,0.0,0.0
2019-01-20,93.23,93.23,93.23,0.0,0.0,93.57,93.57,93.57,0.0,0.0,93.23,93.23,93.23,0.0,0.0,93.37,93.37,93.37,0.0,0.0
2019-01-27,94.31,94.31,94.31,0.0,0.0,94.32,94.32,94.32,0.0,0.0,94.1,94.1,94.1,0.0,0.0,94.1,94.1,94.1,0.0,0.0
2019-02-03,93.3,93.3,93.3,0.0,0.0,94.36,94.36,94.36,0.0,0.0,93.3,93.3,93.3,0.0,0.0,94.36,94.36,94.36,0.0,0.0
2019-02-10,97.6,97.6,97.6,0.0,0.0,97.94,97.94,97.94,0.0,0.0,97.6,97.6,97.6,0.0,0.0,97.94,97.94,97.94,0.0,0.0
2019-02-17,97.89,97.89,97.89,0.0,0.0,98.43,98.43,98.43,0.0,0.0,97.89,97.89,97.89,0.0,0.0,98.43,98.43,98.43,0.0,0.0
2019-02-24,97.42,97.42,97.42,0.0,0.0,97.75,97.75,97.75,0.0,0.0,97.24,97.24,97.24,0.0,0.0,97.75,97.75,97.75,0.0,0.0
2019-03-03,94.14,94.14,94.14,0.0,0.0,94.25,94.25,94.25,0.0,0.0,94.11,94.11,94.11,0.0,0.0,94.25,94.25,94.25,0.0,0.0
2019-03-10,97.24,97.24,97.24,0.0,0.0,97.24,97.24,97.24,0.0,0.0,97.04,97.04,97.04,0.0,0.0,97.04,97.04,97.04,0.0,0.0
2019-03-17,95.73,95.73,95.73,0.0,0.0,96.0,96.0,96.0,0.0,0.0,95.21,95.21,95.21,0.0,0.0,95.21,95.21,95.21,0.0,0.0
2019-03-24,96.06,96.06,96.06,0.0,0.0,96.24,96.24,96.24,0.0,0.0,96.06,96.06,96.06,0.0,0.0,96.24,96.24,96.24,0.0,0.0
2019-03-31,98.39,98.39,98.39,0.0,0.0,98.39,98.39,98.39,0.0,0.0,98.11,98.11,98.11,0.0,0.0,98.15,98.15,98.15,0.0,0.0
2019-04-07,98.72,98.72,98.72,0.0,0.0,98.75,98.75,98.75,0.0,0.0,98.69,98.69,98.69,0.0,0.0,98.74,98.74,98.74,0.0,0.0
2019-04-14,97.73,97.73,97.73,0.0,0.0,97.79,97.79,97.79,0.0,0.0,97.35,97.35,97.35,0.0,0.0,97.35,97.35,97.35,0.0,0.0
2019-04-21,97.56,97.56,97.56,0.0,0.0,98.03,98.03,98.03,0.0,0.0,97.56,97.56,97.56,0.0,0.0,98.03,98.03,98.03,0.0,0.0
2019-04-28,98.16,98.16,98.16,0.0,0.0,98.57,98.57,98.57,0.0,0.0,98.06,98.06,98.06,0.0,0.0,98.57,98.57,98.57,0.0,0.0
2019-05-05,94.64,94.64,94.64,0.0,0.0,96.37,96.37,96.37,0.0,0.0,94.64,94.64,94.64,0.0,0.0,96.37,96.37,96.37,0.0,0.0
2019-05-12,95.77,95.77,95.77,0.0,0.0,95.77,95.77,95.77,0.0,0.0,95.11,95.11,95.11,0.0,0.0,95.11,95.11,95.11,0.0,0.0
2019-05-19,94.15,94.15,94.15,0.0,0.0,94.7,94.7,94.7,0.0,0.0,94.15,94.15,94.15,0.0,0.0,94.7,94.7,94.7,0.0,0.0
2019-05-26,91.86,91.86,91.86,0.0,0.0,92.18,92.18,92.18,0.0,0.0,91.67,91.67,91.67,0.0,0.0,91.67,91.67,91.67,0.0,0.0
2019-06-02,95.49,95.49,95.49,0.0,0.0,96.5,96.5,96.5,0.0,0.0,95.49,95.49,95.49,0.0,0.0,96.09,96.09,96.09,0.0,0.0
2019-06-09,96.41,96.41,96.41,0.0,0.0,96.48,96.48,96.48,0.0,0.0,96.41,96.41,96.41,0.0,0.0,96.48,96.48,96.48,0.0,0.0
2019-06-16,98.44,98.44,98.44,0.0,0.0,98.48,98.48,98.48,0.0,0.0,98.28,98.28,98.28,0.0,0.0,98.28,98.28,98.28,0.0,0.0
2019-06-23,97.54,97.54,97.54,0.0,0.0,98.09,98.09,98.09,0.0,0.0,97.54,97.54,97.54,0.0,0.0,98.09,98.09,98.09,0.0,0.0
2019-06-30,99.34,99.34,99.34,0.0,0.0,99.95,99.95,99.95,0.0,0.0,99.34,99.34,99.34,0.0,0.0,99.95,99.95,99.95,0.0,0.0
2019-07-07,100.02,100.02,100.02,0.0,0.0,100.79,100.79,100.79,0.0,0.0,100.02,100.02,100.02,0.0,0.0,100.79,100.79,100.79,0.0,0.0
2019-07-14,99.86,99.86,99.86,0.0,0.0,100.03,100.03,100.03,0.0,0.0,99.46,99.46,99.46,0.0,0.0,99.46,99.46,99.46,0.0,0.0
2019-07-21,99.98,99.98,99.98,0.0,0.0,100.2,100.2,100.2,0.0,0.0,99.98,99.98,99.98,0.0,0.0,100.17,100.17,100.17,0.0,0.0
2019-07-28,95.81,95.81,95.81,0.0,0.0,95.92,95.92,95.92,0.0,0.0,95.43,95.43,95.43,0.0,0.0,95.92,95.92,95.92,0.0,0.0
2019-08-04,95.44,95.44,95.44,0.0,0.0,95.44,95.44,95.44,0.0,0.0,94.35,94.35,94.35,0.0,0.0,94.82,94.82,94.82,0.0,0.0
2019-08-11,92.97,92.97,92.97,0.0,0.0,93.55,93.55,93.55,0.0,0.0,92.97,92.97,92.97,0.0,0.0,93.53,93.53,93.53,0.0,0.0
2019-08-18,93.88,93.88,93.88,0.0,0.0,93.88,93.88,93.88,0.0,0.0,91.07,91.07,91.07,0.0,0.0,91.07,91.07,91.07,0.0,0.0
2019-08-25,93.99,93.99,93.99,0.0,0.0,94.38,94.38,94.38,0.0,0.0,93.8,93.8,93.8,0.0,0.0,93.92,93.92,93.92,0.0,0.0
2019-09-01,95.43,95.43,95.43,0.0,0.0,95.43,95.43,95.43,0.0,0.0,95.09,95.09,95.09,0.0,0.0,95.1,95.1,95.1,0.0,0.0
2019-09-08,95.86,95.86,95.86,0.0,0.0,95.9,95.9,95.9,0.0,0.0,95.56,95.56,95.56,0.0,0.0,95.78,95.78,95.78,0.0,0.0
2019-09-15,95.81,95.81,95.81,0.0,0.0,95.84,95.84,95.84,0.0,0.0,95.43,95.43,95.43,0.0,0.0,95.5,95.5,95.5,0.0,0.0
2019-09-22,94.67,94.67,94.67,0.0,0.0,94.67,94.67,94.67,0.0,0.0,93.98,93.98,93.98,0.0,0.0,94.24,94.24,94.24,0.0,0.0
2019-09-29,92.84,92.84,92.84,0.0,0.0,93.71,93.71,93.71,0.0,0.0,92.13,92.13,92.13,0.0,0.0,93.71,93.71,93.71,0.0,0.0
2019-10-06,94.62,94.62,94.62,0.0,0.0,94.62,94.62,94.62,0.0,0.0,94.21,94.21,94.21,0.0,0.0,94.21,94.21,94.21,0.0,0.0
2019-10-13,94.79,94.79,94.79,0.0,0.0,94.79,94.79,94.79,0.0,0.0,94.59,94.59,94.59,0.0,0.0,94.59,94.59,94.59,0.0,0.0
2019-10-20,95.24,95.24,95.24,0.0,0.0,95.42,95.42,95.42,0.0,0.0,95.18,95.18,95.18,0.0,0.0,95.21,95.21,95.21,0.0,0.0
2019-10-27,96.54,96.54,96.54,0.0,0.0,96.65,96.65,96.65,0.0,0.0,96.32,96.32,96.32,0.0,0.0,96.65,96.65,96.65,0.0,0.0
2019-11-03,96.13,96.13,96.13,0.0,0.0,96.22,96.22,96.22,0.0,0.0,96.04,96.04,96.04,0.0,0.0,96.22,96.22,96.22,0.0,0.0
2019-11-10,97.01,97.01,97.01,0.0,0.0,97.33,97.33,97.33,0.0,0.0,97.01,97.01,97.01,0.0,0.0,97.17,97.17,97.17,0.0,0.0
2019-11-17,97.05,97.05,97.05,0.0,0.0,97.06,97.06,97.06,0.0,0.0,97.05,97.05,97.05,0.0,0.0,97.06,97.06,97.06,0.0,0.0
2019-11-24,98.79,98.79,98.79,0.0,0.0,98.79,98.79,98.79,0.0,0.0,98.05,98.05,98.05,0.0,0.0,98.05,98.05,98.05,0.0,0.0
2019-12-01,98.54,98.54,98.54,0.0,0.0,98.64,98.64,98.64,0.0,0.0,98.28,98.28,98.28,0.0,0.0,98.35,98.35,98.35,0.0,0.0
2019-12-08,98.91,98.91,98.91,0.0,0.0,98.91,98.91,98.91,0.0,0.0,98.27,98.27,98.27,0.0,0.0,98.42,98.42,98.42,0.0,0.0
2019-12-15,98.94,98.94,98.94,0.0,0.0,99.89,99.89,99.89,0.0,0.0,98.94,98.94,98.94,0.0,0.0,99.89,99.89,99.89,0.0,0.0
2019-12-22,99.17,99.17,99.17,0.0,0.0,99.17,99.17,99.17,0.0,0.0,99.17,99.17,99.17,0.0,0.0,99.17,99.17,99.17,0.0,0.0
2019-12-29,98.39,98.39,98.39,0.0,0.0,98.67,98.67,98.67,0.0,0.0,98.14,98.14,98.14,0.0,0.0,98.29,98.29,98.29,0.0,0.0
