Date,iShares Interest Rate Hedged High Yield BondEtf_Open_average,iShares Interest Rate Hedged High Yield BondEtf_Open_max,iShares Interest Rate Hedged High Yield BondEtf_Open_min,iShares Interest Rate Hedged High Yield BondEtf_Open_volatility,iShares Interest Rate Hedged High Yield BondEtf_Open_change,iShares Interest Rate Hedged High Yield BondEtf_High_average,iShares Interest Rate Hedged High Yield BondEtf_High_max,iShares Interest Rate Hedged High Yield BondEtf_High_min,iShares Interest Rate Hedged High Yield BondEtf_High_volatility,iShares Interest Rate Hedged High Yield BondEtf_High_change,iShares Interest Rate Hedged High Yield BondEtf_Low_average,iShares Interest Rate Hedged High Yield BondEtf_Low_max,iShares Interest Rate Hedged High Yield BondEtf_Low_min,iShares Interest Rate Hedged High Yield BondEtf_Low_volatility,iShares Interest Rate Hedged High Yield BondEtf_Low_change,iShares Interest Rate Hedged High Yield BondEtf_Close_average,iShares Interest Rate Hedged High Yield BondEtf_Close_max,iShares Interest Rate Hedged High Yield BondEtf_Close_min,iShares Interest Rate Hedged High Yield BondEtf_Close_volatility,iShares Interest Rate Hedged High Yield BondEtf_Close_change
2018-07-15,91.18,91.18,91.18,0.0,0.0,91.26,91.26,91.26,0.0,0.0,91.14,91.14,91.14,0.0,0.0,91.25,91.25,91.25,0.0,0.0
2018-07-22,91.75,91.75,91.75,0.0,0.0,91.75,91.75,91.75,0.0,0.0,91.58,91.58,91.58,0.0,0.0,91.73,91.73,91.73,0.0,0.0
2018-07-29,91.61,91.61,91.61,0.0,0.0,91.67,91.67,91.67,0.0,0.0,91.56,91.56,91.56,0.0,0.0,91.63,91.63,91.63,0.0,0.0
2018-08-05,91.34,91.34,91.34,0.0,0.0,91.44,91.44,91.44,0.0,0.0,91.23,91.23,91.23,0.0,0.0,91.28,91.28,91.28,0.0,0.0
2018-08-12,91.38,91.38,91.38,0.0,0.0,91.62,91.62,91.62,0.0,0.0,91.33,91.33,91.33,0.0,0.0,91.47,91.47,91.47,0.0,0.0
2018-08-19,91.73,91.73,91.73,0.0,0.0,91.75,91.75,91.75,0.0,0.0,91.69,91.69,91.69,0.0,0.0,91.71,91.71,91.71,0.0,0.0
2018-08-26,91.78,91.78,91.78,0.0,0.0,92.0,92.0,92.0,0.0,0.0,91.78,91.78,91.78,0.0,0.0,92.0,92.0,92.0,0.0,0.0
2018-09-02,90.95,90.95,90.95,0.0,0.0,91.18,91.18,91.18,0.0,0.0,90.95,90.95,90.95,0.0,0.0,91.1,91.1,91.1,0.0,0.0
2018-09-09,92.15,92.15,92.15,0.0,0.0,92.23,92.23,92.23,0.0,0.0,92.06,92.06,92.06,0.0,0.0,92.21,92.21,92.21,0.0,0.0
2018-09-16,92.3,92.3,92.3,0.0,0.0,92.3,92.3,92.3,0.0,0.0,92.17,92.17,92.17,0.0,0.0,92.22,92.22,92.22,0.0,0.0
2018-09-23,92.3,92.3,92.3,0.0,0.0,92.4,92.4,92.4,0.0,0.0,92.25,92.25,92.25,0.0,0.0,92.32,92.32,92.32,0.0,0.0
2018-09-30,91.85,91.85,91.85,0.0,0.0,91.92,91.92,91.92,0.0,0.0,91.58,91.58,91.58,0.0,0.0,91.58,91.58,91.58,0.0,0.0
2018-10-07,91.34,91.34,91.34,0.0,0.0,91.34,91.34,91.34,0.0,0.0,90.99,90.99,90.99,0.0,0.0,91.17,91.17,91.17,0.0,0.0
2018-10-14,91.2,91.2,91.2,0.0,0.0,91.37,91.37,91.37,0.0,0.0,91.09,91.09,91.09,0.0,0.0,91.23,91.23,91.23,0.0,0.0
2018-10-21,90.3,90.3,90.3,0.0,0.0,90.33,90.33,90.33,0.0,0.0,89.92,89.92,89.92,0.0,0.0,90.12,90.12,90.12,0.0,0.0
2018-10-28,90.62,90.62,90.62,0.0,0.0,90.63,90.63,90.63,0.0,0.0,90.3,90.3,90.3,0.0,0.0,90.59,90.59,90.59,0.0,0.0
2018-11-04,90.95,90.95,90.95,0.0,0.0,90.95,90.95,90.95,0.0,0.0,90.36,90.36,90.36,0.0,0.0,90.6,90.6,90.6,0.0,0.0
2018-11-11,88.87,88.87,88.87,0.0,0.0,88.99,88.99,88.99,0.0,0.0,88.65,88.65,88.65,0.0,0.0,88.84,88.84,88.84,0.0,0.0
2018-11-18,88.4,88.4,88.4,0.0,0.0,88.53,88.53,88.53,0.0,0.0,88.3,88.3,88.3,0.0,0.0,88.34,88.34,88.34,0.0,0.0
2018-11-25,89.19,89.19,89.19,0.0,0.0,89.25,89.25,89.25,0.0,0.0,89.0,89.0,89.0,0.0,0.0,89.0,89.0,89.0,0.0,0.0
2018-12-02,88.38,88.38,88.38,0.0,0.0,88.5,88.5,88.5,0.0,0.0,87.76,87.76,87.76,0.0,0.0,87.77,87.77,87.77,0.0,0.0
2018-12-09,88.46,88.46,88.46,0.0,0.0,88.46,88.46,88.46,0.0,0.0,88.05,88.05,88.05,0.0,0.0,88.08,88.08,88.08,0.0,0.0
2018-12-16,85.31,85.31,85.31,0.0,0.0,85.68,85.68,85.68,0.0,0.0,85.09,85.09,85.09,0.0,0.0,85.23,85.23,85.23,0.0,0.0
2018-12-23,84.7,84.7,84.7,0.0,0.0,85.03,85.03,85.03,0.0,0.0,84.61,84.61,84.61,0.0,0.0,84.79,84.79,84.79,0.0,0.0
2018-12-30,85.18,85.18,85.18,0.0,0.0,86.08,86.08,86.08,0.0,0.0,85.18,85.18,85.18,0.0,0.0,85.95,85.95,85.95,0.0,0.0
2019-01-06,87.73,87.73,87.73,0.0,0.0,87.81,87.81,87.81,0.0,0.0,87.58,87.58,87.58,0.0,0.0,87.79,87.79,87.79,0.0,0.0
2019-01-13,88.49,88.49,88.49,0.0,0.0,88.83,88.83,88.83,0.0,0.0,88.49,88.49,88.49,0.0,0.0,88.8,88.8,88.8,0.0,0.0
2019-01-20,88.37,88.37,88.37,0.0,0.0,88.66,88.66,88.66,0.0,0.0,88.37,88.37,88.37,0.0,0.0,88.55,88.55,88.55,0.0,0.0
2019-01-27,88.79,88.79,88.79,0.0,0.0,89.11,89.11,89.11,0.0,0.0,88.79,88.79,88.79,0.0,0.0,88.98,88.98,88.98,0.0,0.0
2019-02-03,88.41,88.41,88.41,0.0,0.0,88.44,88.44,88.44,0.0,0.0,88.25,88.25,88.25,0.0,0.0,88.44,88.44,88.44,0.0,0.0
2019-02-10,89.24,89.24,89.24,0.0,0.0,89.35,89.35,89.35,0.0,0.0,89.15,89.15,89.15,0.0,0.0,89.31,89.31,89.31,0.0,0.0
2019-02-17,89.35,89.35,89.35,0.0,0.0,89.4,89.4,89.4,0.0,0.0,89.19,89.19,89.19,0.0,0.0,89.31,89.31,89.31,0.0,0.0
2019-02-24,89.88,89.88,89.88,0.0,0.0,89.98,89.98,89.98,0.0,0.0,89.8,89.8,89.8,0.0,0.0,89.96,89.96,89.96,0.0,0.0
2019-03-03,88.65,88.65,88.65,0.0,0.0,88.71,88.71,88.71,0.0,0.0,88.46,88.46,88.46,0.0,0.0,88.7,88.7,88.7,0.0,0.0
2019-03-10,89.38,89.38,89.38,0.0,0.0,89.47,89.47,89.47,0.0,0.0,89.34,89.34,89.34,0.0,0.0,89.34,89.34,89.34,0.0,0.0
2019-03-17,89.27,89.27,89.27,0.0,0.0,89.27,89.27,89.27,0.0,0.0,88.86,88.86,88.86,0.0,0.0,88.89,88.89,88.89,0.0,0.0
2019-03-24,89.36,89.36,89.36,0.0,0.0,89.47,89.47,89.47,0.0,0.0,89.35,89.35,89.35,0.0,0.0,89.45,89.45,89.45,0.0,0.0
2019-03-31,89.63,89.63,89.63,0.0,0.0,89.69,89.69,89.69,0.0,0.0,89.6,89.6,89.6,0.0,0.0,89.63,89.63,89.63,0.0,0.0
2019-04-07,90.32,90.32,90.32,0.0,0.0,90.39,90.39,90.39,0.0,0.0,90.19,90.19,90.19,0.0,0.0,90.39,90.39,90.39,0.0,0.0
2019-04-14,90.32,90.32,90.32,0.0,0.0,90.32,90.32,90.32,0.0,0.0,89.95,89.95,89.95,0.0,0.0,90.04,90.04,90.04,0.0,0.0
2019-04-21,89.96,89.96,89.96,0.0,0.0,90.09,90.09,90.09,0.0,0.0,89.96,89.96,89.96,0.0,0.0,90.08,90.08,90.08,0.0,0.0
2019-04-28,89.83,89.83,89.83,0.0,0.0,89.92,89.92,89.92,0.0,0.0,89.79,89.79,89.79,0.0,0.0,89.89,89.89,89.89,0.0,0.0
2019-05-05,89.02,89.02,89.02,0.0,0.0,89.29,89.29,89.29,0.0,0.0,88.76,88.76,88.76,0.0,0.0,89.29,89.29,89.29,0.0,0.0
2019-05-12,88.45,88.45,88.45,0.0,0.0,88.87,88.87,88.87,0.0,0.0,88.45,88.45,88.45,0.0,0.0,88.73,88.73,88.73,0.0,0.0
2019-05-19,88.39,88.39,88.39,0.0,0.0,88.39,88.39,88.39,0.0,0.0,88.27,88.27,88.27,0.0,0.0,88.27,88.27,88.27,0.0,0.0
2019-05-26,86.88,86.88,86.88,0.0,0.0,87.42,87.42,87.42,0.0,0.0,86.87,86.87,86.87,0.0,0.0,86.87,86.87,86.87,0.0,0.0
2019-06-02,87.67,87.67,87.67,0.0,0.0,87.96,87.96,87.96,0.0,0.0,87.67,87.67,87.67,0.0,0.0,87.9,87.9,87.9,0.0,0.0
2019-06-09,88.07,88.07,88.07,0.0,0.0,88.1,88.1,88.1,0.0,0.0,87.96,87.96,87.96,0.0,0.0,88.04,88.04,88.04,0.0,0.0
2019-06-16,89.02,89.02,89.02,0.0,0.0,89.09,89.09,89.09,0.0,0.0,88.92,88.92,88.92,0.0,0.0,89.0,89.0,89.0,0.0,0.0
2019-06-23,88.82,88.82,88.82,0.0,0.0,88.82,88.82,88.82,0.0,0.0,88.66,88.66,88.66,0.0,0.0,88.7,88.7,88.7,0.0,0.0
2019-06-30,88.78,88.78,88.78,0.0,0.0,88.79,88.79,88.79,0.0,0.0,88.65,88.65,88.65,0.0,0.0,88.76,88.76,88.76,0.0,0.0
2019-07-07,88.67,88.67,88.67,0.0,0.0,88.78,88.78,88.78,0.0,0.0,88.64,88.64,88.64,0.0,0.0,88.77,88.77,88.77,0.0,0.0
2019-07-14,88.37,88.37,88.37,0.0,0.0,88.45,88.45,88.45,0.0,0.0,88.25,88.25,88.25,0.0,0.0,88.25,88.25,88.25,0.0,0.0
2019-07-21,88.9,88.9,88.9,0.0,0.0,88.97,88.97,88.97,0.0,0.0,88.89,88.89,88.89,0.0,0.0,88.94,88.94,88.94,0.0,0.0
2019-07-28,87.86,87.86,87.86,0.0,0.0,87.86,87.86,87.86,0.0,0.0,87.67,87.67,87.67,0.0,0.0,87.75,87.75,87.75,0.0,0.0
2019-08-04,87.2,87.2,87.2,0.0,0.0,87.25,87.25,87.25,0.0,0.0,86.92,86.92,86.92,0.0,0.0,87.14,87.14,87.14,0.0,0.0
2019-08-11,86.66,86.66,86.66,0.0,0.0,86.73,86.73,86.73,0.0,0.0,86.62,86.62,86.62,0.0,0.0,86.67,86.67,86.67,0.0,0.0
2019-08-18,87.68,87.68,87.68,0.0,0.0,87.68,87.68,87.68,0.0,0.0,87.12,87.12,87.12,0.0,0.0,87.12,87.12,87.12,0.0,0.0
2019-08-25,87.92,87.92,87.92,0.0,0.0,87.92,87.92,87.92,0.0,0.0,87.59,87.59,87.59,0.0,0.0,87.68,87.68,87.68,0.0,0.0
2019-09-01,87.72,87.72,87.72,0.0,0.0,87.96,87.96,87.96,0.0,0.0,87.72,87.72,87.72,0.0,0.0,87.78,87.78,87.78,0.0,0.0
2019-09-08,88.62,88.62,88.62,0.0,0.0,88.73,88.73,88.73,0.0,0.0,88.57,88.57,88.57,0.0,0.0,88.58,88.58,88.58,0.0,0.0
2019-09-15,88.59,88.59,88.59,0.0,0.0,88.66,88.66,88.66,0.0,0.0,88.48,88.48,88.48,0.0,0.0,88.51,88.51,88.51,0.0,0.0
2019-09-22,88.23,88.23,88.23,0.0,0.0,88.23,88.23,88.23,0.0,0.0,88.03,88.03,88.03,0.0,0.0,88.13,88.13,88.13,0.0,0.0
2019-09-29,86.94,86.94,86.94,0.0,0.0,87.02,87.02,87.02,0.0,0.0,86.83,86.83,86.83,0.0,0.0,87.01,87.01,87.01,0.0,0.0
2019-10-06,87.8,87.8,87.8,0.0,0.0,87.97,87.97,87.97,0.0,0.0,87.77,87.77,87.77,0.0,0.0,87.84,87.84,87.84,0.0,0.0
2019-10-13,88.28,88.28,88.28,0.0,0.0,88.3,88.3,88.3,0.0,0.0,88.18,88.18,88.18,0.0,0.0,88.23,88.23,88.23,0.0,0.0
2019-10-20,88.5,88.5,88.5,0.0,0.0,88.76,88.76,88.76,0.0,0.0,88.5,88.5,88.5,0.0,0.0,88.65,88.65,88.65,0.0,0.0
2019-10-27,87.69,87.69,87.69,0.0,0.0,88.01,88.01,88.01,0.0,0.0,87.69,87.69,87.69,0.0,0.0,87.94,87.94,87.94,0.0,0.0
2019-11-03,88.46,88.46,88.46,0.0,0.0,88.52,88.52,88.52,0.0,0.0,88.16,88.16,88.16,0.0,0.0,88.52,88.52,88.52,0.0,0.0
2019-11-10,88.23,88.23,88.23,0.0,0.0,88.35,88.35,88.35,0.0,0.0,88.23,88.23,88.23,0.0,0.0,88.35,88.35,88.35,0.0,0.0
2019-11-17,87.7,87.7,87.7,0.0,0.0,87.92,87.92,87.92,0.0,0.0,87.66,87.66,87.66,0.0,0.0,87.87,87.87,87.87,0.0,0.0
2019-11-24,88.44,88.44,88.44,0.0,0.0,88.44,88.44,88.44,0.0,0.0,88.26,88.26,88.26,0.0,0.0,88.26,88.26,88.26,0.0,0.0
2019-12-01,88.39,88.39,88.39,0.0,0.0,88.43,88.43,88.43,0.0,0.0,88.37,88.37,88.37,0.0,0.0,88.43,88.43,88.43,0.0,0.0
2019-12-08,89.09,89.09,89.09,0.0,0.0,89.09,89.09,89.09,0.0,0.0,88.94,88.94,88.94,0.0,0.0,89.03,89.03,89.03,0.0,0.0
2019-12-15,89.86,89.86,89.86,0.0,0.0,89.89,89.89,89.89,0.0,0.0,89.68,89.68,89.68,0.0,0.0,89.7,89.7,89.7,0.0,0.0
2019-12-22,89.57,89.57,89.57,0.0,0.0,89.57,89.57,89.57,0.0,0.0,89.52,89.52,89.52,0.0,0.0,89.54,89.54,89.54,0.0,0.0
2019-12-29,89.54,89.54,89.54,0.0,0.0,89.64,89.64,89.64,0.0,0.0,89.54,89.54,89.54,0.0,0.0,89.64,89.64,89.64,0.0,0.0
2020-01-05,89.82,89.82,89.82,0.0,0.0,89.83,89.83,89.83,0.0,0.0,89.75,89.75,89.75,0.0,0.0,89.79,89.79,89.79,0.0,0.0
2020-01-12,89.96,89.96,89.96,0.0,0.0,89.97,89.97,89.97,0.0,0.0,89.81,89.81,89.81,0.0,0.0,89.83,89.83,89.83,0.0,0.0
2020-01-19,89.33,89.33,89.33,0.0,0.0,89.33,89.33,89.33,0.0,0.0,88.92,88.92,88.92,0.0,0.0,88.97,88.97,88.97,0.0,0.0
2020-01-26,88.42,88.42,88.42,0.0,0.0,88.42,88.42,88.42,0.0,0.0,88.2,88.2,88.2,0.0,0.0,88.32,88.32,88.32,0.0,0.0
2020-02-02,89.13,89.13,89.13,0.0,0.0,89.13,89.13,89.13,0.0,0.0,89.01,89.01,89.01,0.0,0.0,89.08,89.08,89.08,0.0,0.0
2020-02-09,89.03,89.03,89.03,0.0,0.0,89.52,89.52,89.52,0.0,0.0,89.03,89.03,89.03,0.0,0.0,89.52,89.52,89.52,0.0,0.0
2020-02-16,89.04,89.04,89.04,0.0,0.0,89.17,89.17,89.17,0.0,0.0,88.97,88.97,88.97,0.0,0.0,89.16,89.16,89.16,0.0,0.0
2020-02-23,85.08,85.08,85.08,0.0,0.0,85.93,85.93,85.93,0.0,0.0,84.7,84.7,84.7,0.0,0.0,85.93,85.93,85.93,0.0,0.0
2020-03-01,84.31,84.31,84.31,0.0,0.0,84.39,84.39,84.39,0.0,0.0,83.56,83.56,83.56,0.0,0.0,84.39,84.39,84.39,0.0,0.0
2020-03-08,79.86,79.86,79.86,0.0,0.0,79.86,79.86,79.86,0.0,0.0,79.86,79.86,79.86,0.0,0.0,79.86,79.86,79.86,0.0,0.0
2020-03-15,69.05,69.05,69.05,0.0,0.0,69.05,69.05,69.05,0.0,0.0,69.05,69.05,69.05,0.0,0.0,69.05,69.05,69.05,0.0,0.0
2020-03-22,76.13,76.13,76.13,0.0,0.0,76.13,76.13,76.13,0.0,0.0,76.13,76.13,76.13,0.0,0.0,76.13,76.13,76.13,0.0,0.0
2020-03-29,73.54,73.54,73.54,0.0,0.0,73.54,73.54,73.54,0.0,0.0,72.81,72.81,72.81,0.0,0.0,72.98,72.98,72.98,0.0,0.0
2020-04-05,79.42,79.42,79.42,0.0,0.0,82.89,82.89,82.89,0.0,0.0,79.42,79.42,79.42,0.0,0.0,81.46,81.46,81.46,0.0,0.0
2020-04-12,79.89,79.89,79.89,0.0,0.0,80.18,80.18,80.18,0.0,0.0,79.89,79.89,79.89,0.0,0.0,80.18,80.18,80.18,0.0,0.0
2020-04-19,78.01,78.01,78.01,0.0,0.0,78.01,78.01,78.01,0.0,0.0,77.25,77.25,77.25,0.0,0.0,77.32,77.32,77.32,0.0,0.0
2020-04-26,78.09,78.09,78.09,0.0,0.0,78.09,78.09,78.09,0.0,0.0,78.09,78.09,78.09,0.0,0.0,78.09,78.09,78.09,0.0,0.0
2020-05-03,78.64,78.64,78.64,0.0,0.0,78.64,78.64,78.64,0.0,0.0,78.64,78.64,78.64,0.0,0.0,78.64,78.64,78.64,0.0,0.0
2020-05-10,77.54,77.54,77.54,0.0,0.0,77.67,77.67,77.67,0.0,0.0,77.54,77.54,77.54,0.0,0.0,77.67,77.67,77.67,0.0,0.0
2020-05-17,79.68,79.68,79.68,0.0,0.0,80.18,80.18,80.18,0.0,0.0,79.68,79.68,79.68,0.0,0.0,80.12,80.12,80.12,0.0,0.0
2020-05-24,80.82,80.82,80.82,0.0,0.0,81.31,81.31,81.31,0.0,0.0,80.81,80.81,80.81,0.0,0.0,81.0,81.0,81.0,0.0,0.0
2020-05-31,83.63,83.63,83.63,0.0,0.0,83.63,83.63,83.63,0.0,0.0,83.63,83.63,83.63,0.0,0.0,83.63,83.63,83.63,0.0,0.0
2020-06-07,81.54,81.54,81.54,0.0,0.0,81.54,81.54,81.54,0.0,0.0,80.93,80.93,80.93,0.0,0.0,81.37,81.37,81.37,0.0,0.0
2020-06-14,81.65,81.65,81.65,0.0,0.0,81.74,81.74,81.74,0.0,0.0,81.65,81.65,81.65,0.0,0.0,81.74,81.74,81.74,0.0,0.0
2020-06-21,80.57,80.57,80.57,0.0,0.0,80.57,80.57,80.57,0.0,0.0,80.05,80.05,80.05,0.0,0.0,80.06,80.06,80.06,0.0,0.0
2020-06-28,80.88,80.88,80.88,0.0,0.0,80.88,80.88,80.88,0.0,0.0,80.88,80.88,80.88,0.0,0.0,80.88,80.88,80.88,0.0,0.0
2020-07-05,81.49,81.49,81.49,0.0,0.0,81.49,81.49,81.49,0.0,0.0,80.99,80.99,80.99,0.0,0.0,80.99,80.99,80.99,0.0,0.0
