Date,ProShares High Yield Interest RateEtf_Open_average,ProShares High Yield Interest RateEtf_Open_max,ProShares High Yield Interest RateEtf_Open_min,ProShares High Yield Interest RateEtf_Open_volatility,ProShares High Yield Interest RateEtf_Open_change,ProShares High Yield Interest RateEtf_High_average,ProShares High Yield Interest RateEtf_High_max,ProShares High Yield Interest RateEtf_High_min,ProShares High Yield Interest RateEtf_High_volatility,ProShares High Yield Interest RateEtf_High_change,ProShares High Yield Interest RateEtf_Low_average,ProShares High Yield Interest RateEtf_Low_max,ProShares High Yield Interest RateEtf_Low_min,ProShares High Yield Interest RateEtf_Low_volatility,ProShares High Yield Interest RateEtf_Low_change,ProShares High Yield Interest RateEtf_Close_average,ProShares High Yield Interest RateEtf_Close_max,ProShares High Yield Interest RateEtf_Close_min,ProShares High Yield Interest RateEtf_Close_volatility,ProShares High Yield Interest RateEtf_Close_change
2018-12-09,65.01,65.01,65.01,0.0,0.0,65.12,65.12,65.12,0.0,0.0,64.75,64.75,64.75,0.0,0.0,64.99,64.99,64.99,0.0,0.0
2018-12-16,62.6,62.6,62.6,0.0,0.0,62.74,62.74,62.74,0.0,0.0,62.16,62.16,62.16,0.0,0.0,62.4,62.4,62.4,0.0,0.0
2018-12-23,61.9,61.9,61.9,0.0,0.0,62.39,62.39,62.39,0.0,0.0,61.9,61.9,61.9,0.0,0.0,62.13,62.13,62.13,0.0,0.0
2018-12-30,62.16,62.16,62.16,0.0,0.0,63.28,63.28,63.28,0.0,0.0,62.16,62.16,62.16,0.0,0.0,63.28,63.28,63.28,0.0,0.0
2019-01-06,64.83,64.83,64.83,0.0,0.0,64.98,64.98,64.98,0.0,0.0,64.71,64.71,64.71,0.0,0.0,64.74,64.74,64.74,0.0,0.0
2019-01-13,65.18,65.18,65.18,0.0,0.0,65.71,65.71,65.71,0.0,0.0,65.18,65.18,65.18,0.0,0.0,65.56,65.56,65.56,0.0,0.0
2019-01-20,65.08,65.08,65.08,0.0,0.0,65.42,65.42,65.42,0.0,0.0,65.08,65.08,65.08,0.0,0.0,65.23,65.23,65.23,0.0,0.0
2019-01-27,64.72,64.72,64.72,0.0,0.0,65.31,65.31,65.31,0.0,0.0,64.72,64.72,64.72,0.0,0.0,65.31,65.31,65.31,0.0,0.0
2019-02-03,65.01,65.01,65.01,0.0,0.0,65.01,65.01,65.01,0.0,0.0,64.8,64.8,64.8,0.0,0.0,64.97,64.97,64.97,0.0,0.0
2019-02-10,65.25,65.25,65.25,0.0,0.0,65.64,65.64,65.64,0.0,0.0,65.25,65.25,65.25,0.0,0.0,65.59,65.59,65.59,0.0,0.0
2019-02-17,66.2,66.2,66.2,0.0,0.0,66.2,66.2,66.2,0.0,0.0,65.58,65.58,65.58,0.0,0.0,65.89,65.89,65.89,0.0,0.0
2019-02-24,66.08,66.08,66.08,0.0,0.0,66.17,66.17,66.17,0.0,0.0,66.0,66.0,66.0,0.0,0.0,66.17,66.17,66.17,0.0,0.0
2019-03-03,65.25,65.25,65.25,0.0,0.0,65.4,65.4,65.4,0.0,0.0,65.13,65.13,65.13,0.0,0.0,65.4,65.4,65.4,0.0,0.0
2019-03-10,65.74,65.74,65.74,0.0,0.0,66.03,66.03,66.03,0.0,0.0,65.74,65.74,65.74,0.0,0.0,65.89,65.89,65.89,0.0,0.0
2019-03-17,65.69,65.69,65.69,0.0,0.0,65.85,65.85,65.85,0.0,0.0,65.29,65.29,65.29,0.0,0.0,65.29,65.29,65.29,0.0,0.0
2019-03-24,65.31,65.31,65.31,0.0,0.0,65.99,65.99,65.99,0.0,0.0,65.31,65.31,65.31,0.0,0.0,65.96,65.96,65.96,0.0,0.0
2019-03-31,66.26,66.26,66.26,0.0,0.0,66.38,66.38,66.38,0.0,0.0,66.08,66.08,66.08,0.0,0.0,66.27,66.27,66.27,0.0,0.0
2019-04-07,66.71,66.71,66.71,0.0,0.0,66.92,66.92,66.92,0.0,0.0,66.63,66.63,66.63,0.0,0.0,66.82,66.82,66.82,0.0,0.0
2019-04-14,66.57,66.57,66.57,0.0,0.0,66.66,66.66,66.66,0.0,0.0,66.49,66.49,66.49,0.0,0.0,66.59,66.59,66.59,0.0,0.0
2019-04-21,66.43,66.43,66.43,0.0,0.0,66.57,66.57,66.57,0.0,0.0,66.41,66.41,66.41,0.0,0.0,66.56,66.56,66.56,0.0,0.0
2019-04-28,66.47,66.47,66.47,0.0,0.0,66.54,66.54,66.54,0.0,0.0,66.46,66.46,66.46,0.0,0.0,66.49,66.49,66.49,0.0,0.0
2019-05-05,65.81,65.81,65.81,0.0,0.0,66.15,66.15,66.15,0.0,0.0,65.63,65.63,65.63,0.0,0.0,66.05,66.05,66.05,0.0,0.0
2019-05-12,65.44,65.44,65.44,0.0,0.0,65.8,65.8,65.8,0.0,0.0,65.44,65.44,65.44,0.0,0.0,65.64,65.64,65.64,0.0,0.0
2019-05-19,65.32,65.32,65.32,0.0,0.0,65.48,65.48,65.48,0.0,0.0,65.32,65.32,65.32,0.0,0.0,65.38,65.38,65.38,0.0,0.0
2019-05-26,64.84,64.84,64.84,0.0,0.0,64.84,64.84,64.84,0.0,0.0,64.3,64.3,64.3,0.0,0.0,64.3,64.3,64.3,0.0,0.0
2019-06-02,64.97,64.97,64.97,0.0,0.0,65.12,65.12,65.12,0.0,0.0,64.95,64.95,64.95,0.0,0.0,65.03,65.03,65.03,0.0,0.0
2019-06-09,65.14,65.14,65.14,0.0,0.0,65.29,65.29,65.29,0.0,0.0,65.09,65.09,65.09,0.0,0.0,65.19,65.19,65.19,0.0,0.0
2019-06-16,65.98,65.98,65.98,0.0,0.0,65.99,65.99,65.99,0.0,0.0,65.82,65.82,65.82,0.0,0.0,65.89,65.89,65.89,0.0,0.0
2019-06-23,65.75,65.75,65.75,0.0,0.0,65.75,65.75,65.75,0.0,0.0,65.59,65.59,65.59,0.0,0.0,65.69,65.69,65.69,0.0,0.0
2019-06-30,65.52,65.52,65.52,0.0,0.0,65.77,65.77,65.77,0.0,0.0,65.51,65.51,65.51,0.0,0.0,65.56,65.56,65.56,0.0,0.0
2019-07-07,65.51,65.51,65.51,0.0,0.0,65.68,65.68,65.68,0.0,0.0,65.47,65.47,65.47,0.0,0.0,65.47,65.47,65.47,0.0,0.0
2019-07-14,65.6,65.6,65.6,0.0,0.0,65.6,65.6,65.6,0.0,0.0,65.3,65.3,65.3,0.0,0.0,65.3,65.3,65.3,0.0,0.0
2019-07-21,65.8,65.8,65.8,0.0,0.0,65.94,65.94,65.94,0.0,0.0,65.65,65.65,65.65,0.0,0.0,65.87,65.87,65.87,0.0,0.0
2019-07-28,64.93,64.93,64.93,0.0,0.0,65.03,65.03,65.03,0.0,0.0,64.86,64.86,64.86,0.0,0.0,64.97,64.97,64.97,0.0,0.0
2019-08-04,64.17,64.17,64.17,0.0,0.0,64.3,64.3,64.3,0.0,0.0,64.0,64.0,64.0,0.0,0.0,64.21,64.21,64.21,0.0,0.0
2019-08-11,63.41,63.41,63.41,0.0,0.0,63.95,63.95,63.95,0.0,0.0,63.41,63.41,63.41,0.0,0.0,63.69,63.69,63.69,0.0,0.0
2019-08-18,64.6,64.6,64.6,0.0,0.0,64.64,64.64,64.64,0.0,0.0,63.98,63.98,63.98,0.0,0.0,63.98,63.98,63.98,0.0,0.0
2019-08-25,64.92,64.92,64.92,0.0,0.0,64.92,64.92,64.92,0.0,0.0,64.43,64.43,64.43,0.0,0.0,64.45,64.45,64.45,0.0,0.0
2019-09-01,64.44,64.44,64.44,0.0,0.0,64.7,64.7,64.7,0.0,0.0,64.44,64.44,64.44,0.0,0.0,64.53,64.53,64.53,0.0,0.0
2019-09-08,65.31,65.31,65.31,0.0,0.0,65.33,65.33,65.33,0.0,0.0,65.11,65.11,65.11,0.0,0.0,65.17,65.17,65.17,0.0,0.0
2019-09-15,65.2,65.2,65.2,0.0,0.0,65.2,65.2,65.2,0.0,0.0,64.98,64.98,64.98,0.0,0.0,65.05,65.05,65.05,0.0,0.0
2019-09-22,64.83,64.83,64.83,0.0,0.0,64.83,64.83,64.83,0.0,0.0,64.55,64.55,64.55,0.0,0.0,64.59,64.59,64.59,0.0,0.0
2019-09-29,63.29,63.29,63.29,0.0,0.0,63.51,63.51,63.51,0.0,0.0,63.29,63.29,63.29,0.0,0.0,63.42,63.42,63.42,0.0,0.0
2019-10-06,64.08,64.08,64.08,0.0,0.0,64.25,64.25,64.25,0.0,0.0,64.04,64.04,64.04,0.0,0.0,64.2,64.2,64.2,0.0,0.0
2019-10-13,64.71,64.71,64.71,0.0,0.0,64.71,64.71,64.71,0.0,0.0,64.48,64.48,64.48,0.0,0.0,64.56,64.56,64.56,0.0,0.0
2019-10-20,64.7,64.7,64.7,0.0,0.0,64.93,64.93,64.93,0.0,0.0,64.65,64.65,64.65,0.0,0.0,64.93,64.93,64.93,0.0,0.0
2019-10-27,64.28,64.28,64.28,0.0,0.0,64.41,64.41,64.41,0.0,0.0,64.26,64.26,64.26,0.0,0.0,64.39,64.39,64.39,0.0,0.0
2019-11-03,64.87,64.87,64.87,0.0,0.0,64.87,64.87,64.87,0.0,0.0,64.54,64.54,64.54,0.0,0.0,64.64,64.64,64.64,0.0,0.0
2019-11-10,64.33,64.33,64.33,0.0,0.0,64.52,64.52,64.52,0.0,0.0,64.29,64.29,64.29,0.0,0.0,64.52,64.52,64.52,0.0,0.0
2019-11-17,64.14,64.14,64.14,0.0,0.0,64.2,64.2,64.2,0.0,0.0,64.05,64.05,64.05,0.0,0.0,64.2,64.2,64.2,0.0,0.0
2019-11-24,64.73,64.73,64.73,0.0,0.0,64.73,64.73,64.73,0.0,0.0,64.67,64.67,64.67,0.0,0.0,64.67,64.67,64.67,0.0,0.0
2019-12-01,64.65,64.65,64.65,0.0,0.0,64.74,64.74,64.74,0.0,0.0,64.6,64.6,64.6,0.0,0.0,64.69,64.69,64.69,0.0,0.0
2019-12-08,65.23,65.23,65.23,0.0,0.0,65.35,65.35,65.35,0.0,0.0,65.17,65.17,65.17,0.0,0.0,65.27,65.27,65.27,0.0,0.0
2019-12-15,65.94,65.94,65.94,0.0,0.0,65.94,65.94,65.94,0.0,0.0,65.77,65.77,65.77,0.0,0.0,65.85,65.85,65.85,0.0,0.0
2019-12-22,65.43,65.43,65.43,0.0,0.0,65.56,65.56,65.56,0.0,0.0,65.39,65.39,65.39,0.0,0.0,65.44,65.44,65.44,0.0,0.0
2019-12-29,65.43,65.43,65.43,0.0,0.0,65.56,65.56,65.56,0.0,0.0,65.34,65.34,65.34,0.0,0.0,65.35,65.35,65.35,0.0,0.0
2020-01-05,65.41,65.41,65.41,0.0,0.0,65.76,65.76,65.76,0.0,0.0,65.41,65.41,65.41,0.0,0.0,65.57,65.57,65.57,0.0,0.0
2020-01-12,65.5,65.5,65.5,0.0,0.0,65.71,65.71,65.71,0.0,0.0,65.5,65.5,65.5,0.0,0.0,65.57,65.57,65.57,0.0,0.0
2020-01-19,65.36,65.36,65.36,0.0,0.0,65.36,65.36,65.36,0.0,0.0,64.81,64.81,64.81,0.0,0.0,64.94,64.94,64.94,0.0,0.0
2020-01-26,64.81,64.81,64.81,0.0,0.0,64.81,64.81,64.81,0.0,0.0,64.35,64.35,64.35,0.0,0.0,64.48,64.48,64.48,0.0,0.0
2020-02-02,65.16,65.16,65.16,0.0,0.0,65.16,65.16,65.16,0.0,0.0,64.83,64.83,64.83,0.0,0.0,64.96,64.96,64.96,0.0,0.0
2020-02-09,65.32,65.32,65.32,0.0,0.0,65.41,65.41,65.41,0.0,0.0,65.22,65.22,65.22,0.0,0.0,65.36,65.36,65.36,0.0,0.0
2020-02-16,65.45,65.45,65.45,0.0,0.0,65.45,65.45,65.45,0.0,0.0,65.12,65.12,65.12,0.0,0.0,65.12,65.12,65.12,0.0,0.0
2020-02-23,62.67,62.67,62.67,0.0,0.0,62.75,62.75,62.75,0.0,0.0,62.0,62.0,62.0,0.0,0.0,62.66,62.66,62.66,0.0,0.0
2020-03-01,61.72,61.72,61.72,0.0,0.0,61.72,61.72,61.72,0.0,0.0,60.7,60.7,60.7,0.0,0.0,61.21,61.21,61.21,0.0,0.0
2020-03-08,55.88,55.88,55.88,0.0,0.0,57.69,57.69,57.69,0.0,0.0,55.59,55.59,55.59,0.0,0.0,57.07,57.07,57.07,0.0,0.0
2020-03-15,49.6,49.6,49.6,0.0,0.0,51.28,51.28,51.28,0.0,0.0,49.6,49.6,49.6,0.0,0.0,49.67,49.67,49.67,0.0,0.0
2020-03-22,53.65,53.65,53.65,0.0,0.0,55.3,55.3,55.3,0.0,0.0,52.24,52.24,52.24,0.0,0.0,54.74,54.74,54.74,0.0,0.0
2020-03-29,53.44,53.44,53.44,0.0,0.0,53.75,53.75,53.75,0.0,0.0,52.94,52.94,52.94,0.0,0.0,53.59,53.59,53.59,0.0,0.0
2020-04-05,56.75,56.75,56.75,0.0,0.0,58.84,58.84,58.84,0.0,0.0,56.0,56.0,56.0,0.0,0.0,57.66,57.66,57.66,0.0,0.0
2020-04-12,56.93,56.93,56.93,0.0,0.0,58.1,58.1,58.1,0.0,0.0,56.45,56.45,56.45,0.0,0.0,58.1,58.1,58.1,0.0,0.0
2020-04-19,56.59,56.59,56.59,0.0,0.0,56.59,56.59,56.59,0.0,0.0,56.08,56.08,56.08,0.0,0.0,56.36,56.36,56.36,0.0,0.0
2020-04-26,56.52,56.52,56.52,0.0,0.0,56.52,56.52,56.52,0.0,0.0,56.52,56.52,56.52,0.0,0.0,56.52,56.52,56.52,0.0,0.0
2020-05-03,57.0,57.0,57.0,0.0,0.0,57.0,57.0,57.0,0.0,0.0,57.0,57.0,57.0,0.0,0.0,57.0,57.0,57.0,0.0,0.0
2020-05-10,56.19,56.19,56.19,0.0,0.0,56.55,56.55,56.55,0.0,0.0,56.19,56.19,56.19,0.0,0.0,56.55,56.55,56.55,0.0,0.0
2020-05-17,57.74,57.74,57.74,0.0,0.0,57.92,57.92,57.92,0.0,0.0,57.62,57.62,57.62,0.0,0.0,57.85,57.85,57.85,0.0,0.0
2020-05-24,58.84,58.84,58.84,0.0,0.0,58.97,58.97,58.97,0.0,0.0,58.69,58.69,58.69,0.0,0.0,58.83,58.83,58.83,0.0,0.0
2020-05-31,60.69,60.69,60.69,0.0,0.0,60.69,60.69,60.69,0.0,0.0,60.69,60.69,60.69,0.0,0.0,60.69,60.69,60.69,0.0,0.0
2020-06-07,59.12,59.12,59.12,0.0,0.0,59.66,59.66,59.66,0.0,0.0,58.72,58.72,58.72,0.0,0.0,59.16,59.16,59.16,0.0,0.0
2020-06-14,59.97,59.97,59.97,0.0,0.0,60.05,60.05,60.05,0.0,0.0,59.33,59.33,59.33,0.0,0.0,59.44,59.44,59.44,0.0,0.0
2020-06-21,58.4,58.4,58.4,0.0,0.0,58.4,58.4,58.4,0.0,0.0,58.27,58.27,58.27,0.0,0.0,58.27,58.27,58.27,0.0,0.0
2020-06-28,58.22,58.22,58.22,0.0,0.0,58.22,58.22,58.22,0.0,0.0,58.22,58.22,58.22,0.0,0.0,58.22,58.22,58.22,0.0,0.0
2020-07-05,58.6,58.6,58.6,0.0,0.0,58.91,58.91,58.91,0.0,0.0,58.58,58.58,58.58,0.0,0.0,58.58,58.58,58.58,0.0,0.0
