Date,iShares Short Maturity BondEtf_Open_average,iShares Short Maturity BondEtf_Open_max,iShares Short Maturity BondEtf_Open_min,iShares Short Maturity BondEtf_Open_volatility,iShares Short Maturity BondEtf_Open_change,iShares Short Maturity BondEtf_High_average,iShares Short Maturity BondEtf_High_max,iShares Short Maturity BondEtf_High_min,iShares Short Maturity BondEtf_High_volatility,iShares Short Maturity BondEtf_High_change,iShares Short Maturity BondEtf_Low_average,iShares Short Maturity BondEtf_Low_max,iShares Short Maturity BondEtf_Low_min,iShares Short Maturity BondEtf_Low_volatility,iShares Short Maturity BondEtf_Low_change,iShares Short Maturity BondEtf_Close_average,iShares Short Maturity BondEtf_Close_max,iShares Short Maturity BondEtf_Close_min,iShares Short Maturity BondEtf_Close_volatility,iShares Short Maturity BondEtf_Close_change
2019-04-07,50.16,50.16,50.16,0.0,0.0,50.17,50.17,50.17,0.0,0.0,50.16,50.16,50.16,0.0,0.0,50.17,50.17,50.17,0.0,0.0
2019-04-14,50.2,50.2,50.2,0.0,0.0,50.2,50.2,50.2,0.0,0.0,50.19,50.19,50.19,0.0,0.0,50.2,50.2,50.2,0.0,0.0
2019-04-21,50.23,50.23,50.23,0.0,0.0,50.24,50.24,50.24,0.0,0.0,50.23,50.23,50.23,0.0,0.0,50.24,50.24,50.24,0.0,0.0
2019-04-28,50.16,50.16,50.16,0.0,0.0,50.16,50.16,50.16,0.0,0.0,50.15,50.15,50.15,0.0,0.0,50.16,50.16,50.16,0.0,0.0
2019-05-05,50.19,50.19,50.19,0.0,0.0,50.2,50.2,50.2,0.0,0.0,50.18,50.18,50.18,0.0,0.0,50.19,50.19,50.19,0.0,0.0
2019-05-12,50.23,50.23,50.23,0.0,0.0,50.23,50.23,50.23,0.0,0.0,50.22,50.22,50.22,0.0,0.0,50.23,50.23,50.23,0.0,0.0
2019-05-19,50.26,50.26,50.26,0.0,0.0,50.26,50.26,50.26,0.0,0.0,50.25,50.25,50.25,0.0,0.0,50.26,50.26,50.26,0.0,0.0
2019-05-26,50.29,50.29,50.29,0.0,0.0,50.31,50.31,50.31,0.0,0.0,50.28,50.28,50.28,0.0,0.0,50.31,50.31,50.31,0.0,0.0
2019-06-02,50.22,50.22,50.22,0.0,0.0,50.23,50.23,50.23,0.0,0.0,50.22,50.22,50.22,0.0,0.0,50.23,50.23,50.23,0.0,0.0
2019-06-09,50.26,50.26,50.26,0.0,0.0,50.27,50.27,50.27,0.0,0.0,50.25,50.25,50.25,0.0,0.0,50.27,50.27,50.27,0.0,0.0
2019-06-16,50.31,50.31,50.31,0.0,0.0,50.32,50.32,50.32,0.0,0.0,50.3,50.3,50.3,0.0,0.0,50.3,50.3,50.3,0.0,0.0
2019-06-23,50.33,50.33,50.33,0.0,0.0,50.34,50.34,50.34,0.0,0.0,50.31,50.31,50.31,0.0,0.0,50.33,50.33,50.33,0.0,0.0
2019-06-30,50.23,50.23,50.23,0.0,0.0,50.23,50.23,50.23,0.0,0.0,50.22,50.22,50.22,0.0,0.0,50.23,50.23,50.23,0.0,0.0
2019-07-07,50.26,50.26,50.26,0.0,0.0,50.26,50.26,50.26,0.0,0.0,50.25,50.25,50.25,0.0,0.0,50.26,50.26,50.26,0.0,0.0
2019-07-14,50.3,50.3,50.3,0.0,0.0,50.3,50.3,50.3,0.0,0.0,50.29,50.29,50.29,0.0,0.0,50.3,50.3,50.3,0.0,0.0
2019-07-21,50.31,50.31,50.31,0.0,0.0,50.32,50.32,50.32,0.0,0.0,50.31,50.31,50.31,0.0,0.0,50.32,50.32,50.32,0.0,0.0
2019-07-28,50.25,50.25,50.25,0.0,0.0,50.26,50.26,50.26,0.0,0.0,50.24,50.24,50.24,0.0,0.0,50.26,50.26,50.26,0.0,0.0
2019-08-04,50.28,50.28,50.28,0.0,0.0,50.28,50.28,50.28,0.0,0.0,50.26,50.26,50.26,0.0,0.0,50.28,50.28,50.28,0.0,0.0
2019-08-11,50.28,50.28,50.28,0.0,0.0,50.3,50.3,50.3,0.0,0.0,50.28,50.28,50.28,0.0,0.0,50.29,50.29,50.29,0.0,0.0
2019-08-18,50.31,50.31,50.31,0.0,0.0,50.33,50.33,50.33,0.0,0.0,50.31,50.31,50.31,0.0,0.0,50.33,50.33,50.33,0.0,0.0
2019-08-25,50.34,50.34,50.34,0.0,0.0,50.35,50.35,50.35,0.0,0.0,50.34,50.34,50.34,0.0,0.0,50.34,50.34,50.34,0.0,0.0
2019-09-01,50.26,50.26,50.26,0.0,0.0,50.27,50.27,50.27,0.0,0.0,50.25,50.25,50.25,0.0,0.0,50.27,50.27,50.27,0.0,0.0
2019-09-08,50.27,50.27,50.27,0.0,0.0,50.28,50.28,50.28,0.0,0.0,50.26,50.26,50.26,0.0,0.0,50.27,50.27,50.27,0.0,0.0
2019-09-15,50.3,50.3,50.3,0.0,0.0,50.31,50.31,50.31,0.0,0.0,50.29,50.29,50.29,0.0,0.0,50.3,50.3,50.3,0.0,0.0
2019-09-22,50.33,50.33,50.33,0.0,0.0,50.34,50.34,50.34,0.0,0.0,50.32,50.32,50.32,0.0,0.0,50.34,50.34,50.34,0.0,0.0
2019-09-29,50.28,50.28,50.28,0.0,0.0,50.28,50.28,50.28,0.0,0.0,50.26,50.26,50.26,0.0,0.0,50.27,50.27,50.27,0.0,0.0
2019-10-06,50.29,50.29,50.29,0.0,0.0,50.29,50.29,50.29,0.0,0.0,50.28,50.28,50.28,0.0,0.0,50.28,50.28,50.28,0.0,0.0
2019-10-13,50.3,50.3,50.3,0.0,0.0,50.31,50.31,50.31,0.0,0.0,50.29,50.29,50.29,0.0,0.0,50.31,50.31,50.31,0.0,0.0
2019-10-20,50.34,50.34,50.34,0.0,0.0,50.34,50.34,50.34,0.0,0.0,50.33,50.33,50.33,0.0,0.0,50.34,50.34,50.34,0.0,0.0
2019-10-27,50.25,50.25,50.25,0.0,0.0,50.27,50.27,50.27,0.0,0.0,50.25,50.25,50.25,0.0,0.0,50.27,50.27,50.27,0.0,0.0
2019-11-03,50.28,50.28,50.28,0.0,0.0,50.28,50.28,50.28,0.0,0.0,50.26,50.26,50.26,0.0,0.0,50.28,50.28,50.28,0.0,0.0
2019-11-10,50.3,50.3,50.3,0.0,0.0,50.31,50.31,50.31,0.0,0.0,50.29,50.29,50.29,0.0,0.0,50.3,50.3,50.3,0.0,0.0
2019-11-17,50.33,50.33,50.33,0.0,0.0,50.33,50.33,50.33,0.0,0.0,50.32,50.32,50.32,0.0,0.0,50.33,50.33,50.33,0.0,0.0
2019-11-24,50.33,50.33,50.33,0.0,0.0,50.33,50.33,50.33,0.0,0.0,50.32,50.32,50.32,0.0,0.0,50.33,50.33,50.33,0.0,0.0
2019-12-01,50.26,50.26,50.26,0.0,0.0,50.27,50.27,50.27,0.0,0.0,50.26,50.26,50.26,0.0,0.0,50.27,50.27,50.27,0.0,0.0
2019-12-08,50.28,50.28,50.28,0.0,0.0,50.31,50.31,50.31,0.0,0.0,50.28,50.28,50.28,0.0,0.0,50.31,50.31,50.31,0.0,0.0
2019-12-15,50.22,50.22,50.22,0.0,0.0,50.23,50.23,50.23,0.0,0.0,50.21,50.21,50.21,0.0,0.0,50.21,50.21,50.21,0.0,0.0
2019-12-22,50.23,50.23,50.23,0.0,0.0,50.24,50.24,50.24,0.0,0.0,50.22,50.22,50.22,0.0,0.0,50.24,50.24,50.24,0.0,0.0
2019-12-29,50.26,50.26,50.26,0.0,0.0,50.26,50.26,50.26,0.0,0.0,50.25,50.25,50.25,0.0,0.0,50.26,50.26,50.26,0.0,0.0
2020-01-05,50.28,50.28,50.28,0.0,0.0,50.29,50.29,50.29,0.0,0.0,50.27,50.27,50.27,0.0,0.0,50.28,50.28,50.28,0.0,0.0
2020-01-12,50.3,50.3,50.3,0.0,0.0,50.31,50.31,50.31,0.0,0.0,50.29,50.29,50.29,0.0,0.0,50.31,50.31,50.31,0.0,0.0
2020-01-19,50.33,50.33,50.33,0.0,0.0,50.34,50.34,50.34,0.0,0.0,50.32,50.32,50.32,0.0,0.0,50.32,50.32,50.32,0.0,0.0
2020-01-26,50.38,50.38,50.38,0.0,0.0,50.39,50.39,50.39,0.0,0.0,50.37,50.37,50.37,0.0,0.0,50.38,50.38,50.38,0.0,0.0
2020-02-02,50.29,50.29,50.29,0.0,0.0,50.3,50.3,50.3,0.0,0.0,50.28,50.28,50.28,0.0,0.0,50.3,50.3,50.3,0.0,0.0
2020-02-09,50.33,50.33,50.33,0.0,0.0,50.33,50.33,50.33,0.0,0.0,50.32,50.32,50.32,0.0,0.0,50.33,50.33,50.33,0.0,0.0
2020-02-16,50.36,50.36,50.36,0.0,0.0,50.37,50.37,50.37,0.0,0.0,50.35,50.35,50.35,0.0,0.0,50.36,50.36,50.36,0.0,0.0
2020-02-23,50.4,50.4,50.4,0.0,0.0,50.41,50.41,50.41,0.0,0.0,50.38,50.38,50.38,0.0,0.0,50.4,50.4,50.4,0.0,0.0
2020-03-01,50.36,50.36,50.36,0.0,0.0,50.37,50.37,50.37,0.0,0.0,50.33,50.33,50.33,0.0,0.0,50.34,50.34,50.34,0.0,0.0
2020-03-08,49.51,49.51,49.51,0.0,0.0,49.78,49.78,49.78,0.0,0.0,49.31,49.31,49.31,0.0,0.0,49.58,49.58,49.58,0.0,0.0
2020-03-15,45.49,45.49,45.49,0.0,0.0,47.2,47.2,47.2,0.0,0.0,44.79,44.79,44.79,0.0,0.0,46.54,46.54,46.54,0.0,0.0
2020-03-22,47.35,47.35,47.35,0.0,0.0,48.4,48.4,48.4,0.0,0.0,47.35,47.35,47.35,0.0,0.0,48.19,48.19,48.19,0.0,0.0
2020-03-29,48.4,48.4,48.4,0.0,0.0,48.59,48.59,48.59,0.0,0.0,48.4,48.4,48.4,0.0,0.0,48.56,48.56,48.56,0.0,0.0
2020-04-05,48.68,48.68,48.68,0.0,0.0,49.08,49.08,49.08,0.0,0.0,48.61,48.61,48.61,0.0,0.0,48.99,48.99,48.99,0.0,0.0
2020-04-12,49.13,49.13,49.13,0.0,0.0,49.17,49.17,49.17,0.0,0.0,49.06,49.06,49.06,0.0,0.0,49.09,49.09,49.09,0.0,0.0
2020-04-19,49.2,49.2,49.2,0.0,0.0,49.21,49.21,49.21,0.0,0.0,49.15,49.15,49.15,0.0,0.0,49.19,49.19,49.19,0.0,0.0
2020-04-26,49.19,49.19,49.19,0.0,0.0,49.19,49.19,49.19,0.0,0.0,49.19,49.19,49.19,0.0,0.0,49.19,49.19,49.19,0.0,0.0
2020-05-03,49.33,49.33,49.33,0.0,0.0,49.35,49.35,49.35,0.0,0.0,49.31,49.31,49.31,0.0,0.0,49.32,49.32,49.32,0.0,0.0
2020-05-10,49.4,49.4,49.4,0.0,0.0,49.49,49.49,49.49,0.0,0.0,49.4,49.4,49.4,0.0,0.0,49.49,49.49,49.49,0.0,0.0
2020-05-17,49.58,49.58,49.58,0.0,0.0,49.62,49.62,49.62,0.0,0.0,49.58,49.58,49.58,0.0,0.0,49.6,49.6,49.6,0.0,0.0
2020-05-24,49.68,49.68,49.68,0.0,0.0,49.73,49.73,49.73,0.0,0.0,49.68,49.68,49.68,0.0,0.0,49.72,49.72,49.72,0.0,0.0
2020-05-31,49.74,49.74,49.74,0.0,0.0,49.74,49.74,49.74,0.0,0.0,49.74,49.74,49.74,0.0,0.0,49.74,49.74,49.74,0.0,0.0
2020-06-07,49.82,49.82,49.82,0.0,0.0,49.84,49.84,49.84,0.0,0.0,49.76,49.76,49.76,0.0,0.0,49.81,49.81,49.81,0.0,0.0
2020-06-14,49.93,49.93,49.93,0.0,0.0,50.02,50.02,50.02,0.0,0.0,49.9,49.9,49.9,0.0,0.0,49.92,49.92,49.92,0.0,0.0
2020-06-21,49.92,49.92,49.92,0.0,0.0,50.0,50.0,50.0,0.0,0.0,49.92,49.92,49.92,0.0,0.0,49.99,49.99,49.99,0.0,0.0
2020-06-28,49.97,49.97,49.97,0.0,0.0,49.97,49.97,49.97,0.0,0.0,49.97,49.97,49.97,0.0,0.0,49.97,49.97,49.97,0.0,0.0
2020-07-05,49.98,49.98,49.98,0.0,0.0,50.0,50.0,50.0,0.0,0.0,49.98,49.98,49.98,0.0,0.0,49.99,49.99,49.99,0.0,0.0
