Date,iShares Emerging Markets High Yield BondEtf_Open_average,iShares Emerging Markets High Yield BondEtf_Open_max,iShares Emerging Markets High Yield BondEtf_Open_min,iShares Emerging Markets High Yield BondEtf_Open_volatility,iShares Emerging Markets High Yield BondEtf_Open_change,iShares Emerging Markets High Yield BondEtf_High_average,iShares Emerging Markets High Yield BondEtf_High_max,iShares Emerging Markets High Yield BondEtf_High_min,iShares Emerging Markets High Yield BondEtf_High_volatility,iShares Emerging Markets High Yield BondEtf_High_change,iShares Emerging Markets High Yield BondEtf_Low_average,iShares Emerging Markets High Yield BondEtf_Low_max,iShares Emerging Markets High Yield BondEtf_Low_min,iShares Emerging Markets High Yield BondEtf_Low_volatility,iShares Emerging Markets High Yield BondEtf_Low_change,iShares Emerging Markets High Yield BondEtf_Close_average,iShares Emerging Markets High Yield BondEtf_Close_max,iShares Emerging Markets High Yield BondEtf_Close_min,iShares Emerging Markets High Yield BondEtf_Close_volatility,iShares Emerging Markets High Yield BondEtf_Close_change
2018-04-08,48.86,48.86,48.86,0.0,0.0,48.89,48.89,48.89,0.0,0.0,48.68,48.68,48.68,0.0,0.0,48.87,48.87,48.87,0.0,0.0
2018-04-15,48.61,48.61,48.61,0.0,0.0,48.61,48.61,48.61,0.0,0.0,48.43,48.43,48.43,0.0,0.0,48.5,48.5,48.5,0.0,0.0
2018-04-22,48.21,48.21,48.21,0.0,0.0,48.26,48.26,48.26,0.0,0.0,48.14,48.14,48.14,0.0,0.0,48.24,48.24,48.24,0.0,0.0
2018-04-29,47.1,47.1,47.1,0.0,0.0,47.31,47.31,47.31,0.0,0.0,47.02,47.02,47.02,0.0,0.0,47.3,47.3,47.3,0.0,0.0
2018-05-06,47.39,47.39,47.39,0.0,0.0,47.47,47.47,47.47,0.0,0.0,47.34,47.34,47.34,0.0,0.0,47.43,47.43,47.43,0.0,0.0
2018-05-13,46.77,46.77,46.77,0.0,0.0,46.93,46.93,46.93,0.0,0.0,46.73,46.73,46.73,0.0,0.0,46.85,46.85,46.85,0.0,0.0
2018-05-20,47.46,47.46,47.46,0.0,0.0,47.48,47.48,47.48,0.0,0.0,47.36,47.36,47.36,0.0,0.0,47.44,47.44,47.44,0.0,0.0
2018-05-27,46.53,46.53,46.53,0.0,0.0,46.54,46.54,46.54,0.0,0.0,46.33,46.33,46.33,0.0,0.0,46.51,46.51,46.51,0.0,0.0
2018-06-03,46.5,46.5,46.5,0.0,0.0,46.56,46.56,46.56,0.0,0.0,46.46,46.46,46.46,0.0,0.0,46.51,46.51,46.51,0.0,0.0
2018-06-10,46.14,46.14,46.14,0.0,0.0,46.14,46.14,46.14,0.0,0.0,45.94,45.94,45.94,0.0,0.0,46.04,46.04,46.04,0.0,0.0
2018-06-17,46.24,46.24,46.24,0.0,0.0,46.38,46.38,46.38,0.0,0.0,46.24,46.24,46.24,0.0,0.0,46.36,46.36,46.36,0.0,0.0
2018-06-24,46.14,46.14,46.14,0.0,0.0,46.14,46.14,46.14,0.0,0.0,45.96,45.96,45.96,0.0,0.0,45.99,45.99,45.99,0.0,0.0
2018-07-01,46.27,46.27,46.27,0.0,0.0,46.48,46.48,46.48,0.0,0.0,46.27,46.27,46.27,0.0,0.0,46.46,46.46,46.46,0.0,0.0
2018-07-08,46.59,46.59,46.59,0.0,0.0,46.74,46.74,46.74,0.0,0.0,46.59,46.59,46.59,0.0,0.0,46.73,46.73,46.73,0.0,0.0
2018-07-15,46.76,46.76,46.76,0.0,0.0,46.85,46.85,46.85,0.0,0.0,46.68,46.68,46.68,0.0,0.0,46.74,46.74,46.74,0.0,0.0
2018-07-22,47.13,47.13,47.13,0.0,0.0,47.19,47.19,47.19,0.0,0.0,47.05,47.05,47.05,0.0,0.0,47.17,47.17,47.17,0.0,0.0
2018-07-29,46.57,46.57,46.57,0.0,0.0,46.59,46.59,46.59,0.0,0.0,46.52,46.52,46.52,0.0,0.0,46.55,46.55,46.55,0.0,0.0
2018-08-05,45.47,45.47,45.47,0.0,0.0,45.47,45.47,45.47,0.0,0.0,45.21,45.21,45.21,0.0,0.0,45.27,45.27,45.27,0.0,0.0
2018-08-12,45.08,45.08,45.08,0.0,0.0,45.4,45.4,45.4,0.0,0.0,45.08,45.08,45.08,0.0,0.0,45.34,45.34,45.34,0.0,0.0
2018-08-19,45.42,45.42,45.42,0.0,0.0,45.51,45.51,45.51,0.0,0.0,45.33,45.33,45.33,0.0,0.0,45.44,45.44,45.44,0.0,0.0
2018-08-26,44.7,44.7,44.7,0.0,0.0,44.81,44.81,44.81,0.0,0.0,44.66,44.66,44.66,0.0,0.0,44.7,44.7,44.7,0.0,0.0
2018-09-02,44.89,44.89,44.89,0.0,0.0,44.89,44.89,44.89,0.0,0.0,44.69,44.69,44.69,0.0,0.0,44.76,44.76,44.76,0.0,0.0
2018-09-09,45.2,45.2,45.2,0.0,0.0,45.28,45.28,45.28,0.0,0.0,45.06,45.06,45.06,0.0,0.0,45.27,45.27,45.27,0.0,0.0
2018-09-16,45.63,45.63,45.63,0.0,0.0,45.87,45.87,45.87,0.0,0.0,45.63,45.63,45.63,0.0,0.0,45.76,45.76,45.76,0.0,0.0
2018-09-23,46.16,46.16,46.16,0.0,0.0,46.28,46.28,46.28,0.0,0.0,46.07,46.07,46.07,0.0,0.0,46.12,46.12,46.12,0.0,0.0
2018-09-30,45.42,45.42,45.42,0.0,0.0,45.51,45.51,45.51,0.0,0.0,45.28,45.28,45.28,0.0,0.0,45.34,45.34,45.34,0.0,0.0
2018-10-07,45.54,45.54,45.54,0.0,0.0,45.61,45.61,45.61,0.0,0.0,45.47,45.47,45.47,0.0,0.0,45.59,45.59,45.59,0.0,0.0
2018-10-14,45.66,45.66,45.66,0.0,0.0,45.71,45.71,45.71,0.0,0.0,45.53,45.53,45.53,0.0,0.0,45.55,45.55,45.55,0.0,0.0
2018-10-21,45.43,45.43,45.43,0.0,0.0,45.59,45.59,45.59,0.0,0.0,45.42,45.42,45.42,0.0,0.0,45.55,45.55,45.55,0.0,0.0
2018-10-28,45.52,45.52,45.52,0.0,0.0,45.52,45.52,45.52,0.0,0.0,45.35,45.35,45.35,0.0,0.0,45.35,45.35,45.35,0.0,0.0
2018-11-04,45.43,45.43,45.43,0.0,0.0,45.51,45.51,45.51,0.0,0.0,45.41,45.41,45.41,0.0,0.0,45.48,45.48,45.48,0.0,0.0
2018-11-11,45.13,45.13,45.13,0.0,0.0,45.28,45.28,45.28,0.0,0.0,45.13,45.13,45.13,0.0,0.0,45.2,45.2,45.2,0.0,0.0
2018-11-18,44.7,44.7,44.7,0.0,0.0,44.83,44.83,44.83,0.0,0.0,44.62,44.62,44.62,0.0,0.0,44.62,44.62,44.62,0.0,0.0
2018-11-25,44.93,44.93,44.93,0.0,0.0,45.0,45.0,45.0,0.0,0.0,44.93,44.93,44.93,0.0,0.0,44.94,44.94,44.94,0.0,0.0
2018-12-02,45.07,45.07,45.07,0.0,0.0,45.08,45.08,45.08,0.0,0.0,44.94,44.94,44.94,0.0,0.0,44.95,44.95,44.95,0.0,0.0
2018-12-09,45.11,45.11,45.11,0.0,0.0,45.25,45.25,45.25,0.0,0.0,45.1,45.1,45.1,0.0,0.0,45.14,45.14,45.14,0.0,0.0
2018-12-16,44.28,44.28,44.28,0.0,0.0,44.4,44.4,44.4,0.0,0.0,44.09,44.09,44.09,0.0,0.0,44.1,44.1,44.1,0.0,0.0
2018-12-23,44.29,44.29,44.29,0.0,0.0,44.54,44.54,44.54,0.0,0.0,44.29,44.29,44.29,0.0,0.0,44.38,44.38,44.38,0.0,0.0
2018-12-30,44.8,44.8,44.8,0.0,0.0,44.95,44.95,44.95,0.0,0.0,44.77,44.77,44.77,0.0,0.0,44.89,44.89,44.89,0.0,0.0
2019-01-06,45.33,45.33,45.33,0.0,0.0,45.33,45.33,45.33,0.0,0.0,45.15,45.15,45.15,0.0,0.0,45.28,45.28,45.28,0.0,0.0
2019-01-13,45.75,45.75,45.75,0.0,0.0,45.91,45.91,45.91,0.0,0.0,45.74,45.74,45.74,0.0,0.0,45.91,45.91,45.91,0.0,0.0
2019-01-20,46.44,46.44,46.44,0.0,0.0,46.45,46.45,46.45,0.0,0.0,46.32,46.32,46.32,0.0,0.0,46.36,46.36,46.36,0.0,0.0
2019-01-27,46.53,46.53,46.53,0.0,0.0,46.72,46.72,46.72,0.0,0.0,46.52,46.52,46.52,0.0,0.0,46.72,46.72,46.72,0.0,0.0
2019-02-03,46.45,46.45,46.45,0.0,0.0,46.48,46.48,46.48,0.0,0.0,46.37,46.37,46.37,0.0,0.0,46.37,46.37,46.37,0.0,0.0
2019-02-10,46.5,46.5,46.5,0.0,0.0,46.59,46.59,46.59,0.0,0.0,46.37,46.37,46.37,0.0,0.0,46.48,46.48,46.48,0.0,0.0
2019-02-17,46.55,46.55,46.55,0.0,0.0,46.72,46.72,46.72,0.0,0.0,46.55,46.55,46.55,0.0,0.0,46.72,46.72,46.72,0.0,0.0
2019-02-24,46.81,46.81,46.81,0.0,0.0,46.81,46.81,46.81,0.0,0.0,46.64,46.64,46.64,0.0,0.0,46.7,46.7,46.7,0.0,0.0
2019-03-03,46.24,46.24,46.24,0.0,0.0,46.24,46.24,46.24,0.0,0.0,46.18,46.18,46.18,0.0,0.0,46.24,46.24,46.24,0.0,0.0
2019-03-10,46.82,46.82,46.82,0.0,0.0,46.89,46.89,46.89,0.0,0.0,46.82,46.82,46.82,0.0,0.0,46.86,46.86,46.86,0.0,0.0
2019-03-17,47.2,47.2,47.2,0.0,0.0,47.2,47.2,47.2,0.0,0.0,46.7,46.7,46.7,0.0,0.0,46.78,46.78,46.78,0.0,0.0
2019-03-24,46.55,46.55,46.55,0.0,0.0,46.79,46.79,46.79,0.0,0.0,46.55,46.55,46.55,0.0,0.0,46.79,46.79,46.79,0.0,0.0
2019-03-31,46.77,46.77,46.77,0.0,0.0,46.77,46.77,46.77,0.0,0.0,46.68,46.68,46.68,0.0,0.0,46.68,46.68,46.68,0.0,0.0
2019-04-07,46.43,46.43,46.43,0.0,0.0,46.49,46.49,46.49,0.0,0.0,46.38,46.38,46.38,0.0,0.0,46.38,46.38,46.38,0.0,0.0
2019-04-14,46.52,46.52,46.52,0.0,0.0,46.55,46.55,46.55,0.0,0.0,46.44,46.44,46.44,0.0,0.0,46.45,46.45,46.45,0.0,0.0
2019-04-21,46.42,46.42,46.42,0.0,0.0,46.46,46.46,46.46,0.0,0.0,46.25,46.25,46.25,0.0,0.0,46.26,46.26,46.26,0.0,0.0
2019-04-28,46.22,46.22,46.22,0.0,0.0,46.35,46.35,46.35,0.0,0.0,46.22,46.22,46.22,0.0,0.0,46.34,46.34,46.34,0.0,0.0
2019-05-05,46.21,46.21,46.21,0.0,0.0,46.27,46.27,46.27,0.0,0.0,46.14,46.14,46.14,0.0,0.0,46.27,46.27,46.27,0.0,0.0
2019-05-12,46.11,46.11,46.11,0.0,0.0,46.14,46.14,46.14,0.0,0.0,46.01,46.01,46.01,0.0,0.0,46.01,46.01,46.01,0.0,0.0
2019-05-19,46.11,46.11,46.11,0.0,0.0,46.27,46.27,46.27,0.0,0.0,46.11,46.11,46.11,0.0,0.0,46.25,46.25,46.25,0.0,0.0
2019-05-26,46.14,46.14,46.14,0.0,0.0,46.18,46.18,46.18,0.0,0.0,46.09,46.09,46.09,0.0,0.0,46.14,46.14,46.14,0.0,0.0
2019-06-02,46.62,46.62,46.62,0.0,0.0,46.65,46.65,46.65,0.0,0.0,46.54,46.54,46.54,0.0,0.0,46.63,46.63,46.63,0.0,0.0
2019-06-09,46.87,46.87,46.87,0.0,0.0,46.93,46.93,46.93,0.0,0.0,46.82,46.82,46.82,0.0,0.0,46.89,46.89,46.89,0.0,0.0
2019-06-16,47.66,47.66,47.66,0.0,0.0,47.68,47.68,47.68,0.0,0.0,47.32,47.32,47.32,0.0,0.0,47.32,47.32,47.32,0.0,0.0
2019-06-23,47.77,47.77,47.77,0.0,0.0,47.88,47.88,47.88,0.0,0.0,47.72,47.72,47.72,0.0,0.0,47.79,47.79,47.79,0.0,0.0
2019-06-30,47.87,47.87,47.87,0.0,0.0,47.88,47.88,47.88,0.0,0.0,47.6,47.6,47.6,0.0,0.0,47.83,47.83,47.83,0.0,0.0
2019-07-07,47.43,47.43,47.43,0.0,0.0,47.59,47.59,47.59,0.0,0.0,47.43,47.43,47.43,0.0,0.0,47.56,47.56,47.56,0.0,0.0
2019-07-14,47.62,47.62,47.62,0.0,0.0,47.78,47.78,47.78,0.0,0.0,47.62,47.62,47.62,0.0,0.0,47.72,47.72,47.72,0.0,0.0
2019-07-21,48.11,48.11,48.11,0.0,0.0,48.12,48.12,48.12,0.0,0.0,48.01,48.01,48.01,0.0,0.0,48.1,48.1,48.1,0.0,0.0
2019-07-28,47.67,47.67,47.67,0.0,0.0,47.67,47.67,47.67,0.0,0.0,47.58,47.58,47.58,0.0,0.0,47.64,47.64,47.64,0.0,0.0
2019-08-04,47.65,47.65,47.65,0.0,0.0,47.71,47.71,47.71,0.0,0.0,47.59,47.59,47.59,0.0,0.0,47.69,47.69,47.69,0.0,0.0
2019-08-11,46.43,46.43,46.43,0.0,0.0,46.44,46.44,46.44,0.0,0.0,46.35,46.35,46.35,0.0,0.0,46.4,46.4,46.4,0.0,0.0
2019-08-18,46.43,46.43,46.43,0.0,0.0,46.54,46.54,46.54,0.0,0.0,46.38,46.38,46.38,0.0,0.0,46.45,46.45,46.45,0.0,0.0
2019-08-25,46.27,46.27,46.27,0.0,0.0,46.37,46.37,46.37,0.0,0.0,46.27,46.27,46.27,0.0,0.0,46.32,46.32,46.32,0.0,0.0
2019-09-01,46.79,46.79,46.79,0.0,0.0,46.81,46.81,46.81,0.0,0.0,46.72,46.72,46.72,0.0,0.0,46.81,46.81,46.81,0.0,0.0
2019-09-08,46.51,46.51,46.51,0.0,0.0,46.51,46.51,46.51,0.0,0.0,46.35,46.35,46.35,0.0,0.0,46.41,46.41,46.41,0.0,0.0
2019-09-15,46.73,46.73,46.73,0.0,0.0,46.84,46.84,46.84,0.0,0.0,46.73,46.73,46.73,0.0,0.0,46.82,46.82,46.82,0.0,0.0
2019-09-22,46.6,46.6,46.6,0.0,0.0,46.64,46.64,46.64,0.0,0.0,46.51,46.51,46.51,0.0,0.0,46.61,46.61,46.61,0.0,0.0
2019-09-29,46.4,46.4,46.4,0.0,0.0,46.58,46.58,46.58,0.0,0.0,46.4,46.4,46.4,0.0,0.0,46.57,46.57,46.57,0.0,0.0
2019-10-06,46.5,46.5,46.5,0.0,0.0,46.7,46.7,46.7,0.0,0.0,46.49,46.49,46.49,0.0,0.0,46.67,46.67,46.67,0.0,0.0
2019-10-13,46.65,46.65,46.65,0.0,0.0,46.75,46.75,46.75,0.0,0.0,46.65,46.65,46.65,0.0,0.0,46.72,46.72,46.72,0.0,0.0
2019-10-20,46.9,46.9,46.9,0.0,0.0,46.96,46.96,46.96,0.0,0.0,46.84,46.84,46.84,0.0,0.0,46.96,46.96,46.96,0.0,0.0
2019-10-27,46.69,46.69,46.69,0.0,0.0,46.87,46.87,46.87,0.0,0.0,46.69,46.69,46.69,0.0,0.0,46.87,46.87,46.87,0.0,0.0
2019-11-03,46.64,46.64,46.64,0.0,0.0,46.65,46.65,46.65,0.0,0.0,46.52,46.52,46.52,0.0,0.0,46.53,46.53,46.53,0.0,0.0
2019-11-10,46.58,46.58,46.58,0.0,0.0,46.6,46.6,46.6,0.0,0.0,46.52,46.52,46.52,0.0,0.0,46.6,46.6,46.6,0.0,0.0
2019-11-17,46.3,46.3,46.3,0.0,0.0,46.33,46.33,46.33,0.0,0.0,46.26,46.26,46.26,0.0,0.0,46.3,46.3,46.3,0.0,0.0
2019-11-24,46.44,46.44,46.44,0.0,0.0,46.44,46.44,46.44,0.0,0.0,46.34,46.34,46.34,0.0,0.0,46.38,46.38,46.38,0.0,0.0
2019-12-01,46.27,46.27,46.27,0.0,0.0,46.35,46.35,46.35,0.0,0.0,46.26,46.26,46.26,0.0,0.0,46.3,46.3,46.3,0.0,0.0
2019-12-08,46.93,46.93,46.93,0.0,0.0,46.99,46.99,46.99,0.0,0.0,46.83,46.83,46.83,0.0,0.0,46.96,46.96,46.96,0.0,0.0
2019-12-15,47.04,47.04,47.04,0.0,0.0,47.14,47.14,47.14,0.0,0.0,46.97,46.97,46.97,0.0,0.0,47.12,47.12,47.12,0.0,0.0
2019-12-22,47.32,47.32,47.32,0.0,0.0,47.47,47.47,47.47,0.0,0.0,47.32,47.32,47.32,0.0,0.0,47.47,47.47,47.47,0.0,0.0
2019-12-29,47.35,47.35,47.35,0.0,0.0,47.46,47.46,47.46,0.0,0.0,47.35,47.35,47.35,0.0,0.0,47.45,47.45,47.45,0.0,0.0
2020-01-05,47.65,47.65,47.65,0.0,0.0,47.76,47.76,47.76,0.0,0.0,47.65,47.65,47.65,0.0,0.0,47.7,47.7,47.7,0.0,0.0
2020-01-12,48.04,48.04,48.04,0.0,0.0,48.08,48.08,48.08,0.0,0.0,47.99,47.99,47.99,0.0,0.0,48.07,48.07,48.07,0.0,0.0
2020-01-19,47.87,47.87,47.87,0.0,0.0,47.87,47.87,47.87,0.0,0.0,47.71,47.71,47.71,0.0,0.0,47.75,47.75,47.75,0.0,0.0
2020-01-26,47.71,47.71,47.71,0.0,0.0,47.8,47.8,47.8,0.0,0.0,47.69,47.69,47.69,0.0,0.0,47.79,47.79,47.79,0.0,0.0
2020-02-02,47.88,47.88,47.88,0.0,0.0,47.88,47.88,47.88,0.0,0.0,47.75,47.75,47.75,0.0,0.0,47.77,47.77,47.77,0.0,0.0
2020-02-09,47.89,47.89,47.89,0.0,0.0,47.99,47.99,47.99,0.0,0.0,47.89,47.89,47.89,0.0,0.0,47.98,47.98,47.98,0.0,0.0
2020-02-16,47.91,47.91,47.91,0.0,0.0,47.97,47.97,47.97,0.0,0.0,47.87,47.87,47.87,0.0,0.0,47.89,47.89,47.89,0.0,0.0
2020-02-23,45.83,45.83,45.83,0.0,0.0,46.2,46.2,46.2,0.0,0.0,45.83,45.83,45.83,0.0,0.0,45.95,45.95,45.95,0.0,0.0
2020-03-01,45.98,45.98,45.98,0.0,0.0,46.02,46.02,46.02,0.0,0.0,45.51,45.51,45.51,0.0,0.0,45.92,45.92,45.92,0.0,0.0
2020-03-08,39.45,39.45,39.45,0.0,0.0,41.2,41.2,41.2,0.0,0.0,38.76,38.76,38.76,0.0,0.0,41.18,41.18,41.18,0.0,0.0
2020-03-15,35.41,35.41,35.41,0.0,0.0,36.46,36.46,36.46,0.0,0.0,34.55,34.55,34.55,0.0,0.0,35.11,35.11,35.11,0.0,0.0
2020-03-22,38.1,38.1,38.1,0.0,0.0,38.45,38.45,38.45,0.0,0.0,37.65,37.65,37.65,0.0,0.0,37.65,37.65,37.65,0.0,0.0
2020-03-29,37.32,37.32,37.32,0.0,0.0,37.34,37.34,37.34,0.0,0.0,35.9,35.9,35.9,0.0,0.0,36.67,36.67,36.67,0.0,0.0
2020-04-05,39.02,39.02,39.02,0.0,0.0,40.05,40.05,40.05,0.0,0.0,38.7,38.7,38.7,0.0,0.0,39.2,39.2,39.2,0.0,0.0
2020-04-12,39.21,39.21,39.21,0.0,0.0,39.49,39.49,39.49,0.0,0.0,39.11,39.11,39.11,0.0,0.0,39.25,39.25,39.25,0.0,0.0
2020-04-19,38.76,38.76,38.76,0.0,0.0,38.76,38.76,38.76,0.0,0.0,38.3,38.3,38.3,0.0,0.0,38.37,38.37,38.37,0.0,0.0
2020-04-26,39.15,39.15,39.15,0.0,0.0,39.15,39.15,39.15,0.0,0.0,39.15,39.15,39.15,0.0,0.0,39.15,39.15,39.15,0.0,0.0
2020-05-03,39.9,39.9,39.9,0.0,0.0,39.9,39.9,39.9,0.0,0.0,39.9,39.9,39.9,0.0,0.0,39.9,39.9,39.9,0.0,0.0
2020-05-10,39.82,39.82,39.82,0.0,0.0,40.09,40.09,40.09,0.0,0.0,39.82,39.82,39.82,0.0,0.0,39.95,39.95,39.95,0.0,0.0
2020-05-17,41.17,41.17,41.17,0.0,0.0,41.32,41.32,41.32,0.0,0.0,41.17,41.17,41.17,0.0,0.0,41.23,41.23,41.23,0.0,0.0
2020-05-24,41.48,41.48,41.48,0.0,0.0,41.83,41.83,41.83,0.0,0.0,41.2,41.2,41.2,0.0,0.0,41.7,41.7,41.7,0.0,0.0
2020-05-31,43.01,43.01,43.01,0.0,0.0,43.01,43.01,43.01,0.0,0.0,43.01,43.01,43.01,0.0,0.0,43.01,43.01,43.01,0.0,0.0
2020-06-07,42.69,42.69,42.69,0.0,0.0,42.81,42.81,42.81,0.0,0.0,42.32,42.32,42.32,0.0,0.0,42.68,42.68,42.68,0.0,0.0
2020-06-14,43.22,43.22,43.22,0.0,0.0,43.36,43.36,43.36,0.0,0.0,42.86,42.86,42.86,0.0,0.0,43.09,43.09,43.09,0.0,0.0
2020-06-21,42.84,42.84,42.84,0.0,0.0,43.06,43.06,43.06,0.0,0.0,42.64,42.64,42.64,0.0,0.0,42.83,42.83,42.83,0.0,0.0
2020-06-28,42.99,42.99,42.99,0.0,0.0,42.99,42.99,42.99,0.0,0.0,42.99,42.99,42.99,0.0,0.0,42.99,42.99,42.99,0.0,0.0
2020-07-05,43.39,43.39,43.39,0.0,0.0,43.45,43.45,43.45,0.0,0.0,43.24,43.24,43.24,0.0,0.0,43.28,43.28,43.28,0.0,0.0
