Date,First Trust ISE Global Wind EnergyEtf_Open_average,First Trust ISE Global Wind EnergyEtf_Open_max,First Trust ISE Global Wind EnergyEtf_Open_min,First Trust ISE Global Wind EnergyEtf_Open_volatility,First Trust ISE Global Wind EnergyEtf_Open_change,First Trust ISE Global Wind EnergyEtf_High_average,First Trust ISE Global Wind EnergyEtf_High_max,First Trust ISE Global Wind EnergyEtf_High_min,First Trust ISE Global Wind EnergyEtf_High_volatility,First Trust ISE Global Wind EnergyEtf_High_change,First Trust ISE Global Wind EnergyEtf_Low_average,First Trust ISE Global Wind EnergyEtf_Low_max,First Trust ISE Global Wind EnergyEtf_Low_min,First Trust ISE Global Wind EnergyEtf_Low_volatility,First Trust ISE Global Wind EnergyEtf_Low_change,First Trust ISE Global Wind EnergyEtf_Close_average,First Trust ISE Global Wind EnergyEtf_Close_max,First Trust ISE Global Wind EnergyEtf_Close_min,First Trust ISE Global Wind EnergyEtf_Close_volatility,First Trust ISE Global Wind EnergyEtf_Close_change
2018-11-04,12.1,12.1,12.1,0.0,0.0,12.1,12.1,12.1,0.0,0.0,11.99,11.99,11.99,0.0,0.0,12.05,12.05,12.05,0.0,0.0
2018-11-11,11.85,11.85,11.85,0.0,0.0,11.97,11.97,11.97,0.0,0.0,11.85,11.85,11.85,0.0,0.0,11.96,11.96,11.96,0.0,0.0
2018-11-18,11.73,11.73,11.73,0.0,0.0,11.81,11.81,11.81,0.0,0.0,11.73,11.73,11.73,0.0,0.0,11.79,11.79,11.79,0.0,0.0
2018-11-25,12.09,12.09,12.09,0.0,0.0,12.14,12.14,12.14,0.0,0.0,12.07,12.07,12.07,0.0,0.0,12.14,12.14,12.14,0.0,0.0
2018-12-02,12.05,12.05,12.05,0.0,0.0,12.05,12.05,12.05,0.0,0.0,11.93,11.93,11.93,0.0,0.0,11.93,11.93,11.93,0.0,0.0
2018-12-09,11.92,11.92,11.92,0.0,0.0,11.98,11.98,11.98,0.0,0.0,11.92,11.92,11.92,0.0,0.0,11.95,11.95,11.95,0.0,0.0
2018-12-16,11.4,11.4,11.4,0.0,0.0,11.4,11.4,11.4,0.0,0.0,11.23,11.23,11.23,0.0,0.0,11.24,11.24,11.24,0.0,0.0
2018-12-23,11.32,11.32,11.32,0.0,0.0,11.41,11.41,11.41,0.0,0.0,11.32,11.32,11.32,0.0,0.0,11.34,11.34,11.34,0.0,0.0
2018-12-30,11.42,11.42,11.42,0.0,0.0,11.53,11.53,11.53,0.0,0.0,11.42,11.42,11.42,0.0,0.0,11.52,11.52,11.52,0.0,0.0
2019-01-06,11.98,11.98,11.98,0.0,0.0,11.98,11.98,11.98,0.0,0.0,11.91,11.91,11.91,0.0,0.0,11.95,11.95,11.95,0.0,0.0
