Date,QuantShares US Market Neutral Anti-BetaEtf_Open_average,QuantShares US Market Neutral Anti-BetaEtf_Open_max,QuantShares US Market Neutral Anti-BetaEtf_Open_min,QuantShares US Market Neutral Anti-BetaEtf_Open_volatility,QuantShares US Market Neutral Anti-BetaEtf_Open_change,QuantShares US Market Neutral Anti-BetaEtf_High_average,QuantShares US Market Neutral Anti-BetaEtf_High_max,QuantShares US Market Neutral Anti-BetaEtf_High_min,QuantShares US Market Neutral Anti-BetaEtf_High_volatility,QuantShares US Market Neutral Anti-BetaEtf_High_change,QuantShares US Market Neutral Anti-BetaEtf_Low_average,QuantShares US Market Neutral Anti-BetaEtf_Low_max,QuantShares US Market Neutral Anti-BetaEtf_Low_min,QuantShares US Market Neutral Anti-BetaEtf_Low_volatility,QuantShares US Market Neutral Anti-BetaEtf_Low_change,QuantShares US Market Neutral Anti-BetaEtf_Close_average,QuantShares US Market Neutral Anti-BetaEtf_Close_max,QuantShares US Market Neutral Anti-BetaEtf_Close_min,QuantShares US Market Neutral Anti-BetaEtf_Close_volatility,QuantShares US Market Neutral Anti-BetaEtf_Close_change
2018-04-29,19.09,19.09,19.09,0.0,0.0,19.42,19.42,19.42,0.0,0.0,19.09,19.09,19.09,0.0,0.0,19.36,19.36,19.36,0.0,0.0
2018-05-06,19.11,19.11,19.11,0.0,0.0,19.15,19.15,19.15,0.0,0.0,19.11,19.11,19.11,0.0,0.0,19.14,19.14,19.14,0.0,0.0
2018-05-13,18.82,18.82,18.82,0.0,0.0,18.82,18.82,18.82,0.0,0.0,18.8,18.8,18.8,0.0,0.0,18.8,18.8,18.8,0.0,0.0
2018-05-20,19.11,19.11,19.11,0.0,0.0,19.12,19.12,19.12,0.0,0.0,19.11,19.11,19.11,0.0,0.0,19.11,19.11,19.11,0.0,0.0
2018-05-27,19.19,19.19,19.19,0.0,0.0,19.24,19.24,19.24,0.0,0.0,19.19,19.19,19.19,0.0,0.0,19.24,19.24,19.24,0.0,0.0
2018-06-03,19.08,19.08,19.08,0.0,0.0,19.08,19.08,19.08,0.0,0.0,19.05,19.05,19.05,0.0,0.0,19.05,19.05,19.05,0.0,0.0
2018-06-10,19.4,19.4,19.4,0.0,0.0,19.4,19.4,19.4,0.0,0.0,19.4,19.4,19.4,0.0,0.0,19.4,19.4,19.4,0.0,0.0
2018-06-17,19.57,19.57,19.57,0.0,0.0,19.59,19.59,19.59,0.0,0.0,19.57,19.57,19.57,0.0,0.0,19.59,19.59,19.59,0.0,0.0
2018-06-24,19.9,19.9,19.9,0.0,0.0,20.05,20.05,20.05,0.0,0.0,19.9,19.9,19.9,0.0,0.0,20.05,20.05,20.05,0.0,0.0
2018-07-01,20.06,20.06,20.06,0.0,0.0,20.06,20.06,20.06,0.0,0.0,20.06,20.06,20.06,0.0,0.0,20.06,20.06,20.06,0.0,0.0
2018-07-08,19.95,19.95,19.95,0.0,0.0,19.95,19.95,19.95,0.0,0.0,19.95,19.95,19.95,0.0,0.0,19.95,19.95,19.95,0.0,0.0
2018-07-15,19.85,19.85,19.85,0.0,0.0,19.93,19.93,19.93,0.0,0.0,19.85,19.85,19.85,0.0,0.0,19.93,19.93,19.93,0.0,0.0
2018-07-22,19.89,19.89,19.89,0.0,0.0,19.89,19.89,19.89,0.0,0.0,19.89,19.89,19.89,0.0,0.0,19.89,19.89,19.89,0.0,0.0
2018-07-29,20.18,20.18,20.18,0.0,0.0,20.18,20.18,20.18,0.0,0.0,20.18,20.18,20.18,0.0,0.0,20.18,20.18,20.18,0.0,0.0
2018-08-05,20.06,20.06,20.06,0.0,0.0,20.06,20.06,20.06,0.0,0.0,20.06,20.06,20.06,0.0,0.0,20.06,20.06,20.06,0.0,0.0
2018-08-12,20.37,20.37,20.37,0.0,0.0,20.37,20.37,20.37,0.0,0.0,20.37,20.37,20.37,0.0,0.0,20.37,20.37,20.37,0.0,0.0
2018-08-19,20.1,20.1,20.1,0.0,0.0,20.1,20.1,20.1,0.0,0.0,20.1,20.1,20.1,0.0,0.0,20.1,20.1,20.1,0.0,0.0
2018-08-26,20.12,20.12,20.12,0.0,0.0,20.12,20.12,20.12,0.0,0.0,20.1,20.1,20.1,0.0,0.0,20.1,20.1,20.1,0.0,0.0
2018-09-02,20.34,20.34,20.34,0.0,0.0,20.34,20.34,20.34,0.0,0.0,20.34,20.34,20.34,0.0,0.0,20.34,20.34,20.34,0.0,0.0
2018-09-09,20.28,20.28,20.28,0.0,0.0,20.31,20.31,20.31,0.0,0.0,20.2,20.2,20.2,0.0,0.0,20.2,20.2,20.2,0.0,0.0
2018-09-16,19.92,19.92,19.92,0.0,0.0,19.92,19.92,19.92,0.0,0.0,19.88,19.88,19.88,0.0,0.0,19.9,19.9,19.9,0.0,0.0
2018-09-23,20.15,20.15,20.15,0.0,0.0,20.2,20.2,20.2,0.0,0.0,20.15,20.15,20.15,0.0,0.0,20.2,20.2,20.2,0.0,0.0
2018-09-30,20.15,20.15,20.15,0.0,0.0,20.17,20.17,20.17,0.0,0.0,20.15,20.15,20.15,0.0,0.0,20.17,20.17,20.17,0.0,0.0
2018-10-07,20.37,20.37,20.37,0.0,0.0,20.65,20.65,20.65,0.0,0.0,20.37,20.37,20.37,0.0,0.0,20.5,20.5,20.5,0.0,0.0
2018-10-14,21.0,21.0,21.0,0.0,0.0,21.75,21.75,21.75,0.0,0.0,20.81,20.81,20.81,0.0,0.0,20.98,20.98,20.98,0.0,0.0
2018-10-21,21.26,21.26,21.26,0.0,0.0,21.44,21.44,21.44,0.0,0.0,21.26,21.26,21.26,0.0,0.0,21.44,21.44,21.44,0.0,0.0
2018-10-28,21.06,21.06,21.06,0.0,0.0,21.06,21.06,21.06,0.0,0.0,20.81,20.81,20.81,0.0,0.0,20.95,20.95,20.95,0.0,0.0
2018-11-04,21.16,21.16,21.16,0.0,0.0,21.22,21.22,21.22,0.0,0.0,21.16,21.16,21.16,0.0,0.0,21.18,21.18,21.18,0.0,0.0
2018-11-11,21.31,21.31,21.31,0.0,0.0,21.5,21.5,21.5,0.0,0.0,21.21,21.21,21.21,0.0,0.0,21.23,21.23,21.23,0.0,0.0
2018-11-18,21.33,21.33,21.33,0.0,0.0,21.33,21.33,21.33,0.0,0.0,21.33,21.33,21.33,0.0,0.0,21.33,21.33,21.33,0.0,0.0
2018-11-25,21.41,21.41,21.41,0.0,0.0,21.41,21.41,21.41,0.0,0.0,21.24,21.24,21.24,0.0,0.0,21.28,21.28,21.28,0.0,0.0
2018-12-02,21.59,21.59,21.59,0.0,0.0,21.84,21.84,21.84,0.0,0.0,21.5,21.5,21.5,0.0,0.0,21.82,21.82,21.82,0.0,0.0
2018-12-09,22.05,22.05,22.05,0.0,0.0,22.1,22.1,22.1,0.0,0.0,21.9,21.9,21.9,0.0,0.0,22.08,22.08,22.08,0.0,0.0
2018-12-16,22.25,22.25,22.25,0.0,0.0,22.35,22.35,22.35,0.0,0.0,22.22,22.22,22.22,0.0,0.0,22.3,22.3,22.3,0.0,0.0
2018-12-23,21.88,21.88,21.88,0.0,0.0,22.14,22.14,22.14,0.0,0.0,21.86,21.86,21.86,0.0,0.0,22.08,22.08,22.08,0.0,0.0
2018-12-30,22.0,22.0,22.0,0.0,0.0,22.03,22.03,22.03,0.0,0.0,21.6,21.6,21.6,0.0,0.0,21.65,21.65,21.65,0.0,0.0
2019-01-06,21.27,21.27,21.27,0.0,0.0,21.35,21.35,21.35,0.0,0.0,21.2,21.2,21.2,0.0,0.0,21.22,21.22,21.22,0.0,0.0
2019-01-13,21.25,21.25,21.25,0.0,0.0,21.25,21.25,21.25,0.0,0.0,21.06,21.06,21.06,0.0,0.0,21.06,21.06,21.06,0.0,0.0
2019-01-20,21.16,21.16,21.16,0.0,0.0,21.17,21.17,21.17,0.0,0.0,21.05,21.05,21.05,0.0,0.0,21.07,21.07,21.07,0.0,0.0
2019-01-27,21.05,21.05,21.05,0.0,0.0,21.31,21.31,21.31,0.0,0.0,21.05,21.05,21.05,0.0,0.0,21.18,21.18,21.18,0.0,0.0
2019-02-03,21.42,21.42,21.42,0.0,0.0,21.55,21.55,21.55,0.0,0.0,21.42,21.42,21.42,0.0,0.0,21.48,21.48,21.48,0.0,0.0
2019-02-10,21.23,21.23,21.23,0.0,0.0,21.23,21.23,21.23,0.0,0.0,21.15,21.15,21.15,0.0,0.0,21.15,21.15,21.15,0.0,0.0
2019-02-17,21.03,21.03,21.03,0.0,0.0,21.06,21.06,21.06,0.0,0.0,20.91,20.91,20.91,0.0,0.0,20.95,20.95,20.95,0.0,0.0
2019-02-24,20.93,20.93,20.93,0.0,0.0,21.05,21.05,21.05,0.0,0.0,20.91,20.91,20.91,0.0,0.0,21.05,21.05,21.05,0.0,0.0
2019-03-03,21.55,21.55,21.55,0.0,0.0,21.6,21.6,21.6,0.0,0.0,21.46,21.46,21.46,0.0,0.0,21.46,21.46,21.46,0.0,0.0
2019-03-10,21.24,21.24,21.24,0.0,0.0,21.25,21.25,21.25,0.0,0.0,21.17,21.17,21.17,0.0,0.0,21.24,21.24,21.24,0.0,0.0
2019-03-17,21.28,21.28,21.28,0.0,0.0,21.59,21.59,21.59,0.0,0.0,21.28,21.28,21.28,0.0,0.0,21.55,21.55,21.55,0.0,0.0
2019-03-24,21.54,21.54,21.54,0.0,0.0,21.59,21.59,21.59,0.0,0.0,21.4,21.4,21.4,0.0,0.0,21.56,21.56,21.56,0.0,0.0
2019-03-31,21.19,21.19,21.19,0.0,0.0,21.19,21.19,21.19,0.0,0.0,21.01,21.01,21.01,0.0,0.0,21.03,21.03,21.03,0.0,0.0
2019-04-07,20.99,20.99,20.99,0.0,0.0,21.03,21.03,21.03,0.0,0.0,20.93,20.93,20.93,0.0,0.0,20.99,20.99,20.99,0.0,0.0
2019-04-14,21.07,21.07,21.07,0.0,0.0,21.1,21.1,21.1,0.0,0.0,21.02,21.02,21.02,0.0,0.0,21.04,21.04,21.04,0.0,0.0
2019-04-21,21.23,21.23,21.23,0.0,0.0,21.3,21.3,21.3,0.0,0.0,21.2,21.2,21.2,0.0,0.0,21.23,21.23,21.23,0.0,0.0
2019-04-28,21.4,21.4,21.4,0.0,0.0,21.45,21.45,21.45,0.0,0.0,21.19,21.19,21.19,0.0,0.0,21.23,21.23,21.23,0.0,0.0
2019-05-05,21.79,21.79,21.79,0.0,0.0,21.8,21.8,21.8,0.0,0.0,21.66,21.66,21.66,0.0,0.0,21.66,21.66,21.66,0.0,0.0
2019-05-12,22.03,22.03,22.03,0.0,0.0,22.05,22.05,22.05,0.0,0.0,21.92,21.92,21.92,0.0,0.0,22.04,22.04,22.04,0.0,0.0
2019-05-19,22.37,22.37,22.37,0.0,0.0,22.38,22.38,22.38,0.0,0.0,22.28,22.28,22.28,0.0,0.0,22.31,22.31,22.31,0.0,0.0
2019-05-26,22.56,22.56,22.56,0.0,0.0,22.72,22.72,22.72,0.0,0.0,22.56,22.56,22.56,0.0,0.0,22.71,22.71,22.71,0.0,0.0
2019-06-02,22.62,22.62,22.62,0.0,0.0,22.62,22.62,22.62,0.0,0.0,22.48,22.48,22.48,0.0,0.0,22.54,22.54,22.54,0.0,0.0
2019-06-09,22.41,22.41,22.41,0.0,0.0,22.48,22.48,22.48,0.0,0.0,22.41,22.41,22.41,0.0,0.0,22.48,22.48,22.48,0.0,0.0
2019-06-16,22.13,22.13,22.13,0.0,0.0,22.22,22.22,22.22,0.0,0.0,22.13,22.13,22.13,0.0,0.0,22.22,22.22,22.22,0.0,0.0
2019-06-23,22.07,22.07,22.07,0.0,0.0,22.07,22.07,22.07,0.0,0.0,21.87,21.87,21.87,0.0,0.0,21.93,21.93,21.93,0.0,0.0
2019-06-30,22.07,22.07,22.07,0.0,0.0,22.18,22.18,22.18,0.0,0.0,21.98,21.98,21.98,0.0,0.0,22.0,22.0,22.0,0.0,0.0
2019-07-07,22.13,22.13,22.13,0.0,0.0,22.2,22.2,22.2,0.0,0.0,22.13,22.13,22.13,0.0,0.0,22.19,22.19,22.19,0.0,0.0
2019-07-14,22.29,22.29,22.29,0.0,0.0,22.29,22.29,22.29,0.0,0.0,22.22,22.22,22.22,0.0,0.0,22.24,22.24,22.24,0.0,0.0
2019-07-21,22.23,22.23,22.23,0.0,0.0,22.23,22.23,22.23,0.0,0.0,21.98,21.98,21.98,0.0,0.0,22.05,22.05,22.05,0.0,0.0
2019-07-28,22.98,22.98,22.98,0.0,0.0,23.19,23.19,23.19,0.0,0.0,22.94,22.94,22.94,0.0,0.0,23.18,23.18,23.18,0.0,0.0
2019-08-04,23.64,23.64,23.64,0.0,0.0,23.84,23.84,23.84,0.0,0.0,23.54,23.54,23.54,0.0,0.0,23.83,23.83,23.83,0.0,0.0
2019-08-11,24.51,24.51,24.51,0.0,0.0,24.51,24.51,24.51,0.0,0.0,24.2,24.2,24.2,0.0,0.0,24.25,24.25,24.25,0.0,0.0
2019-08-18,24.25,24.25,24.25,0.0,0.0,24.42,24.42,24.42,0.0,0.0,24.2,24.2,24.2,0.0,0.0,24.39,24.39,24.39,0.0,0.0
2019-08-25,24.37,24.37,24.37,0.0,0.0,24.38,24.38,24.38,0.0,0.0,24.09,24.09,24.09,0.0,0.0,24.28,24.28,24.28,0.0,0.0
2019-09-01,24.09,24.09,24.09,0.0,0.0,24.09,24.09,24.09,0.0,0.0,23.94,23.94,23.94,0.0,0.0,24.07,24.07,24.07,0.0,0.0
2019-09-08,22.8,22.8,22.8,0.0,0.0,22.85,22.85,22.85,0.0,0.0,22.7,22.7,22.7,0.0,0.0,22.79,22.79,22.79,0.0,0.0
2019-09-15,23.16,23.16,23.16,0.0,0.0,23.35,23.35,23.35,0.0,0.0,22.97,22.97,22.97,0.0,0.0,23.31,23.31,23.31,0.0,0.0
2019-09-22,23.73,23.73,23.73,0.0,0.0,23.74,23.74,23.74,0.0,0.0,23.58,23.58,23.58,0.0,0.0,23.74,23.74,23.74,0.0,0.0
2019-09-29,24.34,24.34,24.34,0.0,0.0,24.34,24.34,24.34,0.0,0.0,24.07,24.07,24.07,0.0,0.0,24.15,24.15,24.15,0.0,0.0
2019-10-06,24.24,24.24,24.24,0.0,0.0,24.24,24.24,24.24,0.0,0.0,23.71,23.71,23.71,0.0,0.0,23.81,23.81,23.81,0.0,0.0
2019-10-13,23.74,23.74,23.74,0.0,0.0,23.83,23.83,23.83,0.0,0.0,23.68,23.68,23.68,0.0,0.0,23.83,23.83,23.83,0.0,0.0
2019-10-20,23.54,23.54,23.54,0.0,0.0,23.54,23.54,23.54,0.0,0.0,23.19,23.19,23.19,0.0,0.0,23.2,23.2,23.2,0.0,0.0
2019-10-27,23.31,23.31,23.31,0.0,0.0,23.53,23.53,23.53,0.0,0.0,23.15,23.15,23.15,0.0,0.0,23.23,23.23,23.23,0.0,0.0
2019-11-03,22.81,22.81,22.81,0.0,0.0,23.01,23.01,23.01,0.0,0.0,22.64,22.64,22.64,0.0,0.0,22.85,22.85,22.85,0.0,0.0
2019-11-10,23.17,23.17,23.17,0.0,0.0,23.2,23.2,23.2,0.0,0.0,23.05,23.05,23.05,0.0,0.0,23.17,23.17,23.17,0.0,0.0
2019-11-17,23.34,23.34,23.34,0.0,0.0,23.34,23.34,23.34,0.0,0.0,23.1,23.1,23.1,0.0,0.0,23.21,23.21,23.21,0.0,0.0
2019-11-24,22.93,22.93,22.93,0.0,0.0,23.01,23.01,23.01,0.0,0.0,22.85,22.85,22.85,0.0,0.0,22.94,22.94,22.94,0.0,0.0
2019-12-01,23.07,23.07,23.07,0.0,0.0,23.07,23.07,23.07,0.0,0.0,22.9,22.9,22.9,0.0,0.0,22.9,22.9,22.9,0.0,0.0
2019-12-08,22.59,22.59,22.59,0.0,0.0,22.61,22.61,22.61,0.0,0.0,22.35,22.35,22.35,0.0,0.0,22.61,22.61,22.61,0.0,0.0
2019-12-15,22.26,22.26,22.26,0.0,0.0,22.4,22.4,22.4,0.0,0.0,22.2,22.2,22.2,0.0,0.0,22.4,22.4,22.4,0.0,0.0
2019-12-22,22.13,22.13,22.13,0.0,0.0,22.13,22.13,22.13,0.0,0.0,21.99,21.99,21.99,0.0,0.0,22.09,22.09,22.09,0.0,0.0
2019-12-29,22.11,22.11,22.11,0.0,0.0,22.31,22.31,22.31,0.0,0.0,22.11,22.11,22.11,0.0,0.0,22.3,22.3,22.3,0.0,0.0
2020-01-05,22.35,22.35,22.35,0.0,0.0,22.42,22.42,22.42,0.0,0.0,22.23,22.23,22.23,0.0,0.0,22.4,22.4,22.4,0.0,0.0
2020-01-12,22.3,22.3,22.3,0.0,0.0,22.43,22.43,22.43,0.0,0.0,22.28,22.28,22.28,0.0,0.0,22.38,22.38,22.38,0.0,0.0
2020-01-19,22.58,22.58,22.58,0.0,0.0,22.97,22.97,22.97,0.0,0.0,22.58,22.58,22.58,0.0,0.0,22.93,22.93,22.93,0.0,0.0
2020-01-26,23.3,23.3,23.3,0.0,0.0,23.5,23.5,23.5,0.0,0.0,23.3,23.3,23.3,0.0,0.0,23.41,23.41,23.41,0.0,0.0
2020-02-02,23.04,23.04,23.04,0.0,0.0,23.15,23.15,23.15,0.0,0.0,22.57,22.57,22.57,0.0,0.0,23.1,23.1,23.1,0.0,0.0
2020-02-09,23.01,23.01,23.01,0.0,0.0,23.07,23.07,23.07,0.0,0.0,22.86,22.86,22.86,0.0,0.0,23.07,23.07,23.07,0.0,0.0
2020-02-16,22.96,22.96,22.96,0.0,0.0,23.17,23.17,23.17,0.0,0.0,22.96,22.96,22.96,0.0,0.0,23.05,23.05,23.05,0.0,0.0
2020-02-23,24.31,24.31,24.31,0.0,0.0,24.48,24.48,24.48,0.0,0.0,23.51,23.51,23.51,0.0,0.0,23.51,23.51,23.51,0.0,0.0
2020-03-01,24.97,24.97,24.97,0.0,0.0,25.16,25.16,25.16,0.0,0.0,24.59,24.59,24.59,0.0,0.0,25.16,25.16,25.16,0.0,0.0
2020-03-08,26.0,26.0,26.0,0.0,0.0,26.0,26.0,26.0,0.0,0.0,26.0,26.0,26.0,0.0,0.0,26.0,26.0,26.0,0.0,0.0
2020-03-15,25.65,25.65,25.65,0.0,0.0,25.65,25.65,25.65,0.0,0.0,25.65,25.65,25.65,0.0,0.0,25.65,25.65,25.65,0.0,0.0
2020-03-22,25.46,25.46,25.46,0.0,0.0,25.46,25.46,25.46,0.0,0.0,25.46,25.46,25.46,0.0,0.0,25.46,25.46,25.46,0.0,0.0
2020-03-29,26.08,26.08,26.08,0.0,0.0,26.2,26.2,26.2,0.0,0.0,25.81,25.81,25.81,0.0,0.0,26.15,26.15,26.15,0.0,0.0
2020-04-05,25.41,25.41,25.41,0.0,0.0,25.59,25.59,25.59,0.0,0.0,24.78,24.78,24.78,0.0,0.0,25.33,25.33,25.33,0.0,0.0
2020-04-12,26.09,26.09,26.09,0.0,0.0,26.09,26.09,26.09,0.0,0.0,25.7,25.7,25.7,0.0,0.0,25.91,25.91,25.91,0.0,0.0
2020-04-19,25.74,25.74,25.74,0.0,0.0,25.81,25.81,25.81,0.0,0.0,25.44,25.44,25.44,0.0,0.0,25.44,25.44,25.44,0.0,0.0
2020-04-26,25.26,25.26,25.26,0.0,0.0,25.26,25.26,25.26,0.0,0.0,25.26,25.26,25.26,0.0,0.0,25.26,25.26,25.26,0.0,0.0
2020-05-03,25.03,25.03,25.03,0.0,0.0,25.03,25.03,25.03,0.0,0.0,25.03,25.03,25.03,0.0,0.0,25.03,25.03,25.03,0.0,0.0
2020-05-10,25.74,25.74,25.74,0.0,0.0,25.74,25.74,25.74,0.0,0.0,25.58,25.58,25.58,0.0,0.0,25.59,25.59,25.59,0.0,0.0
2020-05-17,24.91,24.91,24.91,0.0,0.0,25.22,25.22,25.22,0.0,0.0,24.91,24.91,24.91,0.0,0.0,25.06,25.06,25.06,0.0,0.0
2020-05-24,24.99,24.99,24.99,0.0,0.0,25.16,25.16,25.16,0.0,0.0,24.94,24.94,24.94,0.0,0.0,25.13,25.13,25.13,0.0,0.0
2020-05-31,21.55,21.55,21.55,0.0,0.0,21.55,21.55,21.55,0.0,0.0,21.55,21.55,21.55,0.0,0.0,21.55,21.55,21.55,0.0,0.0
2020-06-07,23.55,23.55,23.55,0.0,0.0,23.94,23.94,23.94,0.0,0.0,23.3,23.3,23.3,0.0,0.0,23.32,23.32,23.32,0.0,0.0
2020-06-14,23.04,23.04,23.04,0.0,0.0,23.78,23.78,23.78,0.0,0.0,23.0,23.0,23.0,0.0,0.0,23.63,23.63,23.63,0.0,0.0
2020-06-21,24.34,24.34,24.34,0.0,0.0,24.81,24.81,24.81,0.0,0.0,24.32,24.32,24.32,0.0,0.0,24.81,24.81,24.81,0.0,0.0
2020-06-28,24.53,24.53,24.53,0.0,0.0,24.53,24.53,24.53,0.0,0.0,24.53,24.53,24.53,0.0,0.0,24.53,24.53,24.53,0.0,0.0
2020-07-05,24.6,24.6,24.6,0.0,0.0,24.88,24.88,24.88,0.0,0.0,24.6,24.6,24.6,0.0,0.0,24.88,24.88,24.88,0.0,0.0
