Date,NuShares ESG Large-Cap ValueEtf_Open_average,NuShares ESG Large-Cap ValueEtf_Open_max,NuShares ESG Large-Cap ValueEtf_Open_min,NuShares ESG Large-Cap ValueEtf_Open_volatility,NuShares ESG Large-Cap ValueEtf_Open_change,NuShares ESG Large-Cap ValueEtf_High_average,NuShares ESG Large-Cap ValueEtf_High_max,NuShares ESG Large-Cap ValueEtf_High_min,NuShares ESG Large-Cap ValueEtf_High_volatility,NuShares ESG Large-Cap ValueEtf_High_change,NuShares ESG Large-Cap ValueEtf_Low_average,NuShares ESG Large-Cap ValueEtf_Low_max,NuShares ESG Large-Cap ValueEtf_Low_min,NuShares ESG Large-Cap ValueEtf_Low_volatility,NuShares ESG Large-Cap ValueEtf_Low_change,NuShares ESG Large-Cap ValueEtf_Close_average,NuShares ESG Large-Cap ValueEtf_Close_max,NuShares ESG Large-Cap ValueEtf_Close_min,NuShares ESG Large-Cap ValueEtf_Close_volatility,NuShares ESG Large-Cap ValueEtf_Close_change
2018-12-09,28.27,28.27,28.27,0.0,0.0,28.33,28.33,28.33,0.0,0.0,28.02,28.02,28.02,0.0,0.0,28.1,28.1,28.1,0.0,0.0
2018-12-16,26.83,26.83,26.83,0.0,0.0,27.17,27.17,27.17,0.0,0.0,26.42,26.42,26.42,0.0,0.0,26.46,26.46,26.46,0.0,0.0
2018-12-23,26.28,26.28,26.28,0.0,0.0,26.36,26.36,26.36,0.0,0.0,25.97,25.97,25.97,0.0,0.0,26.02,26.02,26.02,0.0,0.0
2018-12-30,26.32,26.32,26.32,0.0,0.0,26.63,26.63,26.63,0.0,0.0,26.31,26.31,26.31,0.0,0.0,26.6,26.6,26.6,0.0,0.0
2019-01-06,27.09,27.09,27.09,0.0,0.0,27.23,27.23,27.23,0.0,0.0,27.06,27.06,27.06,0.0,0.0,27.23,27.23,27.23,0.0,0.0
2019-01-13,27.81,27.81,27.81,0.0,0.0,27.94,27.94,27.94,0.0,0.0,27.78,27.78,27.78,0.0,0.0,27.92,27.92,27.92,0.0,0.0
2019-01-20,27.94,27.94,27.94,0.0,0.0,28.03,28.03,28.03,0.0,0.0,27.9,27.9,27.9,0.0,0.0,27.92,27.92,27.92,0.0,0.0
2019-01-27,28.24,28.24,28.24,0.0,0.0,28.38,28.38,28.38,0.0,0.0,28.24,28.24,28.24,0.0,0.0,28.36,28.36,28.36,0.0,0.0
2019-02-03,28.16,28.16,28.16,0.0,0.0,28.26,28.26,28.26,0.0,0.0,28.16,28.16,28.16,0.0,0.0,28.26,28.26,28.26,0.0,0.0
2019-02-10,28.72,28.72,28.72,0.0,0.0,28.88,28.88,28.88,0.0,0.0,28.72,28.72,28.72,0.0,0.0,28.86,28.86,28.86,0.0,0.0
2019-02-17,29.19,29.19,29.19,0.0,0.0,29.19,29.19,29.19,0.0,0.0,29.03,29.03,29.03,0.0,0.0,29.11,29.11,29.11,0.0,0.0
2019-02-24,29.29,29.29,29.29,0.0,0.0,29.29,29.29,29.29,0.0,0.0,29.14,29.14,29.14,0.0,0.0,29.21,29.21,29.21,0.0,0.0
2019-03-03,28.43,28.43,28.43,0.0,0.0,28.54,28.54,28.54,0.0,0.0,28.37,28.37,28.37,0.0,0.0,28.54,28.54,28.54,0.0,0.0
2019-03-10,29.25,29.25,29.25,0.0,0.0,29.36,29.36,29.36,0.0,0.0,29.23,29.23,29.23,0.0,0.0,29.27,29.27,29.27,0.0,0.0
2019-03-17,29.09,29.09,29.09,0.0,0.0,29.09,29.09,29.09,0.0,0.0,28.91,28.91,28.91,0.0,0.0,28.91,28.91,28.91,0.0,0.0
2019-03-24,29.28,29.28,29.28,0.0,0.0,29.3,29.3,29.3,0.0,0.0,29.23,29.23,29.23,0.0,0.0,29.3,29.3,29.3,0.0,0.0
2019-03-31,29.82,29.82,29.82,0.0,0.0,29.82,29.82,29.82,0.0,0.0,29.73,29.73,29.73,0.0,0.0,29.8,29.8,29.8,0.0,0.0
2019-04-07,29.92,29.92,29.92,0.0,0.0,30.0,30.0,30.0,0.0,0.0,29.89,29.89,29.89,0.0,0.0,29.99,29.99,29.99,0.0,0.0
2019-04-14,30.0,30.0,30.0,0.0,0.0,30.0,30.0,30.0,0.0,0.0,29.82,29.82,29.82,0.0,0.0,29.9,29.9,29.9,0.0,0.0
2019-04-21,29.78,29.78,29.78,0.0,0.0,29.87,29.87,29.87,0.0,0.0,29.76,29.76,29.76,0.0,0.0,29.87,29.87,29.87,0.0,0.0
2019-04-28,30.07,30.07,30.07,0.0,0.0,30.18,30.18,30.18,0.0,0.0,30.01,30.01,30.01,0.0,0.0,30.17,30.17,30.17,0.0,0.0
2019-05-05,29.31,29.31,29.31,0.0,0.0,29.59,29.59,29.59,0.0,0.0,29.08,29.08,29.08,0.0,0.0,29.52,29.52,29.52,0.0,0.0
2019-05-12,29.31,29.31,29.31,0.0,0.0,29.48,29.48,29.48,0.0,0.0,29.3,29.3,29.3,0.0,0.0,29.35,29.35,29.35,0.0,0.0
2019-05-19,29.27,29.27,29.27,0.0,0.0,29.28,29.28,29.28,0.0,0.0,29.19,29.19,29.19,0.0,0.0,29.23,29.23,29.23,0.0,0.0
2019-05-26,28.36,28.36,28.36,0.0,0.0,28.4,28.4,28.4,0.0,0.0,28.32,28.32,28.32,0.0,0.0,28.38,28.38,28.38,0.0,0.0
2019-06-02,29.54,29.54,29.54,0.0,0.0,29.8,29.8,29.8,0.0,0.0,29.54,29.54,29.54,0.0,0.0,29.68,29.68,29.68,0.0,0.0
2019-06-09,29.84,29.84,29.84,0.0,0.0,29.95,29.95,29.95,0.0,0.0,29.84,29.84,29.84,0.0,0.0,29.93,29.93,29.93,0.0,0.0
2019-06-16,30.32,30.32,30.32,0.0,0.0,30.45,30.45,30.45,0.0,0.0,30.32,30.32,30.32,0.0,0.0,30.39,30.39,30.39,0.0,0.0
2019-06-23,30.26,30.26,30.26,0.0,0.0,30.26,30.26,30.26,0.0,0.0,30.18,30.18,30.18,0.0,0.0,30.26,30.26,30.26,0.0,0.0
2019-06-30,30.7,30.7,30.7,0.0,0.0,30.72,30.72,30.72,0.0,0.0,30.5,30.5,30.5,0.0,0.0,30.71,30.71,30.71,0.0,0.0
2019-07-07,30.67,30.67,30.67,0.0,0.0,30.76,30.76,30.76,0.0,0.0,30.67,30.67,30.67,0.0,0.0,30.76,30.76,30.76,0.0,0.0
2019-07-14,30.82,30.82,30.82,0.0,0.0,30.93,30.93,30.93,0.0,0.0,30.56,30.56,30.56,0.0,0.0,30.56,30.56,30.56,0.0,0.0
2019-07-21,30.88,30.88,30.88,0.0,0.0,30.95,30.95,30.95,0.0,0.0,30.85,30.85,30.85,0.0,0.0,30.95,30.95,30.95,0.0,0.0
2019-07-28,30.43,30.43,30.43,0.0,0.0,30.43,30.43,30.43,0.0,0.0,30.08,30.08,30.08,0.0,0.0,30.2,30.2,30.2,0.0,0.0
2019-08-04,30.03,30.03,30.03,0.0,0.0,30.08,30.08,30.08,0.0,0.0,29.79,29.79,29.79,0.0,0.0,29.97,29.97,29.97,0.0,0.0
2019-08-11,29.43,29.43,29.43,0.0,0.0,29.59,29.59,29.59,0.0,0.0,29.42,29.42,29.42,0.0,0.0,29.58,29.58,29.58,0.0,0.0
2019-08-18,29.72,29.72,29.72,0.0,0.0,29.9,29.9,29.9,0.0,0.0,29.01,29.01,29.01,0.0,0.0,29.15,29.15,29.15,0.0,0.0
2019-08-25,30.17,30.17,30.17,0.0,0.0,30.17,30.17,30.17,0.0,0.0,29.95,29.95,29.95,0.0,0.0,30.07,30.07,30.07,0.0,0.0
2019-09-01,30.63,30.63,30.63,0.0,0.0,30.78,30.78,30.78,0.0,0.0,30.63,30.63,30.63,0.0,0.0,30.74,30.74,30.74,0.0,0.0
2019-09-08,31.38,31.38,31.38,0.0,0.0,31.45,31.45,31.45,0.0,0.0,31.35,31.35,31.35,0.0,0.0,31.38,31.38,31.38,0.0,0.0
2019-09-15,31.32,31.32,31.32,0.0,0.0,31.4,31.4,31.4,0.0,0.0,31.21,31.21,31.21,0.0,0.0,31.21,31.21,31.21,0.0,0.0
2019-09-22,31.2,31.2,31.2,0.0,0.0,31.22,31.22,31.22,0.0,0.0,30.99,30.99,30.99,0.0,0.0,31.08,31.08,31.08,0.0,0.0
2019-09-29,30.55,30.55,30.55,0.0,0.0,30.8,30.8,30.8,0.0,0.0,30.52,30.52,30.52,0.0,0.0,30.8,30.8,30.8,0.0,0.0
2019-10-06,30.94,30.94,30.94,0.0,0.0,31.07,31.07,31.07,0.0,0.0,30.86,30.86,30.86,0.0,0.0,30.86,30.86,30.86,0.0,0.0
2019-10-13,31.12,31.12,31.12,0.0,0.0,31.19,31.19,31.19,0.0,0.0,31.06,31.06,31.06,0.0,0.0,31.16,31.16,31.16,0.0,0.0
2019-10-20,31.37,31.37,31.37,0.0,0.0,31.49,31.49,31.49,0.0,0.0,31.37,31.37,31.37,0.0,0.0,31.44,31.44,31.44,0.0,0.0
2019-10-27,31.77,31.77,31.77,0.0,0.0,31.81,31.81,31.81,0.0,0.0,31.74,31.74,31.74,0.0,0.0,31.8,31.8,31.8,0.0,0.0
2019-11-03,32.19,32.19,32.19,0.0,0.0,32.19,32.19,32.19,0.0,0.0,32.03,32.03,32.03,0.0,0.0,32.18,32.18,32.18,0.0,0.0
2019-11-10,32.16,32.16,32.16,0.0,0.0,32.31,32.31,32.31,0.0,0.0,32.16,32.16,32.16,0.0,0.0,32.31,32.31,32.31,0.0,0.0
2019-11-17,32.37,32.37,32.37,0.0,0.0,32.38,32.38,32.38,0.0,0.0,32.3,32.3,32.3,0.0,0.0,32.35,32.35,32.35,0.0,0.0
2019-11-24,32.69,32.69,32.69,0.0,0.0,32.69,32.69,32.69,0.0,0.0,32.54,32.54,32.54,0.0,0.0,32.54,32.54,32.54,0.0,0.0
2019-12-01,32.49,32.49,32.49,0.0,0.0,32.7,32.7,32.7,0.0,0.0,32.49,32.49,32.49,0.0,0.0,32.63,32.63,32.63,0.0,0.0
2019-12-08,32.89,32.89,32.89,0.0,0.0,32.92,32.92,32.92,0.0,0.0,32.77,32.77,32.77,0.0,0.0,32.85,32.85,32.85,0.0,0.0
2019-12-15,33.23,33.23,33.23,0.0,0.0,33.33,33.33,33.33,0.0,0.0,33.15,33.15,33.15,0.0,0.0,33.26,33.26,33.26,0.0,0.0
2019-12-22,33.09,33.09,33.09,0.0,0.0,33.09,33.09,33.09,0.0,0.0,32.84,32.84,32.84,0.0,0.0,32.86,32.86,32.86,0.0,0.0
2019-12-29,32.72,32.72,32.72,0.0,0.0,32.72,32.72,32.72,0.0,0.0,32.6,32.6,32.6,0.0,0.0,32.62,32.62,32.62,0.0,0.0
2020-01-05,32.8,32.8,32.8,0.0,0.0,32.8,32.8,32.8,0.0,0.0,32.56,32.56,32.56,0.0,0.0,32.56,32.56,32.56,0.0,0.0
2020-01-12,33.13,33.13,33.13,0.0,0.0,33.22,33.22,33.22,0.0,0.0,33.13,33.13,33.13,0.0,0.0,33.19,33.19,33.19,0.0,0.0
2020-01-19,33.07,33.07,33.07,0.0,0.0,33.08,33.08,33.08,0.0,0.0,32.65,32.65,32.65,0.0,0.0,32.79,32.79,32.79,0.0,0.0
2020-01-26,32.5,32.5,32.5,0.0,0.0,32.5,32.5,32.5,0.0,0.0,31.85,31.85,31.85,0.0,0.0,31.94,31.94,31.94,0.0,0.0
2020-02-02,32.95,32.95,32.95,0.0,0.0,32.99,32.99,32.99,0.0,0.0,32.91,32.91,32.91,0.0,0.0,32.91,32.91,32.91,0.0,0.0
2020-02-09,33.07,33.07,33.07,0.0,0.0,33.1,33.1,33.1,0.0,0.0,32.99,32.99,32.99,0.0,0.0,33.1,33.1,33.1,0.0,0.0
2020-02-16,32.82,32.82,32.82,0.0,0.0,32.87,32.87,32.87,0.0,0.0,32.77,32.77,32.77,0.0,0.0,32.84,32.84,32.84,0.0,0.0
2020-02-23,28.49,28.49,28.49,0.0,0.0,28.98,28.98,28.98,0.0,0.0,28.16,28.16,28.16,0.0,0.0,28.98,28.98,28.98,0.0,0.0
2020-03-01,28.63,28.63,28.63,0.0,0.0,29.06,29.06,29.06,0.0,0.0,28.42,28.42,28.42,0.0,0.0,28.95,28.95,28.95,0.0,0.0
2020-03-08,25.22,25.22,25.22,0.0,0.0,25.7,25.7,25.7,0.0,0.0,23.79,23.79,23.79,0.0,0.0,25.7,25.7,25.7,0.0,0.0
2020-03-15,22.87,22.87,22.87,0.0,0.0,23.08,23.08,23.08,0.0,0.0,21.83,21.83,21.83,0.0,0.0,21.88,21.88,21.88,0.0,0.0
2020-03-22,24.06,24.06,24.06,0.0,0.0,24.73,24.73,24.73,0.0,0.0,23.94,23.94,23.94,0.0,0.0,24.14,24.14,24.14,0.0,0.0
2020-03-29,24.08,24.08,24.08,0.0,0.0,24.08,24.08,24.08,0.0,0.0,23.36,23.36,23.36,0.0,0.0,23.6,23.6,23.6,0.0,0.0
2020-04-05,26.59,26.59,26.59,0.0,0.0,27.04,27.04,27.04,0.0,0.0,26.55,26.55,26.55,0.0,0.0,26.75,26.75,26.75,0.0,0.0
2020-04-12,26.71,26.71,26.71,0.0,0.0,26.84,26.84,26.84,0.0,0.0,26.34,26.34,26.34,0.0,0.0,26.79,26.79,26.79,0.0,0.0
2020-04-19,26.12,26.12,26.12,0.0,0.0,26.3,26.3,26.3,0.0,0.0,25.84,25.84,25.84,0.0,0.0,26.19,26.19,26.19,0.0,0.0
2020-04-26,26.04,26.04,26.04,0.0,0.0,26.04,26.04,26.04,0.0,0.0,26.04,26.04,26.04,0.0,0.0,26.04,26.04,26.04,0.0,0.0
2020-05-03,26.53,26.53,26.53,0.0,0.0,26.71,26.71,26.71,0.0,0.0,26.4,26.4,26.4,0.0,0.0,26.69,26.69,26.69,0.0,0.0
2020-05-10,25.68,25.68,25.68,0.0,0.0,25.87,25.87,25.87,0.0,0.0,25.65,25.65,25.65,0.0,0.0,25.84,25.84,25.84,0.0,0.0
2020-05-17,26.75,26.75,26.75,0.0,0.0,26.75,26.75,26.75,0.0,0.0,26.5,26.5,26.5,0.0,0.0,26.7,26.7,26.7,0.0,0.0
2020-05-24,27.82,27.82,27.82,0.0,0.0,27.86,27.86,27.86,0.0,0.0,27.41,27.41,27.41,0.0,0.0,27.86,27.86,27.86,0.0,0.0
2020-05-31,29.8,29.8,29.8,0.0,0.0,29.8,29.8,29.8,0.0,0.0,29.8,29.8,29.8,0.0,0.0,29.8,29.8,29.8,0.0,0.0
2020-06-07,28.07,28.07,28.07,0.0,0.0,28.07,28.07,28.07,0.0,0.0,27.16,27.16,27.16,0.0,0.0,27.78,27.78,27.78,0.0,0.0
2020-06-14,28.77,28.77,28.77,0.0,0.0,28.77,28.77,28.77,0.0,0.0,27.91,27.91,27.91,0.0,0.0,27.98,27.98,27.98,0.0,0.0
2020-06-21,27.5,27.5,27.5,0.0,0.0,27.5,27.5,27.5,0.0,0.0,26.94,26.94,26.94,0.0,0.0,27.04,27.04,27.04,0.0,0.0
2020-06-28,27.94,27.94,27.94,0.0,0.0,27.94,27.94,27.94,0.0,0.0,27.94,27.94,27.94,0.0,0.0,27.94,27.94,27.94,0.0,0.0
2020-07-05,28.07,28.07,28.07,0.0,0.0,28.07,28.07,28.07,0.0,0.0,27.77,27.77,27.77,0.0,0.0,27.77,27.77,27.77,0.0,0.0
