Date,VictoryShares US Multi-Factor Minimum VolatilityEtf_Open_average,VictoryShares US Multi-Factor Minimum VolatilityEtf_Open_max,VictoryShares US Multi-Factor Minimum VolatilityEtf_Open_min,VictoryShares US Multi-Factor Minimum VolatilityEtf_Open_volatility,VictoryShares US Multi-Factor Minimum VolatilityEtf_Open_change,VictoryShares US Multi-Factor Minimum VolatilityEtf_High_average,VictoryShares US Multi-Factor Minimum VolatilityEtf_High_max,VictoryShares US Multi-Factor Minimum VolatilityEtf_High_min,VictoryShares US Multi-Factor Minimum VolatilityEtf_High_volatility,VictoryShares US Multi-Factor Minimum VolatilityEtf_High_change,VictoryShares US Multi-Factor Minimum VolatilityEtf_Low_average,VictoryShares US Multi-Factor Minimum VolatilityEtf_Low_max,VictoryShares US Multi-Factor Minimum VolatilityEtf_Low_min,VictoryShares US Multi-Factor Minimum VolatilityEtf_Low_volatility,VictoryShares US Multi-Factor Minimum VolatilityEtf_Low_change,VictoryShares US Multi-Factor Minimum VolatilityEtf_Close_average,VictoryShares US Multi-Factor Minimum VolatilityEtf_Close_max,VictoryShares US Multi-Factor Minimum VolatilityEtf_Close_min,VictoryShares US Multi-Factor Minimum VolatilityEtf_Close_volatility,VictoryShares US Multi-Factor Minimum VolatilityEtf_Close_change
2018-03-25,27.39,27.39,27.39,0.0,0.0,27.39,27.39,27.39,0.0,0.0,27.39,27.39,27.39,0.0,0.0,27.39,27.39,27.39,0.0,0.0
2018-04-01,27.55,27.55,27.55,0.0,0.0,27.57,27.57,27.57,0.0,0.0,27.2,27.2,27.2,0.0,0.0,27.26,27.26,27.26,0.0,0.0
2018-04-08,27.76,27.76,27.76,0.0,0.0,27.76,27.76,27.76,0.0,0.0,27.54,27.54,27.54,0.0,0.0,27.63,27.63,27.63,0.0,0.0
2018-04-15,27.43,27.43,27.43,0.0,0.0,27.43,27.43,27.43,0.0,0.0,27.43,27.43,27.43,0.0,0.0,27.43,27.43,27.43,0.0,0.0
2018-04-22,27.51,27.51,27.51,0.0,0.0,27.53,27.53,27.53,0.0,0.0,27.51,27.51,27.51,0.0,0.0,27.53,27.53,27.53,0.0,0.0
2018-04-29,27.14,27.14,27.14,0.0,0.0,27.24,27.24,27.24,0.0,0.0,27.14,27.14,27.14,0.0,0.0,27.24,27.24,27.24,0.0,0.0
2018-05-06,27.58,27.58,27.58,0.0,0.0,27.58,27.58,27.58,0.0,0.0,27.58,27.58,27.58,0.0,0.0,27.58,27.58,27.58,0.0,0.0
2018-05-13,27.56,27.56,27.56,0.0,0.0,27.59,27.59,27.59,0.0,0.0,27.55,27.55,27.55,0.0,0.0,27.59,27.59,27.59,0.0,0.0
2018-05-20,27.7,27.7,27.7,0.0,0.0,27.7,27.7,27.7,0.0,0.0,27.62,27.62,27.62,0.0,0.0,27.62,27.62,27.62,0.0,0.0
2018-05-27,27.68,27.68,27.68,0.0,0.0,27.69,27.69,27.69,0.0,0.0,27.66,27.66,27.66,0.0,0.0,27.69,27.69,27.69,0.0,0.0
2018-06-03,28.19,28.19,28.19,0.0,0.0,28.19,28.19,28.19,0.0,0.0,28.19,28.19,28.19,0.0,0.0,28.19,28.19,28.19,0.0,0.0
2018-06-10,28.0,28.0,28.0,0.0,0.0,28.0,28.0,28.0,0.0,0.0,28.0,28.0,28.0,0.0,0.0,28.0,28.0,28.0,0.0,0.0
2018-06-17,27.95,27.95,27.95,0.0,0.0,27.95,27.95,27.95,0.0,0.0,27.95,27.95,27.95,0.0,0.0,27.95,27.95,27.95,0.0,0.0
2018-06-24,27.71,27.71,27.71,0.0,0.0,27.82,27.82,27.82,0.0,0.0,27.71,27.71,27.71,0.0,0.0,27.82,27.82,27.82,0.0,0.0
2018-07-01,27.95,27.95,27.95,0.0,0.0,28.03,28.03,28.03,0.0,0.0,27.95,27.95,27.95,0.0,0.0,28.03,28.03,28.03,0.0,0.0
2018-07-08,28.34,28.34,28.34,0.0,0.0,28.34,28.34,28.34,0.0,0.0,28.34,28.34,28.34,0.0,0.0,28.34,28.34,28.34,0.0,0.0
2018-07-15,28.29,28.29,28.29,0.0,0.0,28.29,28.29,28.29,0.0,0.0,28.29,28.29,28.29,0.0,0.0,28.29,28.29,28.29,0.0,0.0
2018-07-22,28.8,28.8,28.8,0.0,0.0,28.8,28.8,28.8,0.0,0.0,28.56,28.56,28.56,0.0,0.0,28.56,28.56,28.56,0.0,0.0
2018-07-29,29.04,29.04,29.04,0.0,0.0,29.1,29.1,29.1,0.0,0.0,29.04,29.04,29.04,0.0,0.0,29.1,29.1,29.1,0.0,0.0
2018-08-05,29.19,29.19,29.19,0.0,0.0,29.22,29.22,29.22,0.0,0.0,29.15,29.15,29.15,0.0,0.0,29.18,29.18,29.18,0.0,0.0
2018-08-12,29.61,29.61,29.61,0.0,0.0,29.81,29.81,29.81,0.0,0.0,29.61,29.61,29.61,0.0,0.0,29.8,29.8,29.8,0.0,0.0
2018-08-19,29.76,29.76,29.76,0.0,0.0,29.78,29.78,29.78,0.0,0.0,29.76,29.76,29.76,0.0,0.0,29.78,29.78,29.78,0.0,0.0
2018-08-26,29.9,29.9,29.9,0.0,0.0,29.98,29.98,29.98,0.0,0.0,29.89,29.89,29.89,0.0,0.0,29.98,29.98,29.98,0.0,0.0
2018-09-02,29.98,29.98,29.98,0.0,0.0,29.98,29.98,29.98,0.0,0.0,29.98,29.98,29.98,0.0,0.0,29.98,29.98,29.98,0.0,0.0
2018-09-09,30.11,30.11,30.11,0.0,0.0,30.11,30.11,30.11,0.0,0.0,30.11,30.11,30.11,0.0,0.0,30.11,30.11,30.11,0.0,0.0
2018-09-16,30.3,30.3,30.3,0.0,0.0,30.31,30.31,30.31,0.0,0.0,30.26,30.26,30.26,0.0,0.0,30.29,30.29,30.29,0.0,0.0
2018-09-23,30.23,30.23,30.23,0.0,0.0,30.23,30.23,30.23,0.0,0.0,30.23,30.23,30.23,0.0,0.0,30.23,30.23,30.23,0.0,0.0
2018-09-30,30.01,30.01,30.01,0.0,0.0,30.01,30.01,30.01,0.0,0.0,30.01,30.01,30.01,0.0,0.0,30.01,30.01,30.01,0.0,0.0
2018-10-07,28.96,28.96,28.96,0.0,0.0,28.96,28.96,28.96,0.0,0.0,28.68,28.68,28.68,0.0,0.0,28.68,28.68,28.68,0.0,0.0
2018-10-14,29.3,29.3,29.3,0.0,0.0,29.3,29.3,29.3,0.0,0.0,29.19,29.19,29.19,0.0,0.0,29.19,29.19,29.19,0.0,0.0
2018-10-21,28.09,28.09,28.09,0.0,0.0,28.38,28.38,28.38,0.0,0.0,28.04,28.04,28.04,0.0,0.0,28.38,28.38,28.38,0.0,0.0
2018-10-28,28.91,28.91,28.91,0.0,0.0,28.91,28.91,28.91,0.0,0.0,28.66,28.66,28.66,0.0,0.0,28.66,28.66,28.66,0.0,0.0
2018-11-04,29.62,29.62,29.62,0.0,0.0,29.64,29.64,29.64,0.0,0.0,29.52,29.52,29.52,0.0,0.0,29.56,29.56,29.56,0.0,0.0
2018-11-11,28.95,28.95,28.95,0.0,0.0,29.04,29.04,29.04,0.0,0.0,28.75,28.75,28.75,0.0,0.0,29.0,29.0,29.0,0.0,0.0
2018-11-18,28.08,28.08,28.08,0.0,0.0,28.17,28.17,28.17,0.0,0.0,28.07,28.07,28.07,0.0,0.0,28.08,28.08,28.08,0.0,0.0
2018-11-25,29.06,29.06,29.06,0.0,0.0,29.18,29.18,29.18,0.0,0.0,29.0,29.0,29.0,0.0,0.0,29.18,29.18,29.18,0.0,0.0
2018-12-02,28.59,28.59,28.59,0.0,0.0,28.59,28.59,28.59,0.0,0.0,28.15,28.15,28.15,0.0,0.0,28.29,28.29,28.29,0.0,0.0
2018-12-09,28.08,28.08,28.08,0.0,0.0,28.08,28.08,28.08,0.0,0.0,27.72,27.72,27.72,0.0,0.0,27.76,27.76,27.76,0.0,0.0
2018-12-16,26.39,26.39,26.39,0.0,0.0,26.71,26.71,26.71,0.0,0.0,26.19,26.19,26.19,0.0,0.0,26.23,26.23,26.23,0.0,0.0
2018-12-23,26.64,26.64,26.64,0.0,0.0,26.78,26.78,26.78,0.0,0.0,26.43,26.43,26.43,0.0,0.0,26.69,26.69,26.69,0.0,0.0
2018-12-30,26.5,26.5,26.5,0.0,0.0,26.75,26.75,26.75,0.0,0.0,26.46,26.46,26.46,0.0,0.0,26.64,26.64,26.64,0.0,0.0
2019-01-06,27.21,27.21,27.21,0.0,0.0,27.3,27.3,27.3,0.0,0.0,27.18,27.18,27.18,0.0,0.0,27.26,27.26,27.26,0.0,0.0
2019-01-13,27.79,27.79,27.79,0.0,0.0,27.91,27.91,27.91,0.0,0.0,27.79,27.79,27.79,0.0,0.0,27.91,27.91,27.91,0.0,0.0
2019-01-20,28.0,28.0,28.0,0.0,0.0,28.0,28.0,28.0,0.0,0.0,27.88,27.88,27.88,0.0,0.0,27.88,27.88,27.88,0.0,0.0
2019-01-27,28.46,28.46,28.46,0.0,0.0,28.46,28.46,28.46,0.0,0.0,28.24,28.24,28.24,0.0,0.0,28.26,28.26,28.26,0.0,0.0
2019-02-03,28.42,28.42,28.42,0.0,0.0,28.44,28.44,28.44,0.0,0.0,28.27,28.27,28.27,0.0,0.0,28.4,28.4,28.4,0.0,0.0
2019-02-10,29.02,29.02,29.02,0.0,0.0,29.05,29.05,29.05,0.0,0.0,28.99,28.99,28.99,0.0,0.0,29.04,29.04,29.04,0.0,0.0
2019-02-17,29.16,29.16,29.16,0.0,0.0,29.19,29.19,29.19,0.0,0.0,29.14,29.14,29.14,0.0,0.0,29.15,29.15,29.15,0.0,0.0
2019-02-24,29.0,29.0,29.0,0.0,0.0,29.08,29.08,29.08,0.0,0.0,28.94,28.94,28.94,0.0,0.0,29.08,29.08,29.08,0.0,0.0
2019-03-03,28.26,28.26,28.26,0.0,0.0,28.33,28.33,28.33,0.0,0.0,28.2,28.2,28.2,0.0,0.0,28.33,28.33,28.33,0.0,0.0
2019-03-10,29.06,29.06,29.06,0.0,0.0,29.06,29.06,29.06,0.0,0.0,28.97,28.97,28.97,0.0,0.0,29.03,29.03,29.03,0.0,0.0
2019-03-17,29.32,29.32,29.32,0.0,0.0,29.32,29.32,29.32,0.0,0.0,29.16,29.16,29.16,0.0,0.0,29.16,29.16,29.16,0.0,0.0
2019-03-24,29.32,29.32,29.32,0.0,0.0,29.38,29.38,29.38,0.0,0.0,29.32,29.32,29.32,0.0,0.0,29.38,29.38,29.38,0.0,0.0
2019-03-31,29.56,29.56,29.56,0.0,0.0,29.69,29.69,29.69,0.0,0.0,29.56,29.56,29.56,0.0,0.0,29.69,29.69,29.69,0.0,0.0
2019-04-07,29.85,29.85,29.85,0.0,0.0,29.85,29.85,29.85,0.0,0.0,29.67,29.67,29.67,0.0,0.0,29.7,29.7,29.7,0.0,0.0
2019-04-14,29.67,29.67,29.67,0.0,0.0,29.8,29.8,29.8,0.0,0.0,29.67,29.67,29.67,0.0,0.0,29.76,29.76,29.76,0.0,0.0
2019-04-21,30.0,30.0,30.0,0.0,0.0,30.09,30.09,30.09,0.0,0.0,30.0,30.0,30.0,0.0,0.0,30.09,30.09,30.09,0.0,0.0
2019-04-28,30.34,30.34,30.34,0.0,0.0,30.34,30.34,30.34,0.0,0.0,30.31,30.31,30.31,0.0,0.0,30.31,30.31,30.31,0.0,0.0
2019-05-05,29.81,29.81,29.81,0.0,0.0,30.09,30.09,30.09,0.0,0.0,29.81,29.81,29.81,0.0,0.0,30.02,30.02,30.02,0.0,0.0
2019-05-12,29.97,29.97,29.97,0.0,0.0,30.19,30.19,30.19,0.0,0.0,29.97,29.97,29.97,0.0,0.0,30.06,30.06,30.06,0.0,0.0
2019-05-19,30.01,30.01,30.01,0.0,0.0,30.01,30.01,30.01,0.0,0.0,29.88,29.88,29.88,0.0,0.0,29.97,29.97,29.97,0.0,0.0
2019-05-26,29.28,29.28,29.28,0.0,0.0,29.38,29.38,29.38,0.0,0.0,29.27,29.27,29.27,0.0,0.0,29.28,29.28,29.28,0.0,0.0
2019-06-02,30.73,30.73,30.73,0.0,0.0,30.75,30.75,30.75,0.0,0.0,30.65,30.65,30.65,0.0,0.0,30.65,30.65,30.65,0.0,0.0
2019-06-09,31.07,31.07,31.07,0.0,0.0,31.07,31.07,31.07,0.0,0.0,30.77,30.77,30.77,0.0,0.0,30.86,30.86,30.86,0.0,0.0
2019-06-16,31.11,31.11,31.11,0.0,0.0,31.26,31.26,31.26,0.0,0.0,31.11,31.11,31.11,0.0,0.0,31.15,31.15,31.15,0.0,0.0
2019-06-23,30.88,30.88,30.88,0.0,0.0,30.94,30.94,30.94,0.0,0.0,30.84,30.84,30.84,0.0,0.0,30.94,30.94,30.94,0.0,0.0
2019-06-30,31.33,31.33,31.33,0.0,0.0,31.48,31.48,31.48,0.0,0.0,31.33,31.33,31.33,0.0,0.0,31.46,31.46,31.46,0.0,0.0
2019-07-07,31.63,31.63,31.63,0.0,0.0,31.71,31.71,31.71,0.0,0.0,31.63,31.63,31.63,0.0,0.0,31.7,31.7,31.7,0.0,0.0
2019-07-14,31.61,31.61,31.61,0.0,0.0,31.61,31.61,31.61,0.0,0.0,31.36,31.36,31.36,0.0,0.0,31.36,31.36,31.36,0.0,0.0
2019-07-21,31.66,31.66,31.66,0.0,0.0,31.72,31.72,31.72,0.0,0.0,31.64,31.64,31.64,0.0,0.0,31.72,31.72,31.72,0.0,0.0
2019-07-28,30.98,30.98,30.98,0.0,0.0,30.99,30.99,30.99,0.0,0.0,30.89,30.89,30.89,0.0,0.0,30.99,30.99,30.99,0.0,0.0
2019-08-04,31.04,31.04,31.04,0.0,0.0,31.18,31.18,31.18,0.0,0.0,30.96,30.96,30.96,0.0,0.0,31.14,31.14,31.14,0.0,0.0
2019-08-11,30.83,30.83,30.83,0.0,0.0,31.0,31.0,31.0,0.0,0.0,30.83,30.83,30.83,0.0,0.0,31.0,31.0,31.0,0.0,0.0
2019-08-18,31.16,31.16,31.16,0.0,0.0,31.25,31.25,31.25,0.0,0.0,30.68,30.68,30.68,0.0,0.0,30.68,30.68,30.68,0.0,0.0
2019-08-25,31.37,31.37,31.37,0.0,0.0,31.37,31.37,31.37,0.0,0.0,31.22,31.22,31.22,0.0,0.0,31.32,31.32,31.32,0.0,0.0
2019-09-01,31.83,31.83,31.83,0.0,0.0,31.85,31.85,31.85,0.0,0.0,31.79,31.79,31.79,0.0,0.0,31.79,31.79,31.79,0.0,0.0
2019-09-08,31.93,31.93,31.93,0.0,0.0,31.93,31.93,31.93,0.0,0.0,31.77,31.77,31.77,0.0,0.0,31.79,31.79,31.79,0.0,0.0
2019-09-15,32.03,32.03,32.03,0.0,0.0,32.03,32.03,32.03,0.0,0.0,31.87,31.87,31.87,0.0,0.0,31.87,31.87,31.87,0.0,0.0
2019-09-22,31.8,31.8,31.8,0.0,0.0,31.89,31.89,31.89,0.0,0.0,31.59,31.59,31.59,0.0,0.0,31.68,31.68,31.68,0.0,0.0
2019-09-29,31.61,31.61,31.61,0.0,0.0,31.76,31.76,31.76,0.0,0.0,31.59,31.59,31.59,0.0,0.0,31.75,31.75,31.75,0.0,0.0
2019-10-06,32.06,32.06,32.06,0.0,0.0,32.08,32.08,32.08,0.0,0.0,31.89,31.89,31.89,0.0,0.0,31.89,31.89,31.89,0.0,0.0
2019-10-13,31.86,31.86,31.86,0.0,0.0,31.92,31.92,31.92,0.0,0.0,31.81,31.81,31.81,0.0,0.0,31.91,31.91,31.91,0.0,0.0
2019-10-20,31.86,31.86,31.86,0.0,0.0,31.92,31.92,31.92,0.0,0.0,31.86,31.86,31.86,0.0,0.0,31.87,31.87,31.87,0.0,0.0
2019-10-27,32.32,32.32,32.32,0.0,0.0,32.32,32.32,32.32,0.0,0.0,32.11,32.11,32.11,0.0,0.0,32.13,32.13,32.13,0.0,0.0
2019-11-03,32.22,32.22,32.22,0.0,0.0,32.26,32.26,32.26,0.0,0.0,32.19,32.19,32.19,0.0,0.0,32.24,32.24,32.24,0.0,0.0
2019-11-10,32.47,32.47,32.47,0.0,0.0,32.56,32.56,32.56,0.0,0.0,32.47,32.47,32.47,0.0,0.0,32.56,32.56,32.56,0.0,0.0
2019-11-17,32.45,32.45,32.45,0.0,0.0,32.51,32.51,32.51,0.0,0.0,32.45,32.45,32.45,0.0,0.0,32.51,32.51,32.51,0.0,0.0
2019-11-24,32.9,32.9,32.9,0.0,0.0,32.9,32.9,32.9,0.0,0.0,32.79,32.79,32.79,0.0,0.0,32.83,32.83,32.83,0.0,0.0
2019-12-01,32.82,32.82,32.82,0.0,0.0,32.89,32.89,32.89,0.0,0.0,32.82,32.82,32.82,0.0,0.0,32.85,32.85,32.85,0.0,0.0
2019-12-08,32.85,32.85,32.85,0.0,0.0,32.89,32.89,32.89,0.0,0.0,32.8,32.8,32.8,0.0,0.0,32.89,32.89,32.89,0.0,0.0
2019-12-15,33.07,33.07,33.07,0.0,0.0,33.14,33.14,33.14,0.0,0.0,33.07,33.07,33.07,0.0,0.0,33.1,33.1,33.1,0.0,0.0
2019-12-22,33.08,33.08,33.08,0.0,0.0,33.12,33.12,33.12,0.0,0.0,33.05,33.05,33.05,0.0,0.0,33.1,33.1,33.1,0.0,0.0
2019-12-29,32.92,32.92,32.92,0.0,0.0,33.12,33.12,33.12,0.0,0.0,32.92,32.92,32.92,0.0,0.0,33.11,33.11,33.11,0.0,0.0
2020-01-05,33.12,33.12,33.12,0.0,0.0,33.14,33.14,33.14,0.0,0.0,33.08,33.08,33.08,0.0,0.0,33.08,33.08,33.08,0.0,0.0
2020-01-12,33.71,33.71,33.71,0.0,0.0,33.73,33.73,33.73,0.0,0.0,33.7,33.7,33.7,0.0,0.0,33.73,33.73,33.73,0.0,0.0
2020-01-19,33.95,33.95,33.95,0.0,0.0,33.95,33.95,33.95,0.0,0.0,33.7,33.7,33.7,0.0,0.0,33.73,33.73,33.73,0.0,0.0
2020-01-26,33.56,33.56,33.56,0.0,0.0,33.56,33.56,33.56,0.0,0.0,33.3,33.3,33.3,0.0,0.0,33.3,33.3,33.3,0.0,0.0
2020-02-02,34.13,34.13,34.13,0.0,0.0,34.13,34.13,34.13,0.0,0.0,33.98,33.98,33.98,0.0,0.0,34.03,34.03,34.03,0.0,0.0
2020-02-09,34.17,34.17,34.17,0.0,0.0,34.17,34.17,34.17,0.0,0.0,34.13,34.13,34.13,0.0,0.0,34.13,34.13,34.13,0.0,0.0
2020-02-16,33.83,33.83,33.83,0.0,0.0,33.91,33.91,33.91,0.0,0.0,33.83,33.83,33.83,0.0,0.0,33.9,33.9,33.9,0.0,0.0
2020-02-23,29.71,29.71,29.71,0.0,0.0,30.12,30.12,30.12,0.0,0.0,29.54,29.54,29.54,0.0,0.0,29.78,29.78,29.78,0.0,0.0
2020-03-01,30.87,30.87,30.87,0.0,0.0,31.52,31.52,31.52,0.0,0.0,30.84,30.84,30.84,0.0,0.0,31.52,31.52,31.52,0.0,0.0
2020-03-08,26.87,26.87,26.87,0.0,0.0,28.47,28.47,28.47,0.0,0.0,26.68,26.68,26.68,0.0,0.0,28.11,28.11,28.11,0.0,0.0
2020-03-15,25.5,25.5,25.5,0.0,0.0,25.57,25.57,25.57,0.0,0.0,24.17,24.17,24.17,0.0,0.0,24.17,24.17,24.17,0.0,0.0
2020-03-22,26.35,26.35,26.35,0.0,0.0,27.28,27.28,27.28,0.0,0.0,26.28,26.28,26.28,0.0,0.0,26.52,26.52,26.52,0.0,0.0
2020-03-29,26.63,26.63,26.63,0.0,0.0,26.81,26.81,26.81,0.0,0.0,26.04,26.04,26.04,0.0,0.0,26.27,26.27,26.27,0.0,0.0
2020-04-05,28.71,28.71,28.71,0.0,0.0,29.09,29.09,29.09,0.0,0.0,28.71,28.71,28.71,0.0,0.0,29.01,29.01,29.01,0.0,0.0
2020-04-12,29.24,29.24,29.24,0.0,0.0,29.67,29.67,29.67,0.0,0.0,29.22,29.22,29.22,0.0,0.0,29.58,29.58,29.58,0.0,0.0
2020-04-19,28.74,28.74,28.74,0.0,0.0,29.11,29.11,29.11,0.0,0.0,28.74,28.74,28.74,0.0,0.0,29.11,29.11,29.11,0.0,0.0
2020-04-26,29.04,29.04,29.04,0.0,0.0,29.04,29.04,29.04,0.0,0.0,28.65,28.65,28.65,0.0,0.0,28.73,28.73,28.73,0.0,0.0
2020-05-03,29.45,29.45,29.45,0.0,0.0,29.66,29.66,29.66,0.0,0.0,29.45,29.45,29.45,0.0,0.0,29.66,29.66,29.66,0.0,0.0
2020-05-10,28.77,28.77,28.77,0.0,0.0,28.97,28.97,28.97,0.0,0.0,28.77,28.77,28.77,0.0,0.0,28.97,28.97,28.97,0.0,0.0
2020-05-17,29.48,29.48,29.48,0.0,0.0,29.58,29.58,29.58,0.0,0.0,29.46,29.46,29.46,0.0,0.0,29.57,29.57,29.57,0.0,0.0
2020-05-24,30.51,30.51,30.51,0.0,0.0,30.86,30.86,30.86,0.0,0.0,30.37,30.37,30.37,0.0,0.0,30.86,30.86,30.86,0.0,0.0
2020-05-31,31.93,31.93,31.93,0.0,0.0,32.24,32.24,32.24,0.0,0.0,31.93,31.93,31.93,0.0,0.0,32.02,32.02,32.02,0.0,0.0
2020-06-07,30.67,30.67,30.67,0.0,0.0,30.67,30.67,30.67,0.0,0.0,29.81,29.81,29.81,0.0,0.0,30.09,30.09,30.09,0.0,0.0
2020-06-14,30.61,30.61,30.61,0.0,0.0,30.72,30.72,30.72,0.0,0.0,30.49,30.49,30.49,0.0,0.0,30.68,30.68,30.68,0.0,0.0
2020-06-21,30.2,30.2,30.2,0.0,0.0,30.2,30.2,30.2,0.0,0.0,29.83,29.83,29.83,0.0,0.0,29.88,29.88,29.88,0.0,0.0
2020-06-28,31.01,31.01,31.01,0.0,0.0,31.09,31.09,31.09,0.0,0.0,30.66,30.66,30.66,0.0,0.0,30.79,30.79,30.79,0.0,0.0
2020-07-05,31.08,31.08,31.08,0.0,0.0,31.08,31.08,31.08,0.0,0.0,30.83,30.83,30.83,0.0,0.0,30.83,30.83,30.83,0.0,0.0
