Date,First Trust Canada AlphaDEXEtf_Open_average,First Trust Canada AlphaDEXEtf_Open_max,First Trust Canada AlphaDEXEtf_Open_min,First Trust Canada AlphaDEXEtf_Open_volatility,First Trust Canada AlphaDEXEtf_Open_change,First Trust Canada AlphaDEXEtf_High_average,First Trust Canada AlphaDEXEtf_High_max,First Trust Canada AlphaDEXEtf_High_min,First Trust Canada AlphaDEXEtf_High_volatility,First Trust Canada AlphaDEXEtf_High_change,First Trust Canada AlphaDEXEtf_Low_average,First Trust Canada AlphaDEXEtf_Low_max,First Trust Canada AlphaDEXEtf_Low_min,First Trust Canada AlphaDEXEtf_Low_volatility,First Trust Canada AlphaDEXEtf_Low_change,First Trust Canada AlphaDEXEtf_Close_average,First Trust Canada AlphaDEXEtf_Close_max,First Trust Canada AlphaDEXEtf_Close_min,First Trust Canada AlphaDEXEtf_Close_volatility,First Trust Canada AlphaDEXEtf_Close_change
2018-03-25,24.33,24.33,24.33,0.0,0.0,24.45,24.45,24.45,0.0,0.0,24.33,24.33,24.33,0.0,0.0,24.45,24.45,24.45,0.0,0.0
2018-04-01,25.5,25.5,25.5,0.0,0.0,25.5,25.5,25.5,0.0,0.0,25.5,25.5,25.5,0.0,0.0,25.5,25.5,25.5,0.0,0.0
2018-04-08,25.87,25.87,25.87,0.0,0.0,25.87,25.87,25.87,0.0,0.0,25.87,25.87,25.87,0.0,0.0,25.87,25.87,25.87,0.0,0.0
2018-04-15,26.07,26.07,26.07,0.0,0.0,26.07,26.07,26.07,0.0,0.0,26.07,26.07,26.07,0.0,0.0,26.07,26.07,26.07,0.0,0.0
2018-04-22,25.85,25.85,25.85,0.0,0.0,25.9,25.9,25.9,0.0,0.0,25.83,25.83,25.83,0.0,0.0,25.9,25.9,25.9,0.0,0.0
2018-04-29,26.0,26.0,26.0,0.0,0.0,26.0,26.0,26.0,0.0,0.0,26.0,26.0,26.0,0.0,0.0,26.0,26.0,26.0,0.0,0.0
2018-05-06,26.71,26.71,26.71,0.0,0.0,26.8,26.8,26.8,0.0,0.0,26.69,26.69,26.69,0.0,0.0,26.72,26.72,26.72,0.0,0.0
2018-05-13,27.1,27.1,27.1,0.0,0.0,27.1,27.1,27.1,0.0,0.0,27.04,27.04,27.04,0.0,0.0,27.08,27.08,27.08,0.0,0.0
2018-05-20,26.5,26.5,26.5,0.0,0.0,26.5,26.5,26.5,0.0,0.0,26.5,26.5,26.5,0.0,0.0,26.5,26.5,26.5,0.0,0.0
2018-05-27,26.69,26.69,26.69,0.0,0.0,26.74,26.74,26.74,0.0,0.0,26.6,26.6,26.6,0.0,0.0,26.6,26.6,26.6,0.0,0.0
2018-06-03,27.03,27.03,27.03,0.0,0.0,27.11,27.11,27.11,0.0,0.0,26.95,26.95,26.95,0.0,0.0,27.11,27.11,27.11,0.0,0.0
2018-06-10,26.29,26.29,26.29,0.0,0.0,26.3,26.3,26.3,0.0,0.0,26.28,26.28,26.28,0.0,0.0,26.3,26.3,26.3,0.0,0.0
2018-06-17,26.19,26.19,26.19,0.0,0.0,26.19,26.19,26.19,0.0,0.0,26.19,26.19,26.19,0.0,0.0,26.19,26.19,26.19,0.0,0.0
2018-06-24,26.0,26.0,26.0,0.0,0.0,26.18,26.18,26.18,0.0,0.0,26.0,26.0,26.0,0.0,0.0,26.18,26.18,26.18,0.0,0.0
2018-07-01,26.01,26.01,26.01,0.0,0.0,26.3,26.3,26.3,0.0,0.0,26.01,26.01,26.01,0.0,0.0,26.3,26.3,26.3,0.0,0.0
2018-07-08,26.48,26.48,26.48,0.0,0.0,26.49,26.49,26.49,0.0,0.0,26.48,26.48,26.48,0.0,0.0,26.49,26.49,26.49,0.0,0.0
2018-07-15,26.08,26.08,26.08,0.0,0.0,26.09,26.09,26.09,0.0,0.0,25.96,25.96,25.96,0.0,0.0,25.96,25.96,25.96,0.0,0.0
2018-07-22,26.13,26.13,26.13,0.0,0.0,26.13,26.13,26.13,0.0,0.0,26.09,26.09,26.09,0.0,0.0,26.11,26.11,26.11,0.0,0.0
2018-07-29,26.21,26.21,26.21,0.0,0.0,26.21,26.21,26.21,0.0,0.0,26.21,26.21,26.21,0.0,0.0,26.21,26.21,26.21,0.0,0.0
2018-08-05,25.58,25.58,25.58,0.0,0.0,25.58,25.58,25.58,0.0,0.0,25.58,25.58,25.58,0.0,0.0,25.58,25.58,25.58,0.0,0.0
2018-08-12,24.95,24.95,24.95,0.0,0.0,25.16,25.16,25.16,0.0,0.0,24.95,24.95,24.95,0.0,0.0,25.15,25.15,25.15,0.0,0.0
2018-08-19,25.54,25.54,25.54,0.0,0.0,25.55,25.55,25.55,0.0,0.0,25.49,25.49,25.49,0.0,0.0,25.49,25.49,25.49,0.0,0.0
2018-08-26,25.39,25.39,25.39,0.0,0.0,25.39,25.39,25.39,0.0,0.0,25.24,25.24,25.24,0.0,0.0,25.27,25.27,25.27,0.0,0.0
2018-09-02,24.15,24.15,24.15,0.0,0.0,24.41,24.41,24.41,0.0,0.0,24.15,24.15,24.15,0.0,0.0,24.41,24.41,24.41,0.0,0.0
2018-09-09,25.03,25.03,25.03,0.0,0.0,25.03,25.03,25.03,0.0,0.0,24.91,24.91,24.91,0.0,0.0,24.91,24.91,24.91,0.0,0.0
2018-09-16,25.51,25.51,25.51,0.0,0.0,25.52,25.52,25.52,0.0,0.0,25.51,25.51,25.51,0.0,0.0,25.52,25.52,25.52,0.0,0.0
2018-09-23,25.41,25.41,25.41,0.0,0.0,25.41,25.41,25.41,0.0,0.0,25.41,25.41,25.41,0.0,0.0,25.41,25.41,25.41,0.0,0.0
2018-09-30,24.91,24.91,24.91,0.0,0.0,24.91,24.91,24.91,0.0,0.0,24.81,24.81,24.81,0.0,0.0,24.81,24.81,24.81,0.0,0.0
