Date,PowerShares Global Listed Private EquityEtf_Open_average,PowerShares Global Listed Private EquityEtf_Open_max,PowerShares Global Listed Private EquityEtf_Open_min,PowerShares Global Listed Private EquityEtf_Open_volatility,PowerShares Global Listed Private EquityEtf_Open_change,PowerShares Global Listed Private EquityEtf_High_average,PowerShares Global Listed Private EquityEtf_High_max,PowerShares Global Listed Private EquityEtf_High_min,PowerShares Global Listed Private EquityEtf_High_volatility,PowerShares Global Listed Private EquityEtf_High_change,PowerShares Global Listed Private EquityEtf_Low_average,PowerShares Global Listed Private EquityEtf_Low_max,PowerShares Global Listed Private EquityEtf_Low_min,PowerShares Global Listed Private EquityEtf_Low_volatility,PowerShares Global Listed Private EquityEtf_Low_change,PowerShares Global Listed Private EquityEtf_Close_average,PowerShares Global Listed Private EquityEtf_Close_max,PowerShares Global Listed Private EquityEtf_Close_min,PowerShares Global Listed Private EquityEtf_Close_volatility,PowerShares Global Listed Private EquityEtf_Close_change
2019-12-01,12.66,12.66,12.66,0.0,0.0,12.68,12.68,12.68,0.0,0.0,12.6,12.6,12.6,0.0,0.0,12.6,12.6,12.6,0.0,0.0
2019-12-08,12.75,12.75,12.75,0.0,0.0,12.82,12.82,12.82,0.0,0.0,12.74,12.74,12.74,0.0,0.0,12.77,12.77,12.77,0.0,0.0
2019-12-15,12.99,12.99,12.99,0.0,0.0,13.0,13.0,13.0,0.0,0.0,12.94,12.94,12.94,0.0,0.0,12.97,12.97,12.97,0.0,0.0
2019-12-22,12.78,12.78,12.78,0.0,0.0,12.82,12.82,12.82,0.0,0.0,12.76,12.76,12.76,0.0,0.0,12.76,12.76,12.76,0.0,0.0
2019-12-29,12.73,12.73,12.73,0.0,0.0,12.81,12.81,12.81,0.0,0.0,12.73,12.73,12.73,0.0,0.0,12.77,12.77,12.77,0.0,0.0
2020-01-05,12.79,12.79,12.79,0.0,0.0,12.81,12.81,12.81,0.0,0.0,12.73,12.73,12.73,0.0,0.0,12.77,12.77,12.77,0.0,0.0
2020-01-12,13.02,13.02,13.02,0.0,0.0,13.06,13.06,13.06,0.0,0.0,13.0,13.0,13.0,0.0,0.0,13.04,13.04,13.04,0.0,0.0
2020-01-19,13.1,13.1,13.1,0.0,0.0,13.14,13.14,13.14,0.0,0.0,12.92,12.92,12.92,0.0,0.0,12.98,12.98,12.98,0.0,0.0
2020-01-26,12.84,12.84,12.84,0.0,0.0,12.89,12.89,12.89,0.0,0.0,12.76,12.76,12.76,0.0,0.0,12.82,12.82,12.82,0.0,0.0
2020-02-02,13.0,13.0,13.0,0.0,0.0,13.03,13.03,13.03,0.0,0.0,12.93,12.93,12.93,0.0,0.0,12.95,12.95,12.95,0.0,0.0
2020-02-09,13.14,13.14,13.14,0.0,0.0,13.15,13.15,13.15,0.0,0.0,13.07,13.07,13.07,0.0,0.0,13.14,13.14,13.14,0.0,0.0
2020-02-16,13.11,13.11,13.11,0.0,0.0,13.11,13.11,13.11,0.0,0.0,12.99,12.99,12.99,0.0,0.0,13.03,13.03,13.03,0.0,0.0
2020-02-23,11.35,11.35,11.35,0.0,0.0,11.56,11.56,11.56,0.0,0.0,11.21,11.21,11.21,0.0,0.0,11.53,11.53,11.53,0.0,0.0
2020-03-01,11.37,11.37,11.37,0.0,0.0,11.41,11.41,11.41,0.0,0.0,11.17,11.17,11.17,0.0,0.0,11.31,11.31,11.31,0.0,0.0
2020-03-08,9.42,9.42,9.42,0.0,0.0,9.42,9.42,9.42,0.0,0.0,9.42,9.42,9.42,0.0,0.0,9.42,9.42,9.42,0.0,0.0
2020-03-15,7.23,7.23,7.23,0.0,0.0,7.23,7.23,7.23,0.0,0.0,7.23,7.23,7.23,0.0,0.0,7.23,7.23,7.23,0.0,0.0
2020-03-22,8.29,8.29,8.29,0.0,0.0,8.29,8.29,8.29,0.0,0.0,8.29,8.29,8.29,0.0,0.0,8.29,8.29,8.29,0.0,0.0
2020-03-29,7.64,7.64,7.64,0.0,0.0,7.74,7.74,7.74,0.0,0.0,7.4,7.4,7.4,0.0,0.0,7.55,7.55,7.55,0.0,0.0
2020-04-05,8.88,8.88,8.88,0.0,0.0,9.12,9.12,9.12,0.0,0.0,8.85,8.85,8.85,0.0,0.0,8.95,8.95,8.95,0.0,0.0
2020-04-12,8.84,8.84,8.84,0.0,0.0,8.97,8.97,8.97,0.0,0.0,8.75,8.75,8.75,0.0,0.0,8.85,8.85,8.85,0.0,0.0
2020-04-19,8.75,8.75,8.75,0.0,0.0,8.88,8.88,8.88,0.0,0.0,8.71,8.71,8.71,0.0,0.0,8.85,8.85,8.85,0.0,0.0
2020-04-26,8.96,8.96,8.96,0.0,0.0,8.96,8.96,8.96,0.0,0.0,8.96,8.96,8.96,0.0,0.0,8.96,8.96,8.96,0.0,0.0
2020-05-03,9.31,9.31,9.31,0.0,0.0,9.4,9.4,9.4,0.0,0.0,9.29,9.29,9.29,0.0,0.0,9.34,9.34,9.34,0.0,0.0
2020-05-10,8.93,8.93,8.93,0.0,0.0,9.01,9.01,9.01,0.0,0.0,8.91,8.91,8.91,0.0,0.0,8.98,8.98,8.98,0.0,0.0
2020-05-17,9.48,9.48,9.48,0.0,0.0,9.57,9.57,9.57,0.0,0.0,9.46,9.46,9.46,0.0,0.0,9.55,9.55,9.55,0.0,0.0
2020-05-24,10.03,10.03,10.03,0.0,0.0,10.08,10.08,10.08,0.0,0.0,9.95,9.95,9.95,0.0,0.0,10.04,10.04,10.04,0.0,0.0
2020-05-31,10.82,10.82,10.82,0.0,0.0,10.82,10.82,10.82,0.0,0.0,10.82,10.82,10.82,0.0,0.0,10.82,10.82,10.82,0.0,0.0
2020-06-07,10.24,10.24,10.24,0.0,0.0,10.36,10.36,10.36,0.0,0.0,10.07,10.07,10.07,0.0,0.0,10.22,10.22,10.22,0.0,0.0
2020-06-14,10.56,10.56,10.56,0.0,0.0,10.56,10.56,10.56,0.0,0.0,10.35,10.35,10.35,0.0,0.0,10.39,10.39,10.39,0.0,0.0
2020-06-21,10.23,10.23,10.23,0.0,0.0,10.26,10.26,10.26,0.0,0.0,10.05,10.05,10.05,0.0,0.0,10.1,10.1,10.1,0.0,0.0
2020-06-28,10.39,10.39,10.39,0.0,0.0,10.39,10.39,10.39,0.0,0.0,10.39,10.39,10.39,0.0,0.0,10.39,10.39,10.39,0.0,0.0
2020-07-05,10.47,10.47,10.47,0.0,0.0,10.47,10.47,10.47,0.0,0.0,10.34,10.34,10.34,0.0,0.0,10.34,10.34,10.34,0.0,0.0
