Date,iShares Short Maturity Muni BondEtf_Open_average,iShares Short Maturity Muni BondEtf_Open_max,iShares Short Maturity Muni BondEtf_Open_min,iShares Short Maturity Muni BondEtf_Open_volatility,iShares Short Maturity Muni BondEtf_Open_change,iShares Short Maturity Muni BondEtf_High_average,iShares Short Maturity Muni BondEtf_High_max,iShares Short Maturity Muni BondEtf_High_min,iShares Short Maturity Muni BondEtf_High_volatility,iShares Short Maturity Muni BondEtf_High_change,iShares Short Maturity Muni BondEtf_Low_average,iShares Short Maturity Muni BondEtf_Low_max,iShares Short Maturity Muni BondEtf_Low_min,iShares Short Maturity Muni BondEtf_Low_volatility,iShares Short Maturity Muni BondEtf_Low_change,iShares Short Maturity Muni BondEtf_Close_average,iShares Short Maturity Muni BondEtf_Close_max,iShares Short Maturity Muni BondEtf_Close_min,iShares Short Maturity Muni BondEtf_Close_volatility,iShares Short Maturity Muni BondEtf_Close_change
2018-03-25,49.78,49.78,49.78,0.0,0.0,49.78,49.78,49.78,0.0,0.0,49.7,49.7,49.7,0.0,0.0,49.7,49.7,49.7,0.0,0.0
2018-04-01,49.85,49.85,49.85,0.0,0.0,49.85,49.85,49.85,0.0,0.0,49.68,49.68,49.68,0.0,0.0,49.68,49.68,49.68,0.0,0.0
2018-04-08,49.74,49.74,49.74,0.0,0.0,49.74,49.74,49.74,0.0,0.0,49.74,49.74,49.74,0.0,0.0,49.74,49.74,49.74,0.0,0.0
2018-04-15,49.65,49.65,49.65,0.0,0.0,49.74,49.74,49.74,0.0,0.0,49.64,49.64,49.64,0.0,0.0,49.74,49.74,49.74,0.0,0.0
2018-04-22,49.77,49.77,49.77,0.0,0.0,49.83,49.83,49.83,0.0,0.0,49.77,49.77,49.77,0.0,0.0,49.81,49.81,49.81,0.0,0.0
2018-04-29,49.77,49.77,49.77,0.0,0.0,49.77,49.77,49.77,0.0,0.0,49.72,49.72,49.72,0.0,0.0,49.75,49.75,49.75,0.0,0.0
2018-05-06,49.79,49.79,49.79,0.0,0.0,49.79,49.79,49.79,0.0,0.0,49.75,49.75,49.75,0.0,0.0,49.79,49.79,49.79,0.0,0.0
2018-05-13,49.81,49.81,49.81,0.0,0.0,49.81,49.81,49.81,0.0,0.0,49.8,49.8,49.8,0.0,0.0,49.81,49.81,49.81,0.0,0.0
2018-05-20,49.82,49.82,49.82,0.0,0.0,49.85,49.85,49.85,0.0,0.0,49.81,49.81,49.81,0.0,0.0,49.84,49.84,49.84,0.0,0.0
2018-05-27,49.85,49.85,49.85,0.0,0.0,49.85,49.85,49.85,0.0,0.0,49.76,49.76,49.76,0.0,0.0,49.81,49.81,49.81,0.0,0.0
2018-06-03,49.96,49.96,49.96,0.0,0.0,49.96,49.96,49.96,0.0,0.0,49.86,49.86,49.86,0.0,0.0,49.9,49.9,49.9,0.0,0.0
2018-06-10,49.83,49.83,49.83,0.0,0.0,49.97,49.97,49.97,0.0,0.0,49.83,49.83,49.83,0.0,0.0,49.97,49.97,49.97,0.0,0.0
2018-06-17,49.94,49.94,49.94,0.0,0.0,49.98,49.98,49.98,0.0,0.0,49.94,49.94,49.94,0.0,0.0,49.96,49.96,49.96,0.0,0.0
2018-06-24,50.03,50.03,50.03,0.0,0.0,50.04,50.04,50.04,0.0,0.0,49.94,49.94,49.94,0.0,0.0,49.97,49.97,49.97,0.0,0.0
2018-07-01,49.83,49.83,49.83,0.0,0.0,49.9,49.9,49.9,0.0,0.0,49.79,49.79,49.79,0.0,0.0,49.85,49.85,49.85,0.0,0.0
2018-07-08,49.98,49.98,49.98,0.0,0.0,49.98,49.98,49.98,0.0,0.0,49.88,49.88,49.88,0.0,0.0,49.91,49.91,49.91,0.0,0.0
2018-07-15,49.94,49.94,49.94,0.0,0.0,49.96,49.96,49.96,0.0,0.0,49.91,49.91,49.91,0.0,0.0,49.91,49.91,49.91,0.0,0.0
2018-07-22,49.99,49.99,49.99,0.0,0.0,49.99,49.99,49.99,0.0,0.0,49.94,49.94,49.94,0.0,0.0,49.97,49.97,49.97,0.0,0.0
2018-07-29,49.97,49.97,49.97,0.0,0.0,49.98,49.98,49.98,0.0,0.0,49.95,49.95,49.95,0.0,0.0,49.97,49.97,49.97,0.0,0.0
2018-08-05,49.93,49.93,49.93,0.0,0.0,50.05,50.05,50.05,0.0,0.0,49.93,49.93,49.93,0.0,0.0,49.95,49.95,49.95,0.0,0.0
2018-08-12,49.97,49.97,49.97,0.0,0.0,50.0,50.0,50.0,0.0,0.0,49.96,49.96,49.96,0.0,0.0,50.0,50.0,50.0,0.0,0.0
2018-08-19,50.0,50.0,50.0,0.0,0.0,50.01,50.01,50.01,0.0,0.0,49.98,49.98,49.98,0.0,0.0,49.99,49.99,49.99,0.0,0.0
2018-08-26,49.9,49.9,49.9,0.0,0.0,50.0,50.0,50.0,0.0,0.0,49.87,49.87,49.87,0.0,0.0,49.87,49.87,49.87,0.0,0.0
2018-09-02,49.87,49.87,49.87,0.0,0.0,49.87,49.87,49.87,0.0,0.0,49.83,49.83,49.83,0.0,0.0,49.85,49.85,49.85,0.0,0.0
2018-09-09,49.86,49.86,49.86,0.0,0.0,49.91,49.91,49.91,0.0,0.0,49.85,49.85,49.85,0.0,0.0,49.91,49.91,49.91,0.0,0.0
2018-09-16,49.87,49.87,49.87,0.0,0.0,49.91,49.91,49.91,0.0,0.0,49.85,49.85,49.85,0.0,0.0,49.89,49.89,49.89,0.0,0.0
2018-09-23,49.95,49.95,49.95,0.0,0.0,49.96,49.96,49.96,0.0,0.0,49.81,49.81,49.81,0.0,0.0,49.95,49.95,49.95,0.0,0.0
2018-09-30,49.82,49.82,49.82,0.0,0.0,49.86,49.86,49.86,0.0,0.0,49.76,49.76,49.76,0.0,0.0,49.85,49.85,49.85,0.0,0.0
2018-10-07,49.86,49.86,49.86,0.0,0.0,49.93,49.93,49.93,0.0,0.0,49.78,49.78,49.78,0.0,0.0,49.81,49.81,49.81,0.0,0.0
2018-10-14,49.86,49.86,49.86,0.0,0.0,49.91,49.91,49.91,0.0,0.0,49.82,49.82,49.82,0.0,0.0,49.88,49.88,49.88,0.0,0.0
2018-10-21,49.91,49.91,49.91,0.0,0.0,49.96,49.96,49.96,0.0,0.0,49.78,49.78,49.78,0.0,0.0,49.88,49.88,49.88,0.0,0.0
2018-10-28,49.8,49.8,49.8,0.0,0.0,49.81,49.81,49.81,0.0,0.0,49.74,49.74,49.74,0.0,0.0,49.74,49.74,49.74,0.0,0.0
2018-11-04,49.84,49.84,49.84,0.0,0.0,49.87,49.87,49.87,0.0,0.0,49.76,49.76,49.76,0.0,0.0,49.87,49.87,49.87,0.0,0.0
2018-11-11,49.91,49.91,49.91,0.0,0.0,49.91,49.91,49.91,0.0,0.0,49.82,49.82,49.82,0.0,0.0,49.82,49.82,49.82,0.0,0.0
2018-11-18,49.94,49.94,49.94,0.0,0.0,49.94,49.94,49.94,0.0,0.0,49.84,49.84,49.84,0.0,0.0,49.89,49.89,49.89,0.0,0.0
2018-11-25,49.95,49.95,49.95,0.0,0.0,49.95,49.95,49.95,0.0,0.0,49.89,49.89,49.89,0.0,0.0,49.9,49.9,49.9,0.0,0.0
2018-12-02,49.89,49.89,49.89,0.0,0.0,49.96,49.96,49.96,0.0,0.0,49.86,49.86,49.86,0.0,0.0,49.93,49.93,49.93,0.0,0.0
2018-12-09,49.96,49.96,49.96,0.0,0.0,49.98,49.98,49.98,0.0,0.0,49.84,49.84,49.84,0.0,0.0,49.9,49.9,49.9,0.0,0.0
2018-12-16,49.89,49.89,49.89,0.0,0.0,49.93,49.93,49.93,0.0,0.0,49.77,49.77,49.77,0.0,0.0,49.88,49.88,49.88,0.0,0.0
2018-12-23,49.95,49.95,49.95,0.0,0.0,49.96,49.96,49.96,0.0,0.0,49.87,49.87,49.87,0.0,0.0,49.95,49.95,49.95,0.0,0.0
2018-12-30,49.85,49.85,49.85,0.0,0.0,50.0,50.0,50.0,0.0,0.0,49.85,49.85,49.85,0.0,0.0,49.9,49.9,49.9,0.0,0.0
2019-01-06,49.91,49.91,49.91,0.0,0.0,50.01,50.01,50.01,0.0,0.0,49.9,49.9,49.9,0.0,0.0,49.9,49.9,49.9,0.0,0.0
2019-01-13,49.98,49.98,49.98,0.0,0.0,50.05,50.05,50.05,0.0,0.0,49.96,49.96,49.96,0.0,0.0,50.01,50.01,50.01,0.0,0.0
2019-01-20,49.97,49.97,49.97,0.0,0.0,49.97,49.97,49.97,0.0,0.0,49.92,49.92,49.92,0.0,0.0,49.95,49.95,49.95,0.0,0.0
2019-01-27,49.88,49.88,49.88,0.0,0.0,49.95,49.95,49.95,0.0,0.0,49.88,49.88,49.88,0.0,0.0,49.9,49.9,49.9,0.0,0.0
2019-02-03,49.89,49.89,49.89,0.0,0.0,49.97,49.97,49.97,0.0,0.0,49.89,49.89,49.89,0.0,0.0,49.96,49.96,49.96,0.0,0.0
2019-02-10,50.01,50.01,50.01,0.0,0.0,50.01,50.01,50.01,0.0,0.0,49.93,49.93,49.93,0.0,0.0,49.93,49.93,49.93,0.0,0.0
2019-02-17,50.04,50.04,50.04,0.0,0.0,50.06,50.06,50.06,0.0,0.0,49.95,49.95,49.95,0.0,0.0,50.0,50.0,50.0,0.0,0.0
2019-02-24,49.98,49.98,49.98,0.0,0.0,49.99,49.99,49.99,0.0,0.0,49.9,49.9,49.9,0.0,0.0,49.91,49.91,49.91,0.0,0.0
2019-03-03,49.97,49.97,49.97,0.0,0.0,49.97,49.97,49.97,0.0,0.0,49.93,49.93,49.93,0.0,0.0,49.97,49.97,49.97,0.0,0.0
2019-03-10,49.97,49.97,49.97,0.0,0.0,50.0,50.0,50.0,0.0,0.0,49.96,49.96,49.96,0.0,0.0,49.99,49.99,49.99,0.0,0.0
2019-03-17,49.99,49.99,49.99,0.0,0.0,50.04,50.04,50.04,0.0,0.0,49.98,49.98,49.98,0.0,0.0,50.02,50.02,50.02,0.0,0.0
2019-03-24,50.05,50.05,50.05,0.0,0.0,50.1,50.1,50.1,0.0,0.0,49.99,49.99,49.99,0.0,0.0,50.05,50.05,50.05,0.0,0.0
2019-03-31,49.96,49.96,49.96,0.0,0.0,50.02,50.02,50.02,0.0,0.0,49.94,49.94,49.94,0.0,0.0,49.99,49.99,49.99,0.0,0.0
2019-04-07,50.04,50.04,50.04,0.0,0.0,50.04,50.04,50.04,0.0,0.0,49.93,49.93,49.93,0.0,0.0,49.95,49.95,49.95,0.0,0.0
2019-04-14,50.01,50.01,50.01,0.0,0.0,50.01,50.01,50.01,0.0,0.0,49.97,49.97,49.97,0.0,0.0,49.97,49.97,49.97,0.0,0.0
2019-04-21,50.04,50.04,50.04,0.0,0.0,50.04,50.04,50.04,0.0,0.0,49.98,49.98,49.98,0.0,0.0,49.98,49.98,49.98,0.0,0.0
2019-04-28,49.99,49.99,49.99,0.0,0.0,50.02,50.02,50.02,0.0,0.0,49.97,49.97,49.97,0.0,0.0,49.98,49.98,49.98,0.0,0.0
2019-05-05,50.03,50.03,50.03,0.0,0.0,50.03,50.03,50.03,0.0,0.0,49.98,49.98,49.98,0.0,0.0,50.0,50.0,50.0,0.0,0.0
2019-05-12,50.06,50.06,50.06,0.0,0.0,50.09,50.09,50.09,0.0,0.0,50.05,50.05,50.05,0.0,0.0,50.09,50.09,50.09,0.0,0.0
2019-05-19,50.14,50.14,50.14,0.0,0.0,50.14,50.14,50.14,0.0,0.0,50.07,50.07,50.07,0.0,0.0,50.09,50.09,50.09,0.0,0.0
2019-05-26,50.12,50.12,50.12,0.0,0.0,50.15,50.15,50.15,0.0,0.0,50.12,50.12,50.12,0.0,0.0,50.14,50.14,50.14,0.0,0.0
2019-06-02,50.03,50.03,50.03,0.0,0.0,50.09,50.09,50.09,0.0,0.0,50.03,50.03,50.03,0.0,0.0,50.08,50.08,50.08,0.0,0.0
2019-06-09,50.06,50.06,50.06,0.0,0.0,50.09,50.09,50.09,0.0,0.0,50.06,50.06,50.06,0.0,0.0,50.07,50.07,50.07,0.0,0.0
2019-06-16,50.08,50.08,50.08,0.0,0.0,50.16,50.16,50.16,0.0,0.0,50.08,50.08,50.08,0.0,0.0,50.13,50.13,50.13,0.0,0.0
2019-06-23,50.15,50.15,50.15,0.0,0.0,50.17,50.17,50.17,0.0,0.0,50.11,50.11,50.11,0.0,0.0,50.15,50.15,50.15,0.0,0.0
2019-06-30,50.05,50.05,50.05,0.0,0.0,50.12,50.12,50.12,0.0,0.0,50.05,50.05,50.05,0.0,0.0,50.09,50.09,50.09,0.0,0.0
2019-07-07,50.14,50.14,50.14,0.0,0.0,50.22,50.22,50.22,0.0,0.0,50.11,50.11,50.11,0.0,0.0,50.14,50.14,50.14,0.0,0.0
2019-07-14,50.12,50.12,50.12,0.0,0.0,50.19,50.19,50.19,0.0,0.0,50.12,50.12,50.12,0.0,0.0,50.15,50.15,50.15,0.0,0.0
2019-07-21,50.23,50.23,50.23,0.0,0.0,50.25,50.25,50.25,0.0,0.0,50.21,50.21,50.21,0.0,0.0,50.23,50.23,50.23,0.0,0.0
2019-07-28,50.19,50.19,50.19,0.0,0.0,50.2,50.2,50.2,0.0,0.0,50.17,50.17,50.17,0.0,0.0,50.19,50.19,50.19,0.0,0.0
2019-08-04,50.22,50.22,50.22,0.0,0.0,50.26,50.26,50.26,0.0,0.0,50.2,50.2,50.2,0.0,0.0,50.22,50.22,50.22,0.0,0.0
2019-08-11,50.25,50.25,50.25,0.0,0.0,50.25,50.25,50.25,0.0,0.0,50.17,50.17,50.17,0.0,0.0,50.24,50.24,50.24,0.0,0.0
2019-08-18,50.25,50.25,50.25,0.0,0.0,50.26,50.26,50.26,0.0,0.0,50.17,50.17,50.17,0.0,0.0,50.23,50.23,50.23,0.0,0.0
2019-08-25,50.25,50.25,50.25,0.0,0.0,50.25,50.25,50.25,0.0,0.0,50.2,50.2,50.2,0.0,0.0,50.25,50.25,50.25,0.0,0.0
2019-09-01,50.16,50.16,50.16,0.0,0.0,50.22,50.22,50.22,0.0,0.0,50.16,50.16,50.16,0.0,0.0,50.19,50.19,50.19,0.0,0.0
2019-09-08,50.12,50.12,50.12,0.0,0.0,50.12,50.12,50.12,0.0,0.0,50.06,50.06,50.06,0.0,0.0,50.1,50.1,50.1,0.0,0.0
2019-09-15,50.08,50.08,50.08,0.0,0.0,50.21,50.21,50.21,0.0,0.0,50.04,50.04,50.04,0.0,0.0,50.11,50.11,50.11,0.0,0.0
2019-09-22,50.17,50.17,50.17,0.0,0.0,50.17,50.17,50.17,0.0,0.0,50.05,50.05,50.05,0.0,0.0,50.11,50.11,50.11,0.0,0.0
2019-09-29,50.11,50.11,50.11,0.0,0.0,50.11,50.11,50.11,0.0,0.0,50.07,50.07,50.07,0.0,0.0,50.1,50.1,50.1,0.0,0.0
2019-10-06,50.05,50.05,50.05,0.0,0.0,50.16,50.16,50.16,0.0,0.0,50.05,50.05,50.05,0.0,0.0,50.13,50.13,50.13,0.0,0.0
2019-10-13,50.12,50.12,50.12,0.0,0.0,50.19,50.19,50.19,0.0,0.0,50.12,50.12,50.12,0.0,0.0,50.12,50.12,50.12,0.0,0.0
2019-10-20,50.14,50.14,50.14,0.0,0.0,50.19,50.19,50.19,0.0,0.0,50.13,50.13,50.13,0.0,0.0,50.15,50.15,50.15,0.0,0.0
2019-10-27,50.07,50.07,50.07,0.0,0.0,50.12,50.12,50.12,0.0,0.0,50.07,50.07,50.07,0.0,0.0,50.09,50.09,50.09,0.0,0.0
2019-11-03,50.12,50.12,50.12,0.0,0.0,50.14,50.14,50.14,0.0,0.0,50.06,50.06,50.06,0.0,0.0,50.13,50.13,50.13,0.0,0.0
2019-11-10,50.09,50.09,50.09,0.0,0.0,50.13,50.13,50.13,0.0,0.0,50.09,50.09,50.09,0.0,0.0,50.12,50.12,50.12,0.0,0.0
2019-11-17,50.15,50.15,50.15,0.0,0.0,50.2,50.2,50.2,0.0,0.0,50.15,50.15,50.15,0.0,0.0,50.17,50.17,50.17,0.0,0.0
2019-11-24,50.22,50.22,50.22,0.0,0.0,50.22,50.22,50.22,0.0,0.0,50.15,50.15,50.15,0.0,0.0,50.16,50.16,50.16,0.0,0.0
2019-12-01,50.17,50.17,50.17,0.0,0.0,50.17,50.17,50.17,0.0,0.0,50.05,50.05,50.05,0.0,0.0,50.08,50.08,50.08,0.0,0.0
2019-12-08,50.07,50.07,50.07,0.0,0.0,50.15,50.15,50.15,0.0,0.0,50.07,50.07,50.07,0.0,0.0,50.1,50.1,50.1,0.0,0.0
2019-12-15,50.11,50.11,50.11,0.0,0.0,50.22,50.22,50.22,0.0,0.0,50.1,50.1,50.1,0.0,0.0,50.13,50.13,50.13,0.0,0.0
2019-12-22,50.11,50.11,50.11,0.0,0.0,50.18,50.18,50.18,0.0,0.0,50.11,50.11,50.11,0.0,0.0,50.18,50.18,50.18,0.0,0.0
2019-12-29,50.14,50.14,50.14,0.0,0.0,50.19,50.19,50.19,0.0,0.0,50.14,50.14,50.14,0.0,0.0,50.18,50.18,50.18,0.0,0.0
2020-01-05,50.21,50.21,50.21,0.0,0.0,50.21,50.21,50.21,0.0,0.0,50.15,50.15,50.15,0.0,0.0,50.18,50.18,50.18,0.0,0.0
2020-01-12,50.18,50.18,50.18,0.0,0.0,50.18,50.18,50.18,0.0,0.0,50.14,50.14,50.14,0.0,0.0,50.17,50.17,50.17,0.0,0.0
2020-01-19,50.19,50.19,50.19,0.0,0.0,50.24,50.24,50.24,0.0,0.0,50.19,50.19,50.19,0.0,0.0,50.21,50.21,50.21,0.0,0.0
2020-01-26,50.24,50.24,50.24,0.0,0.0,50.25,50.25,50.25,0.0,0.0,50.2,50.2,50.2,0.0,0.0,50.25,50.25,50.25,0.0,0.0
2020-02-02,50.15,50.15,50.15,0.0,0.0,50.2,50.2,50.2,0.0,0.0,50.15,50.15,50.15,0.0,0.0,50.19,50.19,50.19,0.0,0.0
2020-02-09,50.21,50.21,50.21,0.0,0.0,50.22,50.22,50.22,0.0,0.0,50.16,50.16,50.16,0.0,0.0,50.16,50.16,50.16,0.0,0.0
2020-02-16,50.29,50.29,50.29,0.0,0.0,50.29,50.29,50.29,0.0,0.0,50.22,50.22,50.22,0.0,0.0,50.26,50.26,50.26,0.0,0.0
2020-02-23,50.24,50.24,50.24,0.0,0.0,50.31,50.31,50.31,0.0,0.0,50.18,50.18,50.18,0.0,0.0,50.3,50.3,50.3,0.0,0.0
2020-03-01,50.25,50.25,50.25,0.0,0.0,50.29,50.29,50.29,0.0,0.0,50.22,50.22,50.22,0.0,0.0,50.29,50.29,50.29,0.0,0.0
2020-03-08,49.65,49.65,49.65,0.0,0.0,49.99,49.99,49.99,0.0,0.0,49.65,49.65,49.65,0.0,0.0,49.92,49.92,49.92,0.0,0.0
2020-03-15,49.6,49.6,49.6,0.0,0.0,49.6,49.6,49.6,0.0,0.0,48.31,48.31,48.31,0.0,0.0,49.14,49.14,49.14,0.0,0.0
2020-03-22,49.18,49.18,49.18,0.0,0.0,49.87,49.87,49.87,0.0,0.0,49.18,49.18,49.18,0.0,0.0,49.87,49.87,49.87,0.0,0.0
2020-03-29,49.13,49.13,49.13,0.0,0.0,49.84,49.84,49.84,0.0,0.0,49.13,49.13,49.13,0.0,0.0,49.81,49.81,49.81,0.0,0.0
2020-04-05,49.36,49.36,49.36,0.0,0.0,49.84,49.84,49.84,0.0,0.0,49.36,49.36,49.36,0.0,0.0,49.82,49.82,49.82,0.0,0.0
2020-04-12,49.83,49.83,49.83,0.0,0.0,49.94,49.94,49.94,0.0,0.0,49.82,49.82,49.82,0.0,0.0,49.83,49.83,49.83,0.0,0.0
2020-04-19,49.7,49.7,49.7,0.0,0.0,49.86,49.86,49.86,0.0,0.0,49.7,49.7,49.7,0.0,0.0,49.79,49.79,49.79,0.0,0.0
2020-04-26,49.87,49.87,49.87,0.0,0.0,49.87,49.87,49.87,0.0,0.0,49.87,49.87,49.87,0.0,0.0,49.87,49.87,49.87,0.0,0.0
2020-05-03,49.94,49.94,49.94,0.0,0.0,49.94,49.94,49.94,0.0,0.0,49.8,49.8,49.8,0.0,0.0,49.91,49.91,49.91,0.0,0.0
2020-05-10,49.95,49.95,49.95,0.0,0.0,49.97,49.97,49.97,0.0,0.0,49.95,49.95,49.95,0.0,0.0,49.97,49.97,49.97,0.0,0.0
2020-05-17,50.03,50.03,50.03,0.0,0.0,50.09,50.09,50.09,0.0,0.0,50.03,50.03,50.03,0.0,0.0,50.08,50.08,50.08,0.0,0.0
2020-05-24,50.07,50.07,50.07,0.0,0.0,50.11,50.11,50.11,0.0,0.0,50.06,50.06,50.06,0.0,0.0,50.07,50.07,50.07,0.0,0.0
2020-05-31,50.02,50.02,50.02,0.0,0.0,50.02,50.02,50.02,0.0,0.0,50.02,50.02,50.02,0.0,0.0,50.02,50.02,50.02,0.0,0.0
2020-06-07,50.1,50.1,50.1,0.0,0.0,50.13,50.13,50.13,0.0,0.0,49.96,49.96,49.96,0.0,0.0,50.06,50.06,50.06,0.0,0.0
2020-06-14,50.06,50.06,50.06,0.0,0.0,50.09,50.09,50.09,0.0,0.0,50.0,50.0,50.0,0.0,0.0,50.04,50.04,50.04,0.0,0.0
2020-06-21,50.08,50.08,50.08,0.0,0.0,50.15,50.15,50.15,0.0,0.0,50.0,50.0,50.0,0.0,0.0,50.06,50.06,50.06,0.0,0.0
2020-06-28,50.04,50.04,50.04,0.0,0.0,50.04,50.04,50.04,0.0,0.0,50.04,50.04,50.04,0.0,0.0,50.04,50.04,50.04,0.0,0.0
2020-07-05,50.06,50.06,50.06,0.0,0.0,50.1,50.1,50.1,0.0,0.0,50.06,50.06,50.06,0.0,0.0,50.09,50.09,50.09,0.0,0.0
