Date,ODA/PNGASJP_USD - Value,ODA/PNGASJP_USD - Not Found
2018-05-31,8.61260869565217,
2018-06-30,10.437619047619,
2018-07-31,9.97227272727273,
2018-08-31,10.5904347826087,
2018-09-30,11.0905,
2018-10-31,10.035652173913,
2018-11-30,9.77727272727273,
2018-12-31,8.95190476190476,
2019-01-31,8.28565217391304,
2019-02-28,6.501,
2019-03-31,5.2452380952381,
2019-04-30,5.0797619047619,
2019-05-31,5.03326086956522,
2019-06-30,4.38925,
2019-07-31,4.41934782608696,
2019-08-31,4.28022727272727,
2019-09-30,5.05452380952381,
2019-10-31,6.01739130434783,
2019-11-30,5.45642857142857,
2019-12-31,5.57340909090909,
2020-01-31,4.91369565217391,
2020-02-29,2.92025,
