Date,ODA/PFISH_USD - Value,ODA/PFISH_USD - Not Found
2014-01-31,1586.17,
2014-02-28,1658.39,
2014-03-31,1729.28,
2014-04-30,1763.83,
2014-05-31,1820.16,
2014-06-30,2000.88,
2014-07-31,2048.97,
2014-08-31,2000.09,
2014-09-30,1871.81,
2014-10-31,1985.42,
2014-11-30,2204.08,
2014-12-31,2388.57,
2015-01-31,2169.83,
2015-02-28,2028.45,
2015-03-31,1897.3,
2015-04-30,1854.61,
2015-05-31,1728.81,
2015-06-30,1649.19,
2015-07-31,1556.97,
2015-08-31,1552.02,
2015-09-30,1567.7,
2015-10-31,1647.57,
2015-11-30,1753.72,
2015-12-31,1704.36,
2016-01-31,1555.3,
2016-02-29,1455.94,
2016-03-31,1387.81,
2016-04-30,1428.94,
2016-05-31,1528.42,
2016-06-30,1577.25,
2016-07-31,1403.44,
2016-08-31,1427.45,
2016-09-30,1398.29,
2016-10-31,1296.28,
2016-11-30,1280.58,
2016-12-31,1281.75,
2017-01-31,1224.7,
2017-02-28,1125.47,
2017-03-31,1068.95,
2017-04-30,1094.73,
2017-05-31,1120.36,
2017-06-30,1092.07,
