Date,SPDR S&P International Small Cap_etf_Open_average,SPDR S&P International Small Cap_etf_Open_max,SPDR S&P International Small Cap_etf_Open_min,SPDR S&P International Small Cap_etf_Open_volatility,SPDR S&P International Small Cap_etf_Open_change,SPDR S&P International Small Cap_etf_High_average,SPDR S&P International Small Cap_etf_High_max,SPDR S&P International Small Cap_etf_High_min,SPDR S&P International Small Cap_etf_High_volatility,SPDR S&P International Small Cap_etf_High_change,SPDR S&P International Small Cap_etf_Low_average,SPDR S&P International Small Cap_etf_Low_max,SPDR S&P International Small Cap_etf_Low_min,SPDR S&P International Small Cap_etf_Low_volatility,SPDR S&P International Small Cap_etf_Low_change,SPDR S&P International Small Cap_etf_Close_average,SPDR S&P International Small Cap_etf_Close_max,SPDR S&P International Small Cap_etf_Close_min,SPDR S&P International Small Cap_etf_Close_volatility,SPDR S&P International Small Cap_etf_Close_change
2017-02-19,31.0,31.0,31.0,0.0,0.0,31.04,31.04,31.04,0.0,0.0,30.93,30.93,30.93,0.0,0.0,31.02,31.02,31.02,0.0,0.0
2017-02-26,30.79,30.79,30.79,0.0,0.0,30.89,30.89,30.89,0.0,0.0,30.69,30.69,30.69,0.0,0.0,30.83,30.83,30.83,0.0,0.0
2017-03-05,30.75,30.75,30.75,0.0,0.0,30.88,30.88,30.88,0.0,0.0,30.7,30.7,30.7,0.0,0.0,30.84,30.84,30.84,0.0,0.0
2017-03-12,31.38,31.38,31.38,0.0,0.0,31.48,31.48,31.48,0.0,0.0,31.34,31.34,31.34,0.0,0.0,31.42,31.42,31.42,0.0,0.0
2017-03-19,31.44,31.44,31.44,0.0,0.0,31.55,31.55,31.55,0.0,0.0,31.44,31.44,31.44,0.0,0.0,31.5,31.5,31.5,0.0,0.0
2017-03-26,31.47,31.47,31.47,0.0,0.0,31.58,31.58,31.58,0.0,0.0,31.42,31.42,31.42,0.0,0.0,31.52,31.52,31.52,0.0,0.0
2017-04-02,31.35,31.35,31.35,0.0,0.0,31.39,31.39,31.39,0.0,0.0,31.28,31.28,31.28,0.0,0.0,31.32,31.32,31.32,0.0,0.0
2017-04-09,31.33,31.33,31.33,0.0,0.0,31.38,31.38,31.38,0.0,0.0,31.19,31.19,31.19,0.0,0.0,31.19,31.19,31.19,0.0,0.0
2017-04-16,31.52,31.52,31.52,0.0,0.0,31.57,31.57,31.57,0.0,0.0,31.48,31.48,31.48,0.0,0.0,31.53,31.53,31.53,0.0,0.0
2017-04-23,32.11,32.11,32.11,0.0,0.0,32.17,32.17,32.17,0.0,0.0,32.1,32.1,32.1,0.0,0.0,32.16,32.16,32.16,0.0,0.0
2017-04-30,32.27,32.27,32.27,0.0,0.0,32.5,32.5,32.5,0.0,0.0,32.27,32.27,32.27,0.0,0.0,32.5,32.5,32.5,0.0,0.0
2017-05-07,32.5,32.5,32.5,0.0,0.0,32.58,32.58,32.58,0.0,0.0,32.47,32.47,32.47,0.0,0.0,32.53,32.53,32.53,0.0,0.0
2017-05-14,32.69,32.69,32.69,0.0,0.0,32.89,32.89,32.89,0.0,0.0,32.66,32.66,32.66,0.0,0.0,32.86,32.86,32.86,0.0,0.0
2017-05-21,32.85,32.85,32.85,0.0,0.0,32.95,32.95,32.95,0.0,0.0,32.85,32.85,32.85,0.0,0.0,32.92,32.92,32.92,0.0,0.0
2017-05-28,33.35,33.35,33.35,0.0,0.0,33.52,33.52,33.52,0.0,0.0,33.32,33.32,33.32,0.0,0.0,33.47,33.47,33.47,0.0,0.0
2017-06-04,33.2,33.2,33.2,0.0,0.0,33.3,33.3,33.3,0.0,0.0,33.06,33.06,33.06,0.0,0.0,33.14,33.14,33.14,0.0,0.0
2017-06-11,33.11,33.11,33.11,0.0,0.0,33.22,33.22,33.22,0.0,0.0,33.07,33.07,33.07,0.0,0.0,33.2,33.2,33.2,0.0,0.0
2017-06-18,33.15,33.15,33.15,0.0,0.0,33.31,33.31,33.31,0.0,0.0,33.13,33.13,33.13,0.0,0.0,33.25,33.25,33.25,0.0,0.0
2017-06-25,33.3,33.3,33.3,0.0,0.0,33.38,33.38,33.38,0.0,0.0,33.22,33.22,33.22,0.0,0.0,33.36,33.36,33.36,0.0,0.0
2017-07-02,32.93,32.93,32.93,0.0,0.0,33.01,33.01,33.01,0.0,0.0,32.84,32.84,32.84,0.0,0.0,32.95,32.95,32.95,0.0,0.0
2017-07-09,33.59,33.59,33.59,0.0,0.0,33.73,33.73,33.73,0.0,0.0,33.5,33.5,33.5,0.0,0.0,33.71,33.71,33.71,0.0,0.0
2017-07-16,34.07,34.07,34.07,0.0,0.0,34.17,34.17,34.17,0.0,0.0,34.02,34.02,34.02,0.0,0.0,34.16,34.16,34.16,0.0,0.0
2017-07-23,34.23,34.23,34.23,0.0,0.0,34.33,34.33,34.33,0.0,0.0,34.21,34.21,34.21,0.0,0.0,34.28,34.28,34.28,0.0,0.0
2017-07-30,34.4,34.4,34.4,0.0,0.0,34.4,34.4,34.4,0.0,0.0,34.24,34.24,34.24,0.0,0.0,34.39,34.39,34.39,0.0,0.0
2017-08-06,33.77,33.77,33.77,0.0,0.0,33.88,33.88,33.88,0.0,0.0,33.73,33.73,33.73,0.0,0.0,33.81,33.81,33.81,0.0,0.0
2017-08-13,33.87,33.87,33.87,0.0,0.0,33.97,33.97,33.97,0.0,0.0,33.84,33.84,33.84,0.0,0.0,33.89,33.89,33.89,0.0,0.0
2017-08-20,34.08,34.08,34.08,0.0,0.0,34.33,34.33,34.33,0.0,0.0,34.08,34.08,34.08,0.0,0.0,34.22,34.22,34.22,0.0,0.0
2017-08-27,34.66,34.66,34.66,0.0,0.0,34.66,34.66,34.66,0.0,0.0,34.49,34.49,34.49,0.0,0.0,34.58,34.58,34.58,0.0,0.0
2017-09-03,34.77,34.77,34.77,0.0,0.0,34.78,34.78,34.78,0.0,0.0,34.68,34.68,34.68,0.0,0.0,34.74,34.74,34.74,0.0,0.0
2017-09-10,34.86,34.86,34.86,0.0,0.0,34.92,34.92,34.92,0.0,0.0,34.81,34.81,34.81,0.0,0.0,34.92,34.92,34.92,0.0,0.0
2017-09-17,34.82,34.82,34.82,0.0,0.0,34.84,34.84,34.84,0.0,0.0,34.73,34.73,34.73,0.0,0.0,34.81,34.81,34.81,0.0,0.0
2017-09-24,34.94,34.94,34.94,0.0,0.0,35.06,35.06,35.06,0.0,0.0,34.86,34.86,34.86,0.0,0.0,35.02,35.02,35.02,0.0,0.0
2017-10-01,34.88,34.88,34.88,0.0,0.0,34.95,34.95,34.95,0.0,0.0,34.74,34.74,34.74,0.0,0.0,34.91,34.91,34.91,0.0,0.0
2017-10-08,35.44,35.44,35.44,0.0,0.0,35.51,35.51,35.51,0.0,0.0,35.41,35.41,35.41,0.0,0.0,35.44,35.44,35.44,0.0,0.0
2017-10-15,35.13,35.13,35.13,0.0,0.0,35.14,35.14,35.14,0.0,0.0,35.06,35.06,35.06,0.0,0.0,35.1,35.1,35.1,0.0,0.0
2017-10-22,35.1,35.1,35.1,0.0,0.0,35.24,35.24,35.24,0.0,0.0,35.01,35.01,35.01,0.0,0.0,35.23,35.23,35.23,0.0,0.0
2017-10-29,35.64,35.64,35.64,0.0,0.0,35.83,35.83,35.83,0.0,0.0,35.57,35.57,35.57,0.0,0.0,35.7,35.7,35.7,0.0,0.0
2017-11-05,35.68,35.68,35.68,0.0,0.0,35.74,35.74,35.74,0.0,0.0,35.59,35.59,35.59,0.0,0.0,35.64,35.64,35.64,0.0,0.0
2017-11-12,35.55,35.55,35.55,0.0,0.0,35.57,35.57,35.57,0.0,0.0,35.45,35.45,35.45,0.0,0.0,35.54,35.54,35.54,0.0,0.0
2017-11-19,36.45,36.45,36.45,0.0,0.0,36.59,36.59,36.59,0.0,0.0,36.45,36.45,36.45,0.0,0.0,36.49,36.49,36.49,0.0,0.0
2017-11-26,36.39,36.39,36.39,0.0,0.0,36.46,36.46,36.46,0.0,0.0,36.23,36.23,36.23,0.0,0.0,36.34,36.34,36.34,0.0,0.0
2017-12-03,35.9,35.9,35.9,0.0,0.0,35.95,35.95,35.95,0.0,0.0,35.83,35.83,35.83,0.0,0.0,35.9,35.9,35.9,0.0,0.0
2017-12-10,34.49,34.49,34.49,0.0,0.0,34.59,34.59,34.59,0.0,0.0,34.35,34.35,34.35,0.0,0.0,34.45,34.45,34.45,0.0,0.0
2017-12-17,34.9,34.9,34.9,0.0,0.0,34.95,34.95,34.95,0.0,0.0,34.78,34.78,34.78,0.0,0.0,34.94,34.94,34.94,0.0,0.0
2017-12-24,35.7,35.7,35.7,0.0,0.0,35.74,35.74,35.74,0.0,0.0,35.48,35.48,35.48,0.0,0.0,35.48,35.48,35.48,0.0,0.0
2017-12-31,36.37,36.37,36.37,0.0,0.0,36.48,36.48,36.48,0.0,0.0,36.33,36.33,36.33,0.0,0.0,36.46,36.46,36.46,0.0,0.0
