Date,PowerShares High Yield Equity Dividend Achievers P_etf_Open_average,PowerShares High Yield Equity Dividend Achievers P_etf_Open_max,PowerShares High Yield Equity Dividend Achievers P_etf_Open_min,PowerShares High Yield Equity Dividend Achievers P_etf_Open_volatility,PowerShares High Yield Equity Dividend Achievers P_etf_Open_change,PowerShares High Yield Equity Dividend Achievers P_etf_High_average,PowerShares High Yield Equity Dividend Achievers P_etf_High_max,PowerShares High Yield Equity Dividend Achievers P_etf_High_min,PowerShares High Yield Equity Dividend Achievers P_etf_High_volatility,PowerShares High Yield Equity Dividend Achievers P_etf_High_change,PowerShares High Yield Equity Dividend Achievers P_etf_Low_average,PowerShares High Yield Equity Dividend Achievers P_etf_Low_max,PowerShares High Yield Equity Dividend Achievers P_etf_Low_min,PowerShares High Yield Equity Dividend Achievers P_etf_Low_volatility,PowerShares High Yield Equity Dividend Achievers P_etf_Low_change,PowerShares High Yield Equity Dividend Achievers P_etf_Close_average,PowerShares High Yield Equity Dividend Achievers P_etf_Close_max,PowerShares High Yield Equity Dividend Achievers P_etf_Close_min,PowerShares High Yield Equity Dividend Achievers P_etf_Close_volatility,PowerShares High Yield Equity Dividend Achievers P_etf_Close_change
2016-07-24,15.81,15.81,15.81,0.0,0.0,15.91,15.91,15.91,0.0,0.0,15.75,15.75,15.75,0.0,0.0,15.89,15.89,15.89,0.0,0.0
2016-07-31,15.74,15.74,15.74,0.0,0.0,15.86,15.86,15.86,0.0,0.0,15.66,15.66,15.66,0.0,0.0,15.82,15.82,15.82,0.0,0.0
2016-08-07,15.83,15.83,15.83,0.0,0.0,15.88,15.88,15.88,0.0,0.0,15.8,15.8,15.8,0.0,0.0,15.8,15.8,15.8,0.0,0.0
2016-08-14,15.91,15.91,15.91,0.0,0.0,15.91,15.91,15.91,0.0,0.0,15.82,15.82,15.82,0.0,0.0,15.87,15.87,15.87,0.0,0.0
2016-08-21,15.89,15.89,15.89,0.0,0.0,15.99,15.99,15.99,0.0,0.0,15.71,15.71,15.71,0.0,0.0,15.77,15.77,15.77,0.0,0.0
2016-08-28,15.74,15.74,15.74,0.0,0.0,15.86,15.86,15.86,0.0,0.0,15.74,15.74,15.74,0.0,0.0,15.86,15.86,15.86,0.0,0.0
2016-09-04,15.89,15.89,15.89,0.0,0.0,15.89,15.89,15.89,0.0,0.0,15.48,15.48,15.48,0.0,0.0,15.48,15.48,15.48,0.0,0.0
2016-09-11,15.34,15.34,15.34,0.0,0.0,15.41,15.41,15.41,0.0,0.0,15.27,15.27,15.27,0.0,0.0,15.38,15.38,15.38,0.0,0.0
2016-09-18,15.8,15.8,15.8,0.0,0.0,15.84,15.84,15.84,0.0,0.0,15.71,15.71,15.71,0.0,0.0,15.73,15.73,15.73,0.0,0.0
2016-09-25,15.81,15.81,15.81,0.0,0.0,15.94,15.94,15.94,0.0,0.0,15.81,15.81,15.81,0.0,0.0,15.88,15.88,15.88,0.0,0.0
2016-10-02,15.7,15.7,15.7,0.0,0.0,15.73,15.73,15.73,0.0,0.0,15.55,15.55,15.55,0.0,0.0,15.62,15.62,15.62,0.0,0.0
2016-10-09,15.55,15.55,15.55,0.0,0.0,15.63,15.63,15.63,0.0,0.0,15.49,15.49,15.49,0.0,0.0,15.5,15.5,15.5,0.0,0.0
2016-10-16,15.48,15.48,15.48,0.0,0.0,15.53,15.53,15.53,0.0,0.0,15.43,15.43,15.43,0.0,0.0,15.5,15.5,15.5,0.0,0.0
2016-10-23,15.39,15.39,15.39,0.0,0.0,15.51,15.51,15.51,0.0,0.0,15.35,15.35,15.35,0.0,0.0,15.38,15.38,15.38,0.0,0.0
2016-10-30,15.28,15.28,15.28,0.0,0.0,15.35,15.35,15.35,0.0,0.0,15.24,15.24,15.24,0.0,0.0,15.25,15.25,15.25,0.0,0.0
2016-11-06,15.79,15.79,15.79,0.0,0.0,15.85,15.85,15.85,0.0,0.0,15.74,15.74,15.74,0.0,0.0,15.85,15.85,15.85,0.0,0.0
2016-11-13,16.16,16.16,16.16,0.0,0.0,16.17,16.17,16.17,0.0,0.0,16.06,16.06,16.06,0.0,0.0,16.13,16.13,16.13,0.0,0.0
2016-11-20,16.38,16.38,16.38,0.0,0.0,16.47,16.47,16.47,0.0,0.0,16.38,16.38,16.38,0.0,0.0,16.47,16.47,16.47,0.0,0.0
2016-11-27,16.39,16.39,16.39,0.0,0.0,16.47,16.47,16.47,0.0,0.0,16.36,16.36,16.36,0.0,0.0,16.41,16.41,16.41,0.0,0.0
2016-12-04,17.07,17.07,17.07,0.0,0.0,17.15,17.15,17.15,0.0,0.0,17.0,17.0,17.0,0.0,0.0,17.15,17.15,17.15,0.0,0.0
2016-12-11,17.07,17.07,17.07,0.0,0.0,17.07,17.07,17.07,0.0,0.0,16.92,16.92,16.92,0.0,0.0,16.94,16.94,16.94,0.0,0.0
2016-12-18,17.03,17.03,17.03,0.0,0.0,17.1,17.1,17.1,0.0,0.0,17.01,17.01,17.01,0.0,0.0,17.06,17.06,17.06,0.0,0.0
2016-12-25,17.04,17.04,17.04,0.0,0.0,17.06,17.06,17.06,0.0,0.0,16.89,16.89,16.89,0.0,0.0,16.93,16.93,16.93,0.0,0.0
2017-01-01,17.02,17.02,17.02,0.0,0.0,17.07,17.07,17.07,0.0,0.0,16.96,16.96,16.96,0.0,0.0,17.02,17.02,17.02,0.0,0.0
2017-01-08,16.94,16.94,16.94,0.0,0.0,16.99,16.99,16.99,0.0,0.0,16.9,16.9,16.9,0.0,0.0,16.95,16.95,16.95,0.0,0.0
2017-01-15,16.93,16.93,16.93,0.0,0.0,17.06,17.06,17.06,0.0,0.0,16.93,16.93,16.93,0.0,0.0,17.01,17.01,17.01,0.0,0.0
2017-01-22,17.15,17.15,17.15,0.0,0.0,17.15,17.15,17.15,0.0,0.0,17.02,17.02,17.02,0.0,0.0,17.07,17.07,17.07,0.0,0.0
2017-01-29,16.91,16.91,16.91,0.0,0.0,17.06,17.06,17.06,0.0,0.0,16.91,16.91,16.91,0.0,0.0,17.02,17.02,17.02,0.0,0.0
2017-02-05,17.12,17.12,17.12,0.0,0.0,17.14,17.14,17.14,0.0,0.0,17.09,17.09,17.09,0.0,0.0,17.12,17.12,17.12,0.0,0.0
2017-02-12,17.02,17.02,17.02,0.0,0.0,17.07,17.07,17.07,0.0,0.0,16.95,16.95,16.95,0.0,0.0,17.03,17.03,17.03,0.0,0.0
2017-02-19,17.08,17.08,17.08,0.0,0.0,17.22,17.22,17.22,0.0,0.0,17.08,17.08,17.08,0.0,0.0,17.21,17.21,17.21,0.0,0.0
2017-02-26,17.26,17.26,17.26,0.0,0.0,17.27,17.27,17.27,0.0,0.0,17.15,17.15,17.15,0.0,0.0,17.24,17.24,17.24,0.0,0.0
2017-03-05,17.01,17.01,17.01,0.0,0.0,17.05,17.05,17.05,0.0,0.0,16.93,16.93,16.93,0.0,0.0,17.04,17.04,17.04,0.0,0.0
2017-03-12,17.02,17.02,17.02,0.0,0.0,17.11,17.11,17.11,0.0,0.0,17.02,17.02,17.02,0.0,0.0,17.05,17.05,17.05,0.0,0.0
2017-03-19,16.91,16.91,16.91,0.0,0.0,16.98,16.98,16.98,0.0,0.0,16.86,16.86,16.86,0.0,0.0,16.91,16.91,16.91,0.0,0.0
2017-03-26,17.05,17.05,17.05,0.0,0.0,17.13,17.13,17.13,0.0,0.0,17.05,17.05,17.05,0.0,0.0,17.07,17.07,17.07,0.0,0.0
2017-04-02,17.01,17.01,17.01,0.0,0.0,17.08,17.08,17.08,0.0,0.0,17.0,17.0,17.0,0.0,0.0,17.0,17.0,17.0,0.0,0.0
2017-04-09,16.95,16.95,16.95,0.0,0.0,16.95,16.95,16.95,0.0,0.0,16.83,16.83,16.83,0.0,0.0,16.83,16.83,16.83,0.0,0.0
2017-04-16,16.95,16.95,16.95,0.0,0.0,16.99,16.99,16.99,0.0,0.0,16.93,16.93,16.93,0.0,0.0,16.96,16.96,16.96,0.0,0.0
2017-04-23,17.16,17.16,17.16,0.0,0.0,17.16,17.16,17.16,0.0,0.0,17.0,17.0,17.0,0.0,0.0,17.0,17.0,17.0,0.0,0.0
2017-04-30,16.8,16.8,16.8,0.0,0.0,16.94,16.94,16.94,0.0,0.0,16.8,16.8,16.8,0.0,0.0,16.93,16.93,16.93,0.0,0.0
2017-05-07,16.8,16.8,16.8,0.0,0.0,16.8,16.8,16.8,0.0,0.0,16.74,16.74,16.74,0.0,0.0,16.75,16.75,16.75,0.0,0.0
2017-05-14,16.6,16.6,16.6,0.0,0.0,16.71,16.71,16.71,0.0,0.0,16.55,16.55,16.55,0.0,0.0,16.67,16.67,16.67,0.0,0.0
2017-05-21,16.8,16.8,16.8,0.0,0.0,16.85,16.85,16.85,0.0,0.0,16.8,16.8,16.8,0.0,0.0,16.83,16.83,16.83,0.0,0.0
2017-05-28,17.02,17.02,17.02,0.0,0.0,17.06,17.06,17.06,0.0,0.0,16.98,16.98,16.98,0.0,0.0,17.0,17.0,17.0,0.0,0.0
2017-06-04,16.9,16.9,16.9,0.0,0.0,17.08,17.08,17.08,0.0,0.0,16.9,16.9,16.9,0.0,0.0,17.07,17.07,17.07,0.0,0.0
2017-06-11,17.07,17.07,17.07,0.0,0.0,17.13,17.13,17.13,0.0,0.0,16.99,16.99,16.99,0.0,0.0,17.13,17.13,17.13,0.0,0.0
2017-06-18,16.81,16.81,16.81,0.0,0.0,16.9,16.9,16.9,0.0,0.0,16.81,16.81,16.81,0.0,0.0,16.86,16.86,16.86,0.0,0.0
2017-06-25,16.89,16.89,16.89,0.0,0.0,16.91,16.91,16.91,0.0,0.0,16.8,16.8,16.8,0.0,0.0,16.83,16.83,16.83,0.0,0.0
2017-07-02,16.71,16.71,16.71,0.0,0.0,16.74,16.74,16.74,0.0,0.0,16.65,16.65,16.65,0.0,0.0,16.72,16.72,16.72,0.0,0.0
2017-07-09,16.68,16.68,16.68,0.0,0.0,16.78,16.78,16.78,0.0,0.0,16.68,16.68,16.68,0.0,0.0,16.74,16.74,16.74,0.0,0.0
2017-07-16,16.95,16.95,16.95,0.0,0.0,16.97,16.97,16.97,0.0,0.0,16.91,16.91,16.91,0.0,0.0,16.96,16.96,16.96,0.0,0.0
2017-07-23,17.11,17.11,17.11,0.0,0.0,17.12,17.12,17.12,0.0,0.0,16.99,16.99,16.99,0.0,0.0,17.04,17.04,17.04,0.0,0.0
2017-07-30,17.02,17.02,17.02,0.0,0.0,17.05,17.05,17.05,0.0,0.0,16.98,16.98,16.98,0.0,0.0,17.03,17.03,17.03,0.0,0.0
2017-08-06,16.74,16.74,16.74,0.0,0.0,16.77,16.77,16.77,0.0,0.0,16.71,16.71,16.71,0.0,0.0,16.74,16.74,16.74,0.0,0.0
2017-08-13,16.55,16.55,16.55,0.0,0.0,16.64,16.64,16.64,0.0,0.0,16.52,16.52,16.52,0.0,0.0,16.57,16.57,16.57,0.0,0.0
2017-08-20,16.7,16.7,16.7,0.0,0.0,16.82,16.82,16.82,0.0,0.0,16.7,16.7,16.7,0.0,0.0,16.76,16.76,16.76,0.0,0.0
2017-08-27,16.73,16.73,16.73,0.0,0.0,16.81,16.81,16.81,0.0,0.0,16.73,16.73,16.73,0.0,0.0,16.81,16.81,16.81,0.0,0.0
2017-09-03,16.74,16.74,16.74,0.0,0.0,16.83,16.83,16.83,0.0,0.0,16.72,16.72,16.72,0.0,0.0,16.81,16.81,16.81,0.0,0.0
2017-09-10,17.1,17.1,17.1,0.0,0.0,17.17,17.17,17.17,0.0,0.0,17.1,17.1,17.1,0.0,0.0,17.17,17.17,17.17,0.0,0.0
2017-09-17,16.96,16.96,16.96,0.0,0.0,17.02,17.02,17.02,0.0,0.0,16.96,16.96,16.96,0.0,0.0,16.97,16.97,16.97,0.0,0.0
2017-09-24,17.21,17.21,17.21,0.0,0.0,17.21,17.21,17.21,0.0,0.0,17.14,17.14,17.14,0.0,0.0,17.15,17.15,17.15,0.0,0.0
2017-10-01,17.25,17.25,17.25,0.0,0.0,17.25,17.25,17.25,0.0,0.0,17.21,17.21,17.21,0.0,0.0,17.22,17.22,17.22,0.0,0.0
2017-10-08,17.36,17.36,17.36,0.0,0.0,17.43,17.43,17.43,0.0,0.0,17.34,17.34,17.34,0.0,0.0,17.36,17.36,17.36,0.0,0.0
2017-10-15,17.47,17.47,17.47,0.0,0.0,17.51,17.51,17.51,0.0,0.0,17.47,17.47,17.47,0.0,0.0,17.51,17.51,17.51,0.0,0.0
2017-10-22,17.32,17.32,17.32,0.0,0.0,17.34,17.34,17.34,0.0,0.0,17.19,17.19,17.19,0.0,0.0,17.33,17.33,17.33,0.0,0.0
2017-10-29,17.16,17.16,17.16,0.0,0.0,17.25,17.25,17.25,0.0,0.0,17.15,17.15,17.15,0.0,0.0,17.2,17.2,17.2,0.0,0.0
2017-11-05,17.18,17.18,17.18,0.0,0.0,17.23,17.23,17.23,0.0,0.0,17.18,17.18,17.18,0.0,0.0,17.22,17.22,17.22,0.0,0.0
2017-11-12,17.24,17.24,17.24,0.0,0.0,17.27,17.27,17.27,0.0,0.0,17.21,17.21,17.21,0.0,0.0,17.24,17.24,17.24,0.0,0.0
2017-11-19,17.32,17.32,17.32,0.0,0.0,17.33,17.33,17.33,0.0,0.0,17.26,17.26,17.26,0.0,0.0,17.26,17.26,17.26,0.0,0.0
2017-11-26,17.87,17.87,17.87,0.0,0.0,17.87,17.87,17.87,0.0,0.0,17.59,17.59,17.59,0.0,0.0,17.82,17.82,17.82,0.0,0.0
2017-12-03,17.93,17.93,17.93,0.0,0.0,17.93,17.93,17.93,0.0,0.0,17.84,17.84,17.84,0.0,0.0,17.91,17.91,17.91,0.0,0.0
2017-12-10,17.81,17.81,17.81,0.0,0.0,17.98,17.98,17.98,0.0,0.0,17.81,17.81,17.81,0.0,0.0,17.89,17.89,17.89,0.0,0.0
2017-12-17,17.75,17.75,17.75,0.0,0.0,17.82,17.82,17.82,0.0,0.0,17.73,17.73,17.73,0.0,0.0,17.81,17.81,17.81,0.0,0.0
2017-12-24,17.89,17.89,17.89,0.0,0.0,17.92,17.92,17.92,0.0,0.0,17.81,17.81,17.81,0.0,0.0,17.81,17.81,17.81,0.0,0.0
2017-12-31,17.96,17.96,17.96,0.0,0.0,17.99,17.99,17.99,0.0,0.0,17.9,17.9,17.9,0.0,0.0,17.97,17.97,17.97,0.0,0.0
