Date,iShares Core S&P Total US Stock Market_etf_Open_average,iShares Core S&P Total US Stock Market_etf_Open_max,iShares Core S&P Total US Stock Market_etf_Open_min,iShares Core S&P Total US Stock Market_etf_Open_volatility,iShares Core S&P Total US Stock Market_etf_Open_change,iShares Core S&P Total US Stock Market_etf_High_average,iShares Core S&P Total US Stock Market_etf_High_max,iShares Core S&P Total US Stock Market_etf_High_min,iShares Core S&P Total US Stock Market_etf_High_volatility,iShares Core S&P Total US Stock Market_etf_High_change,iShares Core S&P Total US Stock Market_etf_Low_average,iShares Core S&P Total US Stock Market_etf_Low_max,iShares Core S&P Total US Stock Market_etf_Low_min,iShares Core S&P Total US Stock Market_etf_Low_volatility,iShares Core S&P Total US Stock Market_etf_Low_change,iShares Core S&P Total US Stock Market_etf_Close_average,iShares Core S&P Total US Stock Market_etf_Close_max,iShares Core S&P Total US Stock Market_etf_Close_min,iShares Core S&P Total US Stock Market_etf_Close_volatility,iShares Core S&P Total US Stock Market_etf_Close_change
2016-04-10,47.19,47.19,47.19,0.0,0.0,47.21,47.21,47.21,0.0,0.0,47.05,47.05,47.05,0.0,0.0,47.16,47.16,47.16,0.0,0.0
2016-04-17,47.33,47.33,47.33,0.0,0.0,47.52,47.52,47.52,0.0,0.0,47.21,47.21,47.21,0.0,0.0,47.49,47.49,47.49,0.0,0.0
2016-04-24,47.06,47.06,47.06,0.0,0.0,47.1,47.1,47.1,0.0,0.0,46.6,46.6,46.6,0.0,0.0,46.9,46.9,46.9,0.0,0.0
2016-05-01,46.32,46.32,46.32,0.0,0.0,46.67,46.67,46.67,0.0,0.0,46.23,46.23,46.23,0.0,0.0,46.64,46.64,46.64,0.0,0.0
2016-05-08,46.7,46.7,46.7,0.0,0.0,46.86,46.86,46.86,0.0,0.0,46.33,46.33,46.33,0.0,0.0,46.41,46.41,46.41,0.0,0.0
2016-05-15,46.41,46.41,46.41,0.0,0.0,46.74,46.74,46.74,0.0,0.0,46.41,46.41,46.41,0.0,0.0,46.63,46.63,46.63,0.0,0.0
2016-05-22,47.54,47.54,47.54,0.0,0.0,47.75,47.75,47.75,0.0,0.0,47.54,47.54,47.54,0.0,0.0,47.75,47.75,47.75,0.0,0.0
2016-05-29,47.91,47.91,47.91,0.0,0.0,47.98,47.98,47.98,0.0,0.0,47.54,47.54,47.54,0.0,0.0,47.86,47.86,47.86,0.0,0.0
2016-06-05,47.97,47.97,47.97,0.0,0.0,47.99,47.99,47.99,0.0,0.0,47.65,47.65,47.65,0.0,0.0,47.79,47.79,47.79,0.0,0.0
2016-06-12,47.42,47.42,47.42,0.0,0.0,47.42,47.42,47.42,0.0,0.0,47.05,47.05,47.05,0.0,0.0,47.22,47.22,47.22,0.0,0.0
2016-06-19,46.35,46.35,46.35,0.0,0.0,47.05,47.05,47.05,0.0,0.0,46.13,46.13,46.13,0.0,0.0,46.25,46.25,46.25,0.0,0.0
2016-06-26,47.57,47.57,47.57,0.0,0.0,47.84,47.84,47.84,0.0,0.0,47.49,47.49,47.49,0.0,0.0,47.72,47.72,47.72,0.0,0.0
2016-07-03,47.94,47.94,47.94,0.0,0.0,48.41,48.41,48.41,0.0,0.0,47.91,47.91,47.91,0.0,0.0,48.34,48.34,48.34,0.0,0.0
2016-07-10,49.28,49.28,49.28,0.0,0.0,49.32,49.32,49.32,0.0,0.0,48.98,48.98,48.98,0.0,0.0,49.1,49.1,49.1,0.0,0.0
2016-07-17,49.2,49.2,49.2,0.0,0.0,49.45,49.45,49.45,0.0,0.0,49.16,49.16,49.16,0.0,0.0,49.45,49.45,49.45,0.0,0.0
2016-07-24,49.35,49.35,49.35,0.0,0.0,49.57,49.57,49.57,0.0,0.0,49.22,49.22,49.22,0.0,0.0,49.46,49.46,49.46,0.0,0.0
2016-07-31,49.5,49.5,49.5,0.0,0.0,49.73,49.73,49.73,0.0,0.0,49.48,49.48,49.48,0.0,0.0,49.72,49.72,49.72,0.0,0.0
2016-08-07,49.68,49.68,49.68,0.0,0.0,49.85,49.85,49.85,0.0,0.0,49.65,49.65,49.65,0.0,0.0,49.77,49.77,49.77,0.0,0.0
2016-08-14,49.83,49.83,49.83,0.0,0.0,49.88,49.88,49.88,0.0,0.0,49.65,49.65,49.65,0.0,0.0,49.83,49.83,49.83,0.0,0.0
2016-08-21,49.68,49.68,49.68,0.0,0.0,49.96,49.96,49.96,0.0,0.0,49.33,49.33,49.33,0.0,0.0,49.54,49.54,49.54,0.0,0.0
2016-08-28,49.84,49.84,49.84,0.0,0.0,50.0,50.0,50.0,0.0,0.0,49.74,49.74,49.74,0.0,0.0,49.91,49.91,49.91,0.0,0.0
2016-09-04,49.62,49.62,49.62,0.0,0.0,49.64,49.64,49.64,0.0,0.0,48.71,48.71,48.71,0.0,0.0,48.71,48.71,48.71,0.0,0.0
2016-09-11,49.0,49.0,49.0,0.0,0.0,49.09,49.09,49.09,0.0,0.0,48.75,48.75,48.75,0.0,0.0,48.92,48.92,48.92,0.0,0.0
2016-09-18,49.83,49.83,49.83,0.0,0.0,49.87,49.87,49.87,0.0,0.0,49.61,49.61,49.61,0.0,0.0,49.62,49.62,49.62,0.0,0.0
2016-09-25,49.32,49.32,49.32,0.0,0.0,49.63,49.63,49.63,0.0,0.0,49.22,49.22,49.22,0.0,0.0,49.48,49.48,49.48,0.0,0.0
2016-10-02,49.34,49.34,49.34,0.0,0.0,49.44,49.44,49.44,0.0,0.0,48.93,48.93,48.93,0.0,0.0,49.12,49.12,49.12,0.0,0.0
2016-10-09,48.91,48.91,48.91,0.0,0.0,48.99,48.99,48.99,0.0,0.0,48.59,48.59,48.59,0.0,0.0,48.62,48.62,48.62,0.0,0.0
2016-10-16,48.6,48.6,48.6,0.0,0.0,48.83,48.83,48.83,0.0,0.0,48.53,48.53,48.53,0.0,0.0,48.81,48.81,48.81,0.0,0.0
2016-10-23,48.46,48.46,48.46,0.0,0.0,48.73,48.73,48.73,0.0,0.0,48.2,48.2,48.2,0.0,0.0,48.38,48.38,48.38,0.0,0.0
2016-10-30,47.5,47.5,47.5,0.0,0.0,47.75,47.75,47.75,0.0,0.0,47.38,47.38,47.38,0.0,0.0,47.41,47.41,47.41,0.0,0.0
2016-11-06,49.29,49.29,49.29,0.0,0.0,49.55,49.55,49.55,0.0,0.0,49.17,49.17,49.17,0.0,0.0,49.52,49.52,49.52,0.0,0.0
2016-11-13,50.24,50.24,50.24,0.0,0.0,50.25,50.25,50.25,0.0,0.0,50.06,50.06,50.06,0.0,0.0,50.11,50.11,50.11,0.0,0.0
2016-11-20,50.78,50.78,50.78,0.0,0.0,50.85,50.85,50.85,0.0,0.0,50.68,50.68,50.68,0.0,0.0,50.84,50.84,50.84,0.0,0.0
2016-11-27,50.3,50.3,50.3,0.0,0.0,50.48,50.48,50.48,0.0,0.0,50.25,50.25,50.25,0.0,0.0,50.36,50.36,50.36,0.0,0.0
2016-12-04,51.88,51.88,51.88,0.0,0.0,52.03,52.03,52.03,0.0,0.0,51.82,51.82,51.82,0.0,0.0,52.02,52.02,52.02,0.0,0.0
2016-12-11,52.11,52.11,52.11,0.0,0.0,52.12,52.12,52.12,0.0,0.0,51.78,51.78,51.78,0.0,0.0,51.89,51.89,51.89,0.0,0.0
2016-12-18,51.59,51.59,51.59,0.0,0.0,51.78,51.78,51.78,0.0,0.0,51.59,51.59,51.59,0.0,0.0,51.75,51.75,51.75,0.0,0.0
2016-12-25,51.51,51.51,51.51,0.0,0.0,51.55,51.55,51.55,0.0,0.0,51.11,51.11,51.11,0.0,0.0,51.23,51.23,51.23,0.0,0.0
2017-01-01,52.04,52.04,52.04,0.0,0.0,52.25,52.25,52.25,0.0,0.0,51.83,51.83,51.83,0.0,0.0,52.15,52.15,52.15,0.0,0.0
2017-01-08,52.06,52.06,52.06,0.0,0.0,52.22,52.22,52.22,0.0,0.0,52.02,52.02,52.02,0.0,0.0,52.14,52.14,52.14,0.0,0.0
2017-01-15,51.97,51.97,51.97,0.0,0.0,52.13,52.13,52.13,0.0,0.0,51.84,51.84,51.84,0.0,0.0,51.99,51.99,51.99,0.0,0.0
2017-01-22,52.69,52.69,52.69,0.0,0.0,52.69,52.69,52.69,0.0,0.0,52.49,52.49,52.49,0.0,0.0,52.56,52.56,52.56,0.0,0.0
2017-01-29,52.49,52.49,52.49,0.0,0.0,52.7,52.7,52.7,0.0,0.0,52.41,52.41,52.41,0.0,0.0,52.69,52.69,52.69,0.0,0.0
2017-02-05,53.07,53.07,53.07,0.0,0.0,53.24,53.24,53.24,0.0,0.0,53.01,53.01,53.01,0.0,0.0,53.18,53.18,53.18,0.0,0.0
2017-02-12,53.7,53.7,53.7,0.0,0.0,53.94,53.94,53.94,0.0,0.0,53.64,53.64,53.64,0.0,0.0,53.94,53.94,53.94,0.0,0.0
2017-02-19,53.97,53.97,53.97,0.0,0.0,54.24,54.24,54.24,0.0,0.0,53.9,53.9,53.9,0.0,0.0,54.24,54.24,54.24,0.0,0.0
2017-02-26,54.52,54.52,54.52,0.0,0.0,54.61,54.61,54.61,0.0,0.0,54.39,54.39,54.39,0.0,0.0,54.59,54.59,54.59,0.0,0.0
2017-03-05,54.34,54.34,54.34,0.0,0.0,54.34,54.34,54.34,0.0,0.0,54.0,54.0,54.0,0.0,0.0,54.25,54.25,54.25,0.0,0.0
2017-03-12,54.66,54.66,54.66,0.0,0.0,54.66,54.66,54.66,0.0,0.0,54.44,54.44,54.44,0.0,0.0,54.52,54.52,54.52,0.0,0.0
2017-03-19,53.58,53.58,53.58,0.0,0.0,53.7,53.7,53.7,0.0,0.0,53.22,53.22,53.22,0.0,0.0,53.45,53.45,53.45,0.0,0.0
2017-03-26,54.0,54.0,54.0,0.0,0.0,54.13,54.13,54.13,0.0,0.0,53.92,53.92,53.92,0.0,0.0,53.97,53.97,53.97,0.0,0.0
2017-04-02,53.76,53.76,53.76,0.0,0.0,53.95,53.95,53.95,0.0,0.0,53.64,53.64,53.64,0.0,0.0,53.79,53.79,53.79,0.0,0.0
2017-04-09,53.46,53.46,53.46,0.0,0.0,53.61,53.61,53.61,0.0,0.0,53.15,53.15,53.15,0.0,0.0,53.15,53.15,53.15,0.0,0.0
2017-04-16,53.9,53.9,53.9,0.0,0.0,53.91,53.91,53.91,0.0,0.0,53.64,53.64,53.64,0.0,0.0,53.76,53.76,53.76,0.0,0.0
2017-04-23,54.81,54.81,54.81,0.0,0.0,54.81,54.81,54.81,0.0,0.0,54.49,54.49,54.49,0.0,0.0,54.51,54.51,54.51,0.0,0.0
2017-04-30,54.67,54.67,54.67,0.0,0.0,54.83,54.83,54.83,0.0,0.0,54.56,54.56,54.56,0.0,0.0,54.82,54.82,54.82,0.0,0.0
2017-05-07,54.66,54.66,54.66,0.0,0.0,54.66,54.66,54.66,0.0,0.0,54.5,54.5,54.5,0.0,0.0,54.62,54.62,54.62,0.0,0.0
2017-05-14,54.2,54.2,54.2,0.0,0.0,54.59,54.59,54.59,0.0,0.0,54.14,54.14,54.14,0.0,0.0,54.41,54.41,54.41,0.0,0.0
2017-05-21,55.18,55.18,55.18,0.0,0.0,55.22,55.22,55.22,0.0,0.0,55.1,55.1,55.1,0.0,0.0,55.19,55.19,55.19,0.0,0.0
2017-05-28,55.62,55.62,55.62,0.0,0.0,55.86,55.86,55.86,0.0,0.0,55.53,55.53,55.53,0.0,0.0,55.78,55.78,55.78,0.0,0.0
2017-06-04,55.84,55.84,55.84,0.0,0.0,56.05,56.05,56.05,0.0,0.0,55.34,55.34,55.34,0.0,0.0,55.68,55.68,55.68,0.0,0.0
2017-06-11,55.76,55.76,55.76,0.0,0.0,55.76,55.76,55.76,0.0,0.0,55.47,55.47,55.47,0.0,0.0,55.72,55.72,55.72,0.0,0.0
2017-06-18,55.72,55.72,55.72,0.0,0.0,55.92,55.92,55.92,0.0,0.0,55.65,55.65,55.65,0.0,0.0,55.88,55.88,55.88,0.0,0.0
2017-06-25,55.5,55.5,55.5,0.0,0.0,55.56,55.56,55.56,0.0,0.0,55.29,55.29,55.29,0.0,0.0,55.36,55.36,55.36,0.0,0.0
2017-07-02,55.16,55.16,55.16,0.0,0.0,55.44,55.44,55.44,0.0,0.0,55.1,55.1,55.1,0.0,0.0,55.4,55.4,55.4,0.0,0.0
2017-07-09,55.93,55.93,55.93,0.0,0.0,56.27,56.27,56.27,0.0,0.0,55.88,55.88,55.88,0.0,0.0,56.18,56.18,56.18,0.0,0.0
2017-07-16,56.46,56.46,56.46,0.0,0.0,56.49,56.49,56.49,0.0,0.0,56.34,56.34,56.34,0.0,0.0,56.49,56.49,56.49,0.0,0.0
2017-07-23,56.39,56.39,56.39,0.0,0.0,56.47,56.47,56.47,0.0,0.0,56.28,56.28,56.28,0.0,0.0,56.45,56.45,56.45,0.0,0.0
2017-07-30,56.48,56.48,56.48,0.0,0.0,56.52,56.52,56.52,0.0,0.0,56.37,56.37,56.37,0.0,0.0,56.47,56.47,56.47,0.0,0.0
2017-08-06,55.58,55.58,55.58,0.0,0.0,55.79,55.79,55.79,0.0,0.0,55.52,55.52,55.52,0.0,0.0,55.63,55.63,55.63,0.0,0.0
2017-08-13,55.31,55.31,55.31,0.0,0.0,55.57,55.57,55.57,0.0,0.0,55.14,55.14,55.14,0.0,0.0,55.29,55.29,55.29,0.0,0.0
2017-08-20,55.83,55.83,55.83,0.0,0.0,55.98,55.98,55.98,0.0,0.0,55.72,55.72,55.72,0.0,0.0,55.77,55.77,55.77,0.0,0.0
2017-08-27,56.6,56.6,56.6,0.0,0.0,56.69,56.69,56.69,0.0,0.0,56.55,56.55,56.55,0.0,0.0,56.64,56.64,56.64,0.0,0.0
2017-09-03,56.24,56.24,56.24,0.0,0.0,56.36,56.36,56.36,0.0,0.0,56.18,56.18,56.18,0.0,0.0,56.24,56.24,56.24,0.0,0.0
2017-09-10,57.1,57.1,57.1,0.0,0.0,57.22,57.22,57.22,0.0,0.0,57.05,57.05,57.05,0.0,0.0,57.19,57.19,57.19,0.0,0.0
2017-09-17,57.25,57.25,57.25,0.0,0.0,57.39,57.39,57.39,0.0,0.0,57.25,57.25,57.25,0.0,0.0,57.36,57.36,57.36,0.0,0.0
2017-09-24,57.43,57.43,57.43,0.0,0.0,57.62,57.62,57.62,0.0,0.0,57.39,57.39,57.39,0.0,0.0,57.57,57.57,57.57,0.0,0.0
2017-10-01,58.32,58.32,58.32,0.0,0.0,58.35,58.35,58.35,0.0,0.0,58.21,58.21,58.21,0.0,0.0,58.35,58.35,58.35,0.0,0.0
2017-10-08,58.48,58.48,58.48,0.0,0.0,58.51,58.51,58.51,0.0,0.0,58.36,58.36,58.36,0.0,0.0,58.37,58.37,58.37,0.0,0.0
2017-10-15,58.81,58.81,58.81,0.0,0.0,58.88,58.88,58.88,0.0,0.0,58.71,58.71,58.71,0.0,0.0,58.88,58.88,58.88,0.0,0.0
2017-10-22,58.71,58.71,58.71,0.0,0.0,59.03,59.03,59.03,0.0,0.0,58.61,58.61,58.61,0.0,0.0,58.97,58.97,58.97,0.0,0.0
2017-10-29,59.03,59.03,59.03,0.0,0.0,59.14,59.14,59.14,0.0,0.0,58.84,58.84,58.84,0.0,0.0,59.14,59.14,59.14,0.0,0.0
2017-11-05,58.9,58.9,58.9,0.0,0.0,59.02,59.02,59.02,0.0,0.0,58.81,58.81,58.81,0.0,0.0,58.98,58.98,58.98,0.0,0.0
2017-11-12,59.05,59.05,59.05,0.0,0.0,59.14,59.14,59.14,0.0,0.0,58.99,58.99,58.99,0.0,0.0,59.06,59.06,59.06,0.0,0.0
2017-11-19,59.67,59.67,59.67,0.0,0.0,59.69,59.69,59.69,0.0,0.0,59.59,59.59,59.59,0.0,0.0,59.64,59.64,59.64,0.0,0.0
2017-11-26,60.62,60.62,60.62,0.0,0.0,60.77,60.77,60.77,0.0,0.0,59.67,59.67,59.67,0.0,0.0,60.55,60.55,60.55,0.0,0.0
2017-12-03,60.64,60.64,60.64,0.0,0.0,60.76,60.76,60.76,0.0,0.0,60.45,60.45,60.45,0.0,0.0,60.68,60.68,60.68,0.0,0.0
2017-12-10,60.93,60.93,60.93,0.0,0.0,61.32,61.32,61.32,0.0,0.0,60.81,60.81,60.81,0.0,0.0,61.17,61.17,61.17,0.0,0.0
2017-12-17,61.25,61.25,61.25,0.0,0.0,61.26,61.26,61.26,0.0,0.0,61.06,61.06,61.06,0.0,0.0,61.2,61.2,61.2,0.0,0.0
2017-12-24,61.45,61.45,61.45,0.0,0.0,61.47,61.47,61.47,0.0,0.0,61.02,61.02,61.02,0.0,0.0,61.07,61.07,61.07,0.0,0.0
2017-12-31,62.29,62.29,62.29,0.0,0.0,62.49,62.49,62.49,0.0,0.0,62.18,62.18,62.18,0.0,0.0,62.45,62.45,62.45,0.0,0.0
