Date,KraneShares Bosera MSCI China A ShareEtf_Open_average,KraneShares Bosera MSCI China A ShareEtf_Open_max,KraneShares Bosera MSCI China A ShareEtf_Open_min,KraneShares Bosera MSCI China A ShareEtf_Open_volatility,KraneShares Bosera MSCI China A ShareEtf_Open_change,KraneShares Bosera MSCI China A ShareEtf_High_average,KraneShares Bosera MSCI China A ShareEtf_High_max,KraneShares Bosera MSCI China A ShareEtf_High_min,KraneShares Bosera MSCI China A ShareEtf_High_volatility,KraneShares Bosera MSCI China A ShareEtf_High_change,KraneShares Bosera MSCI China A ShareEtf_Low_average,KraneShares Bosera MSCI China A ShareEtf_Low_max,KraneShares Bosera MSCI China A ShareEtf_Low_min,KraneShares Bosera MSCI China A ShareEtf_Low_volatility,KraneShares Bosera MSCI China A ShareEtf_Low_change,KraneShares Bosera MSCI China A ShareEtf_Close_average,KraneShares Bosera MSCI China A ShareEtf_Close_max,KraneShares Bosera MSCI China A ShareEtf_Close_min,KraneShares Bosera MSCI China A ShareEtf_Close_volatility,KraneShares Bosera MSCI China A ShareEtf_Close_change
2016-03-13,29.98,29.98,29.98,0.0,0.0,30.22,30.22,30.22,0.0,0.0,29.98,29.98,29.98,0.0,0.0,30.22,30.22,30.22,0.0,0.0
2016-03-20,29.54,29.54,29.54,0.0,0.0,29.55,29.55,29.55,0.0,0.0,29.47,29.47,29.47,0.0,0.0,29.54,29.54,29.54,0.0,0.0
2016-03-27,30.31,30.31,30.31,0.0,0.0,30.34,30.34,30.34,0.0,0.0,30.31,30.31,30.31,0.0,0.0,30.34,30.34,30.34,0.0,0.0
2016-04-03,30.07,30.07,30.07,0.0,0.0,30.07,30.07,30.07,0.0,0.0,29.99,29.99,29.99,0.0,0.0,29.99,29.99,29.99,0.0,0.0
2016-04-10,30.57,30.57,30.57,0.0,0.0,30.58,30.58,30.58,0.0,0.0,30.57,30.57,30.57,0.0,0.0,30.57,30.57,30.57,0.0,0.0
2016-04-17,29.3,29.3,29.3,0.0,0.0,29.31,29.31,29.31,0.0,0.0,29.18,29.18,29.18,0.0,0.0,29.18,29.18,29.18,0.0,0.0
2016-04-24,28.95,28.95,28.95,0.0,0.0,28.95,28.95,28.95,0.0,0.0,28.89,28.89,28.89,0.0,0.0,28.89,28.89,28.89,0.0,0.0
2016-05-01,28.61,28.61,28.61,0.0,0.0,28.66,28.66,28.66,0.0,0.0,28.56,28.56,28.56,0.0,0.0,28.56,28.56,28.56,0.0,0.0
2016-05-08,27.9,27.9,27.9,0.0,0.0,27.9,27.9,27.9,0.0,0.0,27.69,27.69,27.69,0.0,0.0,27.81,27.81,27.81,0.0,0.0
2016-05-15,27.96,27.96,27.96,0.0,0.0,27.96,27.96,27.96,0.0,0.0,27.96,27.96,27.96,0.0,0.0,27.96,27.96,27.96,0.0,0.0
2016-05-22,27.69,27.69,27.69,0.0,0.0,27.69,27.69,27.69,0.0,0.0,27.67,27.67,27.67,0.0,0.0,27.69,27.69,27.69,0.0,0.0
2016-05-29,28.99,28.99,28.99,0.0,0.0,29.01,29.01,29.01,0.0,0.0,28.99,28.99,28.99,0.0,0.0,29.01,29.01,29.01,0.0,0.0
2016-06-05,28.27,28.27,28.27,0.0,0.0,28.3,28.3,28.3,0.0,0.0,28.26,28.26,28.26,0.0,0.0,28.3,28.3,28.3,0.0,0.0
2016-06-12,27.3,27.3,27.3,0.0,0.0,27.3,27.3,27.3,0.0,0.0,27.3,27.3,27.3,0.0,0.0,27.3,27.3,27.3,0.0,0.0
2016-06-19,26.94,26.94,26.94,0.0,0.0,26.94,26.94,26.94,0.0,0.0,26.94,26.94,26.94,0.0,0.0,26.94,26.94,26.94,0.0,0.0
2016-06-26,27.45,27.45,27.45,0.0,0.0,27.45,27.45,27.45,0.0,0.0,27.45,27.45,27.45,0.0,0.0,27.45,27.45,27.45,0.0,0.0
2016-07-03,28.5,28.5,28.5,0.0,0.0,28.79,28.79,28.79,0.0,0.0,28.01,28.01,28.01,0.0,0.0,28.75,28.75,28.75,0.0,0.0
2016-07-10,29.16,29.16,29.16,0.0,0.0,29.23,29.23,29.23,0.0,0.0,29.12,29.12,29.12,0.0,0.0,29.2,29.2,29.2,0.0,0.0
2016-07-17,28.96,28.96,28.96,0.0,0.0,29.08,29.08,29.08,0.0,0.0,28.93,28.93,28.93,0.0,0.0,29.0,29.0,29.0,0.0,0.0
2016-07-24,28.72,28.72,28.72,0.0,0.0,28.85,28.85,28.85,0.0,0.0,28.72,28.72,28.72,0.0,0.0,28.8,28.8,28.8,0.0,0.0
2016-07-31,28.81,28.81,28.81,0.0,0.0,28.87,28.87,28.87,0.0,0.0,28.77,28.77,28.77,0.0,0.0,28.84,28.84,28.84,0.0,0.0
2016-08-07,29.54,29.54,29.54,0.0,0.0,29.54,29.54,29.54,0.0,0.0,29.52,29.52,29.52,0.0,0.0,29.52,29.52,29.52,0.0,0.0
2016-08-14,30.05,30.05,30.05,0.0,0.0,30.09,30.09,30.09,0.0,0.0,29.99,29.99,29.99,0.0,0.0,30.06,30.06,30.06,0.0,0.0
2016-08-21,29.41,29.41,29.41,0.0,0.0,29.57,29.57,29.57,0.0,0.0,29.35,29.35,29.35,0.0,0.0,29.45,29.45,29.45,0.0,0.0
2016-08-28,29.66,29.66,29.66,0.0,0.0,29.66,29.66,29.66,0.0,0.0,29.45,29.45,29.45,0.0,0.0,29.48,29.48,29.48,0.0,0.0
2016-09-04,29.3,29.3,29.3,0.0,0.0,29.3,29.3,29.3,0.0,0.0,29.1,29.1,29.1,0.0,0.0,29.12,29.12,29.12,0.0,0.0
2016-09-11,29.09,29.09,29.09,0.0,0.0,29.16,29.16,29.16,0.0,0.0,28.95,28.95,28.95,0.0,0.0,29.07,29.07,29.07,0.0,0.0
2016-09-18,29.24,29.24,29.24,0.0,0.0,29.24,29.24,29.24,0.0,0.0,29.08,29.08,29.08,0.0,0.0,29.1,29.1,29.1,0.0,0.0
2016-09-25,29.2,29.2,29.2,0.0,0.0,29.2,29.2,29.2,0.0,0.0,28.94,28.94,28.94,0.0,0.0,29.06,29.06,29.06,0.0,0.0
2016-10-02,29.17,29.17,29.17,0.0,0.0,29.17,29.17,29.17,0.0,0.0,28.98,28.98,28.98,0.0,0.0,29.07,29.07,29.07,0.0,0.0
2016-10-09,29.15,29.15,29.15,0.0,0.0,29.25,29.25,29.25,0.0,0.0,29.15,29.15,29.15,0.0,0.0,29.18,29.18,29.18,0.0,0.0
2016-10-16,29.04,29.04,29.04,0.0,0.0,29.06,29.06,29.06,0.0,0.0,29.01,29.01,29.01,0.0,0.0,29.06,29.06,29.06,0.0,0.0
2016-10-23,29.0,29.0,29.0,0.0,0.0,29.03,29.03,29.03,0.0,0.0,28.94,28.94,28.94,0.0,0.0,28.96,28.96,28.96,0.0,0.0
2016-10-30,29.06,29.06,29.06,0.0,0.0,29.07,29.07,29.07,0.0,0.0,29.01,29.01,29.01,0.0,0.0,29.01,29.01,29.01,0.0,0.0
2016-11-06,28.89,28.89,28.89,0.0,0.0,29.08,29.08,29.08,0.0,0.0,28.89,28.89,28.89,0.0,0.0,29.04,29.04,29.04,0.0,0.0
2016-11-13,28.8,28.8,28.8,0.0,0.0,28.83,28.83,28.83,0.0,0.0,28.79,28.79,28.79,0.0,0.0,28.8,28.8,28.8,0.0,0.0
2016-11-20,29.25,29.25,29.25,0.0,0.0,29.33,29.33,29.33,0.0,0.0,29.25,29.25,29.25,0.0,0.0,29.29,29.29,29.29,0.0,0.0
2016-11-27,29.64,29.64,29.64,0.0,0.0,29.64,29.64,29.64,0.0,0.0,29.53,29.53,29.53,0.0,0.0,29.57,29.57,29.57,0.0,0.0
2016-12-04,29.24,29.24,29.24,0.0,0.0,29.24,29.24,29.24,0.0,0.0,29.1,29.1,29.1,0.0,0.0,29.12,29.12,29.12,0.0,0.0
2016-12-11,27.73,27.73,27.73,0.0,0.0,27.75,27.75,27.75,0.0,0.0,27.44,27.44,27.44,0.0,0.0,27.63,27.63,27.63,0.0,0.0
2016-12-18,27.09,27.09,27.09,0.0,0.0,27.09,27.09,27.09,0.0,0.0,26.93,26.93,26.93,0.0,0.0,26.95,26.95,26.95,0.0,0.0
2016-12-25,26.8,26.8,26.8,0.0,0.0,26.8,26.8,26.8,0.0,0.0,26.75,26.75,26.75,0.0,0.0,26.75,26.75,26.75,0.0,0.0
2017-01-01,27.69,27.69,27.69,0.0,0.0,27.86,27.86,27.86,0.0,0.0,27.4,27.4,27.4,0.0,0.0,27.47,27.47,27.47,0.0,0.0
2017-01-08,27.25,27.25,27.25,0.0,0.0,27.41,27.41,27.41,0.0,0.0,27.25,27.25,27.25,0.0,0.0,27.39,27.39,27.39,0.0,0.0
2017-01-15,27.34,27.34,27.34,0.0,0.0,27.63,27.63,27.63,0.0,0.0,27.34,27.34,27.34,0.0,0.0,27.61,27.61,27.61,0.0,0.0
2017-01-22,27.98,27.98,27.98,0.0,0.0,27.98,27.98,27.98,0.0,0.0,27.84,27.84,27.84,0.0,0.0,27.88,27.88,27.88,0.0,0.0
2017-01-29,27.85,27.85,27.85,0.0,0.0,27.96,27.96,27.96,0.0,0.0,27.85,27.85,27.85,0.0,0.0,27.92,27.92,27.92,0.0,0.0
2017-02-05,27.97,27.97,27.97,0.0,0.0,28.08,28.08,28.08,0.0,0.0,27.97,27.97,27.97,0.0,0.0,28.08,28.08,28.08,0.0,0.0
2017-02-12,28.15,28.15,28.15,0.0,0.0,28.15,28.15,28.15,0.0,0.0,28.07,28.07,28.07,0.0,0.0,28.11,28.11,28.11,0.0,0.0
2017-02-19,29.05,29.05,29.05,0.0,0.0,29.05,29.05,29.05,0.0,0.0,28.95,28.95,28.95,0.0,0.0,28.97,28.97,28.97,0.0,0.0
2017-02-26,28.63,28.63,28.63,0.0,0.0,28.63,28.63,28.63,0.0,0.0,28.47,28.47,28.47,0.0,0.0,28.5,28.5,28.5,0.0,0.0
2017-03-05,28.5,28.5,28.5,0.0,0.0,28.5,28.5,28.5,0.0,0.0,28.36,28.36,28.36,0.0,0.0,28.43,28.43,28.43,0.0,0.0
2017-03-12,28.85,28.85,28.85,0.0,0.0,28.85,28.85,28.85,0.0,0.0,28.6,28.6,28.6,0.0,0.0,28.62,28.62,28.62,0.0,0.0
2017-03-19,28.95,28.95,28.95,0.0,0.0,28.97,28.97,28.97,0.0,0.0,28.85,28.85,28.85,0.0,0.0,28.94,28.94,28.94,0.0,0.0
2017-03-26,28.8,28.8,28.8,0.0,0.0,28.8,28.8,28.8,0.0,0.0,28.66,28.66,28.66,0.0,0.0,28.74,28.74,28.74,0.0,0.0
2017-04-02,29.17,29.17,29.17,0.0,0.0,29.17,29.17,29.17,0.0,0.0,29.08,29.08,29.08,0.0,0.0,29.08,29.08,29.08,0.0,0.0
2017-04-09,29.07,29.07,29.07,0.0,0.0,29.07,29.07,29.07,0.0,0.0,28.96,28.96,28.96,0.0,0.0,28.96,28.96,28.96,0.0,0.0
2017-04-16,28.67,28.67,28.67,0.0,0.0,28.67,28.67,28.67,0.0,0.0,28.5,28.5,28.5,0.0,0.0,28.54,28.54,28.54,0.0,0.0
2017-04-23,28.19,28.19,28.19,0.0,0.0,28.2,28.2,28.2,0.0,0.0,28.11,28.11,28.11,0.0,0.0,28.18,28.18,28.18,0.0,0.0
2017-04-30,27.81,27.81,27.81,0.0,0.0,27.87,27.87,27.87,0.0,0.0,27.67,27.67,27.67,0.0,0.0,27.68,27.68,27.68,0.0,0.0
2017-05-07,27.68,27.68,27.68,0.0,0.0,27.68,27.68,27.68,0.0,0.0,27.54,27.54,27.54,0.0,0.0,27.67,27.67,27.67,0.0,0.0
2017-05-14,27.94,27.94,27.94,0.0,0.0,28.06,28.06,28.06,0.0,0.0,27.93,27.93,27.93,0.0,0.0,28.03,28.03,28.03,0.0,0.0
2017-05-21,28.78,28.78,28.78,0.0,0.0,28.8,28.8,28.8,0.0,0.0,28.6,28.6,28.6,0.0,0.0,28.67,28.67,28.67,0.0,0.0
2017-05-28,28.9,28.9,28.9,0.0,0.0,28.92,28.92,28.92,0.0,0.0,28.81,28.81,28.81,0.0,0.0,28.86,28.86,28.86,0.0,0.0
2017-06-04,29.82,29.82,29.82,0.0,0.0,29.82,29.82,29.82,0.0,0.0,29.61,29.61,29.61,0.0,0.0,29.68,29.68,29.68,0.0,0.0
2017-06-11,29.38,29.38,29.38,0.0,0.0,29.39,29.39,29.39,0.0,0.0,29.24,29.24,29.24,0.0,0.0,29.28,29.28,29.28,0.0,0.0
2017-06-18,29.9,29.9,29.9,0.0,0.0,29.97,29.97,29.97,0.0,0.0,29.82,29.82,29.82,0.0,0.0,29.94,29.94,29.94,0.0,0.0
2017-06-25,30.53,30.53,30.53,0.0,0.0,30.73,30.73,30.73,0.0,0.0,30.53,30.53,30.53,0.0,0.0,30.69,30.69,30.69,0.0,0.0
2017-07-02,30.63,30.63,30.63,0.0,0.0,30.72,30.72,30.72,0.0,0.0,30.63,30.63,30.63,0.0,0.0,30.67,30.67,30.67,0.0,0.0
2017-07-09,31.31,31.31,31.31,0.0,0.0,31.36,31.36,31.36,0.0,0.0,31.28,31.28,31.28,0.0,0.0,31.36,31.36,31.36,0.0,0.0
2017-07-16,31.71,31.71,31.71,0.0,0.0,31.71,31.71,31.71,0.0,0.0,31.58,31.58,31.58,0.0,0.0,31.64,31.64,31.64,0.0,0.0
2017-07-23,31.55,31.55,31.55,0.0,0.0,31.8,31.8,31.8,0.0,0.0,31.55,31.55,31.55,0.0,0.0,31.79,31.79,31.79,0.0,0.0
2017-07-30,31.76,31.76,31.76,0.0,0.0,31.76,31.76,31.76,0.0,0.0,31.67,31.67,31.67,0.0,0.0,31.75,31.75,31.75,0.0,0.0
2017-08-06,31.3,31.3,31.3,0.0,0.0,31.34,31.34,31.34,0.0,0.0,31.15,31.15,31.15,0.0,0.0,31.16,31.16,31.16,0.0,0.0
2017-08-13,31.81,31.81,31.81,0.0,0.0,31.91,31.91,31.91,0.0,0.0,31.81,31.81,31.81,0.0,0.0,31.87,31.87,31.87,0.0,0.0
2017-08-20,32.73,32.73,32.73,0.0,0.0,32.77,32.77,32.77,0.0,0.0,32.67,32.67,32.67,0.0,0.0,32.72,32.72,32.72,0.0,0.0
2017-08-27,33.61,33.61,33.61,0.0,0.0,33.66,33.66,33.66,0.0,0.0,33.55,33.55,33.55,0.0,0.0,33.66,33.66,33.66,0.0,0.0
2017-09-03,33.95,33.95,33.95,0.0,0.0,33.99,33.99,33.99,0.0,0.0,33.82,33.82,33.82,0.0,0.0,33.83,33.83,33.83,0.0,0.0
2017-09-10,33.74,33.74,33.74,0.0,0.0,33.74,33.74,33.74,0.0,0.0,33.64,33.64,33.64,0.0,0.0,33.68,33.68,33.68,0.0,0.0
2017-09-17,33.4,33.4,33.4,0.0,0.0,33.45,33.45,33.45,0.0,0.0,33.37,33.37,33.37,0.0,0.0,33.45,33.45,33.45,0.0,0.0
2017-09-24,33.16,33.16,33.16,0.0,0.0,33.25,33.25,33.25,0.0,0.0,33.13,33.13,33.13,0.0,0.0,33.2,33.2,33.2,0.0,0.0
2017-10-01,34.15,34.15,34.15,0.0,0.0,34.21,34.21,34.21,0.0,0.0,34.07,34.07,34.07,0.0,0.0,34.2,34.2,34.2,0.0,0.0
2017-10-08,34.32,34.32,34.32,0.0,0.0,34.45,34.45,34.45,0.0,0.0,34.29,34.29,34.29,0.0,0.0,34.45,34.45,34.45,0.0,0.0
2017-10-15,33.86,33.86,33.86,0.0,0.0,33.96,33.96,33.96,0.0,0.0,33.85,33.85,33.85,0.0,0.0,33.96,33.96,33.96,0.0,0.0
2017-10-22,34.34,34.34,34.34,0.0,0.0,34.5,34.5,34.5,0.0,0.0,34.34,34.34,34.34,0.0,0.0,34.49,34.49,34.49,0.0,0.0
2017-10-29,34.39,34.39,34.39,0.0,0.0,34.39,34.39,34.39,0.0,0.0,34.17,34.17,34.17,0.0,0.0,34.25,34.25,34.25,0.0,0.0
2017-11-05,35.25,35.25,35.25,0.0,0.0,35.36,35.36,35.36,0.0,0.0,35.25,35.25,35.25,0.0,0.0,35.36,35.36,35.36,0.0,0.0
2017-11-12,35.16,35.16,35.16,0.0,0.0,35.16,35.16,35.16,0.0,0.0,35.09,35.09,35.09,0.0,0.0,35.12,35.12,35.12,0.0,0.0
2017-11-19,35.1,35.1,35.1,0.0,0.0,35.1,35.1,35.1,0.0,0.0,35.0,35.0,35.0,0.0,0.0,35.05,35.05,35.05,0.0,0.0
2017-11-26,34.01,34.01,34.01,0.0,0.0,34.04,34.04,34.04,0.0,0.0,33.67,33.67,33.67,0.0,0.0,33.92,33.92,33.92,0.0,0.0
2017-12-03,34.02,34.02,34.02,0.0,0.0,34.05,34.05,34.05,0.0,0.0,34.0,34.0,34.0,0.0,0.0,34.0,34.0,34.0,0.0,0.0
2017-12-10,33.93,33.93,33.93,0.0,0.0,33.94,33.94,33.94,0.0,0.0,33.8,33.8,33.8,0.0,0.0,33.91,33.91,33.91,0.0,0.0
2017-12-17,34.25,34.25,34.25,0.0,0.0,34.3,34.3,34.3,0.0,0.0,34.12,34.12,34.12,0.0,0.0,34.3,34.3,34.3,0.0,0.0
2017-12-24,34.32,34.32,34.32,0.0,0.0,34.51,34.51,34.51,0.0,0.0,34.32,34.32,34.32,0.0,0.0,34.44,34.44,34.44,0.0,0.0
2017-12-31,35.56,35.56,35.56,0.0,0.0,35.73,35.73,35.73,0.0,0.0,35.56,35.56,35.56,0.0,0.0,35.73,35.73,35.73,0.0,0.0
