Date,iShares US Basic Materials_etf_Open_average,iShares US Basic Materials_etf_Open_max,iShares US Basic Materials_etf_Open_min,iShares US Basic Materials_etf_Open_volatility,iShares US Basic Materials_etf_Open_change,iShares US Basic Materials_etf_High_average,iShares US Basic Materials_etf_High_max,iShares US Basic Materials_etf_High_min,iShares US Basic Materials_etf_High_volatility,iShares US Basic Materials_etf_High_change,iShares US Basic Materials_etf_Low_average,iShares US Basic Materials_etf_Low_max,iShares US Basic Materials_etf_Low_min,iShares US Basic Materials_etf_Low_volatility,iShares US Basic Materials_etf_Low_change,iShares US Basic Materials_etf_Close_average,iShares US Basic Materials_etf_Close_max,iShares US Basic Materials_etf_Close_min,iShares US Basic Materials_etf_Close_volatility,iShares US Basic Materials_etf_Close_change
2016-04-10,75.46,75.46,75.46,0.0,0.0,75.72,75.72,75.72,0.0,0.0,75.08,75.08,75.08,0.0,0.0,75.66,75.66,75.66,0.0,0.0
2016-04-17,77.42,77.42,77.42,0.0,0.0,77.95,77.95,77.95,0.0,0.0,77.22,77.22,77.22,0.0,0.0,77.5,77.5,77.5,0.0,0.0
2016-04-24,78.2,78.2,78.2,0.0,0.0,78.43,78.43,78.43,0.0,0.0,77.17,77.17,77.17,0.0,0.0,77.67,77.67,77.67,0.0,0.0
2016-05-01,74.98,74.98,74.98,0.0,0.0,75.82,75.82,75.82,0.0,0.0,74.9,74.9,74.9,0.0,0.0,75.75,75.75,75.75,0.0,0.0
2016-05-08,75.52,75.52,75.52,0.0,0.0,75.88,75.88,75.88,0.0,0.0,74.64,74.64,74.64,0.0,0.0,74.87,74.87,74.87,0.0,0.0
2016-05-15,75.18,75.18,75.18,0.0,0.0,75.81,75.81,75.81,0.0,0.0,75.14,75.14,75.14,0.0,0.0,75.43,75.43,75.43,0.0,0.0
2016-05-22,77.02,77.02,77.02,0.0,0.0,77.33,77.33,77.33,0.0,0.0,76.95,76.95,76.95,0.0,0.0,77.12,77.12,77.12,0.0,0.0
2016-05-29,77.57,77.57,77.57,0.0,0.0,78.22,78.22,78.22,0.0,0.0,77.23,77.23,77.23,0.0,0.0,78.16,78.16,78.16,0.0,0.0
2016-06-05,78.61,78.61,78.61,0.0,0.0,78.89,78.89,78.89,0.0,0.0,78.31,78.31,78.31,0.0,0.0,78.6,78.6,78.6,0.0,0.0
2016-06-12,77.79,77.79,77.79,0.0,0.0,78.38,78.38,78.38,0.0,0.0,77.57,77.57,77.57,0.0,0.0,78.1,78.1,78.1,0.0,0.0
2016-06-19,76.93,76.93,76.93,0.0,0.0,77.17,77.17,77.17,0.0,0.0,75.22,75.22,75.22,0.0,0.0,75.29,75.29,75.29,0.0,0.0
2016-06-26,75.9,75.9,75.9,0.0,0.0,76.69,76.69,76.69,0.0,0.0,75.89,75.89,75.89,0.0,0.0,76.14,76.14,76.14,0.0,0.0
2016-07-03,76.04,76.04,76.04,0.0,0.0,77.29,77.29,77.29,0.0,0.0,75.74,75.74,75.74,0.0,0.0,77.14,77.14,77.14,0.0,0.0
2016-07-10,80.44,80.44,80.44,0.0,0.0,80.59,80.59,80.59,0.0,0.0,80.18,80.18,80.18,0.0,0.0,80.47,80.47,80.47,0.0,0.0
2016-07-17,79.83,79.83,79.83,0.0,0.0,80.2,80.2,80.2,0.0,0.0,79.64,79.64,79.64,0.0,0.0,80.02,80.02,80.02,0.0,0.0
2016-07-24,80.2,80.2,80.2,0.0,0.0,80.28,80.28,80.28,0.0,0.0,79.56,79.56,79.56,0.0,0.0,80.2,80.2,80.2,0.0,0.0
2016-07-31,80.1,80.1,80.1,0.0,0.0,80.31,80.31,80.31,0.0,0.0,79.95,79.95,79.95,0.0,0.0,80.18,80.18,80.18,0.0,0.0
2016-08-07,80.27,80.27,80.27,0.0,0.0,80.36,80.36,80.36,0.0,0.0,79.21,79.21,79.21,0.0,0.0,79.37,79.37,79.37,0.0,0.0
2016-08-14,80.15,80.15,80.15,0.0,0.0,80.78,80.78,80.78,0.0,0.0,79.94,79.94,79.94,0.0,0.0,80.67,80.67,80.67,0.0,0.0
2016-08-21,80.74,80.74,80.74,0.0,0.0,81.37,81.37,81.37,0.0,0.0,79.76,79.76,79.76,0.0,0.0,80.06,80.06,80.06,0.0,0.0
2016-08-28,80.91,80.91,80.91,0.0,0.0,81.16,81.16,81.16,0.0,0.0,80.59,80.59,80.59,0.0,0.0,80.97,80.97,80.97,0.0,0.0
2016-09-04,80.04,80.04,80.04,0.0,0.0,80.04,80.04,80.04,0.0,0.0,77.97,77.97,77.97,0.0,0.0,78.02,78.02,78.02,0.0,0.0
2016-09-11,76.92,76.92,76.92,0.0,0.0,77.19,77.19,77.19,0.0,0.0,76.64,76.64,76.64,0.0,0.0,76.98,76.98,76.98,0.0,0.0
2016-09-18,78.41,78.41,78.41,0.0,0.0,78.74,78.74,78.74,0.0,0.0,78.1,78.1,78.1,0.0,0.0,78.13,78.13,78.13,0.0,0.0
2016-09-25,78.81,78.81,78.81,0.0,0.0,79.25,79.25,79.25,0.0,0.0,78.57,78.57,78.57,0.0,0.0,78.98,78.98,78.98,0.0,0.0
2016-10-02,79.01,79.01,79.01,0.0,0.0,79.03,79.03,79.03,0.0,0.0,77.28,77.28,77.28,0.0,0.0,77.63,77.63,77.63,0.0,0.0
2016-10-09,76.42,76.42,76.42,0.0,0.0,76.8,76.8,76.8,0.0,0.0,76.14,76.14,76.14,0.0,0.0,76.22,76.22,76.22,0.0,0.0
2016-10-16,77.26,77.26,77.26,0.0,0.0,77.78,77.78,77.78,0.0,0.0,77.06,77.06,77.06,0.0,0.0,77.74,77.74,77.74,0.0,0.0
2016-10-23,77.46,77.46,77.46,0.0,0.0,78.03,78.03,78.03,0.0,0.0,77.15,77.15,77.15,0.0,0.0,77.4,77.4,77.4,0.0,0.0
2016-10-30,76.64,76.64,76.64,0.0,0.0,77.39,77.39,77.39,0.0,0.0,76.6,76.6,76.6,0.0,0.0,77.06,77.06,77.06,0.0,0.0
2016-11-06,80.84,80.84,80.84,0.0,0.0,81.08,81.08,81.08,0.0,0.0,79.5,79.5,79.5,0.0,0.0,80.09,80.09,80.09,0.0,0.0
2016-11-13,81.1,81.1,81.1,0.0,0.0,81.1,81.1,81.1,0.0,0.0,80.38,80.38,80.38,0.0,0.0,80.69,80.69,80.69,0.0,0.0
2016-11-20,82.99,82.99,82.99,0.0,0.0,83.12,83.12,83.12,0.0,0.0,82.7,82.7,82.7,0.0,0.0,83.05,83.05,83.05,0.0,0.0
2016-11-27,83.69,83.69,83.69,0.0,0.0,84.15,84.15,84.15,0.0,0.0,83.35,83.35,83.35,0.0,0.0,83.77,83.77,83.77,0.0,0.0
2016-12-04,86.78,86.78,86.78,0.0,0.0,86.93,86.93,86.93,0.0,0.0,86.23,86.23,86.23,0.0,0.0,86.57,86.57,86.57,0.0,0.0
2016-12-11,85.67,85.67,85.67,0.0,0.0,85.8,85.8,85.8,0.0,0.0,84.85,84.85,84.85,0.0,0.0,84.92,84.92,84.92,0.0,0.0
2016-12-18,84.09,84.09,84.09,0.0,0.0,84.28,84.28,84.28,0.0,0.0,83.74,83.74,83.74,0.0,0.0,84.27,84.27,84.27,0.0,0.0
2016-12-25,83.9,83.9,83.9,0.0,0.0,84.02,84.02,84.02,0.0,0.0,82.92,82.92,82.92,0.0,0.0,83.16,83.16,83.16,0.0,0.0
2017-01-01,84.84,84.84,84.84,0.0,0.0,84.87,84.87,84.87,0.0,0.0,84.32,84.32,84.32,0.0,0.0,84.75,84.75,84.75,0.0,0.0
2017-01-08,85.35,85.35,85.35,0.0,0.0,85.54,85.54,85.54,0.0,0.0,85.14,85.14,85.14,0.0,0.0,85.29,85.29,85.29,0.0,0.0
2017-01-15,85.12,85.12,85.12,0.0,0.0,85.72,85.72,85.72,0.0,0.0,84.99,84.99,84.99,0.0,0.0,85.54,85.54,85.54,0.0,0.0
2017-01-22,88.1,88.1,88.1,0.0,0.0,88.42,88.42,88.42,0.0,0.0,87.95,87.95,87.95,0.0,0.0,88.2,88.2,88.2,0.0,0.0
2017-01-29,87.37,87.37,87.37,0.0,0.0,87.55,87.55,87.55,0.0,0.0,87.15,87.15,87.15,0.0,0.0,87.5,87.5,87.5,0.0,0.0
2017-02-05,87.71,87.71,87.71,0.0,0.0,88.13,88.13,88.13,0.0,0.0,87.38,87.38,87.38,0.0,0.0,88.01,88.01,88.01,0.0,0.0
2017-02-12,88.73,88.73,88.73,0.0,0.0,88.8,88.8,88.8,0.0,0.0,88.38,88.38,88.38,0.0,0.0,88.8,88.8,88.8,0.0,0.0
2017-02-19,88.15,88.15,88.15,0.0,0.0,88.8,88.8,88.8,0.0,0.0,88.0,88.0,88.0,0.0,0.0,88.76,88.76,88.76,0.0,0.0
2017-02-26,89.02,89.02,89.02,0.0,0.0,89.3,89.3,89.3,0.0,0.0,88.77,88.77,88.77,0.0,0.0,89.05,89.05,89.05,0.0,0.0
2017-03-05,88.38,88.38,88.38,0.0,0.0,88.51,88.51,88.51,0.0,0.0,87.73,87.73,87.73,0.0,0.0,88.11,88.11,88.11,0.0,0.0
2017-03-12,89.16,89.16,89.16,0.0,0.0,89.62,89.62,89.62,0.0,0.0,89.16,89.16,89.16,0.0,0.0,89.48,89.48,89.48,0.0,0.0
2017-03-19,88.47,88.47,88.47,0.0,0.0,88.6,88.6,88.6,0.0,0.0,87.3,87.3,87.3,0.0,0.0,87.57,87.57,87.57,0.0,0.0
2017-03-26,89.21,89.21,89.21,0.0,0.0,89.55,89.55,89.55,0.0,0.0,89.05,89.05,89.05,0.0,0.0,89.14,89.14,89.14,0.0,0.0
2017-04-02,89.41,89.41,89.41,0.0,0.0,89.59,89.59,89.59,0.0,0.0,88.94,88.94,88.94,0.0,0.0,89.33,89.33,89.33,0.0,0.0
2017-04-09,87.9,87.9,87.9,0.0,0.0,88.01,88.01,88.01,0.0,0.0,86.84,86.84,86.84,0.0,0.0,86.88,86.88,86.88,0.0,0.0
2017-04-16,88.2,88.2,88.2,0.0,0.0,88.36,88.36,88.36,0.0,0.0,87.81,87.81,87.81,0.0,0.0,88.07,88.07,88.07,0.0,0.0
2017-04-23,90.1,90.1,90.1,0.0,0.0,90.29,90.29,90.29,0.0,0.0,89.29,89.29,89.29,0.0,0.0,89.3,89.3,89.3,0.0,0.0
2017-04-30,87.83,87.83,87.83,0.0,0.0,89.13,89.13,89.13,0.0,0.0,87.83,87.83,87.83,0.0,0.0,89.13,89.13,89.13,0.0,0.0
2017-05-07,87.68,87.68,87.68,0.0,0.0,88.05,88.05,88.05,0.0,0.0,87.68,87.68,87.68,0.0,0.0,87.86,87.86,87.86,0.0,0.0
2017-05-14,87.2,87.2,87.2,0.0,0.0,88.16,88.16,88.16,0.0,0.0,87.08,87.08,87.08,0.0,0.0,87.76,87.76,87.76,0.0,0.0
2017-05-21,88.2,88.2,88.2,0.0,0.0,88.4,88.4,88.4,0.0,0.0,88.13,88.13,88.13,0.0,0.0,88.29,88.29,88.29,0.0,0.0
2017-05-28,89.53,89.53,89.53,0.0,0.0,89.84,89.84,89.84,0.0,0.0,89.44,89.44,89.44,0.0,0.0,89.68,89.68,89.68,0.0,0.0
2017-06-04,89.91,89.91,89.91,0.0,0.0,90.94,90.94,90.94,0.0,0.0,89.91,89.91,89.91,0.0,0.0,90.94,90.94,90.94,0.0,0.0
2017-06-11,89.44,89.44,89.44,0.0,0.0,89.56,89.56,89.56,0.0,0.0,89.06,89.06,89.06,0.0,0.0,89.55,89.55,89.55,0.0,0.0
2017-06-18,89.08,89.08,89.08,0.0,0.0,89.56,89.56,89.56,0.0,0.0,88.79,88.79,88.79,0.0,0.0,89.22,89.22,89.22,0.0,0.0
2017-06-25,89.28,89.28,89.28,0.0,0.0,89.75,89.75,89.75,0.0,0.0,89.15,89.15,89.15,0.0,0.0,89.35,89.35,89.35,0.0,0.0
2017-07-02,89.62,89.62,89.62,0.0,0.0,90.01,90.01,90.01,0.0,0.0,89.1,89.1,89.1,0.0,0.0,89.93,89.93,89.93,0.0,0.0
2017-07-09,91.77,91.77,91.77,0.0,0.0,92.35,92.35,92.35,0.0,0.0,91.74,91.74,91.74,0.0,0.0,92.15,92.15,92.15,0.0,0.0
2017-07-16,92.4,92.4,92.4,0.0,0.0,92.4,92.4,92.4,0.0,0.0,92.04,92.04,92.04,0.0,0.0,92.29,92.29,92.29,0.0,0.0
2017-07-23,92.37,92.37,92.37,0.0,0.0,92.76,92.76,92.76,0.0,0.0,91.78,91.78,91.78,0.0,0.0,92.19,92.19,92.19,0.0,0.0
2017-07-30,91.56,91.56,91.56,0.0,0.0,91.78,91.78,91.78,0.0,0.0,91.48,91.48,91.48,0.0,0.0,91.74,91.74,91.74,0.0,0.0
2017-08-06,89.47,89.47,89.47,0.0,0.0,89.98,89.98,89.98,0.0,0.0,89.47,89.47,89.47,0.0,0.0,89.68,89.68,89.68,0.0,0.0
2017-08-13,89.77,89.77,89.77,0.0,0.0,90.24,90.24,90.24,0.0,0.0,89.54,89.54,89.54,0.0,0.0,89.95,89.95,89.95,0.0,0.0
2017-08-20,91.71,91.71,91.71,0.0,0.0,91.73,91.73,91.73,0.0,0.0,91.47,91.47,91.47,0.0,0.0,91.57,91.57,91.57,0.0,0.0
2017-08-27,92.03,92.03,92.03,0.0,0.0,93.25,93.25,93.25,0.0,0.0,92.03,92.03,92.03,0.0,0.0,93.22,93.22,93.22,0.0,0.0
2017-09-03,92.51,92.51,92.51,0.0,0.0,92.51,92.51,92.51,0.0,0.0,91.99,91.99,91.99,0.0,0.0,92.29,92.29,92.29,0.0,0.0
2017-09-10,94.79,94.79,94.79,0.0,0.0,95.14,95.14,95.14,0.0,0.0,94.65,94.65,94.65,0.0,0.0,95.08,95.08,95.08,0.0,0.0
2017-09-17,96.06,96.06,96.06,0.0,0.0,96.2,96.2,96.2,0.0,0.0,95.87,95.87,95.87,0.0,0.0,96.09,96.09,96.09,0.0,0.0
2017-09-24,95.95,95.95,95.95,0.0,0.0,96.04,96.04,96.04,0.0,0.0,95.48,95.48,95.48,0.0,0.0,95.79,95.79,95.79,0.0,0.0
2017-10-01,97.53,97.53,97.53,0.0,0.0,97.77,97.77,97.77,0.0,0.0,97.08,97.08,97.08,0.0,0.0,97.76,97.76,97.76,0.0,0.0
2017-10-08,98.73,98.73,98.73,0.0,0.0,98.8,98.8,98.8,0.0,0.0,98.58,98.58,98.58,0.0,0.0,98.62,98.62,98.62,0.0,0.0
2017-10-15,98.58,98.58,98.58,0.0,0.0,98.91,98.91,98.91,0.0,0.0,98.58,98.58,98.58,0.0,0.0,98.87,98.87,98.87,0.0,0.0
2017-10-22,99.76,99.76,99.76,0.0,0.0,99.78,99.78,99.78,0.0,0.0,99.17,99.17,99.17,0.0,0.0,99.66,99.66,99.66,0.0,0.0
2017-10-29,99.36,99.36,99.36,0.0,0.0,99.36,99.36,99.36,0.0,0.0,98.69,98.69,98.69,0.0,0.0,99.14,99.14,99.14,0.0,0.0
2017-11-05,98.0,98.0,98.0,0.0,0.0,98.3,98.3,98.3,0.0,0.0,97.62,97.62,97.62,0.0,0.0,97.82,97.82,97.82,0.0,0.0
2017-11-12,97.75,97.75,97.75,0.0,0.0,98.62,98.62,98.62,0.0,0.0,97.75,97.75,97.75,0.0,0.0,98.35,98.35,98.35,0.0,0.0
2017-11-19,99.41,99.41,99.41,0.0,0.0,99.6,99.6,99.6,0.0,0.0,99.41,99.41,99.41,0.0,0.0,99.5,99.5,99.5,0.0,0.0
2017-11-26,100.47,100.47,100.47,0.0,0.0,100.51,100.51,100.51,0.0,0.0,98.66,98.66,98.66,0.0,0.0,99.48,99.48,99.48,0.0,0.0
2017-12-03,99.9,99.9,99.9,0.0,0.0,99.94,99.94,99.94,0.0,0.0,99.39,99.39,99.39,0.0,0.0,99.56,99.56,99.56,0.0,0.0
2017-12-10,99.58,99.58,99.58,0.0,0.0,99.89,99.89,99.89,0.0,0.0,99.45,99.45,99.45,0.0,0.0,99.72,99.72,99.72,0.0,0.0
2017-12-17,101.83,101.83,101.83,0.0,0.0,101.92,101.92,101.92,0.0,0.0,101.56,101.56,101.56,0.0,0.0,101.88,101.88,101.88,0.0,0.0
2017-12-24,102.89,102.89,102.89,0.0,0.0,102.89,102.89,102.89,0.0,0.0,102.14,102.14,102.14,0.0,0.0,102.2,102.2,102.2,0.0,0.0
2017-12-31,105.79,105.79,105.79,0.0,0.0,106.21,106.21,106.21,0.0,0.0,105.52,105.52,105.52,0.0,0.0,106.12,106.12,106.12,0.0,0.0
