Date,PowerShares Golden Dragon China Port_etf_Open_average,PowerShares Golden Dragon China Port_etf_Open_max,PowerShares Golden Dragon China Port_etf_Open_min,PowerShares Golden Dragon China Port_etf_Open_volatility,PowerShares Golden Dragon China Port_etf_Open_change,PowerShares Golden Dragon China Port_etf_High_average,PowerShares Golden Dragon China Port_etf_High_max,PowerShares Golden Dragon China Port_etf_High_min,PowerShares Golden Dragon China Port_etf_High_volatility,PowerShares Golden Dragon China Port_etf_High_change,PowerShares Golden Dragon China Port_etf_Low_average,PowerShares Golden Dragon China Port_etf_Low_max,PowerShares Golden Dragon China Port_etf_Low_min,PowerShares Golden Dragon China Port_etf_Low_volatility,PowerShares Golden Dragon China Port_etf_Low_change,PowerShares Golden Dragon China Port_etf_Close_average,PowerShares Golden Dragon China Port_etf_Close_max,PowerShares Golden Dragon China Port_etf_Close_min,PowerShares Golden Dragon China Port_etf_Close_volatility,PowerShares Golden Dragon China Port_etf_Close_change
2016-07-10,29.27,29.27,29.27,0.0,0.0,29.27,29.27,29.27,0.0,0.0,29.01,29.01,29.01,0.0,0.0,29.02,29.02,29.02,0.0,0.0
2016-07-17,29.51,29.51,29.51,0.0,0.0,29.54,29.54,29.54,0.0,0.0,29.46,29.46,29.46,0.0,0.0,29.5,29.5,29.5,0.0,0.0
2016-07-24,29.86,29.86,29.86,0.0,0.0,29.86,29.86,29.86,0.0,0.0,29.5,29.5,29.5,0.0,0.0,29.72,29.72,29.72,0.0,0.0
2016-07-31,29.77,29.77,29.77,0.0,0.0,30.33,30.33,30.33,0.0,0.0,29.77,29.77,29.77,0.0,0.0,30.3,30.3,30.3,0.0,0.0
2016-08-07,31.27,31.27,31.27,0.0,0.0,31.59,31.59,31.59,0.0,0.0,31.24,31.24,31.24,0.0,0.0,31.56,31.56,31.56,0.0,0.0
2016-08-14,31.59,31.59,31.59,0.0,0.0,31.87,31.87,31.87,0.0,0.0,31.59,31.59,31.59,0.0,0.0,31.87,31.87,31.87,0.0,0.0
2016-08-21,31.79,31.79,31.79,0.0,0.0,31.79,31.79,31.79,0.0,0.0,31.57,31.57,31.57,0.0,0.0,31.57,31.57,31.57,0.0,0.0
2016-08-28,32.26,32.26,32.26,0.0,0.0,32.49,32.49,32.49,0.0,0.0,32.26,32.26,32.26,0.0,0.0,32.33,32.33,32.33,0.0,0.0
2016-09-04,32.73,32.73,32.73,0.0,0.0,32.73,32.73,32.73,0.0,0.0,31.97,31.97,31.97,0.0,0.0,32.06,32.06,32.06,0.0,0.0
2016-09-11,32.88,32.88,32.88,0.0,0.0,32.96,32.96,32.96,0.0,0.0,32.67,32.67,32.67,0.0,0.0,32.79,32.79,32.79,0.0,0.0
2016-09-18,33.75,33.75,33.75,0.0,0.0,33.86,33.86,33.86,0.0,0.0,33.61,33.61,33.61,0.0,0.0,33.69,33.69,33.69,0.0,0.0
2016-09-25,33.47,33.47,33.47,0.0,0.0,33.47,33.47,33.47,0.0,0.0,33.13,33.13,33.13,0.0,0.0,33.18,33.18,33.18,0.0,0.0
2016-10-02,34.13,34.13,34.13,0.0,0.0,34.13,34.13,34.13,0.0,0.0,33.51,33.51,33.51,0.0,0.0,33.65,33.65,33.65,0.0,0.0
2016-10-09,33.47,33.47,33.47,0.0,0.0,33.65,33.65,33.65,0.0,0.0,33.22,33.22,33.22,0.0,0.0,33.25,33.25,33.25,0.0,0.0
2016-10-16,33.07,33.07,33.07,0.0,0.0,33.2,33.2,33.2,0.0,0.0,33.0,33.0,33.0,0.0,0.0,33.2,33.2,33.2,0.0,0.0
2016-10-23,33.08,33.08,33.08,0.0,0.0,33.1,33.1,33.1,0.0,0.0,32.81,32.81,32.81,0.0,0.0,32.82,32.82,32.82,0.0,0.0
2016-10-30,31.13,31.13,31.13,0.0,0.0,31.37,31.37,31.37,0.0,0.0,30.92,30.92,30.92,0.0,0.0,31.19,31.19,31.19,0.0,0.0
2016-11-06,30.5,30.5,30.5,0.0,0.0,30.6,30.6,30.6,0.0,0.0,30.0,30.0,30.0,0.0,0.0,30.56,30.56,30.56,0.0,0.0
2016-11-13,30.86,30.86,30.86,0.0,0.0,30.86,30.86,30.86,0.0,0.0,30.68,30.68,30.68,0.0,0.0,30.73,30.73,30.73,0.0,0.0
2016-11-20,31.45,31.45,31.45,0.0,0.0,31.49,31.49,31.49,0.0,0.0,31.3,31.3,31.3,0.0,0.0,31.39,31.39,31.39,0.0,0.0
2016-11-27,30.46,30.46,30.46,0.0,0.0,30.55,30.55,30.55,0.0,0.0,30.05,30.05,30.05,0.0,0.0,30.15,30.15,30.15,0.0,0.0
2016-12-04,30.48,30.48,30.48,0.0,0.0,30.96,30.96,30.96,0.0,0.0,30.48,30.48,30.48,0.0,0.0,30.83,30.83,30.83,0.0,0.0
2016-12-11,29.03,29.03,29.03,0.0,0.0,29.08,29.08,29.08,0.0,0.0,28.81,28.81,28.81,0.0,0.0,28.82,28.82,28.82,0.0,0.0
2016-12-18,28.32,28.32,28.32,0.0,0.0,28.69,28.69,28.69,0.0,0.0,28.32,28.32,28.32,0.0,0.0,28.66,28.66,28.66,0.0,0.0
2016-12-25,28.99,28.99,28.99,0.0,0.0,28.99,28.99,28.99,0.0,0.0,28.45,28.45,28.45,0.0,0.0,28.59,28.59,28.59,0.0,0.0
2017-01-01,30.19,30.19,30.19,0.0,0.0,30.23,30.23,30.23,0.0,0.0,30.04,30.04,30.04,0.0,0.0,30.23,30.23,30.23,0.0,0.0
2017-01-08,30.65,30.65,30.65,0.0,0.0,30.78,30.78,30.78,0.0,0.0,30.62,30.62,30.62,0.0,0.0,30.76,30.76,30.76,0.0,0.0
2017-01-15,30.79,30.79,30.79,0.0,0.0,30.79,30.79,30.79,0.0,0.0,30.6,30.6,30.6,0.0,0.0,30.6,30.6,30.6,0.0,0.0
2017-01-22,30.99,30.99,30.99,0.0,0.0,31.08,31.08,31.08,0.0,0.0,30.98,30.98,30.98,0.0,0.0,31.08,31.08,31.08,0.0,0.0
2017-01-29,31.08,31.08,31.08,0.0,0.0,31.16,31.16,31.16,0.0,0.0,30.99,30.99,30.99,0.0,0.0,31.07,31.07,31.07,0.0,0.0
2017-02-05,32.09,32.09,32.09,0.0,0.0,32.37,32.37,32.37,0.0,0.0,31.96,31.96,31.96,0.0,0.0,32.35,32.35,32.35,0.0,0.0
2017-02-12,32.55,32.55,32.55,0.0,0.0,32.84,32.84,32.84,0.0,0.0,32.55,32.55,32.55,0.0,0.0,32.72,32.72,32.72,0.0,0.0
2017-02-19,32.69,32.69,32.69,0.0,0.0,32.78,32.78,32.78,0.0,0.0,32.58,32.58,32.58,0.0,0.0,32.71,32.71,32.71,0.0,0.0
2017-02-26,32.92,32.92,32.92,0.0,0.0,32.95,32.95,32.95,0.0,0.0,32.72,32.72,32.72,0.0,0.0,32.77,32.77,32.77,0.0,0.0
2017-03-05,33.0,33.0,33.0,0.0,0.0,33.07,33.07,33.07,0.0,0.0,32.95,32.95,32.95,0.0,0.0,33.07,33.07,33.07,0.0,0.0
2017-03-12,33.89,33.89,33.89,0.0,0.0,34.17,34.17,34.17,0.0,0.0,33.89,33.89,33.89,0.0,0.0,34.07,34.07,34.07,0.0,0.0
2017-03-19,33.79,33.79,33.79,0.0,0.0,34.02,34.02,34.02,0.0,0.0,33.75,33.75,33.75,0.0,0.0,33.86,33.86,33.86,0.0,0.0
2017-03-26,33.81,33.81,33.81,0.0,0.0,34.0,34.0,34.0,0.0,0.0,33.77,33.77,33.77,0.0,0.0,33.99,33.99,33.99,0.0,0.0
2017-04-02,33.96,33.96,33.96,0.0,0.0,34.13,34.13,34.13,0.0,0.0,33.73,33.73,33.73,0.0,0.0,34.09,34.09,34.09,0.0,0.0
2017-04-09,33.7,33.7,33.7,0.0,0.0,34.03,34.03,34.03,0.0,0.0,33.7,33.7,33.7,0.0,0.0,33.81,33.81,33.81,0.0,0.0
2017-04-16,34.68,34.68,34.68,0.0,0.0,34.81,34.81,34.81,0.0,0.0,34.57,34.57,34.57,0.0,0.0,34.81,34.81,34.81,0.0,0.0
2017-04-23,35.79,35.79,35.79,0.0,0.0,35.79,35.79,35.79,0.0,0.0,35.47,35.47,35.47,0.0,0.0,35.64,35.64,35.64,0.0,0.0
2017-04-30,35.77,35.77,35.77,0.0,0.0,35.97,35.97,35.97,0.0,0.0,35.54,35.54,35.54,0.0,0.0,35.97,35.97,35.97,0.0,0.0
2017-05-07,37.7,37.7,37.7,0.0,0.0,37.9,37.9,37.9,0.0,0.0,37.7,37.7,37.7,0.0,0.0,37.83,37.83,37.83,0.0,0.0
2017-05-14,38.47,38.47,38.47,0.0,0.0,39.13,39.13,39.13,0.0,0.0,38.47,38.47,38.47,0.0,0.0,39.01,39.01,39.01,0.0,0.0
2017-05-21,39.23,39.23,39.23,0.0,0.0,39.35,39.35,39.35,0.0,0.0,39.05,39.05,39.05,0.0,0.0,39.19,39.19,39.19,0.0,0.0
2017-05-28,39.04,39.04,39.04,0.0,0.0,39.04,39.04,39.04,0.0,0.0,38.71,38.71,38.71,0.0,0.0,38.86,38.86,38.86,0.0,0.0
2017-06-04,39.58,39.58,39.58,0.0,0.0,39.99,39.99,39.99,0.0,0.0,37.87,37.87,37.87,0.0,0.0,38.46,38.46,38.46,0.0,0.0
2017-06-11,37.3,37.3,37.3,0.0,0.0,37.57,37.57,37.57,0.0,0.0,37.16,37.16,37.16,0.0,0.0,37.35,37.35,37.35,0.0,0.0
2017-06-18,38.71,38.71,38.71,0.0,0.0,39.02,39.02,39.02,0.0,0.0,38.67,38.67,38.67,0.0,0.0,39.0,39.0,39.0,0.0,0.0
2017-06-25,37.88,37.88,37.88,0.0,0.0,37.88,37.88,37.88,0.0,0.0,37.45,37.45,37.45,0.0,0.0,37.72,37.72,37.72,0.0,0.0
2017-07-02,37.5,37.5,37.5,0.0,0.0,37.63,37.63,37.63,0.0,0.0,37.38,37.38,37.38,0.0,0.0,37.59,37.59,37.59,0.0,0.0
2017-07-09,39.52,39.52,39.52,0.0,0.0,40.32,40.32,40.32,0.0,0.0,39.52,39.52,39.52,0.0,0.0,40.13,40.13,40.13,0.0,0.0
2017-07-16,40.89,40.89,40.89,0.0,0.0,40.92,40.92,40.92,0.0,0.0,40.64,40.64,40.64,0.0,0.0,40.85,40.85,40.85,0.0,0.0
2017-07-23,41.56,41.56,41.56,0.0,0.0,42.28,42.28,42.28,0.0,0.0,41.4,41.4,41.4,0.0,0.0,42.14,42.14,42.14,0.0,0.0
2017-07-30,42.02,42.02,42.02,0.0,0.0,42.34,42.34,42.34,0.0,0.0,42.02,42.02,42.02,0.0,0.0,42.28,42.28,42.28,0.0,0.0
2017-08-06,41.27,41.27,41.27,0.0,0.0,42.08,42.08,42.08,0.0,0.0,41.13,41.13,41.13,0.0,0.0,42.02,42.02,42.02,0.0,0.0
2017-08-13,41.54,41.54,41.54,0.0,0.0,42.01,42.01,42.01,0.0,0.0,41.26,41.26,41.26,0.0,0.0,41.79,41.79,41.79,0.0,0.0
2017-08-20,43.12,43.12,43.12,0.0,0.0,43.12,43.12,43.12,0.0,0.0,41.68,41.68,41.68,0.0,0.0,41.81,41.81,41.81,0.0,0.0
2017-08-27,42.79,42.79,42.79,0.0,0.0,43.23,43.23,43.23,0.0,0.0,42.59,42.59,42.59,0.0,0.0,43.13,43.13,43.13,0.0,0.0
2017-09-03,43.8,43.8,43.8,0.0,0.0,43.89,43.89,43.89,0.0,0.0,43.37,43.37,43.37,0.0,0.0,43.45,43.45,43.45,0.0,0.0
2017-09-10,44.81,44.81,44.81,0.0,0.0,44.94,44.94,44.94,0.0,0.0,44.5,44.5,44.5,0.0,0.0,44.51,44.51,44.51,0.0,0.0
2017-09-17,43.99,43.99,43.99,0.0,0.0,44.0,44.0,44.0,0.0,0.0,43.74,43.74,43.74,0.0,0.0,44.0,44.0,44.0,0.0,0.0
2017-09-24,43.22,43.22,43.22,0.0,0.0,43.38,43.38,43.38,0.0,0.0,43.2,43.2,43.2,0.0,0.0,43.25,43.25,43.25,0.0,0.0
2017-10-01,44.01,44.01,44.01,0.0,0.0,44.35,44.35,44.35,0.0,0.0,44.0,44.0,44.0,0.0,0.0,44.35,44.35,44.35,0.0,0.0
2017-10-08,44.54,44.54,44.54,0.0,0.0,45.23,45.23,45.23,0.0,0.0,44.54,44.54,44.54,0.0,0.0,45.09,45.09,45.09,0.0,0.0
2017-10-15,44.75,44.75,44.75,0.0,0.0,44.96,44.96,44.96,0.0,0.0,44.42,44.42,44.42,0.0,0.0,44.52,44.52,44.52,0.0,0.0
2017-10-22,42.45,42.45,42.45,0.0,0.0,42.49,42.49,42.49,0.0,0.0,42.01,42.01,42.01,0.0,0.0,42.41,42.41,42.41,0.0,0.0
2017-10-29,42.79,42.79,42.79,0.0,0.0,43.07,43.07,43.07,0.0,0.0,42.79,42.79,42.79,0.0,0.0,42.9,42.9,42.9,0.0,0.0
2017-11-05,44.08,44.08,44.08,0.0,0.0,44.13,44.13,44.13,0.0,0.0,43.83,43.83,43.83,0.0,0.0,43.92,43.92,43.92,0.0,0.0
2017-11-12,45.49,45.49,45.49,0.0,0.0,46.2,46.2,46.2,0.0,0.0,45.49,45.49,45.49,0.0,0.0,45.94,45.94,45.94,0.0,0.0
2017-11-19,45.9,45.9,45.9,0.0,0.0,45.9,45.9,45.9,0.0,0.0,45.42,45.42,45.42,0.0,0.0,45.68,45.68,45.68,0.0,0.0
2017-11-26,42.72,42.72,42.72,0.0,0.0,43.11,43.11,43.11,0.0,0.0,42.54,42.54,42.54,0.0,0.0,42.77,42.77,42.77,0.0,0.0
2017-12-03,43.25,43.25,43.25,0.0,0.0,43.82,43.82,43.82,0.0,0.0,42.86,42.86,42.86,0.0,0.0,42.9,42.9,42.9,0.0,0.0
2017-12-10,43.96,43.96,43.96,0.0,0.0,43.96,43.96,43.96,0.0,0.0,43.35,43.35,43.35,0.0,0.0,43.77,43.77,43.77,0.0,0.0
2017-12-17,45.2,45.2,45.2,0.0,0.0,45.2,45.2,45.2,0.0,0.0,44.92,44.92,44.92,0.0,0.0,45.06,45.06,45.06,0.0,0.0
2017-12-24,45.01,45.01,45.01,0.0,0.0,45.13,45.13,45.13,0.0,0.0,44.66,44.66,44.66,0.0,0.0,44.83,44.83,44.83,0.0,0.0
2017-12-31,47.47,47.47,47.47,0.0,0.0,48.02,48.02,48.02,0.0,0.0,47.39,47.39,47.39,0.0,0.0,48.01,48.01,48.01,0.0,0.0
