Date,iShares MSCI Japan_etf_Open_average,iShares MSCI Japan_etf_Open_max,iShares MSCI Japan_etf_Open_min,iShares MSCI Japan_etf_Open_volatility,iShares MSCI Japan_etf_Open_change,iShares MSCI Japan_etf_High_average,iShares MSCI Japan_etf_High_max,iShares MSCI Japan_etf_High_min,iShares MSCI Japan_etf_High_volatility,iShares MSCI Japan_etf_High_change,iShares MSCI Japan_etf_Low_average,iShares MSCI Japan_etf_Low_max,iShares MSCI Japan_etf_Low_min,iShares MSCI Japan_etf_Low_volatility,iShares MSCI Japan_etf_Low_change,iShares MSCI Japan_etf_Close_average,iShares MSCI Japan_etf_Close_max,iShares MSCI Japan_etf_Close_min,iShares MSCI Japan_etf_Close_volatility,iShares MSCI Japan_etf_Close_change
2016-06-05,46.76,46.76,46.76,0.0,0.0,46.76,46.76,46.76,0.0,0.0,46.36,46.36,46.36,0.0,0.0,46.6,46.6,46.6,0.0,0.0
2016-06-12,45.6,45.6,45.6,0.0,0.0,45.96,45.96,45.96,0.0,0.0,45.36,45.36,45.36,0.0,0.0,45.72,45.72,45.72,0.0,0.0
2016-06-19,45.18,45.18,45.18,0.0,0.0,45.88,45.88,45.88,0.0,0.0,45.16,45.16,45.16,0.0,0.0,45.36,45.36,45.36,0.0,0.0
2016-06-26,45.88,45.88,45.88,0.0,0.0,46.12,46.12,46.12,0.0,0.0,45.84,45.84,45.84,0.0,0.0,45.92,45.92,45.92,0.0,0.0
2016-07-03,45.84,45.84,45.84,0.0,0.0,46.36,46.36,46.36,0.0,0.0,45.84,45.84,45.84,0.0,0.0,46.28,46.28,46.28,0.0,0.0
2016-07-10,47.52,47.52,47.52,0.0,0.0,47.64,47.64,47.64,0.0,0.0,47.44,47.44,47.44,0.0,0.0,47.52,47.52,47.52,0.0,0.0
2016-07-17,47.44,47.44,47.44,0.0,0.0,47.56,47.56,47.56,0.0,0.0,47.4,47.4,47.4,0.0,0.0,47.44,47.44,47.44,0.0,0.0
2016-07-24,48.2,48.2,48.2,0.0,0.0,48.36,48.36,48.36,0.0,0.0,48.12,48.12,48.12,0.0,0.0,48.24,48.24,48.24,0.0,0.0
2016-07-31,48.28,48.28,48.28,0.0,0.0,48.44,48.44,48.44,0.0,0.0,48.2,48.2,48.2,0.0,0.0,48.4,48.4,48.4,0.0,0.0
2016-08-07,49.4,49.4,49.4,0.0,0.0,49.56,49.56,49.56,0.0,0.0,49.24,49.24,49.24,0.0,0.0,49.32,49.32,49.32,0.0,0.0
2016-08-14,49.04,49.04,49.04,0.0,0.0,49.2,49.2,49.2,0.0,0.0,48.96,48.96,48.96,0.0,0.0,49.2,49.2,49.2,0.0,0.0
2016-08-21,49.08,49.08,49.08,0.0,0.0,49.36,49.36,49.36,0.0,0.0,48.64,48.64,48.64,0.0,0.0,48.88,48.88,48.88,0.0,0.0
2016-08-28,49.76,49.76,49.76,0.0,0.0,49.88,49.88,49.88,0.0,0.0,49.68,49.68,49.68,0.0,0.0,49.84,49.84,49.84,0.0,0.0
2016-09-04,49.68,49.68,49.68,0.0,0.0,49.74,49.74,49.74,0.0,0.0,49.28,49.28,49.28,0.0,0.0,49.32,49.32,49.32,0.0,0.0
2016-09-11,48.44,48.44,48.44,0.0,0.0,48.52,48.52,48.52,0.0,0.0,48.24,48.24,48.24,0.0,0.0,48.36,48.36,48.36,0.0,0.0
2016-09-18,50.56,50.56,50.56,0.0,0.0,50.64,50.64,50.64,0.0,0.0,50.48,50.48,50.48,0.0,0.0,50.56,50.56,50.56,0.0,0.0
2016-09-25,50.0,50.0,50.0,0.0,0.0,50.32,50.32,50.32,0.0,0.0,49.96,49.96,49.96,0.0,0.0,50.16,50.16,50.16,0.0,0.0
2016-10-02,49.8,49.8,49.8,0.0,0.0,49.84,49.84,49.84,0.0,0.0,49.48,49.48,49.48,0.0,0.0,49.8,49.8,49.8,0.0,0.0
2016-10-09,49.44,49.44,49.44,0.0,0.0,49.52,49.52,49.52,0.0,0.0,49.28,49.28,49.28,0.0,0.0,49.36,49.36,49.36,0.0,0.0
2016-10-16,50.04,50.04,50.04,0.0,0.0,50.32,50.32,50.32,0.0,0.0,50.0,50.0,50.0,0.0,0.0,50.28,50.28,50.28,0.0,0.0
2016-10-23,50.28,50.28,50.28,0.0,0.0,50.48,50.48,50.48,0.0,0.0,50.24,50.24,50.24,0.0,0.0,50.48,50.48,50.48,0.0,0.0
2016-10-30,49.56,49.56,49.56,0.0,0.0,49.72,49.72,49.72,0.0,0.0,49.44,49.44,49.44,0.0,0.0,49.52,49.52,49.52,0.0,0.0
2016-11-06,49.43,49.43,49.43,0.0,0.0,49.56,49.56,49.56,0.0,0.0,49.3,49.3,49.3,0.0,0.0,49.5,49.5,49.5,0.0,0.0
2016-11-13,49.46,49.46,49.46,0.0,0.0,49.52,49.52,49.52,0.0,0.0,49.34,49.34,49.34,0.0,0.0,49.39,49.39,49.39,0.0,0.0
2016-11-20,49.43,49.43,49.43,0.0,0.0,49.52,49.52,49.52,0.0,0.0,49.37,49.37,49.37,0.0,0.0,49.49,49.49,49.49,0.0,0.0
2016-11-27,49.49,49.49,49.49,0.0,0.0,49.63,49.63,49.63,0.0,0.0,49.43,49.43,49.43,0.0,0.0,49.62,49.62,49.62,0.0,0.0
2016-12-04,51.14,51.14,51.14,0.0,0.0,51.28,51.28,51.28,0.0,0.0,51.08,51.08,51.08,0.0,0.0,51.25,51.25,51.25,0.0,0.0
2016-12-11,50.17,50.17,50.17,0.0,0.0,50.26,50.26,50.26,0.0,0.0,50.01,50.01,50.01,0.0,0.0,50.12,50.12,50.12,0.0,0.0
2016-12-18,49.74,49.74,49.74,0.0,0.0,49.8,49.8,49.8,0.0,0.0,49.68,49.68,49.68,0.0,0.0,49.76,49.76,49.76,0.0,0.0
2016-12-25,48.99,48.99,48.99,0.0,0.0,49.04,49.04,49.04,0.0,0.0,48.8,48.8,48.8,0.0,0.0,48.86,48.86,48.86,0.0,0.0
2017-01-01,50.41,50.41,50.41,0.0,0.0,50.56,50.56,50.56,0.0,0.0,50.37,50.37,50.37,0.0,0.0,50.46,50.46,50.46,0.0,0.0
2017-01-08,50.7,50.7,50.7,0.0,0.0,50.92,50.92,50.92,0.0,0.0,50.64,50.64,50.64,0.0,0.0,50.89,50.89,50.89,0.0,0.0
2017-01-15,50.56,50.56,50.56,0.0,0.0,50.6,50.6,50.6,0.0,0.0,50.37,50.37,50.37,0.0,0.0,50.49,50.49,50.49,0.0,0.0
2017-01-22,50.98,50.98,50.98,0.0,0.0,51.02,51.02,51.02,0.0,0.0,50.76,50.76,50.76,0.0,0.0,50.83,50.83,50.83,0.0,0.0
2017-01-29,50.87,50.87,50.87,0.0,0.0,51.12,51.12,51.12,0.0,0.0,50.84,50.84,50.84,0.0,0.0,51.05,51.05,51.05,0.0,0.0
2017-02-05,51.3,51.3,51.3,0.0,0.0,51.41,51.41,51.41,0.0,0.0,51.26,51.26,51.26,0.0,0.0,51.38,51.38,51.38,0.0,0.0
2017-02-12,50.97,50.97,50.97,0.0,0.0,51.2,51.2,51.2,0.0,0.0,50.93,50.93,50.93,0.0,0.0,51.19,51.19,51.19,0.0,0.0
2017-02-19,51.37,51.37,51.37,0.0,0.0,51.54,51.54,51.54,0.0,0.0,51.37,51.37,51.37,0.0,0.0,51.52,51.52,51.52,0.0,0.0
2017-02-26,51.29,51.29,51.29,0.0,0.0,51.39,51.39,51.39,0.0,0.0,51.18,51.18,51.18,0.0,0.0,51.37,51.37,51.37,0.0,0.0
2017-03-05,51.29,51.29,51.29,0.0,0.0,51.38,51.38,51.38,0.0,0.0,51.23,51.23,51.23,0.0,0.0,51.34,51.34,51.34,0.0,0.0
2017-03-12,51.8,51.8,51.8,0.0,0.0,51.91,51.91,51.91,0.0,0.0,51.74,51.74,51.74,0.0,0.0,51.83,51.83,51.83,0.0,0.0
2017-03-19,51.86,51.86,51.86,0.0,0.0,52.04,52.04,52.04,0.0,0.0,51.86,51.86,51.86,0.0,0.0,51.87,51.87,51.87,0.0,0.0
2017-03-26,51.32,51.32,51.32,0.0,0.0,51.52,51.52,51.52,0.0,0.0,51.28,51.28,51.28,0.0,0.0,51.5,51.5,51.5,0.0,0.0
2017-04-02,51.09,51.09,51.09,0.0,0.0,51.2,51.2,51.2,0.0,0.0,51.0,51.0,51.0,0.0,0.0,51.07,51.07,51.07,0.0,0.0
2017-04-09,50.73,50.73,50.73,0.0,0.0,50.73,50.73,50.73,0.0,0.0,50.58,50.58,50.58,0.0,0.0,50.61,50.61,50.61,0.0,0.0
2017-04-16,51.45,51.45,51.45,0.0,0.0,51.51,51.51,51.51,0.0,0.0,51.41,51.41,51.41,0.0,0.0,51.46,51.46,51.46,0.0,0.0
2017-04-23,51.91,51.91,51.91,0.0,0.0,51.93,51.93,51.93,0.0,0.0,51.84,51.84,51.84,0.0,0.0,51.86,51.86,51.86,0.0,0.0
2017-04-30,52.54,52.54,52.54,0.0,0.0,52.79,52.79,52.79,0.0,0.0,52.5,52.5,52.5,0.0,0.0,52.77,52.77,52.77,0.0,0.0
2017-05-07,52.36,52.36,52.36,0.0,0.0,52.45,52.45,52.45,0.0,0.0,52.33,52.33,52.33,0.0,0.0,52.37,52.37,52.37,0.0,0.0
2017-05-14,52.87,52.87,52.87,0.0,0.0,53.08,53.08,53.08,0.0,0.0,52.83,52.83,52.83,0.0,0.0,53.05,53.05,53.05,0.0,0.0
2017-05-21,53.03,53.03,53.03,0.0,0.0,53.18,53.18,53.18,0.0,0.0,52.98,52.98,52.98,0.0,0.0,53.18,53.18,53.18,0.0,0.0
2017-05-28,54.61,54.61,54.61,0.0,0.0,54.9,54.9,54.9,0.0,0.0,54.55,54.55,54.55,0.0,0.0,54.9,54.9,54.9,0.0,0.0
2017-06-04,54.15,54.15,54.15,0.0,0.0,54.34,54.34,54.34,0.0,0.0,53.92,53.92,53.92,0.0,0.0,54.09,54.09,54.09,0.0,0.0
2017-06-11,54.06,54.06,54.06,0.0,0.0,54.23,54.23,54.23,0.0,0.0,54.02,54.02,54.02,0.0,0.0,54.22,54.22,54.22,0.0,0.0
2017-06-18,54.01,54.01,54.01,0.0,0.0,54.08,54.08,54.08,0.0,0.0,53.96,53.96,53.96,0.0,0.0,54.05,54.05,54.05,0.0,0.0
2017-06-25,53.71,53.71,53.71,0.0,0.0,53.76,53.76,53.76,0.0,0.0,53.48,53.48,53.48,0.0,0.0,53.65,53.65,53.65,0.0,0.0
2017-07-02,52.81,52.81,52.81,0.0,0.0,53.0,53.0,53.0,0.0,0.0,52.81,52.81,52.81,0.0,0.0,52.98,52.98,52.98,0.0,0.0
2017-07-09,53.71,53.71,53.71,0.0,0.0,53.72,53.72,53.72,0.0,0.0,53.52,53.52,53.52,0.0,0.0,53.63,53.63,53.63,0.0,0.0
2017-07-16,54.24,54.24,54.24,0.0,0.0,54.4,54.4,54.4,0.0,0.0,54.21,54.21,54.21,0.0,0.0,54.36,54.36,54.36,0.0,0.0
2017-07-23,54.41,54.41,54.41,0.0,0.0,54.6,54.6,54.6,0.0,0.0,54.38,54.38,54.38,0.0,0.0,54.58,54.58,54.58,0.0,0.0
2017-07-30,55.15,55.15,55.15,0.0,0.0,55.19,55.19,55.19,0.0,0.0,54.99,54.99,54.99,0.0,0.0,55.14,55.14,55.14,0.0,0.0
2017-08-06,54.17,54.17,54.17,0.0,0.0,54.24,54.24,54.24,0.0,0.0,54.06,54.06,54.06,0.0,0.0,54.07,54.07,54.07,0.0,0.0
2017-08-13,54.38,54.38,54.38,0.0,0.0,54.58,54.58,54.58,0.0,0.0,54.38,54.38,54.38,0.0,0.0,54.45,54.45,54.45,0.0,0.0
2017-08-20,54.31,54.31,54.31,0.0,0.0,54.47,54.47,54.47,0.0,0.0,54.26,54.26,54.26,0.0,0.0,54.36,54.36,54.36,0.0,0.0
2017-08-27,54.63,54.63,54.63,0.0,0.0,54.68,54.68,54.68,0.0,0.0,54.48,54.48,54.48,0.0,0.0,54.49,54.49,54.49,0.0,0.0
2017-09-03,54.97,54.97,54.97,0.0,0.0,55.04,55.04,55.04,0.0,0.0,54.91,54.91,54.91,0.0,0.0,54.97,54.97,54.97,0.0,0.0
2017-09-10,55.16,55.16,55.16,0.0,0.0,55.26,55.26,55.26,0.0,0.0,55.05,55.05,55.05,0.0,0.0,55.24,55.24,55.24,0.0,0.0
2017-09-17,55.42,55.42,55.42,0.0,0.0,55.45,55.45,55.45,0.0,0.0,55.37,55.37,55.37,0.0,0.0,55.43,55.43,55.43,0.0,0.0
2017-09-24,55.7,55.7,55.7,0.0,0.0,55.75,55.75,55.75,0.0,0.0,55.58,55.58,55.58,0.0,0.0,55.71,55.71,55.71,0.0,0.0
2017-10-01,55.81,55.81,55.81,0.0,0.0,56.01,56.01,56.01,0.0,0.0,55.77,55.77,55.77,0.0,0.0,55.99,55.99,55.99,0.0,0.0
2017-10-08,57.28,57.28,57.28,0.0,0.0,57.38,57.38,57.38,0.0,0.0,57.21,57.21,57.21,0.0,0.0,57.38,57.38,57.38,0.0,0.0
2017-10-15,57.39,57.39,57.39,0.0,0.0,57.53,57.53,57.53,0.0,0.0,57.32,57.32,57.32,0.0,0.0,57.52,57.52,57.52,0.0,0.0
2017-10-22,58.28,58.28,58.28,0.0,0.0,58.43,58.43,58.43,0.0,0.0,58.17,58.17,58.17,0.0,0.0,58.42,58.42,58.42,0.0,0.0
2017-10-29,59.04,59.04,59.04,0.0,0.0,59.2,59.2,59.2,0.0,0.0,58.95,58.95,58.95,0.0,0.0,59.19,59.19,59.19,0.0,0.0
2017-11-05,59.08,59.08,59.08,0.0,0.0,59.2,59.2,59.2,0.0,0.0,58.94,58.94,58.94,0.0,0.0,59.08,59.08,59.08,0.0,0.0
2017-11-12,58.82,58.82,58.82,0.0,0.0,58.86,58.86,58.86,0.0,0.0,58.68,58.68,58.68,0.0,0.0,58.69,58.69,58.69,0.0,0.0
2017-11-19,60.01,60.01,60.01,0.0,0.0,60.08,60.08,60.08,0.0,0.0,59.96,59.96,59.96,0.0,0.0,60.05,60.05,60.05,0.0,0.0
2017-11-26,59.68,59.68,59.68,0.0,0.0,59.74,59.74,59.74,0.0,0.0,59.21,59.21,59.21,0.0,0.0,59.64,59.64,59.64,0.0,0.0
2017-12-03,59.58,59.58,59.58,0.0,0.0,59.61,59.61,59.61,0.0,0.0,59.41,59.41,59.41,0.0,0.0,59.6,59.6,59.6,0.0,0.0
2017-12-10,59.86,59.86,59.86,0.0,0.0,60.0,60.0,60.0,0.0,0.0,59.79,59.79,59.79,0.0,0.0,59.9,59.9,59.9,0.0,0.0
2017-12-17,59.95,59.95,59.95,0.0,0.0,60.04,60.04,60.04,0.0,0.0,59.83,59.83,59.83,0.0,0.0,60.01,60.01,60.01,0.0,0.0
2017-12-24,60.02,60.02,60.02,0.0,0.0,60.09,60.09,60.09,0.0,0.0,59.9,59.9,59.9,0.0,0.0,59.93,59.93,59.93,0.0,0.0
2017-12-31,61.9,61.9,61.9,0.0,0.0,62.07,62.07,62.07,0.0,0.0,61.81,61.81,61.81,0.0,0.0,62.04,62.04,62.04,0.0,0.0
