Date,PowerShares KBW Premium Yield Equity REIT PortfoliEtf_Open_average,PowerShares KBW Premium Yield Equity REIT PortfoliEtf_Open_max,PowerShares KBW Premium Yield Equity REIT PortfoliEtf_Open_min,PowerShares KBW Premium Yield Equity REIT PortfoliEtf_Open_volatility,PowerShares KBW Premium Yield Equity REIT PortfoliEtf_Open_change,PowerShares KBW Premium Yield Equity REIT PortfoliEtf_High_average,PowerShares KBW Premium Yield Equity REIT PortfoliEtf_High_max,PowerShares KBW Premium Yield Equity REIT PortfoliEtf_High_min,PowerShares KBW Premium Yield Equity REIT PortfoliEtf_High_volatility,PowerShares KBW Premium Yield Equity REIT PortfoliEtf_High_change,PowerShares KBW Premium Yield Equity REIT PortfoliEtf_Low_average,PowerShares KBW Premium Yield Equity REIT PortfoliEtf_Low_max,PowerShares KBW Premium Yield Equity REIT PortfoliEtf_Low_min,PowerShares KBW Premium Yield Equity REIT PortfoliEtf_Low_volatility,PowerShares KBW Premium Yield Equity REIT PortfoliEtf_Low_change,PowerShares KBW Premium Yield Equity REIT PortfoliEtf_Close_average,PowerShares KBW Premium Yield Equity REIT PortfoliEtf_Close_max,PowerShares KBW Premium Yield Equity REIT PortfoliEtf_Close_min,PowerShares KBW Premium Yield Equity REIT PortfoliEtf_Close_volatility,PowerShares KBW Premium Yield Equity REIT PortfoliEtf_Close_change
2016-04-03,32.17,32.17,32.17,0.0,0.0,32.45,32.45,32.45,0.0,0.0,32.17,32.17,32.17,0.0,0.0,32.24,32.24,32.24,0.0,0.0
2016-04-10,32.58,32.58,32.58,0.0,0.0,32.93,32.93,32.93,0.0,0.0,32.56,32.56,32.56,0.0,0.0,32.84,32.84,32.84,0.0,0.0
2016-04-17,32.05,32.05,32.05,0.0,0.0,32.35,32.35,32.35,0.0,0.0,32.01,32.01,32.01,0.0,0.0,32.28,32.28,32.28,0.0,0.0
2016-04-24,32.67,32.67,32.67,0.0,0.0,32.69,32.69,32.69,0.0,0.0,32.21,32.21,32.21,0.0,0.0,32.5,32.5,32.5,0.0,0.0
2016-05-01,33.54,33.54,33.54,0.0,0.0,34.08,34.08,34.08,0.0,0.0,33.54,33.54,33.54,0.0,0.0,34.07,34.07,34.07,0.0,0.0
2016-05-08,33.69,33.69,33.69,0.0,0.0,33.69,33.69,33.69,0.0,0.0,33.12,33.12,33.12,0.0,0.0,33.42,33.42,33.42,0.0,0.0
2016-05-15,32.18,32.18,32.18,0.0,0.0,32.37,32.37,32.37,0.0,0.0,32.1,32.1,32.1,0.0,0.0,32.28,32.28,32.28,0.0,0.0
2016-05-22,32.99,32.99,32.99,0.0,0.0,33.13,33.13,33.13,0.0,0.0,32.92,32.92,32.92,0.0,0.0,33.05,33.05,33.05,0.0,0.0
2016-05-29,33.74,33.74,33.74,0.0,0.0,33.92,33.92,33.92,0.0,0.0,33.06,33.06,33.06,0.0,0.0,33.87,33.87,33.87,0.0,0.0
2016-06-05,34.71,34.71,34.71,0.0,0.0,34.78,34.78,34.78,0.0,0.0,34.55,34.55,34.55,0.0,0.0,34.66,34.66,34.66,0.0,0.0
2016-06-12,33.94,33.94,33.94,0.0,0.0,34.18,34.18,34.18,0.0,0.0,33.89,33.89,33.89,0.0,0.0,34.16,34.16,34.16,0.0,0.0
2016-06-19,33.99,33.99,33.99,0.0,0.0,34.52,34.52,34.52,0.0,0.0,33.2,33.2,33.2,0.0,0.0,34.29,34.29,34.29,0.0,0.0
2016-06-26,35.44,35.44,35.44,0.0,0.0,35.77,35.77,35.77,0.0,0.0,35.44,35.44,35.44,0.0,0.0,35.75,35.75,35.75,0.0,0.0
2016-07-03,35.69,35.69,35.69,0.0,0.0,36.12,36.12,36.12,0.0,0.0,35.61,35.61,35.61,0.0,0.0,36.1,36.1,36.1,0.0,0.0
2016-07-10,36.76,36.76,36.76,0.0,0.0,36.82,36.82,36.82,0.0,0.0,36.33,36.33,36.33,0.0,0.0,36.79,36.79,36.79,0.0,0.0
2016-07-17,37.73,37.73,37.73,0.0,0.0,37.9,37.9,37.9,0.0,0.0,37.62,37.62,37.62,0.0,0.0,37.82,37.82,37.82,0.0,0.0
2016-07-24,37.61,37.61,37.61,0.0,0.0,38.55,38.55,38.55,0.0,0.0,37.61,37.61,37.61,0.0,0.0,38.36,38.36,38.36,0.0,0.0
2016-07-31,37.65,37.65,37.65,0.0,0.0,38.07,38.07,38.07,0.0,0.0,37.65,37.65,37.65,0.0,0.0,37.95,37.95,37.95,0.0,0.0
2016-08-07,37.97,37.97,37.97,0.0,0.0,38.59,38.59,38.59,0.0,0.0,37.97,37.97,37.97,0.0,0.0,38.26,38.26,38.26,0.0,0.0
2016-08-14,36.98,36.98,36.98,0.0,0.0,37.05,37.05,37.05,0.0,0.0,36.83,36.83,36.83,0.0,0.0,37.03,37.03,37.03,0.0,0.0
2016-08-21,37.6,37.6,37.6,0.0,0.0,37.69,37.69,37.69,0.0,0.0,36.67,36.67,36.67,0.0,0.0,36.93,36.93,36.93,0.0,0.0
2016-08-28,37.45,37.45,37.45,0.0,0.0,38.07,38.07,38.07,0.0,0.0,37.37,37.37,37.37,0.0,0.0,37.75,37.75,37.75,0.0,0.0
2016-09-04,37.78,37.78,37.78,0.0,0.0,37.78,37.78,37.78,0.0,0.0,36.15,36.15,36.15,0.0,0.0,36.16,36.16,36.16,0.0,0.0
2016-09-11,35.29,35.29,35.29,0.0,0.0,35.44,35.44,35.44,0.0,0.0,35.06,35.06,35.06,0.0,0.0,35.42,35.42,35.42,0.0,0.0
2016-09-18,36.96,36.96,36.96,0.0,0.0,37.12,37.12,37.12,0.0,0.0,36.61,36.61,36.61,0.0,0.0,37.01,37.01,37.01,0.0,0.0
2016-09-25,36.24,36.24,36.24,0.0,0.0,36.24,36.24,36.24,0.0,0.0,35.86,35.86,35.86,0.0,0.0,35.87,35.87,35.87,0.0,0.0
2016-10-02,34.22,34.22,34.22,0.0,0.0,34.43,34.43,34.43,0.0,0.0,33.82,33.82,33.82,0.0,0.0,33.84,33.84,33.84,0.0,0.0
2016-10-09,34.36,34.36,34.36,0.0,0.0,34.59,34.59,34.59,0.0,0.0,34.21,34.21,34.21,0.0,0.0,34.24,34.24,34.24,0.0,0.0
2016-10-16,34.66,34.66,34.66,0.0,0.0,35.12,35.12,35.12,0.0,0.0,34.66,34.66,34.66,0.0,0.0,34.91,34.91,34.91,0.0,0.0
2016-10-23,33.38,33.38,33.38,0.0,0.0,33.56,33.56,33.56,0.0,0.0,33.13,33.13,33.13,0.0,0.0,33.34,33.34,33.34,0.0,0.0
2016-10-30,32.13,32.13,32.13,0.0,0.0,32.46,32.46,32.46,0.0,0.0,32.01,32.01,32.01,0.0,0.0,32.33,32.33,32.33,0.0,0.0
2016-11-06,33.77,33.77,33.77,0.0,0.0,34.52,34.52,34.52,0.0,0.0,33.77,33.77,33.77,0.0,0.0,34.4,34.4,34.4,0.0,0.0
2016-11-13,34.74,34.74,34.74,0.0,0.0,35.14,35.14,35.14,0.0,0.0,34.74,34.74,34.74,0.0,0.0,35.07,35.07,35.07,0.0,0.0
2016-11-20,36.18,36.18,36.18,0.0,0.0,36.34,36.34,36.34,0.0,0.0,36.1,36.1,36.1,0.0,0.0,36.25,36.25,36.25,0.0,0.0
2016-11-27,35.85,35.85,35.85,0.0,0.0,36.27,36.27,36.27,0.0,0.0,35.83,35.83,35.83,0.0,0.0,35.92,35.92,35.92,0.0,0.0
2016-12-04,38.08,38.08,38.08,0.0,0.0,38.08,38.08,38.08,0.0,0.0,37.58,37.58,37.58,0.0,0.0,37.72,37.72,37.72,0.0,0.0
2016-12-11,36.55,36.55,36.55,0.0,0.0,37.12,37.12,37.12,0.0,0.0,36.55,36.55,36.55,0.0,0.0,36.74,36.74,36.74,0.0,0.0
2016-12-18,36.73,36.73,36.73,0.0,0.0,36.93,36.93,36.93,0.0,0.0,36.6,36.6,36.6,0.0,0.0,36.93,36.93,36.93,0.0,0.0
2016-12-25,37.45,37.45,37.45,0.0,0.0,37.75,37.75,37.75,0.0,0.0,37.25,37.25,37.25,0.0,0.0,37.64,37.64,37.64,0.0,0.0
2017-01-01,38.0,38.0,38.0,0.0,0.0,38.16,38.16,38.16,0.0,0.0,37.66,37.66,37.66,0.0,0.0,37.83,37.83,37.83,0.0,0.0
2017-01-08,37.68,37.68,37.68,0.0,0.0,37.8,37.8,37.8,0.0,0.0,37.42,37.42,37.42,0.0,0.0,37.5,37.5,37.5,0.0,0.0
2017-01-15,37.19,37.19,37.19,0.0,0.0,37.55,37.55,37.55,0.0,0.0,37.19,37.19,37.19,0.0,0.0,37.46,37.46,37.46,0.0,0.0
2017-01-22,38.26,38.26,38.26,0.0,0.0,38.26,38.26,38.26,0.0,0.0,37.47,37.47,37.47,0.0,0.0,37.65,37.65,37.65,0.0,0.0
2017-01-29,37.66,37.66,37.66,0.0,0.0,37.82,37.82,37.82,0.0,0.0,37.45,37.45,37.45,0.0,0.0,37.74,37.74,37.74,0.0,0.0
2017-02-05,37.98,37.98,37.98,0.0,0.0,38.16,38.16,38.16,0.0,0.0,37.88,37.88,37.88,0.0,0.0,38.12,38.12,38.12,0.0,0.0
2017-02-12,38.04,38.04,38.04,0.0,0.0,38.17,38.17,38.17,0.0,0.0,37.68,37.68,37.68,0.0,0.0,37.95,37.95,37.95,0.0,0.0
2017-02-19,38.37,38.37,38.37,0.0,0.0,38.38,38.38,38.38,0.0,0.0,38.0,38.0,38.0,0.0,0.0,38.38,38.38,38.38,0.0,0.0
2017-02-26,38.0,38.0,38.0,0.0,0.0,38.18,38.18,38.18,0.0,0.0,37.37,37.37,37.37,0.0,0.0,37.93,37.93,37.93,0.0,0.0
2017-03-05,35.89,35.89,35.89,0.0,0.0,36.19,36.19,36.19,0.0,0.0,35.55,35.55,35.55,0.0,0.0,35.83,35.83,35.83,0.0,0.0
2017-03-12,36.68,36.68,36.68,0.0,0.0,36.95,36.95,36.95,0.0,0.0,36.47,36.47,36.47,0.0,0.0,36.94,36.94,36.94,0.0,0.0
2017-03-19,36.46,36.46,36.46,0.0,0.0,36.72,36.72,36.72,0.0,0.0,36.46,36.46,36.46,0.0,0.0,36.52,36.52,36.52,0.0,0.0
2017-03-26,37.48,37.48,37.48,0.0,0.0,37.77,37.77,37.77,0.0,0.0,37.38,37.38,37.38,0.0,0.0,37.7,37.7,37.7,0.0,0.0
2017-04-02,37.8,37.8,37.8,0.0,0.0,38.14,38.14,38.14,0.0,0.0,37.8,37.8,37.8,0.0,0.0,37.84,37.84,37.84,0.0,0.0
2017-04-09,38.46,38.46,38.46,0.0,0.0,38.46,38.46,38.46,0.0,0.0,38.17,38.17,38.17,0.0,0.0,38.28,38.28,38.28,0.0,0.0
2017-04-16,39.0,39.0,39.0,0.0,0.0,39.02,39.02,39.02,0.0,0.0,38.84,38.84,38.84,0.0,0.0,39.01,39.01,39.01,0.0,0.0
2017-04-23,38.81,38.81,38.81,0.0,0.0,38.81,38.81,38.81,0.0,0.0,37.75,37.75,37.75,0.0,0.0,37.87,37.87,37.87,0.0,0.0
2017-04-30,36.88,36.88,36.88,0.0,0.0,37.25,37.25,37.25,0.0,0.0,36.81,36.81,36.81,0.0,0.0,37.25,37.25,37.25,0.0,0.0
2017-05-07,36.44,36.44,36.44,0.0,0.0,36.65,36.65,36.65,0.0,0.0,36.27,36.27,36.27,0.0,0.0,36.29,36.29,36.29,0.0,0.0
2017-05-14,36.27,36.27,36.27,0.0,0.0,36.69,36.69,36.69,0.0,0.0,36.15,36.15,36.15,0.0,0.0,36.49,36.49,36.49,0.0,0.0
2017-05-21,36.88,36.88,36.88,0.0,0.0,36.88,36.88,36.88,0.0,0.0,36.4,36.4,36.4,0.0,0.0,36.63,36.63,36.63,0.0,0.0
2017-05-28,37.15,37.15,37.15,0.0,0.0,37.46,37.46,37.46,0.0,0.0,37.01,37.01,37.01,0.0,0.0,37.19,37.19,37.19,0.0,0.0
2017-06-04,37.35,37.35,37.35,0.0,0.0,38.0,38.0,38.0,0.0,0.0,37.17,37.17,37.17,0.0,0.0,37.8,37.8,37.8,0.0,0.0
2017-06-11,37.98,37.98,37.98,0.0,0.0,37.98,37.98,37.98,0.0,0.0,37.45,37.45,37.45,0.0,0.0,37.72,37.72,37.72,0.0,0.0
2017-06-18,37.78,37.78,37.78,0.0,0.0,38.06,38.06,38.06,0.0,0.0,37.7,37.7,37.7,0.0,0.0,37.94,37.94,37.94,0.0,0.0
2017-06-25,37.6,37.6,37.6,0.0,0.0,37.6,37.6,37.6,0.0,0.0,37.05,37.05,37.05,0.0,0.0,37.25,37.25,37.25,0.0,0.0
2017-07-02,36.65,36.65,36.65,0.0,0.0,36.9,36.9,36.9,0.0,0.0,36.37,36.37,36.37,0.0,0.0,36.85,36.85,36.85,0.0,0.0
2017-07-09,37.12,37.12,37.12,0.0,0.0,37.35,37.35,37.35,0.0,0.0,37.1,37.1,37.1,0.0,0.0,37.29,37.29,37.29,0.0,0.0
2017-07-16,37.62,37.62,37.62,0.0,0.0,37.84,37.84,37.84,0.0,0.0,37.27,37.27,37.27,0.0,0.0,37.55,37.55,37.55,0.0,0.0
2017-07-23,38.07,38.07,38.07,0.0,0.0,38.1,38.1,38.1,0.0,0.0,37.49,37.49,37.49,0.0,0.0,37.73,37.73,37.73,0.0,0.0
2017-07-30,36.96,36.96,36.96,0.0,0.0,37.26,37.26,37.26,0.0,0.0,36.68,36.68,36.68,0.0,0.0,37.26,37.26,37.26,0.0,0.0
2017-08-06,36.33,36.33,36.33,0.0,0.0,36.33,36.33,36.33,0.0,0.0,35.82,35.82,35.82,0.0,0.0,36.15,36.15,36.15,0.0,0.0
2017-08-13,35.74,35.74,35.74,0.0,0.0,36.02,36.02,36.02,0.0,0.0,35.58,35.58,35.58,0.0,0.0,35.65,35.65,35.65,0.0,0.0
2017-08-20,36.27,36.27,36.27,0.0,0.0,36.46,36.46,36.46,0.0,0.0,35.94,35.94,35.94,0.0,0.0,36.36,36.36,36.36,0.0,0.0
2017-08-27,36.45,36.45,36.45,0.0,0.0,36.86,36.86,36.86,0.0,0.0,36.45,36.45,36.45,0.0,0.0,36.62,36.62,36.62,0.0,0.0
2017-09-03,36.69,36.69,36.69,0.0,0.0,37.07,37.07,37.07,0.0,0.0,36.54,36.54,36.54,0.0,0.0,36.9,36.9,36.9,0.0,0.0
2017-09-10,37.22,37.22,37.22,0.0,0.0,37.47,37.47,37.47,0.0,0.0,36.95,36.95,36.95,0.0,0.0,37.45,37.45,37.45,0.0,0.0
2017-09-17,36.57,36.57,36.57,0.0,0.0,36.83,36.83,36.83,0.0,0.0,36.55,36.55,36.55,0.0,0.0,36.64,36.64,36.64,0.0,0.0
2017-09-24,37.61,37.61,37.61,0.0,0.0,37.62,37.62,37.62,0.0,0.0,37.37,37.37,37.37,0.0,0.0,37.5,37.5,37.5,0.0,0.0
2017-10-01,37.8,37.8,37.8,0.0,0.0,37.8,37.8,37.8,0.0,0.0,37.49,37.49,37.49,0.0,0.0,37.65,37.65,37.65,0.0,0.0
2017-10-08,38.43,38.43,38.43,0.0,0.0,38.43,38.43,38.43,0.0,0.0,38.03,38.03,38.03,0.0,0.0,38.23,38.23,38.23,0.0,0.0
2017-10-15,38.37,38.37,38.37,0.0,0.0,38.42,38.42,38.42,0.0,0.0,37.64,37.64,37.64,0.0,0.0,37.8,37.8,37.8,0.0,0.0
2017-10-22,36.68,36.68,36.68,0.0,0.0,36.99,36.99,36.99,0.0,0.0,36.39,36.39,36.39,0.0,0.0,36.75,36.75,36.75,0.0,0.0
2017-10-29,36.77,36.77,36.77,0.0,0.0,36.77,36.77,36.77,0.0,0.0,35.96,35.96,35.96,0.0,0.0,35.99,35.99,35.99,0.0,0.0
2017-11-05,36.3,36.3,36.3,0.0,0.0,36.75,36.75,36.75,0.0,0.0,36.3,36.3,36.3,0.0,0.0,36.57,36.57,36.57,0.0,0.0
2017-11-12,36.51,36.51,36.51,0.0,0.0,36.51,36.51,36.51,0.0,0.0,36.3,36.3,36.3,0.0,0.0,36.4,36.4,36.4,0.0,0.0
2017-11-19,36.56,36.56,36.56,0.0,0.0,36.62,36.62,36.62,0.0,0.0,36.47,36.47,36.47,0.0,0.0,36.51,36.51,36.51,0.0,0.0
2017-11-26,36.63,36.63,36.63,0.0,0.0,36.63,36.63,36.63,0.0,0.0,35.9,35.9,35.9,0.0,0.0,36.36,36.36,36.36,0.0,0.0
2017-12-03,35.67,35.67,35.67,0.0,0.0,35.91,35.91,35.91,0.0,0.0,35.62,35.62,35.62,0.0,0.0,35.87,35.87,35.87,0.0,0.0
2017-12-10,35.89,35.89,35.89,0.0,0.0,36.25,36.25,36.25,0.0,0.0,35.77,35.77,35.77,0.0,0.0,36.13,36.13,36.13,0.0,0.0
2017-12-17,34.91,34.91,34.91,0.0,0.0,35.06,35.06,35.06,0.0,0.0,34.7,34.7,34.7,0.0,0.0,35.02,35.02,35.02,0.0,0.0
2017-12-24,35.52,35.52,35.52,0.0,0.0,35.77,35.77,35.77,0.0,0.0,35.41,35.41,35.41,0.0,0.0,35.41,35.41,35.41,0.0,0.0
2017-12-31,35.08,35.08,35.08,0.0,0.0,35.08,35.08,35.08,0.0,0.0,34.69,34.69,34.69,0.0,0.0,34.85,34.85,34.85,0.0,0.0
