Date,iShares Dow Jones US_etf_Open_average,iShares Dow Jones US_etf_Open_max,iShares Dow Jones US_etf_Open_min,iShares Dow Jones US_etf_Open_volatility,iShares Dow Jones US_etf_Open_change,iShares Dow Jones US_etf_High_average,iShares Dow Jones US_etf_High_max,iShares Dow Jones US_etf_High_min,iShares Dow Jones US_etf_High_volatility,iShares Dow Jones US_etf_High_change,iShares Dow Jones US_etf_Low_average,iShares Dow Jones US_etf_Low_max,iShares Dow Jones US_etf_Low_min,iShares Dow Jones US_etf_Low_volatility,iShares Dow Jones US_etf_Low_change,iShares Dow Jones US_etf_Close_average,iShares Dow Jones US_etf_Close_max,iShares Dow Jones US_etf_Close_min,iShares Dow Jones US_etf_Close_volatility,iShares Dow Jones US_etf_Close_change
2016-05-22,104.28,104.28,104.28,0.0,0.0,104.73,104.73,104.73,0.0,0.0,104.28,104.28,104.28,0.0,0.0,104.7,104.7,104.7,0.0,0.0
2016-05-29,104.89,104.89,104.89,0.0,0.0,105.18,105.18,105.18,0.0,0.0,104.4,104.4,104.4,0.0,0.0,104.95,104.95,104.95,0.0,0.0
2016-06-05,105.11,105.11,105.11,0.0,0.0,105.14,105.14,105.14,0.0,0.0,104.49,104.49,104.49,0.0,0.0,104.73,104.73,104.73,0.0,0.0
2016-06-12,103.91,103.91,103.91,0.0,0.0,103.91,103.91,103.91,0.0,0.0,103.15,103.15,103.15,0.0,0.0,103.51,103.51,103.51,0.0,0.0
2016-06-19,101.59,101.59,101.59,0.0,0.0,103.18,103.18,103.18,0.0,0.0,101.14,101.14,101.14,0.0,0.0,101.48,101.48,101.48,0.0,0.0
2016-06-26,104.46,104.46,104.46,0.0,0.0,105.03,105.03,105.03,0.0,0.0,104.37,104.37,104.37,0.0,0.0,104.74,104.74,104.74,0.0,0.0
2016-07-03,105.12,105.12,105.12,0.0,0.0,106.17,106.17,106.17,0.0,0.0,105.12,105.12,105.12,0.0,0.0,106.08,106.08,106.08,0.0,0.0
2016-07-10,108.15,108.15,108.15,0.0,0.0,108.15,108.15,108.15,0.0,0.0,107.51,107.51,107.51,0.0,0.0,107.72,107.72,107.72,0.0,0.0
2016-07-17,107.91,107.91,107.91,0.0,0.0,108.45,108.45,108.45,0.0,0.0,107.85,107.85,107.85,0.0,0.0,108.39,108.39,108.39,0.0,0.0
2016-07-24,108.12,108.12,108.12,0.0,0.0,108.63,108.63,108.63,0.0,0.0,107.95,107.95,107.95,0.0,0.0,108.58,108.58,108.58,0.0,0.0
2016-07-31,108.42,108.42,108.42,0.0,0.0,108.92,108.92,108.92,0.0,0.0,108.42,108.42,108.42,0.0,0.0,108.85,108.85,108.85,0.0,0.0
2016-08-07,109.02,109.02,109.02,0.0,0.0,109.18,109.18,109.18,0.0,0.0,108.82,108.82,108.82,0.0,0.0,109.07,109.07,109.07,0.0,0.0
2016-08-14,109.05,109.05,109.05,0.0,0.0,109.17,109.17,109.17,0.0,0.0,108.81,108.81,108.81,0.0,0.0,109.16,109.16,109.16,0.0,0.0
2016-08-21,108.79,108.79,108.79,0.0,0.0,109.37,109.37,109.37,0.0,0.0,108.12,108.12,108.12,0.0,0.0,108.44,108.44,108.44,0.0,0.0
2016-08-28,109.1,109.1,109.1,0.0,0.0,109.47,109.47,109.47,0.0,0.0,108.94,108.94,108.94,0.0,0.0,109.21,109.21,109.21,0.0,0.0
2016-09-04,108.59,108.59,108.59,0.0,0.0,108.59,108.59,108.59,0.0,0.0,106.77,106.77,106.77,0.0,0.0,106.77,106.77,106.77,0.0,0.0
2016-09-11,107.29,107.29,107.29,0.0,0.0,107.52,107.52,107.52,0.0,0.0,106.84,106.84,106.84,0.0,0.0,107.35,107.35,107.35,0.0,0.0
2016-09-18,109.03,109.03,109.03,0.0,0.0,109.03,109.03,109.03,0.0,0.0,108.62,108.62,108.62,0.0,0.0,108.71,108.71,108.71,0.0,0.0
2016-09-25,107.91,107.91,107.91,0.0,0.0,108.62,108.62,108.62,0.0,0.0,107.88,107.88,107.88,0.0,0.0,108.4,108.4,108.4,0.0,0.0
2016-10-02,107.99,107.99,107.99,0.0,0.0,108.11,108.11,108.11,0.0,0.0,107.13,107.13,107.13,0.0,0.0,107.5,107.5,107.5,0.0,0.0
2016-10-09,106.92,106.92,106.92,0.0,0.0,107.26,107.26,107.26,0.0,0.0,106.41,106.41,106.41,0.0,0.0,106.41,106.41,106.41,0.0,0.0
2016-10-16,106.53,106.53,106.53,0.0,0.0,106.96,106.96,106.96,0.0,0.0,106.38,106.38,106.38,0.0,0.0,106.89,106.89,106.89,0.0,0.0
2016-10-23,106.2,106.2,106.2,0.0,0.0,106.74,106.74,106.74,0.0,0.0,105.81,105.81,105.81,0.0,0.0,106.03,106.03,106.03,0.0,0.0
2016-10-30,104.18,104.18,104.18,0.0,0.0,104.74,104.74,104.74,0.0,0.0,104.04,104.04,104.04,0.0,0.0,104.06,104.06,104.06,0.0,0.0
2016-11-06,108.02,108.02,108.02,0.0,0.0,108.4,108.4,108.4,0.0,0.0,107.66,107.66,107.66,0.0,0.0,108.32,108.32,108.32,0.0,0.0
2016-11-13,109.86,109.86,109.86,0.0,0.0,109.86,109.86,109.86,0.0,0.0,109.44,109.44,109.44,0.0,0.0,109.46,109.46,109.46,0.0,0.0
2016-11-20,110.86,110.86,110.86,0.0,0.0,111.2,111.2,111.2,0.0,0.0,110.76,110.76,110.76,0.0,0.0,111.2,111.2,111.2,0.0,0.0
2016-11-27,110.0,110.0,110.0,0.0,0.0,110.43,110.43,110.43,0.0,0.0,109.86,109.86,109.86,0.0,0.0,110.14,110.14,110.14,0.0,0.0
2016-12-04,113.25,113.25,113.25,0.0,0.0,113.71,113.71,113.71,0.0,0.0,113.25,113.25,113.25,0.0,0.0,113.67,113.67,113.67,0.0,0.0
2016-12-11,114.1,114.1,114.1,0.0,0.0,114.1,114.1,114.1,0.0,0.0,113.29,113.29,113.29,0.0,0.0,113.5,113.5,113.5,0.0,0.0
2016-12-18,113.14,113.14,113.14,0.0,0.0,113.18,113.18,113.18,0.0,0.0,112.95,112.95,112.95,0.0,0.0,113.11,113.11,113.11,0.0,0.0
2016-12-25,112.54,112.54,112.54,0.0,0.0,112.54,112.54,112.54,0.0,0.0,111.76,111.76,111.76,0.0,0.0,111.91,111.91,111.91,0.0,0.0
2017-01-01,113.61,113.61,113.61,0.0,0.0,114.18,114.18,114.18,0.0,0.0,113.34,113.34,113.34,0.0,0.0,114.02,114.02,114.02,0.0,0.0
2017-01-08,113.75,113.75,113.75,0.0,0.0,114.11,114.11,114.11,0.0,0.0,113.75,113.75,113.75,0.0,0.0,113.94,113.94,113.94,0.0,0.0
2017-01-15,113.78,113.78,113.78,0.0,0.0,113.99,113.99,113.99,0.0,0.0,113.45,113.45,113.45,0.0,0.0,113.75,113.75,113.75,0.0,0.0
2017-01-22,115.08,115.08,115.08,0.0,0.0,115.09,115.09,115.09,0.0,0.0,114.85,114.85,114.85,0.0,0.0,114.96,114.96,114.96,0.0,0.0
2017-01-29,114.78,114.78,114.78,0.0,0.0,115.26,115.26,115.26,0.0,0.0,114.69,114.69,114.69,0.0,0.0,115.18,115.18,115.18,0.0,0.0
2017-02-05,116.04,116.04,116.04,0.0,0.0,116.4,116.4,116.4,0.0,0.0,115.96,115.96,115.96,0.0,0.0,116.25,116.25,116.25,0.0,0.0
2017-02-12,117.37,117.37,117.37,0.0,0.0,118.01,118.01,118.01,0.0,0.0,117.37,117.37,117.37,0.0,0.0,118.01,118.01,118.01,0.0,0.0
2017-02-19,117.92,117.92,117.92,0.0,0.0,118.67,118.67,118.67,0.0,0.0,117.92,117.92,117.92,0.0,0.0,118.67,118.67,118.67,0.0,0.0
2017-02-26,119.32,119.32,119.32,0.0,0.0,119.48,119.48,119.48,0.0,0.0,119.08,119.08,119.08,0.0,0.0,119.4,119.4,119.4,0.0,0.0
2017-03-05,119.03,119.03,119.03,0.0,0.0,119.04,119.04,119.04,0.0,0.0,118.45,118.45,118.45,0.0,0.0,118.83,118.83,118.83,0.0,0.0
2017-03-12,119.57,119.57,119.57,0.0,0.0,119.62,119.62,119.62,0.0,0.0,119.23,119.23,119.23,0.0,0.0,119.32,119.32,119.32,0.0,0.0
2017-03-19,117.32,117.32,117.32,0.0,0.0,117.59,117.59,117.59,0.0,0.0,116.69,116.69,116.69,0.0,0.0,117.0,117.0,117.0,0.0,0.0
2017-03-26,118.18,118.18,118.18,0.0,0.0,118.41,118.41,118.41,0.0,0.0,118.08,118.08,118.08,0.0,0.0,118.11,118.11,118.11,0.0,0.0
2017-04-02,117.69,117.69,117.69,0.0,0.0,118.06,118.06,118.06,0.0,0.0,117.54,117.54,117.54,0.0,0.0,117.69,117.69,117.69,0.0,0.0
2017-04-09,117.05,117.05,117.05,0.0,0.0,117.36,117.36,117.36,0.0,0.0,116.43,116.43,116.43,0.0,0.0,116.43,116.43,116.43,0.0,0.0
2017-04-16,117.94,117.94,117.94,0.0,0.0,117.94,117.94,117.94,0.0,0.0,117.4,117.4,117.4,0.0,0.0,117.76,117.76,117.76,0.0,0.0
2017-04-23,119.93,119.93,119.93,0.0,0.0,119.93,119.93,119.93,0.0,0.0,119.26,119.26,119.26,0.0,0.0,119.32,119.32,119.32,0.0,0.0
2017-04-30,119.68,119.68,119.68,0.0,0.0,120.05,120.05,120.05,0.0,0.0,119.56,119.56,119.56,0.0,0.0,120.05,120.05,120.05,0.0,0.0
2017-05-07,119.67,119.67,119.67,0.0,0.0,119.67,119.67,119.67,0.0,0.0,119.41,119.41,119.41,0.0,0.0,119.49,119.49,119.49,0.0,0.0
2017-05-14,118.72,118.72,118.72,0.0,0.0,119.59,119.59,119.59,0.0,0.0,118.72,118.72,118.72,0.0,0.0,119.19,119.19,119.19,0.0,0.0
2017-05-21,120.77,120.77,120.77,0.0,0.0,121.15,121.15,121.15,0.0,0.0,120.76,120.76,120.76,0.0,0.0,120.89,120.89,120.89,0.0,0.0
2017-05-28,121.81,121.81,121.81,0.0,0.0,122.23,122.23,122.23,0.0,0.0,121.73,121.73,121.73,0.0,0.0,122.16,122.16,122.16,0.0,0.0
2017-06-04,122.12,122.12,122.12,0.0,0.0,122.63,122.63,122.63,0.0,0.0,121.19,121.19,121.19,0.0,0.0,121.83,121.83,121.83,0.0,0.0
2017-06-11,121.96,121.96,121.96,0.0,0.0,121.96,121.96,121.96,0.0,0.0,121.55,121.55,121.55,0.0,0.0,121.8,121.8,121.8,0.0,0.0
2017-06-18,122.11,122.11,122.11,0.0,0.0,122.39,122.39,122.39,0.0,0.0,122.03,122.03,122.03,0.0,0.0,122.29,122.29,122.29,0.0,0.0
2017-06-25,121.35,121.35,121.35,0.0,0.0,121.53,121.53,121.53,0.0,0.0,121.07,121.07,121.07,0.0,0.0,121.18,121.18,121.18,0.0,0.0
2017-07-02,120.69,120.69,120.69,0.0,0.0,121.25,121.25,121.25,0.0,0.0,120.69,120.69,120.69,0.0,0.0,121.25,121.25,121.25,0.0,0.0
2017-07-09,122.44,122.44,122.44,0.0,0.0,123.13,123.13,123.13,0.0,0.0,122.44,122.44,122.44,0.0,0.0,122.94,122.94,122.94,0.0,0.0
2017-07-16,123.36,123.36,123.36,0.0,0.0,123.6,123.6,123.6,0.0,0.0,123.31,123.31,123.31,0.0,0.0,123.59,123.59,123.59,0.0,0.0
2017-07-23,123.31,123.31,123.31,0.0,0.0,123.59,123.59,123.59,0.0,0.0,123.23,123.23,123.23,0.0,0.0,123.5,123.5,123.5,0.0,0.0
2017-07-30,123.72,123.72,123.72,0.0,0.0,124.07,124.07,124.07,0.0,0.0,123.52,123.52,123.52,0.0,0.0,123.66,123.66,123.66,0.0,0.0
2017-08-06,121.68,121.68,121.68,0.0,0.0,122.16,122.16,122.16,0.0,0.0,121.68,121.68,121.68,0.0,0.0,121.87,121.87,121.87,0.0,0.0
2017-08-13,121.22,121.22,121.22,0.0,0.0,121.79,121.79,121.79,0.0,0.0,120.95,120.95,120.95,0.0,0.0,121.19,121.19,121.19,0.0,0.0
2017-08-20,122.3,122.3,122.3,0.0,0.0,122.66,122.66,122.66,0.0,0.0,122.11,122.11,122.11,0.0,0.0,122.19,122.19,122.19,0.0,0.0
2017-08-27,123.97,123.97,123.97,0.0,0.0,124.14,124.14,124.14,0.0,0.0,123.83,123.83,123.83,0.0,0.0,124.02,124.02,124.02,0.0,0.0
2017-09-03,123.11,123.11,123.11,0.0,0.0,123.47,123.47,123.47,0.0,0.0,123.06,123.06,123.06,0.0,0.0,123.22,123.22,123.22,0.0,0.0
2017-09-10,124.98,124.98,124.98,0.0,0.0,125.24,125.24,125.24,0.0,0.0,124.93,124.93,124.93,0.0,0.0,125.24,125.24,125.24,0.0,0.0
2017-09-17,125.19,125.19,125.19,0.0,0.0,125.43,125.43,125.43,0.0,0.0,125.19,125.19,125.19,0.0,0.0,125.38,125.38,125.38,0.0,0.0
2017-09-24,125.59,125.59,125.59,0.0,0.0,125.87,125.87,125.87,0.0,0.0,125.48,125.48,125.48,0.0,0.0,125.87,125.87,125.87,0.0,0.0
2017-10-01,127.28,127.28,127.28,0.0,0.0,127.48,127.48,127.48,0.0,0.0,127.21,127.21,127.21,0.0,0.0,127.44,127.44,127.44,0.0,0.0
2017-10-08,127.77,127.77,127.77,0.0,0.0,127.9,127.9,127.9,0.0,0.0,127.55,127.55,127.55,0.0,0.0,127.73,127.73,127.73,0.0,0.0
2017-10-15,128.52,128.52,128.52,0.0,0.0,128.68,128.68,128.68,0.0,0.0,128.42,128.42,128.42,0.0,0.0,128.64,128.64,128.64,0.0,0.0
2017-10-22,128.38,128.38,128.38,0.0,0.0,128.94,128.94,128.94,0.0,0.0,128.12,128.12,128.12,0.0,0.0,128.94,128.94,128.94,0.0,0.0
2017-10-29,128.97,128.97,128.97,0.0,0.0,129.27,129.27,129.27,0.0,0.0,128.77,128.77,128.77,0.0,0.0,129.24,129.24,129.24,0.0,0.0
2017-11-05,128.89,128.89,128.89,0.0,0.0,129.08,129.08,129.08,0.0,0.0,128.72,128.72,128.72,0.0,0.0,129.05,129.05,129.05,0.0,0.0
2017-11-12,129.14,129.14,129.14,0.0,0.0,129.29,129.29,129.29,0.0,0.0,129.12,129.12,129.12,0.0,0.0,129.16,129.16,129.16,0.0,0.0
2017-11-19,130.4,130.4,130.4,0.0,0.0,130.42,130.42,130.42,0.0,0.0,130.29,130.29,130.29,0.0,0.0,130.42,130.42,130.42,0.0,0.0
2017-11-26,132.42,132.42,132.42,0.0,0.0,132.72,132.72,132.72,0.0,0.0,130.36,130.36,130.36,0.0,0.0,132.34,132.34,132.34,0.0,0.0
2017-12-03,132.68,132.68,132.68,0.0,0.0,132.76,132.76,132.76,0.0,0.0,132.32,132.32,132.32,0.0,0.0,132.73,132.73,132.73,0.0,0.0
2017-12-10,133.35,133.35,133.35,0.0,0.0,134.17,134.17,134.17,0.0,0.0,133.29,133.29,133.29,0.0,0.0,133.88,133.88,133.88,0.0,0.0
2017-12-17,133.88,133.88,133.88,0.0,0.0,133.88,133.88,133.88,0.0,0.0,133.61,133.61,133.61,0.0,0.0,133.81,133.81,133.81,0.0,0.0
2017-12-24,134.2,134.2,134.2,0.0,0.0,134.39,134.39,134.39,0.0,0.0,133.46,133.46,133.46,0.0,0.0,133.46,133.46,133.46,0.0,0.0
2017-12-31,136.3,136.3,136.3,0.0,0.0,136.7,136.7,136.7,0.0,0.0,136.06,136.06,136.06,0.0,0.0,136.64,136.64,136.64,0.0,0.0
