Date,iShares MSCI China_etf_Open_average,iShares MSCI China_etf_Open_max,iShares MSCI China_etf_Open_min,iShares MSCI China_etf_Open_volatility,iShares MSCI China_etf_Open_change,iShares MSCI China_etf_High_average,iShares MSCI China_etf_High_max,iShares MSCI China_etf_High_min,iShares MSCI China_etf_High_volatility,iShares MSCI China_etf_High_change,iShares MSCI China_etf_Low_average,iShares MSCI China_etf_Low_max,iShares MSCI China_etf_Low_min,iShares MSCI China_etf_Low_volatility,iShares MSCI China_etf_Low_change,iShares MSCI China_etf_Close_average,iShares MSCI China_etf_Close_max,iShares MSCI China_etf_Close_min,iShares MSCI China_etf_Close_volatility,iShares MSCI China_etf_Close_change
2016-03-13,42.15,42.15,42.15,0.0,0.0,42.44,42.44,42.44,0.0,0.0,42.12,42.12,42.12,0.0,0.0,42.15,42.15,42.15,0.0,0.0
2016-03-20,41.04,41.04,41.04,0.0,0.0,41.25,41.25,41.25,0.0,0.0,40.77,40.77,40.77,0.0,0.0,41.24,41.24,41.24,0.0,0.0
2016-03-27,41.66,41.66,41.66,0.0,0.0,42.5,42.5,42.5,0.0,0.0,41.47,41.47,41.47,0.0,0.0,42.36,42.36,42.36,0.0,0.0
2016-04-03,41.91,41.91,41.91,0.0,0.0,42.01,42.01,42.01,0.0,0.0,41.49,41.49,41.49,0.0,0.0,41.57,41.57,41.57,0.0,0.0
2016-04-10,43.79,43.79,43.79,0.0,0.0,43.8,43.8,43.8,0.0,0.0,43.43,43.43,43.43,0.0,0.0,43.47,43.47,43.47,0.0,0.0
2016-04-17,43.45,43.45,43.45,0.0,0.0,43.7,43.7,43.7,0.0,0.0,43.12,43.12,43.12,0.0,0.0,43.28,43.28,43.28,0.0,0.0
2016-04-24,42.38,42.38,42.38,0.0,0.0,42.55,42.55,42.55,0.0,0.0,41.98,41.98,41.98,0.0,0.0,42.27,42.27,42.27,0.0,0.0
2016-05-01,40.44,40.44,40.44,0.0,0.0,40.82,40.82,40.82,0.0,0.0,40.37,40.37,40.37,0.0,0.0,40.64,40.64,40.64,0.0,0.0
2016-05-08,39.81,39.81,39.81,0.0,0.0,39.94,39.94,39.94,0.0,0.0,39.24,39.24,39.24,0.0,0.0,39.39,39.39,39.39,0.0,0.0
2016-05-15,39.93,39.93,39.93,0.0,0.0,40.15,40.15,40.15,0.0,0.0,39.89,39.89,39.89,0.0,0.0,40.0,40.0,40.0,0.0,0.0
2016-05-22,41.47,41.47,41.47,0.0,0.0,41.62,41.62,41.62,0.0,0.0,41.27,41.27,41.27,0.0,0.0,41.51,41.51,41.51,0.0,0.0
2016-05-29,42.11,42.11,42.11,0.0,0.0,42.22,42.22,42.22,0.0,0.0,41.79,41.79,41.79,0.0,0.0,42.12,42.12,42.12,0.0,0.0
2016-06-05,41.68,41.68,41.68,0.0,0.0,41.82,41.82,41.82,0.0,0.0,41.41,41.41,41.41,0.0,0.0,41.57,41.57,41.57,0.0,0.0
2016-06-12,40.89,40.89,40.89,0.0,0.0,40.89,40.89,40.89,0.0,0.0,40.52,40.52,40.52,0.0,0.0,40.78,40.78,40.78,0.0,0.0
2016-06-19,40.4,40.4,40.4,0.0,0.0,41.4,41.4,41.4,0.0,0.0,40.21,40.21,40.21,0.0,0.0,40.38,40.38,40.38,0.0,0.0
2016-06-26,42.55,42.55,42.55,0.0,0.0,42.87,42.87,42.87,0.0,0.0,42.38,42.38,42.38,0.0,0.0,42.7,42.7,42.7,0.0,0.0
2016-07-03,42.02,42.02,42.02,0.0,0.0,42.42,42.42,42.42,0.0,0.0,41.9,41.9,41.9,0.0,0.0,42.34,42.34,42.34,0.0,0.0
2016-07-10,44.02,44.02,44.02,0.0,0.0,44.02,44.02,44.02,0.0,0.0,43.69,43.69,43.69,0.0,0.0,43.83,43.83,43.83,0.0,0.0
2016-07-17,44.1,44.1,44.1,0.0,0.0,44.29,44.29,44.29,0.0,0.0,44.06,44.06,44.06,0.0,0.0,44.29,44.29,44.29,0.0,0.0
2016-07-24,43.85,43.85,43.85,0.0,0.0,44.14,44.14,44.14,0.0,0.0,43.67,43.67,43.67,0.0,0.0,44.02,44.02,44.02,0.0,0.0
2016-07-31,44.37,44.37,44.37,0.0,0.0,44.75,44.75,44.75,0.0,0.0,44.37,44.37,44.37,0.0,0.0,44.75,44.75,44.75,0.0,0.0
2016-08-07,46.12,46.12,46.12,0.0,0.0,46.59,46.59,46.59,0.0,0.0,46.12,46.12,46.12,0.0,0.0,46.56,46.56,46.56,0.0,0.0
2016-08-14,47.3,47.3,47.3,0.0,0.0,47.41,47.41,47.41,0.0,0.0,47.07,47.07,47.07,0.0,0.0,47.37,47.37,47.37,0.0,0.0
2016-08-21,46.75,46.75,46.75,0.0,0.0,47.29,47.29,47.29,0.0,0.0,46.22,46.22,46.22,0.0,0.0,46.58,46.58,46.58,0.0,0.0
2016-08-28,47.76,47.76,47.76,0.0,0.0,48.1,48.1,48.1,0.0,0.0,47.73,47.73,47.73,0.0,0.0,47.92,47.92,47.92,0.0,0.0
2016-09-04,48.94,48.94,48.94,0.0,0.0,48.94,48.94,48.94,0.0,0.0,47.98,47.98,47.98,0.0,0.0,48.03,48.03,48.03,0.0,0.0
2016-09-11,48.14,48.14,48.14,0.0,0.0,48.25,48.25,48.25,0.0,0.0,47.83,47.83,47.83,0.0,0.0,48.21,48.21,48.21,0.0,0.0
2016-09-18,49.37,49.37,49.37,0.0,0.0,49.4,49.4,49.4,0.0,0.0,49.07,49.07,49.07,0.0,0.0,49.08,49.08,49.08,0.0,0.0
2016-09-25,48.44,48.44,48.44,0.0,0.0,48.69,48.69,48.69,0.0,0.0,48.23,48.23,48.23,0.0,0.0,48.5,48.5,48.5,0.0,0.0
2016-10-02,49.36,49.36,49.36,0.0,0.0,49.37,49.37,49.37,0.0,0.0,48.76,48.76,48.76,0.0,0.0,48.98,48.98,48.98,0.0,0.0
2016-10-09,48.07,48.07,48.07,0.0,0.0,48.23,48.23,48.23,0.0,0.0,47.72,47.72,47.72,0.0,0.0,47.84,47.84,47.84,0.0,0.0
2016-10-16,48.05,48.05,48.05,0.0,0.0,48.39,48.39,48.39,0.0,0.0,47.99,47.99,47.99,0.0,0.0,48.37,48.37,48.37,0.0,0.0
2016-10-23,47.34,47.34,47.34,0.0,0.0,47.5,47.5,47.5,0.0,0.0,46.92,46.92,46.92,0.0,0.0,47.1,47.1,47.1,0.0,0.0
2016-10-30,45.96,45.96,45.96,0.0,0.0,46.08,46.08,46.08,0.0,0.0,45.75,45.75,45.75,0.0,0.0,45.85,45.85,45.85,0.0,0.0
2016-11-06,45.0,45.0,45.0,0.0,0.0,45.44,45.44,45.44,0.0,0.0,44.62,44.62,44.62,0.0,0.0,45.28,45.28,45.28,0.0,0.0
2016-11-13,45.44,45.44,45.44,0.0,0.0,45.5,45.5,45.5,0.0,0.0,45.11,45.11,45.11,0.0,0.0,45.33,45.33,45.33,0.0,0.0
2016-11-20,46.28,46.28,46.28,0.0,0.0,46.37,46.37,46.37,0.0,0.0,46.14,46.14,46.14,0.0,0.0,46.23,46.23,46.23,0.0,0.0
2016-11-27,45.98,45.98,45.98,0.0,0.0,46.18,46.18,46.18,0.0,0.0,45.82,45.82,45.82,0.0,0.0,45.89,45.89,45.89,0.0,0.0
2016-12-04,46.12,46.12,46.12,0.0,0.0,46.26,46.26,46.26,0.0,0.0,46.07,46.07,46.07,0.0,0.0,46.21,46.21,46.21,0.0,0.0
2016-12-11,44.26,44.26,44.26,0.0,0.0,44.42,44.42,44.42,0.0,0.0,43.92,43.92,43.92,0.0,0.0,44.01,44.01,44.01,0.0,0.0
2016-12-18,42.71,42.71,42.71,0.0,0.0,42.92,42.92,42.92,0.0,0.0,42.71,42.71,42.71,0.0,0.0,42.8,42.8,42.8,0.0,0.0
2016-12-25,44.0,44.0,44.0,0.0,0.0,44.12,44.12,44.12,0.0,0.0,43.63,43.63,43.63,0.0,0.0,43.73,43.73,43.73,0.0,0.0
2017-01-01,45.5,45.5,45.5,0.0,0.0,45.5,45.5,45.5,0.0,0.0,45.16,45.16,45.16,0.0,0.0,45.34,45.34,45.34,0.0,0.0
2017-01-08,46.18,46.18,46.18,0.0,0.0,46.44,46.44,46.44,0.0,0.0,46.18,46.18,46.18,0.0,0.0,46.31,46.31,46.31,0.0,0.0
2017-01-15,46.24,46.24,46.24,0.0,0.0,46.29,46.29,46.29,0.0,0.0,45.92,45.92,45.92,0.0,0.0,46.13,46.13,46.13,0.0,0.0
2017-01-22,47.2,47.2,47.2,0.0,0.0,47.27,47.27,47.27,0.0,0.0,47.02,47.02,47.02,0.0,0.0,47.14,47.14,47.14,0.0,0.0
2017-01-29,47.11,47.11,47.11,0.0,0.0,47.2,47.2,47.2,0.0,0.0,46.99,46.99,46.99,0.0,0.0,47.11,47.11,47.11,0.0,0.0
2017-02-05,48.34,48.34,48.34,0.0,0.0,48.57,48.57,48.57,0.0,0.0,48.29,48.29,48.29,0.0,0.0,48.53,48.53,48.53,0.0,0.0
2017-02-12,48.84,48.84,48.84,0.0,0.0,49.04,49.04,49.04,0.0,0.0,48.77,48.77,48.77,0.0,0.0,49.01,49.01,49.01,0.0,0.0
2017-02-19,49.0,49.0,49.0,0.0,0.0,49.11,49.11,49.11,0.0,0.0,48.88,48.88,48.88,0.0,0.0,49.08,49.08,49.08,0.0,0.0
2017-02-26,48.58,48.58,48.58,0.0,0.0,48.73,48.73,48.73,0.0,0.0,48.49,48.49,48.49,0.0,0.0,48.65,48.65,48.65,0.0,0.0
2017-03-05,48.54,48.54,48.54,0.0,0.0,48.65,48.65,48.65,0.0,0.0,48.41,48.41,48.41,0.0,0.0,48.6,48.6,48.6,0.0,0.0
2017-03-12,50.46,50.46,50.46,0.0,0.0,50.46,50.46,50.46,0.0,0.0,50.27,50.27,50.27,0.0,0.0,50.3,50.3,50.3,0.0,0.0
2017-03-19,50.43,50.43,50.43,0.0,0.0,50.67,50.67,50.67,0.0,0.0,50.38,50.38,50.38,0.0,0.0,50.58,50.58,50.58,0.0,0.0
2017-03-26,49.99,49.99,49.99,0.0,0.0,50.05,50.05,50.05,0.0,0.0,49.86,49.86,49.86,0.0,0.0,49.93,49.93,49.93,0.0,0.0
2017-04-02,50.34,50.34,50.34,0.0,0.0,50.53,50.53,50.53,0.0,0.0,50.18,50.18,50.18,0.0,0.0,50.39,50.39,50.39,0.0,0.0
2017-04-09,50.24,50.24,50.24,0.0,0.0,50.42,50.42,50.42,0.0,0.0,49.97,49.97,49.97,0.0,0.0,49.97,49.97,49.97,0.0,0.0
2017-04-16,50.18,50.18,50.18,0.0,0.0,50.39,50.39,50.39,0.0,0.0,50.16,50.16,50.16,0.0,0.0,50.34,50.34,50.34,0.0,0.0
2017-04-23,51.11,51.11,51.11,0.0,0.0,51.17,51.17,51.17,0.0,0.0,50.93,50.93,50.93,0.0,0.0,51.16,51.16,51.16,0.0,0.0
2017-04-30,50.3,50.3,50.3,0.0,0.0,50.63,50.63,50.63,0.0,0.0,50.21,50.21,50.21,0.0,0.0,50.62,50.62,50.62,0.0,0.0
2017-05-07,52.19,52.19,52.19,0.0,0.0,52.45,52.45,52.45,0.0,0.0,52.17,52.17,52.17,0.0,0.0,52.41,52.41,52.41,0.0,0.0
2017-05-14,52.91,52.91,52.91,0.0,0.0,53.39,53.39,53.39,0.0,0.0,52.87,52.87,52.87,0.0,0.0,53.24,53.24,53.24,0.0,0.0
2017-05-21,54.07,54.07,54.07,0.0,0.0,54.23,54.23,54.23,0.0,0.0,54.03,54.03,54.03,0.0,0.0,54.19,54.19,54.19,0.0,0.0
2017-05-28,54.36,54.36,54.36,0.0,0.0,54.49,54.49,54.49,0.0,0.0,54.23,54.23,54.23,0.0,0.0,54.47,54.47,54.47,0.0,0.0
2017-06-04,55.83,55.83,55.83,0.0,0.0,55.98,55.98,55.98,0.0,0.0,54.67,54.67,54.67,0.0,0.0,55.05,55.05,55.05,0.0,0.0
2017-06-11,54.0,54.0,54.0,0.0,0.0,54.0,54.0,54.0,0.0,0.0,53.66,53.66,53.66,0.0,0.0,53.9,53.9,53.9,0.0,0.0
2017-06-18,54.81,54.81,54.81,0.0,0.0,55.12,55.12,55.12,0.0,0.0,54.81,54.81,54.81,0.0,0.0,55.03,55.03,55.03,0.0,0.0
2017-06-25,54.85,54.85,54.85,0.0,0.0,54.94,54.94,54.94,0.0,0.0,54.59,54.59,54.59,0.0,0.0,54.69,54.69,54.69,0.0,0.0
2017-07-02,54.37,54.37,54.37,0.0,0.0,54.44,54.44,54.44,0.0,0.0,54.14,54.14,54.14,0.0,0.0,54.31,54.31,54.31,0.0,0.0
2017-07-09,57.18,57.18,57.18,0.0,0.0,57.8,57.8,57.8,0.0,0.0,57.18,57.18,57.18,0.0,0.0,57.74,57.74,57.74,0.0,0.0
2017-07-16,58.11,58.11,58.11,0.0,0.0,58.16,58.16,58.16,0.0,0.0,57.94,57.94,57.94,0.0,0.0,58.14,58.14,58.14,0.0,0.0
2017-07-23,58.78,58.78,58.78,0.0,0.0,59.34,59.34,59.34,0.0,0.0,58.57,58.57,58.57,0.0,0.0,59.26,59.26,59.26,0.0,0.0
2017-07-30,59.56,59.56,59.56,0.0,0.0,59.66,59.66,59.66,0.0,0.0,59.33,59.33,59.33,0.0,0.0,59.6,59.6,59.6,0.0,0.0
2017-08-06,58.32,58.32,58.32,0.0,0.0,58.76,58.76,58.76,0.0,0.0,58.04,58.04,58.04,0.0,0.0,58.6,58.6,58.6,0.0,0.0
2017-08-13,59.52,59.52,59.52,0.0,0.0,60.02,60.02,60.02,0.0,0.0,59.29,59.29,59.29,0.0,0.0,59.67,59.67,59.67,0.0,0.0
2017-08-20,62.14,62.14,62.14,0.0,0.0,62.24,62.24,62.24,0.0,0.0,61.7,61.7,61.7,0.0,0.0,61.76,61.76,61.76,0.0,0.0
2017-08-27,62.08,62.08,62.08,0.0,0.0,62.21,62.21,62.21,0.0,0.0,61.86,61.86,61.86,0.0,0.0,62.12,62.12,62.12,0.0,0.0
2017-09-03,62.06,62.06,62.06,0.0,0.0,62.06,62.06,62.06,0.0,0.0,61.51,61.51,61.51,0.0,0.0,61.54,61.54,61.54,0.0,0.0
2017-09-10,63.27,63.27,63.27,0.0,0.0,63.75,63.75,63.75,0.0,0.0,63.01,63.01,63.01,0.0,0.0,63.65,63.65,63.65,0.0,0.0
2017-09-17,63.84,63.84,63.84,0.0,0.0,63.92,63.92,63.92,0.0,0.0,63.65,63.65,63.65,0.0,0.0,63.83,63.83,63.83,0.0,0.0
2017-09-24,62.45,62.45,62.45,0.0,0.0,63.28,63.28,63.28,0.0,0.0,62.45,62.45,62.45,0.0,0.0,63.09,63.09,63.09,0.0,0.0
2017-10-01,65.02,65.02,65.02,0.0,0.0,65.35,65.35,65.35,0.0,0.0,64.9,64.9,64.9,0.0,0.0,65.31,65.31,65.31,0.0,0.0
2017-10-08,65.82,65.82,65.82,0.0,0.0,66.06,66.06,66.06,0.0,0.0,65.67,65.67,65.67,0.0,0.0,65.84,65.84,65.84,0.0,0.0
2017-10-15,65.69,65.69,65.69,0.0,0.0,65.72,65.72,65.72,0.0,0.0,65.42,65.42,65.42,0.0,0.0,65.52,65.52,65.52,0.0,0.0
2017-10-22,64.73,64.73,64.73,0.0,0.0,65.21,65.21,65.21,0.0,0.0,64.33,64.33,64.33,0.0,0.0,65.17,65.17,65.17,0.0,0.0
2017-10-29,65.92,65.92,65.92,0.0,0.0,66.11,66.11,66.11,0.0,0.0,65.5,65.5,65.5,0.0,0.0,65.83,65.83,65.83,0.0,0.0
2017-11-05,67.34,67.34,67.34,0.0,0.0,67.42,67.42,67.42,0.0,0.0,67.09,67.09,67.09,0.0,0.0,67.39,67.39,67.39,0.0,0.0
2017-11-12,67.5,67.5,67.5,0.0,0.0,67.78,67.78,67.78,0.0,0.0,67.5,67.5,67.5,0.0,0.0,67.57,67.57,67.57,0.0,0.0
2017-11-19,69.29,69.29,69.29,0.0,0.0,69.46,69.46,69.46,0.0,0.0,69.17,69.17,69.17,0.0,0.0,69.45,69.45,69.45,0.0,0.0
2017-11-26,65.58,65.58,65.58,0.0,0.0,66.0,66.0,66.0,0.0,0.0,64.87,64.87,64.87,0.0,0.0,65.31,65.31,65.31,0.0,0.0
2017-12-03,65.58,65.58,65.58,0.0,0.0,65.79,65.79,65.79,0.0,0.0,65.38,65.38,65.38,0.0,0.0,65.5,65.5,65.5,0.0,0.0
2017-12-10,65.46,65.46,65.46,0.0,0.0,65.76,65.76,65.76,0.0,0.0,65.04,65.04,65.04,0.0,0.0,65.61,65.61,65.61,0.0,0.0
2017-12-17,66.42,66.42,66.42,0.0,0.0,66.79,66.79,66.79,0.0,0.0,66.29,66.29,66.29,0.0,0.0,66.78,66.78,66.78,0.0,0.0
2017-12-24,66.74,66.74,66.74,0.0,0.0,66.75,66.75,66.75,0.0,0.0,66.45,66.45,66.45,0.0,0.0,66.54,66.54,66.54,0.0,0.0
2017-12-31,70.14,70.14,70.14,0.0,0.0,70.62,70.62,70.62,0.0,0.0,70.06,70.06,70.06,0.0,0.0,70.61,70.61,70.61,0.0,0.0
