Date,PowerShares DWA Technology Momentum PortfolioEtf_Open_average,PowerShares DWA Technology Momentum PortfolioEtf_Open_max,PowerShares DWA Technology Momentum PortfolioEtf_Open_min,PowerShares DWA Technology Momentum PortfolioEtf_Open_volatility,PowerShares DWA Technology Momentum PortfolioEtf_Open_change,PowerShares DWA Technology Momentum PortfolioEtf_High_average,PowerShares DWA Technology Momentum PortfolioEtf_High_max,PowerShares DWA Technology Momentum PortfolioEtf_High_min,PowerShares DWA Technology Momentum PortfolioEtf_High_volatility,PowerShares DWA Technology Momentum PortfolioEtf_High_change,PowerShares DWA Technology Momentum PortfolioEtf_Low_average,PowerShares DWA Technology Momentum PortfolioEtf_Low_max,PowerShares DWA Technology Momentum PortfolioEtf_Low_min,PowerShares DWA Technology Momentum PortfolioEtf_Low_volatility,PowerShares DWA Technology Momentum PortfolioEtf_Low_change,PowerShares DWA Technology Momentum PortfolioEtf_Close_average,PowerShares DWA Technology Momentum PortfolioEtf_Close_max,PowerShares DWA Technology Momentum PortfolioEtf_Close_min,PowerShares DWA Technology Momentum PortfolioEtf_Close_volatility,PowerShares DWA Technology Momentum PortfolioEtf_Close_change
2016-04-17,36.48,36.48,36.48,0.0,0.0,36.69,36.69,36.69,0.0,0.0,36.37,36.37,36.37,0.0,0.0,36.62,36.62,36.62,0.0,0.0
2016-04-24,36.57,36.57,36.57,0.0,0.0,36.57,36.57,36.57,0.0,0.0,35.81,35.81,35.81,0.0,0.0,36.14,36.14,36.14,0.0,0.0
2016-05-01,35.07,35.07,35.07,0.0,0.0,35.46,35.46,35.46,0.0,0.0,35.0,35.0,35.0,0.0,0.0,35.43,35.43,35.43,0.0,0.0
2016-05-08,35.79,35.79,35.79,0.0,0.0,35.96,35.96,35.96,0.0,0.0,35.59,35.59,35.59,0.0,0.0,35.67,35.67,35.67,0.0,0.0
2016-05-15,35.59,35.59,35.59,0.0,0.0,36.0,36.0,36.0,0.0,0.0,35.59,35.59,35.59,0.0,0.0,35.97,35.97,35.97,0.0,0.0
2016-05-22,37.57,37.57,37.57,0.0,0.0,37.64,37.64,37.64,0.0,0.0,37.48,37.48,37.48,0.0,0.0,37.63,37.63,37.63,0.0,0.0
2016-05-29,37.61,37.61,37.61,0.0,0.0,37.85,37.85,37.85,0.0,0.0,37.61,37.61,37.61,0.0,0.0,37.8,37.8,37.8,0.0,0.0
2016-06-05,38.18,38.18,38.18,0.0,0.0,38.18,38.18,38.18,0.0,0.0,37.76,37.76,37.76,0.0,0.0,37.85,37.85,37.85,0.0,0.0
2016-06-12,37.43,37.43,37.43,0.0,0.0,37.45,37.45,37.45,0.0,0.0,37.25,37.25,37.25,0.0,0.0,37.39,37.39,37.39,0.0,0.0
2016-06-19,36.94,36.94,36.94,0.0,0.0,37.43,37.43,37.43,0.0,0.0,36.43,36.43,36.43,0.0,0.0,36.68,36.68,36.68,0.0,0.0
2016-06-26,37.83,37.83,37.83,0.0,0.0,38.01,38.01,38.01,0.0,0.0,37.71,37.71,37.71,0.0,0.0,37.79,37.79,37.79,0.0,0.0
2016-07-03,38.08,38.08,38.08,0.0,0.0,38.65,38.65,38.65,0.0,0.0,38.08,38.08,38.08,0.0,0.0,38.65,38.65,38.65,0.0,0.0
2016-07-10,39.29,39.29,39.29,0.0,0.0,39.29,39.29,39.29,0.0,0.0,38.99,38.99,38.99,0.0,0.0,39.04,39.04,39.04,0.0,0.0
2016-07-17,38.98,38.98,38.98,0.0,0.0,39.6,39.6,39.6,0.0,0.0,38.98,38.98,38.98,0.0,0.0,39.55,39.55,39.55,0.0,0.0
2016-07-24,39.89,39.89,39.89,0.0,0.0,40.16,40.16,40.16,0.0,0.0,39.8,39.8,39.8,0.0,0.0,40.15,40.15,40.15,0.0,0.0
2016-07-31,39.9,39.9,39.9,0.0,0.0,40.13,40.13,40.13,0.0,0.0,39.9,39.9,39.9,0.0,0.0,40.07,40.07,40.07,0.0,0.0
2016-08-07,39.91,39.91,39.91,0.0,0.0,40.11,40.11,40.11,0.0,0.0,39.91,39.91,39.91,0.0,0.0,40.1,40.1,40.1,0.0,0.0
2016-08-14,39.72,39.72,39.72,0.0,0.0,40.17,40.17,40.17,0.0,0.0,39.72,39.72,39.72,0.0,0.0,40.13,40.13,40.13,0.0,0.0
2016-08-21,40.59,40.59,40.59,0.0,0.0,40.72,40.72,40.72,0.0,0.0,40.26,40.26,40.26,0.0,0.0,40.49,40.49,40.49,0.0,0.0
2016-08-28,41.12,41.12,41.12,0.0,0.0,41.13,41.13,41.13,0.0,0.0,40.88,40.88,40.88,0.0,0.0,41.07,41.07,41.07,0.0,0.0
2016-09-04,40.3,40.3,40.3,0.0,0.0,40.3,40.3,40.3,0.0,0.0,39.51,39.51,39.51,0.0,0.0,39.59,39.59,39.59,0.0,0.0
2016-09-11,40.29,40.29,40.29,0.0,0.0,40.32,40.32,40.32,0.0,0.0,40.18,40.18,40.18,0.0,0.0,40.3,40.3,40.3,0.0,0.0
2016-09-18,41.08,41.08,41.08,0.0,0.0,41.19,41.19,41.19,0.0,0.0,41.02,41.02,41.02,0.0,0.0,41.07,41.07,41.07,0.0,0.0
2016-09-25,41.3,41.3,41.3,0.0,0.0,41.6,41.6,41.6,0.0,0.0,41.24,41.24,41.24,0.0,0.0,41.56,41.56,41.56,0.0,0.0
2016-10-02,40.95,40.95,40.95,0.0,0.0,41.07,41.07,41.07,0.0,0.0,40.75,40.75,40.75,0.0,0.0,41.0,41.0,41.0,0.0,0.0
2016-10-09,40.22,40.22,40.22,0.0,0.0,40.43,40.43,40.43,0.0,0.0,40.07,40.07,40.07,0.0,0.0,40.07,40.07,40.07,0.0,0.0
2016-10-16,40.01,40.01,40.01,0.0,0.0,40.23,40.23,40.23,0.0,0.0,40.0,40.0,40.0,0.0,0.0,40.22,40.22,40.22,0.0,0.0
2016-10-23,39.05,39.05,39.05,0.0,0.0,40.03,40.03,40.03,0.0,0.0,39.05,39.05,39.05,0.0,0.0,39.48,39.48,39.48,0.0,0.0
2016-10-30,38.48,38.48,38.48,0.0,0.0,38.75,38.75,38.75,0.0,0.0,38.2,38.2,38.2,0.0,0.0,38.38,38.38,38.38,0.0,0.0
2016-11-06,39.54,39.54,39.54,0.0,0.0,40.06,40.06,40.06,0.0,0.0,39.45,39.45,39.45,0.0,0.0,40.05,40.05,40.05,0.0,0.0
2016-11-13,41.05,41.05,41.05,0.0,0.0,41.15,41.15,41.15,0.0,0.0,40.78,40.78,40.78,0.0,0.0,41.11,41.11,41.11,0.0,0.0
2016-11-20,41.51,41.51,41.51,0.0,0.0,41.54,41.54,41.54,0.0,0.0,41.51,41.51,41.51,0.0,0.0,41.54,41.54,41.54,0.0,0.0
2016-11-27,38.53,38.53,38.53,0.0,0.0,38.74,38.74,38.74,0.0,0.0,38.33,38.33,38.33,0.0,0.0,38.71,38.71,38.71,0.0,0.0
2016-12-04,41.07,41.07,41.07,0.0,0.0,41.21,41.21,41.21,0.0,0.0,40.41,40.41,40.41,0.0,0.0,40.45,40.45,40.45,0.0,0.0
2016-12-11,40.57,40.57,40.57,0.0,0.0,40.76,40.76,40.76,0.0,0.0,40.3,40.3,40.3,0.0,0.0,40.36,40.36,40.36,0.0,0.0
2016-12-18,40.58,40.58,40.58,0.0,0.0,40.82,40.82,40.82,0.0,0.0,40.58,40.58,40.58,0.0,0.0,40.81,40.81,40.81,0.0,0.0
2016-12-25,40.13,40.13,40.13,0.0,0.0,40.19,40.19,40.19,0.0,0.0,39.92,39.92,39.92,0.0,0.0,39.92,39.92,39.92,0.0,0.0
2017-01-01,40.39,40.39,40.39,0.0,0.0,40.63,40.63,40.63,0.0,0.0,40.31,40.31,40.31,0.0,0.0,40.4,40.4,40.4,0.0,0.0
2017-01-08,40.71,40.71,40.71,0.0,0.0,41.23,41.23,41.23,0.0,0.0,40.71,40.71,40.71,0.0,0.0,41.14,41.14,41.14,0.0,0.0
2017-01-15,40.73,40.73,40.73,0.0,0.0,41.14,41.14,41.14,0.0,0.0,40.73,40.73,40.73,0.0,0.0,40.96,40.96,40.96,0.0,0.0
2017-01-22,41.98,41.98,41.98,0.0,0.0,42.21,42.21,42.21,0.0,0.0,41.98,41.98,41.98,0.0,0.0,42.1,42.1,42.1,0.0,0.0
2017-01-29,42.31,42.31,42.31,0.0,0.0,42.78,42.78,42.78,0.0,0.0,42.31,42.31,42.31,0.0,0.0,42.77,42.77,42.77,0.0,0.0
2017-02-05,43.29,43.29,43.29,0.0,0.0,43.38,43.38,43.38,0.0,0.0,42.94,42.94,42.94,0.0,0.0,43.28,43.28,43.28,0.0,0.0
2017-02-12,43.2,43.2,43.2,0.0,0.0,43.41,43.41,43.41,0.0,0.0,42.85,42.85,42.85,0.0,0.0,43.35,43.35,43.35,0.0,0.0
2017-02-19,43.29,43.29,43.29,0.0,0.0,43.71,43.71,43.71,0.0,0.0,43.22,43.22,43.22,0.0,0.0,43.71,43.71,43.71,0.0,0.0
2017-02-26,43.43,43.43,43.43,0.0,0.0,43.79,43.79,43.79,0.0,0.0,43.4,43.4,43.4,0.0,0.0,43.79,43.79,43.79,0.0,0.0
2017-03-05,43.45,43.45,43.45,0.0,0.0,43.52,43.52,43.52,0.0,0.0,43.31,43.31,43.31,0.0,0.0,43.47,43.47,43.47,0.0,0.0
2017-03-12,44.18,44.18,44.18,0.0,0.0,44.4,44.4,44.4,0.0,0.0,44.13,44.13,44.13,0.0,0.0,44.39,44.39,44.39,0.0,0.0
2017-03-19,44.3,44.3,44.3,0.0,0.0,44.47,44.47,44.47,0.0,0.0,44.04,44.04,44.04,0.0,0.0,44.22,44.22,44.22,0.0,0.0
2017-03-26,44.65,44.65,44.65,0.0,0.0,44.76,44.76,44.76,0.0,0.0,44.65,44.65,44.65,0.0,0.0,44.65,44.65,44.65,0.0,0.0
2017-04-02,43.75,43.75,43.75,0.0,0.0,43.75,43.75,43.75,0.0,0.0,43.61,43.61,43.61,0.0,0.0,43.7,43.7,43.7,0.0,0.0
2017-04-09,43.42,43.42,43.42,0.0,0.0,43.48,43.48,43.48,0.0,0.0,43.01,43.01,43.01,0.0,0.0,43.05,43.05,43.05,0.0,0.0
2017-04-16,44.33,44.33,44.33,0.0,0.0,44.33,44.33,44.33,0.0,0.0,44.06,44.06,44.06,0.0,0.0,44.15,44.15,44.15,0.0,0.0
2017-04-23,45.74,45.74,45.74,0.0,0.0,45.74,45.74,45.74,0.0,0.0,45.13,45.13,45.13,0.0,0.0,45.21,45.21,45.21,0.0,0.0
2017-04-30,44.9,44.9,44.9,0.0,0.0,45.41,45.41,45.41,0.0,0.0,44.9,44.9,44.9,0.0,0.0,45.41,45.41,45.41,0.0,0.0
2017-05-07,46.09,46.09,46.09,0.0,0.0,46.36,46.36,46.36,0.0,0.0,46.09,46.09,46.09,0.0,0.0,46.26,46.26,46.26,0.0,0.0
2017-05-14,45.96,45.96,45.96,0.0,0.0,46.24,46.24,46.24,0.0,0.0,45.96,45.96,45.96,0.0,0.0,46.01,46.01,46.01,0.0,0.0
2017-05-21,47.55,47.55,47.55,0.0,0.0,47.68,47.68,47.68,0.0,0.0,47.27,47.27,47.27,0.0,0.0,47.68,47.68,47.68,0.0,0.0
2017-05-28,47.88,47.88,47.88,0.0,0.0,48.48,48.48,48.48,0.0,0.0,47.88,47.88,47.88,0.0,0.0,48.43,48.43,48.43,0.0,0.0
2017-06-04,49.52,49.52,49.52,0.0,0.0,49.64,49.64,49.64,0.0,0.0,46.62,46.62,46.62,0.0,0.0,47.26,47.26,47.26,0.0,0.0
2017-06-11,46.47,46.47,46.47,0.0,0.0,46.68,46.68,46.68,0.0,0.0,46.26,46.26,46.26,0.0,0.0,46.37,46.37,46.37,0.0,0.0
2017-06-18,47.45,47.45,47.45,0.0,0.0,48.18,48.18,48.18,0.0,0.0,47.45,47.45,47.45,0.0,0.0,48.03,48.03,48.03,0.0,0.0
2017-06-25,45.86,45.86,45.86,0.0,0.0,46.19,46.19,46.19,0.0,0.0,45.78,45.78,45.78,0.0,0.0,45.92,45.92,45.92,0.0,0.0
2017-07-02,45.62,45.62,45.62,0.0,0.0,46.67,46.67,46.67,0.0,0.0,45.62,45.62,45.62,0.0,0.0,46.55,46.55,46.55,0.0,0.0
2017-07-09,48.17,48.17,48.17,0.0,0.0,48.75,48.75,48.75,0.0,0.0,48.17,48.17,48.17,0.0,0.0,48.73,48.73,48.73,0.0,0.0
2017-07-16,49.12,49.12,49.12,0.0,0.0,49.47,49.47,49.47,0.0,0.0,49.12,49.12,49.12,0.0,0.0,49.24,49.24,49.24,0.0,0.0
2017-07-23,49.34,49.34,49.34,0.0,0.0,49.61,49.61,49.61,0.0,0.0,49.14,49.14,49.14,0.0,0.0,49.19,49.19,49.19,0.0,0.0
2017-07-30,47.79,47.79,47.79,0.0,0.0,47.8,47.8,47.8,0.0,0.0,47.16,47.16,47.16,0.0,0.0,47.19,47.19,47.19,0.0,0.0
2017-08-06,45.91,45.91,45.91,0.0,0.0,46.47,46.47,46.47,0.0,0.0,45.91,45.91,45.91,0.0,0.0,46.4,46.4,46.4,0.0,0.0
2017-08-13,46.62,46.62,46.62,0.0,0.0,47.05,47.05,47.05,0.0,0.0,46.44,46.44,46.44,0.0,0.0,46.96,46.96,46.96,0.0,0.0
2017-08-20,47.58,47.58,47.58,0.0,0.0,47.58,47.58,47.58,0.0,0.0,47.2,47.2,47.2,0.0,0.0,47.2,47.2,47.2,0.0,0.0
2017-08-27,48.96,48.96,48.96,0.0,0.0,48.96,48.96,48.96,0.0,0.0,48.69,48.69,48.69,0.0,0.0,48.88,48.88,48.88,0.0,0.0
2017-09-03,48.23,48.23,48.23,0.0,0.0,48.34,48.34,48.34,0.0,0.0,48.01,48.01,48.01,0.0,0.0,48.01,48.01,48.01,0.0,0.0
2017-09-10,49.12,49.12,49.12,0.0,0.0,49.43,49.43,49.43,0.0,0.0,49.12,49.12,49.12,0.0,0.0,49.37,49.37,49.37,0.0,0.0
2017-09-17,49.52,49.52,49.52,0.0,0.0,49.79,49.79,49.79,0.0,0.0,49.52,49.52,49.52,0.0,0.0,49.76,49.76,49.76,0.0,0.0
2017-09-24,50.19,50.19,50.19,0.0,0.0,50.59,50.59,50.59,0.0,0.0,50.05,50.05,50.05,0.0,0.0,50.59,50.59,50.59,0.0,0.0
2017-10-01,51.2,51.2,51.2,0.0,0.0,51.57,51.57,51.57,0.0,0.0,51.18,51.18,51.18,0.0,0.0,51.57,51.57,51.57,0.0,0.0
2017-10-08,52.63,52.63,52.63,0.0,0.0,52.66,52.66,52.66,0.0,0.0,52.56,52.56,52.56,0.0,0.0,52.62,52.62,52.62,0.0,0.0
2017-10-15,52.74,52.74,52.74,0.0,0.0,53.06,53.06,53.06,0.0,0.0,52.74,52.74,52.74,0.0,0.0,52.92,52.92,52.92,0.0,0.0
2017-10-22,52.72,52.72,52.72,0.0,0.0,53.21,53.21,53.21,0.0,0.0,52.47,52.47,52.47,0.0,0.0,53.21,53.21,53.21,0.0,0.0
2017-10-29,53.56,53.56,53.56,0.0,0.0,54.11,54.11,54.11,0.0,0.0,53.51,53.51,53.51,0.0,0.0,54.1,54.1,54.1,0.0,0.0
2017-11-05,53.69,53.69,53.69,0.0,0.0,53.85,53.85,53.85,0.0,0.0,53.64,53.64,53.64,0.0,0.0,53.85,53.85,53.85,0.0,0.0
2017-11-12,54.8,54.8,54.8,0.0,0.0,54.9,54.9,54.9,0.0,0.0,54.68,54.68,54.68,0.0,0.0,54.84,54.84,54.84,0.0,0.0
2017-11-19,56.24,56.24,56.24,0.0,0.0,56.38,56.38,56.38,0.0,0.0,56.24,56.24,56.24,0.0,0.0,56.38,56.38,56.38,0.0,0.0
2017-11-26,53.22,53.22,53.22,0.0,0.0,53.22,53.22,53.22,0.0,0.0,51.79,51.79,51.79,0.0,0.0,52.99,52.99,52.99,0.0,0.0
2017-12-03,52.93,52.93,52.93,0.0,0.0,53.17,53.17,53.17,0.0,0.0,52.37,52.37,52.37,0.0,0.0,52.4,52.4,52.4,0.0,0.0
2017-12-10,52.64,52.64,52.64,0.0,0.0,53.08,53.08,53.08,0.0,0.0,52.59,52.59,52.59,0.0,0.0,53.05,53.05,53.05,0.0,0.0
2017-12-17,52.77,52.77,52.77,0.0,0.0,52.83,52.83,52.83,0.0,0.0,52.72,52.72,52.72,0.0,0.0,52.79,52.79,52.79,0.0,0.0
2017-12-24,52.67,52.67,52.67,0.0,0.0,52.79,52.79,52.79,0.0,0.0,52.67,52.67,52.67,0.0,0.0,52.69,52.69,52.69,0.0,0.0
2017-12-31,54.23,54.23,54.23,0.0,0.0,54.26,54.26,54.26,0.0,0.0,54.15,54.15,54.15,0.0,0.0,54.26,54.26,54.26,0.0,0.0
