Date,iShares MSCI Switzerland Capped_etf_Open_average,iShares MSCI Switzerland Capped_etf_Open_max,iShares MSCI Switzerland Capped_etf_Open_min,iShares MSCI Switzerland Capped_etf_Open_volatility,iShares MSCI Switzerland Capped_etf_Open_change,iShares MSCI Switzerland Capped_etf_High_average,iShares MSCI Switzerland Capped_etf_High_max,iShares MSCI Switzerland Capped_etf_High_min,iShares MSCI Switzerland Capped_etf_High_volatility,iShares MSCI Switzerland Capped_etf_High_change,iShares MSCI Switzerland Capped_etf_Low_average,iShares MSCI Switzerland Capped_etf_Low_max,iShares MSCI Switzerland Capped_etf_Low_min,iShares MSCI Switzerland Capped_etf_Low_volatility,iShares MSCI Switzerland Capped_etf_Low_change,iShares MSCI Switzerland Capped_etf_Close_average,iShares MSCI Switzerland Capped_etf_Close_max,iShares MSCI Switzerland Capped_etf_Close_min,iShares MSCI Switzerland Capped_etf_Close_volatility,iShares MSCI Switzerland Capped_etf_Close_change
2016-04-24,30.68,30.68,30.68,0.0,0.0,30.76,30.76,30.76,0.0,0.0,30.53,30.53,30.53,0.0,0.0,30.61,30.61,30.61,0.0,0.0
2016-05-01,29.6,29.6,29.6,0.0,0.0,29.77,29.77,29.77,0.0,0.0,29.56,29.56,29.56,0.0,0.0,29.77,29.77,29.77,0.0,0.0
2016-05-08,30.09,30.09,30.09,0.0,0.0,30.24,30.24,30.24,0.0,0.0,29.91,29.91,29.91,0.0,0.0,29.96,29.96,29.96,0.0,0.0
2016-05-15,30.0,30.0,30.0,0.0,0.0,30.1,30.1,30.1,0.0,0.0,29.97,29.97,29.97,0.0,0.0,30.06,30.06,30.06,0.0,0.0
2016-05-22,30.87,30.87,30.87,0.0,0.0,30.93,30.93,30.93,0.0,0.0,30.79,30.79,30.79,0.0,0.0,30.84,30.84,30.84,0.0,0.0
2016-05-29,30.81,30.81,30.81,0.0,0.0,30.97,30.97,30.97,0.0,0.0,30.72,30.72,30.72,0.0,0.0,30.93,30.93,30.93,0.0,0.0
2016-06-05,30.45,30.45,30.45,0.0,0.0,30.51,30.51,30.51,0.0,0.0,30.18,30.18,30.18,0.0,0.0,30.22,30.22,30.22,0.0,0.0
2016-06-12,29.87,29.87,29.87,0.0,0.0,30.02,30.02,30.02,0.0,0.0,29.71,29.71,29.71,0.0,0.0,29.99,29.99,29.99,0.0,0.0
2016-06-19,28.71,28.71,28.71,0.0,0.0,29.17,29.17,29.17,0.0,0.0,28.31,28.31,28.31,0.0,0.0,28.31,28.31,28.31,0.0,0.0
2016-06-26,29.76,29.76,29.76,0.0,0.0,29.82,29.82,29.82,0.0,0.0,29.73,29.73,29.73,0.0,0.0,29.81,29.81,29.81,0.0,0.0
2016-07-03,29.2,29.2,29.2,0.0,0.0,29.33,29.33,29.33,0.0,0.0,29.12,29.12,29.12,0.0,0.0,29.3,29.3,29.3,0.0,0.0
2016-07-10,29.82,29.82,29.82,0.0,0.0,29.85,29.85,29.85,0.0,0.0,29.73,29.73,29.73,0.0,0.0,29.8,29.8,29.8,0.0,0.0
2016-07-17,29.9,29.9,29.9,0.0,0.0,29.9,29.9,29.9,0.0,0.0,29.73,29.73,29.73,0.0,0.0,29.79,29.79,29.79,0.0,0.0
2016-07-24,30.09,30.09,30.09,0.0,0.0,30.36,30.36,30.36,0.0,0.0,30.07,30.07,30.07,0.0,0.0,30.21,30.21,30.21,0.0,0.0
2016-07-31,29.98,29.98,29.98,0.0,0.0,30.1,30.1,30.1,0.0,0.0,29.95,29.95,29.95,0.0,0.0,30.05,30.05,30.05,0.0,0.0
2016-08-07,30.81,30.81,30.81,0.0,0.0,30.83,30.83,30.83,0.0,0.0,30.7,30.7,30.7,0.0,0.0,30.73,30.73,30.73,0.0,0.0
2016-08-14,30.66,30.66,30.66,0.0,0.0,30.68,30.68,30.68,0.0,0.0,30.52,30.52,30.52,0.0,0.0,30.65,30.65,30.65,0.0,0.0
2016-08-21,30.41,30.41,30.41,0.0,0.0,30.68,30.68,30.68,0.0,0.0,30.06,30.06,30.06,0.0,0.0,30.2,30.2,30.2,0.0,0.0
2016-08-28,30.52,30.52,30.52,0.0,0.0,30.66,30.66,30.66,0.0,0.0,30.46,30.46,30.46,0.0,0.0,30.62,30.62,30.62,0.0,0.0
2016-09-04,30.73,30.73,30.73,0.0,0.0,30.73,30.73,30.73,0.0,0.0,30.43,30.43,30.43,0.0,0.0,30.43,30.43,30.43,0.0,0.0
2016-09-11,30.16,30.16,30.16,0.0,0.0,30.18,30.18,30.18,0.0,0.0,29.99,29.99,29.99,0.0,0.0,30.06,30.06,30.06,0.0,0.0
2016-09-18,30.79,30.79,30.79,0.0,0.0,30.92,30.92,30.92,0.0,0.0,30.76,30.76,30.76,0.0,0.0,30.82,30.82,30.82,0.0,0.0
2016-09-25,30.32,30.32,30.32,0.0,0.0,30.58,30.58,30.58,0.0,0.0,30.29,30.29,30.29,0.0,0.0,30.55,30.55,30.55,0.0,0.0
2016-10-02,30.26,30.26,30.26,0.0,0.0,30.27,30.27,30.27,0.0,0.0,29.96,29.96,29.96,0.0,0.0,30.16,30.16,30.16,0.0,0.0
2016-10-09,29.85,29.85,29.85,0.0,0.0,29.96,29.96,29.96,0.0,0.0,29.72,29.72,29.72,0.0,0.0,29.72,29.72,29.72,0.0,0.0
2016-10-16,29.41,29.41,29.41,0.0,0.0,29.59,29.59,29.59,0.0,0.0,29.41,29.41,29.41,0.0,0.0,29.59,29.59,29.59,0.0,0.0
2016-10-23,29.04,29.04,29.04,0.0,0.0,29.14,29.14,29.14,0.0,0.0,29.01,29.01,29.01,0.0,0.0,29.07,29.07,29.07,0.0,0.0
2016-10-30,28.78,28.78,28.78,0.0,0.0,28.84,28.84,28.84,0.0,0.0,28.62,28.62,28.62,0.0,0.0,28.63,28.63,28.63,0.0,0.0
2016-11-06,29.27,29.27,29.27,0.0,0.0,29.3,29.3,29.3,0.0,0.0,29.01,29.01,29.01,0.0,0.0,29.18,29.18,29.18,0.0,0.0
2016-11-13,28.7,28.7,28.7,0.0,0.0,28.72,28.72,28.72,0.0,0.0,28.6,28.6,28.6,0.0,0.0,28.63,28.63,28.63,0.0,0.0
2016-11-20,28.53,28.53,28.53,0.0,0.0,28.57,28.57,28.57,0.0,0.0,28.48,28.48,28.48,0.0,0.0,28.5,28.5,28.5,0.0,0.0
2016-11-27,28.15,28.15,28.15,0.0,0.0,28.35,28.35,28.35,0.0,0.0,28.14,28.14,28.14,0.0,0.0,28.31,28.31,28.31,0.0,0.0
2016-12-04,28.94,28.94,28.94,0.0,0.0,29.17,29.17,29.17,0.0,0.0,28.94,28.94,28.94,0.0,0.0,29.13,29.13,29.13,0.0,0.0
2016-12-11,29.01,29.01,29.01,0.0,0.0,29.25,29.25,29.25,0.0,0.0,29.01,29.01,29.01,0.0,0.0,29.13,29.13,29.13,0.0,0.0
2016-12-18,29.22,29.22,29.22,0.0,0.0,29.25,29.25,29.25,0.0,0.0,29.17,29.17,29.17,0.0,0.0,29.25,29.25,29.25,0.0,0.0
2016-12-25,29.57,29.57,29.57,0.0,0.0,29.66,29.66,29.66,0.0,0.0,29.41,29.41,29.41,0.0,0.0,29.46,29.46,29.46,0.0,0.0
2017-01-01,30.08,30.08,30.08,0.0,0.0,30.23,30.23,30.23,0.0,0.0,30.06,30.06,30.06,0.0,0.0,30.16,30.16,30.16,0.0,0.0
2017-01-08,30.5,30.5,30.5,0.0,0.0,30.52,30.52,30.52,0.0,0.0,30.41,30.41,30.41,0.0,0.0,30.52,30.52,30.52,0.0,0.0
2017-01-15,30.1,30.1,30.1,0.0,0.0,30.26,30.26,30.26,0.0,0.0,30.08,30.08,30.08,0.0,0.0,30.26,30.26,30.26,0.0,0.0
2017-01-22,30.67,30.67,30.67,0.0,0.0,30.73,30.73,30.73,0.0,0.0,30.59,30.59,30.59,0.0,0.0,30.71,30.71,30.71,0.0,0.0
2017-01-29,30.74,30.74,30.74,0.0,0.0,30.84,30.84,30.84,0.0,0.0,30.71,30.71,30.71,0.0,0.0,30.8,30.8,30.8,0.0,0.0
2017-02-05,30.67,30.67,30.67,0.0,0.0,30.84,30.84,30.84,0.0,0.0,30.66,30.66,30.66,0.0,0.0,30.83,30.83,30.83,0.0,0.0
2017-02-12,30.97,30.97,30.97,0.0,0.0,31.09,31.09,31.09,0.0,0.0,30.92,30.92,30.92,0.0,0.0,31.05,31.05,31.05,0.0,0.0
2017-02-19,30.8,30.8,30.8,0.0,0.0,30.98,30.98,30.98,0.0,0.0,30.8,30.8,30.8,0.0,0.0,30.97,30.97,30.97,0.0,0.0
2017-02-26,31.38,31.38,31.38,0.0,0.0,31.53,31.53,31.53,0.0,0.0,31.33,31.33,31.33,0.0,0.0,31.47,31.47,31.47,0.0,0.0
2017-03-05,31.43,31.43,31.43,0.0,0.0,31.53,31.53,31.53,0.0,0.0,31.39,31.39,31.39,0.0,0.0,31.52,31.52,31.52,0.0,0.0
2017-03-12,32.08,32.08,32.08,0.0,0.0,32.22,32.22,32.22,0.0,0.0,32.05,32.05,32.05,0.0,0.0,32.11,32.11,32.11,0.0,0.0
2017-03-19,31.99,31.99,31.99,0.0,0.0,32.11,32.11,32.11,0.0,0.0,31.97,31.97,31.97,0.0,0.0,32.07,32.07,32.07,0.0,0.0
2017-03-26,31.99,31.99,31.99,0.0,0.0,32.09,32.09,32.09,0.0,0.0,31.97,31.97,31.97,0.0,0.0,31.98,31.98,31.98,0.0,0.0
2017-04-02,31.75,31.75,31.75,0.0,0.0,31.86,31.86,31.86,0.0,0.0,31.73,31.73,31.73,0.0,0.0,31.82,31.82,31.82,0.0,0.0
2017-04-09,32.01,32.01,32.01,0.0,0.0,32.1,32.1,32.1,0.0,0.0,31.95,31.95,31.95,0.0,0.0,31.98,31.98,31.98,0.0,0.0
2017-04-16,32.04,32.04,32.04,0.0,0.0,32.18,32.18,32.18,0.0,0.0,32.04,32.04,32.04,0.0,0.0,32.16,32.16,32.16,0.0,0.0
2017-04-23,33.31,33.31,33.31,0.0,0.0,33.33,33.33,33.33,0.0,0.0,33.2,33.2,33.2,0.0,0.0,33.24,33.24,33.24,0.0,0.0
2017-04-30,34.13,34.13,34.13,0.0,0.0,34.44,34.44,34.44,0.0,0.0,34.09,34.09,34.09,0.0,0.0,34.44,34.44,34.44,0.0,0.0
2017-05-07,33.98,33.98,33.98,0.0,0.0,34.24,34.24,34.24,0.0,0.0,33.96,33.96,33.96,0.0,0.0,34.2,34.2,34.2,0.0,0.0
2017-05-14,34.68,34.68,34.68,0.0,0.0,34.85,34.85,34.85,0.0,0.0,34.67,34.67,34.67,0.0,0.0,34.83,34.83,34.83,0.0,0.0
2017-05-21,34.76,34.76,34.76,0.0,0.0,34.95,34.95,34.95,0.0,0.0,34.76,34.76,34.76,0.0,0.0,34.88,34.88,34.88,0.0,0.0
2017-05-28,35.2,35.2,35.2,0.0,0.0,35.39,35.39,35.39,0.0,0.0,35.14,35.14,35.14,0.0,0.0,35.38,35.38,35.38,0.0,0.0
2017-06-04,34.33,34.33,34.33,0.0,0.0,34.45,34.45,34.45,0.0,0.0,34.28,34.28,34.28,0.0,0.0,34.42,34.42,34.42,0.0,0.0
2017-06-11,34.59,34.59,34.59,0.0,0.0,34.82,34.82,34.82,0.0,0.0,34.58,34.58,34.58,0.0,0.0,34.79,34.79,34.79,0.0,0.0
2017-06-18,34.12,34.12,34.12,0.0,0.0,34.34,34.34,34.34,0.0,0.0,34.12,34.12,34.12,0.0,0.0,34.29,34.29,34.29,0.0,0.0
2017-06-25,34.44,34.44,34.44,0.0,0.0,34.47,34.47,34.47,0.0,0.0,34.18,34.18,34.18,0.0,0.0,34.31,34.31,34.31,0.0,0.0
2017-07-02,33.88,33.88,33.88,0.0,0.0,34.06,34.06,34.06,0.0,0.0,33.83,33.83,33.83,0.0,0.0,34.06,34.06,34.06,0.0,0.0
2017-07-09,34.42,34.42,34.42,0.0,0.0,34.58,34.58,34.58,0.0,0.0,34.38,34.38,34.38,0.0,0.0,34.55,34.55,34.55,0.0,0.0
2017-07-16,34.83,34.83,34.83,0.0,0.0,34.84,34.84,34.84,0.0,0.0,34.69,34.69,34.69,0.0,0.0,34.81,34.81,34.81,0.0,0.0
2017-07-23,34.23,34.23,34.23,0.0,0.0,34.4,34.4,34.4,0.0,0.0,34.2,34.2,34.2,0.0,0.0,34.37,34.37,34.37,0.0,0.0
2017-07-30,34.68,34.68,34.68,0.0,0.0,34.83,34.83,34.83,0.0,0.0,34.62,34.62,34.62,0.0,0.0,34.8,34.8,34.8,0.0,0.0
2017-08-06,34.0,34.0,34.0,0.0,0.0,34.07,34.07,34.07,0.0,0.0,33.93,33.93,33.93,0.0,0.0,34.0,34.0,34.0,0.0,0.0
2017-08-13,34.06,34.06,34.06,0.0,0.0,34.1,34.1,34.1,0.0,0.0,33.89,33.89,33.89,0.0,0.0,33.91,33.91,33.91,0.0,0.0
2017-08-20,34.25,34.25,34.25,0.0,0.0,34.42,34.42,34.42,0.0,0.0,34.24,34.24,34.24,0.0,0.0,34.34,34.34,34.34,0.0,0.0
2017-08-27,34.39,34.39,34.39,0.0,0.0,34.45,34.45,34.45,0.0,0.0,34.21,34.21,34.21,0.0,0.0,34.26,34.26,34.26,0.0,0.0
2017-09-03,34.76,34.76,34.76,0.0,0.0,34.81,34.81,34.81,0.0,0.0,34.66,34.66,34.66,0.0,0.0,34.67,34.67,34.67,0.0,0.0
2017-09-10,34.8,34.8,34.8,0.0,0.0,34.85,34.85,34.85,0.0,0.0,34.71,34.71,34.71,0.0,0.0,34.8,34.8,34.8,0.0,0.0
2017-09-17,34.86,34.86,34.86,0.0,0.0,34.91,34.91,34.91,0.0,0.0,34.77,34.77,34.77,0.0,0.0,34.8,34.8,34.8,0.0,0.0
2017-09-24,34.81,34.81,34.81,0.0,0.0,35.1,35.1,35.1,0.0,0.0,34.74,34.74,34.74,0.0,0.0,35.03,35.03,35.03,0.0,0.0
2017-10-01,34.86,34.86,34.86,0.0,0.0,35.03,35.03,35.03,0.0,0.0,34.83,34.83,34.83,0.0,0.0,35.03,35.03,35.03,0.0,0.0
2017-10-08,35.41,35.41,35.41,0.0,0.0,35.41,35.41,35.41,0.0,0.0,35.34,35.34,35.34,0.0,0.0,35.41,35.41,35.41,0.0,0.0
2017-10-15,34.84,34.84,34.84,0.0,0.0,34.86,34.86,34.86,0.0,0.0,34.73,34.73,34.73,0.0,0.0,34.85,34.85,34.85,0.0,0.0
2017-10-22,34.21,34.21,34.21,0.0,0.0,34.25,34.25,34.25,0.0,0.0,34.15,34.15,34.15,0.0,0.0,34.22,34.22,34.22,0.0,0.0
2017-10-29,34.58,34.58,34.58,0.0,0.0,34.68,34.68,34.68,0.0,0.0,34.49,34.49,34.49,0.0,0.0,34.63,34.63,34.63,0.0,0.0
2017-11-05,34.2,34.2,34.2,0.0,0.0,34.22,34.22,34.22,0.0,0.0,34.06,34.06,34.06,0.0,0.0,34.15,34.15,34.15,0.0,0.0
2017-11-12,34.25,34.25,34.25,0.0,0.0,34.46,34.46,34.46,0.0,0.0,34.18,34.18,34.18,0.0,0.0,34.39,34.39,34.39,0.0,0.0
2017-11-19,35.25,35.25,35.25,0.0,0.0,35.28,35.28,35.28,0.0,0.0,35.15,35.15,35.15,0.0,0.0,35.21,35.21,35.21,0.0,0.0
2017-11-26,34.97,34.97,34.97,0.0,0.0,35.24,35.24,35.24,0.0,0.0,34.95,34.95,34.95,0.0,0.0,35.13,35.13,35.13,0.0,0.0
2017-12-03,34.65,34.65,34.65,0.0,0.0,34.84,34.84,34.84,0.0,0.0,34.65,34.65,34.65,0.0,0.0,34.84,34.84,34.84,0.0,0.0
2017-12-10,35.07,35.07,35.07,0.0,0.0,35.11,35.11,35.11,0.0,0.0,34.91,34.91,34.91,0.0,0.0,35.09,35.09,35.09,0.0,0.0
2017-12-17,35.12,35.12,35.12,0.0,0.0,35.2,35.2,35.2,0.0,0.0,35.08,35.08,35.08,0.0,0.0,35.19,35.19,35.19,0.0,0.0
2017-12-24,35.61,35.61,35.61,0.0,0.0,35.66,35.66,35.66,0.0,0.0,35.52,35.52,35.52,0.0,0.0,35.58,35.58,35.58,0.0,0.0
2017-12-31,36.13,36.13,36.13,0.0,0.0,36.31,36.31,36.31,0.0,0.0,36.11,36.11,36.11,0.0,0.0,36.29,36.29,36.29,0.0,0.0
