Date,iShares MSCI Thailand Capped_etf_Open_average,iShares MSCI Thailand Capped_etf_Open_max,iShares MSCI Thailand Capped_etf_Open_min,iShares MSCI Thailand Capped_etf_Open_volatility,iShares MSCI Thailand Capped_etf_Open_change,iShares MSCI Thailand Capped_etf_High_average,iShares MSCI Thailand Capped_etf_High_max,iShares MSCI Thailand Capped_etf_High_min,iShares MSCI Thailand Capped_etf_High_volatility,iShares MSCI Thailand Capped_etf_High_change,iShares MSCI Thailand Capped_etf_Low_average,iShares MSCI Thailand Capped_etf_Low_max,iShares MSCI Thailand Capped_etf_Low_min,iShares MSCI Thailand Capped_etf_Low_volatility,iShares MSCI Thailand Capped_etf_Low_change,iShares MSCI Thailand Capped_etf_Close_average,iShares MSCI Thailand Capped_etf_Close_max,iShares MSCI Thailand Capped_etf_Close_min,iShares MSCI Thailand Capped_etf_Close_volatility,iShares MSCI Thailand Capped_etf_Close_change
2016-05-08,66.56,66.56,66.56,0.0,0.0,66.98,66.98,66.98,0.0,0.0,66.12,66.12,66.12,0.0,0.0,66.27,66.27,66.27,0.0,0.0
2016-05-15,65.97,65.97,65.97,0.0,0.0,66.43,66.43,66.43,0.0,0.0,65.7,65.7,65.7,0.0,0.0,66.29,66.29,66.29,0.0,0.0
2016-05-22,67.44,67.44,67.44,0.0,0.0,67.72,67.72,67.72,0.0,0.0,67.09,67.09,67.09,0.0,0.0,67.22,67.22,67.22,0.0,0.0
2016-05-29,69.49,69.49,69.49,0.0,0.0,69.74,69.74,69.74,0.0,0.0,68.85,68.85,68.85,0.0,0.0,69.4,69.4,69.4,0.0,0.0
2016-06-05,68.64,68.64,68.64,0.0,0.0,68.75,68.75,68.75,0.0,0.0,68.06,68.06,68.06,0.0,0.0,68.26,68.26,68.26,0.0,0.0
2016-06-12,68.23,68.23,68.23,0.0,0.0,68.29,68.29,68.29,0.0,0.0,67.52,67.52,67.52,0.0,0.0,68.2,68.2,68.2,0.0,0.0
2016-06-19,66.22,66.22,66.22,0.0,0.0,67.68,67.68,67.68,0.0,0.0,65.72,65.72,65.72,0.0,0.0,65.88,65.88,65.88,0.0,0.0
2016-06-26,69.33,69.33,69.33,0.0,0.0,69.61,69.61,69.61,0.0,0.0,69.08,69.08,69.08,0.0,0.0,69.56,69.56,69.56,0.0,0.0
2016-07-03,69.81,69.81,69.81,0.0,0.0,70.28,70.28,70.28,0.0,0.0,69.43,69.43,69.43,0.0,0.0,70.03,70.03,70.03,0.0,0.0
2016-07-10,71.8,71.8,71.8,0.0,0.0,71.94,71.94,71.94,0.0,0.0,71.47,71.47,71.47,0.0,0.0,71.83,71.83,71.83,0.0,0.0
2016-07-17,72.6,72.6,72.6,0.0,0.0,72.93,72.93,72.93,0.0,0.0,72.54,72.54,72.54,0.0,0.0,72.79,72.79,72.79,0.0,0.0
2016-07-24,74.11,74.11,74.11,0.0,0.0,74.44,74.44,74.44,0.0,0.0,73.64,73.64,73.64,0.0,0.0,74.38,74.38,74.38,0.0,0.0
2016-07-31,72.99,72.99,72.99,0.0,0.0,73.11,73.11,73.11,0.0,0.0,72.82,72.82,72.82,0.0,0.0,72.9,72.9,72.9,0.0,0.0
2016-08-07,75.97,75.97,75.97,0.0,0.0,76.06,76.06,76.06,0.0,0.0,75.24,75.24,75.24,0.0,0.0,75.74,75.74,75.74,0.0,0.0
2016-08-14,75.03,75.03,75.03,0.0,0.0,75.59,75.59,75.59,0.0,0.0,74.67,74.67,74.67,0.0,0.0,75.34,75.34,75.34,0.0,0.0
2016-08-21,76.03,76.03,76.03,0.0,0.0,76.95,76.95,76.95,0.0,0.0,75.07,75.07,75.07,0.0,0.0,75.69,75.69,75.69,0.0,0.0
2016-08-28,75.09,75.09,75.09,0.0,0.0,75.51,75.51,75.51,0.0,0.0,75.0,75.0,75.0,0.0,0.0,75.19,75.19,75.19,0.0,0.0
2016-09-04,70.26,70.26,70.26,0.0,0.0,70.26,70.26,70.26,0.0,0.0,69.2,69.2,69.2,0.0,0.0,69.47,69.47,69.47,0.0,0.0
2016-09-11,71.64,71.64,71.64,0.0,0.0,71.85,71.85,71.85,0.0,0.0,71.21,71.21,71.21,0.0,0.0,71.39,71.39,71.39,0.0,0.0
2016-09-18,73.72,73.72,73.72,0.0,0.0,73.85,73.85,73.85,0.0,0.0,73.3,73.3,73.3,0.0,0.0,73.43,73.43,73.43,0.0,0.0
2016-09-25,73.19,73.19,73.19,0.0,0.0,73.78,73.78,73.78,0.0,0.0,73.04,73.04,73.04,0.0,0.0,73.51,73.51,73.51,0.0,0.0
2016-10-02,73.85,73.85,73.85,0.0,0.0,74.13,74.13,74.13,0.0,0.0,73.12,73.12,73.12,0.0,0.0,73.65,73.65,73.65,0.0,0.0
2016-10-09,71.69,71.69,71.69,0.0,0.0,71.69,71.69,71.69,0.0,0.0,70.44,70.44,70.44,0.0,0.0,70.62,70.62,70.62,0.0,0.0
2016-10-16,72.31,72.31,72.31,0.0,0.0,72.71,72.71,72.71,0.0,0.0,72.05,72.05,72.05,0.0,0.0,72.6,72.6,72.6,0.0,0.0
2016-10-23,71.8,71.8,71.8,0.0,0.0,72.26,72.26,72.26,0.0,0.0,71.34,71.34,71.34,0.0,0.0,71.9,71.9,71.9,0.0,0.0
2016-10-30,71.3,71.3,71.3,0.0,0.0,71.55,71.55,71.55,0.0,0.0,71.03,71.03,71.03,0.0,0.0,71.15,71.15,71.15,0.0,0.0
2016-11-06,70.4,70.4,70.4,0.0,0.0,70.8,70.8,70.8,0.0,0.0,69.82,69.82,69.82,0.0,0.0,70.16,70.16,70.16,0.0,0.0
2016-11-13,70.05,70.05,70.05,0.0,0.0,70.11,70.11,70.11,0.0,0.0,69.59,69.59,69.59,0.0,0.0,69.76,69.76,69.76,0.0,0.0
2016-11-20,70.89,70.89,70.89,0.0,0.0,71.33,71.33,71.33,0.0,0.0,70.89,70.89,70.89,0.0,0.0,71.07,71.07,71.07,0.0,0.0
2016-11-27,71.45,71.45,71.45,0.0,0.0,71.93,71.93,71.93,0.0,0.0,71.43,71.43,71.43,0.0,0.0,71.55,71.55,71.55,0.0,0.0
2016-12-04,72.84,72.84,72.84,0.0,0.0,72.88,72.88,72.88,0.0,0.0,72.41,72.41,72.41,0.0,0.0,72.71,72.71,72.71,0.0,0.0
2016-12-11,71.88,71.88,71.88,0.0,0.0,71.95,71.95,71.95,0.0,0.0,71.45,71.45,71.45,0.0,0.0,71.8,71.8,71.8,0.0,0.0
2016-12-18,69.9,69.9,69.9,0.0,0.0,70.46,70.46,70.46,0.0,0.0,69.83,69.83,69.83,0.0,0.0,70.4,70.4,70.4,0.0,0.0
2016-12-25,72.45,72.45,72.45,0.0,0.0,72.55,72.55,72.55,0.0,0.0,71.81,71.81,71.81,0.0,0.0,72.09,72.09,72.09,0.0,0.0
2017-01-01,74.0,74.0,74.0,0.0,0.0,74.2,74.2,74.2,0.0,0.0,73.71,73.71,73.71,0.0,0.0,74.0,74.0,74.0,0.0,0.0
2017-01-08,74.63,74.63,74.63,0.0,0.0,74.84,74.84,74.84,0.0,0.0,74.47,74.47,74.47,0.0,0.0,74.76,74.76,74.76,0.0,0.0
2017-01-15,73.77,73.77,73.77,0.0,0.0,73.79,73.79,73.79,0.0,0.0,73.31,73.31,73.31,0.0,0.0,73.7,73.7,73.7,0.0,0.0
2017-01-22,75.66,75.66,75.66,0.0,0.0,75.84,75.84,75.84,0.0,0.0,75.39,75.39,75.39,0.0,0.0,75.75,75.75,75.75,0.0,0.0
2017-01-29,76.21,76.21,76.21,0.0,0.0,76.45,76.45,76.45,0.0,0.0,75.82,75.82,75.82,0.0,0.0,76.4,76.4,76.4,0.0,0.0
2017-02-05,76.11,76.11,76.11,0.0,0.0,76.56,76.56,76.56,0.0,0.0,76.11,76.11,76.11,0.0,0.0,76.43,76.43,76.43,0.0,0.0
2017-02-12,75.72,75.72,75.72,0.0,0.0,76.1,76.1,76.1,0.0,0.0,75.72,75.72,75.72,0.0,0.0,76.03,76.03,76.03,0.0,0.0
2017-02-19,75.3,75.3,75.3,0.0,0.0,75.54,75.54,75.54,0.0,0.0,75.02,75.02,75.02,0.0,0.0,75.33,75.33,75.33,0.0,0.0
2017-02-26,75.49,75.49,75.49,0.0,0.0,75.8,75.8,75.8,0.0,0.0,75.34,75.34,75.34,0.0,0.0,75.66,75.66,75.66,0.0,0.0
2017-03-05,73.56,73.56,73.56,0.0,0.0,73.67,73.67,73.67,0.0,0.0,73.27,73.27,73.27,0.0,0.0,73.49,73.49,73.49,0.0,0.0
2017-03-12,76.25,76.25,76.25,0.0,0.0,76.48,76.48,76.48,0.0,0.0,75.86,75.86,75.86,0.0,0.0,76.02,76.02,76.02,0.0,0.0
2017-03-19,77.24,77.24,77.24,0.0,0.0,77.55,77.55,77.55,0.0,0.0,77.1,77.1,77.1,0.0,0.0,77.47,77.47,77.47,0.0,0.0
2017-03-26,78.13,78.13,78.13,0.0,0.0,78.14,78.14,78.14,0.0,0.0,77.8,77.8,77.8,0.0,0.0,77.99,77.99,77.99,0.0,0.0
2017-04-02,77.87,77.87,77.87,0.0,0.0,78.23,78.23,78.23,0.0,0.0,77.61,77.61,77.61,0.0,0.0,78.13,78.13,78.13,0.0,0.0
2017-04-09,78.77,78.77,78.77,0.0,0.0,79.14,79.14,79.14,0.0,0.0,78.53,78.53,78.53,0.0,0.0,78.65,78.65,78.65,0.0,0.0
2017-04-16,78.02,78.02,78.02,0.0,0.0,78.29,78.29,78.29,0.0,0.0,77.86,77.86,77.86,0.0,0.0,78.11,78.11,78.11,0.0,0.0
2017-04-23,77.58,77.58,77.58,0.0,0.0,77.6,77.6,77.6,0.0,0.0,77.4,77.4,77.4,0.0,0.0,77.52,77.52,77.52,0.0,0.0
2017-04-30,77.45,77.45,77.45,0.0,0.0,77.76,77.76,77.76,0.0,0.0,77.33,77.33,77.33,0.0,0.0,77.7,77.7,77.7,0.0,0.0
2017-05-07,76.56,76.56,76.56,0.0,0.0,76.82,76.82,76.82,0.0,0.0,76.37,76.37,76.37,0.0,0.0,76.73,76.73,76.73,0.0,0.0
2017-05-14,77.32,77.32,77.32,0.0,0.0,77.93,77.93,77.93,0.0,0.0,77.25,77.25,77.25,0.0,0.0,77.72,77.72,77.72,0.0,0.0
2017-05-21,78.82,78.82,78.82,0.0,0.0,78.88,78.88,78.88,0.0,0.0,78.7,78.7,78.7,0.0,0.0,78.82,78.82,78.82,0.0,0.0
2017-05-28,78.7,78.7,78.7,0.0,0.0,78.91,78.91,78.91,0.0,0.0,78.66,78.66,78.66,0.0,0.0,78.88,78.88,78.88,0.0,0.0
2017-06-04,78.57,78.57,78.57,0.0,0.0,78.84,78.84,78.84,0.0,0.0,77.92,77.92,77.92,0.0,0.0,78.33,78.33,78.33,0.0,0.0
2017-06-11,79.38,79.38,79.38,0.0,0.0,79.57,79.57,79.57,0.0,0.0,79.04,79.04,79.04,0.0,0.0,79.49,79.49,79.49,0.0,0.0
2017-06-18,78.26,78.26,78.26,0.0,0.0,78.62,78.62,78.62,0.0,0.0,78.08,78.08,78.08,0.0,0.0,78.36,78.36,78.36,0.0,0.0
2017-06-25,78.05,78.05,78.05,0.0,0.0,78.33,78.33,78.33,0.0,0.0,77.91,77.91,77.91,0.0,0.0,77.96,77.96,77.96,0.0,0.0
2017-07-02,77.29,77.29,77.29,0.0,0.0,77.47,77.47,77.47,0.0,0.0,76.86,76.86,76.86,0.0,0.0,77.21,77.21,77.21,0.0,0.0
2017-07-09,78.74,78.74,78.74,0.0,0.0,79.2,79.2,79.2,0.0,0.0,78.57,78.57,78.57,0.0,0.0,79.14,79.14,79.14,0.0,0.0
2017-07-16,78.81,78.81,78.81,0.0,0.0,78.88,78.88,78.88,0.0,0.0,78.61,78.61,78.61,0.0,0.0,78.77,78.77,78.77,0.0,0.0
2017-07-23,79.26,79.26,79.26,0.0,0.0,79.26,79.26,79.26,0.0,0.0,78.92,78.92,78.92,0.0,0.0,79.08,79.08,79.08,0.0,0.0
2017-07-30,79.13,79.13,79.13,0.0,0.0,79.35,79.35,79.35,0.0,0.0,78.88,78.88,78.88,0.0,0.0,79.33,79.33,79.33,0.0,0.0
2017-08-06,79.04,79.04,79.04,0.0,0.0,79.5,79.5,79.5,0.0,0.0,78.8,78.8,78.8,0.0,0.0,79.21,79.21,79.21,0.0,0.0
2017-08-13,79.21,79.21,79.21,0.0,0.0,79.71,79.71,79.71,0.0,0.0,78.93,78.93,78.93,0.0,0.0,79.52,79.52,79.52,0.0,0.0
2017-08-20,79.92,79.92,79.92,0.0,0.0,80.45,80.45,80.45,0.0,0.0,79.92,79.92,79.92,0.0,0.0,80.27,80.27,80.27,0.0,0.0
2017-08-27,82.77,82.77,82.77,0.0,0.0,83.42,83.42,83.42,0.0,0.0,82.7,82.7,82.7,0.0,0.0,83.24,83.24,83.24,0.0,0.0
2017-09-03,84.21,84.21,84.21,0.0,0.0,84.22,84.22,84.22,0.0,0.0,83.78,83.78,83.78,0.0,0.0,83.88,83.88,83.88,0.0,0.0
2017-09-10,85.68,85.68,85.68,0.0,0.0,86.12,86.12,86.12,0.0,0.0,85.66,85.66,85.66,0.0,0.0,85.96,85.96,85.96,0.0,0.0
2017-09-17,85.7,85.7,85.7,0.0,0.0,85.7,85.7,85.7,0.0,0.0,85.4,85.4,85.4,0.0,0.0,85.6,85.6,85.6,0.0,0.0
2017-09-24,85.84,85.84,85.84,0.0,0.0,86.45,86.45,86.45,0.0,0.0,85.65,85.65,85.65,0.0,0.0,86.45,86.45,86.45,0.0,0.0
2017-10-01,86.46,86.46,86.46,0.0,0.0,86.66,86.66,86.66,0.0,0.0,85.87,85.87,85.87,0.0,0.0,86.59,86.59,86.59,0.0,0.0
2017-10-08,88.64,88.64,88.64,0.0,0.0,89.15,89.15,89.15,0.0,0.0,88.64,88.64,88.64,0.0,0.0,88.92,88.92,88.92,0.0,0.0
2017-10-15,86.91,86.91,86.91,0.0,0.0,87.22,87.22,87.22,0.0,0.0,86.82,86.82,86.82,0.0,0.0,87.2,87.2,87.2,0.0,0.0
2017-10-22,87.59,87.59,87.59,0.0,0.0,88.49,88.49,88.49,0.0,0.0,87.45,87.45,87.45,0.0,0.0,88.4,88.4,88.4,0.0,0.0
2017-10-29,87.72,87.72,87.72,0.0,0.0,87.89,87.89,87.89,0.0,0.0,87.24,87.24,87.24,0.0,0.0,87.65,87.65,87.65,0.0,0.0
2017-11-05,86.85,86.85,86.85,0.0,0.0,86.94,86.94,86.94,0.0,0.0,86.46,86.46,86.46,0.0,0.0,86.54,86.54,86.54,0.0,0.0
2017-11-12,89.29,89.29,89.29,0.0,0.0,89.79,89.79,89.79,0.0,0.0,89.29,89.29,89.29,0.0,0.0,89.43,89.43,89.43,0.0,0.0
2017-11-19,89.57,89.57,89.57,0.0,0.0,89.62,89.62,89.62,0.0,0.0,89.25,89.25,89.25,0.0,0.0,89.42,89.42,89.42,0.0,0.0
2017-11-26,89.76,89.76,89.76,0.0,0.0,89.93,89.93,89.93,0.0,0.0,89.28,89.28,89.28,0.0,0.0,89.69,89.69,89.69,0.0,0.0
2017-12-03,90.49,90.49,90.49,0.0,0.0,90.67,90.67,90.67,0.0,0.0,90.15,90.15,90.15,0.0,0.0,90.61,90.61,90.61,0.0,0.0
2017-12-10,91.68,91.68,91.68,0.0,0.0,91.89,91.89,91.89,0.0,0.0,91.39,91.39,91.39,0.0,0.0,91.74,91.74,91.74,0.0,0.0
2017-12-17,91.72,91.72,91.72,0.0,0.0,91.83,91.83,91.83,0.0,0.0,91.42,91.42,91.42,0.0,0.0,91.81,91.81,91.81,0.0,0.0
2017-12-24,92.65,92.65,92.65,0.0,0.0,92.96,92.96,92.96,0.0,0.0,92.4,92.4,92.4,0.0,0.0,92.5,92.5,92.5,0.0,0.0
2017-12-31,96.21,96.21,96.21,0.0,0.0,96.44,96.44,96.44,0.0,0.0,96.07,96.07,96.07,0.0,0.0,96.26,96.26,96.26,0.0,0.0
