Date,UBS ETRACS Monthly Pay 2X_etf_Open_average,UBS ETRACS Monthly Pay 2X_etf_Open_max,UBS ETRACS Monthly Pay 2X_etf_Open_min,UBS ETRACS Monthly Pay 2X_etf_Open_volatility,UBS ETRACS Monthly Pay 2X_etf_Open_change,UBS ETRACS Monthly Pay 2X_etf_High_average,UBS ETRACS Monthly Pay 2X_etf_High_max,UBS ETRACS Monthly Pay 2X_etf_High_min,UBS ETRACS Monthly Pay 2X_etf_High_volatility,UBS ETRACS Monthly Pay 2X_etf_High_change,UBS ETRACS Monthly Pay 2X_etf_Low_average,UBS ETRACS Monthly Pay 2X_etf_Low_max,UBS ETRACS Monthly Pay 2X_etf_Low_min,UBS ETRACS Monthly Pay 2X_etf_Low_volatility,UBS ETRACS Monthly Pay 2X_etf_Low_change,UBS ETRACS Monthly Pay 2X_etf_Close_average,UBS ETRACS Monthly Pay 2X_etf_Close_max,UBS ETRACS Monthly Pay 2X_etf_Close_min,UBS ETRACS Monthly Pay 2X_etf_Close_volatility,UBS ETRACS Monthly Pay 2X_etf_Close_change
2017-04-09,17.67,17.67,17.67,0.0,0.0,17.67,17.67,17.67,0.0,0.0,17.52,17.52,17.52,0.0,0.0,17.6,17.6,17.6,0.0,0.0
2017-04-16,17.82,17.82,17.82,0.0,0.0,17.85,17.85,17.85,0.0,0.0,17.76,17.76,17.76,0.0,0.0,17.82,17.82,17.82,0.0,0.0
2017-04-23,18.25,18.25,18.25,0.0,0.0,18.35,18.35,18.35,0.0,0.0,18.13,18.13,18.13,0.0,0.0,18.31,18.31,18.31,0.0,0.0
2017-04-30,18.16,18.16,18.16,0.0,0.0,18.43,18.43,18.43,0.0,0.0,18.16,18.16,18.16,0.0,0.0,18.36,18.36,18.36,0.0,0.0
2017-05-07,18.06,18.06,18.06,0.0,0.0,18.13,18.13,18.13,0.0,0.0,18.0,18.0,18.0,0.0,0.0,18.05,18.05,18.05,0.0,0.0
2017-05-14,17.85,17.85,17.85,0.0,0.0,18.09,18.09,18.09,0.0,0.0,17.85,17.85,17.85,0.0,0.0,18.0,18.0,18.0,0.0,0.0
2017-05-21,18.4,18.4,18.4,0.0,0.0,18.44,18.44,18.44,0.0,0.0,18.37,18.37,18.37,0.0,0.0,18.4,18.4,18.4,0.0,0.0
2017-05-28,18.59,18.59,18.59,0.0,0.0,18.59,18.59,18.59,0.0,0.0,18.53,18.53,18.53,0.0,0.0,18.57,18.57,18.57,0.0,0.0
2017-06-04,18.2,18.2,18.2,0.0,0.0,18.33,18.33,18.33,0.0,0.0,18.11,18.11,18.11,0.0,0.0,18.15,18.15,18.15,0.0,0.0
2017-06-11,18.16,18.16,18.16,0.0,0.0,18.21,18.21,18.21,0.0,0.0,18.07,18.07,18.07,0.0,0.0,18.15,18.15,18.15,0.0,0.0
2017-06-18,18.0,18.0,18.0,0.0,0.0,18.24,18.24,18.24,0.0,0.0,18.0,18.0,18.0,0.0,0.0,18.17,18.17,18.17,0.0,0.0
2017-06-25,18.05,18.05,18.05,0.0,0.0,18.21,18.21,18.21,0.0,0.0,18.03,18.03,18.03,0.0,0.0,18.19,18.19,18.19,0.0,0.0
2017-07-02,18.12,18.12,18.12,0.0,0.0,18.27,18.27,18.27,0.0,0.0,18.1,18.1,18.1,0.0,0.0,18.23,18.23,18.23,0.0,0.0
2017-07-09,18.24,18.24,18.24,0.0,0.0,18.36,18.36,18.36,0.0,0.0,18.21,18.21,18.21,0.0,0.0,18.28,18.28,18.28,0.0,0.0
2017-07-16,18.53,18.53,18.53,0.0,0.0,18.6,18.6,18.6,0.0,0.0,18.5,18.5,18.5,0.0,0.0,18.6,18.6,18.6,0.0,0.0
2017-07-23,18.68,18.68,18.68,0.0,0.0,18.74,18.74,18.74,0.0,0.0,18.64,18.64,18.64,0.0,0.0,18.73,18.73,18.73,0.0,0.0
2017-07-30,18.92,18.92,18.92,0.0,0.0,18.93,18.93,18.93,0.0,0.0,18.83,18.83,18.83,0.0,0.0,18.83,18.83,18.83,0.0,0.0
