Date,PowerShares DWA SmallCap Momentum Portfolio_etf_Open_average,PowerShares DWA SmallCap Momentum Portfolio_etf_Open_max,PowerShares DWA SmallCap Momentum Portfolio_etf_Open_min,PowerShares DWA SmallCap Momentum Portfolio_etf_Open_volatility,PowerShares DWA SmallCap Momentum Portfolio_etf_Open_change,PowerShares DWA SmallCap Momentum Portfolio_etf_High_average,PowerShares DWA SmallCap Momentum Portfolio_etf_High_max,PowerShares DWA SmallCap Momentum Portfolio_etf_High_min,PowerShares DWA SmallCap Momentum Portfolio_etf_High_volatility,PowerShares DWA SmallCap Momentum Portfolio_etf_High_change,PowerShares DWA SmallCap Momentum Portfolio_etf_Low_average,PowerShares DWA SmallCap Momentum Portfolio_etf_Low_max,PowerShares DWA SmallCap Momentum Portfolio_etf_Low_min,PowerShares DWA SmallCap Momentum Portfolio_etf_Low_volatility,PowerShares DWA SmallCap Momentum Portfolio_etf_Low_change,PowerShares DWA SmallCap Momentum Portfolio_etf_Close_average,PowerShares DWA SmallCap Momentum Portfolio_etf_Close_max,PowerShares DWA SmallCap Momentum Portfolio_etf_Close_min,PowerShares DWA SmallCap Momentum Portfolio_etf_Close_volatility,PowerShares DWA SmallCap Momentum Portfolio_etf_Close_change
2016-03-13,33.79,33.79,33.79,0.0,0.0,34.08,34.08,34.08,0.0,0.0,33.67,33.67,33.67,0.0,0.0,33.86,33.86,33.86,0.0,0.0
2016-03-20,33.08,33.08,33.08,0.0,0.0,33.34,33.34,33.34,0.0,0.0,33.02,33.02,33.02,0.0,0.0,33.34,33.34,33.34,0.0,0.0
2016-03-27,34.27,34.27,34.27,0.0,0.0,34.69,34.69,34.69,0.0,0.0,34.27,34.27,34.27,0.0,0.0,34.69,34.69,34.69,0.0,0.0
2016-04-03,33.99,33.99,33.99,0.0,0.0,34.12,34.12,34.12,0.0,0.0,33.76,33.76,33.76,0.0,0.0,33.87,33.87,33.87,0.0,0.0
2016-04-10,34.7,34.7,34.7,0.0,0.0,34.9,34.9,34.9,0.0,0.0,34.69,34.69,34.69,0.0,0.0,34.79,34.79,34.79,0.0,0.0
2016-04-17,35.14,35.14,35.14,0.0,0.0,35.35,35.35,35.35,0.0,0.0,35.0,35.0,35.0,0.0,0.0,35.29,35.29,35.29,0.0,0.0
2016-04-24,35.05,35.05,35.05,0.0,0.0,35.05,35.05,35.05,0.0,0.0,34.64,34.64,34.64,0.0,0.0,34.78,34.78,34.78,0.0,0.0
2016-05-01,34.19,34.19,34.19,0.0,0.0,34.56,34.56,34.56,0.0,0.0,34.19,34.19,34.19,0.0,0.0,34.56,34.56,34.56,0.0,0.0
2016-05-08,34.41,34.41,34.41,0.0,0.0,34.47,34.47,34.47,0.0,0.0,34.06,34.06,34.06,0.0,0.0,34.15,34.15,34.15,0.0,0.0
2016-05-15,33.72,33.72,33.72,0.0,0.0,34.06,34.06,34.06,0.0,0.0,33.72,33.72,33.72,0.0,0.0,34.06,34.06,34.06,0.0,0.0
2016-05-22,34.8,34.8,34.8,0.0,0.0,35.09,35.09,35.09,0.0,0.0,34.8,34.8,34.8,0.0,0.0,35.06,35.06,35.06,0.0,0.0
2016-05-29,35.38,35.38,35.38,0.0,0.0,35.38,35.38,35.38,0.0,0.0,35.0,35.0,35.0,0.0,0.0,35.25,35.25,35.25,0.0,0.0
2016-06-05,35.54,35.54,35.54,0.0,0.0,35.66,35.66,35.66,0.0,0.0,35.35,35.35,35.35,0.0,0.0,35.42,35.42,35.42,0.0,0.0
2016-06-12,34.84,34.84,34.84,0.0,0.0,35.0,35.0,35.0,0.0,0.0,34.63,34.63,34.63,0.0,0.0,34.72,34.72,34.72,0.0,0.0
2016-06-19,33.86,33.86,33.86,0.0,0.0,34.77,34.77,34.77,0.0,0.0,33.85,33.85,33.85,0.0,0.0,34.41,34.41,34.41,0.0,0.0
2016-06-26,35.35,35.35,35.35,0.0,0.0,35.54,35.54,35.54,0.0,0.0,35.25,35.25,35.25,0.0,0.0,35.42,35.42,35.42,0.0,0.0
2016-07-03,35.78,35.78,35.78,0.0,0.0,36.23,36.23,36.23,0.0,0.0,35.78,35.78,35.78,0.0,0.0,36.23,36.23,36.23,0.0,0.0
2016-07-10,37.13,37.13,37.13,0.0,0.0,37.18,37.18,37.18,0.0,0.0,36.9,36.9,36.9,0.0,0.0,36.98,36.98,36.98,0.0,0.0
2016-07-17,36.84,36.84,36.84,0.0,0.0,37.21,37.21,37.21,0.0,0.0,36.77,36.77,36.77,0.0,0.0,37.12,37.12,37.12,0.0,0.0
2016-07-24,37.43,37.43,37.43,0.0,0.0,37.7,37.7,37.7,0.0,0.0,37.15,37.15,37.15,0.0,0.0,37.52,37.52,37.52,0.0,0.0
2016-07-31,37.41,37.41,37.41,0.0,0.0,37.58,37.58,37.58,0.0,0.0,37.37,37.37,37.37,0.0,0.0,37.47,37.47,37.47,0.0,0.0
2016-08-07,37.41,37.41,37.41,0.0,0.0,37.46,37.46,37.46,0.0,0.0,37.21,37.21,37.21,0.0,0.0,37.35,37.35,37.35,0.0,0.0
2016-08-14,37.59,37.59,37.59,0.0,0.0,37.8,37.8,37.8,0.0,0.0,37.56,37.56,37.56,0.0,0.0,37.67,37.67,37.67,0.0,0.0
2016-08-21,37.8,37.8,37.8,0.0,0.0,38.05,38.05,38.05,0.0,0.0,37.51,37.51,37.51,0.0,0.0,37.71,37.71,37.71,0.0,0.0
2016-08-28,38.04,38.04,38.04,0.0,0.0,38.26,38.26,38.26,0.0,0.0,38.02,38.02,38.02,0.0,0.0,38.24,38.24,38.24,0.0,0.0
2016-09-04,38.19,38.19,38.19,0.0,0.0,38.19,38.19,38.19,0.0,0.0,37.37,37.37,37.37,0.0,0.0,37.37,37.37,37.37,0.0,0.0
2016-09-11,37.61,37.61,37.61,0.0,0.0,37.71,37.71,37.71,0.0,0.0,37.51,37.51,37.51,0.0,0.0,37.63,37.63,37.63,0.0,0.0
2016-09-18,38.81,38.81,38.81,0.0,0.0,38.83,38.83,38.83,0.0,0.0,38.54,38.54,38.54,0.0,0.0,38.57,38.57,38.57,0.0,0.0
2016-09-25,38.25,38.25,38.25,0.0,0.0,38.59,38.59,38.59,0.0,0.0,38.09,38.09,38.09,0.0,0.0,38.5,38.5,38.5,0.0,0.0
2016-10-02,38.2,38.2,38.2,0.0,0.0,38.29,38.29,38.29,0.0,0.0,37.92,37.92,37.92,0.0,0.0,38.0,38.0,38.0,0.0,0.0
2016-10-09,37.31,37.31,37.31,0.0,0.0,37.38,37.38,37.38,0.0,0.0,36.84,36.84,36.84,0.0,0.0,36.84,36.84,36.84,0.0,0.0
2016-10-16,36.68,36.68,36.68,0.0,0.0,36.78,36.78,36.78,0.0,0.0,36.61,36.61,36.61,0.0,0.0,36.64,36.64,36.64,0.0,0.0
2016-10-23,35.5,35.5,35.5,0.0,0.0,35.63,35.63,35.63,0.0,0.0,35.2,35.2,35.2,0.0,0.0,35.21,35.21,35.21,0.0,0.0
2016-10-30,34.36,34.36,34.36,0.0,0.0,34.84,34.84,34.84,0.0,0.0,34.17,34.17,34.17,0.0,0.0,34.47,34.47,34.47,0.0,0.0
2016-11-06,37.37,37.37,37.37,0.0,0.0,38.41,38.41,38.41,0.0,0.0,37.37,37.37,37.37,0.0,0.0,38.41,38.41,38.41,0.0,0.0
2016-11-13,39.69,39.69,39.69,0.0,0.0,39.84,39.84,39.84,0.0,0.0,39.59,39.59,39.59,0.0,0.0,39.77,39.77,39.77,0.0,0.0
2016-11-20,40.5,40.5,40.5,0.0,0.0,40.67,40.67,40.67,0.0,0.0,40.5,40.5,40.5,0.0,0.0,40.67,40.67,40.67,0.0,0.0
2016-11-27,39.32,39.32,39.32,0.0,0.0,39.48,39.48,39.48,0.0,0.0,39.15,39.15,39.15,0.0,0.0,39.36,39.36,39.36,0.0,0.0
2016-12-04,41.26,41.26,41.26,0.0,0.0,41.54,41.54,41.54,0.0,0.0,41.17,41.17,41.17,0.0,0.0,41.23,41.23,41.23,0.0,0.0
2016-12-11,40.83,40.83,40.83,0.0,0.0,41.23,41.23,41.23,0.0,0.0,40.63,40.63,40.63,0.0,0.0,40.67,40.67,40.67,0.0,0.0
2016-12-18,40.66,40.66,40.66,0.0,0.0,41.0,41.0,41.0,0.0,0.0,40.66,40.66,40.66,0.0,0.0,41.0,41.0,41.0,0.0,0.0
2016-12-25,40.93,40.93,40.93,0.0,0.0,40.93,40.93,40.93,0.0,0.0,40.34,40.34,40.34,0.0,0.0,40.4,40.4,40.4,0.0,0.0
2017-01-01,40.5,40.5,40.5,0.0,0.0,40.55,40.55,40.55,0.0,0.0,40.24,40.24,40.24,0.0,0.0,40.26,40.26,40.26,0.0,0.0
2017-01-08,40.48,40.48,40.48,0.0,0.0,40.63,40.63,40.63,0.0,0.0,40.35,40.35,40.35,0.0,0.0,40.36,40.36,40.36,0.0,0.0
2017-01-15,40.13,40.13,40.13,0.0,0.0,40.26,40.26,40.26,0.0,0.0,39.95,39.95,39.95,0.0,0.0,40.03,40.03,40.03,0.0,0.0
2017-01-22,40.83,40.83,40.83,0.0,0.0,40.93,40.93,40.93,0.0,0.0,40.74,40.74,40.74,0.0,0.0,40.9,40.9,40.9,0.0,0.0
2017-01-29,40.75,40.75,40.75,0.0,0.0,41.08,41.08,41.08,0.0,0.0,40.57,40.57,40.57,0.0,0.0,41.07,41.07,41.07,0.0,0.0
2017-02-05,41.36,41.36,41.36,0.0,0.0,41.47,41.47,41.47,0.0,0.0,41.14,41.14,41.14,0.0,0.0,41.3,41.3,41.3,0.0,0.0
2017-02-12,41.55,41.55,41.55,0.0,0.0,41.71,41.71,41.71,0.0,0.0,41.39,41.39,41.39,0.0,0.0,41.71,41.71,41.71,0.0,0.0
2017-02-19,40.92,40.92,40.92,0.0,0.0,41.24,41.24,41.24,0.0,0.0,40.92,40.92,40.92,0.0,0.0,41.16,41.16,41.16,0.0,0.0
2017-02-26,41.23,41.23,41.23,0.0,0.0,41.53,41.53,41.53,0.0,0.0,41.16,41.16,41.16,0.0,0.0,41.41,41.41,41.41,0.0,0.0
2017-03-05,40.3,40.3,40.3,0.0,0.0,40.34,40.34,40.34,0.0,0.0,39.85,39.85,39.85,0.0,0.0,40.16,40.16,40.16,0.0,0.0
2017-03-12,40.81,40.81,40.81,0.0,0.0,40.99,40.99,40.99,0.0,0.0,40.7,40.7,40.7,0.0,0.0,40.98,40.98,40.98,0.0,0.0
2017-03-19,39.81,39.81,39.81,0.0,0.0,40.03,40.03,40.03,0.0,0.0,39.57,39.57,39.57,0.0,0.0,39.85,39.85,39.85,0.0,0.0
2017-03-26,40.59,40.59,40.59,0.0,0.0,41.03,41.03,41.03,0.0,0.0,40.58,40.58,40.58,0.0,0.0,40.86,40.86,40.86,0.0,0.0
2017-04-02,39.75,39.75,39.75,0.0,0.0,39.98,39.98,39.98,0.0,0.0,39.75,39.75,39.75,0.0,0.0,39.85,39.85,39.85,0.0,0.0
2017-04-09,39.39,39.39,39.39,0.0,0.0,39.54,39.54,39.54,0.0,0.0,39.08,39.08,39.08,0.0,0.0,39.11,39.11,39.11,0.0,0.0
2017-04-16,40.55,40.55,40.55,0.0,0.0,40.6,40.6,40.6,0.0,0.0,40.35,40.35,40.35,0.0,0.0,40.45,40.45,40.45,0.0,0.0
2017-04-23,41.79,41.79,41.79,0.0,0.0,41.82,41.82,41.82,0.0,0.0,41.41,41.41,41.41,0.0,0.0,41.41,41.41,41.41,0.0,0.0
2017-04-30,41.42,41.42,41.42,0.0,0.0,41.51,41.51,41.51,0.0,0.0,41.11,41.11,41.11,0.0,0.0,41.51,41.51,41.51,0.0,0.0
2017-05-07,41.28,41.28,41.28,0.0,0.0,41.54,41.54,41.54,0.0,0.0,41.23,41.23,41.23,0.0,0.0,41.27,41.27,41.27,0.0,0.0
2017-05-14,40.9,40.9,40.9,0.0,0.0,40.9,40.9,40.9,0.0,0.0,40.59,40.59,40.59,0.0,0.0,40.6,40.6,40.6,0.0,0.0
2017-05-21,41.12,41.12,41.12,0.0,0.0,41.35,41.35,41.35,0.0,0.0,41.09,41.09,41.09,0.0,0.0,41.3,41.3,41.3,0.0,0.0
2017-05-28,41.78,41.78,41.78,0.0,0.0,42.58,42.58,42.58,0.0,0.0,41.78,41.78,41.78,0.0,0.0,42.2,42.2,42.2,0.0,0.0
2017-06-04,43.0,43.0,43.0,0.0,0.0,43.48,43.48,43.48,0.0,0.0,42.39,42.39,42.39,0.0,0.0,42.59,42.59,42.59,0.0,0.0
2017-06-11,42.16,42.16,42.16,0.0,0.0,42.16,42.16,42.16,0.0,0.0,41.95,41.95,41.95,0.0,0.0,42.04,42.04,42.04,0.0,0.0
2017-06-18,42.42,42.42,42.42,0.0,0.0,42.93,42.93,42.93,0.0,0.0,42.31,42.31,42.31,0.0,0.0,42.84,42.84,42.84,0.0,0.0
2017-06-25,42.81,42.81,42.81,0.0,0.0,43.03,43.03,43.03,0.0,0.0,42.71,42.71,42.71,0.0,0.0,42.71,42.71,42.71,0.0,0.0
2017-07-02,42.23,42.23,42.23,0.0,0.0,43.0,43.0,43.0,0.0,0.0,42.23,42.23,42.23,0.0,0.0,42.98,42.98,42.98,0.0,0.0
2017-07-09,43.41,43.41,43.41,0.0,0.0,43.84,43.84,43.84,0.0,0.0,43.41,43.41,43.41,0.0,0.0,43.7,43.7,43.7,0.0,0.0
2017-07-16,43.87,43.87,43.87,0.0,0.0,44.13,44.13,44.13,0.0,0.0,43.87,43.87,43.87,0.0,0.0,44.02,44.02,44.02,0.0,0.0
2017-07-23,43.72,43.72,43.72,0.0,0.0,44.06,44.06,44.06,0.0,0.0,43.62,43.62,43.62,0.0,0.0,44.05,44.05,44.05,0.0,0.0
2017-07-30,43.41,43.41,43.41,0.0,0.0,43.52,43.52,43.52,0.0,0.0,43.28,43.28,43.28,0.0,0.0,43.41,43.41,43.41,0.0,0.0
2017-08-06,42.26,42.26,42.26,0.0,0.0,42.52,42.52,42.52,0.0,0.0,42.17,42.17,42.17,0.0,0.0,42.39,42.39,42.39,0.0,0.0
2017-08-13,41.99,41.99,41.99,0.0,0.0,42.47,42.47,42.47,0.0,0.0,41.99,41.99,41.99,0.0,0.0,42.22,42.22,42.22,0.0,0.0
2017-08-20,43.0,43.0,43.0,0.0,0.0,43.0,43.0,43.0,0.0,0.0,42.64,42.64,42.64,0.0,0.0,42.79,42.79,42.79,0.0,0.0
2017-08-27,44.37,44.37,44.37,0.0,0.0,44.54,44.54,44.54,0.0,0.0,44.24,44.24,44.24,0.0,0.0,44.49,44.49,44.49,0.0,0.0
2017-09-03,44.09,44.09,44.09,0.0,0.0,44.22,44.22,44.22,0.0,0.0,43.87,43.87,43.87,0.0,0.0,44.03,44.03,44.03,0.0,0.0
2017-09-10,44.49,44.49,44.49,0.0,0.0,44.78,44.78,44.78,0.0,0.0,44.46,44.46,44.46,0.0,0.0,44.69,44.69,44.69,0.0,0.0
2017-09-17,45.36,45.36,45.36,0.0,0.0,45.69,45.69,45.69,0.0,0.0,45.36,45.36,45.36,0.0,0.0,45.64,45.64,45.64,0.0,0.0
2017-09-24,47.22,47.22,47.22,0.0,0.0,47.46,47.46,47.46,0.0,0.0,47.18,47.18,47.18,0.0,0.0,47.42,47.42,47.42,0.0,0.0
2017-10-01,47.81,47.81,47.81,0.0,0.0,48.09,48.09,48.09,0.0,0.0,47.81,47.81,47.81,0.0,0.0,48.02,48.02,48.02,0.0,0.0
2017-10-08,47.99,47.99,47.99,0.0,0.0,48.09,48.09,48.09,0.0,0.0,47.55,47.55,47.55,0.0,0.0,47.55,47.55,47.55,0.0,0.0
2017-10-15,48.06,48.06,48.06,0.0,0.0,48.32,48.32,48.32,0.0,0.0,48.01,48.01,48.01,0.0,0.0,48.1,48.1,48.1,0.0,0.0
2017-10-22,47.6,47.6,47.6,0.0,0.0,48.2,48.2,48.2,0.0,0.0,47.42,47.42,47.42,0.0,0.0,48.2,48.2,48.2,0.0,0.0
2017-10-29,47.78,47.78,47.78,0.0,0.0,48.02,48.02,48.02,0.0,0.0,47.57,47.57,47.57,0.0,0.0,47.69,47.69,47.69,0.0,0.0
2017-11-05,46.58,46.58,46.58,0.0,0.0,46.83,46.83,46.83,0.0,0.0,46.49,46.49,46.49,0.0,0.0,46.55,46.55,46.55,0.0,0.0
2017-11-12,47.13,47.13,47.13,0.0,0.0,47.33,47.33,47.33,0.0,0.0,46.78,46.78,46.78,0.0,0.0,47.19,47.19,47.19,0.0,0.0
2017-11-19,48.37,48.37,48.37,0.0,0.0,48.37,48.37,48.37,0.0,0.0,47.83,47.83,47.83,0.0,0.0,48.12,48.12,48.12,0.0,0.0
2017-11-26,49.11,49.11,49.11,0.0,0.0,49.11,49.11,49.11,0.0,0.0,47.16,47.16,47.16,0.0,0.0,48.26,48.26,48.26,0.0,0.0
2017-12-03,48.24,48.24,48.24,0.0,0.0,48.24,48.24,48.24,0.0,0.0,47.74,47.74,47.74,0.0,0.0,47.77,47.77,47.77,0.0,0.0
2017-12-10,47.64,47.64,47.64,0.0,0.0,48.43,48.43,48.43,0.0,0.0,47.64,47.64,47.64,0.0,0.0,48.34,48.34,48.34,0.0,0.0
2017-12-17,48.87,48.87,48.87,0.0,0.0,49.07,49.07,49.07,0.0,0.0,48.77,48.77,48.77,0.0,0.0,48.91,48.91,48.91,0.0,0.0
2017-12-24,49.54,49.54,49.54,0.0,0.0,49.54,49.54,49.54,0.0,0.0,48.71,48.71,48.71,0.0,0.0,48.72,48.72,48.72,0.0,0.0
2017-12-31,49.36,49.36,49.36,0.0,0.0,49.45,49.45,49.45,0.0,0.0,48.97,48.97,48.97,0.0,0.0,49.44,49.44,49.44,0.0,0.0
