Date,iShares Mortgage Real Estate Capped_etf_Open_average,iShares Mortgage Real Estate Capped_etf_Open_max,iShares Mortgage Real Estate Capped_etf_Open_min,iShares Mortgage Real Estate Capped_etf_Open_volatility,iShares Mortgage Real Estate Capped_etf_Open_change,iShares Mortgage Real Estate Capped_etf_High_average,iShares Mortgage Real Estate Capped_etf_High_max,iShares Mortgage Real Estate Capped_etf_High_min,iShares Mortgage Real Estate Capped_etf_High_volatility,iShares Mortgage Real Estate Capped_etf_High_change,iShares Mortgage Real Estate Capped_etf_Low_average,iShares Mortgage Real Estate Capped_etf_Low_max,iShares Mortgage Real Estate Capped_etf_Low_min,iShares Mortgage Real Estate Capped_etf_Low_volatility,iShares Mortgage Real Estate Capped_etf_Low_change,iShares Mortgage Real Estate Capped_etf_Close_average,iShares Mortgage Real Estate Capped_etf_Close_max,iShares Mortgage Real Estate Capped_etf_Close_min,iShares Mortgage Real Estate Capped_etf_Close_volatility,iShares Mortgage Real Estate Capped_etf_Close_change
2016-03-13,39.12,39.12,39.12,0.0,0.0,39.28,39.28,39.28,0.0,0.0,38.92,38.92,38.92,0.0,0.0,39.12,39.12,39.12,0.0,0.0
2016-03-20,37.44,37.44,37.44,0.0,0.0,37.68,37.68,37.68,0.0,0.0,37.1,37.1,37.1,0.0,0.0,37.64,37.64,37.64,0.0,0.0
2016-03-27,38.4,38.4,38.4,0.0,0.0,38.63,38.63,38.63,0.0,0.0,38.24,38.24,38.24,0.0,0.0,38.56,38.56,38.56,0.0,0.0
2016-04-03,38.52,38.52,38.52,0.0,0.0,38.72,38.72,38.72,0.0,0.0,38.36,38.36,38.36,0.0,0.0,38.4,38.4,38.4,0.0,0.0
2016-04-10,39.04,39.04,39.04,0.0,0.0,39.2,39.2,39.2,0.0,0.0,38.88,38.88,38.88,0.0,0.0,39.08,39.08,39.08,0.0,0.0
2016-04-17,38.92,38.92,38.92,0.0,0.0,39.0,39.0,39.0,0.0,0.0,38.68,38.68,38.68,0.0,0.0,38.8,38.8,38.8,0.0,0.0
2016-04-24,39.24,39.24,39.24,0.0,0.0,39.36,39.36,39.36,0.0,0.0,38.9,38.9,38.9,0.0,0.0,39.32,39.32,39.32,0.0,0.0
2016-05-01,39.8,39.8,39.8,0.0,0.0,40.24,40.24,40.24,0.0,0.0,39.68,39.68,39.68,0.0,0.0,40.24,40.24,40.24,0.0,0.0
2016-05-08,41.16,41.16,41.16,0.0,0.0,41.2,41.2,41.2,0.0,0.0,40.8,40.8,40.8,0.0,0.0,41.0,41.0,41.0,0.0,0.0
2016-05-15,40.32,40.32,40.32,0.0,0.0,40.52,40.52,40.52,0.0,0.0,40.2,40.2,40.2,0.0,0.0,40.52,40.52,40.52,0.0,0.0
2016-05-22,41.04,41.04,41.04,0.0,0.0,41.08,41.08,41.08,0.0,0.0,40.76,40.76,40.76,0.0,0.0,40.84,40.84,40.84,0.0,0.0
2016-05-29,41.96,41.96,41.96,0.0,0.0,41.96,41.96,41.96,0.0,0.0,41.32,41.32,41.32,0.0,0.0,41.48,41.48,41.48,0.0,0.0
2016-06-05,41.8,41.8,41.8,0.0,0.0,41.8,41.8,41.8,0.0,0.0,41.45,41.45,41.45,0.0,0.0,41.56,41.56,41.56,0.0,0.0
2016-06-12,41.2,41.2,41.2,0.0,0.0,41.48,41.48,41.48,0.0,0.0,41.04,41.04,41.04,0.0,0.0,41.08,41.08,41.08,0.0,0.0
2016-06-19,39.48,39.48,39.48,0.0,0.0,40.32,40.32,40.32,0.0,0.0,39.24,39.24,39.24,0.0,0.0,39.96,39.96,39.96,0.0,0.0
2016-06-26,41.12,41.12,41.12,0.0,0.0,41.2,41.2,41.2,0.0,0.0,40.84,40.84,40.84,0.0,0.0,40.96,40.96,40.96,0.0,0.0
2016-07-03,40.4,40.4,40.4,0.0,0.0,40.84,40.84,40.84,0.0,0.0,40.4,40.4,40.4,0.0,0.0,40.68,40.68,40.68,0.0,0.0
2016-07-10,41.04,41.04,41.04,0.0,0.0,41.16,41.16,41.16,0.0,0.0,40.92,40.92,40.92,0.0,0.0,41.12,41.12,41.12,0.0,0.0
2016-07-17,41.84,41.84,41.84,0.0,0.0,42.16,42.16,42.16,0.0,0.0,41.84,41.84,41.84,0.0,0.0,42.08,42.08,42.08,0.0,0.0
2016-07-24,42.32,42.32,42.32,0.0,0.0,42.52,42.52,42.52,0.0,0.0,42.16,42.16,42.16,0.0,0.0,42.48,42.48,42.48,0.0,0.0
2016-07-31,42.84,42.84,42.84,0.0,0.0,43.32,43.32,43.32,0.0,0.0,42.8,42.8,42.8,0.0,0.0,43.24,43.24,43.24,0.0,0.0
2016-08-07,43.44,43.44,43.44,0.0,0.0,43.52,43.52,43.52,0.0,0.0,43.16,43.16,43.16,0.0,0.0,43.24,43.24,43.24,0.0,0.0
2016-08-14,42.72,42.72,42.72,0.0,0.0,42.92,42.92,42.92,0.0,0.0,42.56,42.56,42.56,0.0,0.0,42.8,42.8,42.8,0.0,0.0
2016-08-21,43.12,43.12,43.12,0.0,0.0,43.2,43.2,43.2,0.0,0.0,42.43,42.43,42.43,0.0,0.0,42.64,42.64,42.64,0.0,0.0
2016-08-28,42.96,42.96,42.96,0.0,0.0,43.52,43.52,43.52,0.0,0.0,42.96,42.96,42.96,0.0,0.0,43.52,43.52,43.52,0.0,0.0
2016-09-04,43.56,43.56,43.56,0.0,0.0,43.56,43.56,43.56,0.0,0.0,42.04,42.04,42.04,0.0,0.0,42.04,42.04,42.04,0.0,0.0
2016-09-11,42.48,42.48,42.48,0.0,0.0,42.48,42.48,42.48,0.0,0.0,41.98,41.98,41.98,0.0,0.0,42.12,42.12,42.12,0.0,0.0
2016-09-18,43.56,43.56,43.56,0.0,0.0,43.56,43.56,43.56,0.0,0.0,43.24,43.24,43.24,0.0,0.0,43.32,43.32,43.32,0.0,0.0
2016-09-25,42.08,42.08,42.08,0.0,0.0,42.2,42.2,42.2,0.0,0.0,41.8,41.8,41.8,0.0,0.0,42.04,42.04,42.04,0.0,0.0
2016-10-02,40.24,40.24,40.24,0.0,0.0,40.48,40.48,40.48,0.0,0.0,40.0,40.0,40.0,0.0,0.0,40.24,40.24,40.24,0.0,0.0
2016-10-09,41.12,41.12,41.12,0.0,0.0,41.24,41.24,41.24,0.0,0.0,40.86,40.86,40.86,0.0,0.0,40.92,40.92,40.92,0.0,0.0
2016-10-16,41.24,41.24,41.24,0.0,0.0,41.54,41.54,41.54,0.0,0.0,41.24,41.24,41.24,0.0,0.0,41.48,41.48,41.48,0.0,0.0
2016-10-23,41.68,41.68,41.68,0.0,0.0,41.9,41.9,41.9,0.0,0.0,41.4,41.4,41.4,0.0,0.0,41.72,41.72,41.72,0.0,0.0
2016-10-30,41.48,41.48,41.48,0.0,0.0,41.84,41.84,41.84,0.0,0.0,41.4,41.4,41.4,0.0,0.0,41.72,41.72,41.72,0.0,0.0
2016-11-06,41.31,41.31,41.31,0.0,0.0,41.85,41.85,41.85,0.0,0.0,41.31,41.31,41.31,0.0,0.0,41.71,41.71,41.71,0.0,0.0
2016-11-13,41.86,41.86,41.86,0.0,0.0,42.06,42.06,42.06,0.0,0.0,41.73,41.73,41.73,0.0,0.0,42.02,42.02,42.02,0.0,0.0
2016-11-20,42.39,42.39,42.39,0.0,0.0,42.6,42.6,42.6,0.0,0.0,42.32,42.32,42.32,0.0,0.0,42.6,42.6,42.6,0.0,0.0
2016-11-27,41.92,41.92,41.92,0.0,0.0,42.28,42.28,42.28,0.0,0.0,41.83,41.83,41.83,0.0,0.0,41.91,41.91,41.91,0.0,0.0
2016-12-04,43.46,43.46,43.46,0.0,0.0,43.8,43.8,43.8,0.0,0.0,43.44,43.44,43.44,0.0,0.0,43.74,43.74,43.74,0.0,0.0
2016-12-11,41.51,41.51,41.51,0.0,0.0,42.51,42.51,42.51,0.0,0.0,41.51,41.51,41.51,0.0,0.0,42.3,42.3,42.3,0.0,0.0
2016-12-18,42.19,42.19,42.19,0.0,0.0,42.19,42.19,42.19,0.0,0.0,41.88,41.88,41.88,0.0,0.0,42.13,42.13,42.13,0.0,0.0
2016-12-25,42.33,42.33,42.33,0.0,0.0,42.35,42.35,42.35,0.0,0.0,41.99,41.99,41.99,0.0,0.0,42.06,42.06,42.06,0.0,0.0
2017-01-01,43.13,43.13,43.13,0.0,0.0,43.31,43.31,43.31,0.0,0.0,43.1,43.1,43.1,0.0,0.0,43.18,43.18,43.18,0.0,0.0
2017-01-08,43.07,43.07,43.07,0.0,0.0,43.23,43.23,43.23,0.0,0.0,42.85,42.85,42.85,0.0,0.0,43.13,43.13,43.13,0.0,0.0
2017-01-15,42.98,42.98,42.98,0.0,0.0,43.07,43.07,43.07,0.0,0.0,42.9,42.9,42.9,0.0,0.0,43.05,43.05,43.05,0.0,0.0
2017-01-22,43.33,43.33,43.33,0.0,0.0,43.36,43.36,43.36,0.0,0.0,43.09,43.09,43.09,0.0,0.0,43.21,43.21,43.21,0.0,0.0
2017-01-29,43.21,43.21,43.21,0.0,0.0,43.38,43.38,43.38,0.0,0.0,43.15,43.15,43.15,0.0,0.0,43.28,43.28,43.28,0.0,0.0
2017-02-05,43.61,43.61,43.61,0.0,0.0,44.02,44.02,44.02,0.0,0.0,43.61,43.61,43.61,0.0,0.0,43.87,43.87,43.87,0.0,0.0
2017-02-12,44.49,44.49,44.49,0.0,0.0,44.49,44.49,44.49,0.0,0.0,44.1,44.1,44.1,0.0,0.0,44.33,44.33,44.33,0.0,0.0
2017-02-19,44.7,44.7,44.7,0.0,0.0,44.97,44.97,44.97,0.0,0.0,44.6,44.6,44.6,0.0,0.0,44.85,44.85,44.85,0.0,0.0
2017-02-26,44.8,44.8,44.8,0.0,0.0,44.99,44.99,44.99,0.0,0.0,44.66,44.66,44.66,0.0,0.0,44.97,44.97,44.97,0.0,0.0
2017-03-05,43.92,43.92,43.92,0.0,0.0,44.48,44.48,44.48,0.0,0.0,43.92,43.92,43.92,0.0,0.0,44.26,44.26,44.26,0.0,0.0
2017-03-12,44.81,44.81,44.81,0.0,0.0,45.21,45.21,45.21,0.0,0.0,44.81,44.81,44.81,0.0,0.0,45.2,45.2,45.2,0.0,0.0
2017-03-19,44.42,44.42,44.42,0.0,0.0,44.58,44.58,44.58,0.0,0.0,44.19,44.19,44.19,0.0,0.0,44.21,44.21,44.21,0.0,0.0
2017-03-26,45.37,45.37,45.37,0.0,0.0,45.48,45.48,45.48,0.0,0.0,45.27,45.27,45.27,0.0,0.0,45.29,45.29,45.29,0.0,0.0
2017-04-02,45.62,45.62,45.62,0.0,0.0,45.78,45.78,45.78,0.0,0.0,45.53,45.53,45.53,0.0,0.0,45.56,45.56,45.56,0.0,0.0
2017-04-09,46.1,46.1,46.1,0.0,0.0,46.43,46.43,46.43,0.0,0.0,46.1,46.1,46.1,0.0,0.0,46.28,46.28,46.28,0.0,0.0
2017-04-16,46.45,46.45,46.45,0.0,0.0,46.69,46.69,46.69,0.0,0.0,46.36,46.36,46.36,0.0,0.0,46.46,46.46,46.46,0.0,0.0
2017-04-23,47.58,47.58,47.58,0.0,0.0,47.58,47.58,47.58,0.0,0.0,46.77,46.77,46.77,0.0,0.0,46.92,46.92,46.92,0.0,0.0
2017-04-30,45.63,45.63,45.63,0.0,0.0,46.09,46.09,46.09,0.0,0.0,45.6,45.6,45.6,0.0,0.0,46.0,46.0,46.0,0.0,0.0
2017-05-07,45.18,45.18,45.18,0.0,0.0,45.3,45.3,45.3,0.0,0.0,44.94,44.94,44.94,0.0,0.0,45.0,45.0,45.0,0.0,0.0
2017-05-14,45.08,45.08,45.08,0.0,0.0,45.39,45.39,45.39,0.0,0.0,45.04,45.04,45.04,0.0,0.0,45.29,45.29,45.29,0.0,0.0
2017-05-21,46.37,46.37,46.37,0.0,0.0,46.4,46.4,46.4,0.0,0.0,45.99,45.99,45.99,0.0,0.0,46.35,46.35,46.35,0.0,0.0
2017-05-28,46.79,46.79,46.79,0.0,0.0,47.0,47.0,47.0,0.0,0.0,46.67,46.67,46.67,0.0,0.0,46.76,46.76,46.76,0.0,0.0
2017-06-04,46.84,46.84,46.84,0.0,0.0,47.2,47.2,47.2,0.0,0.0,46.84,46.84,46.84,0.0,0.0,47.02,47.02,47.02,0.0,0.0
2017-06-11,47.83,47.83,47.83,0.0,0.0,48.09,48.09,48.09,0.0,0.0,47.75,47.75,47.75,0.0,0.0,48.09,48.09,48.09,0.0,0.0
2017-06-18,48.17,48.17,48.17,0.0,0.0,48.41,48.41,48.41,0.0,0.0,48.1,48.1,48.1,0.0,0.0,48.31,48.31,48.31,0.0,0.0
2017-06-25,46.58,46.58,46.58,0.0,0.0,46.69,46.69,46.69,0.0,0.0,46.36,46.36,46.36,0.0,0.0,46.38,46.38,46.38,0.0,0.0
2017-07-02,46.51,46.51,46.51,0.0,0.0,46.6,46.6,46.6,0.0,0.0,46.13,46.13,46.13,0.0,0.0,46.16,46.16,46.16,0.0,0.0
2017-07-09,46.32,46.32,46.32,0.0,0.0,46.71,46.71,46.71,0.0,0.0,46.32,46.32,46.32,0.0,0.0,46.61,46.61,46.61,0.0,0.0
2017-07-16,46.22,46.22,46.22,0.0,0.0,46.41,46.41,46.41,0.0,0.0,46.04,46.04,46.04,0.0,0.0,46.4,46.4,46.4,0.0,0.0
2017-07-23,46.33,46.33,46.33,0.0,0.0,46.33,46.33,46.33,0.0,0.0,45.9,45.9,45.9,0.0,0.0,46.16,46.16,46.16,0.0,0.0
2017-07-30,46.41,46.41,46.41,0.0,0.0,46.64,46.64,46.64,0.0,0.0,46.26,46.26,46.26,0.0,0.0,46.64,46.64,46.64,0.0,0.0
2017-08-06,46.74,46.74,46.74,0.0,0.0,46.8,46.8,46.8,0.0,0.0,46.34,46.34,46.34,0.0,0.0,46.76,46.76,46.76,0.0,0.0
2017-08-13,46.79,46.79,46.79,0.0,0.0,47.07,47.07,47.07,0.0,0.0,46.67,46.67,46.67,0.0,0.0,47.02,47.02,47.02,0.0,0.0
2017-08-20,47.3,47.3,47.3,0.0,0.0,47.3,47.3,47.3,0.0,0.0,46.98,46.98,46.98,0.0,0.0,47.1,47.1,47.1,0.0,0.0
2017-08-27,47.0,47.0,47.0,0.0,0.0,47.31,47.31,47.31,0.0,0.0,47.0,47.0,47.0,0.0,0.0,47.26,47.26,47.26,0.0,0.0
2017-09-03,46.45,46.45,46.45,0.0,0.0,46.62,46.62,46.62,0.0,0.0,46.44,46.44,46.44,0.0,0.0,46.53,46.53,46.53,0.0,0.0
2017-09-10,46.54,46.54,46.54,0.0,0.0,46.81,46.81,46.81,0.0,0.0,46.54,46.54,46.54,0.0,0.0,46.8,46.8,46.8,0.0,0.0
2017-09-17,46.89,46.89,46.89,0.0,0.0,47.52,47.52,47.52,0.0,0.0,46.89,46.89,46.89,0.0,0.0,47.43,47.43,47.43,0.0,0.0
2017-09-24,46.98,46.98,46.98,0.0,0.0,46.98,46.98,46.98,0.0,0.0,46.71,46.71,46.71,0.0,0.0,46.84,46.84,46.84,0.0,0.0
2017-10-01,47.19,47.19,47.19,0.0,0.0,47.19,47.19,47.19,0.0,0.0,46.66,46.66,46.66,0.0,0.0,46.83,46.83,46.83,0.0,0.0
2017-10-08,47.21,47.21,47.21,0.0,0.0,47.33,47.33,47.33,0.0,0.0,47.09,47.09,47.09,0.0,0.0,47.26,47.26,47.26,0.0,0.0
2017-10-15,47.49,47.49,47.49,0.0,0.0,47.64,47.64,47.64,0.0,0.0,47.3,47.3,47.3,0.0,0.0,47.47,47.47,47.47,0.0,0.0
2017-10-22,45.47,45.47,45.47,0.0,0.0,46.06,46.06,46.06,0.0,0.0,45.15,45.15,45.15,0.0,0.0,46.02,46.02,46.02,0.0,0.0
2017-10-29,44.79,44.79,44.79,0.0,0.0,45.01,45.01,45.01,0.0,0.0,44.67,44.67,44.67,0.0,0.0,44.85,44.85,44.85,0.0,0.0
2017-11-05,44.68,44.68,44.68,0.0,0.0,44.89,44.89,44.89,0.0,0.0,44.36,44.36,44.36,0.0,0.0,44.44,44.44,44.44,0.0,0.0
2017-11-12,45.01,45.01,45.01,0.0,0.0,45.15,45.15,45.15,0.0,0.0,44.93,44.93,44.93,0.0,0.0,45.08,45.08,45.08,0.0,0.0
2017-11-19,46.27,46.27,46.27,0.0,0.0,46.33,46.33,46.33,0.0,0.0,45.99,45.99,45.99,0.0,0.0,46.0,46.0,46.0,0.0,0.0
2017-11-26,45.6,45.6,45.6,0.0,0.0,45.79,45.79,45.79,0.0,0.0,45.14,45.14,45.14,0.0,0.0,45.77,45.77,45.77,0.0,0.0
2017-12-03,46.25,46.25,46.25,0.0,0.0,46.39,46.39,46.39,0.0,0.0,46.0,46.0,46.0,0.0,0.0,46.24,46.24,46.24,0.0,0.0
2017-12-10,46.66,46.66,46.66,0.0,0.0,47.1,47.1,47.1,0.0,0.0,46.65,46.65,46.65,0.0,0.0,46.94,46.94,46.94,0.0,0.0
2017-12-17,44.98,44.98,44.98,0.0,0.0,45.14,45.14,45.14,0.0,0.0,44.93,44.93,44.93,0.0,0.0,45.0,45.0,45.0,0.0,0.0
2017-12-24,45.67,45.67,45.67,0.0,0.0,45.7,45.7,45.7,0.0,0.0,45.2,45.2,45.2,0.0,0.0,45.2,45.2,45.2,0.0,0.0
2017-12-31,44.25,44.25,44.25,0.0,0.0,44.49,44.49,44.49,0.0,0.0,44.2,44.2,44.2,0.0,0.0,44.4,44.4,44.4,0.0,0.0
